Job Title/Position,Date Posted,Location,Position Overview,Key Responsibilities,Required Qualifications,Security Clearance,Program Hints,Client Hints,Contract Vehicle Hints,Prime Contractor,Recruiter Contact,Technologies,Certifications Required,Matched Program,Match Confidence,Match Type,BD Priority Score,Priority Tier,Match Signals,Source,Source URL,Scraped At,Processed At
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/missouri/saint-louis/secret-cleared-solutions-architect/job-296131/,,2026-01-13T00:31:29.949359
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/south-carolina/north-charleston/secret-cleared-cloud-engineer/job-474925/,,2026-01-13T00:31:29.949400
,,,,,,,,,,,,,,Army DCGS-A,20%,inferred,62,🟡 Warm,Location match: Aberdeen -> Army DCGS-A,unknown,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/secret-vulnerability-penetration-tester/job-449881/,,2026-01-13T00:31:29.949441
,,,,,,,,,,,,,,EVMS - Earned Value Management Systems,15%,inferred,53,🟡 Warm,"Location match (partial): Virginia Beach, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/virginia-beach/secret-senior-network-admin/job-468281/,,2026-01-13T00:31:29.949484
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-engineer-secret-clearance/job-460643/,,2026-01-13T00:31:29.949521
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/maryland/belcamp/secret-senior-isse/job-468882/,,2026-01-13T00:31:29.949558
,,,,,,,,,,,,,,Army DCGS-A,20%,inferred,62,🟡 Warm,Location match: Aberdeen -> Army DCGS-A,unknown,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/top-secret-electronics-exploitation-deployer/job-476933/,,2026-01-13T00:31:29.949598
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/california/palmdale/secret-non-destructive-test-technician-2-3/job-476874/,,2026-01-13T00:31:29.949636
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/mechanical-engineer-secret-clearance/job-478353/,,2026-01-13T00:31:29.949673
,,,,,,,,,,,,,,EVMS - Earned Value Management Systems,15%,inferred,53,🟡 Warm,"Location match (partial): Vienna, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-aws-engineer/job-478414/,,2026-01-13T00:31:29.949714
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/north-carolina/jacksonville/secret-amphibious-raids-instructor/job-462446/,,2026-01-13T00:31:29.949754
,,,,,,,,,,,,,,JRSS - Joint Regional Security Stacks,20%,inferred,54,🟡 Warm,"Location match (partial): Montgomery, Alabama -> DISA Global Service Mgmt – Ops II via 'montgomery al', Location match (exact): Montgomery, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Montgomery, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Montgomery, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-nights-/job-455977/,,2026-01-13T00:31:29.949792
,,,,,,,,,,,,,,AF DCGS - PACAF,20%,inferred,79,🟡 Warm,"Location match: San Diego -> AF DCGS - PACAF, Location match (partial): San Diego, California -> Navy Enterprise Service Desk via 'san diego ca', Location match (partial): San Diego, California -> NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport) via 'san diego ca', Location match (partial): San Diego, California -> Navy Marine Corps Intranet (legacy) via 'multiple navy & usmc bases (norfolk, san diego, etc.)', Location match (exact): San Diego, California -> NGEN-R — Enterprise Network Program via 'san diego', Location match (partial): San Diego, California -> NIWC Pacific (placeholder) via 'san diego ca (niwc pac)'",unknown,https://insightglobal.com/jobs/find_a_job/california/san-diego/secret-cleared-technical-writer/job-434176/,,2026-01-13T00:31:29.949829
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/montana/malmstrom-afb/aircraft-operations-coordinator-secret-clearance/job-477837/,,2026-01-13T00:31:29.949881
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/maryland/baltimore/secret-sr-windows-system-administrator/job-478071/,,2026-01-13T00:31:29.949923
,,,,,,,,,,,,,,EVMS - Earned Value Management Systems,15%,inferred,53,🟡 Warm,"Location match (partial): Fairfax, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-solutions-architect/job-467265/,,2026-01-13T00:31:29.949959
,,,,,,,,,,,,,,Space Force/MDA Programs,20%,inferred,54,🟡 Warm,"Location match: Colorado Springs -> Space Force/MDA Programs, Location match (partial): Colorado Springs, Colorado -> AF TENCAP – 53rd EW Group / HOPE 2.0 & Test Integration Support via 'colorado springs co (af tencap core)', Location match (partial): Colorado Springs, Colorado -> Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Air Force Platform One / DevSecOps Initiative via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Basic Ordering Agreement – Surge Staffing via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Basic Ordering Agreement (NG Staff Augmentation) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Basic Ordering Agreement Support (Northrop Surge) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Blanket Order Agreement – Staff Augmentation via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Blanket Ordering Agreement via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> BOA (General Staff Augmentation) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> BOA (Northrop Surge) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Business Operations & Analytics via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Command and Control, Battle Management & Communications (MDA) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Command and Control, Battle Management, Communications via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> HOPE 2.0 (TENCAP Prototype Engineering) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Integrated Situational Awareness / Cyber Program via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Integrated Situational Awareness Environment via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Integrated Situational Awareness Tool Environment via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Intelligence Systems Infrastructure Tools & Enhancements via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Joint Tactical Ground Station via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Joint Tactical Ground Stations via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Multi-Mission Command & Control via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> Next-Gen OPIR (Ground + Payload) via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> STRATCOM Mission Readiness via 'colorado springs co', Location match (partial): Colorado Springs, Colorado -> SMORS – STRATCOM Mission Readiness Sustainment via 'colorado springs co', Location match (exact): Colorado Springs, Colorado -> Basic Ordering Agreement (NG BOA) via 'colorado springs, co', Location match (exact): Colorado Springs, Colorado -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Defense Satellite Communications Modernization via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> EDIS – Engineering, Development, Integration & Sustainment via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Engineering Development & Integration Support via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Ground Based Strategic Deterrent / Sentinel via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Joint Tactical Ground Station Early Warning via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Joint Tactical Ground Station System via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> Next-Generation Overhead Persistent Infrared via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> NGOPIR / NGG / NGOPIR (already normalized — link row) via 'colorado springs', Location match (exact): Colorado Springs, Colorado -> STRATCOM Mission Readiness Support via 'colorado springs', Location match (partial): Colorado Springs, Colorado -> GPS Next-Gen Operational Control System via 'colorado springs co (schriever sfb)', Location match (partial): Colorado Springs, Colorado -> Protected Satcom & Tactical Waveform Communications via 'colorado springs (indicative)', Location match (partial): Colorado Springs, Colorado -> SPICE (Space Payload Integration & Cyber Eng) via 'la / colorado'",unknown,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-software-integrator/job-474939/,,2026-01-13T00:31:29.950002
,,,,,,,,,,,,,,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,15%,inferred,53,🟡 Warm,"Location match (partial): Tucson, Arizona -> Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment via 'tucson az (raytheon missile facilities)', Location match (partial): Tucson, Arizona -> DGFS (RTX) via 'tucson az + other sites', Location match (partial): Tucson, Arizona -> LRAAM (Long Range AAM) via 'tucson az'",unknown,https://insightglobal.com/jobs/find_a_job/arizona/tucson/secret-software-engineer/job-458053/,,2026-01-13T00:31:29.950038
,,,,,,,,,,,,,,JRSS - Joint Regional Security Stacks,20%,inferred,54,🟡 Warm,"Location match (partial): Montgomery, Alabama -> DISA Global Service Mgmt – Ops II via 'montgomery al', Location match (exact): Montgomery, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Montgomery, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Montgomery, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-security-engineer-boundary-/job-467723/,,2026-01-13T00:31:29.950075
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/wyoming/fe-warren-afb/rotorcraft-modification-specialist-secret-clearance/job-477831/,,2026-01-13T00:31:29.950121
