Data_Element,Column_Order,Datatype,Data_Format,Max_Length,Definition,Enumeration,Mandatory,Substitution,Sample_Values,Sensitivity_Level,Sensitivity_Level_2,Public,FOUO,Sensitive
GOVT BUS POC EMAIL ,65,STRING,STRING,80,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
ALT GOVT BUS POC FIRST NAME,66,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Sam,Public,1,X,X,X
ALT GOVT BUS POC MIDDLE INITIAL,67,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,Public,1,X,X,X
ALT GOVT BUS POC LAST NAME,68,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Merica,Public,1,X,X,X
ALT GOVT BUS POC TITLE,69,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,Public,1,X,X,X
ALT GOVT BUS POC ST ADD 1,70,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,123 Main Street,Public,1,X,X,X
ALT GOVT BUS POC ST ADD 2,71,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Floor 5,Public,1,X,X,X
ALT GOVT BUS POC CITY ,72,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Arlington,Public,1,X,X,X
ALT GOVT BUS POC ZIP/POSTAL CODE,73,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,99999,Public,1,X,X,X
ALT GOVT BUS POC ZIP CODE +4,74,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,0001,Public,1,X,X,X
ALT GOVT BUS POC COUNTRY CODE,75,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,USA,Public,1,X,X,X
ALT GOVT BUS POC STATE OR PROVINCE,76,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA or CAN,VA,Public,1,X,X,X
ALT GOVT BUS POC U.S. PHONE,77,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ALT GOVT BUS POC U.S. PHONE EXT,78,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
ALT GOVT BUS POC NON-U.S. PHONE,79,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ALT GOVT BUS POC FAX U.S. ONLY,80,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
ALT GOVT BUS POC EMAIL ,81,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
PAST PERF POC POC  FIRST NAME,82,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Sam,Public,1,X,X,X
PAST PERF POC POC  MIDDLE INITIAL,83,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,Public,1,X,X,X
PAST PERF POC POC  LAST NAME,84,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Merica,Public,1,X,X,X
PAST PERF POC POC  TITLE,85,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,Public,1,X,X,X
PAST PERF POC ST ADD 1,86,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,123 Main Street,Public,1,X,X,X
PAST PERF POC ST ADD 2,87,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Floor 5,Public,1,X,X,X
PAST PERF POC CITY ,88,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Arlington,Public,1,X,X,X
PAST PERF POC ZIP/POSTAL CODE,89,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,99999,Public,1,X,X,X
PAST PERF POC ZIP CODE +4,90,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,0001,Public,1,X,X,X
PAST PERF POC COUNTRY CODE,91,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,USA,Public,1,X,X,X
PAST PERF POC STATE OR PROVINCE,92,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA or CAN,VA,Public,1,X,X,X
PAST PERF POC U.S. PHONE,93,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
PAST PERF POC U.S. PHONE EXT,94,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
PAST PERF POC NON-U.S. PHONE,95,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
PAST PERF POC FAX U.S. ONLY,96,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
PAST PERF POC EMAIL ,97,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
ALT PAST PERF POC FIRST NAME,98,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Sam,Public,1,X,X,X
ALT PAST PERF POC MIDDLE INITIAL,99,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,Public,1,X,X,X
ALT PAST PERF POC LAST NAME,100,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Merica,Public,1,X,X,X
ALT PAST PERF POC TITLE,101,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,Public,1,X,X,X
ALT PAST PERF POC ST ADD 1,102,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,123 Main Street,Public,1,X,X,X
ALT PAST PERF POC ST ADD 2,103,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Floor 5,Public,1,X,X,X
ALT PAST PERF POC CITY ,104,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Arlington,Public,1,X,X,X
ALT PAST PERF POC ZIP/POSTAL CODE,105,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,99999,Public,1,X,X,X
ALT PAST PERF POC ZIP CODE +4,106,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,0001,Public,1,X,X,X
ALT PAST PERF POC COUNTRY CODE,107,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,USA,Public,1,X,X,X
ALT PAST PERF POC STATE OR PROVINCE,108,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA or CAN,VA,Public,1,X,X,X
ALT PAST PERF POC U.S. PHONE,109,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ALT PAST PERF POC U.S. PHONE EXT,110,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
ALT PAST PERF POC NON-U.S. PHONE,111,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ALT PAST PERF POC FAX U.S. ONLY,112,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
ALT PAST PERF POC EMAIL ,113,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
ELEC BUS POC FIRST NAME,114,STRING,STRING,65,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,Sam,Public,1,X,X,X
ELEC BUS POC MIDDLE INITIAL,115,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,Public,1,X,X,X
ELEC BUS POC LAST NAME,116,STRING,STRING,65,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,Merica,Public,1,X,X,X
ELEC BUS POC TITLE,117,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,Public,1,X,X,X
ELEC BUS POC ST ADD 1,118,STRING,STRING,150,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,123 Main Street,Public,1,X,X,X
ELEC BUS POC ST ADD 2,119,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Floor 5,Public,1,X,X,X
ELEC BUS POC CITY ,120,STRING,STRING,40,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,Arlington,Public,1,X,X,X
ELEC BUS POC ZIP/POSTAL CODE,121,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,99999,Public,1,X,X,X
ELEC BUS POC ZIP CODE +4,122,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,0001,Public,1,X,X,X
ELEC BUS POC COUNTRY CODE,123,STRING,STRING,3,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,USA,Public,1,X,X,X
ELEC BUS POC STATE OR PROVINCE,124,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA or CAN,VA,Public,1,X,X,X
ELEC BUS POC U.S. PHONE,125,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ELEC BUS POC U.S. PHONE EXT,126,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
ELEC BUS POC NON-U.S. PHONE,127,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ELEC BUS POC FAX U.S. ONLY,128,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
ELEC BUS POC EMAIL,129,STRING,STRING,80,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
ALT ELEC POC BUS POC FIRST NAME,130,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Sam,Public,1,X,X,X
ALT ELEC POC BUS POC MIDDLE INITIAL,131,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,Public,1,X,X,X
ALT ELEC POC BUS POC LAST NAME,132,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Merica,Public,1,X,X,X
ALT ELEC POC BUS POC TITLE,133,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,Public,1,X,X,X
ALT ELEC POC BUS ST ADD 1,134,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,123 Main Street,Public,1,X,X,X
ALT ELEC POC BUS ST ADD 2,135,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Floor 5,Public,1,X,X,X
ALT ELEC POC BUS CITY ,136,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Arlington,Public,1,X,X,X
ALT ELEC POC BUS ZIP/POSTAL CODE,137,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,99999,Public,1,X,X,X
ALT ELEC POC BUS ZIP CODE +4,138,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,0001,Public,1,X,X,X
ALT ELEC POC BUS COUNTRY CODE,139,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,USA,Public,1,X,X,X
ALT ELEC POC BUS STATE OR PROVINCE,140,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA or CAN,VA,Public,1,X,X,X
ALT ELEC POC BUS U.S. PHONE,141,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ALT ELEC POC BUS U.S. PHONE EXT,142,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
ALT ELEC POC BUS NON-U.S. PHONE,143,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ALT ELEC POC BUS FAX U.S. ONLY,144,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
ALT ELEC POC BUS EMAIL ,145,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC FIRST NAME,146,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional,,Sam,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC MIDDLE INITIAL,147,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional,,A,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC LAST NAME,148,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional,,Merica,FOUO (CUI),2,,X,X
