Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Subaward Count,Subaward Total,Recipient UEI,Recipient Name,City,State
LANL/NNSA VTC Support,,NSA,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Marine Corps Enterprise Network,MCEN,Marines,Leidos / GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Mission Partner Environment,MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Mission Partner Environment (successor to BICES),MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
SCITLS,SCITLS,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
SOCOM Digital Applications Data Science Support,—,CIA,Iron Eagle X (now GDIT),19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
SOCOM Enterprise IT Support,—,SOCOM,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
SOCOM Software Solutions IDIQ,—,SOCOM,Iron Eagle X (now GDIT),19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
LOGCAP V,LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,"$2,188,230,584.34",5665,"$4,306,848,564.92",YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",,
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,"$2,188,230,584.34",5665,"$4,306,848,564.92",YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",,
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS
PAC-3 (Consolidated),PAC-3,Army,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,Lockheed Martin Missiles & Fire Control,W31P4Q20C0023,"$10,475,203,569.62",4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Basic Ordering Agreement (NG BOA),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
BOA (General Staff Augmentation),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
BOA (Northrop Surge),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Business Operations & Analytics,BOA,DoD,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
DSS Support,DSS Support,DoD,Northrop (mention); others,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
GBSD Sentinel Missile Modernization,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Ground-Based Strategic Deterrent,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Integrated Digital Engineering Environment,IDEE,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Integrated Situational Awareness Environment,inSITE,Army,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Integrated Situational Awareness Tool Environment,inSITE,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Joint Tactical Ground Stations,JTAGS,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
NRO Ground Systems DevOps (Seal Beach),,NRO,Boeing,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
RUSHMORE,RUSHMORE,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
RUSHMORE (Already normalized),RUSHMORE,Space Force,Northrop,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel GBSD,GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel ICBM / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
STRATCOM Mission Readiness Support,SMORS,IC,Northrop Grumman (assumed),FA821920C0006,"$10,801,259,923.19",4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,ROY,UTAH
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",MORGANTOWN,WEST VIRGINIA
Global Service Management – Operations II,GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",MORGANTOWN,WEST VIRGINIA
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",MORGANTOWN,WEST VIRGINIA
Navy Enterprise Service Desk,NESD,Navy,Leidos,89243318CFE000003,"$960,260,804.00",2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",MORGANTOWN,WEST VIRGINIA
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,89243318CFE000003,"$960,260,804.00",2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",MORGANTOWN,WEST VIRGINIA
DIA ISEO,ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,,
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,,
DIA IT Sustainment (ISEO),ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,,
DIA SITE III,SITE III,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,,
Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,FA821413C0001,"$2,118,906,843.81",1634,"$1,197,559,266.92",LX3BSV6NNW58,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,ROCKVILLE,MARYLAND
DIA EMERALD,EMERALD,NGA,Peraton (Perspecta heritage),80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
NASA SENSE (Space Comms & Tracking),SENSE,NASA,Peraton,80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
NASA Space Network Evolution,SENSE,NASA,Peraton,80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
NGA Enterprise Engineering,NEE,NGA,Peraton (Perspecta heritage),80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,Peraton,80GSFC19C0063,"$1,414,704,681.90",1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,HERNDON,VIRGINIA
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Leidos; GDIT; Booz Allen; CACI; Peraton,47QFCA21F0018,"$1,379,603,153.12",1460,"$993,273,679.54",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,WASHINGTON,DISTRICT OF COLUMBIA
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,Booz Allen Hamilton,47QFCA21F0018,"$1,379,603,153.12",1460,"$993,273,679.54",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,WASHINGTON,DISTRICT OF COLUMBIA
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",47QFCA21F0018,"$1,379,603,153.12",1460,"$993,273,679.54",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,WASHINGTON,DISTRICT OF COLUMBIA
PRISM Support Services (Consolidated),PRISM,DoD,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",47QFCA21F0018,"$1,379,603,153.12",1460,"$993,273,679.54",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,WASHINGTON,DISTRICT OF COLUMBIA
Kennedy Space Center BOSS,KSC BOSS,NASA,Jacobs / Amentum (past),NNK13MA14C,"$2,099,373,524.58",1368,"$12,336,512,181.96",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",ORLANDO,FLORIDA
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,Vertex Aerospace,NNK13MA14C,"$2,099,373,524.58",1368,"$12,336,512,181.96",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",ORLANDO,FLORIDA
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,Jacobs,NNK13MA14C,"$2,099,373,524.58",1368,"$12,336,512,181.96",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",ORLANDO,FLORIDA
Mark 48 Heavyweight Torpedo,Mk-48,Navy,Raytheon (indicative),N0002422C5500,"$3,265,910,249.19",857,"$1,431,067,054.28",YD6LTFVUZNG1,RAYTHEON COMPANY,ANDOVER,MASSACHUSETTS
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Raytheon (indicative),N0002422C5500,"$3,265,910,249.19",857,"$1,431,067,054.28",YD6LTFVUZNG1,RAYTHEON COMPANY,ANDOVER,MASSACHUSETTS
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,CACI,47QFRA24F0005,"$681,999,277.86",752,"$1,008,209,906.52",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
DIA SITE III IDIQ,SITE III,DIA,"Leidos, CACI, others",47QFRA24F0005,"$681,999,277.86",752,"$1,008,209,906.52",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
NextGen GEO (Network/Ops),NGG,Space Force,Northrop Grumman,FA881018C0006,"$3,084,107,116.60",595,"$1,492,840,257.26",VSBAFMDKTWL4,NORTHROP GRUMMAN SYSTEMS CORPORATION,REDONDO BEACH,CALIFORNIA
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Northrop Grumman,FA881018C0006,"$3,084,107,116.60",595,"$1,492,840,257.26",VSBAFMDKTWL4,NORTHROP GRUMMAN SYSTEMS CORPORATION,REDONDO BEACH,CALIFORNIA
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Northrop Grumman,FA881018C0006,"$3,084,107,116.60",595,"$1,492,840,257.26",VSBAFMDKTWL4,NORTHROP GRUMMAN SYSTEMS CORPORATION,REDONDO BEACH,CALIFORNIA
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,GDIT,W56HZV19C0036,"$1,359,959,159.89",471,"$299,385,530.49",HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,STERLING HEIGHTS,MICHIGAN
INSCOM IT Support Services III,I2TS-III,Army,GDIT,W56HZV19C0036,"$1,359,959,159.89",471,"$299,385,530.49",HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,STERLING HEIGHTS,MICHIGAN
CBP Enterprise IT Support,CBP-Peraton,DHS,Peraton,GST0011AJ0025,"$609,128,623.96",315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,MC LEAN,VIRGINIA
Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),GST0011AJ0025,"$609,128,623.96",315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,MC LEAN,VIRGINIA
DHS Data Center 2,DC2,DHS,GDIT / Peraton (indicative),GST0011AJ0025,"$609,128,623.96",315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,MC LEAN,VIRGINIA
JGLASS II – Shared Services,JGLASS II,DHS,Peraton / SAIC (indicative),GST0011AJ0025,"$609,128,623.96",315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,MC LEAN,VIRGINIA
Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
GMD Weapon System (Ground C2),GWS (GMD),MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
GMD Weapon System Modernization,GWS (GMD),MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
Ground-Based Interceptor,GBI,MDA,Boeing (lead),HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
