agency,clearance_requirements,contract_number,functional_areas,hiring_velocity,job_sources,key_technologies,primary_location,prime_contractor,program_acronym,program_name,recent_30d,recent_90d,top_locations,total_job_postings,unique_locations
Air Force,Top Secret (4); Secret (2); Unknown (2),FA251822F0034,Data/Analytics (3); Network/Infrastructure (2); Engineering (2); Other (1),ACTIVE,Apex Systems: 1; Insight Global: 7,ELASTIC; LINUX; WINDOWS,"COLORADO SPRINGS, COLORADO",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,4,6,"Colorado Springs, Colorado (3); Washington, District Of Columbia (2); Savannah, GA (1); Pearl City, Hawaii (1); East Hartford, Connecticut (1)",8,5
Army,Unknown (7); TS/SCI Poly (1),70T04019C9DAP3006,Engineering (3); Network/Infrastructure (2); Other (2); Software Development (1),HOT,Apex Systems: 8,.NET,"RESTON, VIRGINIA",Leidos,IBDS,Integrated Base Defense Security System,5,7,"Reston, VA (3); Norfolk, VA (2); Washington, VA (1); Jacksonville, NC (1); Fort Belvoir, VA (1)",8,5
Army,Top Secret (6); Secret (4),W15QKN19F1290,Network/Infrastructure (7); Other (2); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 9,,"COLORADO SPRINGS, COLORADO",SAIC,PC,Project Convergence (JADC2 Experiments),3,5,"Montgomery, Alabama (7); Charlottesville, VA (1); Monroeville, Pennsylvania (1); Huntsville, Alabama (1)",10,4
DISA,Secret (3); Unknown (2),89243318CFE000003,Other (5),ACTIVE,Insight Global: 5,,"MORGANTOWN, WEST VIRGINIA",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,3,4,"Huntsville, Alabama (2); Muscatine, Iowa (1); Kings Bay, Georgia (1); Meridianville, Alabama (1)",5,4
DHS,Unknown (1); TS/SCI Poly (1); Secret (1),GST0011AJ0025,Engineering (2); Software Development (1); Other (1),SLOW,Apex Systems: 2; Insight Global: 2,,"MC LEAN, VIRGINIA",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,1,3,"Arlington, VA (1); Research Triangle Park, NC (1); Alexandria, Virginia (1); Manassas, Virginia (1)",4,4
Navy,Secret (2); Top Secret (2); TS/SCI Poly (1),N0001917C0001,Engineering (3); Software Development (1); Other (1),SLOW,Insight Global: 5,,"FORT WORTH, TEXAS",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,1,5,"Huntsville, Alabama (3); Sunset, Utah (1); Austin, Texas (1)",5,3
DISA,Secret (2); Top Secret (1),NNJ09HD46C,Engineering (2); Network/Infrastructure (1),SLOW,Insight Global: 3,,"HOUSTON, TEXAS",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),1,3,"Montgomery, Alabama (1); Grand Forks, North Dakota (1); 'Aiea, Hawaii (1)",3,3
Space Force,Top Secret (1); Unknown (1); Secret (1),FA880710C0001,Engineering (3),ACTIVE,Apex Systems: 2; Insight Global: 1,,"AURORA, COLORADO",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,2,2,"Orlando, FL (1); Aurora, CO (1); Aurora, Colorado (1)",3,3
IC,Secret (2); Unknown (1),80GSFC19C0063,Engineering (2); Data/Analytics (1),ACTIVE,Insight Global: 3,,"HERNDON, VIRGINIA",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,2,3,"O'fallon, Illinois (1); Herndon, Virginia (1); Suffolk, Virginia (1)",3,3
SOCOM,Unknown (2); Secret (1),47QFCA24F0002,Other (1); Help Desk/Service Desk (1); Engineering (1),SLOW,Apex Systems: 2; Insight Global: 1,,"TAMPA, FLORIDA",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,1,3,"Juno Beach, FL (1); Pensacola, FL (1); Tampa, Florida (1)",3,3
