parent_contract_id,parent_piid,task_order_piid,task_order_description,award_amount,obligated_amount,start_date,end_date,pop_city,pop_state,pop_country,performing_org,performing_org_uei,awarding_agency,awarding_sub_agency,naics_code,psc_code,extraction_date
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013002,PROJECT MANAGMENT OVERSIGHT SERVICES,174633.74,174633.74,2004-09-20,2005-05-20,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013001,PROJECT MANAGEMENT OVERSIGHT SERVICES,70785.81,70785.81,2004-09-20,2005-03-30,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D000130002,"TO ALLOCATE FUNDS FOR TASK ORDER 003 IN AMT. OF $275,841.00 AND ADD 1394 HOURS TO CONTINUE PERFORMING ONGOING PMO SERVICES.",0.0,0.0,2006-05-24,2006-05-24,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_OPM1511C0017_2400,OPM1511C0017,O0001,"IGF::CT,CL::IGF     INCENTIVE AWARD TASK ORDER",25000.0,25000.0,2013-02-04,2013-09-30,,,USA,,,Office of Personnel Management,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,0007,TITLE:  EARLY WARNING SERVICES,3243316.39,3243316.39,2006-08-24,2009-02-28,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,0011,TASK ORDER 0011,1152953.0,1152953.0,2006-08-25,2009-02-28,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,0009,,866711.8,866711.8,2006-08-25,2009-02-28,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,0010,,413327.01,413327.01,2006-08-25,2008-12-31,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00005,DO NOT PRINT,237969.0,237969.0,2006-05-31,2008-07-22,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00022200112CTO03DTNH2201D01103,,195000.0,195000.0,2001-12-15,2002-07-15,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00022200212CT003DTNH2201D01103,,137430.0,137430.0,2002-12-15,2003-07-15,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00022200303CT0005DTNH2201D01103,,128060.0,128060.0,2003-03-15,2003-08-15,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00022200201CT002DTNH2201D01103,,128000.0,128000.0,2002-01-15,2002-01-15,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,0008,,107397.36,107397.36,2006-08-25,2007-07-22,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00022200208CT004DTNH2201D01103,,66601.0,66601.0,2002-08-15,2004-07-15,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00004,CAFE DATABASE,63244.49,63244.49,2005-12-07,2008-07-21,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTNH2201D01103_6940,DTNH2201D01103,00022200107C0001DTNH2201D01103,,42000.0,42000.0,2001-07-15,2001-10-15,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_HHSF223201210021I_7524,HHSF223201210021I,HHSF22301002T,"""OTHER FUNCTION"" - IGF::OT::IGF EDAPTIVE SYSTEMS MAED TO",454787.21,454787.21,2013-09-11,2014-09-22,,,USA,,,Department of Health and Human Services,,,,2026-01-21
CONT_IDV_HHSF223201210021I_7524,HHSF223201210021I,HHSF22301004T,IGF::OT::IGF NEW TASK ORDER UNDER EDAPTIVE CONTRACT  FOR CDER MAED ENHANCEMENTS,429132.25,429132.25,2016-09-16,2017-09-22,,,USA,,,Department of Health and Human Services,,,,2026-01-21
CONT_IDV_HHSF223201210021I_7524,HHSF223201210021I,HHSF22301003T,"""OTHER FUNCTION"" - IGF::OT::IGF EDAPTIVE SYSTEMS MAED TO",279776.72,279776.72,2014-08-01,2015-09-22,,,USA,,,Department of Health and Human Services,,,,2026-01-21
CONT_IDV_HHSF223201210021I_7524,HHSF223201210021I,HHSF22301001T,IGF::OT::IGF   CDER-15-C-0057 OFFICE OF COMPUTATIONAL SCIENCE - NEW TASK ORDER UNDER THE EDAPTIVE CONTRACT TO DELIVER TECHNICAL SUPPORT FOR ENHANCEMENTS TO THE MAED SERVICE ANALYTICAL TOOL,243747.06,243747.06,2015-09-16,2016-09-22,,,USA,,,Department of Health and Human Services,,,,2026-01-21
