program_name,program_acronym,agency,prime_contractor,primary_location,clearance_requirements,key_technologies,functional_areas,total_job_postings,hiring_velocity,contract_number,location_count,technology_count,all_locations,all_technologies
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",Secret (3); Top Secret (3); TS/SCI Poly (1),AWS; GCP,Engineering (5); Software Development (1); Data/Analytics (1),7,ACTIVE,47QFCA20F0015,6,2,"Fayetteville, NC; Dahlgren, VIRGINIA; Vienna, VIRGINIA; Sully, VIRGINIA; Suffolk, VIRGINIA",AWS; GCP
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",Unknown (3); Top Secret (2); Secret (1),,Engineering (4); Other (1); Cybersecurity (1),6,ACTIVE,89243318CFE000003,6,0,"St. Louis, MO; Carlsbad, CA; Mount Vernon, VIRGINIA; Greece, NEW YORK; Lincoln, MASSACHUSETTS",
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",Secret (2); Top Secret (2); TS/SCI Poly (1),,Engineering (3); Software Development (1); Other (1),5,SLOW,N0001917C0001,3,0,"Huntsville, ALABAMA; Sunset, UTAH; Austin, TEXAS",
Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",Top Secret (4); Unknown (1),,Engineering (2); Logistics/Supply (1); PMO/Leadership (1); Network/Infrastructure (1),5,HOT,FA877319FA023,1,0,"San Antonio, TEXAS",
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",Secret (3); Unknown (2),,Other (5),5,ACTIVE,89243318CFE000003,4,0,"Muscatine, IOWA; Huntsville, ALABAMA; Kings Bay, GEORGIA; Meridianville, ALABAMA",
Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",Unknown (1); TS/SCI Poly (1); Secret (1),,Engineering (2); Software Development (1); Other (1),4,SLOW,GST0011AJ0025,4,0,"Arlington, VA; Research Triangle Park, NC; Alexandria, VIRGINIA; Manassas, VIRGINIA",
BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",TS/SCI Poly (2); Secret (1),ELASTIC,Other (2); Engineering (1),3,ACTIVE,FA251822F0034,2,1,"Colorado Springs, CO; Washington, DISTRICT OF COLUMBIA",Elastic
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",Secret (2); Top Secret (1),,Engineering (2); Network/Infrastructure (1),3,SLOW,NNJ09HD46C,3,0,"Montgomery, ALABAMA; Grand Forks, NORTH DAKOTA; 'Aiea, HAWAII",
GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",Top Secret (1); Unknown (1); Secret (1),,Engineering (3),3,ACTIVE,FA880710C0001,3,0,"Orlando, FL; Aurora, CO; Aurora, COLORADO",
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,"HERNDON, VIRGINIA",Secret (2); Unknown (1),,Engineering (2); Data/Analytics (1),3,ACTIVE,80GSFC19C0063,3,0,"Herndon, VIRGINIA; O'fallon, ILLINOIS; Suffolk, VIRGINIA",
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,"TAMPA, FLORIDA",Unknown (2); Secret (1),,Other (1); Help Desk/Service Desk (1); Engineering (1),3,SLOW,47QFCA24F0002,3,0,"Juno Beach, FL; Pensacola, FL; Tampa, FLORIDA",
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),"COLORADO SPRINGS, COLORADO",Top Secret (2),LINUX,Network/Infrastructure (1); Engineering (1),2,SLOW,FA882316C0004,2,1,"Colorado Springs, COLORADO; Washington, DISTRICT OF COLUMBIA",LINUX
Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),"CHANTILLY, VIRGINIA",Top Secret (2),LINUX,Technical Writing (1); Engineering (1),2,SLOW,W15QKN15C0049,2,1,"Chantilly, VIRGINIA; Rivanna, VIRGINIA",LINUX
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,"PALO ALTO, CALIFORNIA",Secret (2),,Testing/QA (1); Engineering (1),2,ACTIVE,W911QX24F0053,2,0,"Emerado, ND; Goose Creek, SOUTH CAROLINA",
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,"MCLEAN, VIRGINIA",Unknown (2),,Engineering (1); Other (1),2,ACTIVE,47QFCA22F0047,1,0,"Mclean, VIRGINIA",
Defense Enterprise Office Solutions,DEOS,DISA,CSRA / Leidos (team),"FREDERICK, MARYLAND",Unknown (1); Top Secret (1),,Engineering (1); Network/Infrastructure (1),2,ACTIVE,HHSN261200800001E,2,0,"Fayetteville, NC; North Charleston, SC",
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND",Top Secret (1); TS/SCI (1),,Data/Analytics (1); Other (1),2,SLOW,W91CRB20F0448,1,0,"Aberdeen Proving Ground, MARYLAND",
Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,"ROY, UTAH",Unknown (1); Secret (1),,Other (1); PMO/Leadership (1),2,SLOW,FA821920C0006,2,0,"Kings Bay, GEORGIA; Sunset, UTAH",
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Leidos,"FREDERICK, MARYLAND",Unknown (1); Secret (1),POSTGRES,Engineering (2),2,SLOW,HHSN261200800001E,2,1,"Cockeysville, MARYLAND; Windsor Mill, MARYLAND",POSTGRES
Global Solutions Management – Operations II,GSMO II,DISA,Leidos,"HOUSTON, TEXAS",Secret (2),,Other (2),2,SLOW,NNJ09HD46C,2,0,"Fort Bliss, TEXAS; Saint Louis, MISSOURI",
GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,"HERNDON, VIRGINIA",Unknown (2),,Software Development (1); Engineering (1),2,ACTIVE,80GSFC19C0063,2,0,"North Charleston, SC; Salt Lake City, UTAH",
Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),"CHANDLER, ARIZONA",Unknown (1); Secret (1),,Data/Analytics (1); Engineering (1),2,SLOW,HQ085621C0003,2,0,"Huntsville, ALABAMA; Tucson, AZ",
Intelligence Systems Enterprise Operations,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",TS/SCI Poly (1); Secret (1),CISCO,Cybersecurity (1); Data/Analytics (1),2,SLOW,HHSN261200800001E,2,1,"Jessup, MARYLAND; San Francisco, CALIFORNIA",CISCO
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,SAIC / LinQuest (indicative),"SAN ANTONIO, TEXAS",Secret (2),,Engineering (2),2,SLOW,FA877319FA023,1,0,"Hill AFB, UTAH",
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,"ANDOVER, MASSACHUSETTS",Unknown (1),,Software Development (1),1,SLOW,W31P4Q15C0022,1,0,"Jacksonville, FLORIDA",
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,"COLORADO SPRINGS, COLORADO",Secret (1),,Cybersecurity (1),1,SLOW,FA882316C0004,1,0,"Tyndall Air Force Base, FL",
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),"FORT GEORGE G MEADE, MARYLAND",Unknown (1),,Other (1),1,SLOW,47QFCA19F0033,1,0,"Salem, MASSACHUSETTS",
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,"CHANTILLY, VIRGINIA",Public Trust (1),,Help Desk/Service Desk (1),1,SLOW,W15QKN15C0049,1,0,"Sully, VIRGINIA",
Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,"CHANDLER, ARIZONA",Secret (1),,Software Development (1),1,SLOW,HQ085621C0003,1,0,"Hazelwood, MO",
Army Missile & Space R&D Support (Huntsville),,Army,Dynetics; Northrop teams,"ROY, UTAH",Secret (1),,Engineering (1),1,SLOW,F4261098C0001,1,0,"Huntsville, ALABAMA",
Cloud One (USAF Cloud Program),Cloud One,Air Force,SAIC,"SAN ANTONIO, TEXAS",Unknown (1),,Engineering (1),1,SLOW,FA877319FA023,1,0,"Dayton, OHIO",
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Northrop Grumman,"CHANDLER, ARIZONA",Secret (1),SQL,Software Development (1),1,SLOW,HQ085621C0003,1,1,"Redstone Arsenal, AL",SQL
Defense Enclave Services,DES,DoD,Leidos,"FREDERICK, MARYLAND",Unknown (1),PYTHON,Software Development (1),1,SLOW,HHSN261200800001E,1,1,"Sainte-Anne-De-Bellevue, QUEBEC",PYTHON
Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,"ROCKVILLE, MARYLAND",Unknown (1),,Help Desk/Service Desk (1),1,SLOW,FA821413C0001,1,0,"Hampton, VA",
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,"RESTON, VIRGINIA",Secret (1),,Software Development (1),1,SLOW,GSQ0017AJ0006,1,0,"Bossier City, LA",
GMD Weapon System (Ground C2),GWS (GMD),MDA,Northrop Grumman,"CHANDLER, ARIZONA",Secret (1),,Engineering (1),1,SLOW,HQ085621C0003,1,0,"Tucson, ARIZONA",
GPS Operational Control System (sustainment),GPS OCX,Space Force,Raytheon,"AURORA, COLORADO",Top Secret (1),,Engineering (1),1,SLOW,FA880710C0001,1,0,"Vandenberg Space Force Base, CA",
HHS Advanced Secure Data Repository,ASDR,DoD,GDIT / SAIC (indicative),"SPRINGFIELD, VIRGINIA",Unknown (1),,Data/Analytics (1),1,SLOW,19AQMM18C0185,1,0,"Washington, VA",
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,Northrop & L3Harris (co-primes),"CHANDLER, ARIZONA",Unknown (1),,Engineering (1),1,SLOW,HQ085621C0003,1,0,"Chandler, ARIZONA",
Integrated Air & Missile Defense,IAMD,Army,Raytheon,"ANDOVER, MASSACHUSETTS",Unknown (1),JAVA; REACT,Software Development (1),1,SLOW,W31P4Q15C0022,1,2,"Andover, MA",JAVA; REACT
Integrated Digital Engineering Environment,IDEE,Air Force,Northrop Grumman,"ROY, UTAH",Secret (1),,Engineering (1),1,SLOW,FA821920C0006,1,0,"Tucson, ARIZONA",
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Northrop Grumman,"ROY, UTAH",Unknown (1),,Engineering (1),1,SLOW,FA821920C0006,1,0,"San Diego, CA",
MDA Tactical Embedded Systems,,MDA,Northrop Grumman,"CHANDLER, ARIZONA",Top Secret (1),,Engineering (1),1,SLOW,HQ085621C0003,1,0,"Chandler, AZ",
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,GDIT,"SPRINGFIELD, VIRGINIA",Public Trust (1),,Other (1),1,SLOW,19AQMM18C0185,1,0,"Dhs, VIRGINIA",
MSS Smart Systems (Palantir contract),MSS,Army,Palantir,"PALO ALTO, CALIFORNIA",Secret (1),,Engineering (1),1,SLOW,W911QX24F0113,1,0,"Norfolk, VIRGINIA",
NASA SENSE (Space Comms & Tracking),SENSE,NASA,Peraton,"HERNDON, VIRGINIA",Unknown (1),ORACLE,Other (1),1,SLOW,80GSFC19C0063,1,1,"Washington, VA",ORACLE
Navy Aegis Combat System Modernization,AEGIS,Navy,Lockheed Martin,"FORT WORTH, TEXAS",Unknown (1),,Engineering (1),1,SLOW,N0001917C0001,1,0,"Fort Worth, TX",
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Northrop Grumman,"REDONDO BEACH, CALIFORNIA",Top Secret (1),C++,Engineering (1),1,SLOW,FA881018C0006,1,1,"Redondo Beach, CALIFORNIA",C++
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Northrop Grumman,"REDONDO BEACH, CALIFORNIA",Top Secret (1),,Engineering (1),1,SLOW,FA881018C0006,1,0,"El Segundo, CALIFORNIA",
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Peraton,"FORT GEORGE G MEADE, MARYLAND",Unknown (1),,Cybersecurity (1),1,SLOW,47QFCA19F0033,1,0,"Fort George G Meade, MD",
PRISM Support Services (Consolidated),PRISM,DoD,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)","WASHINGTON, DISTRICT OF COLUMBIA",Unknown (1),,Other (1),1,SLOW,47QFCA21F0018,1,0,"Milford Mill, MD",
