clearances,functional_area,job_count,locations,prime_contractor,program_acronym,program_name,sample_titles,technologies
Unknown,Other,1,"Salem, Massachusetts",Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),ARCYBER,ARCYBER Information Advantage / Mission Support (general),SPECIAL EDUCATION PARAPROFESSIONAL,
Unknown; Top Secret,Engineering,2,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,"MECHANICAL ENGINEER, PE - DESIGNER; TS/SCI ENGINEERING TECHNICIAN",
Top Secret,Logistics/Supply,1,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,TS/SCI LOGISTICS SPECIALIST,
Top Secret,PMO/Leadership,1,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,TS/SCI PROGRAM MANAGER,
Top Secret,Network/Infrastructure,1,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,TS/SCI PROGRAM ADMINISTRATOR,
Public Trust,Help Desk/Service Desk,1,"Sully, Virginia",CACI,BIM TO2,Army Backbone Infrastructure Modernization – Task Order 2,SALES SUPPORT SPECIALIST,
Secret; Unknown; TS/SCI Poly; Top Secret,Engineering,5,"Middletown, Connecticut; Groton, Connecticut; Colorado Springs, Colorado; Goose Creek, South Carolina; Vienna, Virginia",SAIC,AESMF,Army Enterprise Service Management Framework,MODEL BASED DEFINITION ENGINEER; SECRET DEVOPS ENGINEER; TOP SECRET SPLUNK ENGINEER; TS/SCI CI POLY SOFTWARE ENGINEER; CYBER SECURITY ENGINEER,SPLUNK; DEVOPS
Secret,Technical Writing,1,"Colorado Springs, Colorado",SAIC,AESMF,Army Enterprise Service Management Framework,BUYER'S TECHNICAL WRITER - SECRET,
Unknown,Data/Analytics,1,"Atlanta, Georgia",SAIC,AESMF,Army Enterprise Service Management Framework,MAINTENANCE DATA SPECIALIST,
Secret,Software Development,1,"Hazelwood, MO",Northrop Grumman,IBCS,Army Integrated Battle Command System,Software Packager/Technician - Security Tools,
Top Secret,Technical Writing,1,"Rivanna, Virginia",Northrop Grumman (prime); CACI (support),IBCS,Army Integrated Battle Command System Support,SECRET TECHNICAL EDITOR,
Top Secret,Engineering,1,"Chantilly, Virginia",Northrop Grumman (prime); CACI (support),IBCS,Army Integrated Battle Command System Support,LINUX SYSTEMS ENGINEER (TS),LINUX
Secret; Top Secret,Software Development,3,"Bossier City, LA; Fairfax, Virginia; Ashburn, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Software Developer; SECRET APPLICATION DEVELOPER; TOP SECRET .NET DEVELOPER,.NET
Unknown,Cybersecurity,2,"Arlington, VA; Fort Belvoir, VA",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Security Control Assessor; Senior Cyber Security Specialist,
Secret,Other,1,"Norfolk, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,CLEARED MARINE ELECTRICIAN,
Top Secret,Engineering,1,"Arlington, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,FULL STACK ENGINEER,
Secret,Engineering,1,"Huntsville, Alabama",Dynetics; Northrop teams,,Army Missile & Space R&D Support (Huntsville),GNC ENGINEER (FIXED WING),
Secret; Top Secret,Help Desk/Service Desk,3,"Hampton, Virginia; Detroit, Michigan; Norfolk, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,HELP DESK SUPPORT SPEC I; SECRET DEPLOYED SUPPORT SPECIALIST; TSSCI TIER 1 NETWORK MONITOR (EAST COAST),
Secret; Top Secret,PMO/Leadership,2,"Deerfield Beach, Florida; Norfolk, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,PROGRAM MANAGER; TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,
Unknown; Secret,Engineering,2,"Springfield, Virginia; Huntsville, Alabama",GDIT,BICES,Battlefield Information Collection & Exploitation System,C++ SOFTWARE ENGINEER; OPERATING ENGINEER 2,C++
Secret,Other,1,"Chesapeake, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,SECRET/INTERIM CLEARED OUTSIDE MACHINIST,
Top Secret,Network/Infrastructure,1,"Niskayuna, New York",GDIT,BICES,Battlefield Information Collection & Exploitation System,TOP SECRET SYSTEM ADMIN,
Top Secret,Cybersecurity,1,"Quantico, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,TOP SECRET ISSO,
TS/SCI Poly,Other,2,"Washington, District Of Columbia",CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant,COPY - TOP SECRET IAM ARCHITECT; TOP SECRET ICAM ARCHITECT,
Secret,Engineering,1,"Colorado Springs, CO",CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant,Sr Elastic Engineer (EDR/Defend Focus),ELASTIC
Secret,Testing/QA,1,"Emerado, ND",Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA),(VMS) NDT Test Examiner 2,
Secret,Engineering,1,"Goose Creek, South Carolina",Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA),SECRET MICROSOFT SYSTEMS ENGINEER,
Unknown,Engineering,1,"Dayton, Ohio",SAIC,Cloud One,Cloud One (USAF Cloud Program),SOFTWARE ENGINEER,
Secret; TS/SCI Poly; Top Secret,Engineering,5,"Dahlgren, Virginia; Fayetteville, NC; Sully, Virginia; Broad Run, Virginia; Vienna, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,Cloud Engineer; TOP SECRET VIRTUALIZATION/STORAGE ENGINEER; TOP SECRET AWS ENGINEER; SR. SOFTWARE ENGINEER W/ POLYGRAPH; CBP GCP PLATFORM ENGINEER (MID-LEVEL),AWS; GCP
Secret,Software Development,1,"Dahlgren, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,SECRET FULL STACK DEVELOPER,
Secret,Data/Analytics,1,"Suffolk, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,SECRET DATACENTER SME,
Secret,Software Development,1,"Redstone Arsenal, AL",Northrop Grumman,C2BMC,"Command and Control, Battle Management & Communications (MDA)",SQL Developer/Administrator,SQL
Unknown; TS/SCI Poly,Engineering,2,"Arlington, VA; Research Triangle Park, NC",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,Network Security Engineer; Data Center Engineer - RTP (TS/SCI with Full Scope Poly),
Secret,Software Development,1,"Alexandria, Virginia",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,POWER PLATFORM DEVELOPER,
Top Secret,Other,1,"Manassas, Virginia",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,SENIOR INTEGRATION SPECIALIST,
Unknown,Software Development,1,"Sainte-Anne-De-Bellevue, Quebec",Leidos,DES,Defense Enclave Services,PYTHON TESTER - V&V,PYTHON
Unknown,Engineering,1,"Mclean, Virginia",Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365,SUPPLY CHAIN SYSTEMS ENGINEER,
Unknown,Other,1,"Mclean, Virginia",Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365,TRANSPORTATION AND SHIPPING COORDINATOR,
Unknown,Engineering,1,"North Charleston, SC",CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions,Microsoft Systems Engineer,
Top Secret,Network/Infrastructure,1,"Fayetteville, NC",CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions,Client Support / Sys Admin - Site D,
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,11,"Dayton, Ohio; Cleveland, Ohio; Salt Lake City, Utah; Wilmington, Massachusetts; Elkridge, MD",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER; TS/SCI SOFTWARE ENGINEER (AFSIM); SECRET RF SYSTEM ENGINEER,C++; LINUX
Secret; Unknown; Top Secret,Other,5,"Wailuku, Hawaii; Frederick, Maryland; Huntsville, Alabama; Kings Bay, Georgia",Leidos,ISEO,DIA Information Systems Engineering Office,MARINE ELECTRICIAN; 2ND SHIFT CNC MACHINIST LEVEL 5; UT INSPECTOR; PRE-DEPLOYMENT MANAGER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,
Secret; Unknown,Software Development,2,"North Charleston, SC; Camden, New Jersey",Leidos,ISEO,DIA Information Systems Engineering Office,Software Developer; RUST DEVELOPER,
Secret,Cybersecurity,1,"Sterling Heights, Michigan",Leidos,ISEO,DIA Information Systems Engineering Office,INFORMATION SYSTEMS SECURITY OFFICER (ISSO),
Top Secret,Network/Infrastructure,1,"Dayton, Ohio",Leidos,ISEO,DIA Information Systems Engineering Office,TS/SCI SYSTEMS ADMINISTRATOR,
Unknown,PMO/Leadership,1,"Madison, Alabama",Leidos,ISEO,DIA Information Systems Engineering Office,PROJECT MANAGER,
Secret; Unknown,Other,5,"Meridianville, Alabama; Huntsville, Alabama; Kings Bay, Georgia; Muscatine, Iowa",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,REGISTERED NURSE; WELDER; PRICING MANAGER; SHIPWRIGHT; UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,
Top Secret,Data/Analytics,1,"Aberdeen Proving Ground, Maryland",Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability,SECRET VULNERABILITY PENETRATION TESTER,
TS/SCI,Other,1,"Aberdeen Proving Ground, Maryland",Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability,TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER,
Unknown,Help Desk/Service Desk,1,"Hampton, VA",BAE; multiple,DCGS,Distributed Common Ground System (AF),Tier 1 Network Monitor,
Secret,Software Development,1,"Bossier City, LA",CACI,IAC-MAC,DTRA IAC-MAC Research & Analysis,Software Developer Advisor,
Secret; Top Secret,Engineering,8,"Broomfield, Colorado; New London, Connecticut; Manchester, New Hampshire; El Segundo, California; Plymouth, Minnesota",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER; EMBEDDED SOFTWARE ENGINEER; SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,
Top Secret,Other,1,"Colorado Springs, Colorado",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",SCHEDULER,
Secret; Top Secret,Engineering,4,"El Segundo, California; Anaheim, California; Solana Beach, California; Hanahan, South Carolina",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ENGINEER - LEVEL 3; SAFETY ENGINEER; AEROMECHANICAL ENGINEER; TS/SCI SENIOR DEVSECOPS ENGINEER,DEVSECOPS
Secret; Unknown,Other,3,"San Diego, California; Santa Cruz, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SUPPORT COUNSELOR; ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN; V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,
Secret,Network/Infrastructure,2,"Vista, California; San Diego, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ADMINISTRATOR; SECRET CUSTOMER SUPPORT ADMIN,
Secret,Testing/QA,1,"Palmdale, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,
Top Secret,Help Desk/Service Desk,1,"Beale AFB, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),TSSCI TIER 1 NETWORK MONITOR,
Secret,Data/Analytics,1,"Jacksonville, North Carolina",L3Harris (historical),GBS,GBS (Global Broadcast Service),SECRET AMPHIBIOUS RAIDS INSTRUCTOR,
Secret,Technical Writing,1,"San Diego, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SECRET CLEARED TECHNICAL WRITER,
Unknown,Other,1,"Kings Bay, Georgia",Northrop Grumman,GCCS-J,Global Command and Control System – Joint,PIPEFITTER,
Secret,PMO/Leadership,1,"Sunset, Utah",Northrop Grumman,GCCS-J,Global Command and Control System – Joint,SECRET LEAD F-16 SIMULATOR TECHNICIAN,
Secret; Unknown,Engineering,2,"Cockeysville, Maryland; Windsor Mill, Maryland",Leidos,GCCS-J,Global Command and Control System – Joint (Variant),SENIOR POSTGRES DATABASE ENGINEER; ELECTRICAL ENGINEER,POSTGRES
Secret,Engineering,2,"'Aiea, Hawaii; Montgomery, Alabama",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),SECRET SECURITY ENGINEER (BOUNDARY); SR NETWORK DESIGN ENGINEER,
Top Secret,Network/Infrastructure,1,"Grand Forks, North Dakota",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),TS/SCI SYSTEM ADMINISTRATOR,
Secret; Unknown,Other,6,"Suffolk, Virginia; Huntsville, Alabama; Kings Bay, Georgia",Leidos,GSM-O II,Global Service Management – Operations II,STRUCTURAL WELDER; PROGRAM INTEGRATOR; BLASTER / PAINTER; SECRET KNOWLEDGE MANAGEMENT SPECIALIST; SHIPFITTER,
Secret; Unknown; Top Secret,Cybersecurity,5,"Hampton, Virginia; Tarpon Springs, Florida; Albuquerque, New Mexico; Sterling Heights, Michigan",Leidos,GSM-O II,Global Service Management – Operations II,"HOSPITAL SECURITY OFFICER; SECRET ISSO; TSSCI CYBER ANALYST; TSSCI CYBER CAPABILITIES TRAINER; INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN",
Unknown; Secret,Engineering,2,"Huntsville, Alabama; Woburn, Massachusetts",Leidos,GSM-O II,Global Service Management – Operations II,DEVSECOPS ENGINEER - SECRET CLEARANCE; HARDWARE LAB STRING ENGINEER,DEVSECOPS
Unknown; Top Secret,Data/Analytics,2,"O'fallon, Illinois; Wilmington, Delaware",Leidos,GSM-O II,Global Service Management – Operations II,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA; AIR MOBILITY OPERATIONS SME,
Top Secret,Network/Infrastructure,1,"Dayton, Ohio",Leidos,GSM-O II,Global Service Management – Operations II,KUBERNETES ADMINISTRATOR,KUBERNETES
Secret,PMO/Leadership,1,"Chambersburg, Pennsylvania",Leidos,GSM-O II,Global Service Management – Operations II,DEPUTY PROGRAM MANAGER,
Unknown,Software Development,1,"New York, New York",Leidos,GSM-O II,Global Service Management – Operations II,COLDFUSION DEVELOPER,
Secret,Other,2,"Saint Louis, Missouri; Fort Bliss, Texas",Leidos,GSMO II,Global Solutions Management – Operations II,SECRET CLEARED SOLUTIONS ARCHITECT; SUPERINTENDENT - MILCON,
Secret,Engineering,1,"Tucson, Arizona",Northrop Grumman,GWS (GMD),GMD Weapon System (Ground C2),SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE),
Secret; Unknown; Top Secret,Engineering,3,"Orlando, FL; Aurora, CO; Aurora, Colorado",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,Structural Mechanical/Professional Engineer; Software Engineer - ENG05 - Cleared On-Site; SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,
Top Secret,Engineering,1,"Vandenberg Space Force Base, CA",Raytheon,GPS OCX,GPS Operational Control System (sustainment),Technicians &amp; Engineers,
Unknown,Software Development,1,"North Charleston, SC",Peraton,GRASP,GRASP (Raytheon/Peraton),Software Developer,
Unknown,Engineering,1,"Salt Lake City, Utah",Peraton,GRASP,GRASP (Raytheon/Peraton),FIELD ENGINEER (CENTRAL US),
Unknown,Data/Analytics,1,"Tucson, AZ",Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense,Data Entry Specialist,
Secret,Engineering,1,"Huntsville, Alabama",Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense,MECHANICAL ENGINEER - SECRET CLEARANCE,
Unknown,Data/Analytics,1,"Washington, VA",GDIT / SAIC (indicative),ASDR,HHS Advanced Secure Data Repository,Sr Business Systems Analyst (PPBE),
Unknown,Engineering,1,"Chandler, Arizona",Northrop & L3Harris (co-primes),HBTSS,Hypersonic & Ballistic Tracking Space Sensor,CLEARED GNC SR. PRINCIPAL ENGINEER,
Unknown,Software Development,1,"Andover, MA",Raytheon,IAMD,Integrated Air & Missile Defense,JAVA/REACT Developer,JAVA; REACT
Unknown,Engineering,3,"Reston, VA; Jacksonville, NC; Norfolk, VA",Leidos,IBDS,Integrated Base Defense Security System,Communications Network Engineer Mid (Norfolk); Network Switching Design Engineer Sr-Camp Lejeune; Sr Network Engineer,
Unknown; TS/SCI Poly,Network/Infrastructure,2,"Fort Belvoir, VA; Reston, VA",Leidos,IBDS,Integrated Base Defense Security System,Sr Systems Administrator; Systems Administrator,
Unknown,Other,2,"Reston, VA; Norfolk, VA",Leidos,IBDS,Integrated Base Defense Security System,Siemens OpsCenter Solutions Architect; Sr ISSE,
Unknown,Software Development,1,"Washington, VA",Leidos,IBDS,Integrated Base Defense Security System,.NET Developer - Placement,.NET
Secret,Engineering,1,"Tucson, Arizona",Northrop Grumman,IDEE,Integrated Digital Engineering Environment,ELECTRICAL ENGINEER 4,
TS/SCI Poly,Cybersecurity,1,"Jessup, Maryland",Leidos,ISEO,Intelligence Systems Enterprise Operations,TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,
Secret,Data/Analytics,1,"San Francisco, California",Leidos,ISEO,Intelligence Systems Enterprise Operations,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)",CISCO
Unknown,Engineering,1,"San Diego, CA",Northrop Grumman,inSITE,Intelligence Systems Infrastructure Tools & Enhancements,Engineering Manager,
Top Secret,Engineering,1,"Chandler, AZ",Northrop Grumman,,MDA Tactical Embedded Systems,(VMS) Guidance Navigation &amp; Control Engineer,
Public Trust,Other,1,"Dhs, Virginia",GDIT,MPE / MPCO,Mission Partner Environment (Field Ops / MPCO),PROJECT CONTROLS,
Secret,Engineering,1,"Norfolk, Virginia",Palantir,MSS,MSS Smart Systems (Palantir contract),DATA ENGINEER,
Unknown; Secret,Engineering,2,"Herndon, Virginia; Suffolk, Virginia",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,SECRET DATABASE ENGINEER; SIMULATION SYSTEMS ENGINEER II,
Secret,Data/Analytics,1,"O'fallon, Illinois",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,DATA ANALYST,
Unknown,Other,1,"Washington, VA",Peraton,SENSE,NASA SENSE (Space Comms & Tracking),Oracle DBA,ORACLE
Unknown,Engineering,1,"Fort Worth, TX",Lockheed Martin,AEGIS,Navy Aegis Combat System Modernization,IT System Engineer,
Top Secret,Engineering,1,"Redondo Beach, California",Northrop Grumman,Next-Gen OPIR,Next-Gen OPIR (Ground + Payload),TS/SCI C++ SOFTWARE ENGINEER,C++
Top Secret,Engineering,1,"El Segundo, California",Northrop Grumman,NG OPIR (classified),Next-Generation Overhead Persistent Infrared,VERIFICATION & VALIDATION ENGINEER,
Secret; Unknown; Top Secret,Engineering,4,"Mount Vernon, Virginia; Fairfax, Virginia; Greece, New York; Carlsbad, CA",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Secure Enterprise Engineer; TS/SCI SR. NETWORK ENGINEER; DIGITAL HARDWARE ENGINEER; SECRET NETWORK ENGINEER,
Unknown,Other,1,"St. Louis, MO",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Ops Tech II,
Top Secret,Cybersecurity,1,"Lincoln, Massachusetts",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,
Unknown,Cybersecurity,1,"Fort George G Meade, MD",Peraton,IAE,Peraton ARCYBER Information Advantage Enterprise,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),
Unknown,Other,1,"Milford Mill, MD","11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",PRISM,PRISM Support Services (Consolidated),Microsoft Copilot Studio AI SME,
Secret; Top Secret,Network/Infrastructure,7,"Montgomery, Alabama",SAIC,PC,Project Convergence (JADC2 Experiments),SECRET NETWORK ADMINISTRATOR II (DAYS); TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON); TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON); TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT); SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),
Top Secret,Other,2,"Charlottesville, VA; Monroeville, Pennsylvania",SAIC,PC,Project Convergence (JADC2 Experiments),Install Specialist / IT Certified Professional; TOP SECRET HARDWARE TECH,
Top Secret,Engineering,1,"Huntsville, Alabama",SAIC,PC,Project Convergence (JADC2 Experiments),TOP SECRET OPERATIONS SUPPORT ENGINEER,
Unknown,Other,1,"Juno Beach, FL",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,Project Management Consultant-Level 3 - Senior (11 - 15 Years),
Unknown,Help Desk/Service Desk,1,"Pensacola, FL",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,Deployed Support Specialist Mid- Pensacola,
Secret,Engineering,1,"Tampa, Florida",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,SR PROJECT ENGINEER,
Secret,Engineering,2,"Hill AFB, Utah",SAIC / LinQuest (indicative),SPICE,SPICE (Space Payload Integration & Cyber Eng),SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER; JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,
