clearances_at_location,functional_area,job_count_at_location,location,prime_contractor,program_acronym,program_name,sample_titles
Secret; Top Secret,Engineering,3,"Huntsville, Alabama",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,ELECTRICAL ENGINEER - SECRET CLEARANCE; SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE; TS/SCI - SENIOR SURVIVABILITY ENGINEER
Top Secret,Software Development,1,"Sunset, Utah",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,CLEARED MS&A DEVELOPER
Top Secret,Data/Analytics,2,"Alexandria, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST
Secret,Software Development,2,"Alexandria, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,SOFTWARE ARCHITECT
Secret; Unknown,Other,1,"Braddock, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,IT Specialist Senior; ESS HELPDESK TECHNICIAN
Secret,Network/Infrastructure,1,"Dahlgren, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,SECRET WINDOWS SYSTEMS ADMINISTRATOR
Unknown,PMO/Leadership,1,"Herndon, VA","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,EVMS Lead Program Control Consultant
Top Secret,Cybersecurity,1,"Oakton, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,ISSO- TOP SECRET- ON SITE
Secret; Unknown,Other,1,"Quantico, VA","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,IT Specialist Senior; ESS HELPDESK TECHNICIAN
Top Secret,Network/Infrastructure,1,"Colorado Springs, Colorado",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)"
Top Secret,Engineering,1,"Washington, District Of Columbia",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,TOP SECRET SOFTWARE ENGINEER
Unknown; Top Secret,Engineering,5,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,"MECHANICAL ENGINEER, PE - DESIGNER; TS/SCI ENGINEERING TECHNICIAN"
Top Secret,Logistics/Supply,5,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,TS/SCI LOGISTICS SPECIALIST
Top Secret,Network/Infrastructure,5,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,TS/SCI PROGRAM ADMINISTRATOR
Top Secret,PMO/Leadership,5,"San Antonio, Texas",SAIC,AESD,Army AESD Enterprise Service Desk,TS/SCI PROGRAM MANAGER
Public Trust,Help Desk/Service Desk,1,"Sully, Virginia",CACI,BIM TO2,Army Backbone Infrastructure Modernization – Task Order 2,SALES SUPPORT SPECIALIST
Unknown,Data/Analytics,1,"Atlanta, Georgia",SAIC,AESMF,Army Enterprise Service Management Framework,MAINTENANCE DATA SPECIALIST
Secret; Unknown; TS/SCI Poly; Top Secret,Engineering,2,"Colorado Springs, Colorado",SAIC,AESMF,Army Enterprise Service Management Framework,MODEL BASED DEFINITION ENGINEER; SECRET DEVOPS ENGINEER; TOP SECRET SPLUNK ENGINEER
Secret,Technical Writing,2,"Colorado Springs, Colorado",SAIC,AESMF,Army Enterprise Service Management Framework,BUYER'S TECHNICAL WRITER - SECRET
Secret; Unknown; TS/SCI Poly; Top Secret,Engineering,1,"Goose Creek, South Carolina",SAIC,AESMF,Army Enterprise Service Management Framework,MODEL BASED DEFINITION ENGINEER; SECRET DEVOPS ENGINEER; TOP SECRET SPLUNK ENGINEER
Secret; Unknown; TS/SCI Poly; Top Secret,Engineering,1,"Groton, Connecticut",SAIC,AESMF,Army Enterprise Service Management Framework,MODEL BASED DEFINITION ENGINEER; SECRET DEVOPS ENGINEER; TOP SECRET SPLUNK ENGINEER
Secret; Unknown; TS/SCI Poly; Top Secret,Engineering,1,"Middletown, Connecticut",SAIC,AESMF,Army Enterprise Service Management Framework,MODEL BASED DEFINITION ENGINEER; SECRET DEVOPS ENGINEER; TOP SECRET SPLUNK ENGINEER
Secret; Unknown; TS/SCI Poly; Top Secret,Engineering,1,"Vienna, Virginia",SAIC,AESMF,Army Enterprise Service Management Framework,MODEL BASED DEFINITION ENGINEER; SECRET DEVOPS ENGINEER; TOP SECRET SPLUNK ENGINEER
Unknown,Cybersecurity,1,"Arlington, VA",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Security Control Assessor; Senior Cyber Security Specialist
Top Secret,Engineering,1,"Arlington, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,FULL STACK ENGINEER
Secret; Top Secret,Software Development,1,"Ashburn, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Software Developer; SECRET APPLICATION DEVELOPER; TOP SECRET .NET DEVELOPER
Secret; Top Secret,Software Development,1,"Bossier City, LA",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Software Developer; SECRET APPLICATION DEVELOPER; TOP SECRET .NET DEVELOPER
Secret; Top Secret,Software Development,1,"Fairfax, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Software Developer; SECRET APPLICATION DEVELOPER; TOP SECRET .NET DEVELOPER
Unknown,Cybersecurity,1,"Fort Belvoir, VA",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,Security Control Assessor; Senior Cyber Security Specialist
Secret,Other,1,"Norfolk, Virginia",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,CLEARED MARINE ELECTRICIAN
Secret,Software Development,1,"Hazelwood, MO",Northrop Grumman,IBCS,Army Integrated Battle Command System,Software Packager/Technician - Security Tools
Top Secret,Engineering,1,"Chantilly, Virginia",Northrop Grumman (prime); CACI (support),IBCS,Army Integrated Battle Command System Support,LINUX SYSTEMS ENGINEER (TS)
Top Secret,Technical Writing,1,"Rivanna, Virginia",Northrop Grumman (prime); CACI (support),IBCS,Army Integrated Battle Command System Support,SECRET TECHNICAL EDITOR
Secret,Engineering,1,"Huntsville, Alabama",Dynetics; Northrop teams,,Army Missile & Space R&D Support (Huntsville),GNC ENGINEER (FIXED WING)
Secret,Engineering,1,"Colorado Springs, CO",CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant,Sr Elastic Engineer (EDR/Defend Focus)
TS/SCI Poly,Other,2,"Washington, District Of Columbia",CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant,COPY - TOP SECRET IAM ARCHITECT; TOP SECRET ICAM ARCHITECT
Secret,Other,1,"Chesapeake, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,SECRET/INTERIM CLEARED OUTSIDE MACHINIST
Secret; Top Secret,PMO/Leadership,1,"Deerfield Beach, Florida",GDIT,BICES,Battlefield Information Collection & Exploitation System,PROGRAM MANAGER; TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM
Secret; Top Secret,Help Desk/Service Desk,1,"Detroit, Michigan",GDIT,BICES,Battlefield Information Collection & Exploitation System,HELP DESK SUPPORT SPEC I; SECRET DEPLOYED SUPPORT SPECIALIST; TSSCI TIER 1 NETWORK MONITOR (EAST COAST)
Secret; Top Secret,Help Desk/Service Desk,1,"Hampton, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,HELP DESK SUPPORT SPEC I; SECRET DEPLOYED SUPPORT SPECIALIST; TSSCI TIER 1 NETWORK MONITOR (EAST COAST)
Unknown; Secret,Engineering,1,"Huntsville, Alabama",GDIT,BICES,Battlefield Information Collection & Exploitation System,C++ SOFTWARE ENGINEER; OPERATING ENGINEER 2
Top Secret,Network/Infrastructure,1,"Niskayuna, New York",GDIT,BICES,Battlefield Information Collection & Exploitation System,TOP SECRET SYSTEM ADMIN
Secret; Top Secret,Help Desk/Service Desk,2,"Norfolk, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,HELP DESK SUPPORT SPEC I; SECRET DEPLOYED SUPPORT SPECIALIST; TSSCI TIER 1 NETWORK MONITOR (EAST COAST)
Secret; Top Secret,PMO/Leadership,2,"Norfolk, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,PROGRAM MANAGER; TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM
Top Secret,Cybersecurity,1,"Quantico, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,TOP SECRET ISSO
Unknown; Secret,Engineering,1,"Springfield, Virginia",GDIT,BICES,Battlefield Information Collection & Exploitation System,C++ SOFTWARE ENGINEER; OPERATING ENGINEER 2
Secret,Testing/QA,1,"Emerado, ND",Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA),(VMS) NDT Test Examiner 2
Secret,Engineering,1,"Goose Creek, South Carolina",Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA),SECRET MICROSOFT SYSTEMS ENGINEER
Secret; TS/SCI Poly; Top Secret,Engineering,1,"Broad Run, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,Cloud Engineer; TOP SECRET VIRTUALIZATION/STORAGE ENGINEER; TOP SECRET AWS ENGINEER
Secret; TS/SCI Poly; Top Secret,Engineering,2,"Dahlgren, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,Cloud Engineer; TOP SECRET VIRTUALIZATION/STORAGE ENGINEER; TOP SECRET AWS ENGINEER
Secret,Software Development,2,"Dahlgren, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,SECRET FULL STACK DEVELOPER
Secret; TS/SCI Poly; Top Secret,Engineering,1,"Fayetteville, NC",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,Cloud Engineer; TOP SECRET VIRTUALIZATION/STORAGE ENGINEER; TOP SECRET AWS ENGINEER
Secret,Data/Analytics,1,"Suffolk, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,SECRET DATACENTER SME
Secret; TS/SCI Poly; Top Secret,Engineering,1,"Sully, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,Cloud Engineer; TOP SECRET VIRTUALIZATION/STORAGE ENGINEER; TOP SECRET AWS ENGINEER
Secret; TS/SCI Poly; Top Secret,Engineering,1,"Vienna, Virginia",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,Cloud Engineer; TOP SECRET VIRTUALIZATION/STORAGE ENGINEER; TOP SECRET AWS ENGINEER
Unknown,Engineering,1,"Dayton, Ohio",SAIC,Cloud One,Cloud One (USAF Cloud Program),SOFTWARE ENGINEER
Secret,Software Development,1,"Redstone Arsenal, AL",Northrop Grumman,C2BMC,"Command and Control, Battle Management & Communications (MDA)",SQL Developer/Administrator
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Beavercreek, Ohio",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Berkeley, Missouri",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Secret; Unknown,Software Development,1,"Camden, New Jersey",Leidos,ISEO,DIA Information Systems Engineering Office,Software Developer; RUST DEVELOPER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Cleveland, Ohio",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,2,"Dayton, Ohio",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Top Secret,Network/Infrastructure,2,"Dayton, Ohio",Leidos,ISEO,DIA Information Systems Engineering Office,TS/SCI SYSTEMS ADMINISTRATOR
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Elkridge, MD",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Secret; Unknown; Top Secret,Other,1,"Frederick, Maryland",Leidos,ISEO,DIA Information Systems Engineering Office,MARINE ELECTRICIAN; 2ND SHIFT CNC MACHINIST LEVEL 5; UT INSPECTOR
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Grand Forks, North Dakota",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Hanover, Maryland",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Secret; Unknown; Top Secret,Other,1,"Huntsville, Alabama",Leidos,ISEO,DIA Information Systems Engineering Office,MARINE ELECTRICIAN; 2ND SHIFT CNC MACHINIST LEVEL 5; UT INSPECTOR
Secret; Unknown; Top Secret,Other,2,"Kings Bay, Georgia",Leidos,ISEO,DIA Information Systems Engineering Office,MARINE ELECTRICIAN; 2ND SHIFT CNC MACHINIST LEVEL 5; UT INSPECTOR
Unknown,PMO/Leadership,1,"Madison, Alabama",Leidos,ISEO,DIA Information Systems Engineering Office,PROJECT MANAGER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Niskayuna, New York",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Secret; Unknown,Software Development,1,"North Charleston, SC",Leidos,ISEO,DIA Information Systems Engineering Office,Software Developer; RUST DEVELOPER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Salt Lake City, Utah",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Scott Air Force Base, Illinois",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Secret,Cybersecurity,1,"Sterling Heights, Michigan",Leidos,ISEO,DIA Information Systems Engineering Office,INFORMATION SYSTEMS SECURITY OFFICER (ISSO)
Secret; Unknown; Top Secret,Other,1,"Wailuku, Hawaii",Leidos,ISEO,DIA Information Systems Engineering Office,MARINE ELECTRICIAN; 2ND SHIFT CNC MACHINIST LEVEL 5; UT INSPECTOR
Unknown; Secret; TS/SCI Poly; Top Secret,Engineering,1,"Wilmington, Massachusetts",Leidos,ISEO,DIA Information Systems Engineering Office,(VMS) Engineering Writer and Instructor; SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED; TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER
Secret; Unknown,Other,2,"Huntsville, Alabama",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,REGISTERED NURSE; WELDER; PRICING MANAGER
Secret; Unknown,Other,1,"Kings Bay, Georgia",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,REGISTERED NURSE; WELDER; PRICING MANAGER
Secret; Unknown,Other,1,"Meridianville, Alabama",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,REGISTERED NURSE; WELDER; PRICING MANAGER
Secret; Unknown,Other,1,"Muscatine, Iowa",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,REGISTERED NURSE; WELDER; PRICING MANAGER
Top Secret,Data/Analytics,2,"Aberdeen Proving Ground, Maryland",Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability,SECRET VULNERABILITY PENETRATION TESTER
TS/SCI,Other,2,"Aberdeen Proving Ground, Maryland",Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability,TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER
Secret,Software Development,1,"Bossier City, LA",CACI,IAC-MAC,DTRA IAC-MAC Research & Analysis,Software Developer Advisor
Secret,Software Development,1,"Alexandria, Virginia",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,POWER PLATFORM DEVELOPER
Unknown; TS/SCI Poly,Engineering,1,"Arlington, VA",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,Network Security Engineer; Data Center Engineer - RTP (TS/SCI with Full Scope Poly)
Top Secret,Other,1,"Manassas, Virginia",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,SENIOR INTEGRATION SPECIALIST
Unknown; TS/SCI Poly,Engineering,1,"Research Triangle Park, NC",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,Network Security Engineer; Data Center Engineer - RTP (TS/SCI with Full Scope Poly)
Unknown,Software Development,1,"Sainte-Anne-De-Bellevue, Quebec",Leidos,DES,Defense Enclave Services,PYTHON TESTER - V&V
Unknown,Engineering,2,"Mclean, Virginia",Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365,SUPPLY CHAIN SYSTEMS ENGINEER
Unknown,Other,2,"Mclean, Virginia",Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365,TRANSPORTATION AND SHIPPING COORDINATOR
Top Secret,Network/Infrastructure,1,"Fayetteville, NC",CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions,Client Support / Sys Admin - Site D
Unknown,Engineering,1,"North Charleston, SC",CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions,Microsoft Systems Engineer
Unknown,Help Desk/Service Desk,1,"Hampton, VA",BAE; multiple,DCGS,Distributed Common Ground System (AF),Tier 1 Network Monitor
Secret; Top Secret,Engineering,1,"Broomfield, Colorado",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Secret; Top Secret,Engineering,3,"Colorado Springs, Colorado",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Top Secret,Other,3,"Colorado Springs, Colorado",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",SCHEDULER
Secret; Top Secret,Engineering,1,"El Segundo, California",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Secret; Top Secret,Engineering,1,"Manchester, New Hampshire",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Secret; Top Secret,Engineering,1,"New London, Connecticut",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Secret; Top Secret,Engineering,1,"Plymouth, Minnesota",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Secret; Top Secret,Engineering,1,"Seattle, Washington",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",FPGA DESIGN ENGINEER - SECRET CLEARANCE; TRANSITION TO OPERATIONS ENGINEER; MECHANICAL SYSTEMS ENGINEER
Secret; Top Secret,Engineering,1,"Anaheim, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ENGINEER - LEVEL 3; SAFETY ENGINEER; AEROMECHANICAL ENGINEER
Top Secret,Help Desk/Service Desk,1,"Beale AFB, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),TSSCI TIER 1 NETWORK MONITOR
Secret; Top Secret,Engineering,1,"El Segundo, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ENGINEER - LEVEL 3; SAFETY ENGINEER; AEROMECHANICAL ENGINEER
Secret; Top Secret,Engineering,1,"Hanahan, South Carolina",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ENGINEER - LEVEL 3; SAFETY ENGINEER; AEROMECHANICAL ENGINEER
Secret,Data/Analytics,1,"Jacksonville, North Carolina",L3Harris (historical),GBS,GBS (Global Broadcast Service),SECRET AMPHIBIOUS RAIDS INSTRUCTOR
Secret,Testing/QA,1,"Palmdale, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3
Secret,Network/Infrastructure,4,"San Diego, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ADMINISTRATOR; SECRET CUSTOMER SUPPORT ADMIN
Secret; Unknown,Other,4,"San Diego, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SUPPORT COUNSELOR; ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN; V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN
Secret,Technical Writing,4,"San Diego, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SECRET CLEARED TECHNICAL WRITER
Secret; Unknown,Other,1,"Santa Cruz, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SUPPORT COUNSELOR; ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN; V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN
Secret; Top Secret,Engineering,1,"Solana Beach, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ENGINEER - LEVEL 3; SAFETY ENGINEER; AEROMECHANICAL ENGINEER
Secret,Network/Infrastructure,1,"Vista, California",L3Harris (historical),GBS,GBS (Global Broadcast Service),SYSTEMS ADMINISTRATOR; SECRET CUSTOMER SUPPORT ADMIN
Secret,Engineering,1,"Tucson, Arizona",Northrop Grumman,GWS (GMD),GMD Weapon System (Ground C2),SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE)
Secret; Unknown; Top Secret,Engineering,1,"Aurora, CO",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,Structural Mechanical/Professional Engineer; Software Engineer - ENG05 - Cleared On-Site; SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4
Secret; Unknown; Top Secret,Engineering,1,"Aurora, Colorado",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,Structural Mechanical/Professional Engineer; Software Engineer - ENG05 - Cleared On-Site; SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4
Secret; Unknown; Top Secret,Engineering,1,"Orlando, FL",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,Structural Mechanical/Professional Engineer; Software Engineer - ENG05 - Cleared On-Site; SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4
Top Secret,Engineering,1,"Vandenberg Space Force Base, CA",Raytheon,GPS OCX,GPS Operational Control System (sustainment),Technicians &amp; Engineers
Unknown,Software Development,1,"North Charleston, SC",Peraton,GRASP,GRASP (Raytheon/Peraton),Software Developer
Unknown,Engineering,1,"Salt Lake City, Utah",Peraton,GRASP,GRASP (Raytheon/Peraton),FIELD ENGINEER (CENTRAL US)
Unknown,Other,1,"Kings Bay, Georgia",Northrop Grumman,GCCS-J,Global Command and Control System – Joint,PIPEFITTER
Secret,PMO/Leadership,1,"Sunset, Utah",Northrop Grumman,GCCS-J,Global Command and Control System – Joint,SECRET LEAD F-16 SIMULATOR TECHNICIAN
Secret; Unknown,Engineering,1,"Cockeysville, Maryland",Leidos,GCCS-J,Global Command and Control System – Joint (Variant),SENIOR POSTGRES DATABASE ENGINEER; ELECTRICAL ENGINEER
