agency,clearance_requirements,contract_number,functional_areas,hiring_velocity,job_sources,key_technologies,primary_location,prime_contractor,program_acronym,program_name,recent_30d,recent_90d,top_locations,total_job_postings,unique_locations
Army,Secret (3); Unknown (2); Top Secret (2),47QFRA19F0011,Software Development (3); Cybersecurity (2); Other (1); Engineering (1),ACTIVE,Apex Systems: 3; Insight Global: 4,.NET,"ARLINGTON, VIRGINIA",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,3,5,"Arlington, VA (1); Fort Belvoir, VA (1); Bossier City, LA (1); Norfolk, Virginia (1); Arlington, Virginia (1)",7,7
DoD,Secret (3); Top Secret (3); TS/SCI Poly (1),47QFCA20F0015,Engineering (5); Software Development (1); Data/Analytics (1),ACTIVE,Apex Systems: 1; Insight Global: 6,AWS; GCP,"HERNDON, VIRGINIA",Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services,4,5,"Dahlgren, Virginia (2); Fayetteville, NC (1); Vienna, Virginia (1); Sully, Virginia (1); Suffolk, Virginia (1)",7,6
Navy,Unknown (3); Top Secret (2); Secret (1),89243318CFE000003,Engineering (4); Other (1); Cybersecurity (1),ACTIVE,Apex Systems: 2; Insight Global: 4,,"MORGANTOWN, WEST VIRGINIA",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",2,5,"St. Louis, MO (1); Carlsbad, CA (1); Mount Vernon, Virginia (1); Greece, New York (1); Lincoln, Massachusetts (1)",6,6
Navy,Secret (2); Top Secret (2); TS/SCI Poly (1),N0001917C0001,Engineering (3); Software Development (1); Other (1),SLOW,Insight Global: 5,,"FORT WORTH, TEXAS",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,1,5,"Huntsville, Alabama (3); Sunset, Utah (1); Austin, Texas (1)",5,3
Army,Top Secret (4); Unknown (1),FA877319FA023,Engineering (2); Logistics/Supply (1); PMO/Leadership (1); Network/Infrastructure (1),HOT,Insight Global: 5,,"SAN ANTONIO, TEXAS",SAIC,AESD,Army AESD Enterprise Service Desk,5,5,"San Antonio, Texas (5)",5,1
DISA,Secret (3); Unknown (2),89243318CFE000003,Other (5),ACTIVE,Insight Global: 5,,"MORGANTOWN, WEST VIRGINIA",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,3,4,"Huntsville, Alabama (2); Muscatine, Iowa (1); Kings Bay, Georgia (1); Meridianville, Alabama (1)",5,4
DHS,Unknown (1); TS/SCI Poly (1); Secret (1),GST0011AJ0025,Engineering (2); Software Development (1); Other (1),SLOW,Apex Systems: 2; Insight Global: 2,,"MC LEAN, VIRGINIA",Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization,1,3,"Arlington, VA (1); Research Triangle Park, NC (1); Alexandria, Virginia (1); Manassas, Virginia (1)",4,4
DIA,TS/SCI Poly (2); Secret (1),FA251822F0034,Other (2); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 2,ELASTIC,"COLORADO SPRINGS, COLORADO",CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant,3,3,"Washington, District Of Columbia (2); Colorado Springs, CO (1)",3,2
DISA,Secret (2); Top Secret (1),NNJ09HD46C,Engineering (2); Network/Infrastructure (1),SLOW,Insight Global: 3,,"HOUSTON, TEXAS",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),1,3,"Montgomery, Alabama (1); Grand Forks, North Dakota (1); 'Aiea, Hawaii (1)",3,3
Space Force,Top Secret (1); Unknown (1); Secret (1),FA880710C0001,Engineering (3),ACTIVE,Apex Systems: 2; Insight Global: 1,,"AURORA, COLORADO",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,2,2,"Orlando, FL (1); Aurora, CO (1); Aurora, Colorado (1)",3,3
IC,Secret (2); Unknown (1),80GSFC19C0063,Engineering (2); Data/Analytics (1),ACTIVE,Insight Global: 3,,"HERNDON, VIRGINIA",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,2,3,"O'fallon, Illinois (1); Herndon, Virginia (1); Suffolk, Virginia (1)",3,3
SOCOM,Unknown (2); Secret (1),47QFCA24F0002,Other (1); Help Desk/Service Desk (1); Engineering (1),SLOW,Apex Systems: 2; Insight Global: 1,,"TAMPA, FLORIDA",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,1,3,"Juno Beach, FL (1); Pensacola, FL (1); Tampa, Florida (1)",3,3
Air Force,Top Secret (2),FA882316C0004,Network/Infrastructure (1); Engineering (1),SLOW,Insight Global: 2,LINUX,"COLORADO SPRINGS, COLORADO",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,1,2,"Colorado Springs, Colorado (1); Washington, District Of Columbia (1)",2,2
Army,Top Secret (2),W15QKN15C0049,Technical Writing (1); Engineering (1),SLOW,Insight Global: 2,LINUX,"CHANTILLY, VIRGINIA",Northrop Grumman (prime); CACI (support),IBCS,Army Integrated Battle Command System Support,1,1,"Rivanna, Virginia (1); Chantilly, Virginia (1)",2,2
DoD,Secret (2),W911QX24F0053,Testing/QA (1); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 1,,"PALO ALTO, CALIFORNIA",Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA),2,2,"Emerado, ND (1); Goose Creek, South Carolina (1)",2,2
DISA,Unknown (2),47QFCA22F0047,Engineering (1); Other (1),ACTIVE,Insight Global: 2,,"MCLEAN, VIRGINIA",Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365,2,2,"Mclean, Virginia (2)",2,1
DISA,Unknown (1); Top Secret (1),HHSN261200800001E,Engineering (1); Network/Infrastructure (1),ACTIVE,Apex Systems: 2,,"FREDERICK, MARYLAND",CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions,2,2,"North Charleston, SC (1); Fayetteville, NC (1)",2,2
DISA,Top Secret (1); TS/SCI (1),W91CRB20F0448,Data/Analytics (1); Other (1),SLOW,Insight Global: 2,,"ABERDEEN PROVING GROUND, MARYLAND",Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability,0,1,"Aberdeen Proving Ground, Maryland (2)",2,1
DISA,Unknown (1); Secret (1),FA821920C0006,Other (1); PMO/Leadership (1),SLOW,Insight Global: 2,,"ROY, UTAH",Northrop Grumman,GCCS-J,Global Command and Control System – Joint,1,2,"Kings Bay, Georgia (1); Sunset, Utah (1)",2,2
DISA,Unknown (1); Secret (1),HHSN261200800001E,Engineering (2),SLOW,Insight Global: 2,POSTGRES,"FREDERICK, MARYLAND",Leidos,GCCS-J,Global Command and Control System – Joint (Variant),0,1,"Windsor Mill, Maryland (1); Cockeysville, Maryland (1)",2,2
DISA,Secret (2),NNJ09HD46C,Other (2),SLOW,Insight Global: 2,,"HOUSTON, TEXAS",Leidos,GSMO II,Global Solutions Management – Operations II,0,1,"Saint Louis, Missouri (1); Fort Bliss, Texas (1)",2,2
DoD,Unknown (2),80GSFC19C0063,Software Development (1); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 1,,"HERNDON, VIRGINIA",Peraton,GRASP,GRASP (Raytheon/Peraton),2,2,"North Charleston, SC (1); Salt Lake City, Utah (1)",2,2
MDA,Unknown (1); Secret (1),HQ085621C0003,Data/Analytics (1); Engineering (1),SLOW,Apex Systems: 1; Insight Global: 1,,"CHANDLER, ARIZONA",Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense,1,2,"Tucson, AZ (1); Huntsville, Alabama (1)",2,2
DIA,TS/SCI Poly (1); Secret (1),HHSN261200800001E,Cybersecurity (1); Data/Analytics (1),SLOW,Insight Global: 2,CISCO,"FREDERICK, MARYLAND",Leidos,ISEO,Intelligence Systems Enterprise Operations,0,0,"Jessup, Maryland (1); San Francisco, California (1)",2,2
Space Force,Secret (2),FA877319FA023,Engineering (2),SLOW,Insight Global: 2,,"SAN ANTONIO, TEXAS",SAIC / LinQuest (indicative),SPICE,SPICE (Space Payload Integration & Cyber Eng),1,2,"Hill AFB, Utah (2)",2,1
Air Force,Unknown (1),W31P4Q15C0022,Software Development (1),SLOW,Insight Global: 1,,"ANDOVER, MASSACHUSETTS",Raytheon,AMRAAM,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,0,1,"Jacksonville, Florida (1)",1,1
Air Force,Secret (1),FA882316C0004,Cybersecurity (1),SLOW,Apex Systems: 1,,"COLORADO SPRINGS, COLORADO",CACI,SCORPION,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),0,1,"Tyndall Air Force Base, FL (1)",1,1
Army,Unknown (1),47QFCA19F0033,Other (1),SLOW,Insight Global: 1,,"FORT GEORGE G MEADE, MARYLAND",Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),ARCYBER,ARCYBER Information Advantage / Mission Support (general),1,1,"Salem, Massachusetts (1)",1,1
Army,Public Trust (1),W15QKN15C0049,Help Desk/Service Desk (1),SLOW,Insight Global: 1,,"CHANTILLY, VIRGINIA",CACI,BIM TO2,Army Backbone Infrastructure Modernization – Task Order 2,1,1,"Sully, Virginia (1)",1,1
Army,Secret (1),HQ085621C0003,Software Development (1),SLOW,Apex Systems: 1,,"CHANDLER, ARIZONA",Northrop Grumman,IBCS,Army Integrated Battle Command System,0,0,"Hazelwood, MO (1)",1,1
Army,Secret (1),F4261098C0001,Engineering (1),SLOW,Insight Global: 1,,"ROY, UTAH",Dynetics; Northrop teams,,Army Missile & Space R&D Support (Huntsville),1,1,"Huntsville, Alabama (1)",1,1
Air Force,Unknown (1),FA877319FA023,Engineering (1),SLOW,Insight Global: 1,,"SAN ANTONIO, TEXAS",SAIC,Cloud One,Cloud One (USAF Cloud Program),1,1,"Dayton, Ohio (1)",1,1
MDA,Secret (1),HQ085621C0003,Software Development (1),SLOW,Apex Systems: 1,SQL,"CHANDLER, ARIZONA",Northrop Grumman,C2BMC,"Command and Control, Battle Management & Communications (MDA)",1,1,"Redstone Arsenal, AL (1)",1,1
DoD,Unknown (1),HHSN261200800001E,Software Development (1),SLOW,Insight Global: 1,PYTHON,"FREDERICK, MARYLAND",Leidos,DES,Defense Enclave Services,1,1,"Sainte-Anne-De-Bellevue, Quebec (1)",1,1
Air Force,Unknown (1),FA821413C0001,Help Desk/Service Desk (1),SLOW,Apex Systems: 1,,"ROCKVILLE, MARYLAND",BAE; multiple,DCGS,Distributed Common Ground System (AF),1,1,"Hampton, VA (1)",1,1
DoD,Secret (1),GSQ0017AJ0006,Software Development (1),SLOW,Apex Systems: 1,,"RESTON, VIRGINIA",CACI,IAC-MAC,DTRA IAC-MAC Research & Analysis,0,1,"Bossier City, LA (1)",1,1
MDA,Secret (1),HQ085621C0003,Engineering (1),SLOW,Insight Global: 1,,"CHANDLER, ARIZONA",Northrop Grumman,GWS (GMD),GMD Weapon System (Ground C2),0,0,"Tucson, Arizona (1)",1,1
Space Force,Top Secret (1),FA880710C0001,Engineering (1),SLOW,Apex Systems: 1,,"AURORA, COLORADO",Raytheon,GPS OCX,GPS Operational Control System (sustainment),0,0,"Vandenberg Space Force Base, CA (1)",1,1
DoD,Unknown (1),19AQMM18C0185,Data/Analytics (1),SLOW,Apex Systems: 1,,"SPRINGFIELD, VIRGINIA",GDIT / SAIC (indicative),ASDR,HHS Advanced Secure Data Repository,0,1,"Washington, VA (1)",1,1
MDA,Unknown (1),HQ085621C0003,Engineering (1),SLOW,Insight Global: 1,,"CHANDLER, ARIZONA",Northrop & L3Harris (co-primes),HBTSS,Hypersonic & Ballistic Tracking Space Sensor,0,0,"Chandler, Arizona (1)",1,1
Army,Unknown (1),W31P4Q15C0022,Software Development (1),SLOW,Apex Systems: 1,JAVA; REACT,"ANDOVER, MASSACHUSETTS",Raytheon,IAMD,Integrated Air & Missile Defense,0,1,"Andover, MA (1)",1,1
Air Force,Secret (1),FA821920C0006,Engineering (1),SLOW,Insight Global: 1,,"ROY, UTAH",Northrop Grumman,IDEE,Integrated Digital Engineering Environment,0,0,"Tucson, Arizona (1)",1,1
DoD,Unknown (1),FA821920C0006,Engineering (1),SLOW,Apex Systems: 1,,"ROY, UTAH",Northrop Grumman,inSITE,Intelligence Systems Infrastructure Tools & Enhancements,1,1,"San Diego, CA (1)",1,1
MDA,Top Secret (1),HQ085621C0003,Engineering (1),SLOW,Apex Systems: 1,,"CHANDLER, ARIZONA",Northrop Grumman,,MDA Tactical Embedded Systems,1,1,"Chandler, AZ (1)",1,1
Air Force,Public Trust (1),19AQMM18C0185,Other (1),SLOW,Insight Global: 1,,"SPRINGFIELD, VIRGINIA",GDIT,MPE / MPCO,Mission Partner Environment (Field Ops / MPCO),0,0,"Dhs, Virginia (1)",1,1
Army,Secret (1),W911QX24F0113,Engineering (1),SLOW,Insight Global: 1,,"PALO ALTO, CALIFORNIA",Palantir,MSS,MSS Smart Systems (Palantir contract),1,1,"Norfolk, Virginia (1)",1,1
NASA,Unknown (1),80GSFC19C0063,Other (1),SLOW,Apex Systems: 1,ORACLE,"HERNDON, VIRGINIA",Peraton,SENSE,NASA SENSE (Space Comms & Tracking),0,1,"Washington, VA (1)",1,1
Navy,Unknown (1),N0001917C0001,Engineering (1),SLOW,Apex Systems: 1,,"FORT WORTH, TEXAS",Lockheed Martin,AEGIS,Navy Aegis Combat System Modernization,0,1,"Fort Worth, TX (1)",1,1
Space Force,Top Secret (1),FA881018C0006,Engineering (1),SLOW,Insight Global: 1,C++,"REDONDO BEACH, CALIFORNIA",Northrop Grumman,Next-Gen OPIR,Next-Gen OPIR (Ground + Payload),0,1,"Redondo Beach, California (1)",1,1
Space Force,Top Secret (1),FA881018C0006,Engineering (1),SLOW,Insight Global: 1,,"REDONDO BEACH, CALIFORNIA",Northrop Grumman,NG OPIR (classified),Next-Generation Overhead Persistent Infrared,1,1,"El Segundo, California (1)",1,1
Army,Unknown (1),47QFCA19F0033,Cybersecurity (1),SLOW,Apex Systems: 1,,"FORT GEORGE G MEADE, MARYLAND",Peraton,IAE,Peraton ARCYBER Information Advantage Enterprise,1,1,"Fort George G Meade, MD (1)",1,1
DoD,Unknown (1),47QFCA21F0018,Other (1),SLOW,Apex Systems: 1,,"WASHINGTON, DISTRICT OF COLUMBIA","11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",PRISM,PRISM Support Services (Consolidated),0,1,"Milford Mill, MD (1)",1,1
