Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,High,9,47QFCA19F0033,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,2019-02-11,2024-02-11,2024-02-11,100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,541330,R499,,"$487,767,432.14","$1,594,002,704.48",GS00Q14OADU128,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND
Army “Project Convergence”,,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
Army AESD Enterprise Service Desk,AESD,Army,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
Army ALTESS Cloud Hosting,ALTESS,Army,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
Army Enterprise Service Desk,AESD,Army,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
Army Enterprise Service Management Framework,AESMF,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,2,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
Army Futures Command – Project Convergence,,Army,SAIC (major integrator; autonomy & AI work),W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,High,3,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,High,3,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
Army Missile & Space R&D Support (Huntsville),,Army,Dynetics; Northrop teams,F4261098C0001,"$10,009,419,769.13",MINUTEMAN III MISSILE SUSTAINMENT SPACE SYSTEMS,Medium,2,F4261098C0001,199807!5700!0128!GE50 !OGDEN ALC/LMK                   !F4261098C0001  !A!*!*                  !19971222!20120930!621385392!004179453!004179453!N!11982!TRW INC                       !1 SPACE PARK BLVD         !REDONDO BEACH       !CA!90278!60018!037!06!REDONDO BEACH       !LOS ANGELES           !CALIFORNIA!0001!+000000881011!N!N!000000000000!L014!TECH REP SVCS/GUIDED MISSILES                     !A2 !MISSILE AND SPACE SYSTEMS     !3CMU!LGM-30 MINUTEMAN              !8711!3!*!*!*!B!B!*!A !N!R!2!0,ROY,UTAH,84067,UNITED STATES,1997-12-22,2025-11-30,2025-11-30,,,TDJLWKKV1GJ3,TRW INC,541330,L014,NONE,"$9,497,754,606.48","$10,469,892,390.26",,,,,
Army Next-Gen C2 Prototype,NGC2,Army,Anduril,FA882024FB003,"$19,333,902.53",SDANET SBIR MESH NETWORK COMMUNICATIONS SPACE,Medium,1,FA882024FB003,SDANET SBIR III SINGLE AWARD IDIQ TASK ORDER FOR ANDURIL INDUSTRIES TO PERFORM ADDITIONAL FIELDING INTEGRATION OF LATTICED MESH NETWORK COMMUNICATIONS CAPABILITY TO SUPPORT WORLDWIDE SDANET CONNECTED SITES FOR DATA TO FLOW FROM INTEGRATED SENSORS.,COSTA MESA,CALIFORNIA,92626,UNITED STATES,2024-09-27,2026-03-26,2026-03-26,,,KC3CH2MSK7Q3,"ANDURIL INDUSTRIES, INC.",541715,AC32,,"$19,333,902.53","$25,375,000.00",FA882024DB001,SBIR III FOLLOW-ON SINGLE AWARD IDIQ FOR LATTICED MESHED NETWORKING CAPABILITIES.,FA8820  SUSTAINMENT SDACP SSC/PKL,Department of the Air Force,WASHINGTON HEADQUARTERS SERVICES
Army Research Lab / Adelphi Labs,ARL,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,High,3,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
Army RS3 (Expanded PEO EIS Listing),RS3,Army,"Multiple (Belcan, SAIC, many)",W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
ARNG G-2 Intelligence IT Support,,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,1,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,FORT WORTH,TEXAS,76108,UNITED STATES,2017-11-17,2031-03-31,2031-03-31,12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,1510,NONE,"$35,135,514,910.20","$45,265,737,305.46",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
Basic Ordering Agreement (NG BOA),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,GDIT (incumbent pre-MPE),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
