Program Name,Acronym,Agency Owner,Program Type,Priority Level,Confidence Level,PTS Involvement,Contract Number,tango_piid,parent_piid,Contract Value,Contract Value (Consolidated),total_contract_value,Base Contract Value (FPDS),Base + Options Value (FPDS),obligated,subawards_total,subawards_count,Prime Contractor,Prime Contractor 1,Prime Contractor (Consolidated),recipient_name,recipient_uei,Key Subcontractors,Known Subcontractors,Period of Performance,Period of Performance (Original),PoP Start,PoP End,period_start,period_end,PoP Start (Consolidated),PoP End (Consolidated),ultimate_completion,Ultimate Completion (Consolidated),Recompete Date,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Key Locations,Performance Location (TANGO),Performance Location (FPDS),pop_city,pop_state,pop_zip,pop_country,NAICS Code (Consolidated),naics_code,FPDS NAICS Code,NAICS Description,PSC Code (Consolidated),psc_code,FPDS PSC Code,PSC Description,set_aside,Technical Stack,Tech Stack (Basic),Keywords/Signals,Functional Areas,Typical Roles,Job Titles,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status,Contract Vehicle Used,Contract Vehicle/Type,awarding_office,awarding_agency,funding_office,COR/COTR,Program Manager,Clearance Requirements,Security Requirements,Match Confidence,Match Score,Incumbent Score,Source Evidence,Notes,Pain Points,Related Jobs,tango_description,parent_description,Budget
AF TENCAP IT/EW Mission Support (EPASS A&AS),AF TENCAP A&AS,Air Force,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“AF TENCAP Program Office”; “EPASS A&AS”; “Odyssey Systems team”; rapid exploitation of intel/space capabilities for warfighters; experimentation and prototyping advisory services,,Systems engineers; experiment planners; program/project managers; schedulers; financial analysts and budgeteers; intel/space liaisons bridging NRO/NGA/IC feeds into AF TENCAP projects; configuration managers; test & evaluation support staff,,,,,,,,,,Services,,,,,,"Secret, TS/SCI",,,,,,,,,,,
AFCENT Enterprise IT & Cyber Support,AFCENT IT,Air Force,Cyber,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Ongoing (sustained AFCENT mission IT support; exact PoP not captured),,Ongoing,,,,Ongoing,,,,,,,,USCENTCOM AOR (multiple bases in SWA); Shaw AFB SC and other CONUS reach-back sites,,,,,,,,,,,,,,,,,,“AFCENT IT”; “USAF (CENTCOM)”; “AOR & Shaw”; network/cyber operations; theater IT O&M,,Cybersecurity engineers; EW engineers and spectrum operations staff supporting mission systems; software test engineers; range IT/mission support technicians; data analysts; systems engineers for EW/cyber test; network engineers and administrators for AFCENT networks,,,,,,,,,,Services,,,,,,"Secret, TS/SCI",,,,,,,,,,,
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,Cyber,Medium,Medium,,FA882316C0004,FA882316C0004,,,"$139,644,959.63 ","$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,CACI,CACI,"CACI NSS, LLC",L2TTR2QRV8H9,,,,,,,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,,,,,,,,Not Queried,,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Secret, TS/SCI",,Medium,2,,,,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
AICCS C5ISR System Support (indicative),AICCS,Other,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“AICCS”; “Systems”; C5ISR; joint AF/Navy context,,Systems engineers; integration and test engineers; C5ISR architects; requirements and interface control staff,,,,,,,,,,,,,,,,"Secret, TS/SCI",,,,,,,,,,,
Air & Space Cyber Conference Programs,Various (e.g. AFA Events,Air Force,Weapon Systems,Medium,Medium,,,,,,,,,,,,,,"Multiple (Leidos, SAIC, Northrop)","Multiple (Leidos, SAIC, Northrop)",,,,,,2025,2025,,,,2025,,,,,,,,,"National Harbor, MD",,,,,,,,,,,,,,,,,,Aegis,,Aegis Ballistic Missile Defense / Aegis Program,,,,,,,,,,INDUSTRY EVENTS,,,,,,,,,,,Lockheed Martin,,,,,,
Air & Space Force Cyber Conference (Event Target),,Air Force,Event,High,High,,,,,,,,,,,,,,Industry-wide (multiple primes),Industry-wide (multiple primes),,,,,,Q3–Q4 2025,2025,,,,2025,,,,,,,,,National Harbor MD,,,,,,,,,,,,,,,,,,“Air & Space Cyber Conference”; “BD attendance target”,,BD reps; Program Managers,,,,,,,,,,INDUSTRY EVENT,,,,,,Top Secret,,,,,DoD Events Calendar (L140–L150),,,,,,
Air Force Advanced Battle Management System,ABMS,Air Force,Space,Medium,Medium,,36C10B21N10150056,36C10B21N10150056,VA11816D1015,,"$1,143,130,745.71 ","$1,143,130,745.71 ",,,"$1,139,008,033.13 ","$202,413,792.65 ",94,,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Multiple: SAIC, Leidos, Booz Allen Hamilton",LIBERTY IT SOLUTIONS LLC,GLGMWJ8EVMR9,,"CACI, Raytheon",,Ongoing,,Ongoing,1/8/2021,4/15/2025,1/8/2021,4/15/2025,1/7/2026,1/7/2026,,,,,,"Eglin AFB, FL; Hanscom AFB, MA","HERNDON, VIRGINIA",,HERNDON,VIRGINIA,20171,UNITED STATES,541512,541512,,,DA01,DA01,,,,,,"Various (e.g., AFA Events)",,Air & Space Cyber Conference Programs,,,,,,,,Not Queried,,IDIQ,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),,,"Secret, Top Secret",,Medium,1,,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",,,,"PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES (PTEMS)WHICH INCLUDES PRODUCT DELIVERY AND LIFECYCLE MANAGEMENT TO TRANSFORM VA BY TAPPING INTO EMERGING TECHNOLOGIES, CONNECTING DEVELOPERS WITH VA DATA, AND MAKING HUMAN CENTERED DESIGN (HCD).",IGF::OT::IGF TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG)PROGRAM BASE CONTRACT,
Air Force Cloud & Cyber Support Program,,Air Force,Cyber,High,High,,,,,,,,,,,,,,Five Star Tech Solutions,Five Star Tech Solutions,,,,,,Oct 2021 – Apr 2025,Oct-21,Apr-25,,,Oct-21,Apr-25,,,,,,,,Pentagon; All USAF Bases,,,,,,,,,,,,,,,,,,supporting a $10B contract… manage multiple teams… cloud infrastructure across all Air Force bases,,"Cloud Engineers, Network Engineers, Cybersecurity SMEs, Admins",,,,,,,,,,Task Order,,,,,,"Public Trust, Top Secret",,,,,serving DoD clients as Cybersecurity Technical Operations Manager… Cloud & Cyber Security Programs… at Pentagon,,,,,,
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,Cyber,Medium,Medium,,FA882316C0004,FA882316C0004,,$1B,$1B,"$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),"CACI NSS, LLC",L2TTR2QRV8H9,,,,2021–2028,2021,2028,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",,DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,,,,,,,,Not Queried,,Services,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Secret, TS/SCI",,High,5,,Prime TS BD Intelligence Automation doc (L140–L160),,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,Intel,Medium,Medium,,N0001902C3002,N0001902C3002,,,"$29,488,513,800.00 ","$29,488,513,800.00 ",,,"$34,132,618,954.26 ",,,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,,,Ongoing,,Ongoing,10/26/2001,12/16/2022,10/26/2001,12/16/2022,12/16/2022,12/16/2022,,,,,,AFLCMC (multiple program offices),"FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,AC15,AC15,,,NONE,,,“Geospatial systems”; “AFGIS (LM)”,,GIS engineers; geospatial analysts; systems integrators,,,,,,,,Not Queried,,Services,,,,,,Secret,,Medium,2,,Appears in BD automation sources,,,,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!AIRFRAMES AND SPARES          !2AMA!JAST/JSF                      !336411!E! !3! ! ! ! ! !99990909!B,,
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Cyber,Medium,Medium,,,,,,,,,,,,,,USAF (Internal),USAF (Internal),,,,Kessel Run; SAIC; Deloitte,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,San Antonio TX; Colorado Springs CO,,,,,,,,,,,,,,,,,,"“Platform One,” “Zero Trust,” “DevSecOps”",,DevSecOps engineers; cloud engineers; CI/CD architects,,,,,,,,Not Queried,,AGILE SOFTWARE / CLOUD / DEVSECOPS,,,,,,"Secret, Top Secret",,,,,Included heavily in BD automation datasets,,,,,,
Air Force SAP Security Support Services,“Justified”,Air Force,Professional Services,Medium,Medium,,,,,,,,,,,,,,GDIT,GDIT,,,,,,Hanscom AFB MA; Kirtland AFB NM; JBAB DC; Pentagon VA; Schriever CO; San Antonio TX,,,,,,,,,,,,,,TS/SCI (SAP),,,,,,,,,,,,,,,,,,Intel / Security,,"“We placed ASR II/III, PSR III, ISSO at multiple AF sites under ‘Justified’”",,,,,,,,,,MULTI-YEAR,,,,,,Secret,,,,,High,,,,,,
Alamo ACE Conference / TechNet,—,Army,Event,Medium,Medium,,,,,,,,,,,,,,Multiple,Multiple,,,,,,2025,2025,,,,2025,,,,,,,,,San Antonio TX,,,,,,,,,,,,,,,,,,"“AFCEA,” “DISA,” “Networking”",,BD reps; PMs; capture leads; cyber SMEs,,,,,,,,,,EVENT,,,,,,,,,,,Event decision list,,,,,,
AOC Falcon Integration Services,AOC Falcon V,Air Force,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“AOC Falcon Integration”; “AOC Falcon V”; “AOC engineers”; C2/IT; AOC mission systems,,AOC engineers; C2 systems integrators; mission systems admins; network engineers supporting AOC infrastructure; software integrators for Falcon V and related tools; help-desk and floor support techs,,,,,,,,,,Services,,,,,,"Secret, TS/SCI",,,,,,,,,,,
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Cyber,High,High,,47QFCA19F0033,47QFCA19F0033,GS00Q14OADU128,$889M,$889M,"$1,594,002,704.48 ",,,"$487,767,432.14 ","$712,544,395.30 ",100,,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),PERATON TECHNOLOGY SERVICES INC.,CJ38H41QMGA1,,,,,,,2/11/2019,2/11/2024,2/11/2019,2/11/2024,2/11/2024,2/11/2024,,,,,,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders","FORT GEORGE G MEADE, MARYLAND",,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,541330,541330,,,R499,R499,,,,,,“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,,,,,,,,Not Queried,,Services,GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND,,,"Secret, TS/SCI w/ Poly, Top Secret",,High,9,,,,,,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Army “Project Convergence”,,Army,Professional Services,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,,"$45,135,228.31 ","$45,135,228.31 ",,,"$39,320,458.07 ",,,,SAIC,SAIC,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,,,Yuma AZ; labs,,,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,Secret,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,R&D,,“AI/automation experimentation”; “JADC2 exercises”,,,,,,,,Not Queried,,MULTI-YEAR DEMOS,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,Top Secret,,Medium,1,,Medium,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
Army AESD Enterprise Service Desk,AESD,Army,,High,High,,FA877319FA023,FA877319FA023,GS00Q14OADS129,$757M,$757M,"$47,518,825.61 ",,,"$39,874,973.53 ",,,,SAIC,SAIC,MOSAIC TECHNOLOGIES GROUP LLC,K3XCTTC4VDR5,,PTS (warm contact),,Multi-year,,,4/28/2019,10/27/2025,4/28/2019,10/27/2025,7/27/2026,7/27/2026,,,,,,Fort Liberty NC; Fort Sam Houston TX,"SAN ANTONIO, TEXAS",,SAN ANTONIO,TEXAS,78243,UNITED STATES,541330,541330,,,R425,R425,,,,,,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,,,,,,,,Not Queried,,,FA8773 ACC 38 CONS,Department of the Air Force,67 CW,,,Secret,,Medium,1,,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,,,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Army ALTESS Cloud Hosting,ALTESS,Army,,Medium,Medium,,HHSN261200800001E,HHSN261200800001E,,,"$70,988,409,497.44 ","$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos,Leidos,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,,,Ongoing,,Ongoing,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Radford VA; Fort Belvoir VA,"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,“Army ERP hosting”; “ALTESS Cloud”,,Cloud/ERP admins; system administrators; cybersecurity staff,,,,,,,,Not Queried,,Services,,,,,,Secret,,Low,0,,Repeated ALTESS references in staffing history,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
