Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,High,9
Army “Project Convergence”,,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1
Army AESD Enterprise Service Desk,AESD,Army,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
Army ALTESS Cloud Hosting,ALTESS,Army,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
Army Enterprise Service Desk,AESD,Army,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
Army Enterprise Service Management Framework,AESMF,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,2
Army Futures Command – Project Convergence,,Army,SAIC (major integrator; autonomy & AI work),W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1
Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2
Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,High,3
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,High,3
Army Missile & Space R&D Support (Huntsville),,Army,Dynetics; Northrop teams,F4261098C0001,"$10,009,419,769.13",MINUTEMAN III MISSILE SUSTAINMENT SPACE SYSTEMS,Medium,2
Army Next-Gen C2 Prototype,NGC2,Army,Anduril,FA882024FB003,"$19,333,902.53",SDANET SBIR MESH NETWORK COMMUNICATIONS SPACE,Medium,1
Army Research Lab / Adelphi Labs,ARL,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,High,3
Army RS3 (Expanded PEO EIS Listing),RS3,Army,"Multiple (Belcan, SAIC, many)",W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1
ARNG G-2 Intelligence IT Support,,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,1
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0
Basic Ordering Agreement (NG BOA),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,GDIT (incumbent pre-MPE),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,2
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
BOA (General Staff Augmentation),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
BOA (Northrop Surge),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Business Operations & Analytics,BOA,DoD,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,Medium,1
CAAC (Peraton),CAAC,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,7
CBP Enterprise IT Support,CBP-Peraton,DHS,Peraton,GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,ManTech (TPVS/BISS); CACI (BISS follow-on),70B04C20F00001357,"$251,830,777.48",BUSINESS INTELLIGENCE SUPPORT SERVICES (BISS) CBP TARGETING,High,3
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,W911QX24F0053,"$292,680,689.24",AI ML PLATFORM DATA SERVICES MAVEN,Low,0
CENTCOM Comms Tech Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,"$308,757,507.34",HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT VA VETERANS,Medium,1
CENTCOM Enterprise IT Modernization,,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1
CISA Enterprise Support (CACI),CISA-CACI,DHS,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1
Cloud One,Cloud One,Air Force,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
Cloud One (USAF Cloud Program),Cloud One,Air Force,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,2
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,Medium,1
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2
"Command and Control, Battle Management, Communications",C2BMC,MDA,Lockheed Martin,DEAC0494AL85000,"$48,066,473,048.89",SANDIA NATIONAL LABORATORIES MANAGEMENT NUCLEAR WEAPONS,Medium,1
Common Open Operational Launch Range,COOLR,Space Force,Lockheed Martin (indicative),N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0
Comms Technical Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,"$308,757,507.34",HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT VA VETERANS,Medium,1
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,CACI (via L-3 NSS acquisition),FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,8
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,7
Conventional Prompt Strike,CPS,Army,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Medium,1
CTSS V (Expanded Listing),CTSS V,DoD,GovCIO,36C10B22N10030034,"$308,757,507.34",HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT VA VETERANS,Low,0
Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2
DC3 – Defense Cyber Crime Center,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1
Defense Cyber Crime Center,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1
Defense Enclave Services,DES,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,47QFCA22F0047,"$998,940,122.69",ENTERPRISE CLOUD SERVICES AZURE O365 OFFICE 365,High,4
Defense Enterprise Office Solutions,DEOS,DISA,CSRA / Leidos (team),HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Defense Health Agency Desktop to Datacenter,D2D,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,Peraton,47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,1
DFAS Enterprise Support,DFAS-Peraton,DoD,Peraton,47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,1
DGFS (RTX),DGFS,DoD,Raytheon (RTX),N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0
DHS Data Center 2,DC2,DHS,GDIT / Peraton (indicative),GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2
DHS Enterprise IT Services I,EITS I,DHS,Leidos / SAIC (indicative),FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,CACI,47QFRA24F0005,"$681,999,277.86",CDM DEFEND GROUP A BRIDGE TASK ORDER CONTINUOUS DIAGNOSTICS MITIGATION,Medium,2
DIA EMERALD,EMERALD,NGA,Peraton (Perspecta heritage),80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Medium,1
DIA Information Systems Engineering Office,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
DIA Infrastructure Services Ops,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
DIA ISEO,ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
DIA IT Sustainment & Engineering Office,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
DIA IT Sustainment (ISEO),ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2
DIA SITE III,SITE III,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2
DIA SITE III IDIQ,SITE III,DIA,"Leidos, CACI, others",47QFRA24F0005,"$681,999,277.86",CDM DEFEND GROUP A BRIDGE TASK ORDER CONTINUOUS DIAGNOSTICS MITIGATION,Medium,2
DIMS (Peraton),DIMS,Air Force,Peraton,47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,1
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1
DISA GSM-O II,GSM-O II,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",GENERAL SERVICES JEDI JWCC CLOUD,High,5
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,High,3
Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,FA821413C0001,"$2,118,906,843.81",SYSTEMS ENGINEERING ICBM SYSTEMS DIRECTORATE MINUTEMAN SENTINEL,Medium,1
DLA J6 Enterprise Technology Services,DLA JETS,DoD,CACI; Deloitte; SAIC; GDIT,SAQMMA12C0130,"$1,219,847,693.56",GLOBAL SUPPLY CHAIN MANAGEMENT LOGISTICS TECHNOLOGY DEVELOPMENT STATE GDIT,Medium,2
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Leidos; GDIT; Booz Allen; CACI; Peraton,47QFCA21F0018,"$1,379,603,153.12",ENTERPRISE LEVEL DATA OUSD(C) COMPTROLLER DEFENSE FINANCE,Medium,1
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,CACI; GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,Leidos; Cerner; Accenture,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Low,0
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,CACI (incumbent),47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
DSS Support,DSS Support,DoD,Northrop (mention); others,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0
DTRA Integrated IT Support Services,I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,1
DTRA Integrated IT Support Services,DTRA I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,1
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
DTRA IT Support Modernization,I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,1
DTRA IT Support Services,I3TS,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,1
EDIS / HADES (follow-on),EDIS/HADES,Space Force,SAIC / Army,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Low,0
EITaaS (Pilot – USAF),EITaaS,Air Force,CACI (pilot),FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2
Engineering Development & Integration Support,EDIS,Space Force,SAIC (via Engility),FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,High,3
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1
EUCOM/AFRICOM IT & Comms,,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0
EUCOM/AFRICOM IT & Comms Support,,Air Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2
F-35 Sustainment,F-35 Sustainment,DoD,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0
Fort Eisenhower (Gordon) IT Support,,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1
Future Operationally Resilient Ground Evolution,FORGE,Space Force,Raytheon (Mission Data Apps); BAE (C2),N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0
GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),N0003022C2001,"$421,512,821.00",FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES NAVY RANGE,Medium,1
GBSD Sentinel Missile Modernization,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
