Program Name,Acronym,Agency Owner,Budget,COR/COTR,Clearance (Original),Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Contract Vehicle Used,Contract Vehicle/Type,Incumbent Score,Key Locations,Key Subcontractors,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance,Period of Performance (Original),PoP End,PoP Start,Prime Contractor,Prime Contractor 1,Priority Level,Program Manager,Program Type,Program Type 1,Recompete Date,Related Jobs,Security Requirements,Source Evidence,Technical Stack,Typical Roles
AF TENCAP IT/EW Mission Support (EPASS A&AS),AF TENCAP A&AS,Air Force,,,"Secret for routine A&AS roles; TS/SCI for intel/space liaisons and personnel accessing national systems, specialized threat data, or SCI-level program info","Secret, TS/SCI",Medium,,,,Services,,,,“AF TENCAP Program Office”; “EPASS A&AS”; “Odyssey Systems team”; rapid exploitation of intel/space capabilities for warfighters; experimentation and prototyping advisory services,,,,,,,,,,,Medium,,,C5ISR,,,,,,Systems engineers; experiment planners; program/project managers; schedulers; financial analysts and budgeteers; intel/space liaisons bridging NRO/NGA/IC feeds into AF TENCAP projects; configuration managers; test & evaluation support staff
AFCENT Enterprise IT & Cyber Support,AFCENT IT,Air Force,,,Secret baseline for network/cyber roles; TS/SCI for specific intel/cyber billets; some positions may have deployable/OCONUS requirements,"Secret, TS/SCI",Medium,,,,Services,,USCENTCOM AOR (multiple bases in SWA); Shaw AFB SC and other CONUS reach-back sites,,“AFCENT IT”; “USAF (CENTCOM)”; “AOR & Shaw”; network/cyber operations; theater IT O&M,,,,,,Ongoing (sustained AFCENT mission IT support; exact PoP not captured),Ongoing,,,,Medium,,Cyber,Cyber,,,,,,Cybersecurity engineers; EW engineers and spectrum operations staff supporting mission systems; software test engineers; range IT/mission support technicians; data analysts; systems engineers for EW/cyber test; network engineers and administrators for AFCENT networks
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,,,TS/SCI for ISSO/ISSM and Cyber Manager positions; Secret for some supporting staff; some billets may require eligibility for additional caveats depending on network/mission,"Secret, TS/SCI",Medium,,,,,,,,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,,,,,,,,,,CACI,Medium,,Cyber,Cyber,,,,,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff
AICCS C5ISR System Support (indicative),AICCS,Other,,,Secret; some billets may require TS/SCI depending on mission & data sources,"Secret, TS/SCI",Medium,,,,,,,,“AICCS”; “Systems”; C5ISR; joint AF/Navy context,,,,,,,,,,,Medium,,,C5ISR,,,,,,Systems engineers; integration and test engineers; C5ISR architects; requirements and interface control staff
Air & Space Cyber Conference Programs,Various (e.g. AFA Events,Air Force,,,,,Medium,,,,INDUSTRY EVENTS,,"National Harbor, MD",,Aegis,,,,,,2025,,2025,,"Multiple (Leidos, SAIC, Northrop)",Medium,,Weapon Systems,Weapon Systems,,,,Lockheed Martin,,Aegis Ballistic Missile Defense / Aegis Program
Air & Space Force Cyber Conference (Event Target),,Air Force,,,Public / TS (attendee dependent),Top Secret,High,,,,INDUSTRY EVENT,,National Harbor MD,,“Air & Space Cyber Conference”; “BD attendance target”,,,,,,Q3–Q4 2025,,2025,,Industry-wide (multiple primes),High,,Event,Event,,,,DoD Events Calendar (L140–L150),,BD reps; Program Managers
Air Force Advanced Battle Management System,ABMS,Air Force,,,Secret / TS,"Secret, Top Secret",Medium,,,,IDIQ,,"Eglin AFB, FL; Hanscom AFB, MA",,"Various (e.g., AFA Events)","CACI, Raytheon",,,,,Ongoing,Ongoing,,,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Medium,,Space,Space,,,,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",,Air & Space Cyber Conference Programs
Air Force Cloud & Cyber Support Program,,Air Force,,,TS / MBI,"Public Trust, Top Secret",High,,,,Task Order,,Pentagon; All USAF Bases,,supporting a $10B contract… manage multiple teams… cloud infrastructure across all Air Force bases,,,,,,Oct 2021 – Apr 2025,Apr 2025,Oct 2021,,Five Star Tech Solutions,High,,Cyber,Cyber,,,,serving DoD clients as Cybersecurity Technical Operations Manager… Cloud & Cyber Security Programs… at Pentagon,,"Cloud Engineers, Network Engineers, Cybersecurity SMEs, Admins"
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,,,TS/SCI (DevSecOps engineers; cyber architects); Secret for lower-tier CI/CD roles,"Secret, TS/SCI",Medium,$1B,,,Services,,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",,,,,,2021–2028,2028,2021,,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Medium,,Cyber,Cyber,,,,Prime TS BD Intelligence Automation doc (L140–L160),,DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,,,Secret,Secret,Medium,,,,Services,,AFLCMC (multiple program offices),,“Geospatial systems”; “AFGIS (LM)”,,,,,,Ongoing,Ongoing,,,Lockheed Martin,Medium,,Intel,Intel,,,,Appears in BD automation sources,,GIS engineers; geospatial analysts; systems integrators
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,,,Secret / TS,"Secret, Top Secret",Medium,,,,AGILE SOFTWARE / CLOUD / DEVSECOPS,,San Antonio TX; Colorado Springs CO,,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,,,,,Ongoing,Ongoing,,,USAF (Internal),Medium,,Cyber,Cyber,,,,Included heavily in BD automation datasets,,DevSecOps engineers; cloud engineers; CI/CD architects
Air Force SAP Security Support Services,“Justified”,Air Force,,,ASR/PSR; ISSO; IT/Assurance staff,Secret,Medium,,,,MULTI-YEAR,,TS/SCI (SAP),,Intel / Security,,,,,,Hanscom AFB MA; Kirtland AFB NM; JBAB DC; Pentagon VA; Schriever CO; San Antonio TX,,,,GDIT,Medium,,Professional Services,Professional Services,,,,High,,"“We placed ASR II/III, PSR III, ISSO at multiple AF sites under ‘Justified’”"
Alamo ACE Conference / TechNet,—,Army,,,,,Medium,,,,EVENT,,San Antonio TX,,"“AFCEA,” “DISA,” “Networking”",,,,,,2025,,2025,,Multiple,Medium,,Event,Event,,,,Event decision list,,BD reps; PMs; capture leads; cyber SMEs
AOC Falcon Integration Services,AOC Falcon V,Air Force,,,Secret–TS depending on AOC and theater; some positions TS/SCI due to access to operational plans and intel feeds,"Secret, TS/SCI",Medium,,,,Services,,,,“AOC Falcon Integration”; “AOC Falcon V”; “AOC engineers”; C2/IT; AOC mission systems,,,,,,,,,,,Medium,,,C5ISR,,,,,,AOC engineers; C2 systems integrators; mission systems admins; network engineers supporting AOC infrastructure; software integrators for Falcon V and related tools; help-desk and floor support techs
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,,,TS/SCI as baseline for most ARCYBER billets; many roles may require CI or FS polygraphs; some administrative/support roles Secret,"Secret, TS/SCI w/ Poly, Top Secret",High,$889M,,,Services,,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",,“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,,,,,,,,,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),High,,Cyber,Cyber,,,,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers
Army “Project Convergence”,,Army,,,Autonomy software engineers; data analysts,Top Secret,Medium,,,,MULTI-YEAR DEMOS,,Secret,,R&D,,,,,,Yuma AZ; labs,,,,SAIC,Medium,,Professional Services,Professional Services,,,,Medium,,“AI/automation experimentation”; “JADC2 exercises”
Army AESD Enterprise Service Desk,AESD,Army,,,Secret,Secret,High,$757M,,,,,Fort Liberty NC; Fort Sam Houston TX,,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),,,,,Multi-year,,,,SAIC,High,,,IT Ops,,,,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support
Army ALTESS Cloud Hosting,ALTESS,Army,,,Secret,Secret,Medium,,,,Services,,Radford VA; Fort Belvoir VA,,“Army ERP hosting”; “ALTESS Cloud”,,,,,,Ongoing,Ongoing,,,Leidos,Medium,,,IT Ops,,,,Repeated ALTESS references in staffing history,,Cloud/ERP admins; system administrators; cybersecurity staff
Army AvMC Enterprise IT Support,EITSS,Army,,,Secret,Secret,High,$404M,,,Single Award,,Redstone Arsenal AL,,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",,,,,2023–2028,2028,2023,,IPTA (SDVOSB),High,,,IT Ops,,,,IPTA AvMC EITSS description,,Help desk; sysadmins; network operations; user support; IT ops
Army AvMC Enterprise IT Support Services,EITSS,Army,,,Secret,Secret,High,$404M,,,GWAC,,Redstone Arsenal / Huntsville AL,,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,,,,,2022–2027,2027,2022,,IPTA (SDVOSB),High,,,IT Ops,,,,IPTA award reference,,Help desk; systems & network admin; cyber analyst; asset management
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,,,Wireless network engineer; network engineer (journeyman),Secret,Medium,$3M,,,,,Secret → TS/SCI,,C5ISR / IT Ops,,,,,,OCONUS (Korea/Japan); Buckley SFB CO,,,,CACI,Medium,,Professional Services,Professional Services,,,,Medium,,“CACI BIM TO2 Wireless Network Engineer – OCONUS”
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,,,Network Ops Engineer; network tech; cyber/project/ops manager,Secret,Medium,$3M,,,,,TS/SCI,,C5ISR / IT Ops,,,,,,Buckley SFB CO; CONUS sites,,,,CACI,Medium,,Professional Services,Professional Services,,,,Medium,,“CACI BIM TO3 – Network Operations Engineer TS/SCI”
Army Enterprise Service Desk,AESD,Army,,,Secret / Public Trust (role-dependent),"Public Trust, Secret",High,$757M,,,Single Award,,24×7 CONUS call centers; virtual & global remote support,,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",,,,,~2022–2027+,2027,2022,,SAIC,High,,,IT Ops,,,,SAIC AESD references (Top 20 Programs),,Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support
Army Enterprise Service Management Framework,AESMF,Army,,,Knowledge managers; process owners; change managers; incident managers,Secret,Medium,,,,,,Secret / TS,,IT Ops,,,,,,Overlaps with AESD site footprint (CONUS),,,,SAIC,Medium,,Professional Services,Professional Services,,,,Medium,,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”"
Army Futures Command – Project Convergence,,Army,,,Autonomy software engineers; data analysts; AI/ML experiment support engineers; test officers,Top Secret,Medium,,,,RECURRING ANNUAL CYCLES,,Secret,,R&D / C5ISR,,,,,,Yuma Proving Ground AZ; Austin TX labs,,,,SAIC (major integrator; autonomy & AI work),Medium,,Data,Data,,,,Medium,,“AI/autonomy experiments”; “Project Convergence”
Army Integrated Battle Command System,IBCS,Army,,,Secret / TS,"Secret, Top Secret",High,$2.7B,,,Production,,Huntsville AL; Fort Sill OK; distributed test ranges,,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,,,,,2019–2030,2030,2019,,Northrop Grumman,High,,,C5ISR,,,,Top 20 DoD Programs,,Systems engineers; radar engineers; C2 software developers; missile integration engineers
Army Integrated Battle Command System Support,IBCS,Army,,,Secret → TS,"Secret, Top Secret",Medium,Multi-$B,,,DEV/INTEGRATION,,Huntsville AL; White Sands NM; Fort Bliss TX,,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,,,,,2010–present,Ongoing,2010,,Northrop Grumman (prime); CACI (support),Medium,,,C5ISR,,,,,,Systems Integration; Test; SW Eng
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,,,Secret (Public Trust for junior support),"Public Trust, Secret",High,$880M,,,GWAC,,Arlington VA; Springfield VA; National Guard sites nationwide,,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,,,,,2019–2026,2026,2019,,CACI,High,,Cyber,Cyber,,,,ITEMSS award and capability description,,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,,,Varies,Secret,High,$12.1B,,,IDIQ,,Army / DoD enterprise-wide,,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),,,,,2018–2027,2027,2018,,135 awardees,High,,Cyber,Cyber,,,,IDIQ listing in program universe,,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services
Army ITES-3S,ITES-3S,Army,,,Unclassified → Secret,Secret,High,$12.1B,,,IDIQ,,Army-wide,,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),,,,,2018–2027,2027,2018,,135 primes,High,,,IT Ops,,,,Same as above (expanded row),,Help desk; network ops; cyber analysts; field IT technicians
Army Missile & Space R&D Support (Huntsville),,Army,,,Secret,Secret,Medium,,,,Services,,Huntsville AL,,“Army Missile & Space R&D… multiple postings (Secret)”,,,,,,Ongoing,Ongoing,,,Dynetics; Northrop teams,Medium,,,C5ISR,,,,Multiple Huntsville postings referencing Army missile & space roles,,SW engineers; electrical engineers; full-stack developers; test engineers
Army Next-Gen C2 Prototype,NGC2,Army,,,Secret,Secret,Medium,$100M,,,OTA,,Fort Irwin test sites,,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,,,,,2025,,2025,,Anduril,Medium,,,C5ISR,,,,Prototype description in user sheet,,Data mesh engineers; edge app developers; AI/ML integration engineers
Army Reprogramming Analysis Team,ARAT,Army,,,EW software engineers; analysts; reprogramming specialists,Top Secret,Medium,,,,,,Secret,,C5ISR,,,,,,APG / CONUS,,,,,Medium,,Professional Services,Professional Services,,,,Medium,,“EW reprogramming”; ARAT mission
Army Research Lab / Adelphi Labs,ARL,Army,,,Help desk techs; Tier 1–3 support; Service Desk Leads,Secret,Medium,,,,,,Secret,,IT Ops / R&D,TEKsystems; Insight Global,,,,,Adelphi MD,,,,SAIC,Medium,,Professional Services,Professional Services,,,,High,,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”
Army Responsive Strategic Sourcing for Services,RS3,Army,,,Varies,Secret,High,$37.4B,,,IDIQ,,CONUS/OCONUS,,“RS3… 37.4B… 261 primes”,Many subs,,,,,2017–2027,2027,2017,,261 primes,High,,Professional Services,Professional Services,,,,RS3 reference repeats,,C4ISR engineering; IT; logistics
Army RS3 (Expanded PEO EIS Listing),RS3,Army,,,Secret,Secret,Medium,$37B,,,IDIQ,,U.S. Army CONUS/OCONUS,,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),,,,,2018–2028,2028,2018,,"Multiple (Belcan, SAIC, many)",Medium,,,IT Ops,,,,Vehicle entry in RS3 listing,,Engineering services; IT; logistics; training; program support
Army RS3 (Primary Listing),RS3,Army,,,Unclassified → Secret,Secret,High,$37.4B,,,IDIQ,,Army & DoD (CONUS/OCONUS),,“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,,,,,2017–2027,2027,2017,,"261 primes (65 large, 196 small)",High,,Professional Services,Professional Services,,,,RS3 entry in Top 20 Programs,,C4ISR engineers; analysts; IT support; program staff
Army Test & Evaluation Command,ATEC,Army,,,Secret,Secret,Medium,,,,RECOMPETE,,APG / Yuma / other ranges,,“ATEC test”; T&E mission,Multiple,,,,,Upcoming,,,,Multiple,Medium,,R&D,R&D,,,,listed in sheet,,Test engineers; instrumentation support; analysts
ARNG G-2 Intelligence IT Support,,Army,,,TS/SCI,TS/SCI,Medium,,,,Services,,"Guard intel sites (e.g., Fort Belvoir)",,IAE,,,,,,~2010s (ongoing),Ongoing,,,SAIC,Medium,,Cyber,Cyber,,,,Peraton,,ARCYBER Information Advantage Enterprise
ASA(ALT) CITRA,CITRA,Army,,,Secret,Secret,Medium,,,,PROGRAM,,NCR,,,,,,,,,,,,,Medium,,Intel,Intel,,,,SAIC,,ARNG G-2 Intelligence IT Support
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,,,Secret–TS,"Secret, Top Secret",Medium,,,,PORTFOLIO,,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,,CITRA,Multiple,,,,,Ongoing,Ongoing,,,Multiple primes (see rows),Medium,,Logistics,Logistics,,,,,,ASA(ALT) CITRA Enterprise IT Program
AvMC Enterprise IT Support Services,EITSS,Army,,,IT admins; cyber support; help desk; sysadmins,Secret,Medium,,,,,,Secret (assumed),,IT Ops,,,,,,Redstone Arsenal AL,,,,IPTA,Medium,,Professional Services,Professional Services,,,,Medium,,“PTS placed cleared admins at Redstone”
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,,Secret,Secret,Medium,,,,BOA,,Roy UT; Colorado Springs CO; Hill AFB UT,,“General surge & staff augmentation”,Prime Technical Services,,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,,IT Ops,,,,NG BOA supported programs list,,ISSOs; DevOps engineers; testers; logistics staff
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,,,Varies,Secret,Medium,,,,BOA,,Various locations,,BOA,Multiple,,,,,Ongoing,Ongoing,,,Lockheed Martin,Medium,,Professional Services,Professional Services,,,,,,Varies
Basic Ordering Agreement (NG BOA),BOA,Other,,,Secret,Secret,Medium,,,,BOA,,"Roy, UT; Hill AFB; Colorado Springs, CO",,"Surge Support, Staff Augmentation",Prime Technical Services (sub),,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,,IT Ops,,,,Northrop programs supported by Prime TS,,"ISSOs, Testers, DevOps, Logistics"
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,,Secret – TS,"Secret, Top Secret",Medium,,,,IDIQ,,Roy UT; Colorado Springs CO; Hill AFB UT,,“General surge & staff augmentation”; “BOA”,Prime Technical Services,,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,,IT Ops,,,,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",,ISSOs; testers; DevOps engineers; logistics support staff
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,,,Secret / TS,"Secret, Top Secret",Medium,,,,BOA,,Roy UT; Colorado Springs CO; Hill AFB UT,,"“Surge Support, ISSO, Logistics”",Prime TS,,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,,IT Ops,,,,“BOA – general surge and staff augmentation”,,ISSOs; testers; DevOps engineers
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,,,Secret / SCI (multinational),"Secret, TS/SCI",High,$5B,,,IDIQ,,Worldwide coalition networks,,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,,,,,~2012–2022,2022,2012,,GDIT (incumbent pre-MPE),High,,,C5ISR,,,,“MPE contract replacing BICES… Capgemini involvement”,,Multilingual service desk; cross-domain IT; coalition network support
Battlefield Information Collection & Exploitation System,BICES,DoD,,,TS/SCI,TS/SCI,High,,,,MULTI-NATION COALITION NETWORK CONTRACT,,Norfolk VA; Tampa FL; Doral FL; EU sites,,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,,,,,Multi-year,,,,GDIT,High,,,C5ISR,,,,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,,Senior network engineers; Linux admins; ServiceNow architects
Battlefield Information Collection & Exploitation System,BICES,DoD,,,TS/SCI,TS/SCI,Medium,$250M,,,IDIQ,,Offutt AFB NE; Europe,,"“USSTRATCOM, NATO Intel, Mission Networks”",Leidos; SAIC; subcontractors,,,,,Ongoing,Ongoing,,,CACI,Medium,,Intel,Intel,,,,TS/SCI BICES job mapping,,Network engineers; cyber analysts; intel support staff
BICES (Battlefield Intelligence Collection & Exploitation System),BICES,DoD,,,TS/SCI,TS/SCI,Medium,$500M,,,IDIQ,,Offutt AFB; EU/NATO bases,,“Battlefield Intel; NATO; Signals Collection”,,,,,,Ongoing,Ongoing,,,CACI,Medium,,Intel,Intel,,,,AI Program-Mapping Engine association,,Network engineers; intel systems engineers
BICES (Expanded Historical Listing),BICES,DoD,,,Cyber; network ops; SATCOM; intel support,Secret,Medium,,,,,,TS/SCI,,Intel,GDIT; Leidos (historical subs),,,,,Offutt AFB; Stuttgart; Belgium; Tampa FL,,,,CACI,Medium,,Professional Services,Professional Services,,,,Medium,,“BICES… cleared IT”
