program,program_rank,Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Global Service Management – Operations II,2,Insight Global,483067,TSSCI CYBER ANALYST,"Hampton, Virginia",TS/SCI,Contract-to-perm,15-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-cyber-analyst/job-483067/
Global Service Management – Operations II,2,Insight Global,483098,TSSCI CYBER CAPABILITIES TRAINER,"Hampton, Virginia",TS/SCI,Contract-to-perm,15-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-cyber-capabilities-trainer/job-483098/
Global Service Management – Operations II,2,Insight Global,479181,HARDWARE LAB STRING ENGINEER,"Woburn, Massachusetts",,Contract-to-perm,6-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/massachusetts/woburn/hardware-lab-string-engineer/job-479181/
Global Service Management – Operations II,2,Insight Global,474162,DEPUTY PROGRAM MANAGER,"Chambersburg, Pennsylvania",Secret,Perm,8-Dec-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/pennsylvania/chambersburg/deputy-program-manager/job-474162/
Global Service Management – Operations II,2,Insight Global,474958,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN","Sterling Heights, Michigan",,Contract-to-perm,10-Dec-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-system-security-manager-issm-warren-michigan/job-474958/
Global Service Management – Operations II,2,Insight Global,477098,SHIPFITTER,"Kings Bay, Georgia",,Contract,18-Dec-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/shipfitter/job-477098/
Global Service Management – Operations II,2,Insight Global,483590,AIR MOBILITY OPERATIONS SME,"O'fallon, Illinois",Top Secret,Contract-to-perm,16-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/illinois/ofallon/air-mobility-operations-sme/job-483590/
Global Service Management – Operations II,2,Insight Global,478759,CAPTURE MANAGER,"Huntsville, Alabama",Secret,Contract-to-perm,5-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/capture-manager/job-478759/
Global Service Management – Operations II,2,Insight Global,476455,COLDFUSION DEVELOPER,"New York, New York",,Contract-to-perm,17-Dec-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/new-york/new-york/coldfusion-developer/job-476455/
GBS (Global Broadcast Service),3,Insight Global,450628,SYSTEMS ADMINISTRATOR,"San Diego, California",Secret,Contract-to-perm,1-Oct-25,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/systems-administrator/job-450628/
GBS (Global Broadcast Service),3,Insight Global,479894,SECRET CUSTOMER SUPPORT ADMIN,"Vista, California",Secret,Contract-to-perm,7-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/vista/secret-customer-support-admin/job-479894/
GBS (Global Broadcast Service),3,Insight Global,476874,SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,"Palmdale, California",Secret,Contract-to-perm,18-Dec-25,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/palmdale/secret-non-destructive-test-technician-2-3/job-476874/
GBS (Global Broadcast Service),3,Insight Global,481705,SYSTEMS ENGINEER - LEVEL 3,"Anaheim, California",Secret,"Contract,Perm Possible",12-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,12,High,"Keywords: service, global; State: CA; City: ANAHEIM",https://insightglobal.com/jobs/find_a_job/california/anaheim/systems-engineer-level-3/job-481705/
GBS (Global Broadcast Service),3,Insight Global,483240,TSSCI TIER 1 NETWORK MONITOR,"Beale AFB, California",TS/SCI,Contract-to-perm,15-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/beale-afb/tssci-tier-1-network-monitor/job-483240/
GBS (Global Broadcast Service),3,Insight Global,479788,SAFETY ENGINEER,"El Segundo, California",TS/SCI,Contract-to-perm,7-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/el-segundo/safety-engineer/job-479788/
GBS (Global Broadcast Service),3,Insight Global,479037,SUPPORT COUNSELOR,"Santa Cruz, California",,Perm,6-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/santa-cruz/support-counselor/job-479037/
GBS (Global Broadcast Service),3,Insight Global,476039,AEROMECHANICAL ENGINEER,"Solana Beach, California",Secret,Contract,15-Dec-25,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/solana-beach/aeromechanical-engineer/job-476039/
GBS (Global Broadcast Service),3,Insight Global,477769,ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,"San Diego, California",Secret,Contract-to-perm,23-Dec-25,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/electro-mechanical-assembly-technician/job-477769/
GBS (Global Broadcast Service),3,Insight Global,479753,V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,"San Diego, California",Secret,Contract,7-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/v-22-aircraft-maintenance-and-modification-technician/job-479753/
GBS (Global Broadcast Service),3,Insight Global,462446,SECRET AMPHIBIOUS RAIDS INSTRUCTOR,"Jacksonville, North Carolina",Secret,Perm,31-Oct-25,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/north-carolina/jacksonville/secret-amphibious-raids-instructor/job-462446/
GBS (Global Broadcast Service),3,Insight Global,479658,TS/SCI SENIOR DEVSECOPS ENGINEER,"Hanahan, South Carolina",TS/SCI,Contract-to-perm,7-Jan-26,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/south-carolina/hanahan/ts-sci-senior-devsecops-engineer/job-479658/
GBS (Global Broadcast Service),3,Insight Global,434176,SECRET CLEARED TECHNICAL WRITER,"San Diego, California",Secret,Perm,11-Aug-25,GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/secret-cleared-technical-writer/job-434176/
Battlefield Information Collection & Exploitation System,4,Insight Global,239418,HELP DESK SUPPORT SPEC I,"Detroit, Michigan",Secret,Contract,10-Nov-22,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,4,Low,"Keywords: system, information",https://insightglobal.com/jobs/find_a_job/michigan/detroit/help-desk-support-spec-i/job-239418/
Battlefield Information Collection & Exploitation System,4,Insight Global,443211,SECRET/INTERIM CLEARED OUTSIDE MACHINIST,"Chesapeake, Virginia",Secret,"Contract,Perm Possible",11-Sep-25,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,5,Medium,Keywords: information; State: VA,https://insightglobal.com/jobs/find_a_job/virginia/chesapeake/secret-interim-cleared-outside-machinist/job-443211/
Battlefield Information Collection & Exploitation System,4,Insight Global,480992,TOP SECRET SYSTEM ADMIN,"Niskayuna, New York",Top Secret,Contract-to-perm,9-Jan-26,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,4,Low,"Keywords: system, information",https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/top-secret-system-admin/job-480992/
Battlefield Information Collection & Exploitation System,4,Insight Global,474313,SECRET DEPLOYED SUPPORT SPECIALIST,"Norfolk, Virginia",Secret,Contract,8-Dec-25,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: system, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/norfolk/secret-deployed-support-specialist/job-474313/
Battlefield Information Collection & Exploitation System,4,Insight Global,473918,PROGRAM MANAGER,"Deerfield Beach, Florida",Secret,Perm,5-Dec-25,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,6,Medium,"Keywords: system, information, collection",https://insightglobal.com/jobs/find_a_job/florida/deerfield-beach/program-manager/job-473918/
Battlefield Information Collection & Exploitation System,4,Insight Global,470275,C++ SOFTWARE ENGINEER,"Huntsville, Alabama",Secret,Contract-to-perm,21-Nov-25,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,4,Low,"Keywords: system, information",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/c-software-engineer/job-470275/
Battlefield Information Collection & Exploitation System,4,Insight Global,474049,TOP SECRET ISSO,"Quantico, Virginia",Top Secret,Contract-to-perm,5-Dec-25,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,9,Medium,"Keywords: system, exploitation, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/quantico/top-secret-isso/job-474049/
Battlefield Information Collection & Exploitation System,4,Insight Global,478776,OPERATING ENGINEER 2,"Springfield, Virginia",,"Contract,Perm Possible",5-Jan-26,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,10,High,Keywords: information; State: VA; City: SPRINGFIELD,https://insightglobal.com/jobs/find_a_job/virginia/springfield/operating-engineer-2/job-478776/
Battlefield Information Collection & Exploitation System,4,Insight Global,476051,TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,"Norfolk, Virginia",Top Secret,Contract-to-perm,15-Dec-25,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: system, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/norfolk/top-secret-technical-lead-engineering-system/job-476051/
Battlefield Information Collection & Exploitation System,4,Insight Global,483246,TSSCI TIER 1 NETWORK MONITOR (EAST COAST),"Hampton, Virginia",TS/SCI,Contract-to-perm,15-Jan-26,Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: system, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-tier-1-network-monitor-east-coast-/job-483246/
Project Convergence (JADC2 Experiments),5,Apex Systems,3009673,Install Specialist / IT Certified Professional,"Charlottesville, VA",TS/SCI Clearance level,Contract,10/22/2025,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,12,High,Acronym: PC; Keywords: project,https://www.apexsystems.com/job/3009673_usa/install-specialist--it-certified-professional
Project Convergence (JADC2 Experiments),5,Insight Global,479729,SECRET NETWORK ADMINISTRATOR II (DAYS),"Montgomery, Alabama",Secret,Contract-to-perm,7-Jan-26,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-days-/job-479729/
Project Convergence (JADC2 Experiments),5,Insight Global,478314,TOP SECRET HARDWARE TECH,"Monroeville, Pennsylvania",Top Secret,Contract-to-perm,5-Jan-26,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/pennsylvania/monroeville/top-secret-hardware-tech/job-478314/
Project Convergence (JADC2 Experiments),5,Insight Global,455774,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,Contract-to-perm,15-Oct-25,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455774/
Project Convergence (JADC2 Experiments),5,Insight Global,455777,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,Contract-to-perm,15-Oct-25,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455777/
Project Convergence (JADC2 Experiments),5,Insight Global,455721,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),"Montgomery, Alabama",TS/SCI,Contract-to-perm,15-Oct-25,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-day-shift-/job-455721/
