UEI,Vendor Name,Contract Number,Program Name,Agency,City,State
LUJEPCRRT377,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",DEAC0494AL85000,"Command and Control, Battle Management, Communications",MDA,,NEW MEXICO
JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,47QFCA22F0047,Defense Enterprise Office 365 Migration / DoD365,DISA,MCLEAN,VIRGINIA
QN1BCFY7JDJ5,RTX CORPORATION,N0001918C1021,DGFS (RTX),DoD,EAST HARTFORD,CONNECTICUT
ZBPQEJVECCT4,PERATON INC.,80GSFC19C0063,DIA EMERALD,NGA,HERNDON,VIRGINIA
NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,NSFDACS1219442,DIA ISEO,DIA,,
MYKLJHTX3MM7,"LEIDOS, INC.",89243318CFE000003,DISA Global Service Mgmt – Ops II,DISA,MORGANTOWN,WEST VIRGINIA
H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",W91CRB20F0448,DISA JWCC – Joint Warfighting Cloud Capability,DISA,ABERDEEN PROVING GROUND,MARYLAND
LX3BSV6NNW58,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,FA821413C0001,Distributed Common Ground System (AF),Air Force,ROCKVILLE,MARYLAND
UE9QJD4KK1L6,"LEIDOS, INC.",70T04019C9DAP3006,DTRA Integrated IT Support Services,DoD,RESTON,VIRGINIA
JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,N0003022C2001,GBS (Global Broadcast Service),DISA,ANAHEIM,CALIFORNIA
JLWLJXQ3M995,RAYTHEON COMPANY,FA880710C0001,GPS Next-Gen Operational Control System,Space Force,AURORA,COLORADO
HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,W56HZV19C0036,INSCOM IT Support Services (current TO iteration),Army,STERLING HEIGHTS,MICHIGAN
WEBHVDKSC4T5,JACOBS PROJECT MANAGEMENT CO.,140R4024C0013,Intelligence Community Infrastructure Support,Army,FARMINGTON,NEW MEXICO
PK8PM2GNVMP8,NORTHROP GRUMMAN SYSTEMS CORPORATION,N0001918C1037,Joint Tactical Ground Station Early Warning,Army,MELBOURNE,FLORIDA
YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",W52P1J19F0394,LOGCAP V,Army,,
YD6LTFVUZNG1,RAYTHEON COMPANY,N0002422C5500,Mark 48 Heavyweight Torpedo,Navy,ANDOVER,MASSACHUSETTS
VSBAFMDKTWL4,NORTHROP GRUMMAN SYSTEMS CORPORATION,FA881018C0006,NextGen GEO (Network/Ops),Space Force,REDONDO BEACH,CALIFORNIA
LHJPD6T16EV9,"L3HARRIS TECHNOLOGIES, INC.",F1962802C0010,Protected Satcom & Tactical Waveform Communications,Space Force,COLORADO SPRINGS,COLORADO
QM4EZDV15JL8,"L3HARRIS TECHNOLOGIES, INC.",DOCDG133E09CN0094,SDA Tranche-0 Constellation Support,DoD,GREENBELT,MARYLAND
MJBJKUMUNBY7,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,W56HZV08C0460,STRATCOM SMORS,DoD,SEALY,TEXAS
