"Type","FullName","Length","LastWriteTime"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\testing_data\budget_authority\quarterly\1203932156.xls","7046656","1/21/2026 10:03:03 AM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932156.xls","7046656","1/21/2026 10:03:02 AM"
"CSV","C:\N8N Builder\data\contacts_databases\Prime_Contacts_Enriched\Unclassified_Contacts_Enriched.csv","6689946","1/23/2026 8:32:18 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E23BEF66-A94C-9F0A-F058EA379CB3C475.XLS","6634496","1/21/2026 3:45:37 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E23BEF66-A94C-9F0A-F058EA379CB3C475 (1).XLS","6634496","1/21/2026 3:45:37 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\contract\Competition_2018_Single_Award.xlsx","4838297","1/19/2026 2:04:56 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\contract\Competition_2018_Single_Award.xlsx","4838297","1/19/2026 2:15:24 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E7911AC5-9238-F650-B79C390989A70F66.XLS","3648512","1/22/2026 4:17:31 PM"
"CSV","C:\N8N Builder\external\usaspending-api\usaspending_api\data\tas_list.csv","3509973","1/21/2026 10:03:03 AM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E2225E1C-B93A-E991-F1DACC9449B63A2E.XLS","3470848","1/21/2026 3:45:38 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E79223ED-F853-73CD-F96610BB266A9B5D.XLS","3452416","1/22/2026 4:18:43 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\Notes Activity Report (3).XLS","3420672","1/21/2026 3:45:38 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E2238527-9916-76A5-CA7ECB7EA5FCAFA9.XLS","3420672","1/21/2026 3:45:38 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E79002A3-FEFD-FD63-2642726BB4E74BFA.XLS","3365888","1/22/2026 4:16:18 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\budget\Budget_MainAccountCode.csv","3361334","1/19/2026 2:04:56 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\budget\Budget_MainAccountCode.csv","3361334","1/19/2026 2:15:24 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E7934ECC-A43D-312F-7CD3D30B3FA3BC0E.XLS","3185152","1/22/2026 4:19:47 PM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932159.xls","3023360","1/21/2026 10:03:02 AM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2013-05-09_Footing_Buckets_FY_2012.csv","2870414","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2013-05-09_Footing_Buckets_FY_2012.csv","2870414","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E78E29A9-B506-C26A-AB0089D0A75A329B.XLS","2811392","1/22/2026 4:14:03 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-09-04_Footing_Buckets_FY_2012.csv","2610825","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-09-04_Footing_Buckets_FY_2012.csv","2610825","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E78F10F0-E9D0-F16F-4FB20D646B889715.XLS","2569216","1/22/2026 4:15:08 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\budget\Budget_SubAccountCode.csv","2459013","1/19/2026 2:15:24 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\budget\Budget_SubAccountCode.csv","2459013","1/19/2026 2:04:56 PM"
"CSV","C:\N8N Builder\output\intelligence\bullhorn\notes_deep_analysis\contact_activity.csv","2312063","1/22/2026 5:27:03 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2010.csv","2157396","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2010.csv","2157396","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-31_Footing_Buckets_2010.1.csv","2157294","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-31_Footing_Buckets_2010.csv","2157294","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-31_Footing_Buckets_2010.1.csv","2157294","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-31_Footing_Buckets_2010.csv","2157294","1/19/2026 2:15:29 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E21D300B-EADF-90DE-DB06105B0B05A326.XLS","2155008","1/21/2026 3:45:36 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2011.csv","2149892","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2011.csv","2149892","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2009.csv","2116206","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2009.csv","2116206","1/19/2026 2:15:28 PM"
"JSON","C:\N8N Builder\knowledge-base\file_categories.json","2047197","1/24/2026 7:23:10 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2008.csv","2036307","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2008.csv","2036307","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2007.csv","1993297","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2007.csv","1993297","1/19/2026 2:05:00 PM"
"JSON","C:\N8N Builder\output\intelligence\bullhorn\primes_full.json","1933226","1/21/2026 4:48:08 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2006.csv","1887567","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2006.csv","1887567","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\vendor\Lookup_ParentID.csv","1855154","1/19/2026 2:05:12 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\vendor\Lookup_ParentID.csv","1855154","1/19/2026 2:15:42 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2005.csv","1769930","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2005.csv","1769930","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\budget_authority.csv","1756466","1/21/2026 10:03:01 AM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\office\Defense_Major_Command_Codes_and_Offices.csv","1697014","1/19/2026 2:05:04 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\office\Defense_Major_Command_Codes_and_Offices.csv","1697014","1/19/2026 2:15:32 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\ProductOrServiceCodes.csv","1620197","1/19/2026 2:15:23 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\ProductOrServiceCodes.csv","1620197","1/19/2026 2:04:55 PM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\broker_rules_for_fr_entity.xlsx","1615643","1/21/2026 10:03:01 AM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\testing_data\budget_authority\broker_rules_fr_entity.xlsx","1615582","1/21/2026 10:03:03 AM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\broker_rules_fr_entity.xlsx","1615578","1/21/2026 10:03:01 AM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\dictionary\FPDSNG_Contracting_Offices.xls","1570304","1/19/2026 2:04:57 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\dictionary\FPDSNG_Contracting_Offices.xls","1570304","1/19/2026 2:15:25 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\Notes Activity Report.XLS","1529344","1/21/2026 3:45:37 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E21B47D7-BDBD-021C-2FB33FB51C1D7A37.XLS","1529344","1/21/2026 3:45:38 PM"
"CSV","C:\N8N Builder\external\usaspending-api\usaspending_api\data\ref_city_county_code.csv","1461877","1/21/2026 10:03:02 AM"
"CSV","C:\N8N Builder\output\phase3_opportunities_tango.csv","1450803","1/20/2026 6:00:08 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2004.csv","1429879","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2004.csv","1429879","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\contacts_databases\Prime_Contacts_Enriched\CACI_Contacts_Enriched.csv","1336225","1/23/2026 8:32:13 PM"
"CSV","C:\N8N Builder\data\contacts_databases\DCGS_ContactsAll.csv","1333563","1/11/2026 8:56:42 PM"
"CSV","C:\N8N Builder\data\contacts_databases\DCGS_Contacts.csv","1333563","1/11/2026 8:56:42 PM"
"CSV","C:\N8N Builder\output\bd_databases\db3_dod_opportunities_all.csv","1289153","1/21/2026 1:22:30 AM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\dictionary\PSC_data_Oct 01 2015 FY2016  FINAL (30 July 2015) Revised 9_25_17.xls","1216512","1/19/2026 2:15:26 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\dictionary\PSC_data_Oct 01 2015 FY2016  FINAL (30 July 2015) Revised 9_25_17.xls","1216512","1/19/2026 2:04:58 PM"
"MARKDOWN","C:\N8N Builder\project_diagnostic_report.md","1182537","1/26/2026 2:02:02 PM"
"CSV","C:\N8N Builder\data\contacts_databases\Prime_Contacts\CACI_Contacts.csv","1158710","1/23/2026 1:44:06 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2003.csv","1128260","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2003.csv","1128260","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\external\usaspending-api\usaspending_api\data\program_activity.csv","1071399","1/21/2026 10:03:02 AM"
"CSV","C:\N8N Builder\data\federal\contracts\Contract_N0001920C0032_Sub-Awards_1.csv","1049665","1/21/2026 11:00:05 AM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2002.csv","1047730","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2002.csv","1047730","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2001.csv","1012037","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2001.csv","1012037","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\output\phase3_solicitations_only.csv","980539","1/20/2026 6:00:08 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2000.csv","968717","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_2000.csv","968717","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1999.csv","942996","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1999.csv","942996","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1996.csv","940750","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1996.csv","940750","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1997.csv","933488","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1997.csv","933488","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1995.csv","926218","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1995.csv","926218","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1992.csv","919188","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1992.csv","919188","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1998.csv","918421","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1998.csv","918421","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1993.csv","914622","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1993.csv","914622","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\ProductOrServiceCodes_MDP.csv","901048","1/19/2026 2:04:55 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\ProductOrServiceCodes_MDP.csv","901048","1/19/2026 2:15:23 PM"
"CSV","C:\N8N Builder\output\intelligence\bullhorn\warm_leads_priority.csv","894855","1/21/2026 4:48:19 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1994.csv","892307","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1994.csv","892307","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1991.csv","856839","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1991.csv","856839","1/19/2026 2:15:28 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_2005-2009.csv","843329","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_2005-2009.csv","843329","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\data\contacts_databases\Prime_Contacts_Enriched\GDIT_Contacts_Enriched.csv","838984","1/23/2026 8:32:13 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1990.csv","828036","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\2012-09-04_Footing_Buckets_FY_1990.csv","828036","1/19/2026 2:15:28 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2009.xls","827904","1/19/2026 2:15:29 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2009.xls","827904","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E244F47B-C2D1-DD41-92964FCEA32700A9.XLS","815104","1/21/2026 3:45:36 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2008.xls","805888","1/19/2026 2:15:29 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2008.xls","805888","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\project\CSISbudgetLineKey.csv","754714","1/19/2026 2:05:11 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\project\CSISbudgetLineKey.csv","754714","1/19/2026 2:15:39 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\office\MajComID.csv","730574","1/19/2026 2:05:04 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\office\MajComID.csv","730574","1/19/2026 2:15:32 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_2000-2004.csv","716057","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_2000-2004.csv","716057","1/19/2026 2:15:29 PM"
"JSON","C:\N8N Builder\external\Apify Puppeteer Scraper\dataset_puppeteer-scraper_2026-01-19_13-12-44-941.json","714821","1/22/2026 1:47:03 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\ImportAids\Archives\FY2022 import 2023_04_10 contractids.xlsx","708058","1/19/2026 2:04:55 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\ImportAids\Archives\FY2022 import 2023_04_10 contractids.xlsx","708058","1/19/2026 2:15:23 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\dictionary\Category Management.xlsx","707323","1/19/2026 2:04:56 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\dictionary\Final_PSC_Category_Alignment_June_21_18.xlsx","707323","1/19/2026 2:15:26 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\dictionary\Category Management.xlsx","707323","1/19/2026 2:15:25 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\dictionary\Final_PSC_Category_Alignment_June_21_18.xlsx","707323","1/19/2026 2:04:58 PM"
"CSV","C:\N8N Builder\output\bd_databases\db6_bd_targets_all.csv","703876","1/21/2026 1:26:19 AM"
"CSV","C:\N8N Builder\output\bd_databases\master_bd_targets.csv","691834","1/21/2026 1:31:50 AM"
"CSV","C:\N8N Builder\output\bd_databases\categorized\agency_Department_of_Defense.csv","691476","1/21/2026 1:31:50 AM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\ProductOrServiceCodesUkraineAssist.xlsx","689673","1/19/2026 2:04:55 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\ProductOrServiceCodesUkraineAssist.xlsx","689673","1/19/2026 2:15:23 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\fpdsusersgroup\fundinginvestigation.xlsx","680347","1/19/2026 2:15:29 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\fpdsusersgroup\fundinginvestigation.xlsx","680347","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\output\intelligence\bullhorn\placements_all.csv","675627","1/21/2026 4:48:20 PM"
"CSV","C:\N8N Builder\data\contacts_databases\Prime_Contacts\GDIT_Contacts.csv","659516","1/23/2026 1:44:06 PM"
"EXCEL","C:\N8N Builder\data\bullhorn\exports\E24599BF-D559-D157-3AB8F163E23E3923.XLS","656896","1/21/2026 3:45:37 PM"
"CSV","C:\N8N Builder\output\bd_databases\db1_dod_prime_contracts_100m.csv","652955","1/21/2026 1:18:24 AM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_1995-1999.csv","643662","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_1995-1999.csv","643662","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\output\bd_databases\db3_dod_solicitations.csv","637205","1/21/2026 1:22:30 AM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_1990-1994.csv","620793","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_1990-1994.csv","620793","1/19/2026 2:05:01 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_2010-2014.csv","613462","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Archives\2012-08-09_Contract_Buckets_2010-2014.csv","613462","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2012.xls","598016","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2012.xls","598016","1/19/2026 2:15:29 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\dictionary\PSC October 2020.xlsx","597698","1/19/2026 2:04:58 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\dictionary\PSC October 2020.xlsx","597698","1/19/2026 2:15:26 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2014_v3.xls","588288","1/19/2026 2:15:29 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2014_v3.xls","588288","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2011.xls","587264","1/19/2026 2:05:01 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2011.xls","587264","1/19/2026 2:15:29 PM"
"CSV","C:\N8N Builder\output\intelligence\bullhorn\contacts_humint.csv","575015","1/21/2026 4:48:08 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\vendor\Top_100_Contractors_Report_Fiscal_Year_2016.xls","574464","1/19/2026 2:15:42 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\footing\Top_100_Contractors_Report_Fiscal_Year_2016.xls","574464","1/19/2026 2:15:29 PM"
