Job Title,BD Priority,BD Score,Clearance,Confidence,DCGS Relevance,Job URL,Location,Prime Contractor,Program,Scraped Date,State,Task Order / Site
TS/SCI Field Service Engineer,🔥 Critical,90,TS/SCI,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/san-diego/ts-sci-field-service-engineer/job-435515/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
TSSCI Intel Analyst,🔥 Critical,95,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/mc-lean/tssci-intel-analyst/job-401173/,"Mc Lean, Virginia",Multiple,IC Support (NGA/CIA/ODNI),"December 19, 2025",VA,IC Enterprise IT
TSSCI Cyber Capabilities SME,🔥 Critical,95,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/maryland/fort-george-g-meade/tssci-cyber-capabilities-sme/job-452866/,"Fort George G Meade, Maryland",Multiple (GDIT/Northrop/SAIC),NSA / USCYBERCOM,"December 19, 2025",MD,Cyber Operations
Secret Network Administrator II (Nights),🔥 Critical,90,Secret,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-nights-/job-455977/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
TS/SCI Payloads Field Service Engineer (Florida),🔥 Critical,90,TS/SCI,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/san-diego/ts-sci-payloads-field-service-engineer-florida-/job-475423/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
TS/SCI Network Administrator III (WAN) (Afternoon),🔥 Critical,100,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455777/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
TS/SCI Software Engineer,🔥 Critical,90,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-software-engineer/job-239361/,"San Antonio, Texas",GDIT / Peraton,AF 16th Air Force / DISA,"December 19, 2025",TX,JBSA / Lackland
Secret Mid-Level Cyber Threat Emulation Analyst,🔥 Critical,90,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-mid-level-cyber-threat-emulation-analyst/job-458008/,"Colorado Springs, Colorado",Raytheon / Northrop,Space Force (SBIRS/FORGE/GMD),"December 19, 2025",CO,Schriever/Peterson SFB
TS/SCI Low Band System Software Support Engineer,🔥 Critical,90,TS/SCI,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/virginia/hampton/ts-sci-low-band-system-software-support-engineer/job-447111/,"Hampton, Virginia",BAE Systems / GDIT (Sub),AF DCGS (480th ISR Wing),"December 19, 2025",VA,Langley AFB - DGS-1
TS/SCI Software Engineer,🔥 Critical,90,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-software-engineer/job-476428/,"San Antonio, Texas",GDIT / Peraton,AF 16th Air Force / DISA,"December 19, 2025",TX,JBSA / Lackland
TS/SCI Network Administrator III (WAN) (Day Shift),🔥 Critical,100,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-day-shift-/job-455721/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
TS/SCI Cyber Defense Operator,🔥 Critical,95,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/texas/jbsa-lackland/ts-sci-cyber-defense-operator/job-476939/,"Jbsa Lackland, Texas",GDIT / Peraton,AF 16th Air Force / Cyber,"December 19, 2025",TX,JBSA Lackland Cyber
TS/SCI Low Band System Software Support Engineer,🔥 Critical,90,TS/SCI,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/beale-afb/ts-sci-low-band-system-software-support-engineer/job-447139/,"Beale Afb, California",BAE Systems / GDIT (Sub),AF DCGS (548th ISR Group),"December 19, 2025",CA,Beale AFB - DGS-2
CI Poly RF Analyst,🔥 Critical,95,TS/SCI with Polygraph,High,Related Intel,https://insightglobal.com/jobs/find_a_job/maryland/fort-george-g-meade/ci-poly-rf-analyst/job-476363/,"Fort George G Meade, Maryland",Multiple (GDIT/Northrop/SAIC),NSA / USCYBERCOM,"December 19, 2025",MD,Cyber Operations
TS/SCI Systems Administrator,🔥 Critical,90,TS/SCI,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/ohio/dayton/ts-sci-systems-administrator/job-469723/,"Dayton, Ohio",BAE Systems / GDIT (Sub),AF DCGS / NASIC Support,"December 19, 2025",OH,Wright-Patterson AFB
Secret Sr. Network Engineer,🟠 High,85,Secret,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-sr-network-engineer/job-467236/,"Fairfax, Virginia",GDIT / SAIC,DISA / DoD IT,"December 19, 2025",VA,Enterprise IT Services
Top Secret Cyber Policy Action Officer,🟠 High,85,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-cyber-policy-action-officer/job-468210/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Top Secret Senior Safety Engineer,🟠 High,85,Top Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/san-diego/top-secret-senior-safety-engineer/job-470964/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
TS/SCI Software Engineer 4,🔥 Critical,90,TS/SCI,High,General DoD,https://insightglobal.com/jobs/find_a_job/california/el-segundo/ts-sci-software-engineer-4/job-466253/,"El Segundo, California",Multiple,Space Force SSC,"December 19, 2025",CA,Space Systems Command
DevOps Engineer - TSSCI w/ Poly,🟠 High,85,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/mclean/devops-engineer-tssci-w-poly/job-473138/,"Mclean, Virginia",Multiple,IC Support (NGA/CIA/ODNI),"December 19, 2025",VA,IC Enterprise IT
(CI Poly) Splunk Engineer,🟠 High,85,TS/SCI with Polygraph,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dranesville/-ci-poly-splunk-engineer/job-468995/,"Dranesville, Virginia",Unknown,Unknown - Requires Research,"December 19, 2025",VA,TBD
TS/SCI - Electrical/Electronic Engineer SME,🟠 High,85,TS/SCI,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/florida/eglin-air-force-base/ts-sci-electrical-electronic-engineer-sme/job-464700/,"Eglin Air Force Base, Florida",Multiple,AFMC / AAC Programs,"December 19, 2025",FL,Eglin AFB - Armament
Cybersecurity Engineer - ISSE Cleared,🟠 High,85,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/cybersecurity-engineer-isse-cleared/job-470600/,"Lincoln, Massachusetts",MIT LL,MIT Lincoln Lab,"December 19, 2025",MA,DoD R&D Support
"Top Secret FSR Analyst (Stuttgart Germany; Ft. Bragg, NC; Virginia Beach, VA)",🟠 High,85,Top Secret,High,Related Intel,https://insightglobal.com/jobs/find_a_job/florida/fort-walton-beach/top-secret-fsr-analyst-stuttgart-germany-ft-bragg-nc-virginia-beach-va-/job-454380/,"Fort Walton Beach, Florida",GDIT / L3Harris,AFSOC / USSOCOM,"December 19, 2025",FL,Hurlburt Field
TS/SCI Security Engineer III (Boundary (NJRSS)) (Days),🔥 Critical,90,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-security-engineer-iii-boundary-njrss-days-/job-425553/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
Top Secret Cleared Guidance Engineer,🟠 High,85,Top Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/utah/sunset/top-secret-cleared-guidance-engineer/job-468267/,"Sunset, Utah",Northrop,Northrop Grumman Missile,"December 19, 2025",UT,Solid Rocket Motor
Top Secret Operations Support Engineer,🟠 High,85,Top Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/top-secret-operations-support-engineer/job-459677/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
"Top Secret FSR Analyst (CO Springs, CO & Vandenburg, CA)",🟠 High,85,Top Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/top-secret-fsr-analyst-co-springs-co-vandenburg-ca-/job-454381/,"Colorado Springs, Colorado",Raytheon / Northrop,Space Force (SBIRS/FORGE/GMD),"December 19, 2025",CO,Schriever/Peterson SFB
Top Secret System Admin,🟠 High,85,Top Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/top-secret-system-admin/job-474443/,"Niskayuna, New York",KAPL,NNSA / Knolls Lab,"December 19, 2025",NY,Naval Reactors
TSSCI Systems Administrator (Level 2),🟠 High,85,TS/SCI,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/louisville/tssci-systems-administrator-level-2-/job-465529/,"Louisville, Colorado",Ball Aerospace,Space Force / Ball Aerospace,"December 19, 2025",CO,Satellite Programs
(CI POLY) Infrastructure Engineer / Administrator,🟠 High,85,TS/SCI with Polygraph,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dranesville/-ci-poly-infrastructure-engineer-administrator/job-468997/,"Dranesville, Virginia",Unknown,Unknown - Requires Research,"December 19, 2025",VA,TBD
TS/SCI - Senior Survivability Engineer,🔥 Critical,90,TS/SCI,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/ts-sci-senior-survivability-engineer/job-460481/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
GIS Systems Administrator - TSSCI,🔥 Critical,90,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/herndon/gis-systems-administrator-tssci/job-452323/,"Herndon, Virginia",GDIT,GDIT Corporate / IC Programs,"December 19, 2025",VA,GDIT HQ / Program Support
TS/SCI Cyber Mission Specialist,🔥 Critical,90,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/ts-sci-cyber-mission-specialist/job-473154/,"Alexandria, Virginia",Multiple,DIA / NGA / DoD,"December 19, 2025",VA,Pentagon Area IT
TS/SCI - Electronic Warfare Engineer (EW),🟠 High,85,TS/SCI,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/georgia/warner-robins/ts-sci-electronic-warfare-engineer-ew-/job-465503/,"Warner Robins, Georgia",Multiple,AFMC / Robins AFB,"December 19, 2025",GA,Air Logistics Complex
TS/SCI Mission Planner,🟠 High,85,TS/SCI,High,General DoD,https://insightglobal.com/jobs/find_a_job/north-dakota/hatton/ts-sci-mission-planner/job-466391/,"Hatton, North Dakota",Northrop,Grand Forks AFB / Cavalier AFS,"December 19, 2025",ND,Missile Warning
TS/SCI Comply-to-Connect & Endpoint Policy Analyst,🟠 High,85,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/ts-sci-comply-to-connect-endpoint-policy-analyst/job-447457/,"Alexandria, Virginia",Multiple,DIA / NGA / DoD,"December 19, 2025",VA,Pentagon Area IT
TS/SCI Sr. Network Engineer,🔥 Critical,90,TS/SCI,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/mount-vernon/ts-sci-sr-network-engineer/job-458210/,"Mount Vernon, Virginia",Unknown,Unknown - Requires Research,"December 19, 2025",VA,TBD
TS/SCI Systems Engineering Manager,🟠 High,85,TS/SCI,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/pennsylvania/state-college/ts-sci-systems-engineering-manager/job-476299/,"State College, Pennsylvania",Penn State,Penn State ARL,"December 19, 2025",PA,DoD R&D
"Top Secret Linux System Administrator (CO Springs, CO)",🟠 High,85,Top Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/top-secret-linux-system-administrator-co-springs-co-/job-476216/,"Colorado Springs, Colorado",Raytheon / Northrop,Space Force (SBIRS/FORGE/GMD),"December 19, 2025",CO,Schriever/Peterson SFB
Top Secret Cisco Identify Services Engineer (ISE)/Administrator,🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-cisco-identify-services-engineer-ise-administrator/job-477325/,"Dahlgren, Virginia",Multiple (SAIC/Leidos/GDIT),NSWC Dahlgren,"December 19, 2025",VA,Naval Surface Warfare
Senior Software Engineer (Secret Clearance),🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/arizona/tucson/senior-software-engineer-secret-clearance-/job-447166/,"Tucson, Arizona",Raytheon,Raytheon Missile Systems,"December 19, 2025",AZ,Missile Programs
Secret Software Engineer,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/arizona/tucson/secret-software-engineer/job-458053/,"Tucson, Arizona",Raytheon,Raytheon Missile Systems,"December 19, 2025",AZ,Missile Programs
Secret cleared Cloud Engineer,🟠 High,80,Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/south-carolina/north-charleston/secret-cleared-cloud-engineer/job-474925/,"North Charleston, South Carolina",Leidos / BAE,Navy DCGS-N / NIWC Atlantic,"December 19, 2025",SC,NIWC Engineering
"Top Secret FSR Analyst (Tacoma, WA)",🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/washington/tacoma/top-secret-fsr-analyst-tacoma-wa-/job-467112/,"Tacoma, Washington",Multiple,Joint Base Lewis-McChord,"December 19, 2025",WA,I Corps / JBLM
"Top Secret FSR Analyst (Auriga: Tacoma, WA)",🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/north-carolina/fayetteville/top-secret-fsr-analyst-auriga-tacoma-wa-/job-454382/,"Fayetteville, North Carolina",GDIT / Peraton,USASOC / XVIII Airborne,"December 19, 2025",NC,Fort Liberty Support
"Top Secret FSR Analyst (Honolulu, HI)",🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/hawaii/honolulu/top-secret-fsr-analyst-honolulu-hi-/job-473448/,"Honolulu, Hawaii",Multiple,INDOPACOM IT,"December 19, 2025",HI,Camp Smith / JBPHH
Secret Network Admin,🟠 High,80,Secret,Low,General DoD,https://insightglobal.com/jobs/find_a_job/washington/pacific-beach/secret-network-admin/job-475167/,"Pacific Beach, Washington",Unknown,Unknown - Requires Research,"December 19, 2025",WA,TBD
Top Secret Electronics Exploitation Deployer,🟠 High,80,Top Secret,High,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/top-secret-electronics-exploitation-deployer/job-476933/,"Aberdeen Proving Ground, Maryland",BAE Systems / GDIT (Sub),Army DCGS-A / C5ISR Center,"December 19, 2025",MD,Aberdeen Proving Ground
TOP SECRET Automated Test Engineer,🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-automated-test-engineer/job-475546/,"Dahlgren, Virginia",Multiple (SAIC/Leidos/GDIT),NSWC Dahlgren,"December 19, 2025",VA,Naval Surface Warfare
Top Secret - Manufacturing Engineer,🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/florida/eglin-air-force-base/top-secret-manufacturing-engineer/job-464025/,"Eglin Air Force Base, Florida",Multiple,AFMC / AAC Programs,"December 19, 2025",FL,Eglin AFB - Armament
DevSecOps Engineer - Secret Clearance,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/devsecops-engineer-secret-clearance/job-463944/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Software Test Engineer - Secret Clearance,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-test-engineer-secret-clearance/job-476824/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Secret Senior ISSE,🟠 High,80,Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/maryland/belcamp/secret-senior-isse/job-468882/,"Belcamp, Maryland",BAE Systems / Semper Valens,Army DCGS-A FOS,"December 19, 2025",MD,DCGS-A Family of Systems
SECRET - FPGA Engineer III,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/secret-fpga-engineer-iii/job-465496/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Electrical Engineer - Secret Clearance,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/electrical-engineer-secret-clearance/job-461214/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Sr Software Engineer - Secret,🟠 High,80,Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/ohio/kettering/sr-software-engineer-secret/job-468093/,"Kettering, Ohio",BAE Systems / GDIT (Sub),AF DCGS / NASIC Support,"December 19, 2025",OH,Wright-Patterson AFB
Secret Cleared ITSM Program Manager,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/massachusetts/lexington/secret-cleared-itsm-program-manager/job-471228/,"Lexington, Massachusetts",MIT LL,MIT Lincoln Lab,"December 19, 2025",MA,DoD R&D Support
Secret Security Engineer (DNS),🟠 High,80,Secret,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-security-engineer-dns-/job-467723/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
Senior Systems Engineer - Secret Clearance,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/senior-systems-engineer-secret-clearance/job-460819/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
TSSCI Systems Admin,🟠 High,85,TS/SCI,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/centennial/tssci-systems-admin/job-469897/,"Centennial, Colorado",Multiple,Space Force Programs,"December 19, 2025",CO,Denver Area Space
Secret Operations Analyst,🟠 High,80,Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/maryland/belcamp/secret-operations-analyst/job-280703/,"Belcamp, Maryland",BAE Systems / Semper Valens,Army DCGS-A FOS,"December 19, 2025",MD,DCGS-A Family of Systems
Software Engineer - Secret Clearance,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-engineer-secret-clearance/job-460643/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Secret Capture Manager - Huntsville 2,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/secret-capture-manager-huntsville-2/job-452565/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Secret - Senior FPGA Engineer,🟠 High,80,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/secret-senior-fpga-engineer/job-461342/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Secret Firewall Engineer,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/secret-firewall-engineer/job-471556/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Secret Systems Integration & Test Engineer,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/secret-systems-integration-test-engineer/job-477244/,"Salt Lake City, Utah",Northrop / L3Harris,Northrop / Hill AFB,"December 19, 2025",UT,Utah Defense Corridor
TOP SECRET Senior Unified Communications Engineer,🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-senior-unified-communications-engineer/job-474375/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Secret Cleared Solutions Architect,🟡 Medium,75,Secret,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/missouri/saint-louis/secret-cleared-solutions-architect/job-296131/,"Saint Louis, Missouri",Multiple,NGA / DISA,"December 19, 2025",MO,NGA West
Secret RF System Engineer,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/secret-rf-system-engineer/job-477411/,"Salt Lake City, Utah",Northrop / L3Harris,Northrop / Hill AFB,"December 19, 2025",UT,Utah Defense Corridor
Secret Solutions Architect,🟡 Medium,75,Secret,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-solutions-architect/job-467265/,"Fairfax, Virginia",GDIT / SAIC,DISA / DoD IT,"December 19, 2025",VA,Enterprise IT Services
Network Engineer,🟠 High,80,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/hawaii/fort-shafter/network-engineer/job-475757/,"Fort Shafter, Hawaii",Multiple,USARPAC,"December 19, 2025",HI,Army Pacific IT
Secret Systems Engineer,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/secret-systems-engineer/job-464970/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Systems/Network Engineer,🟠 High,80,Unknown,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/mclean/systems-network-engineer/job-465044/,"Mclean, Virginia",Multiple,IC Support (NGA/CIA/ODNI),"December 19, 2025",VA,IC Enterprise IT
Secret Azure Architect (AI/ML),🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-azure-architect-ai-ml-/job-475544/,"Dahlgren, Virginia",Multiple (SAIC/Leidos/GDIT),NSWC Dahlgren,"December 19, 2025",VA,Naval Surface Warfare
Secret Cleared Critical Facility Technician - Electrical,🟡 Medium,75,Secret,High,Related Intel,https://insightglobal.com/jobs/find_a_job/texas/jbsa-lackland/secret-cleared-critical-facility-technician-electrical/job-471016/,"Jbsa Lackland, Texas",GDIT / Peraton,AF 16th Air Force / Cyber,"December 19, 2025",TX,JBSA Lackland Cyber
Secret Cleared Technical Writer,🟡 Medium,75,Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/san-diego/secret-cleared-technical-writer/job-434176/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
Secret Vulnerability Penetration Tester,🟡 Medium,75,Secret,High,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/secret-vulnerability-penetration-tester/job-449881/,"Aberdeen Proving Ground, Maryland",BAE Systems / GDIT (Sub),Army DCGS-A / C5ISR Center,"December 19, 2025",MD,Aberdeen Proving Ground
Secret .NET Developer,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/quantico/secret-net-developer/job-474049/,"Quantico, Virginia",Multiple,USMC / FBI,"December 19, 2025",VA,Marine Corps IT
Top Secret AI Operations Engineer SME,🟠 High,80,Top Secret,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/ashburn/top-secret-ai-operations-engineer-sme/job-471487/,"Ashburn, Virginia",Multiple,IC Data Centers,"December 19, 2025",VA,IC Cloud/AI
