award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,competitor_subaward_count,competitor_subaward_value,contract_id,description,end_date,extraction_date,is_dod,is_it_services,naics_code,naics_description,pop_city,pop_state,psc_code,psc_description,recipient_name,recipient_uei,source,start_date,subaward_count,subaward_value
11040980157.1,CONT_AWD_N0001907C0001_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,N0001907C0001,MV-22 AIRCRAFT - FY08 (LOT 12)*,2018-08-06,2026-01-21,True,False,,,,,,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,usaspending,2007-04-02,0,0
10029620274.96,CONT_AWD_N0002406C2222_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002406C2222,DETAIL DESIGN AND CONSTRUCTION OF LPD 17 CLASS SHIP (LPD 22),2022-09-30,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,2006-06-01,0,0
9971085290.49,CONT_AWD_W58RGZ08C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,W58RGZ08C0003,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,2016-09-30,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2007-12-12,0,0
9499338750.87,CONT_AWD_FA881113C0003_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,FA881113C0003,IGF::CT::IGF EELV FY13 + PHASE I BUY,2022-12-02,2026-01-21,True,False,,,,,,,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,usaspending,2013-06-26,0,0
9397332305.22,CONT_AWD_N0002403C2101_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002403C2101,,2025-05-06,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2003-08-14,0,0
8949368388.58,CONT_AWD_0159_9700_DAAA0902D0007_9700,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,0159,FOLLOW ON TASK ORDER TO 139 IS NOW TASK ORDER 159,2012-09-30,2026-01-21,True,False,,,,,,,"KBR SERVICES, LLC",YSQMHRS4HSC5,usaspending,2008-09-24,0,0
8688654906.89,CONT_AWD_N0001918C1021_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0001918C1021,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,2024-12-30,2026-01-21,True,False,,,,,,,RTX CORPORATION,QN1BCFY7JDJ5,usaspending,2018-03-23,0,0
7911304631.39,CONT_AWD_N0001902C3003_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,N0001902C3003,200204!008533!1700!AF600 !NAVAL AIR SYSTEMS COMMAND !N0001902C3003 !A!N! !N! !20011026!20120430!001447952!001447952!001344142!N!UNITED TECHNOLOGIES CORP !400 MAIN STREET !EAST HARTFORD !CT!06108!22700!003!09!EAST HARTFORD !HARTFORD !CONN !+000014000000!N!N!004803460088!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP !A1B!AIRCRAFT ENGINES AND SPARES !2AMA!JAST/JSF !541710!E! !3! ! ! ! ! !99990909!B! ! !A! !D!N!R!1!001!N!1A!A!Y!Z! ! !N!C!N! ! ! !A!A!A!A!000!A!C!N! ! ! !Y! !N00019!0001!,2019-04-12,2026-01-21,True,False,,,,,,,RTX CORPORATION,QN1BCFY7JDJ5,usaspending,2001-10-26,0,0
7865825758.15,CONT_AWD_0139_9700_DAAA0902D0007_9700,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,0139,"200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DRY          !HOUSTON             !TX!77020!00000!   !IZ!                    !                      !IRAQ      !+000400000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !SERVICES                            !000 !NOT DISCERNABLE               !561210!E! !5!B!S! ! ! !99990",2012-12-30,2026-01-21,True,False,,,,,,,"KBR SERVICES, LLC",YSQMHRS4HSC5,usaspending,2006-08-22,0,0
7498943172.37,CONT_AWD_N0001920C0011_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0001920C0011,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,2030-10-15,2026-01-21,True,False,,,,,,,RTX CORPORATION,QN1BCFY7JDJ5,usaspending,2020-03-23,0,0
7337457221.95,CONT_AWD_N0001912C2001_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,N0001912C2001,PROCUREMENT OF V-22 LOT 17 LONG LEAD-TIME ITEMS,2021-09-30,2026-01-21,True,False,,,,,,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,usaspending,2011-12-29,0,0
7052768924.82,CONT_AWD_DAAE0703CS023_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,DAAE0703CS023,"200502!000833!2100!W56HZV!TACOM - WARREN                  !DAAE0703CS023  !A!N! !N!             !P00031!20041101!20081115!557414000!557414000!007932783!N!STEWART & STEVENSON TACTICAL V!5000 INTERSTATE 10 HWY    !SEALY               !TX!77474!66464!015!48!SEALY               !AUSTIN                !TEXAS     !+000000569789!N!N!000000000000!2320!TRUCKS AND TRUCK TRACTORS, WHEELED                !A4B!NON-COMBAT VEHICLES                 !746 !FMTV                          !336212!E! !3! ! !D! ! !202",2009-11-30,2026-01-21,True,False,,,,,,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,usaspending,2003-04-17,0,0
6959418742.2,CONT_AWD_N0002423C2307_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002423C2307,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2034-02-28,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,2023-08-01,0,0
6703793714.37,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002418C2307,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2032-07-09,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,2018-09-27,0,0
6620467288.99,CONT_AWD_N0002408C2110_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002408C2110,CVN 78 SHIP CONSTRUCTION,2022-09-30,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,usaspending,2008-08-01,0,0
6568172820.67,CONT_AWD_N0001917C0015_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0001917C0015,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,2028-01-31,2026-01-21,True,False,,,,,,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,usaspending,2016-12-28,0,0
6104259192.82,CONT_AWD_W56HZV15C0095_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,W56HZV15C0095,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS FIXED FEE (CPFF) CLINS FOR SYSTEM TECHNICAL SUPPORT (STS), TOTAL PACKAGE FIELDING (TPF), AND INTERIM ",2025-09-25,2026-01-21,True,False,,,,,,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,usaspending,2015-08-25,0,0
6103285531.96,CONT_AWD_N0001906C0081_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0001906C0081,,2025-12-31,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2006-01-03,0,0
6062897262.53,CONT_AWD_0059_9700_DAAA0902D0007_9700,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,0059,,2014-09-30,2026-01-21,True,False,,,,,,,"KBR SERVICES, LLC",YSQMHRS4HSC5,usaspending,2003-08-12,0,0
5958207617.6,CONT_AWD_FA862914C2403_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; Active prime,60,0,0,FA862914C2403,ACAT 1D - CRH,2026-09-13,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2014-06-26,0,0
5922645371.88,CONT_AWD_N0002402C2300_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002402C2300,,2017-03-31,2026-01-21,True,False,,,,,,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,usaspending,2001-10-18,0,0
5812593038.64,CONT_AWD_N0002416C2229_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002416C2229,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,2028-03-22,2026-01-21,True,False,,,,,,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,usaspending,2016-06-30,0,0
5584342574.87,CONT_AWD_W58RGZ17C0009_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,W58RGZ17C0009,W58RGZ-17-C-0009 MY IX BLACK HAWK PRODUCTION CONTRACT AWARD.,2025-10-31,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2017-06-22,0,0
5302697771.86,CONT_AWD_N0002418C2305_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002418C2305,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2030-12-20,2026-01-21,True,False,,,,,,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,usaspending,2018-09-27,0,0
5023910450.0,CONT_AWD_N0002423C2305_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002423C2305,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2034-02-28,2026-01-21,True,False,,,,,,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,usaspending,2023-08-01,0,0
4960017500.0,CONT_AWD_N0002424C2110_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002424C2110,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,2035-09-30,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2023-10-13,0,0
4904473850.56,CONT_AWD_N0002413C2305_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002413C2305,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,2026-12-01,2026-01-21,True,False,,,,,,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,usaspending,2013-06-03,0,0
4865962075.84,CONT_AWD_N0001921C0011_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0001921C0011,FY21 PBL2,2030-02-28,2026-01-21,True,False,,,,,,,RTX CORPORATION,QN1BCFY7JDJ5,usaspending,2020-12-01,0,0
4815722935.22,CONT_AWD_W52P1J10C0062_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,W52P1J10C0062,KUWAIT BASE OPERATIONS AND SECURITY SUPPORT SERVICES,2023-08-28,2026-01-21,True,False,,,,,,,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,usaspending,2010-09-29,0,0
4627589105.0,CONT_AWD_N0002418C2406_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002418C2406,LPD 30 LLTM,2031-03-01,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,2018-08-02,0,0
4609561500.42,CONT_AWD_0089_9700_DAAA0902D0007_9700,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,0089,"200509!001151!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0089         !      !20050613!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DR           !HOUSTON             !TX!77020!00000!   !IZ!*                   !*                     !IRAQ      !+000135000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !SERVICES                            !000 !*                             !561210!E! !5!B!S! ! ! !20200",2012-12-31,2026-01-21,True,False,,,,,,,"KBR SERVICES, LLC",YSQMHRS4HSC5,usaspending,2005-06-13,0,0
4563665299.0,CONT_AWD_N0002498C2104_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002498C2104,,2023-05-17,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,usaspending,1999-11-03,0,0
4468376082.62,CONT_AWD_N0002415C2114_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002415C2114,DETAIL DESIGN AND CONSTRUCTION CVN 79,2025-07-31,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,usaspending,2015-06-05,0,0
4462893976.64,CONT_AWD_N0002411C2301_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002411C2301,BASIC CONTRACT,2024-03-28,2026-01-21,True,False,,,,,,,"AUSTAL USA, LLC",RG6LJJM6JBS3,usaspending,2010-12-29,0,0
4386431994.83,CONT_AWD_N0002409C2116_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002409C2116,CVN79 CONSTRUCTION PREPARATION EFFORTS FY09,2025-07-31,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,usaspending,2009-01-15,0,0
4308019438.12,CONT_AWD_HT940223C0001_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $1B+; Active prime,60,0,0,HT940223C0001,"TRICARE MANAGED CARE SUPPORT SERVICES CONTRACT, 5TH GENERATION EAST REGION",2029-12-31,2026-01-21,True,False,,,,,,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,usaspending,2023-02-01,0,0
4266428233.15,CONT_AWD_W58RGZ22C0010_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,W58RGZ22C0010,MULTI-YEAR TEN (MY X) BLACK HAWK PRODUCTION AWARD FOR PROCUREMENT OF 120 H-60M BLACK HAWK HELICOPTERS FOR FISCAL YEARS 2022 - 2026 REQUIREMENTS WITH RELATED SUPPORT AND INCLUDING OPTIONS FOR AN ADDITIONAL 135 AIRCRAFT.,2027-12-31,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2022-06-26,0,0
4133038047.0,CONT_AWD_N0002496C2100_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002496C2100,,2013-05-10,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,1999-10-14,0,0
4067162785.79,CONT_AWD_W56HZV08C0460_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,W56HZV08C0460,"PROCUREMENT OF 10,000 FAMILY OF MEDIUM TACTICAL VEHICLES.  ALSO ADDING PROGRAM SUPPORT AND FEDERAL RETAIL EXCISE TAX.  THIS ACTION IS BEING ADDED AS AN UNDEFINITIZED CONTRACTUAL ACTION",2024-09-30,2026-01-21,True,False,,,,,,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,usaspending,2008-05-30,0,0
4018664961.5,CONT_AWD_N0002420C2120_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002420C2120,LEAD YARD SUPPORT,2030-03-31,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2019-10-13,0,0
3837899601.87,CONT_AWD_N0002497C2202_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002497C2202,,2012-12-31,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,1999-10-27,0,0
3648685783.01,CONT_AWD_FA861108C2896_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; Active prime,60,0,0,FA861108C2896,F119 ENGINE LONG TERM SUSTAINMENT PROGRAM FOR THE RAPTOR ENGINE (SPARE),2022-05-31,2026-01-21,True,False,,,,,,,RTX CORPORATION,QN1BCFY7JDJ5,usaspending,2008-01-01,0,0
3583485319.19,CONT_AWD_FA881606C0002_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; Active prime,60,0,0,FA881606C0002,200610!000002!5700!FA8816!SMC/EVK                         !FA881606C0002  !A!N! !N!             !      !20060228!20070930!926784042!834951691!834951691!N!LOCKHEED MARTIN CORPORATION   !12257 HIGHWAY 121         !LITTLETON           !CO!80125!45255!005!08!LITTLETON           !ARAPAHOE              !COLORADO  !+000335912412!N!N!000815040082!1810!SPACE VEHICLES                                    !A2 !MISSILE AND SPACE SYSTEMS           !176 !EELV                          !336414!E! !3! ! ! ! ! !999,2013-12-31,2026-01-21,True,False,,,,,,,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,usaspending,2006-02-28,0,0
3518934933.29,CONT_AWD_DAAH2302C0006_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,DAAH2302C0006,200212!002339!2100!AH23 !USA AVIATION AND MISSILE COMMAND!DAAH2302C0006 !A!N! !N! !20020926!20071231!835551474!835551474!001344142!N!SIKORSKY AIRCRAFT CORPORATION !6900 MAIN STREET !STRATFORD !CT!06615!74260!001!09!STRATFORD !FAIRFIELD !CONN !+000223785585!N!Y!001534999153!1520!AIRCRAFT ROTARY WING !A1A!AIRFRAMES AND SPARES !1000!NOT DISCERNABLE OR CLASSIFIED !336411!E! !3! ! ! ! ! !99990909!B! ! !A! !D!N!J!1!001!N!1G!A!Y!A! ! !N!C!N! ! ! !A!A!A!A!000!A!C!N! ! ! !Y! ! !0001!,2020-01-31,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2002-09-26,0,0
3452976200.05,CONT_AWD_0002_9700_W56HZV09D0111_9700,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,0002,"PURCHASE MRAP ATVS, INCLUDING ASSOCIATED PARTS AND FIELD SUPPORT.",2012-12-28,2026-01-21,True,False,,,,,,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,usaspending,2009-06-30,0,0
3440615229.0,CONT_AWD_N0002405C2221_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002405C2221,,2016-09-15,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,2005-07-15,0,0
3422749298.96,CONT_AWD_N0001922C0004_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0001922C0004,CH-53K FRP LOT 7 LONG LEAD ITEMS,2027-12-31,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2021-12-06,0,0
3405711408.0,CONT_AWD_N0002402C2303_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002402C2303,200212!025207!1700!BZ002 !NAVAL SEA SYSTEMS COMMAND       !N0002402C2303  !A!N! !N!                   !20020801!20080426!045953718!045953718!001381284!N!BATH IRON WORKS CORPORATION   !700 WASHINGTON ST STOP 1  !BATH                !ME!04530!03355!023!23!BATH                !SAGADAHOC             !MAINE     !+000464373508!N!N!000000000000!1903!DESTROYERS                                        !A3 !SHIPS                         !2SCY!DESTROYER DDG-51              !336611!E! !3! ! ! ! ! !99990909!B,2011-12-30,2026-01-21,True,False,,,,,,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,usaspending,2002-08-01,0,0
3376284837.0,CONT_AWD_N0002419C2114_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002419C2114,NAVAL REACTORS,2032-09-30,2026-01-21,True,False,,,,,,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,usaspending,2018-11-30,0,0
3345822881.0,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002413C2307,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,2024-10-31,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,usaspending,2013-06-03,0,0
3310046924.63,CONT_AWD_N0002406C2303_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002406C2303,DDG 1000 DETAIL DESIGN,2021-12-26,2026-01-21,True,False,,,,,,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,usaspending,2006-08-08,0,0
