Jul-25,,,,,,,,,,,,,
correction_delete_ind,istransferred,isoutdatedduplicate,n_rows,,,,,,,,,,
CONT_AWD_72026722S00004_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,72026722S00004,,,AWARD,92999198,23356,NULL,NULL,NULL,1
CONT_AWD_72026723S00003_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72026723S00003,,,AWARD,97519767,23356,NULL,NULL,NULL,1
CONT_AWD_72026724S00001_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72026724S00001,,,AWARD,103857897,23356,NULL,NULL,NULL,1
CONT_AWD_72011521S00005_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,72011521S00005,,,AWARD,87591920,23356,NULL,NULL,NULL,1
CONT_AWD_72061321S00001_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72061321S00001,,,AWARD,87592458,23356,NULL,NULL,NULL,1
CONT_AWD_72061321S00002_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,72061321S00002,,,AWARD,87592459,23356,NULL,NULL,NULL,1
CONT_AWD_72061321S00003_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72061321S00003,,,AWARD,87592460,23356,NULL,NULL,NULL,1
CONT_AWD_72063321S00001_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72063321S00001,,,AWARD,87592679,23356,NULL,NULL,NULL,1
CONT_AWD_72061323S00001_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72061323S00001,,,AWARD,98954284,23356,NULL,NULL,NULL,1
CONT_AWD_AIDOTIS1100008_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,AIDOTIS1100008,,,AWARD,413300,23356,NULL,NULL,NULL,1
CONT_AWD_AIDCIOO1000052_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,AIDCIOO1000052,,,AWARD,409422,23356,NULL,NULL,NULL,1
CONT_AWD_DAAG4776C0090_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DAAG4776C0090,,,AWARD,492055,23356,NULL,NULL,NULL,1
CONT_AWD_DACA5102C0028_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DACA5102C0028,,,AWARD,544255,23356,NULL,NULL,NULL,1
CONT_AWD_DACW4385H0040_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DACW4385H0040,,,AWARD,563030,23356,NULL,NULL,NULL,1
CONT_AWD_DCA20097H0002_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DCA20097H0002,,,AWARD,626107,23356,NULL,NULL,NULL,1
CONT_AWD_DEAM6597WG29899_8900_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DEAM6597WG29899,,,AWARD,633935,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300XADW225_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300XADW225,,,AWARD,1028795,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DPPA209_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300DPPA209,,,AWARD,1028780,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DTE4001_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300DTE4001,,,AWARD,1028783,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DADW139_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300DADW139,,,AWARD,1028771,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DDNJ001_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300DDNJ001,,,AWARD,1028776,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DH88041_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300DH88041,,,AWARD,1028778,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DMM3A01_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2300DMM3A01,,,AWARD,1028779,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2399DPPH009_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2399DPPH009,,,AWARD,1029151,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2395DQMAA01_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2395DQMAA01,,,AWARD,1029113,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2396CASR009_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2396CASR009,,,AWARD,1029114,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CADW001_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2398CADW001,,,AWARD,1029128,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CADW002_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2398CADW002,,,AWARD,1029129,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CADW003_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG2398CADW003,,,AWARD,1029130,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P100122_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3800P100122,,,AWARD,1029831,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P100416_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3800P100416,,,AWARD,1029866,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P201526_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3800P201526,,,AWARD,1029926,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P201573_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3800P201573,,,AWARD,1029927,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P201602_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3800P201602,,,AWARD,1029928,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P202014_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3800P202014,,,AWARD,1029946,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402A900050_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DTCG8402A900050,,,AWARD,1033921,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402A700081_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DTCG8402A700081,,,AWARD,1033907,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8497D3TM041_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8497D3TM041,,,AWARD,1034098,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8700N643080_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8700N643080,,,AWARD,1034885,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8799D643012_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8799D643012,,,AWARD,1035041,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8800D623073_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8800D623073,,,AWARD,1035075,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8800D623086_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8800D623086,,,AWARD,1035076,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3900DA00012_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3900DA00012,,,AWARD,1030755,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3898D200003_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3898D200003,,,AWARD,1030697,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3803P100001_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DTCG3803P100001,,,AWARD,1030503,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8903D60121_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DTCG8903D60121,,,AWARD,1035637,23356,NULL,NULL,NULL,1
CONT_AWD_DTCGG100D3WK077_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCGG100D3WK077,,,AWARD,1035885,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3999DQAD053_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG3999DQAD053,,,AWARD,1030807,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500N6K3028_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4500N6K3028,,,AWARD,1031564,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500N6WK075_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4500N6WK075,,,AWARD,1031573,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4003D50006_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DTCG4003D50006,,,AWARD,1031305,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4401PTED179_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,DTCG4401PTED179,,,AWARD,1031495,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500F6SKCAE_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4500F6SKCAE,,,AWARD,1031551,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500F6WK021_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4500F6WK021,,,AWARD,1031553,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500P6K3005_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4500P6K3005,,,AWARD,1031580,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4700D3EFK05_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4700D3EFK05,,,AWARD,1031713,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4798C3EFK15_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4798C3EFK15,,,AWARD,1031859,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4797D3EFK03_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4797D3EFK03,,,AWARD,1031854,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4799D3EFK16_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG4799D3EFK16,,,AWARD,1031872,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643PK7_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG5000D643PK7,,,AWARD,1031906,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643RV3_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG5000D643RV3,,,AWARD,1031907,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643TE4_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG5000D643TE4,,,AWARD,1031908,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5099D643NG0_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG5099D643NG0,,,AWARD,1031978,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000C3FC704_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8000C3FC704,,,AWARD,1032005,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000C3FCA59_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8000C3FCA59,,,AWARD,1032021,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000D3FCB97_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8000D3FCB97,,,AWARD,1032043,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000D3N6076_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8000D3N6076,,,AWARD,1032044,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8099D3FC706_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8099D3FC706,,,AWARD,1032537,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8200D3WCA05_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8200D3WCA05,,,AWARD,1032663,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8300N3WF040_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8300N3WF040,,,AWARD,1033219,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8300C3AC114_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,DTCG8300C3AC114,,,AWARD,1033154,23356,NULL,NULL,NULL,1
CONT_AWD_EMT2002CO0050_7022_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,EMT2002CO0050,,,AWARD,1099092,23356,NULL,NULL,NULL,1
CONT_AWD_GS00F0003M_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,GS00F0003M,,,AWARD,1458336,23356,NULL,NULL,NULL,1
CONT_AWD_GS01P98BWC0093_4740_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,GS01P98BWC0093,,,AWARD,1466177,23356,NULL,NULL,NULL,1
CONT_AWD_GS05P00GAC0243_4740_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,GS05P00GAC0243,,,AWARD,1500861,23356,NULL,NULL,NULL,1
CONT_AWD_GS05P99GAC0299_4740_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,GS05P99GAC0299,,,AWARD,1507311,23356,NULL,NULL,NULL,1
CONT_AWD_GS07P97HXC0034_4740_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,GS07P97HXC0034,,,AWARD,1538577,23356,NULL,NULL,NULL,1
CONT_AWD_INF11PC00061_1448_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,INF11PC00061,,,AWARD,2610898,23356,NULL,NULL,NULL,1
CONT_AWD_N0038307G002P_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,N0038307G002P,,,AWARD,3252065,23356,NULL,NULL,NULL,1
CONT_AWD_N6847001M2836_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,N6847001M2836,,,AWARD,3584064,23356,NULL,NULL,NULL,1
CONT_AWD_NMA30103C0001_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,NMA30103C0001,,,AWARD,3642693,23356,NULL,NULL,NULL,1
CONT_AWD_V512BR009_3600_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,V512BR009,,,AWARD,5658965,23356,NULL,NULL,NULL,1
CONT_AWD_V797P4087A_3600_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,V797P4087A,,,AWARD,7622025,23356,NULL,NULL,NULL,1
CONT_AWD_V797P4141A_3600_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,V797P4141A,,,AWARD,7622129,23356,NULL,NULL,NULL,1
CONT_AWD_VA101F14D0013_3600_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,VA101F14D0013,,,AWARD,27466808,23356,NULL,NULL,NULL,1
CONT_IDV_-NONE-_9507,CSISidvpiidID is the blank one when the cau is for an IDV,00:00.0,00:00.0,,,,IDV,91389656,23356,NULL,NULL,NULL,1
CONT_IDV_DCA20097H0047_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0047,,,IDV,626116,249233,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0050_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0050,,,IDV,626118,64173,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0052_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0052,,,IDV,626120,26765,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0053_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0053,,,IDV,626121,317070,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0054_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0054,,,IDV,626122,422179,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0055_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0055,,,IDV,626123,186858,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0059_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20097H0059,,,IDV,626126,200953,NULL,NULL,NULL,0
CONT_IDV_DCA20096H0051_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20096H0051,,,IDV,626070,225494,NULL,NULL,NULL,0
CONT_IDV_DCA20096H0065_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DCA20096H0065,,,IDV,626077,297947,NULL,NULL,NULL,0
CONT_IDV_DCA40087H0022_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,DCA40087H0022,,,IDV,626316,145588,NULL,NULL,NULL,0
CONT_IDV_DCA20097H0074_9700,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,DCA20097H0074,,,IDV,26633701,134977,NULL,NULL,NULL,0
CONT_IDV_DTCG8099D3FC704_6950,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,DTCG8099D3FC704,,,IDV,1032536,5497089,NULL,NULL,NULL,0
CONT_IDV_DTCG8498C3KB06B_6950,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,DTCG8498C3KB06B,,,IDV,1034116,388235,NULL,NULL,NULL,0
CONT_IDV_DTCG8300C3WF052_6950,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,DTCG8300C3WF052,,,IDV,1033168,287511,NULL,NULL,NULL,0
CONT_IDV_DTCG8901C68A009_6950,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,DTCG8901C68A009,,,IDV,1035442,118982,NULL,NULL,NULL,0
CONT_IDV_DTFAWN14C00187_6920,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,DTFAWN14C00187,,,IDV,27018290,5535313,NULL,NULL,NULL,0
CONT_IDV_GS01P11BWD0112_4740,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,GS01P11BWD0112,,,IDV,1465596,6411142,NULL,NULL,NULL,0
CONT_IDV_HHSF223200640050C_7524,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,HHSF223200640050C,,,IDV,2208254,12660142,NULL,NULL,NULL,0
CONT_IDV_N4740899P6033_4735,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,N4740899P6033,,,IDV,3407102,178051,NULL,NULL,NULL,0
CONT_IDV_V797P3299K_3600,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,NULL,V797P3299K,,,IDV,7621352,421291,NULL,NULL,NULL,0
CONT_IDV_VA79117D0009_3600,award_or_idv_flag=IDV but IsParentCSIScontractID=0,00:00.0,00:00.0,VA79117D0009,,,IDV,70706818,550562,NULL,NULL,NULL,0
CONT_AWD_00001200011C011NYRENTNA_9507_-NONE-_9507,Manual contract_award_unique_key match despite blank parent_award_id_piid,00:00.0,00:00.0,00001200011C011NYRENTNA,,9507,AWARD,91389671,23356,NULL,CONT_IDV_-NONE-_9507,IDV,0
CONT_AWD_00001200104A101811M322NA_1448_-NONE-_9507,Manual contract_award_unique_key match despite blank parent_award_id_piid,00:00.0,00:00.0,00001200104A101811M322NA,,9507,AWARD,91389673,23356,NULL,CONT_IDV_-NONE-_9507,IDV,0
CONT_AWD_19400200303AP1940030230NA_1443_-NONE-_9507,Manual contract_award_unique_key match despite blank parent_award_id_piid,00:00.0,00:00.0,19400200303AP1940030230NA,,9507,AWARD,91396725,23356,NULL,CONT_IDV_-NONE-_9507,IDV,0
CONT_AWD_60000200103AP154001009NA_1443_-NONE-_9507,Manual contract_award_unique_key match despite blank parent_award_id_piid,00:00.0,00:00.0,60000200103AP154001009NA,,9507,AWARD,91401204,23356,NULL,CONT_IDV_-NONE-_9507,IDV,0
CONT_AWD_CE200200107ASOCE20001M0550NA_1900_-NONE-_9507,Manual contract_award_unique_key match despite blank parent_award_id_piid,00:00.0,00:00.0,CE200200107ASOCE20001M0550NA,,9507,AWARD,91402129,23356,NULL,CONT_IDV_-NONE-_9507,IDV,0
