clearance_level,job_count,pct_of_jobs,prime_contractor,program_acronym,program_name
Unknown,1,50.0,CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions
Top Secret,1,50.0,CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions
Unknown,9,42.9,Leidos,ISEO,DIA Information Systems Engineering Office
Secret,6,28.6,Leidos,ISEO,DIA Information Systems Engineering Office
Top Secret,5,23.8,Leidos,ISEO,DIA Information Systems Engineering Office
TS/SCI Poly,1,4.8,Leidos,ISEO,DIA Information Systems Engineering Office
Secret,3,60.0,Leidos,GSM-O II,DISA Global Service Mgmt – Ops II
Unknown,2,40.0,Leidos,GSM-O II,DISA Global Service Mgmt – Ops II
Top Secret,1,50.0,Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability
TS/SCI,1,50.0,Amazon; Microsoft; Google; Oracle,JWCC,DISA JWCC – Joint Warfighting Cloud Capability
Unknown,1,100.0,BAE; multiple,DCGS,Distributed Common Ground System (AF)
Secret,1,100.0,CACI,IAC-MAC,DTRA IAC-MAC Research & Analysis
Top Secret,7,77.8,SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment"
Secret,2,22.2,SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment"
Secret,9,69.2,L3Harris (historical),GBS,GBS (Global Broadcast Service)
Top Secret,3,23.1,L3Harris (historical),GBS,GBS (Global Broadcast Service)
Unknown,1,7.7,L3Harris (historical),GBS,GBS (Global Broadcast Service)
Unknown,1,50.0,Northrop Grumman,GCCS-J,Global Command and Control System – Joint
Secret,1,50.0,Northrop Grumman,GCCS-J,Global Command and Control System – Joint
Unknown,1,50.0,Leidos,GCCS-J,Global Command and Control System – Joint (Variant)
Secret,1,50.0,Leidos,GCCS-J,Global Command and Control System – Joint (Variant)
Secret,2,66.7,Leidos,GSM-O II,Global Network Operations (DISA GSM-O II)
Top Secret,1,33.3,Leidos,GSM-O II,Global Network Operations (DISA GSM-O II)
Unknown,8,44.4,Leidos,GSM-O II,Global Service Management – Operations II
Secret,6,33.3,Leidos,GSM-O II,Global Service Management – Operations II
Top Secret,4,22.2,Leidos,GSM-O II,Global Service Management – Operations II
Secret,2,100.0,Leidos,GSMO II,Global Solutions Management – Operations II
Secret,1,100.0,Northrop Grumman,GWS (GMD),GMD Weapon System (Ground C2)
Top Secret,1,33.3,Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System
Unknown,1,33.3,Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System
Secret,1,33.3,Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System
Top Secret,1,100.0,Raytheon,GPS OCX,GPS Operational Control System (sustainment)
Unknown,2,100.0,Peraton,GRASP,GRASP (Raytheon/Peraton)
Unknown,1,50.0,Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense
Secret,1,50.0,Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense
Unknown,1,100.0,GDIT / SAIC (indicative),ASDR,HHS Advanced Secure Data Repository
Unknown,1,100.0,Northrop & L3Harris (co-primes),HBTSS,Hypersonic & Ballistic Tracking Space Sensor
Unknown,1,100.0,Raytheon,IAMD,Integrated Air & Missile Defense
Unknown,7,87.5,Leidos,IBDS,Integrated Base Defense Security System
TS/SCI Poly,1,12.5,Leidos,IBDS,Integrated Base Defense Security System
Secret,1,100.0,Northrop Grumman,IDEE,Integrated Digital Engineering Environment
TS/SCI Poly,1,50.0,Leidos,ISEO,Intelligence Systems Enterprise Operations
Secret,1,50.0,Leidos,ISEO,Intelligence Systems Enterprise Operations
Unknown,1,100.0,Northrop Grumman,inSITE,Intelligence Systems Infrastructure Tools & Enhancements
Top Secret,1,100.0,Northrop Grumman,,MDA Tactical Embedded Systems
Public Trust,1,100.0,GDIT,MPE / MPCO,Mission Partner Environment (Field Ops / MPCO)
Secret,1,100.0,Palantir,MSS,MSS Smart Systems (Palantir contract)
Secret,2,66.7,Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning
Unknown,1,33.3,Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning
Unknown,1,100.0,Peraton,SENSE,NASA SENSE (Space Comms & Tracking)
Unknown,1,100.0,Lockheed Martin,AEGIS,Navy Aegis Combat System Modernization
Top Secret,1,100.0,Northrop Grumman,Next-Gen OPIR,Next-Gen OPIR (Ground + Payload)
Top Secret,1,100.0,Northrop Grumman,NG OPIR (classified),Next-Generation Overhead Persistent Infrared
Unknown,3,50.0,Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)"
Top Secret,2,33.3,Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)"
Secret,1,16.7,Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)"
Unknown,1,100.0,Peraton,IAE,Peraton ARCYBER Information Advantage Enterprise
Unknown,1,100.0,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",PRISM,PRISM Support Services (Consolidated)
Top Secret,6,60.0,SAIC,PC,Project Convergence (JADC2 Experiments)
Secret,4,40.0,SAIC,PC,Project Convergence (JADC2 Experiments)
Unknown,2,66.7,Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance
Secret,1,33.3,Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance
Secret,2,100.0,SAIC / LinQuest (indicative),SPICE,SPICE (Space Payload Integration & Cyber Eng)
