program_name,program_acronym,role_level,role_title,role_function,company_name,location,clearance_required,data_source
Global Service Management – Operations II,GSM-O II,Junior,SECRET KNOWLEDGE MANAGEMENT SPECIALIST,General,Leidos,"Suffolk, Virginia",Secret,Job Postings
Global Service Management – Operations II,GSM-O II,Junior,TSSCI CYBER ANALYST,Cybersecurity,Leidos,"Hampton, Virginia",TS/SCI,Job Postings
Global Service Management – Operations II,GSM-O II,Junior,HARDWARE LAB STRING ENGINEER,Engineering,Leidos,"Woburn, Massachusetts",,Job Postings
Global Service Management – Operations II,GSM-O II,Senior,DEPUTY PROGRAM MANAGER,Program Management,Leidos,"Chambersburg, Pennsylvania",Secret,Job Postings
Global Service Management – Operations II,GSM-O II,Mid,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN",Cybersecurity,Leidos,"Sterling Heights, Michigan",,Job Postings
Global Service Management – Operations II,GSM-O II,Mid,CAPTURE MANAGER,General,Leidos,"Huntsville, Alabama",Secret,Job Postings
Global Service Management – Operations II,GSM-O II,Junior,COLDFUSION DEVELOPER,Software,Leidos,"New York, New York",,Job Postings
GBS (Global Broadcast Service),GBS,Junior,SYSTEMS ADMINISTRATOR,Engineering,L3Harris (historical),"San Diego, California",Secret,Job Postings
GBS (Global Broadcast Service),GBS,Junior,SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,General,L3Harris (historical),"Palmdale, California",Secret,Job Postings
GBS (Global Broadcast Service),GBS,Junior,SYSTEMS ENGINEER - LEVEL 3,Engineering,L3Harris (historical),"Anaheim, California",Secret,Job Postings
GBS (Global Broadcast Service),GBS,Junior,SAFETY ENGINEER,Engineering,L3Harris (historical),"El Segundo, California",TS/SCI,Job Postings
GBS (Global Broadcast Service),GBS,Junior,AEROMECHANICAL ENGINEER,Engineering,L3Harris (historical),"Solana Beach, California",Secret,Job Postings
GBS (Global Broadcast Service),GBS,Junior,ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,General,L3Harris (historical),"San Diego, California",Secret,Job Postings
GBS (Global Broadcast Service),GBS,Junior,V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,General,L3Harris (historical),"San Diego, California",Secret,Job Postings
GBS (Global Broadcast Service),GBS,Junior,TS/SCI SENIOR DEVSECOPS ENGINEER,Engineering,L3Harris (historical),"Hanahan, South Carolina",TS/SCI,Job Postings
Battlefield Information Collection & Exploitation System,BICES,Junior,SECRET DEPLOYED SUPPORT SPECIALIST,Operations,GDIT,"Norfolk, Virginia",Secret,Job Postings
Battlefield Information Collection & Exploitation System,BICES,Senior,PROGRAM MANAGER,Program Management,GDIT,"Deerfield Beach, Florida",Secret,Job Postings
Battlefield Information Collection & Exploitation System,BICES,Junior,C++ SOFTWARE ENGINEER,Engineering,GDIT,"Huntsville, Alabama",Secret,Job Postings
Battlefield Information Collection & Exploitation System,BICES,Junior,OPERATING ENGINEER 2,Engineering,GDIT,"Springfield, Virginia",,Job Postings
Battlefield Information Collection & Exploitation System,BICES,Mid,TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,Engineering,GDIT,"Norfolk, Virginia",Top Secret,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,Install Specialist / IT Certified Professional,General,SAIC,"Charlottesville, VA",TS/SCI Clearance level,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,SECRET NETWORK ADMINISTRATOR II (DAYS),HR/Admin,SAIC,"Montgomery, Alabama",Secret,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),HR/Admin,SAIC,"Montgomery, Alabama",TS/SCI,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),HR/Admin,SAIC,"Montgomery, Alabama",TS/SCI,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),HR/Admin,SAIC,"Montgomery, Alabama",Secret,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),HR/Admin,SAIC,"Montgomery, Alabama",Secret,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,SYSTEM ADMINISTRATOR II (BIG IP F5),HR/Admin,SAIC,"Montgomery, Alabama",Secret,Job Postings
Project Convergence (JADC2 Experiments),PC,Junior,TOP SECRET OPERATIONS SUPPORT ENGINEER,Engineering,SAIC,"Huntsville, Alabama",Top Secret,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,FPGA DESIGN ENGINEER - SECRET CLEARANCE,Engineering,SAIC,"Plymouth, Minnesota",Secret,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,TRANSITION TO OPERATIONS ENGINEER,Engineering,SAIC,"El Segundo, California",TS/SCI,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,MECHANICAL SYSTEMS ENGINEER,Engineering,SAIC,"New London, Connecticut",Secret,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,EMBEDDED SOFTWARE ENGINEER,Engineering,SAIC,"Broomfield, Colorado",TS/SCI,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,Engineering,SAIC,"Seattle, Washington",Top Secret,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,SECRET SOFTWARE ENGINEER,Engineering,SAIC,"Colorado Springs, Colorado",Top Secret,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,CLEARED ELECTRONIC WARFARE ENGINEER,Engineering,SAIC,"Manchester, New Hampshire",Top Secret,Job Postings
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Junior,TS/SCI - GCCS SYSTEMS ENGINEER,Engineering,SAIC,"Colorado Springs, Colorado",TS/SCI,Job Postings
Advanced Battle Management System,ABMS,Junior,VDI Systems Administrator,Engineering,Multi (SAIC supports parts),"Savannah, GA",TS/SCI,Job Postings
Advanced Battle Management System,ABMS,Junior,PRICING ANALYST - SECRET CLEARANCE,Data/Analytics,Multi (SAIC supports parts),"Colorado Springs, Colorado",Secret,Job Postings
Advanced Battle Management System,ABMS,Junior,SECRET SENIOR ELASTIC ENGINEER,Engineering,Multi (SAIC supports parts),"Colorado Springs, Colorado",Top Secret,Job Postings
Advanced Battle Management System,ABMS,Junior,SALES ENGINEER,Engineering,Multi (SAIC supports parts),"Colorado Springs, Colorado",,Job Postings
Advanced Battle Management System,ABMS,Junior,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)",Data/Analytics,Multi (SAIC supports parts),"Washington, District Of Columbia",Top Secret,Job Postings
Advanced Battle Management System,ABMS,Junior,ONSITE PLM APPLICATION ANALYST,Data/Analytics,Multi (SAIC supports parts),"East Hartford, Connecticut",,Job Postings
Integrated Base Defense Security System,IBDS,Junior,.NET Developer - Placement,Software,Leidos,"Washington, VA",,Job Postings
Integrated Base Defense Security System,IBDS,Junior,Sr Systems Administrator,Engineering,Leidos,"Reston, VA",,Job Postings
Integrated Base Defense Security System,IBDS,Junior,Communications Network Engineer Mid (Norfolk),Engineering,Leidos,"Norfolk, VA",,Job Postings
Integrated Base Defense Security System,IBDS,Junior,Network Switching Design Engineer Sr-Camp Lejeune,Engineering,Leidos,"Jacksonville, NC",,Job Postings
Integrated Base Defense Security System,IBDS,Junior,Systems Administrator,Engineering,Leidos,"Fort Belvoir, VA",TS/SCI with active POLY,Job Postings
Integrated Base Defense Security System,IBDS,Junior,Sr Network Engineer,Engineering,Leidos,"Reston, VA",,Job Postings
Air Force Advanced Battle Management System,ABMS,Mid,EVMS Lead Program Control Consultant,Program Management,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Herndon, VA",,Job Postings
Air Force Advanced Battle Management System,ABMS,Junior,IT Specialist Senior,General,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Quantico, VA",,Job Postings
Air Force Advanced Battle Management System,ABMS,Junior,ESS HELPDESK TECHNICIAN,General,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Braddock, Virginia",Secret,Job Postings
Air Force Advanced Battle Management System,ABMS,Junior,SECRET WINDOWS SYSTEMS ADMINISTRATOR,Engineering,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Dahlgren, Virginia",Secret,Job Postings
Air Force Advanced Battle Management System,ABMS,Junior,TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,Data/Analytics,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Alexandria, Virginia",TS/SCI,Job Postings
Army Enterprise Service Management Framework,AESMF,Junior,MODEL BASED DEFINITION ENGINEER,Engineering,SAIC,"Middletown, Connecticut",,Job Postings
Army Enterprise Service Management Framework,AESMF,Junior,SECRET DEVOPS ENGINEER,Engineering,SAIC,"Goose Creek, South Carolina",Secret,Job Postings
Army Enterprise Service Management Framework,AESMF,Junior,MAINTENANCE DATA SPECIALIST,Data/Analytics,SAIC,"Atlanta, Georgia",,Job Postings
Army Enterprise Service Management Framework,AESMF,Junior,TOP SECRET SPLUNK ENGINEER,Engineering,SAIC,"Vienna, Virginia",Top Secret,Job Postings
Army Enterprise Service Management Framework,AESMF,Junior,TS/SCI CI POLY SOFTWARE ENGINEER,Engineering,SAIC,"Colorado Springs, Colorado",TS/SCI Poly,Job Postings
Army Enterprise Service Management Framework,AESMF,Junior,CYBER SECURITY ENGINEER,Engineering,SAIC,"Groton, Connecticut",,Job Postings
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Junior,Senior Cyber Security Specialist,Cybersecurity,CACI,"Fort Belvoir, VA",,Job Postings
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Junior,Software Developer,Software,CACI,"Bossier City, LA","secret clearance OR previously held secret clearance preferred, must have ability to obtain",Job Postings
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Junior,FULL STACK ENGINEER,Engineering,CACI,"Arlington, Virginia",TS/SCI,Job Postings
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Junior,SECRET APPLICATION DEVELOPER,Software,CACI,"Fairfax, Virginia",Secret,Job Postings
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Junior,TOP SECRET .NET DEVELOPER,Software,CACI,"Ashburn, Virginia",Top Secret,Job Postings
CMS Enterprise Cloud Infrastructure Services,ECIS,Junior,Cloud Engineer,Engineering,Peraton / SAIC (indicative),"Fayetteville, NC",active Secret Clearance eligible for upgrade.,Job Postings
CMS Enterprise Cloud Infrastructure Services,ECIS,Junior,SECRET FULL STACK DEVELOPER,Software,Peraton / SAIC (indicative),"Dahlgren, Virginia",Secret,Job Postings
CMS Enterprise Cloud Infrastructure Services,ECIS,Junior,TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,Engineering,Peraton / SAIC (indicative),"Dahlgren, Virginia",Top Secret,Job Postings
CMS Enterprise Cloud Infrastructure Services,ECIS,Junior,TOP SECRET AWS ENGINEER,Engineering,Peraton / SAIC (indicative),"Vienna, Virginia",Top Secret Poly,Job Postings
CMS Enterprise Cloud Infrastructure Services,ECIS,Junior,SR. SOFTWARE ENGINEER W/ POLYGRAPH,Engineering,Peraton / SAIC (indicative),"Sully, Virginia",TS/SCI Poly,Job Postings
CMS Enterprise Cloud Infrastructure Services,ECIS,Junior,CBP GCP PLATFORM ENGINEER (MID-LEVEL),Engineering,Peraton / SAIC (indicative),"Broad Run, Virginia",Top Secret,Job Postings
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Junior,Secure Enterprise Engineer,Engineering,Leidos,"Carlsbad, CA",,Job Postings
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Junior,TS/SCI SR. NETWORK ENGINEER,Engineering,Leidos,"Mount Vernon, Virginia",TS/SCI,Job Postings
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Junior,DIGITAL HARDWARE ENGINEER,Engineering,Leidos,"Greece, New York",,Job Postings
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Junior,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,Engineering,Leidos,"Lincoln, Massachusetts",Top Secret,Job Postings
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Junior,SECRET NETWORK ENGINEER,Engineering,Leidos,"Fairfax, Virginia",Secret,Job Postings
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Junior,ELECTRICAL ENGINEER - SECRET CLEARANCE,Engineering,Lockheed Martin,"Huntsville, Alabama",Secret,Job Postings
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Junior,SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,Engineering,Lockheed Martin,"Huntsville, Alabama",Secret,Job Postings
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Junior,CLEARED MS&A DEVELOPER,Software,Lockheed Martin,"Sunset, Utah",Top Secret,Job Postings
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Mid,IDENTITY ACCESS MANAGER / SME ARCHITECT,Engineering,Lockheed Martin,"Austin, Texas",TS/SCI Poly,Job Postings
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Junior,TS/SCI - SENIOR SURVIVABILITY ENGINEER,Engineering,Lockheed Martin,"Huntsville, Alabama",TS/SCI,Job Postings
Army AESD Enterprise Service Desk,AESD,Junior,"MECHANICAL ENGINEER, PE - DESIGNER",Engineering,SAIC,"San Antonio, Texas",,Job Postings
Army AESD Enterprise Service Desk,AESD,Junior,TS/SCI ENGINEERING TECHNICIAN,Engineering,SAIC,"San Antonio, Texas",TS/SCI,Job Postings
Army AESD Enterprise Service Desk,AESD,Junior,TS/SCI LOGISTICS SPECIALIST,General,SAIC,"San Antonio, Texas",TS/SCI,Job Postings
Army AESD Enterprise Service Desk,AESD,Senior,TS/SCI PROGRAM MANAGER,Program Management,SAIC,"San Antonio, Texas",TS/SCI,Job Postings
Army AESD Enterprise Service Desk,AESD,Junior,TS/SCI PROGRAM ADMINISTRATOR,Program Management,SAIC,"San Antonio, Texas",TS/SCI,Job Postings
DISA Global Service Mgmt – Ops II,GSM-O II,Mid,PRICING MANAGER,Finance,Leidos,"Huntsville, Alabama",Secret,Job Postings
Data Center & Cloud Optimization,DCCO,Junior,Network Security Engineer,Engineering,Peraton / Leidos (indicative),"Arlington, VA",,Job Postings
Data Center & Cloud Optimization,DCCO,Junior,Data Center Engineer - RTP (TS/SCI with Full Scope Poly),Engineering,Peraton / Leidos (indicative),"Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP),Job Postings
Data Center & Cloud Optimization,DCCO,Junior,POWER PLATFORM DEVELOPER,Software,Peraton / Leidos (indicative),"Alexandria, Virginia",Secret,Job Postings
Data Center & Cloud Optimization,DCCO,Junior,SENIOR INTEGRATION SPECIALIST,General,Peraton / Leidos (indicative),"Manassas, Virginia",Top Secret,Job Postings
BICES Defense Intelligence Agency Variant,BICES,Junior,Sr Elastic Engineer (EDR/Defend Focus),Engineering,CACI + Leidos + Peraton + SAIC (various subs),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,Job Postings
Global Network Operations (DISA GSM-O II),GSM-O II,Junior,SECRET SECURITY ENGINEER (BOUNDARY),Engineering,Leidos,"Montgomery, Alabama",Secret,Job Postings
Global Network Operations (DISA GSM-O II),GSM-O II,Junior,TS/SCI SYSTEM ADMINISTRATOR,HR/Admin,Leidos,"Grand Forks, North Dakota",TS/SCI,Job Postings
Global Network Operations (DISA GSM-O II),GSM-O II,Junior,SR NETWORK DESIGN ENGINEER,Engineering,Leidos,"'Aiea, Hawaii",Secret,Job Postings
GPS Next-Gen Operational Control System,GPS OCX,Junior,Structural Mechanical/Professional Engineer,Engineering,Raytheon Intelligence & Space,"Orlando, FL",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL,Job Postings
GPS Next-Gen Operational Control System,GPS OCX,Junior,Software Engineer - ENG05 - Cleared On-Site,Engineering,Raytheon Intelligence & Space,"Aurora, CO",,Job Postings
GPS Next-Gen Operational Control System,GPS OCX,Junior,SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,Engineering,Raytheon Intelligence & Space,"Aurora, Colorado",Secret,Job Postings
