"piid","generated_internal_id","prime_contractor","contract_amount","agency","description","search_prime","subaward_count","total_subaward_amount","unique_subcontractors","qualifies","qualification_reason"
"47QFCA21F0018","CONT_AWD_47QFCA21F0018_4732_47QTCK18D0004_4732","BOOZ ALLEN HAMILTON INC","1379603153.12","General Services Administration","TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).","Booz Allen Hamilton","615","474995822.14","70","True","475M in subawards"
"36C10B21N10070021","CONT_AWD_36C10B21N10070021_3600_VA11816D1007_3600","BOOZ ALLEN HAMILTON INC","1326434448.87","Department of Veterans Affairs","TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TASK ORDER - BENEFITS INTEGRATED DELIVERY","Booz Allen Hamilton","15","268476623.18","12","True","268.5M in subawards"
"GSQ0015AJ0047","CONT_AWD_GSQ0015AJ0047_4732_GS00Q14OADU108_4732","BOOZ ALLEN HAMILTON INC","1173611155.42","General Services Administration","IGF::OT::IGF","Booz Allen Hamilton","99","41936185.62","20","False",""
"36C10B21N10150056","CONT_AWD_36C10B21N10150056_3600_VA11816D1015_3600","BOOZ ALLEN HAMILTON INC","1139008033.13","Department of Veterans Affairs","PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES (PTEMS)WHICH INCLUDES PRODUCT DELIVERY AND LIFECYCLE MANAGEMENT TO TRANSFORM VA BY TAPPING INTO EMERGING TECHNOLOGIES, CONNECTING DEVELOPERS WITH VA DATA, AND MAKING HUMAN CENTERED DESIGN (HCD).","Booz Allen Hamilton","75","110834704.9","34","True","110.8M in subawards"
"47QFCA20F0014","CONT_AWD_47QFCA20F0014_4732_GS00Q14OADU108_4732","BOOZ ALLEN HAMILTON INC","1070585831.99","General Services Administration","THE PURPOSE OF THIS EFFORT IS TO ACQUIRE CONTRACTOR SERVICES TO PROVIDE REAL-TIME, COMPREHENSIVE THREAT ANALYSIS AND ASSESSMENT, TRAINING DEVELOPMENT AND DELIVERY, READINESS AND MODERNIZATION SUPPORT, AND LOGISTICS AND EQUIPMENT SERVICES.","Booz Allen Hamilton","237","97470646.6","56","False",""
"47QFCA22F0047","CONT_AWD_47QFCA22F0047_4732_GS00Q14OADU108_4732","BOOZ ALLEN HAMILTON INC","998940122.69","General Services Administration","TASK ORDER AWARD","Booz Allen Hamilton","2","4340447.32","2","False",""
"36C10B22N10070023","CONT_AWD_36C10B22N10070023_3600_VA11816D1007_3600","BOOZ ALLEN HAMILTON INC","859686306.3","Department of Veterans Affairs","NEW TO - EHRM PMO IO SUPPORT","Booz Allen Hamilton","32","667125084.67","24","True","667.1M in subawards"
"36C10B19N10070015","CONT_AWD_36C10B19N10070015_3600_VA11816D1007_3600","BOOZ ALLEN HAMILTON INC","826583511.86","Department of Veterans Affairs","IGF::OT::IGF  INFORMATION TECHNOLOGY OPERATIONS AND SERVICES TRANSFORMATION SUPPORT SERVICES","Booz Allen Hamilton","124","161555185.38","16","True","161.6M in subawards"
"47QFRA20F0016","CONT_AWD_47QFRA20F0016_4732_GS00Q09BGD0019_4735","BOOZ ALLEN HAMILTON INC","756108793.69","General Services Administration","THE PURPOSE OF THIS MODIFICATION IS TO ACCEPT TRANSFER OF TASK ORDER (47QFCA18F0100) FROM FEDSIM TO GSA AAS REGION 8. THE NEW PIID IS 47QFRA20F0016.","Booz Allen Hamilton","1","5404510.98","1","False",""
"47QFCA18F0073","CONT_AWD_47QFCA18F0073_4732_GS00Q09BGD0019_4735","BOOZ ALLEN HAMILTON INC","727435601.0","General Services Administration","THE PURPOSE OF THIS REQUIREMENT IS TO DELIVER ENTERPRISE CLASS, INDUSTRY STANDARD, OPEN ARCHITECTURE EQUIPMENT AND SERVICES TO SUPPORT THE USG PROGRAM OFFICE, DOD PARTNERS, AND OTHER ORGANIZATIONS AS DETERMINED TO INCLUDE, BUT NOT LIMITED TO, INTERAGENCY PARTNERS, THE INTELLIGENCE COMMUNITY (IC), AND COALITION PARTNERS","Booz Allen Hamilton","253","280908244.79","47","True","280.9M in subawards"
"HHSN261200800001E","CONT_AWD_HHSN261200800001E_7529_-NONE-_-NONE-","LEIDOS BIOMEDICAL RESEARCH INC","4813063024.9","Department of Health and Human Services","TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES","Leidos","0",,"0","False",""
"DEAC0609RL14728","CONT_AWD_DEAC0609RL14728_8900_-NONE-_-NONE-","MISSION SUPPORT ALLIANCE, LLC","3557405197.21","Department of Energy","MISSION SUPPORT CONTRACT - PROVIDE DIRECT SUPPORT TO DOE-RL, DOE-ORP AND THEIR CONTRACTORS WITH COST-EFFECTIVE INFRASTRUCTURE AND SITE SERVICES INTEGRAL AND NECESSARY TO ACCOMPLISH THE HANFORD SITE ENVIRONMENTAL CLEANUP MISSION.","Leidos","0",,"0","False",""
"NSFDACS1219442","CONT_AWD_NSFDACS1219442_4900_-NONE-_-NONE-","LEIDOS, INC.","3081207083.64","National Science Foundation","SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM","Leidos","1043","537613309.32","293","True","537.6M in subawards; 293 unique subcontractors"
"00261200109D261012400","CONT_AWD_00261200109D261012400_7529_-NONE-_-NONE-","LEIDOS BIOMEDICAL RESEARCH INC","2390378571.21","Department of Health and Human Services","","Leidos","0",,"0","False",""
"DTFAWA05C00031","CONT_AWD_DTFAWA05C00031_6920_-NONE-_-NONE-","LEIDOS, INC.","1865584342.92","Department of Transportation","PROVIDE FUNDING FOR CLIN 302 FOR PRE-FLIGHT AND IN-FLIGHT SERVICES.  CONTRACT NUMBER DTFAWA-05-C-00031, LOCKHEED MARTIN. POP 01/16/08-03/31/08.","Leidos","0",,"0","False",""
"75N91020F00003","CONT_AWD_75N91020F00003_7529_75N91019D00024_7529","LEIDOS BIOMEDICAL RESEARCH INC","1775391302.47","Department of Health and Human Services","NCI OPERATIONAL TASK ORDER","Leidos","137","103228432.94","66","True","103.2M in subawards"
"NNJ09HD46C","CONT_AWD_NNJ09HD46C_8000_-NONE-_-NONE-","LEIDOS INC","1306805321.14","National Aeronautics and Space Administration","THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEV","Leidos","0",,"0","False",""
"DTFAWA11C00003","CONT_AWD_DTFAWA11C00003_6920_-NONE-_-NONE-","LEIDOS, INC.","1098901162.36","Department of Transportation","NATIONAL AIRSPACE SYSTEM (NAS) IMPLEMENTATION SUPPORT CONTRACT (NISC).  PROVIDES ENGINEERING AND TECHNICAL SUPPORT SERVICES TO FAA ORGANIZATIONS RESPONSIBLE FOR NAS TRANSFORMATION, INTEGRATION AND IMPLEMENTATION IN THE AREAS OF IMPLEMENTATION AND INTEGRATION PLANNING, TRANSITION PLANNING, ENGINEERING SUPPORT, ENVIRONMENTAL SUPPORT, AUTOMATION SUPPORT AND OTHER ENGINEERING AND TECHNICAL DISCIPLINES AS REQUIRED.     TAS::69 8107::TAS","Leidos","0",,"0","False",""
"28321322FDS030130","CONT_AWD_28321322FDS030130_2800_SS001760016_2800","LEIDOS, INC.","1062905628.31","Social Security Administration","ITSSC TASK ORDER FOR SYSTEMS","Leidos","48","145407506.58","43","True","145.4M in subawards"
"0029","CONT_AWD_0029_9700_W9113M07D0006_9700","LEIDOS, INC.","1012701415.31","Department of Defense","OTHER DIRECT COSTS-BASE BAGRAM, AFGHAN","Leidos","0",,"0","False",""
"N0002402C2300","CONT_AWD_N0002402C2300_9700_-NONE-_-NONE-","NATIONAL STEEL AND SHIPBUILDING COMPANY","5922645371.88","Department of Defense","","General Dynamics","0",,"0","False",""
"N0002416C2229","CONT_AWD_N0002416C2229_9700_-NONE-_-NONE-","NATIONAL STEEL AND SHIPBUILDING COMPANY","5812593038.64","Department of Defense","DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205","General Dynamics","2000","190919724.41","119","True","190.9M in subawards; 119 unique subcontractors"
"N0002418C2305","CONT_AWD_N0002418C2305_9700_-NONE-_-NONE-","BATH IRON WORKS CORPORATION","5302697771.86","Department of Defense","FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION","General Dynamics","24","53285953.77","19","False",""
"N0002423C2305","CONT_AWD_N0002423C2305_9700_-NONE-_-NONE-","BATH IRON WORKS CORPORATION","5023910450.0","Department of Defense","CONSTRUCTION OF DDG 51 SHIPS FY23-27","General Dynamics","0",,"0","False",""
"N0002413C2305","CONT_AWD_N0002413C2305_9700_-NONE-_-NONE-","BATH IRON WORKS CORPORATION","4904473850.56","Department of Defense","FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.","General Dynamics","93","6725686.67","38","False",""
"N0002402C2303","CONT_AWD_N0002402C2303_9700_-NONE-_-NONE-","BATH IRON WORKS CORPORATION","3405711408.0","Department of Defense","200212!025207!1700!BZ002 !NAVAL SEA SYSTEMS COMMAND       !N0002402C2303  !A!N! !N!                   !20020801!20080426!045953718!045953718!001381284!N!BATH IRON WORKS CORPORATION   !700 WASHINGTON ST STOP 1  !BATH                !ME!04530!03355!023!23!BATH                !SAGADAHOC             !MAINE     !+000464373508!N!N!000000000000!1903!DESTROYERS                                        !A3 !SHIPS                         !2SCY!DESTROYER DDG-51              !336611!E! !3! ! ! ! ! !99990909!B","General Dynamics","0",,"0","False",""
"N0002411C2306","CONT_AWD_N0002411C2306_9700_-NONE-_-NONE-","BATH IRON WORKS CORPORATION","2551812435.0","Department of Defense","DDG 1001/1002 CONSTRUCTION AND FY11 CLASS SERVICES","General Dynamics","0",,"0","False",""
"N0002409C2229","CONT_AWD_N0002409C2229_9700_-NONE-_-NONE-","NATIONAL STEEL AND SHIPBUILDING COMPANY","1965375702.1","Department of Defense","MLP SYSTEM DESIGN PART 1 (SD1) WITH PRICED OPTION FOR SD2","General Dynamics","0",,"0","False",""
"N0002419C2235","CONT_AWD_N0002419C2235_9700_-NONE-_-NONE-","NATIONAL STEEL AND SHIPBUILDING COMPANY","1859304798.07","Department of Defense","EXPEDITIONARY SEA BASE (ESB) HULL 6 LLTM UCA","General Dynamics","1495","1068150867.91","137","True","1068.2M in subawards; 137 unique subcontractors"
"N0002498C2306","CONT_AWD_N0002498C2306_9700_-NONE-_-NONE-","BATH IRON WORKS CORPORATION","1751650717.0","Department of Defense","199811!1700!2482!BZ002!NAVAL SEA SYSTEMS COMMAND       !N0002498C2306  !A!*!*                  !19980306!20070830!045953718!045953718!001381284!N!70876!BATH IRON WORKS CORPORATION   !700 WASHINGTON ST STOP 1  !BATH                !ME!04530!03355!023!23!BATH                !SAGADAHOC             !MAINE     !0001!+000009115511!N!Y!002118025331!1903!DESTROYERS                                        !A3 !SHIPS                         !2000!NOT DISCERNABLE OR CLASSIFIED !3731!3!*!*!*!B!A!*!A !Y!L!2!0","General Dynamics","0",,"0","False",""
"00261200109D261012400","CONT_AWD_00261200109D261012400_7529_-NONE-_-NONE-","LEIDOS BIOMEDICAL RESEARCH INC","2390378571.21","Department of Health and Human Services","","SAIC","0",,"0","False",""
"DEAC2801RW12101","CONT_AWD_DEAC2801RW12101_8900_-NONE-_-NONE-","BECHTEL SAIC COMPANY, LLC","1931096265.42","Department of Energy","","SAIC","0",,"0","False",""
"NNM04AA02C","CONT_AWD_NNM04AA02C_8000_-NONE-_-NONE-","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","1408527082.88","National Aeronautics and Space Administration","UNIFIED NASA INFORMATION TECHNOLOGY SERVICES (UNITES)","SAIC","0",,"0","False",""
"T0900BHO501","CONT_AWD_T0900BHO501_4735_GS09K99BHD0010_4735","LEIDOS, INC.","487243887.6","General Services Administration","INFORMATION TECHNOLOGY AND SCIENTIFIC SUPPORT","SAIC","0",,"0","False",""
"HSTS0413CCT3067","CONT_AWD_HSTS0413CCT3067_7013_-NONE-_-NONE-","LEIDOS, INC.","432319916.55","Department of Homeland Security","IGF::OT::IGF CONTRACT FOR INTEGRATED LOGISTICS SUPPORT (ILS) SERVICES IN SUPPORT OF THE OFFICE OF SECURITY CAPABILITIES TO PROVIDE SUSTAINMENT OF PASSENGER SCREENING EQUIPMENT DEPLOYED AT AIRPORTS NATION WIDE.","SAIC","123","242886704.19","15","True","242.9M in subawards"
"0001","CONT_AWD_0001_9700_W56HZV09A0003_9700","LEIDOS INC","409077815.81","Department of Defense","MRAP JOINT LOGISTIC INTEGRATOR SERVICES","SAIC","0",,"0","False",""
"0024","CONT_AWD_0024_9700_DCA20002D5001_9700","LEIDOS, INC.","318364798.49","Department of Defense","DISN GLOBAL SOLUTIONS","SAIC","0",,"0","False",""
"FA880707C0002","CONT_AWD_FA880707C0002_9700_-NONE-_-NONE-","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","305716723.68","Department of Defense","GPSW SYSTEMS ENGINEERING AND INTEGRATION (SE&I)","SAIC","0",,"0","False",""
"NAS919180","CONT_AWD_NAS919180_8000_-NONE-_-NONE-","LEIDOS, INC.","290836560.02","National Aeronautics and Space Administration","SAFETY RELIABILITY & QUALITY ASSURANCE SUPPORT SERVICES","SAIC","0",,"0","False",""
"AJ000200001CT0000AJM005GS00T99ALD0210","CONT_AWD_AJ000200001CT0000AJM005GS00T99ALD0210_4735_GS00T99ALD0210_4735","LEIDOS, INC.","263353378.26","General Services Administration","","SAIC","0",,"0","False",""
"F0470101C0001","CONT_AWD_F0470101C0001_9700_-NONE-_-NONE-","PERATON INC.","1703161709.37","Department of Defense","200107!000034!5700!GZ80  !SMC/PKS                         !F0470101C0001  !A!N!*!Y!                   !20001103!20061031!052819732!052819732!001216845!N!ITT INDUSTRIES, INC , SYSTEMS !4410 E  FOUNTAIN BLVD     !COLORADO SPRIN      !CO!80916!16000!041!08!COLORADO SPRINGS    !EL PASO               !COLORADO  !+000016429445!N!N!000000000000!AC26!RDTE/MISSILE AND SPACE SYSTEMS-MGMT SUPPORT       !A2 !MISSILE AND SPACE SYSTEMS     !3000!NOT DISCERNABLE OR CLASSIFIED !541710!*!*!3! ! ! !*!*!*!B!*!*!B!","Peraton","0",,"0","False",""
"80GSFC19C0063","CONT_AWD_80GSFC19C0063_8000_-NONE-_-NONE-","PERATON INC.","1414704681.9","National Aeronautics and Space Administration","THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO","Peraton","712","284110499.59","200","True","284.1M in subawards; 200 unique subcontractors"
"HHSM500T0003","CONT_AWD_HHSM500T0003_7530_HHSM500201300014I_7530","PERATON ENTERPRISE SOLUTIONS LLC","1238890339.93","Department of Health and Human Services","IGF::OT::IGF","Peraton","638","402193427.79","62","True","402.2M in subawards"
"NNG09DA01C","CONT_AWD_NNG09DA01C_8000_-NONE-_-NONE-","PERATON INC.","1200320663.04","National Aeronautics and Space Administration","NASA GODDARD SPACE FLIGHT CENTER'S (GSFC) GOAL FOR THE SPACE COMMUNICATIONS NETWORKS SERVICES CONTRACT (SCNS) IS TO ENABLE MISSION SUCCESS FOR EVERY CUSTOMER USING SCNS SERVICES. KEY OBJECTIVES OF THE SCNS CONTRACT ARE TO DECREASE COST AND MAINTAIN OR IMPROVE OPERATIONAL EFFICIENCY AND RELIABILITY, WHILE MAINTAINING AN ACCEPTABLE LEVEL OF RISK AND PROVIDING FOR SAFE OPERATION OF THE MISSIONS. THE CONTRACTOR SHALL IMPLEMENT A SAFETY, HEALTH, AND MISSION ASSURANCE PROGRAM THAT PROVIDES A SAFE AND ","Peraton","0",,"0","False",""
"47QFCA21F0058","CONT_AWD_47QFCA21F0058_4732_GS00Q14OADU117_4732","PERATON INC.","775386921.26","General Services Administration","OPERATIONAL PLANNING IMPLEMENTATION AND ASSESSMENT SERVICES (OPIAS) BASE AWARD.","Peraton","89","328234646.77","36","True","328.2M in subawards"
"QB0D","CONT_AWD_QB0D_9700_N0002400D6000_9700","PERATON ENTERPRISE SOLUTIONS LLC","771509663.31","Department of Defense","OTHER ADP & TELECOMMUNICATIONS SERVICES","Peraton","0",,"0","False",""
"NNX11AA01C","CONT_AWD_NNX11AA01C_8000_-NONE-_-NONE-","PERATON ENTERPRISE SOLUTIONS LLC","769166010.07","National Aeronautics and Space Administration","THE AGENCY CONSOLIDATED END-USER SERVICES (ACES)CONTRACT  WILL PROVIDE AND MANAGE NASA'S PERSONAL COMPUTING HARDWARE, AGENCY STANDARD SOFTWARE, MOBILE IT SERVICES, PERIPHERALS AND ACCESSORIES, ASSOCIATED END-USER SERVICES, AND SUPPORTING INFRASTRUCTURE.","Peraton","2000","446993020.63","74","True","447M in subawards"
"HSHQDC07J00515","CONT_AWD_HSHQDC07J00515_7001_HSHQDC06D00032_7001","PERATON ENTERPRISE SOLUTIONS LLC","749466260.26","Department of Homeland Security","THE ABOVE SOLICITATION NUMBER IS A CONTINUATION OF SOLICITATION NUMBERS HSHQDC-07-Q-00050A AND HSHQDC-07-Q-00050B.  THIS NUMBER IS FOR THE DOWN SELECT PROCESS AND SHALL START WITH BASE NOTICE EVEN THOUGH ALL AMENDMENTS ARE ATTACHED FROM PHASE ONE.","Peraton","0",,"0","False",""
"HS002119F0136","CONT_AWD_HS002119F0136_9700_HS002119D0128_9700","PERATON RISK DECISION INC.","741273451.87","Department of Defense","BACKGROUND INVESTIGATIONS FIELDWORK SERV. THIS IS NOT A NEW TASK ORDER.  IN ACCORDANCE WITH EXECUTIVE ORDER 13869, DATED APRIL 24, 2019, THIS TASK ORDER HAS BEEN TRANSFERRED FROM THE NBIB TO THE DCSA.  THE ORIGINAL TASK ORDER NUMBER IS 24362018F0106.","Peraton","4","8758607.2","3","False",""
"FAQK","CONT_AWD_FAQK_9700_N0002400D6000_9700","PERATON ENTERPRISE SOLUTIONS LLC","674723776.32","Department of Defense","OTHER ADP & TELECOMMUNICATIONS SERVICES","Peraton","0",,"0","False",""
