address_line1,address_line2,alt_poc_email,alt_poc_name,business_types,cage_code,city,country,dba_name,elec_poc_email,elec_poc_name,elec_poc_phone,elec_poc_title,entity_structure,entity_url,govt_poc_email,govt_poc_name,govt_poc_phone,govt_poc_title,legal_business_name,lookup_date,lookup_status,original_agency,original_contract,original_program,parent_company,primary_naics,registration_expiry,registration_status,state,uei,ultimate_parent,vendor_name,zip
520 GAITHER RD,,,,Foreign Owned; For Profit Organization; Business or Organization; Manufacturer of Goods,99789,ROCKVILLE,,,,,,,,https://www.baesystems.com/,,,,,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,2026-01-20,NOT_FOUND,Air Force,FA821413C0001,Distributed Common Ground System (AF),"BAE SYSTEMS, INC.",541330,,,MD,LX3BSV6NNW58,,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,20850
1750 PRESIDENTS ST FL 10,,,,For Profit Organization; Business or Organization,5UTE1,RESTON,,,,,,,,https://www.leidos.com/,,,,,"LEIDOS, INC.",2026-01-20,NOT_FOUND,DoD,70T04019C9DAP3006,DTRA Integrated IT Support Services,"Leidos, Inc.",541715,,,VA,UE9QJD4KK1L6,"LEIDOS HOLDINGS, INC.","LEIDOS, INC.",20190
22745 Savi Ranch Pkwy,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,07421,Yorba Linda,,,,,,,,https://www.l3harris.com/,,,,,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,2026-01-20,NOT_FOUND,DISA,N0003022C2001,GBS (Global Broadcast Service),,334511,,,CA,JYAPS9B2MKE9,,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,92887
16800 E CENTRETECH PKWY,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,5R497,AURORA,,,,,,,,https://www.rtx.com/,,,,,RAYTHEON COMPANY,2026-01-20,NOT_FOUND,Space Force,FA880710C0001,GPS Next-Gen Operational Control System,RAYTHEON COMPANY,541330,,,CO,JLWLJXQ3M995,RTX CORPORATION,RAYTHEON COMPANY,80011
38500 MOUND RD,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,7W356,STERLING HEIGHTS,,,,,,,,https://www.gdls.com/,,,,,GENERAL DYNAMICS LAND SYSTEMS INC.,2026-01-20,NOT_FOUND,Army,W56HZV19C0036,INSCOM IT Support Services (current TO iteration),GENERAL DYNAMICS LAND SYSTEMS - GLOBAL LLC,336992,,,MI,HAWKSQF848W7,GENERAL DYNAMICS CORP,GENERAL DYNAMICS LAND SYSTEMS INC.,48310
1999 BRYAN ST STE 3500,,,,For Profit Organization; Business or Organization,4ZV61,DALLAS,,,,,,,,,,,,,JACOBS PROJECT MANAGEMENT CO.,2026-01-20,NOT_FOUND,Army,140R4024C0013,Intelligence Community Infrastructure Support,JACOBS ENGINEERING GROUP INC,541330,,,TX,WEBHVDKSC4T5,JACOBS SOLUTIONS INC,JACOBS PROJECT MANAGEMENT CO.,75201
2000 W NASA BLVD,,,,For Profit Organization; Manufacturer of Goods,70974,MELBOURNE,,,,,,,,https://www.northropgrumman.com/,,,,,NORTHROP GRUMMAN SYSTEMS CORPORATION,2026-01-20,NOT_FOUND,Army,N0001918C1037,Joint Tactical Ground Station Early Warning,NORTHROP GRUMMAN SYSTEMS CORPORATION,336411,,,FL,PK8PM2GNVMP8,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,32904
601 JEFFERSON ST,,,,For Profit Organization,3GJU9,HOUSTON,,,,,,,,https://www.kbr.com/,,,,,"KELLOGG BROWN & ROOT SERVICES, INC.",2026-01-20,NOT_FOUND,Army,W52P1J19F0394,LOGCAP V,"KBR HOLDINGS, LLC",541611,,,TX,YSQMHRS4HSC5,"KBR, INC.","KELLOGG BROWN & ROOT SERVICES, INC.",77002
1001 BOSTON POST RD E,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,7Y193,MARLBOROUGH,,RAYTHEON CO,,,,,,https://www.rtx.com/,,,,,RAYTHEON COMPANY,2026-01-20,NOT_FOUND,Navy,N0002422C5500,Mark 48 Heavyweight Torpedo,RAYTHEON COMPANY,541512,,,MA,YD6LTFVUZNG1,RTX CORPORATION,RAYTHEON COMPANY,01752
1 SPACE PARK BLVD,,,,For Profit Organization; Manufacturer of Goods,11982,REDONDO BEACH,,SPACE SYSTEMS DIVISION,,,,,,https://www.northropgrumman.com/,,,,,NORTHROP GRUMMAN SYSTEMS CORPORATION,2026-01-20,NOT_FOUND,Space Force,FA881018C0006,NextGen GEO (Network/Ops),NORTHROP GRUMMAN SYSTEMS CORPORATION,334220,,,CA,VSBAFMDKTWL4,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,90278
4450 E FOUNTAIN BLVD,,,,For Profit Organization; Business or Organization,1YRM7,COLORADO SPRINGS,,,,,,,,https://www.l3harris.com/,,,,,"L3HARRIS TECHNOLOGIES, INC.",2026-01-20,NOT_FOUND,Space Force,F1962802C0010,Protected Satcom & Tactical Waveform Communications,"L3HARRIS TECHNOLOGIES, INC",541330,,,CO,LHJPD6T16EV9,,"L3HARRIS TECHNOLOGIES, INC.",80916
1395 TROUTMAN BLVD NE,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,91417,PALM BAY,,,,,,,,https://www.l3harris.com/,,,,,"L3HARRIS TECHNOLOGIES, INC.",2026-01-20,NOT_FOUND,DoD,DOCDG133E09CN0094,SDA Tranche-0 Constellation Support,"L3HARRIS TECHNOLOGIES, INC",541512,,,FL,QM4EZDV15JL8,,"L3HARRIS TECHNOLOGIES, INC.",32905
5000 INTERSTATE HWY 10 W,,,,For Profit Organization,0FW39,SEALY,,DATA SYSTEMS INTERNATIONAL INC,,,,,,https://www.baesystems.com/,,,,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,2026-01-20,NOT_FOUND,DoD,W56HZV08C0460,STRATCOM SMORS,,,,,TX,MJBJKUMUNBY7,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,77474
