award_amount,award_id,awarding_agency,awarding_sub_agency,competitor_match,description,end_date,extraction_date,piid,pop_city,pop_state,recipient_name,recipient_uei,start_date
15760088.74,CONT_AWD_M0026418F0164_9700_GS06F0645Z_4730,Department of Defense,Department of the Navy,BELCAN,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,2023-11-17,2026-01-21,M0026418F0164,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-05-15
11174849.4,CONT_AWD_H9240420F0215_9700_W52P1J18DA133_9700,Department of Defense,U.S. Special Operations Command,BELCAN,USASOC HQ APP DEV LABOR,2023-07-31,2026-01-21,H9240420F0215,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-08-01
8994153.0,CONT_AWD_FA945117C0083_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,BELCAN,IGF::OT::IGF PROFESSIONAL TECHNICAL SUPPORT SERVICES FOR THE DIRECTED ENERGY JOINT TECHNOLOGY OFFICE,2019-02-20,2026-01-21,FA945117C0083,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2017-08-21
8348910.0,CONT_AWD_0001_9700_FA702217D0007_9700,Department of Defense,Department of the Air Force,BELCAN,IGF::OT::IGF  ANALYSIS AND SERVICES (O&M),2017-09-30,2026-01-21,0001,,,"GRYPHON VALLECITOS LABORATORIES, LLC",D7Y2K4KV3XJ1,2016-10-01
6480610.64,CONT_AWD_M0026416F1002_9700_GS06F0645Z_4730,Department of Defense,Department of the Navy,BELCAN,CYBERSECURITY AND CND SUPPORT SERVICES IGF::OT::IGF,2018-05-18,2026-01-21,M0026416F1002,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2015-11-10
5828834.94,CONT_AWD_H9241525FE009_9700_47QRCA25DU574_4732,Department of Defense,U.S. Special Operations Command,BELCAN,GLOBAL FIELD SERVICE ENGINEERS BRIDGE TASK ORDER,2025-07-27,2026-01-21,H9241525FE009,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2025-03-28
4564013.69,CONT_AWD_H9240420F0049_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,GAME CHANGERS II,2023-09-15,2026-01-21,H9240420F0049,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-04-01
4488726.72,CONT_AWD_H9240420F0001_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,RDT&E - SOFTWARE SYSTEMS ENGINEER SR,2021-07-28,2026-01-21,H9240420F0001,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2019-11-05
4484795.8,CONT_AWD_H9222218F0080_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,LABOR,2021-07-26,2026-01-21,H9222218F0080,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-03-26
4329214.34,CONT_AWD_H9240420F0042_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,COMMAND DATA OFFICE SUPPORT II LABOR,2022-02-12,2026-01-21,H9240420F0042,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-02-13
4295732.95,CONT_AWD_H9222217F0265_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF C4I LAB,2023-03-24,2026-01-21,H9222217F0265,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-09-25
3999117.96,CONT_AWD_H9222217F0087_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF SOF AT&L GAME CHANGERS,2020-03-31,2026-01-21,H9222217F0087,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-04-01
3924813.32,CONT_AWD_H9222217F0219_9700_GS06F0645Z_4730,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF EBUSINESS SUPPORT,2021-08-15,2026-01-21,H9222217F0219,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-08-16
3917136.75,CONT_AWD_H9240419F0104_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,USASOC DEFENSEREADY LABOR,2021-10-31,2026-01-21,H9240419F0104,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2019-04-01
3844328.13,CONT_AWD_H9240418F0013_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,SRSE SUPPORT,2019-11-05,2026-01-21,H9240418F0013,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-05-05
3757036.22,CONT_AWD_0002_9700_N6523615D4803_9700,Department of Defense,Department of the Navy,BELCAN,"''IGF::OT::IGF'' THIS DARPA TASK WILL PROVIDE SCIENTIFIC, ENGINEERING, AND TECHNICAL ASSISTANCE (SETA) SUPPORT TO THE GOVERNMENT FOR THE SX PROGRAM, RELATED AND SUPPORTING EFFORTS, AND NEW START ACTIVITY.",2018-06-28,2026-01-21,0002,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2015-06-29
3745854.12,CONT_AWD_H9240419F0004_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,LABOR - DEFENSEREADY SERVICES,2020-10-31,2026-01-21,H9240419F0004,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-11-01
2836835.01,CONT_AWD_H9222217F0191_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF CARE COALITION,2023-01-13,2026-01-21,H9222217F0191,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-07-14
2824268.69,CONT_AWD_0042_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,LAN SUPPORT,2010-09-30,2026-01-21,0042,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2008-12-10
2719047.03,CONT_AWD_H9222217F0188_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF J6 PORTAL,2022-07-13,2026-01-21,H9222217F0188,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-07-14
2677377.22,CONT_AWD_JU02_9700_N0017805D4614_9700,Department of Defense,Department of the Navy,BELCAN,ADMINISTRATIVE SERVICES FOR NAVFAC WASHINGTON AND FIELD ACTIVITIES,2011-09-30,2026-01-21,JU02,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-09-30
2616626.44,CONT_AWD_N6523618F3012_9700_N6523615D4803_9700,Department of Defense,Department of the Navy,BELCAN,"THIS TASK WILL PROVIDE SCIENTIFIC, ENGINEERING, AND TECHNICAL ASSISTANCE SUPPORT TO THE DARPA TACTICAL TECHNOLOGY OFFICE (TTO) PROGRAM MANAGER (PM) FOR SUPPORT FOR THE FOLLOWING PROGRAMS: SX, HALLMARK, VTOL, SST, AND GXV-T. SUPPORT IS SOLICITED TO INCLUDE TECHNICAL, PROGRAMMATIC, FINANCIAL, ADMINIST",2019-11-23,2026-01-21,N6523618F3012,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2017-11-20
2409043.0,CONT_AWD_FA850524F0022_9700_FA865622DA036_9700,Department of Defense,Department of the Air Force,BELCAN,F-15 AIRCRAFT ELECTRONICS VULNERABILITY ASSESSMENT,2029-09-29,2026-01-21,FA850524F0022,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2024-09-30
2379751.76,CONT_AWD_W9133L20F4030_9700_W52P1J18DA133_9700,Department of Defense,Department of the Army,BELCAN,AV/VTC COMMERCIAL SERVICES,2025-09-29,2026-01-21,W9133L20F4030,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-09-29
2360472.96,CONT_AWD_0043_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,LAN SUPPORT,2010-09-30,2026-01-21,0043,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2009-10-01
2114191.75,CONT_AWD_H9222217F0086_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF DCGS SOF TESTING,2018-03-26,2026-01-21,H9222217F0086,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-03-27
2046819.47,CONT_AWD_JU01_9700_N0017805D4614_9700,Department of Defense,Department of the Navy,BELCAN,ADMINISTRATIVE SUPPORT SERVICE,2011-09-30,2026-01-21,JU01,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-09-30
1729679.36,CONT_AWD_0040_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0040,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-11-08
1625455.55,CONT_AWD_H9222218F0003_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,PBUSE LABOR,2022-12-03,2026-01-21,H9222218F0003,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-12-04
1614305.96,CONT_AWD_H9240420F0084_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,ATLAS,2021-03-30,2026-01-21,H9240420F0084,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-03-31
1541488.94,CONT_AWD_H9240419F0065_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,CHIEF DATA OFFICE SUPPORT - LABOR,2020-02-14,2026-01-21,H9240419F0065,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2019-02-15
1476782.07,CONT_AWD_0001_9700_N6523615D4803_9700,Department of Defense,Department of the Navy,BELCAN,"IGF::OT::IGF NEW CONCEPT / PROGRAM DEVELOPMENT SETA EFFORT IS TO PROVIDE SUPPORT TO THE TACTICAL TECHNOLOGY OFFICE IN DEVELOPING, ASSESSING, AND CHARACTERIZING IDEAS FOR NEW PROGRAMS IN THE DARPA TTO.",2018-09-30,2026-01-21,0001,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2015-03-02
1461022.07,CONT_AWD_H9222217F0266_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF MICROSOFT CONSULTING SERVICES,2018-09-25,2026-01-21,H9222217F0266,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-09-26
1414530.0,CONT_AWD_0006_9700_N6523615D4803_9700,Department of Defense,Department of the Navy,BELCAN,"THE CONTRACTOR SHALL PROVIDE SCIENTIFIC, ENGINEERING, AND TECHNICAL ASSISTANCE (SETA) SUPPORT TO THE GOVERNMENT FOR THE GROUND X-VEHICLES TECHNOLOGIES (GXV-T) PROGRAM, SUPPORTING EFFORTS, AND NEW START ACTIVITY.  THIS EFFORT REQUIRES TECHNICAL AND ADMINISTRATIVE SUPPORT ALIGNED WITH THE CORE TECHNOL",2018-03-30,2026-01-21,0006,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2016-03-31
1397709.84,CONT_AWD_FA701412FA354_9700_GS06F0711Z_4732,Department of Defense,Department of the Air Force,BELCAN,COMMUNICATION NETWORK SUPPORT SERVICES,2013-09-27,2026-01-21,FA701412FA354,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2012-09-28
1187258.0,CONT_AWD_0031_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,ADP SERVICES,2007-11-02,2026-01-21,0031,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-01-16
1147976.0,CONT_AWD_FA850523F0034_9700_FA865622DA036_9700,Department of Defense,Department of the Air Force,BELCAN,F-15 AIRCRAFT ELECTRONICS VULNERABILITY ASSESSMENT,2024-09-30,2026-01-21,FA850523F0034,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2023-09-29
999923.0,CONT_AWD_W91QF414F0034_9700_GS06F0645Z_4730,Department of Defense,Department of the Army,BELCAN,IGF::CT::IGF DESKTOP IT SUPPORT,2017-08-21,2026-01-21,W91QF414F0034,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2014-08-15
830737.75,CONT_AWD_HC104718F4024_9700_GS06F0711Z_4732,Department of Defense,Defense Information Systems Agency,BELCAN,FIELD SERVICES SUPPORT,2019-01-31,2026-01-21,HC104718F4024,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-08-01
641021.55,CONT_AWD_H9222217F0296_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF CLOUD GOVERNANCE AND MANAGEMENT,2019-03-24,2026-01-21,H9222217F0296,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-09-29
599433.58,CONT_AWD_H9222217F0236_9700_GS06F0645Z_4730,Department of Defense,U.S. Special Operations Command,BELCAN,IGF::CT::IGF PRODUCT OWNER,2018-09-10,2026-01-21,H9222217F0236,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-09-11
595778.15,CONT_AWD_W81XWH06P1111_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,BELCAN,LABOR AND G&A(4%),2009-01-06,2026-01-21,W81XWH06P1111,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-09-21
502814.18,CONT_AWD_0008_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,PROGRAM SUPPORT @ PAX RIVER,2015-06-02,2026-01-21,0008,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2010-02-25
392484.0,CONT_AWD_FA945119F0006_9700_FA945119D0033_9700,Department of Defense,Department of the Air Force,BELCAN,LSTAR PHASE 3,2020-04-04,2026-01-21,FA945119F0006,,,"GRYPHON AEROSPACE, LLC",H1Z4FAX9MBA9,2019-04-05
378400.0,CONT_AWD_0005_9700_N6523615D4803_9700,Department of Defense,Department of the Navy,BELCAN,SST PORTFOLIO SUPPORT IGF::OT::IGF,2019-02-11,2026-01-21,0005,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2016-02-12
368396.9,CONT_AWD_0025_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0025,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
361675.09,CONT_AWD_0037_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0037,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-10-01
307696.0,CONT_AWD_0001_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,BASE YEAR - DELIVERY ORDER 0001,2009-02-18,2026-01-21,0001,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2008-02-20
293205.71,CONT_AWD_0005_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,OPTION YEAR 1,2010-09-30,2026-01-21,0005,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2009-02-19
262659.62,CONT_AWD_0009_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,OPTION YEAR 3,2015-06-30,2026-01-21,0009,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2011-02-18
210857.28,CONT_AWD_H9240420F0065_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,CIVIC DIGITAL FELLOWSHIP SUMMER 2020,2021-02-12,2026-01-21,H9240420F0065,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-03-12
197882.14,CONT_AWD_0036_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0036,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-10-01
184830.58,CONT_AWD_H9222218F9001_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,LABOR,2021-11-13,2026-01-21,H9222218F9001,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-05-09
171344.49,CONT_AWD_0041_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-10-31,2026-01-21,0041,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-11-01
170398.5,CONT_AWD_0003_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,PROGRAM ANALYST BETHESDA,2009-09-01,2026-01-21,0003,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2008-08-28
166727.74,CONT_AWD_0021_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0021,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
164429.78,CONT_AWD_0035_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0035,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-10-01
161537.19,CONT_AWD_0023_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0023,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
155589.58,CONT_AWD_0034_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0034,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-09-28
141127.27,CONT_AWD_0011_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,None,2006-09-30,2026-01-21,0011,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2005-10-05
137942.71,CONT_AWD_0028_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0028,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
136857.01,CONT_AWD_0039_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0039,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-10-01
127877.65,CONT_AWD_0024_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0024,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
109216.04,CONT_AWD_H9222218F0014_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,WAR GAME CENTER,2018-01-30,2026-01-21,H9222218F0014,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-12-05
91426.06,CONT_AWD_0029_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-10-31,2026-01-21,0029,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-12-01
90200.0,CONT_AWD_N6308216F5063_9700_GS35F0537L_4730,Department of Defense,Department of the Navy,BELCAN,U FIBER NETWORK CARDS,2016-06-25,2026-01-21,N6308216F5063,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2016-05-31
72784.75,CONT_AWD_W81XWH07P0025_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,BELCAN,NON-PERSONAL SERVICE,2009-03-31,2026-01-21,W81XWH07P0025,,,"BELCAN ENGINEERING GROUP, LLC",ZWLCEJLQ4YS5,2006-10-19
