Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,BICES Defense Intelligence Agency Variant,14,High,https://www.apexsystems.com/job/3017651_usa/sr-elastic-engineer-edrdefend-focus,"PTS has strong Leidos relationships. For BICES Defense Intelligence Age, we specialize in ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS talent in Colorado Springs.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Colorado Springs"
Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP),Data Center & Cloud Optimization,6,Medium,https://www.apexsystems.com/job/2089337_usa/data-center-engineer---rtp-tssci-with-full-scope-poly,"PTS has strong Leidos relationships. For Data Center & Cloud Optimizati, we specialize in TS/SCI with Full Scope Poly (FSP) talent in Research Triangle Park.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Research Triangle Park"
Systems Administrator,"Fort Belvoir, VA",TS/SCI with active POLY,Integrated Base Defense Security System,7,Medium,https://www.apexsystems.com/job/3009212_usa/systems-administrator,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in TS/SCI with active POLY talent in Fort Belvoir.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Fort Belvoir"
(VMS) Engineering Writer and Instructor,"Elkridge, MD",Secret Clearance Required,DIA Information Systems Engineering Office,9,Medium,https://www.apexsystems.com/job/3010415_usa/vms-engineering-writer-and-instructor,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Secret Clearance Required talent in Elkridge.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Elkridge"
Client Support / Sys Admin - Site D,"Fayetteville, NC","Secret (this position supports sponsorship for an upgraded security clearance, c",Defense Enterprise Office Solutions,6,Medium,https://www.apexsystems.com/job/3010789_usa/client-support--sys-admin---site-d,"PTS has strong Leidos relationships. For Defense Enterprise Office Solu, we specialize in Secret (this position supports sponsorship for an upgraded security clearance, c talent in Fayetteville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Fayetteville"
IT Specialist Senior,"Quantico, VA",,Air Force Advanced Battle Management System,9,Medium,https://www.apexsystems.com/job/3012188_usa/it-specialist-senior,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in  talent in Quantico.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Quantico"
Secure Enterprise Engineer,"Carlsbad, CA",,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",8,Medium,https://www.apexsystems.com/job/3012589_usa/secure-enterprise-engineer,"PTS has strong Leidos relationships. For NGEN-R SMIT – Navy Next Genera, we specialize in  talent in Carlsbad.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Carlsbad"
Sr ISSE,"Reston, VA",,Integrated Base Defense Security System,14,High,https://www.apexsystems.com/job/3012876_usa/sr-isse,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Reston.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Reston"
Sr Network Engineer,"Reston, VA",,Integrated Base Defense Security System,12,High,https://www.apexsystems.com/job/3013828_usa/sr-network-engineer,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Reston.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Reston"
DEVSECOPS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/devsecops-engineer-secret-clearance/job-463944/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Secret talent in Huntsville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Huntsville"
SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,"Niskayuna, New York",,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/sr-power-electric-engineer-clearance-required/job-479177/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Niskayuna.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Niskayuna"
ESS HELPDESK TECHNICIAN,"Braddock, Virginia",Secret,Air Force Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/braddock/ess-helpdesk-technician/job-451448/,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in Secret talent in Braddock.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Braddock"
INFORMATION SYSTEMS SECURITY OFFICER (ISSO),"Sterling Heights, Michigan",Secret,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-systems-security-officer-isso-/job-438003/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Secret talent in Sterling Heights.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Sterling Heights"
TS/SCI SR. NETWORK ENGINEER,"Mount Vernon, Virginia",TS/SCI,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",10,High,https://insightglobal.com/jobs/find_a_job/virginia/mount-vernon/ts-sci-sr-network-engineer/job-458210/,"PTS has strong Leidos relationships. For NGEN-R SMIT – Navy Next Genera, we specialize in TS/SCI talent in Mount Vernon.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Mount Vernon"
SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia",Secret,Air Force Advanced Battle Management System,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-windows-systems-administrator/job-480429/,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in Secret talent in Dahlgren.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Dahlgren"
TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,"Wilmington, Massachusetts",TS/SCI,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/massachusetts/wilmington/ts-sci-senior-optical-systems-engineer/job-476947/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in TS/SCI talent in Wilmington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Wilmington"
TS/SCI SOFTWARE ENGINEER (AFSIM),"Beavercreek, Ohio",TS/SCI,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/ohio/beavercreek/ts-sci-software-engineer-afsim-/job-483878/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in TS/SCI talent in Beavercreek.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Beavercreek"
TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,"Jessup, Maryland",TS/SCI Poly,Intelligence Systems Enterprise Operations,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/reston/ts-sci-with-poly-cyber-network-defense-and-exploitation-analyst/job-421667/,"PTS has strong Leidos relationships. For Intelligence Systems Enterpris, we specialize in TS/SCI Poly talent in Jessup.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Jessup"
SECRET RF SYSTEM ENGINEER,"Salt Lake City, Utah",Secret,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/secret-rf-system-engineer/job-477411/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Secret talent in Salt Lake City.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Salt Lake City"
REGISTERED NURSE,"Muscatine, Iowa",,DISA Global Service Mgmt – Ops II,4,Low,https://insightglobal.com/jobs/find_a_job/iowa/muscatine/registered-nurse/job-481991/,"PTS has strong Leidos relationships. For DISA Global Service Mgmt – Ops, we specialize in  talent in Muscatine.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Muscatine"
"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)","Colorado Springs, Colorado",Top Secret,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,12,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-linux-system-administrator-co-springs-co-/job-476216/,"PTS has strong Leidos relationships. For Air Force Cyber Operations / P, we specialize in Top Secret talent in Colorado Springs.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Colorado Springs"
PYTHON TESTER - V&V,"Sainte-Anne-De-Bellevue, Quebec",,Defense Enclave Services,10,High,https://insightglobal.com/jobs/find_a_job/quebec/sainte-anne-de-bellevue/python-tester-vv/job-482242/,"PTS has strong Leidos relationships. For Defense Enclave Services, we specialize in  talent in Sainte-Anne-De-Bellevue.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Sainte-Anne-De-Bellevue"
HOSPITAL SECURITY OFFICER,"Tarpon Springs, Florida",,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/florida/tarpon-springs/hospital-security-officer/job-371817/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Tarpon Springs.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Tarpon Springs"
SOFTWARE ENGINEER (C++),"Dayton, Ohio",,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/ohio/dayton/software-engineer-c-/job-456635/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Dayton.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Dayton"
KUBERNETES ADMINISTRATOR,"Dayton, Ohio",TS/SCI,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/ohio/dayton/kubernetes-administrator/job-480397/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in TS/SCI talent in Dayton.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Dayton"
SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,"Wilmington, Delaware",,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/delaware/wilmington/senior-analyst-it-capital-financial-management-intl-india/job-483118/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Wilmington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Wilmington"
NONDESTRUCTIVE EVALUATION ENGINEER (NDE),"Berkeley, Missouri",,DIA Information Systems Engineering Office,4,Low,https://insightglobal.com/jobs/find_a_job/missouri/berkeley/nondestructive-evaluation-engineer-nde-/job-480826/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Berkeley.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Berkeley"
WELDER,"Huntsville, Alabama",Secret,DISA Global Service Mgmt – Ops II,4,Low,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/welder/job-452489/,"PTS has strong Leidos relationships. For DISA Global Service Mgmt – Ops, we specialize in Secret talent in Huntsville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Huntsville"
MARINE ELECTRICIAN,"Kings Bay, Georgia",,DIA Information Systems Engineering Office,4,Low,https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/marine-electrician/job-477052/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Kings Bay.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Kings Bay"
STRUCTURAL WELDER,"Kings Bay, Georgia",,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/structural-welder/job-477076/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Kings Bay.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Kings Bay"
2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",Secret,DIA Information Systems Engineering Office,4,Low,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/2nd-shift-cnc-machinist-level-5/job-479486/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Secret talent in Huntsville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Huntsville"
COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/copy-top-secret-iam-architect/job-481890/,"PTS has strong Leidos relationships. For BICES Defense Intelligence Age, we specialize in TS/SCI Poly talent in Washington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Washington"
PROGRAM INTEGRATOR,"Huntsville, Alabama",Secret,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/program-integrator/job-482968/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Secret talent in Huntsville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Huntsville"
UT INSPECTOR,"Kings Bay, Georgia",,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/ut-inspector/job-476961/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Kings Bay.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Kings Bay"
TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-icam-architect/job-481903/,"PTS has strong Leidos relationships. For BICES Defense Intelligence Age, we specialize in TS/SCI Poly talent in Washington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Washington"
PRICING MANAGER,"Huntsville, Alabama",Secret,DISA Global Service Mgmt – Ops II,4,Low,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/pricing-manager/job-481941/,"PTS has strong Leidos relationships. For DISA Global Service Mgmt – Ops, we specialize in Secret talent in Huntsville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Huntsville"
SECRET SECURITY ENGINEER (BOUNDARY),"Montgomery, Alabama",Secret,Global Network Operations (DISA GSM-O II),6,Medium,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-security-engineer-boundary-/job-467723/,"PTS has strong Leidos relationships. For Global Network Operations (DIS, we specialize in Secret talent in Montgomery.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Montgomery"
TS/SCI SYSTEMS ADMINISTRATOR,"Dayton, Ohio",TS/SCI,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/ohio/dayton/ts-sci-systems-administrator/job-469723/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in TS/SCI talent in Dayton.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Dayton"
RUST DEVELOPER,"Camden, New Jersey",Secret,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/new-jersey/camden/rust-developer/job-482552/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Secret talent in Camden.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Camden"
DIGITAL HARDWARE ENGINEER,"Greece, New York",,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",10,High,https://insightglobal.com/jobs/find_a_job/new-york/greece/digital-hardware-engineer/job-482978/,"PTS has strong Leidos relationships. For NGEN-R SMIT – Navy Next Genera, we specialize in  talent in Greece.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Greece"
SENIOR POSTGRES DATABASE ENGINEER,"Windsor Mill, Maryland",,Global Command and Control System – Joint (Variant),7,Medium,https://insightglobal.com/jobs/find_a_job/maryland/windsor-mill/senior-postgres-database-engineer/job-474207/,"PTS has strong Leidos relationships. For Global Command and Control Sys, we specialize in  talent in Windsor Mill.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Windsor Mill"
SECRET ISSO,"Albuquerque, New Mexico",Secret,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/new-mexico/albuquerque/secret-isso/job-478637/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Secret talent in Albuquerque.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Albuquerque"
BLASTER / PAINTER,"Kings Bay, Georgia",,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/blaster-painter/job-477119/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Kings Bay.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Kings Bay"
TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,"Hanover, Maryland",TS/SCI Poly,DIA Information Systems Engineering Office,7,Medium,https://insightglobal.com/jobs/find_a_job/maryland/hanover/ts-sci-poly-cleared-linux-admin-test-engineer/job-471207/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in TS/SCI Poly talent in Hanover.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Hanover"
TOP SECRET SOFTWARE ENGINEER,"Washington, District Of Columbia",Top Secret,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-software-engineer/job-480435/,"PTS has strong Leidos relationships. For Air Force Cyber Operations / P, we specialize in Top Secret talent in Washington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Washington"
POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Secret,Data Center & Cloud Optimization,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/power-platform-developer/job-464764/,"PTS has strong Leidos relationships. For Data Center & Cloud Optimizati, we specialize in Secret talent in Alexandria.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Alexandria"
ELECTRICAL ENGINEER,"Cockeysville, Maryland",Secret,Global Command and Control System – Joint (Variant),9,Medium,https://insightglobal.com/jobs/find_a_job/maryland/cockeysville/electrical-engineer/job-313138/,"PTS has strong Leidos relationships. For Global Command and Control Sys, we specialize in Secret talent in Cockeysville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Cockeysville"
TS/SCI SYSTEM ADMINISTRATOR,"Grand Forks, North Dakota",TS/SCI,Global Network Operations (DISA GSM-O II),6,Medium,https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/ts-sci-system-administrator/job-478425/,"PTS has strong Leidos relationships. For Global Network Operations (DIS, we specialize in TS/SCI talent in Grand Forks.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Grand Forks"
SR NETWORK DESIGN ENGINEER,"'Aiea, Hawaii",Secret,Global Network Operations (DISA GSM-O II),6,Medium,https://insightglobal.com/jobs/find_a_job/hawaii/aiea/sr-network-design-engineer/job-464235/,"PTS has strong Leidos relationships. For Global Network Operations (DIS, we specialize in Secret talent in 'Aiea.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND 'Aiea"
SECRET KNOWLEDGE MANAGEMENT SPECIALIST,"Suffolk, Virginia",Secret,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-knowledge-management-specialist/job-481743/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Secret talent in Suffolk.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Suffolk"
DATA ENGINEER,"Scott Air Force Base, Illinois",Top Secret,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/illinois/scott-air-force-base/data-engineer/job-479588/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Top Secret talent in Scott Air Force Base.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Scott Air Force Base"
PRE-DEPLOYMENT MANAGER,"Frederick, Maryland",,DIA Information Systems Engineering Office,16,High,https://insightglobal.com/jobs/find_a_job/maryland/frederick/pre-deployment-manager/job-482779/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Frederick.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Frederick"
SOFTWARE ARCHITECT,"Alexandria, Virginia",Secret,Air Force Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/software-architect/job-477171/,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in Secret talent in Alexandria.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Alexandria"
SHIPWRIGHT,"Kings Bay, Georgia",,DISA Global Service Mgmt – Ops II,4,Low,https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/shipwright/job-477104/,"PTS has strong Leidos relationships. For DISA Global Service Mgmt – Ops, we specialize in  talent in Kings Bay.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Kings Bay"
