award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
2032588758.0,CONT_AWD_N0002424C2115_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002424C2115,S1B,2034-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2023-12-21,1,8,0.0,24
1655050154.0,CONT_AWD_0006_9700_FA861406D2006_9700,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,0006,FY10 UCA FOR 5 USAF A/C,2013-07-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2011-05-13,1,5,0.0,20
1615878424.65,CONT_AWD_0002_9700_FA861406D2006_9700,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,0002,+10 USAF UCA,2009-08-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2006-12-18,1,5,0.0,20
1615083646.0,CONT_AWD_N0002424C2114_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002424C2114,S9G,2034-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2023-12-22,1,8,0.0,24
1316045847.0,CONT_AWD_N0002412C2106_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002412C2106,NAVAL REACTORS,2025-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2011-11-17,1,8,0.0,24
1273034917.79,CONT_AWD_0005_9700_FA861406D2006_9700,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,0005,MIGRATED DATA VALUE UNKNOWN,2011-10-26,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2010-06-22,1,5,0.0,20
1238780271.0,CONT_AWD_N0002407C2100_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002407C2100,NUCLEAR REACTOR COMPONENTS.,2027-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2006-10-12,1,8,0.0,24
1179194023.0,CONT_AWD_N0002407C2102_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002407C2102,A1B REACTOR COMPONENTS.,2028-06-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2006-10-16,1,8,0.0,24
1155719316.74,CONT_AWD_FA852624F0002_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $1B+; 5 subs; Very active prime,75,FA852624F0002,FY24 C-17 VIRTUAL FLEET MATERIAL REQUIREMENTS,2025-03-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2023-10-01,1,5,0.0,20
1051399060.0,CONT_AWD_N0002419C2112_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002419C2112,OPN,2030-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2018-11-30,1,8,0.0,24
1009070909.0,CONT_AWD_F3365797C0008_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,F3365797C0008,199812!5700!0007!GU30 !ASC/YCK                         !F3365797C0008  !A!*!*                  !19971219!20050930!074973959!074973959!009256819!N!88277!BOEING REALTY CORP            !4060 N LAKEWOOD BLVD FL 5 !LONG BEACH          !CA!90808!43000!037!06!LONG BEACH          !LOS ANGELES           !CAL,2007-09-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),1997-12-19,1,5,0.0,20
4067162785.79,CONT_AWD_W56HZV08C0460_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 7 subs; Active prime,70,W56HZV08C0460,"PROCUREMENT OF 10,000 FAMILY OF MEDIUM TACTICAL VEHICLES.  ALSO ADDING PROGRAM SUPPORT AND FEDERAL RETAIL EXCISE TAX.  THIS ACTION IS BEING ADDED AS AN UNDEFINITIZED CONTRACTUAL ACTION",2024-09-30,2026-01-21,False,,,,HIGH,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,BILLION ($1B-5B),2008-05-30,1,7,0.0,7
2053430975.41,CONT_AWD_DAAE0798CM005_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 7 subs; Active prime,70,DAAE0798CM005,"199902!2100!0077!AE07 !USA TANK-AUTOMOTIVE & ARMAMENTS !DAAE0798CM005  !A!*!*                  !19981014!20031231!557414000!007932783!007932783!N!0FW39!STEWART & STEVENSON SERVICES, !5000 INTERSTATE 10 W      !SEALY               !TX!77474!66464!015!48!SEALY               !AUSTIN                !TEX",2007-02-28,2026-01-21,False,,,,HIGH,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,BILLION ($1B-5B),1998-10-14,1,7,0.0,7
811784619.0,CONT_AWD_N0002402C2102_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002402C2102,,2019-09-20,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2002-01-18,1,8,0.0,24
783821514.56,CONT_AWD_FA852625F0002_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 5 subs; Very active prime,70,FA852625F0002,C-17 GLOBEMASTER III - TOTAL SUSTAINMENT AND MINOR DEVELOPMENT,2025-10-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,LARGE ($500M-1B),2025-04-01,1,5,0.0,20
719820529.36,CONT_AWD_FA852623F0002_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 5 subs; Very active prime,70,FA852623F0002,FY23 C-17 VIRTUAL FLEET MATERIAL REQUIREMENTS,2023-09-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,LARGE ($500M-1B),2022-10-01,1,5,0.0,20
717181233.0,CONT_AWD_FA852622F0002_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 5 subs; Very active prime,70,FA852622F0002,F22 C-17 MATERIAL,2022-09-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,LARGE ($500M-1B),2021-10-01,1,5,0.0,20
714560914.0,CONT_AWD_N0002404C2104_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002404C2104,,2019-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2003-10-15,1,8,0.0,24
681958926.0,CONT_AWD_N0002418C2124_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002418C2124,NAVAL REACTORS,2026-11-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2017-12-15,1,8,0.0,24
662152531.0,CONT_AWD_N0002413C2121_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002413C2121,NAVAL REACTORS,2027-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2012-11-15,1,8,0.0,24
633721685.0,CONT_AWD_0001_9700_FA861406D2006_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 5 subs; Very active prime,70,0001,TAS::97 8242 000::TAS ACQUISITION OF 4 C-17 AIRCRAFT FOR AUSTRALIAN GOVERNMENT,2008-02-21,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,LARGE ($500M-1B),2006-07-28,1,5,0.0,20
621131069.0,CONT_AWD_N0002417C2110_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002417C2110,NAVAL REACTORS,2026-02-28,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2016-12-27,1,8,0.0,24
612744642.0,CONT_AWD_N0002415C2100_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002415C2100,NAVAL REACTORS,2028-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2014-10-22,1,8,0.0,24
605212398.0,CONT_AWD_N0002416C2107_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002416C2107,NAVAL REACTORS,2030-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2015-11-20,1,8,0.0,24
596421854.0,CONT_AWD_N0002414C2101_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002414C2101,NAVAL REACTORS,2028-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2014-01-14,1,8,0.0,24
594932062.0,CONT_AWD_N0002408C2118_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002408C2118,FY08 S9G COMPONENTS,2022-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2007-10-16,1,8,0.0,24
592468557.0,CONT_AWD_N0002412C2107_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002412C2107,NAVAL REACTORS,2027-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2012-02-06,1,8,0.0,24
575059980.0,CONT_AWD_N0002417C2120_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002417C2120,NAVAL REACTORS,2026-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2016-11-09,1,8,0.0,24
527781301.0,CONT_AWD_N0002410C2119_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002410C2119,NAVAL REACTORS,2023-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2009-10-19,1,8,0.0,24
519945720.0,CONT_AWD_N0002411C2127_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 8 subs; Very active prime,70,N0002411C2127,NAVAL REACTORS,2023-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,LARGE ($500M-1B),2010-10-25,1,8,0.0,24
762165354.91,CONT_AWD_0009_9700_M6785407D5030_9700,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 7 subs; Active prime,65,0009,CAIMAN MTV (CMTV) CHASSIS,2013-03-31,2026-01-21,False,,,,MEDIUM,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,LARGE ($500M-1B),2010-09-02,1,7,0.0,7
729645015.04,CONT_AWD_0004_9700_M6785407D5030_9700,Department of Defense,Department of the Navy,DoD; $500M+; 7 subs; Active prime,65,0004,LRIP 11 ORDER.,2009-09-30,2026-01-21,False,,,,MEDIUM,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,LARGE ($500M-1B),2008-03-14,1,7,0.0,7
657131949.07,CONT_AWD_0002_9700_M6785407D5030_9700,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 7 subs; Active prime,65,0002,DELIVERY ORDER CAT I AND CAT II MRAP VEHICLES,2010-02-28,2026-01-21,False,,,,MEDIUM,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,LARGE ($500M-1B),2007-07-13,1,7,0.0,7
555879126.29,CONT_AWD_0003_9700_M6785407D5030_9700,Department of Defense,Department of the Navy,DoD; $500M+; 7 subs; Active prime,65,0003,CATEGORY I MRAP,2012-12-31,2026-01-21,False,,,,MEDIUM,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,LARGE ($500M-1B),2007-12-18,1,7,0.0,7
470028742.34,CONT_AWD_0016_9700_FA861406D2006_9700,Department of Defense,Department of the Air Force,DoD; $100M+; 5 subs; Very active prime,60,0016,C-17 AUSTRALIA 2 A/C,2015-09-16,2026-01-21,False,,,,MEDIUM,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEDIUM ($100M-500M),2015-06-01,1,5,0.0,20
443110124.06,CONT_AWD_FA852624F0001_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $100M+; 5 subs; Very active prime,60,FA852624F0001,FY 24 VIRTUAL-FLEET-COMMON AND UNIQUE LABOR SUSTAINMENT FOR C17 FLEET.,2025-10-31,2026-01-21,False,,,,MEDIUM,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEDIUM ($100M-500M),2023-10-01,1,5,0.0,20
429920264.73,CONT_AWD_FA852623F0001_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $100M+; 5 subs; Very active prime,60,FA852623F0001,FY23 VIRTUAL-FLEET-COMMON AND UNIQUE LABOR SUSTAINMENT FOR C17 FLEET.,2023-09-30,2026-01-21,False,,,,MEDIUM,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEDIUM ($100M-500M),2022-10-01,1,5,0.0,20
401444388.32,CONT_AWD_FA852624F0003_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $100M+; 5 subs; Very active prime,60,FA852624F0003,FY24 C-17 MX/MODS,2026-10-31,2026-01-21,False,,,,MEDIUM,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEDIUM ($100M-500M),2023-10-03,1,5,0.0,20
377206794.42,CONT_AWD_FA852623F0003_9700_FA852621D0001_9700,Department of Defense,Department of the Air Force,DoD; $100M+; 5 subs; Very active prime,60,FA852623F0003,FY23 MX/MODS ORDER,2025-10-31,2026-01-21,False,,,,MEDIUM,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEDIUM ($100M-500M),2022-10-07,1,5,0.0,20
373309120.0,CONT_AWD_N0002424C2112_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $100M+; 8 subs; Very active prime,60,N0002424C2112,OPN,2033-09-30,2026-01-21,False,,,,MEDIUM,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,MEDIUM ($100M-500M),2023-12-21,1,8,0.0,24
370825480.0,CONT_AWD_N0002496C4052_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $100M+; 8 subs; Very active prime,60,N0002496C4052,199703!1700!0165!BZ004!NAVAL SEA SYSTEMS COMMAND       !N0002496C4052  !A!*!P00002             !19961021!20030930!804715027!804715027!001343953!N!24374!CBS CORPORATION               !600 LIBERTY ST            !SCHENECTADY         !NY!12305!65508!093!36!SCHENECTADY         !SCHENECTADY           !NEW,2015-05-13,2026-01-21,False,,,,MEDIUM,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,MEDIUM ($100M-500M),1996-10-21,1,8,0.0,24
