"piid","generated_internal_id","prime_contractor","contract_amount","agency","description","search_prime","subaward_count","total_subaward_amount","unique_subcontractors","qualifies","qualification_reason"
"36C10B22N10070023","CONT_AWD_36C10B22N10070023_3600_VA11816D1007_3600","BOOZ ALLEN HAMILTON INC","859686306.3","Department of Veterans Affairs","NEW TO - EHRM PMO IO SUPPORT","Booz Allen Hamilton","32","667125084.67","24","True","667.1M in subawards"
"36C10B19N10070015","CONT_AWD_36C10B19N10070015_3600_VA11816D1007_3600","BOOZ ALLEN HAMILTON INC","826583511.86","Department of Veterans Affairs","IGF::OT::IGF  INFORMATION TECHNOLOGY OPERATIONS AND SERVICES TRANSFORMATION SUPPORT SERVICES","Booz Allen Hamilton","124","161555185.38","16","True","161.6M in subawards"
"47QFCA18F0073","CONT_AWD_47QFCA18F0073_4732_GS00Q09BGD0019_4735","BOOZ ALLEN HAMILTON INC","727435601.0","General Services Administration","THE PURPOSE OF THIS REQUIREMENT IS TO DELIVER ENTERPRISE CLASS, INDUSTRY STANDARD, OPEN ARCHITECTURE EQUIPMENT AND SERVICES TO SUPPORT THE USG PROGRAM OFFICE, DOD PARTNERS, AND OTHER ORGANIZATIONS AS DETERMINED TO INCLUDE, BUT NOT LIMITED TO, INTERAGENCY PARTNERS, THE INTELLIGENCE COMMUNITY (IC), AND COALITION PARTNERS","Booz Allen Hamilton","253","280908244.79","47","True","280.9M in subawards"
"NSFDACS1219442","CONT_AWD_NSFDACS1219442_4900_-NONE-_-NONE-","LEIDOS, INC.","3081207083.64","National Science Foundation","SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM","Leidos","1043","537613309.32","293","True","537.6M in subawards; 293 unique subcontractors"
"75N91020F00003","CONT_AWD_75N91020F00003_7529_75N91019D00024_7529","LEIDOS BIOMEDICAL RESEARCH INC","1775391302.47","Department of Health and Human Services","NCI OPERATIONAL TASK ORDER","Leidos","137","103228432.94","66","True","103.2M in subawards"
"28321322FDS030130","CONT_AWD_28321322FDS030130_2800_SS001760016_2800","LEIDOS, INC.","1062905628.31","Social Security Administration","ITSSC TASK ORDER FOR SYSTEMS","Leidos","48","145407506.58","43","True","145.4M in subawards"
"N0002416C2229","CONT_AWD_N0002416C2229_9700_-NONE-_-NONE-","NATIONAL STEEL AND SHIPBUILDING COMPANY","5812593038.64","Department of Defense","DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205","General Dynamics","2000","190919724.41","119","True","190.9M in subawards; 119 unique subcontractors"
"N0002419C2235","CONT_AWD_N0002419C2235_9700_-NONE-_-NONE-","NATIONAL STEEL AND SHIPBUILDING COMPANY","1859304798.07","Department of Defense","EXPEDITIONARY SEA BASE (ESB) HULL 6 LLTM UCA","General Dynamics","1495","1068150867.91","137","True","1068.2M in subawards; 137 unique subcontractors"
"HSTS0413CCT3067","CONT_AWD_HSTS0413CCT3067_7013_-NONE-_-NONE-","LEIDOS, INC.","432319916.55","Department of Homeland Security","IGF::OT::IGF CONTRACT FOR INTEGRATED LOGISTICS SUPPORT (ILS) SERVICES IN SUPPORT OF THE OFFICE OF SECURITY CAPABILITIES TO PROVIDE SUSTAINMENT OF PASSENGER SCREENING EQUIPMENT DEPLOYED AT AIRPORTS NATION WIDE.","SAIC","123","242886704.19","15","True","242.9M in subawards"
"80GSFC19C0063","CONT_AWD_80GSFC19C0063_8000_-NONE-_-NONE-","PERATON INC.","1414704681.9","National Aeronautics and Space Administration","THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO","Peraton","712","284110499.59","200","True","284.1M in subawards; 200 unique subcontractors"
"HHSM500T0003","CONT_AWD_HHSM500T0003_7530_HHSM500201300014I_7530","PERATON ENTERPRISE SOLUTIONS LLC","1238890339.93","Department of Health and Human Services","IGF::OT::IGF","Peraton","638","402193427.79","62","True","402.2M in subawards"
"47QFCA21F0058","CONT_AWD_47QFCA21F0058_4732_GS00Q14OADU117_4732","PERATON INC.","775386921.26","General Services Administration","OPERATIONAL PLANNING IMPLEMENTATION AND ASSESSMENT SERVICES (OPIAS) BASE AWARD.","Peraton","89","328234646.77","36","True","328.2M in subawards"
"NNX11AA01C","CONT_AWD_NNX11AA01C_8000_-NONE-_-NONE-","PERATON ENTERPRISE SOLUTIONS LLC","769166010.07","National Aeronautics and Space Administration","THE AGENCY CONSOLIDATED END-USER SERVICES (ACES)CONTRACT  WILL PROVIDE AND MANAGE NASA'S PERSONAL COMPUTING HARDWARE, AGENCY STANDARD SOFTWARE, MOBILE IT SERVICES, PERIPHERALS AND ACCESSORIES, ASSOCIATED END-USER SERVICES, AND SUPPORTING INFRASTRUCTURE.","Peraton","2000","446993020.63","74","True","447M in subawards"
