piid,description,obligated,fiscal_year,awarding_agency,awarding_department,funding_agency,funding_department,dod_match_reason,prime_contractor,period_start,period_end,ultimate_completion,performance_city,performance_state,target_firms,naics_code
W52P1J19F0394,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM PERFORMANCE TASK ORDER.,2188134178,2019,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"KELLOGG BROWN & ROOT SERVICES, INC.",4/12/2019,3/29/2026,3/29/2026,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,561210
N0002420C5405,SM-6 BLK IA TACTICAL ALL UP ROUND (AUR),1384900851,2020,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,12/20/2019,9/30/2029,9/30/2029,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
47QFCA24F0011,DISTRIBUTED COMMON GROUND SYSTEM DCGS ENTERPRISE PRODUCT SUPPORT EPS  TO 1,220033855,2024,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,"CACI, INC. - FEDERAL",4/2/2024,4/1/2026,4/1/2029,WARNER ROBINS,GEORGIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W912P421F0003,PRE-EXCAVATION REMEDIATION ACTIVITIES,231054772.9,2021,Department of the Army,Department of Defense,,,DoD Awarding,"Amentum Technology, Inc.",7/28/2021,1/31/2026,1/31/2026,FORD CITY,PENNSYLVANIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,562910
FA210322F1001,LONG RANGE STANDOFF (LRSO) B-52H CARRIAGE EQUIPMENT,157407959,2022,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,"Integrated Solutions for Systems, Inc.",12/31/2025,9/30/2026,9/30/2026,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
47QFCA19F0006,IGF::OT::IGF,920798653.1,2019,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"CACI, INC. - FEDERAL",5/20/2019,5/19/2026,5/19/2026,FORT BELVOIR,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
47QFCA21F0001,THE SCOPE OF THE TO IS TO PROVIDE ENTERPRISE IT SERVICES FOR THE USACE.,1070681054,2021,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,11/30/2020,6/27/2026,6/27/2026,RESTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
47QFCA23F0027,TITUS,112013559.3,2023,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",6/15/2023,6/14/2026,6/14/2028,ABERDEEN PROVING GROUND,MARYLAND,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
N0002422C2300,DDG 1002 SHORE SUPPORT,305551639,2022,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,HUNTINGTON INGALLS INCORPORATED,1/13/2022,4/14/2027,4/14/2027,PASCAGOULA,MISSISSIPPI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336611
47QFSA22F0063,53RD WING OPERATIONS AND 350TH SPECTRUM WARFARE WING 53WG350SWW TECHNICAL SUPPORT SERVICES,123251472.7,2022,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",1/1/2024,12/31/2026,6/30/2029,EGLIN AFB,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
W15QKN24F0392,"UNDEFINITIZED DELIVERY ORDER FOR 253,913 UNITS OF 155MM M119A2 PROPELLING BAG CHARGES",403323854.4,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"General Dynamics Ordnance and Tactical Systems, Inc.",9/5/2024,5/31/2027,5/31/2027,MARION,ILLINOIS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
47QFPA23F0014,TO8 OY1 STANDING ARMY,141281532.5,2023,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,"LEIDOS, INC.",4/1/2023,3/31/2026,3/31/2027,HICKAM AFB,HAWAII,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W9128F24C0005,"CONSTRUCTION OF THE B21 WEAPONS GENERATION FACILITY - SITE F (WGF-F) ELLSWORTH AFB, SD",177885039.7,2024,Department of the Army,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,BL HARBERT INTERNATIONAL LLC,2/12/2024,1/26/2027,1/26/2027,ELLSWORTH AFB,SOUTH DAKOTA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,236220
47QFMA21F0023,CALL ORDER 22 ENTITLEMENTS AND BENEFITS MAINTENANCE AND MODERNIZATION SERVICES,116393573.1,2021,Federal Acquisition Service,General Services Administration,Defense Human Resources Activity,Department of Defense,DoD Funding,PERATON ENTERPRISE SOLUTIONS LLC,6/11/2021,6/10/2026,6/10/2026,SEASIDE,CALIFORNIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,518210
47QFCA22F0038,GUARD ENTERPRISE CYBER OPERATIONS SUPPORT ORIGINAL AWARD.,188425452,2022,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",7/29/2022,7/28/2026,7/28/2026,ARLINGTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
W56KGU20F0012,"THE PURPOSE OF THIS ACTION IS TO AWARD A NEW FIVE (5) YEAR TASK ORDER UNDER THE RS3 CONTRACT FOR MODELING AND SIMULATION, ANALYSIS, ENGINEERING, NETWORKING, AND EXPERIMENTATION SUPPORT",202025691.7,2020,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"CACI TECHNOLOGIES, LLC",4/13/2020,3/31/2026,3/31/2026,CHANTILLY,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
N0001925F0185,PROCUREMENT OF TRAILING EDGE FLAP REVISION 2 A1 KITS (LH) AND A2 KITS (RH),101425717.9,2025,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,THE BOEING COMPANY,3/20/2025,6/30/2030,6/30/2030,SAINT LOUIS,MISSOURI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336412
N0002418C6410,MK54 MOD1 LWT KITS LRIP,201453688.2,2018,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",8/22/2018,9/30/2026,9/30/2026,CHARLEROI,PENNSYLVANIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
FA862025FB029,BIG SAFARI,157808440,2025,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,"SIERRA NEVADA COMPANY, LLC",11/1/2024,10/31/2025,10/31/2026,CENTENNIAL,COLORADO,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541990
FA861718F8001,ADVANCED PILOT TRAINING,896963290.6,2018,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,9/27/2018,7/30/2026,4/30/2030,SAINT LOUIS,MISSOURI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
FA850523F0006,F-15 RADAR ENTERPRISE IV PROGRAM,126220118.2,2023,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,2/1/2023,1/31/2026,1/31/2028,SAINT LOUIS,MISSOURI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
W52P1J19F0403,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V SUPPORT SERVICES IN SUPPORT OF AFRICOM.,324679575.2,2019,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"FLUOR INTERCONTINENTAL, INC",4/12/2019,9/2/2026,9/2/2026,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,561210
W31P4Q24C0024,UNDEFINITIZED CONTRACT ACTION (UCA) FOR LOWER TIER AIR AND MISSILE DEFENSE SYSTEM (LTAMDS),1652954776,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,RAYTHEON COMPANY,7/31/2024,12/19/2030,12/19/2030,ANDOVER,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334511
47QFCA20F0002,"THE PURPOSE OF THIS AWARD IS TO PROVIDE PLANS, OPERATIONS, LOGISTICS, ENGAGEMENT, TRAINING, EXERCISE, AND ASSESSMENT SUPPORT TO AFRICOM.",194034792.1,2020,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"CACI NSS, LLC",1/29/2020,1/28/2026,1/28/2026,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
FA821324FB016,LOT 20 DELIVERY ORDER ALL-UP-ROUNDS,515132853.5,2024,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,9/30/2024,4/30/2027,4/30/2027,SAINT LOUIS,MISSOURI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
W912PL24C0019,DISASTER RESILIENCY PROGRAM (DRP) PHASE 1,144207474.8,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,KORTE CONSTRUCTION COMPANY,10/10/2024,4/30/2027,4/30/2027,INDIAN SPRINGS,NEVADA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,236220
47QFCA21F0087,SPECIAL OPERATIONS FORCES EMERGING THREATS OPERATIONS AND PLANNING SUPPORT,720806037,2021,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"CACI NSS, LLC",9/30/2021,9/29/2026,9/29/2026,FORT BRAGG,NORTH CAROLINA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W912CH25F0007,"8 TONN TRUCKS FOR ISRAEL,  FMS CASE NO: IS-ZZC",176561027.2,2025,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,OSHKOSH DEFENSE LLC,10/15/2024,4/30/2026,4/30/2026,OSHKOSH,WISCONSIN,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336120
W58RGZ22C0010,BLACK HAWK MY X PRODUCTION AIRCRAFT.  FOREIGN MILITARY SALES.,4266428233,2022,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,SIKORSKY AIRCRAFT CORPORATION,6/26/2022,12/31/2027,12/31/2027,STRATFORD,CONNECTICUT,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
47QFCA20F0022,TASK ORDER AWARD,413581436.2,2020,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"Applied Research Associates, Inc.",9/29/2020,3/29/2026,3/29/2026,TAMPA,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFPA22F0007,REMOTE SENSING SE&I,180221423,2022,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,BOOZ ALLEN HAMILTON INC,1/11/2022,6/18/2026,12/18/2030,EL SEGUNDO,CALIFORNIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
W31P4Q22F0120,AGILE SOFTWARE SERVICES,259096621.6,2022,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,PERATON INC.,4/15/2022,9/4/2025,4/13/2026,HERNDON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
HQ086220C0002,KSA FMS ARMY NAVY TRANSPORTABLE RADAR SURVEILLANCE AND CONTROL MODEL 2 (AN/TPY-2) PRODUCTION,2732984085,2020,Missile Defense Agency,Department of Defense,Missile Defense Agency,Department of Defense,DoD Awarding,RAYTHEON COMPANY,6/26/2020,8/31/2032,8/31/2032,WOBURN,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334511
