agencies,extraction_date,is_it_vendor,is_prime,is_sub,prime_count,recipient_name,recipient_uei,subaward_count,total_contracts,total_prime_value,total_subaward_value,total_value
Department of Defense,2026-01-21,False,True,False,12,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,0,12,30816050839.050003,0,30816050839.050003
Department of Defense,2026-01-21,False,True,False,32,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,0,32,28720741204.929993,0,28720741204.929993
Department of Defense,2026-01-21,False,True,False,3,PFIZER INC,MHBQULRMEEJ5,0,3,27698851445.15,0,27698851445.15
Department of Defense,2026-01-21,False,True,False,23,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,0,23,27395349203.34,0,27395349203.34
Department of Defense,2026-01-21,False,True,False,24,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,0,24,26382835549.0,0,26382835549.0
Department of Defense,2026-01-21,False,True,False,2,TRIWEST HEALTHCARE ALLIANCE CORP,J7M9HPTGJ1S9,0,2,26108535028.019997,0,26108535028.019997
Department of Defense,2026-01-21,False,True,False,20,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,0,20,24755073316.979996,0,24755073316.979996
Department of Defense,2026-01-21,False,True,False,11,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,0,11,22805114514.93,0,22805114514.93
Department of Defense,2026-01-21,False,True,False,35,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,0,35,22405253876.36,0,22405253876.36
Department of Defense,2026-01-21,False,True,False,16,RAYTHEON COMPANY,XSV6AZJ6SDJ7,0,16,21899916230.949997,0,21899916230.949997
Department of Defense,2026-01-21,False,True,False,11,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,0,11,21658215280.39,0,21658215280.39
Department of Defense,2026-01-21,False,True,False,22,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,0,22,21189236134.309998,0,21189236134.309998
Department of Defense,2026-01-21,False,True,False,11,THE BOEING COMPANY,LAJJQWA1PF31,0,11,20776593578.99,0,20776593578.99
Department of Defense,2026-01-21,False,True,False,12,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,0,12,20506071648.47,0,20506071648.47
Department of Defense,2026-01-21,False,True,False,9,AM GENERAL LLC,NWM1JWVDA853,0,9,20103129442.779995,0,20103129442.779995
Department of Defense,2026-01-21,False,True,False,4,THE AEROSPACE CORPORATION,YA8LJBJCND19,0,4,19230297104.54,0,19230297104.54
Department of Defense,2026-01-21,False,True,False,17,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,0,17,18455420139.800003,0,18455420139.800003
Department of Defense,2026-01-21,False,True,False,10,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,0,10,18392754627.61,0,18392754627.61
Department of Defense,2026-01-21,False,True,False,16,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,0,16,18315562105.010002,0,18315562105.010002
Department of Defense,2026-01-21,False,True,False,14,THE BOEING COMPANY,E466BXU4KJH8,0,14,17674148829.82,0,17674148829.82
Department of Defense,2026-01-21,False,True,False,18,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,SN5KKUDR9LY8,0,18,16849725661.039999,0,16849725661.039999
Department of Defense,2026-01-21,False,True,False,7,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,0,7,15878184131.330002,0,15878184131.330002
Department of Defense,2026-01-21,False,True,False,2,"ENERGY, DEPARTMENT OF",SUWNFSEM8P15,0,2,13471973524.0,0,13471973524.0
Department of Defense,2026-01-21,False,True,False,2,"FLUOR INTERCONTINENTAL, INC",XMJWLE5WFT29,0,2,13208556588.11,0,13208556588.11
Department of Defense,2026-01-21,False,True,False,1,"UNITEDHEALTH MILITARY & VETERANS SERVICES, LLC",VCMHC2WJD466,0,1,13189380078.35,0,13189380078.35
Department of Defense,2026-01-21,False,True,False,17,NORTHROP GRUMMAN SYSTEMS CORPORATION,LALWKM623MU7,0,17,13063807887.820002,0,13063807887.820002
Department of Defense,2026-01-21,False,True,False,1,THE BOEING COMPANY,NU3MATKPALM4,0,1,12744887538.51,0,12744887538.51
Department of Defense,2026-01-21,False,True,False,1,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,0,1,12644083637.5,0,12644083637.5
Department of Defense,2026-01-21,False,True,False,14,BELL TEXTRON INC,N5QUZAYGPKM3,0,14,12207624620.2,0,12207624620.2
Department of Defense,2026-01-21,False,True,False,8,NORTHROP GRUMMAN SYSTEMS CORPORATION,VSBAFMDKTWL4,0,8,11892326231.08,0,11892326231.08
Department of Defense,2026-01-21,False,True,False,4,LOCKHEED MISSILES & SPACE COMP,YVH9AL7JT6Y3,0,4,11873217950.59,0,11873217950.59
Department of Defense,2026-01-21,False,True,False,5,LOCKHEED MARTIN CORPORATION,MJENSFHZJP11,0,5,11583937702.5,0,11583937702.5
Department of Defense,2026-01-21,False,True,False,6,"AUSTAL USA, LLC",RG6LJJM6JBS3,0,6,11174133011.640001,0,11174133011.640001
Department of Defense,2026-01-21,False,True,False,14,"GM GDLS DEFENSE GROUP, L.L.C.",LFK5WLJ8KT48,0,14,11118697926.1,0,11118697926.1
Department of Defense,2026-01-21,False,True,False,12,LOCKHEED MARTIN CORPORATION,HJP4JZG1FUL9,0,12,11106619634.009998,0,11106619634.009998
Department of Defense,2026-01-21,False,True,False,1,BECHTEL MARINE PROPULSION CORPORATION,RXSMGBN74NL7,0,1,10928730009.65,0,10928730009.65
Department of Defense,2026-01-21,False,True,False,11,GENERAL ELECTRIC COMPANY,E3HYKKLT5ZT1,0,11,10830915569.94,0,10830915569.94
Department of Defense,2026-01-21,False,True,False,1,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,0,1,10801259923.19,0,10801259923.19
Department of Defense,2026-01-21,False,True,False,15,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,0,15,10090841769.189997,0,10090841769.189997
Department of Defense,2026-01-21,False,True,False,1,NORTHROP GRUMMAN SYSTEMS CORPORATION,G7LEFNAN9J74,0,1,10009419769.13,0,10009419769.13
Department of Defense,2026-01-21,False,True,False,9,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,WGB7GAKM7A68,0,9,9994613246.330002,0,9994613246.330002
Department of Defense,2026-01-21,False,True,False,10,THE BOEING COMPANY,M8JLMEHJADQ5,0,10,9732065280.059998,0,9732065280.059998
Department of Defense,2026-01-21,False,True,False,18,THE MITRE CORPORATION,DMHDNDCPWUD1,0,18,9525063363.02,0,9525063363.02
Department of Defense,2026-01-21,False,True,False,5,RAYTHEON COMPANY,LWF3QUSCDNG1,0,5,9365138395.71,0,9365138395.71
Department of Defense,2026-01-21,False,True,False,10,GENERAL ELECTRIC COMPANY,J1T1FEN3PWX6,0,10,8579400240.38,0,8579400240.38
Department of Defense,2026-01-21,False,True,False,1,"MODERNATX, INC.",WJYNZ8AK2D47,0,1,8204906278.12,0,8204906278.12
Department of Defense,2026-01-21,False,True,False,7,LOCKHEED MARTIN CORPORATION,KMEVRAKJVBD3,0,7,8173376042.98,0,8173376042.98
Department of Defense,2026-01-21,False,True,False,9,EXPRESS SCRIPTS INC,QKNTMFZFR6E9,0,9,8130695565.77,0,8130695565.77
Department of Defense,2026-01-21,False,True,False,14,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,0,14,7999183702.22,0,7999183702.22
Department of Defense,2026-01-21,False,True,False,8,RAYTHEON COMPANY,MZK8TCNF24G2,0,8,7917656509.440001,0,7917656509.440001
Department of Defense,2026-01-21,False,True,False,8,RAYTHEON COMPANY,YD6LTFVUZNG1,0,8,7567014229.58,0,7567014229.58
Department of Defense,2026-01-21,False,True,False,9,EQUILON ENTERPRISES LLC,QELHKA2CHFP5,0,9,7365075366.78,0,7365075366.78
Department of Defense,2026-01-21,False,True,False,4,THE JOHNS HOPKINS MEDICAL SERVICES CORPORATION,RZLCPNEEJDC5,0,4,7245427996.22,0,7245427996.22
Department of Defense,2026-01-21,False,True,False,2,BELL HELICOPTER TEXTRON INC,HW7JDAG1UYU5,0,2,6917400814.309999,0,6917400814.309999
Department of Defense,2026-01-21,False,True,False,9,ND DEFENSE LLC,NAX6BAMAUNG9,0,9,6668639940.610002,0,6668639940.610002
Department of Defense,2026-01-21,False,True,False,4,MARTINS POINT HEALTH CARE INC,DJUHB4QNYAS6,0,4,6339456428.08,0,6339456428.08
Department of Defense,2026-01-21,False,True,False,4,BAE SYSTEMS LAND AND ARMAMENTS L.P.,D2ETMTLWJCJ1,0,4,6303270238.13,0,6303270238.13
Department of Defense,2026-01-21,False,True,False,6,MCDONNELL DOUGLAS HELICOPTER COMPANY,MY47WV32XFM1,0,6,6101145747.940001,0,6101145747.940001
Department of Defense,2026-01-21,False,True,False,2,LOCKHEED MARTIN CORP,ZFN2JJXBLZT3,0,2,5939151942.51,0,5939151942.51
Department of Defense,2026-01-21,False,True,False,7,RAYTHEON COMPANY,HEBCLD22EJD1,0,7,5916903801.4,0,5916903801.4
Department of Defense,2026-01-21,False,True,False,6,TEXTRON SYSTEMS CORP,WEE9WFHMACH9,0,6,5907695824.29,0,5907695824.29
Department of Defense,2026-01-21,False,True,False,2,ARMY SUSTAINMENT LLC,TEDMNT3CZ2K6,0,2,5759142022.879999,0,5759142022.879999
Department of Defense,2026-01-21,False,True,False,4,"M1 SUPPORT SERVICES, L.P.",PNAFHATW8BD7,0,4,5637277356.41,0,5637277356.41
Department of Defense,2026-01-21,False,True,False,1,REGENERON PHARMACEUTICALS INC,N3F9MH7E6HD6,0,1,5565000000.0,0,5565000000.0
Department of Defense,2026-01-21,False,True,False,3,AIRBUS US SPACE & DEFENSE INC,KDFTJG6RK5A8,0,3,5538903130.07,0,5538903130.07
Department of Defense,2026-01-21,False,True,False,4,THE BOEING COMPANY,MF2LE5RK6L84,0,4,5412618912.88,0,5412618912.88
Department of Defense,2026-01-21,False,True,False,8,VERTEX AEROSPACE LLC,NVC1EFKKYB93,0,8,5144956745.34,0,5144956745.34
Department of Defense,2026-01-21,False,True,False,1,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",DS75LBB3UZJ6,0,1,4980576178.6,0,4980576178.6
Department of Defense,2026-01-21,False,True,False,6,LOCKHEED MARTIN CORPORATION,NMHFLDYJJ4C5,0,6,4934294296.19,0,4934294296.19
Department of Defense,2026-01-21,False,True,False,5,RAYTHEON COMPANY,ENC9Y8JGL3E9,0,5,4932434875.71,0,4932434875.71
Department of Defense,2026-01-21,False,True,False,10,"THE CHARLES STARK DRAPER LABORATORY, INC.",GTJHZE4M7YK1,0,10,4891315694.43,0,4891315694.43
Department of Defense,2026-01-21,False,True,False,7,RAYTHEON COMPANY,NBSLHP77ZJQ1,0,7,4874664775.08,0,4874664775.08
Department of Defense,2026-01-21,False,True,False,1,MCDONNELL DOUGLAS CORP,T8TKPAM4JKF1,0,1,4638812374.0,0,4638812374.0
Department of Defense,2026-01-21,False,True,False,2,LOCKHEED MARTIN CORPORATION,NGBVY5X32XZ5,0,2,4636080883.219999,0,4636080883.219999
Department of Defense,2026-01-21,False,True,False,6,SODEXO MANAGEMENT INC.,VG33D4SQVLE3,0,6,4601036150.32,0,4601036150.32
Department of Defense,2026-01-21,False,True,False,1,"BECHTEL NATIONAL, INC.",WA9LNGN2DPF4,0,1,4512659363.96,0,4512659363.96
Department of Defense,2026-01-21,False,True,False,5,GENERAL ATOMICS,TVRYQ3N3B8H5,0,5,4454353115.03,0,4454353115.03
Department of Defense,2026-01-21,False,True,False,1,RAYTHEON COMPANY,JLWLJXQ3M995,0,1,4401448778.9,0,4401448778.9
Department of Defense,2026-01-21,False,True,False,3,NORTHROP GRUMMAN SYSTEMS CORPORATION,F9PAEKAAXGB6,0,3,4345912538.65,0,4345912538.65
Department of Defense,2026-01-21,False,True,False,5,MINISTRY OF DEFENSE,C1KKFURZSEF5,0,5,4340709961.88,0,4340709961.88
Department of Defense,2026-01-21,False,True,False,1,BECHTEL BETTIS INCORPORATED,QWRGMWGAT2B6,0,1,4284667504.8,0,4284667504.8
Department of Defense,2026-01-21,False,True,False,8,ALLIANT TECHSYSTEMS OPERATIONS LLC,KSQMLDMZDZ64,0,8,4280383503.4700003,0,4280383503.4700003
Department of Defense,2026-01-21,False,True,False,3,ELI LILLY AND COMPANY,UHHVNTY54K68,0,3,4126580000.0,0,4126580000.0
Department of Defense,2026-01-21,False,True,False,3,THE BOEING COMPANY,G8YTUPGGAJN5,0,3,4112441378.17,0,4112441378.17
Department of Defense,2026-01-21,False,True,False,2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,E2NYLCDML6V1,0,2,3999922698.02,0,3999922698.02
Department of Defense,2026-01-21,False,True,False,6,BAE SYSTEMS LAND & ARMAMENTS L.P.,JZCFGJQG7A57,0,6,3985559320.77,0,3985559320.77
Department of Defense,2026-01-21,False,True,False,5,NORTHROP GRUMMAN SYSTEMS CORPORATION,FNBAMFZ3GD53,0,5,3985185921.07,0,3985185921.07
Department of Defense,2026-01-21,False,True,False,4,"VINNELL ARABIA, LLC",N5F4BM883LB5,0,4,3911627369.7000003,0,3911627369.7000003
Department of Defense,2026-01-21,False,True,False,4,CANADIAN COMMERCIAL CORPORATION,FA38CTVQM319,0,4,3884976768.79,0,3884976768.79
Department of Defense,2026-01-21,False,True,False,3,THE BOEING COMPANY (0674),N7N4W13PCRU5,0,3,3874792377.0499997,0,3874792377.0499997
Department of Defense,2026-01-21,False,True,False,3,HONEYWELL INTERNATIONAL INC.,KBL6XLDCXKG8,0,3,3863056554.54,0,3863056554.54
Department of Defense,2026-01-21,False,True,False,2,"BOEING SATELLITE SYSTEMS, INC.",HM6DJZDU1591,0,2,3852583125.13,0,3852583125.13
Department of Defense,2026-01-21,False,True,False,5,LOCKHEED MARTIN CORPORATION,H11HD5VHGHN3,0,5,3848821915.82,0,3848821915.82
Department of Defense,2026-01-21,False,True,False,1,MARINETTE MARINE CORPORATION,UZWBWJN3NLP3,0,1,3828510546.0,0,3828510546.0
Department of Defense,2026-01-21,False,True,False,6,NORTHROP GRUMMAN SYSTEMS CORPORATION,E4X3BLZPPPX3,0,6,3761111663.6200004,0,3761111663.6200004
Department of Defense,2026-01-21,False,True,False,1,COMBAT SUPPORT ASSOCIATES,HTXEYHYMELM5,0,1,3760447157.21,0,3760447157.21
Department of Defense,2026-01-21,False,True,False,1,LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY,VXHLJL9WVYE7,0,1,3693487225.0,0,3693487225.0
Department of Defense,2026-01-21,False,True,False,1,THE BOEING COMPANY,TJ7ASQGRA6B9,0,1,3658089906.67,0,3658089906.67
Department of Defense,2026-01-21,False,True,False,5,TEXTRON SYSTEMS CORPORATION,SNJ8YY61GB95,0,5,3596553712.2899995,0,3596553712.2899995
Department of Defense,2026-01-21,False,True,False,3,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION,JHUVPBEELVE6,0,3,3550116321.45,0,3550116321.45
Department of Defense,2026-01-21,False,True,False,3,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",MWDRZJ2ZVPV7,0,3,3543778325.41,0,3543778325.41
Department of Defense,2026-01-21,False,True,False,5,BAE SYSTEMS NORFOLK SHIP REPAIR INC.,ERMDZBE4J8Q9,0,5,3526869018.97,0,3526869018.97
Department of Defense,2026-01-21,False,True,False,4,TEXTRON AVIATION DEFENSE LLC,RSCJXUGJNGE3,0,4,3517808601.79,0,3517808601.79
Department of Defense,2026-01-21,False,True,False,7,"ROCKWELL COLLINS, INC.",J4Q3HP6NHK47,0,7,3475806228.3900003,0,3475806228.3900003
Department of Defense,2026-01-21,False,True,False,1,AEROSPACE TESTING ALLIANCE,RNLAYLG64XA5,0,1,3442296591.23,0,3442296591.23
Department of Defense,2026-01-21,False,True,False,2,"L3HARRIS TECHNOLOGIES, INC.",LHJPD6T16EV9,0,2,3397519480.31,0,3397519480.31
Department of Defense,2026-01-21,False,True,False,7,VALERO MARKETING AND SUPPLY CO,CQXWTJPKQJ73,0,7,3393316233.99,0,3393316233.99
Department of Defense,2026-01-21,False,True,False,5,THE BOEING COMPANY,XM8ZJ6ML9CW7,0,5,3385906418.1800003,0,3385906418.1800003
Department of Defense,2026-01-21,False,True,False,1,ANTHEM HEALTH OF INDIANA INC,W57XQ6DVAGW5,0,1,3384754703.23,0,3384754703.23
Department of Defense,2026-01-21,False,True,False,2,OSHKOSH CORP,JMAWJW69GV26,0,2,3375089165.46,0,3375089165.46
Department of Defense,2026-01-21,False,True,False,1,ROCKWELL INTERNATIONAL CORP,TTGKCDJAPVR9,0,1,3374336189.92,0,3374336189.92
Department of Defense,2026-01-21,False,True,False,5,DYNCORP INTERNATIONAL LLC,ML6KL68PHMK3,0,5,3346884489.6600003,0,3346884489.6600003
Department of Defense,2026-01-21,False,True,False,3,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,LX3BSV6NNW58,0,3,3278701787.1400003,0,3278701787.1400003
Department of Defense,2026-01-21,False,True,False,2,"LOCKHEED MARTIN COMMERCIAL LAUNCH SERVICES, INC.",NZ7MZV9Q7YJ3,0,2,3259113171.01,0,3259113171.01
Department of Defense,2026-01-21,False,True,False,4,THE BOEING COMPANY,M25AW7P5S7K7,0,4,3231076306.9300003,0,3231076306.9300003
Department of Defense,2026-01-21,False,True,False,6,PAE APPLIED TECHNOLOGIES LLC,K55GHE7FCEF5,0,6,3170485785.5099998,0,3170485785.5099998
Department of Defense,2026-01-21,False,True,False,4,THE BOEING COMPANY,M6BRZ1FHEZQ1,0,4,3013674713.61,0,3013674713.61
Department of Defense,2026-01-21,False,True,False,5,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,ZMBFGXHLGLM3,0,5,2983470559.51,0,2983470559.51
Department of Defense,2026-01-21,False,True,False,1,"HEALTH NET, INC.",KL9XGK2BTJE9,0,1,2895440017.46,0,2895440017.46
Department of Defense,2026-01-21,False,True,False,5,NORTHROP GRUMMAN SYSTEMS CORP,JRVLDEXMYDK8,0,5,2860861161.4500003,0,2860861161.4500003
Department of Defense,2026-01-21,False,True,False,3,"SIERRA NEVADA COMPANY, LLC",N1PWVLN6F4U1,0,3,2837665688.17,0,2837665688.17
Department of Defense,2026-01-21,False,True,False,3,NORTHROP GRUMMAN SYSTEMS CORPORATION,DE6HN4VGM3R1,0,3,2829308623.25,0,2829308623.25
Department of Defense,2026-01-21,False,True,False,3,"REFINERY ASSOCIATES OF TEXAS, INC.",DXTKC3YAHE18,0,3,2807787776.08,0,2807787776.08
Department of Defense,2026-01-21,False,True,False,1,DRAGADOS/HAWAIIAN DREDGING/ORION JV,E8AXVANBZBD4,0,1,2767987768.15,0,2767987768.15
Department of Defense,2026-01-21,False,True,False,2,NORTHROP GRUMMAN SYSTEMS CORPORATION,H9M6J1PND9M3,0,2,2745184645.66,0,2745184645.66
Department of Defense,2026-01-21,False,True,False,3,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",JY2BDT2K58Z6,0,3,2742973661.5299997,0,2742973661.5299997
Department of Defense,2026-01-21,False,True,False,3,JVYS,SH2QXKRSD8M8,0,3,2728525796.0099998,0,2728525796.0099998
Department of Defense,2026-01-21,False,True,False,4,DELL MARKETING L.P.,HJLSY7RZV8X6,0,4,2728055368.91,0,2728055368.91
Department of Defense,2026-01-21,False,True,False,4,AMTEC CORPORATION,Y6PYN1Q8UKY7,0,4,2722448402.6800003,0,2722448402.6800003
Department of Defense,2026-01-21,False,True,False,2,"TELEDYNE, INC",EZZLZJRCKRC3,0,2,2712126628.9799995,0,2712126628.9799995
Department of Defense,2026-01-21,False,True,False,3,HENSEL PHELPS CONSTRUCTION CO,GPYDJ1NKULS8,0,3,2708985227.98,0,2708985227.98
Department of Defense,2026-01-21,False,True,False,2,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",MDQKF8LKF232,0,2,2707044125.69,0,2707044125.69
Department of Defense,2026-01-21,False,True,False,4,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",JHY6AZA6H191,0,4,2695561266.5699997,0,2695561266.5699997
Department of Defense,2026-01-21,False,True,False,3,THE BAHRAIN PETROLEUM COMPANY B.S.C. (CLOSED),RYA5PMDT74T5,0,3,2664676663.77,0,2664676663.77
Department of Defense,2026-01-21,False,True,False,6,THE MITRE CORPORATION,GAVABYGCURL7,0,6,2635825113.25,0,2635825113.25
Department of Defense,2026-01-21,False,True,False,3,PACMED CLINICS,NB7GJWCMRQY3,0,3,2616083162.09,0,2616083162.09
Department of Defense,2026-01-21,False,True,False,5,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,HPBTLPA2JR77,0,5,2599405904.52,0,2599405904.52
Department of Defense,2026-01-21,False,True,False,3,CHRISTUS HEALTH,C4A1GH8YACH4,0,3,2545882127.45,0,2545882127.45
Department of Defense,2026-01-21,False,True,False,3,"PATRIOT CONTRACT SERVICES, LLC",S9L9DZ8RBNL6,0,3,2523313991.58,0,2523313991.58
Department of Defense,2026-01-21,False,True,False,4,ROLLS-ROYCE CORPORATION,KHK8QYLFGLU1,0,4,2509940457.74,0,2509940457.74
Department of Defense,2026-01-21,False,True,False,1,JT4 LLC,JKCNBX9J66E6,0,1,2495967759.0,0,2495967759.0
Department of Defense,2026-01-21,False,True,False,4,LOCKHEED MARTIN CORPORATION,FFCACKWGH4W9,0,4,2482519536.2200003,0,2482519536.2200003
Department of Defense,2026-01-21,False,True,False,4,LOCKHEED MARTIN CORPORATION,KDT2YLB34NT6,0,4,2452794642.94,0,2452794642.94
Department of Defense,2026-01-21,False,True,False,3,SALLYPORT GLOBAL HOLDINGS INC,CJV9TZ1GS425,0,3,2410319601.8199997,0,2410319601.8199997
Department of Defense,2026-01-21,False,True,False,5,METRO MACHINE CORP.,J1FCJLK5LGU5,0,5,2394241062.12,0,2394241062.12
Department of Defense,2026-01-21,False,True,False,1,"NATIONAL AEROSPACE SOLUTIONS, LLC",KAA7ML3GU9A6,0,1,2391494528.17,0,2391494528.17
Department of Defense,2026-01-21,False,True,False,4,"LEIDOS, INC.",UE9QJD4KK1L6,0,4,2385713427.4900002,0,2385713427.4900002
Department of Defense,2026-01-21,False,True,False,5,GENERAL DYNAMICS LAND SYSTEMS - FORCE PROTECTION INC.,HDBEN6SW3531,0,5,2380657691.92,0,2380657691.92
Department of Defense,2026-01-21,False,True,False,1,"WORLD FUEL SERVICES EUROPE, LTD.",FJPVPZL4U5Y3,0,1,2370041646.8,0,2370041646.8
Department of Defense,2026-01-21,False,True,False,4,"AMENTUM TECHNOLOGY, INC.",H2RGSKWXKHQ5,0,4,2353995819.9399996,0,2353995819.9399996
Department of Defense,2026-01-21,False,True,False,4,PARSONS GOVERNMENT SERVICES INC.,NMBCAG1JBKL7,0,4,2319300876.34,0,2319300876.34
Department of Defense,2026-01-21,False,True,False,1,BAE SYSTEMS ORDNANCE SYSTEMS INC.,XLPYCXG31TV7,0,1,2317556244.03,0,2317556244.03
Department of Defense,2026-01-21,False,True,False,3,"GENERAL DYNAMICS-OTS, INC.",Q9SBTF8ELUP4,0,3,2266947393.04,0,2266947393.04
Department of Defense,2026-01-21,False,True,False,1,"GE ROLLS-ROYCE FIGHTER ENGINE TEAM, LLC",N5LTY4B1STM3,0,1,2260452544.7,0,2260452544.7
Department of Defense,2026-01-21,False,True,False,3,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,0,3,2251929270.08,0,2251929270.08
Department of Defense,2026-01-21,False,True,False,2,"KWAJALEIN RANGE SERVICES, LLC",D5SMKR7SRGP5,0,2,2211665791.31,0,2211665791.31
Department of Defense,2026-01-21,False,True,False,1,MERCK SHARP & DOHME LLC,FCFDA78HKKG2,0,1,2205000834.0,0,2205000834.0
Department of Defense,2026-01-21,False,True,False,3,"THE MISSION ESSENTIAL GROUP, LLC",VYSKHCEJKX47,0,3,2196814709.17,0,2196814709.17
Department of Defense,2026-01-21,False,True,False,1,WASHINGTON DEMILITARIZATION COMPANY LLC,TZ8LF7MPFCC7,0,1,2143099331.38,0,2143099331.38
Department of Defense,2026-01-21,False,True,False,2,"BRIGHTON MARINE, INC.",MEPHSGELBYB5,0,2,2138151050.37,0,2138151050.37
Department of Defense,2026-01-21,False,True,False,2,INTERNATIONAL OIL TRADING COMPANY LLC,T867JYSN8AQ6,0,2,2132465619.1000001,0,2132465619.1000001
Department of Defense,2026-01-21,False,True,False,3,"LEIDOS, INC.",FNQDFB8Z8QA8,0,3,2117375307.99,0,2117375307.99
Department of Defense,2026-01-21,False,True,False,3,DOMESTIC AWARDEES (UNDISCLOSED),KA5HQCLKUVW1,0,3,2116409306.78,0,2116409306.78
Department of Defense,2026-01-21,False,True,False,2,NORTHROP GRUMMAN SYSTEMS CORPORATION,LEMLXG994AU3,0,2,2090846851.86,0,2090846851.86
