Job Title,Program,Prime,Location,Hiring Manager Search,Program Manager Search,Recruiter Search,Subcontracts Search,HR BP Search
Sr ISSE,Integrated Base Defense Security System,Leidos,"Reston, VA","""Hiring Manager"" AND ""Leidos"" AND ""Reston""","""Program Manager"" AND ""Leidos"" AND ""Reston""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Reston""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Reston"""
Deployed Support Specialist Mid- Pensacola,SITEC III – Enterprise Operations & Main,Peraton,"Pensacola, FL","""Hiring Manager"" AND ""Peraton"" AND ""Pensacola""","""Program Manager"" AND ""Peraton"" AND ""Pensacola""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Pensacola""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Pensacola"""
Sr Network Engineer,Integrated Base Defense Security System,Leidos,"Reston, VA","""Hiring Manager"" AND ""Leidos"" AND ""Reston""","""Program Manager"" AND ""Leidos"" AND ""Reston""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Reston""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Reston"""
IT System Engineer,Navy Aegis Combat System Modernization,Lockheed Martin,"Fort Worth, TX","""Hiring Manager"" AND ""Lockheed Martin"" AND ""Fort Worth""","""Program Manager"" AND ""Lockheed Martin"" AND ""Fort Worth""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Lockheed Martin"" AND ""Fort Worth""","(""Subcontracts"" OR ""Supplier Management"") AND ""Lockheed Martin""","""HR Business Partner"" AND ""Lockheed Martin"" AND ""Fort Worth"""
PRICING ANALYST - SECRET CLEARANCE,Advanced Battle Management System,Multi,"Colorado Springs, Colorado","""Hiring Manager"" AND ""Multi"" AND ""Colorado Springs""","""Program Manager"" AND ""Multi"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Colorado Springs"""
DEVSECOPS ENGINEER - SECRET CLEARANCE,Global Service Management – Operations I,Leidos,"Huntsville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Huntsville""","""Program Manager"" AND ""Leidos"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Huntsville"""
MECHANICAL ENGINEER - SECRET CLEARANCE,Ground-Based Midcourse Defense,Boeing,"Huntsville, Alabama","""Hiring Manager"" AND ""Boeing"" AND ""Huntsville""","""Program Manager"" AND ""Boeing"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Boeing"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Boeing""","""HR Business Partner"" AND ""Boeing"" AND ""Huntsville"""
ELECTRICAL ENGINEER - SECRET CLEARANCE,Aegis Ballistic Missile Defense / Aegis ,Lockheed Martin,"Huntsville, Alabama","""Hiring Manager"" AND ""Lockheed Martin"" AND ""Huntsville""","""Program Manager"" AND ""Lockheed Martin"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Lockheed Martin"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Lockheed Martin""","""HR Business Partner"" AND ""Lockheed Martin"" AND ""Huntsville"""
SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,DIA Information Systems Engineering Offi,Leidos,"Niskayuna, New York","""Hiring Manager"" AND ""Leidos"" AND ""Niskayuna""","""Program Manager"" AND ""Leidos"" AND ""Niskayuna""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Niskayuna""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Niskayuna"""
SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,Aegis Ballistic Missile Defense / Aegis ,Lockheed Martin,"Huntsville, Alabama","""Hiring Manager"" AND ""Lockheed Martin"" AND ""Huntsville""","""Program Manager"" AND ""Lockheed Martin"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Lockheed Martin"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Lockheed Martin""","""HR Business Partner"" AND ""Lockheed Martin"" AND ""Huntsville"""
FPGA DESIGN ENGINEER - SECRET CLEARANCE,"EDIS – Engineering, Development, Integra",SAIC,"Plymouth, Minnesota","""Hiring Manager"" AND ""SAIC"" AND ""Plymouth""","""Program Manager"" AND ""SAIC"" AND ""Plymouth""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Plymouth""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Plymouth"""
SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE),GMD Weapon System (Ground C2),Northrop Grumman,"Tucson, Arizona","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Tucson""","""Program Manager"" AND ""Northrop Grumman"" AND ""Tucson""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Tucson""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Tucson"""
HELP DESK SUPPORT SPEC I,Battlefield Information Collection & Exp,GDIT,"Detroit, Michigan","""Hiring Manager"" AND ""GDIT"" AND ""Detroit""","""Program Manager"" AND ""GDIT"" AND ""Detroit""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Detroit""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Detroit"""
SECRET/INTERIM CLEARED OUTSIDE MACHINIST,Battlefield Information Collection & Exp,GDIT,"Chesapeake, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Chesapeake""","""Program Manager"" AND ""GDIT"" AND ""Chesapeake""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Chesapeake""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Chesapeake"""
CLEARED MARINE ELECTRICIAN,Army IT Enterprise Mgmt Systems Solution,CACI,"Norfolk, Virginia","""Hiring Manager"" AND ""CACI"" AND ""Norfolk""","""Program Manager"" AND ""CACI"" AND ""Norfolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Norfolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Norfolk"""
SECRET VULNERABILITY PENETRATION TESTER,DISA JWCC – Joint Warfighting Cloud Capa,Amazon,"Aberdeen Proving Ground, Maryland","""Hiring Manager"" AND ""Amazon"" AND ""Aberdeen Proving Ground""","""Program Manager"" AND ""Amazon"" AND ""Aberdeen Proving Ground""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Amazon"" AND ""Aberdeen Proving Ground""","(""Subcontracts"" OR ""Supplier Management"") AND ""Amazon""","""HR Business Partner"" AND ""Amazon"" AND ""Aberdeen Proving Ground"""
MODEL BASED DEFINITION ENGINEER,Army Enterprise Service Management Frame,SAIC,"Middletown, Connecticut","""Hiring Manager"" AND ""SAIC"" AND ""Middletown""","""Program Manager"" AND ""SAIC"" AND ""Middletown""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Middletown""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Middletown"""
