Program Name,Acronym,Agency,BD Priority,Prime Contractor,Contract Value,Recompete Date,Period of Performance,Key Locations,Contract Number
Army ALTESS Cloud Hosting,ALTESS,Army,,Leidos,"$4,813,063,024.90",,,Radford VA; Fort Belvoir VA,HHSN261200800001E
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,,CACI,$3M,,,Secret → TS/SCI,W15QKN15C0049
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,,CACI,$3M,,,TS/SCI,W15QKN15C0049
Army Enterprise Service Desk,AESD,Army,,SAIC,$757M,,,24×7 CONUS call centers; virtual & global remote support,FA877319FA023
Army Enterprise Service Management Framework,AESMF,Army,,SAIC,"$39,320,458.07",,,Secret / TS,W15QKN19F1290
Army Futures Command – Project Convergence,,Army,,SAIC (major integrator; autonomy & AI work),"$39,320,458.07",,,Secret,W15QKN19F1290
Army Integrated Battle Command System,IBCS,Army,,Northrop Grumman,$2.7B,,,Huntsville AL; Fort Sill OK; distributed test ranges,HQ085621C0003
Army Integrated Battle Command System Support,IBCS,Army,,Northrop Grumman (prime); CACI (support),Multi-$B,,,Huntsville AL; White Sands NM; Fort Bliss TX,W15QKN15C0049
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,,CACI,$880M,,,Arlington VA; Springfield VA; National Guard sites nationwide,47QFRA19F0011
Army ITES-3S,ITES-3S,Army,High,135 primes,$12.1B,,"January 1, 2018 → January 1, 2027",Army-wide,
Army Missile & Space R&D Support (Huntsville),,Army,,Dynetics; Northrop teams,"$10,009,419,769.13",,,Huntsville AL,F4261098C0001
Army Next-Gen C2 Prototype,NGC2,Army,,Anduril,$100M,,,Fort Irwin test sites,FA882024FB003
Army Research Lab / Adelphi Labs,ARL,Army,,SAIC,"$39,320,458.07",,,Secret,W15QKN19F1290
Army RS3 (Expanded PEO EIS Listing),RS3,Army,Medium,"Multiple (Belcan, SAIC, many)",$37B,,"January 1, 2018 → January 1, 2028",U.S. Army CONUS/OCONUS,W15QKN19F1290
ARNG G-2 Intelligence IT Support,,Army,Medium,SAIC,"$39,320,458.07",,,"Guard intel sites (e.g., Fort Belvoir)",W15QKN19F1290
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,Northrop Grumman,"$10,801,259,923.19",,,Roy UT; Colorado Springs CO; Hill AFB UT,FA821920C0006
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,,Lockheed Martin,"$35,135,514,910.20",,,Various locations,N0001917C0001
Basic Ordering Agreement (NG BOA),BOA,Other,,Northrop Grumman,"$10,801,259,923.19",,,"Roy, UT; Hill AFB; Colorado Springs, CO",FA821920C0006
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,Northrop Grumman,"$10,801,259,923.19",,,Roy UT; Colorado Springs CO; Hill AFB UT,FA821920C0006
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Medium,Northrop Grumman,"$10,801,259,923.19",,,Roy UT; Colorado Springs CO; Hill AFB UT,FA821920C0006
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,,GDIT (incumbent pre-MPE),$5B,,,Worldwide coalition networks,19AQMM18C0185
Battlefield Information Collection & Exploitation System,BICES,DoD,,GDIT,"$1,495,085,754.52",,,Norfolk VA; Tampa FL; Doral FL; EU sites,19AQMM18C0185
BICES Defense Intelligence Agency Variant,BICES,DIA,,CACI + Leidos + Peraton + SAIC (various subs),$500M,,,Offutt AFB; RAF Molesworth,FA251822F0034
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,,GDIT,$881M,,,EUCOM / CENTCOM / PACOM nodes,19AQMM18C0185
BOA (General Staff Augmentation),BOA,Other,High,Northrop Grumman,"$10,801,259,923.19",,,Roy UT; Colorado Springs CO; Hill AFB,FA821920C0006
BOA (Northrop Surge),BOA,Other,,Northrop Grumman,"$10,801,259,923.19",,,Roy UT; Colorado Springs CO; Hill AFB,FA821920C0006
Business Operations & Analytics,BOA,DoD,Medium,Northrop Grumman,Multi-$M,,,Roy UT; Hill AFB UT; Colorado Springs CO,FA821920C0006
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,,Lockheed Martin,$5B,,,Colorado Springs; Huntsville AL,W31P4Q20C0023
CAAC (Peraton),CAAC,DoD,🟡 Medium,Peraton,"$487,767,432.14",,,Secret,47QFCA19F0033
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,,CACI,$446M,,,Worldwide SATCOM tracking stations,FA882316C0004
CBP Enterprise IT Support,CBP-Peraton,DHS,Medium,Peraton,"$609,128,623.96",,,CBP sites nationwide,GST0011AJ0025
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Medium,ManTech (TPVS/BISS); CACI (BISS follow-on),"$251,830,777.48",,,TS (some SCI),70B04C20F00001357
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,,Scale AI,$100M,,,DoD secure enclaves,W911QX24F0053
CENTCOM Comms Tech Support V,CTSS V,DoD,,GovCIO (Salient CRGT),$865M,,,20 countries (SW Asia AOR),36C10B22N10030034
CENTCOM Enterprise IT Modernization,,DoD,,GDIT,$922M,,,MacDill AFB; CENTCOM sites OCONUS,19AQMM18C0185
CISA Enterprise Support (CACI),CISA-CACI,DHS,,CACI,"$708,253,079.87",,,NCR,47QFRA19F0011
Cloud One,Cloud One,Air Force,,SAIC,$727M,,,Hanscom AFB; remote,FA877319FA023
Cloud One (USAF Cloud Program),Cloud One,Air Force,,SAIC,$727M,,,Hanscom AFB; remote,FA877319FA023
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,Peraton / SAIC (indicative),"$600,708,181.07",,,CMS,47QFCA20F0015
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,Northrop Grumman,"$2,395,436,919.18",,,Colorado Springs; Huntsville,HQ085621C0003
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,Lockheed Martin,Multi-$B,,,Huntsville / Schriever,W31P4Q20C0023
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Medium,Northrop Grumman,"$2,395,436,919.18",,,Colorado Springs CO; Huntsville AL,HQ085621C0003
"Command and Control, Battle Management, Communications",C2BMC,MDA,,Lockheed Martin,"$48,066,473,048.89",,,Colorado Springs CO; Huntsville AL (indicative),DEAC0494AL85000
Common Open Operational Launch Range,COOLR,Space Force,,Lockheed Martin (indicative),"$35,135,514,910.20",,,Ranges (test ranges),N0001917C0001
Comms Technical Support V,CTSS V,DoD,,GovCIO (Salient CRGT),$865M,,,SW Asia AOR + MacDill AFB reach-back,36C10B22N10030034
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,CACI (via L-3 NSS acquisition),$446M,,,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",FA882316C0004
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,CACI,$446M,,,Schriever SFB; worldwide tracking,FA882316C0004
Conventional Prompt Strike,CPS,Army,,Lockheed Martin,Multi-$B,,,Fleet & Army strategic sites,N0001917C0001
CTSS V (Expanded Listing),CTSS V,DoD,,GovCIO,$865M,,,Qatar; Kuwait; Bahrain; Iraq; etc.,36C10B22N10030034
Data Center & Cloud Optimization,DCCO,DHS,,Peraton / Leidos (indicative),"$609,128,623.96",,,NCR,GST0011AJ0025
DC3 – Defense Cyber Crime Center,DC3,DoD,,Peraton,"$487,767,432.14",,,Linthicum MD,47QFCA19F0033
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,,Peraton,"$487,767,432.14",,,TS/SCI,47QFCA19F0033
Defense Cyber Crime Center,DC3,DoD,,Peraton,"$487,767,432.14",,,Linthicum MD,47QFCA19F0033
Defense Enclave Services,DES,DoD,,Leidos,$11.5B,,,Fort Belvoir VA (HQ),HHSN261200800001E
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,,Leidos,$11.5B,,,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,HHSN261200800001E
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,High,Leidos,$11.5B,,,Fort Belvoir; multiple 4th Estate bases,HHSN261200800001E
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,,Microsoft,"$998,940,122.69",,,Crystal City VA; remote,47QFCA22F0047
Defense Enterprise Office Solutions,DEOS,DISA,,CSRA / Leidos (team),"$4,813,063,024.90",,,DoD & federal offices CONUS/OCONUS,HHSN261200800001E
Defense Health Agency Desktop to Datacenter,D2D,DoD,,GDIT,$4.3B,,,San Antonio TX; NCR; Hawaii,19AQMM18C0185
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,,Leidos,$4.3B,,,San Antonio TX; Falls Church VA,HHSN261200800001E
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,,CACI,"$708,253,079.87",,,Colorado Springs; Fort Meade,47QFRA19F0011
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,,Peraton,"$600,708,181.07",,,DFAS nationwide,47QFCA20F0015
DFAS Enterprise Support,DFAS-Peraton,DoD,Medium,Peraton,"$600,708,181.07",,,DFAS sites,47QFCA20F0015
DGFS (RTX),DGFS,DoD,,Raytheon (RTX),"$8,688,654,906.89",,,Tucson AZ + other sites,N0001918C1021
DHS Data Center 2,DC2,DHS,,GDIT / Peraton (indicative),"$609,128,623.96",,,DC2 sites,GST0011AJ0025
DHS Enterprise IT Services I,EITS I,DHS,,Leidos / SAIC (indicative),"$39,874,973.53",,,DHS HQ,FA877319FA023
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,,CACI,"$681,999,277.86",,,Offutt AFB NE; Stuttgart Germany,47QFRA24F0005
DIA EMERALD,EMERALD,NGA,,Peraton (Perspecta heritage),"$1,414,704,681.90",,,TS/SCI,80GSFC19C0063
DIA Information Systems Engineering Office,ISEO,DIA,,Leidos,$400M,,,Reston VA; JBAB DC,HHSN261200800001E
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,,Leidos,$401M,,,JBAB DC; Reston VA,HHSN261200800001E
DIA Infrastructure Services Ops,ISEO,DIA,,Leidos,$401M,,,DIA HQ (DC) + field sites,HHSN261200800001E
DIA ISEO,ISEO,DIA,,Leidos,$400M,,,Washington DC (Bolling); remote sites,NSFDACS1219442
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,,Leidos,$400M,,,Washington DC; Fort Meade MD,HHSN261200800001E
DIA IT Sustainment & Engineering Office,ISEO,DIA,High,Leidos,$400M,,,Reston VA; JBAB DC,HHSN261200800001E
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,,Leidos,$400M,,,JBAB DC; DIA field sites,NSFDACS1219442
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,High,Leidos,$400M,,,JBAB DC; Reston VA,HHSN261200800001E
DIA IT Sustainment (ISEO),ISEO,DIA,,Leidos,$400M,,,Reston VA; Bolling AFB; CO,NSFDACS1219442
DIA SITE III,SITE III,DIA,,Leidos,$12.6B,,,Worldwide CONUS/OCONUS,NSFDACS1219442
DIA SITE III IDIQ,SITE III,DIA,,"Leidos, CACI, others","$681,999,277.86",,,National Harbor MD (conference note),47QFRA24F0005
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,High,Multi-award primes,$12.6B,,"January 1, 2021 → January 1, 2031",JBAB DC; DIA field sites,
DIMS (Peraton),DIMS,Air Force,,Peraton,"$600,708,181.07",,,Secret,47QFCA20F0015
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,,CACI,$17.5B,,,Fort Meade MD; Scott AFB IL,47QFRA19F0011
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,,Leidos,$6.52B,,,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,89243318CFE000003
DISA GSM-O II,GSM-O II,DISA,,Leidos,$6.52B,,,Worldwide (DoDIN NOCs),HHSN261200800001E
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,High,Leidos,$6.5B,,,Scott AFB; Fort Meade,HHSN261200800001E
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,,Amazon; Microsoft; Google; Oracle,$9B,,,Global DoD; Crystal City VA,W91CRB20F0448
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,Medium,GDIT,"$1,495,085,754.52",,,Fort Meade MD,19AQMM18C0185
Distributed Common Ground System (AF),DCGS,Air Force,Medium,BAE; multiple,"$2,118,906,843.81",,,TS/SCI,FA821413C0001
DLA J6 Enterprise Technology Services,DLA JETS,DoD,,CACI; Deloitte; SAIC; GDIT,$6B,,,Fort Belvoir; Columbus OH; Philadelphia PA,SAQMMA12C0130
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,,Leidos; GDIT; Booz Allen; CACI; Peraton,$6B,,,Fort Belvoir; Columbus OH; Scott AFB IL,47QFCA21F0018
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,,CACI; GDIT,$11.9B,,,NCR; remote,19AQMM18C0185
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,,Leidos; Cerner; Accenture,Multi-$B,,,MTFs nationwide,HHSN261200800001E
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,,SAIC,$586M,,,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),FA877319FA023
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,,CACI (incumbent),$190M,,,Pentagon; NCR,47QFRA19F0011
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Medium,Leidos,$450M,,,Pentagon; JB Andrews,HHSN261200800001E
DSS Support,DSS Support,DoD,Medium,Northrop (mention); others,"$10,801,259,923.19",,,NCR,FA821920C0006
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,,CACI,$28B,,,Fort Belvoir; Kirtland AFB,GSQ0017AJ0006
DTRA Integrated IT Support Services,I3TS,DoD,,Leidos,$205M,,,Fort Belvoir; Kirtland AFB,70T04019C9DAP3006
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,Leidos,$205M,,,Fort Belvoir VA; Kirtland AFB NM,70T04019C9DAP3006
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,,Leidos,$205M,,,Fort Belvoir; Kirtland AFB,HHSN261200800001E
DTRA IT Support Modernization,I3TS,DoD,,Leidos,$205M,,,Fort Belvoir; Kirtland AFB,70T04019C9DAP3006
DTRA IT Support Services,I3TS,DoD,,Leidos,$205M,,,Fort Belvoir; Kirtland AFB,HHSN261200800001E
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,SAIC,$655M,,,Los Angeles AFB; Colorado Springs; Huntsville,FA251822F0034
EDIS / HADES (follow-on),EDIS/HADES,Space Force,,SAIC / Army,"$39,874,973.53",,,LAAFB; CONUS ISR nodes,FA877319FA023
EITaaS (Pilot – USAF),EITaaS,Air Force,,CACI (pilot),$50M,,,Multiple bases,FA882316C0004
Engineering Development & Integration Support,EDIS,Space Force,,SAIC (via Engility),$655M,,,Los Angeles AFB; Colorado Springs,FA251822F0034
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,CACI,$1.3B,,,Stuttgart DE; Italy; Djibouti; other OCONUS,FA882316C0004
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,,CACI,$1.3B,,,Stuttgart DE + 60+ sites across Europe/Africa,47QFRA19F0011
EUCOM/AFRICOM IT & Comms,,DoD,,CACI,$1.3B,,,Stuttgart + 60 EUCOM/AFRICOM sites,GSQ0017AJ0006
EUCOM/AFRICOM IT & Comms Support,,Air Force,,CACI,$1.3B,,,Europe & Africa – 60+ sites,FA882316C0004
F-35 Sustainment,F-35 Sustainment,DoD,,Lockheed Martin,Multi-$B,,,Global F-35 bases,N0001917C0001
Fort Eisenhower (Gordon) IT Support,,Army,,SAIC,"$39,320,458.07",,,Augusta GA,W15QKN19F1290
Future Operationally Resilient Ground Evolution,FORGE,Space Force,,Raytheon (Mission Data Apps); BAE (C2),$600M,,,Buckley SFB; Peterson SFB; Aurora CO,N0001918C1021
GBS (Global Broadcast Service),GBS,DISA,Low,L3Harris (historical),"$421,512,821.00",,,Tampa FL (MacDill AFB); Hawaii; CONUS,N0003022C2001
GBSD Sentinel Missile Modernization,GBSD,Air Force,,Northrop Grumman,"$10,801,259,923.19",,,Ogden UT; Hill AFB; Vandenberg SFB,FA821920C0006
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,,CACI,$526M,,,CONUS & Pacific posts,W15QKN15C0049
GENMOD / VMOD (Network Modernization),GENMOD,Army,,CACI,$526M,,,Pacific + CONUS,W15QKN15C0049
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,,CACI,"$733,720,754.55",,,CONUS posts,W15QKN15C0049
Global Broadcast Service,GBS,DISA,,L3Harris,"$421,512,821.00",,,Tampa FL; Hawaii; CONUS,N0003022C2001
Global Command and Control System – Joint,GCCS-J,DISA,,Northrop Grumman,"$10,801,259,923.19",,,Fort Meade MD; Scott AFB IL,FA821920C0006
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Medium,Leidos,$400M,,"January 1, 2019 → January 1, 2027",Suffolk VA,HHSN261200800001E
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,,Leidos,$6.5B,,,Scott AFB IL; Ft Meade MD; OCONUS nodes,NNJ09HD46C
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,,Leidos,$6.5B,,,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,NNJ09HD46C
Global Service Management – Operations II,GSM-O II,DISA,,Leidos,$6.52B,,,Scott AFB; Ft Meade; OCONUS,89243318CFE000003
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Medium,Leidos,$6.5B,,"January 1, 2018 → January 1, 2028",Scott AFB; Ft Meade; global,89243318CFE000003
Global Solutions Management – Operations II,GSMO II,DISA,,Leidos,"$1,306,805,321.14",,,Scott AFB; Ft Meade; Hill AFB,NNJ09HD46C
GMD Weapon System (Ground C2),GWS (GMD),MDA,🟠 High,Northrop Grumman,$3.3B,,"January 1, 2022 → January 1, 2027",Huntsville AL; Schriever SFB; Ft Greely AK,HQ085621C0003
GMD Weapon System Modernization,GWS (GMD),MDA,,Northrop Grumman,$3.3B,,,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,HQ085621C0003
GPS Next-Gen Operational Control System,GPS OCX,Space Force,,Raytheon Intelligence & Space,$7.6B,,,Colorado Springs CO (Schriever SFB),FA880710C0001
GPS Operational Control System (sustainment),GPS OCX,Space Force,,Raytheon,$7.7B,,,Aurora CO; Schriever SFB,FA880710C0001
GRASP (Raytheon/Peraton),GRASP,DoD,,Peraton,"$1,414,704,681.90",,,Secret,80GSFC19C0063
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,High,Northrop Grumman,$13.3B,,"January 1, 2020 → January 1, 2039",Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,FA821920C0006
Ground-Based Interceptor,GBI,MDA,,Boeing (lead),Multi-$B,,,Vandenberg; Ft Greely,HQ085621C0003
Ground-Based Midcourse Defense,GMD,MDA,,Boeing (prime); Northrop & Raytheon (NGI),Multi-$B,,,Fort Greely; Vandenberg; Schriever,HQ085621C0003
Ground-Based Strategic Deterrent,GBSD,Air Force,,Northrop Grumman,Multi-$B,,,Roy UT; Hill AFB UT; Redondo Beach CA,FA821920C0006
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,,Northrop Grumman,Multi-$B,,,Hill AFB; Offutt AFB (nuclear C3 analysts),FA821920C0006
HHS Advanced Secure Data Repository,ASDR,DoD,Medium,GDIT / SAIC (indicative),"$1,495,085,754.52",,,NIH / HHS,19AQMM18C0185
Hope 2.0 (prototype),Hope 2.0,Space Force,,SAIC,"$39,874,973.53",,,TS,FA877319FA023
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,,Northrop & L3Harris (co-primes),$155M,,,Orbit prototypes; SDA ground centers,HQ085621C0003
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,,Amentum,$441M,,,Camp HM Smith HI; Pacific sites,0004
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Medium,Leidos,$400M,,,Washington DC; Reston VA,HHSN261200800001E
INSCOM GILE Support,GILE,Army,,CACI,$855M,,,Fort Belvoir VA; NCR,W15QKN15C0049
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,High,GDIT,"$1,359,959,159.89",,,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,W56HZV19C0036
INSCOM IT Support Services III,I2TS-III,Army,,GDIT,$300M,,,Fort Belvoir; worldwide,W56HZV19C0036
Integrated Air & Missile Defense,IAMD,Army,,Raytheon,$1B,,,Huntsville AL,W31P4Q15C0022
Integrated Base Defense Security System,IBDS,Army,,Leidos,"$862,620,736.01",,,Fort Meade; Aberdeen MD,70T04019C9DAP3006
Integrated Digital Engineering Environment,IDEE,Air Force,,Northrop Grumman,"$10,801,259,923.19",,,Ogden UT,FA821920C0006
Integrated Situational Awareness Environment,inSITE,Army,,Northrop Grumman,"$10,801,259,923.19",,,Huntsville AL; Colorado Springs CO,FA821920C0006
Integrated Situational Awareness Tool Environment,inSITE,DISA,High,Northrop Grumman,"$10,801,259,923.19",,,Huntsville AL; Colorado Springs CO,FA821920C0006
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,High,Northrop Grumman,"$10,801,259,923.19",,,Huntsville AL; Colorado Springs CO,FA821920C0006
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,,Leidos,$400M,,,Washington DC; Quantico VA; Bolling AFB,70T04019C9DAP3006
Intelligence Community Infrastructure Support,I2TS-Next,Army,,Jacobs,"$263,095,350.76",,,Fort Belvoir VA; Korea (possible),140R4024C0013
Intelligence Systems Enterprise Operations,ISEO,DIA,High,Leidos,"$4,813,063,024.90",,,Reston VA; DIA HQ JBAB,HHSN261200800001E
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,,Northrop Grumman,$406M,,,Huntsville AL; Colorado Springs CO,FA821920C0006
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,,CACI,$880M,,,NCR; Guard HQs,W15QKN15C0049
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,High,Multiple (IDIQ MA pool),$6B,,"January 1, 2024 → January 1, 2029",CONUS + OCONUS,
JGLASS II – Shared Services,JGLASS II,DHS,Medium,Peraton / SAIC (indicative),"$609,128,623.96",,,NCR,GST0011AJ0025
Joint Staff J7 Support,JS J7,DoD,,HII,$50M,,,Suffolk VA; Quantico VA; Ft Leavenworth,19AQMM18C0185
Joint Tactical Ground Station Early Warning,JTAGS,Army,,Northrop (prime/sub),"$8,447,894,780.67",,,Colorado Springs; Germany; Redondo Beach,N0001918C1037
Joint Tactical Ground Stations,JTAGS,Space Force,,Northrop Grumman,Multi-$M,,,Colorado Springs CO; Germany,FA821920C0006
Joint Warfighting Cloud Capability,JWCC,DoD,High,AWS; Microsoft; Google; Oracle,$9B,,"January 1, 2022 → January 1, 2027",DoD/IC sites,W91CRB20F0448
JSP Enterprise IT,JSP,DoD,,CACI,$190M,,,Pentagon / NCR,47QFRA19F0011
JSP ETM (Pentagon IT),JSP ETM,DoD,,CACI,$190M,,,Pentagon / NCR,GSQ0017AJ0006
Justified (SAP Security),Justified,Air Force,,SAIC (inferred),"$39,874,973.53",,,Hanscom AFB; JBAB DC,FA877319FA023
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,,Booz Allen Hamilton,"$1,379,603,153.12",,,Hanscom AFB; JBAB DC,47QFCA21F0018
JWCC – ATAT Expansion Path,JWCC,DISA,Medium,AWS; Microsoft; Google; Oracle,$9B,,"January 1, 2023 → January 1, 2028",Global DoD; CCPO,W91CRB20F0448
Kennedy Space Center BOSS,KSC BOSS,NASA,,Jacobs / Amentum (past),"$2,099,373,524.58",,,Kennedy Space Center FL,NNK13MA14C
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,,GDIT,"$1,495,085,754.52",,,Los Alamos NM,19AQMM18C0185
LANL/NNSA VTC Support,,NSA,,GDIT,"$1,495,085,754.52",,,Los Alamos NM,19AQMM18C0185
LATERALUS (IC Space ISR),LATERALUS,NSA,,Raytheon,$100M,,,CO / NoVA SCIFs,N0001918C1021
LATERALUS (Space ISR),LATERALUS,NSA,,Raytheon,"$8,688,654,906.89",,,CO / NoVA,N0001918C1021
LOGCAP V,LOGCAP V,Army,,KBR; V2X; Fluor; Amentum,$82B,,,Global theaters,W52P1J19F0394
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,,KBR; V2X; Fluor; Amentum,$82B,,,Global,W52P1J19F0394
LRAAM (Long Range AAM),LRAAM,Air Force,Medium,Raytheon (indicative),"$3,648,685,783.01",,,Tucson AZ,FA861108C2896
Managed IT Services (USTRANSCOM),MITS,DoD,,SAIC,$150M,,,Scott AFB IL,FA251822F0034
