Rank,Program_Name,Prime_Contractor,Contract_Value,Est_Subaward_Potential,Key_Locations,Clearance,PTS_Status,Program_Type,Tier,Top_Roles,Contract_IDs,Action_Priority
21,F/A-18 Super Hornet,Boeing,$16.9B,$2-3B+,St. Louis MO,"Secret, TS/SCI",NOT WORKED,Aircraft,MEGA,"Avionics, Flight Test, Software, Mission Systems","N0001904C0014, N0001909C0019",MEDIUM
22,EELV Launch Services,United Launch Services,$9.5B,$1-2B+,"Decatur AL, Denver CO, Cape Canaveral FL","Secret, TS/SCI",NOT WORKED,Space,MAJOR,"Launch Engineers, Software, Systems Integration",FA881113C0003,MEDIUM
23,Next-Gen OPIR,Lockheed Martin,$7B,$1-2B+,"Sunnyvale CA, Denver CO","TS/SCI",NOT WORKED,Space,MAJOR,"Space Systems Engineers, Software, Sensors",FA881018C0005,MEDIUM
24,ITES-3S,135 Primes,$12.1B,$2-3B+,Army-wide,Secret,NOT WORKED,IT Services,MAJOR,"NetOps, Cyber, Software, Help Desk",IDIQ Vehicle,HIGH
25,RS3,261 Primes,$37.4B,$5-10B+,Army/DoD CONUS/OCONUS,Secret,NOT WORKED,Services,MAJOR,"C4ISR Engineers, IT, Logistics",IDIQ Vehicle,HIGH
26,ARCYBER IAE,Peraton,$889M,$200-300M,"Fort Meade MD, Fort Eisenhower GA","TS/SCI w/ Poly",NOT WORKED,Cyber,SIGNIFICANT,"Cyber Operators, Hunt Teams, Intel Analysts",47QFCA19F0033,HIGH
27,Army AESD,SAIC,$757M,$150-250M,24x7 Call Centers,Secret,NOT WORKED,IT Services,SIGNIFICANT,"Tier 1-2 Support, ServiceNow, SysAdmin",FA877319FA023,MEDIUM
28,BICES-X/MPE,GDIT,$881M,$150-200M,EUCOM/CENTCOM/PACOM,"TS/SCI",NOT WORKED,Coalition IT,SIGNIFICANT,"Coalition IT, CDS Support, Network Engineers",19AQMM18C0185,MEDIUM
29,ITEMSS,CACI,$880M,$150-200M,Arlington VA,Secret,NOT WORKED,IT Services,SIGNIFICANT,"Agile Developers, Cyber Engineers, Trainers",47QFRA19F0011,MEDIUM
30,BIM Task Orders,CACI,$734M,$100-150M,Chantilly VA,"TS/SCI",NOT WORKED,IT Services,SIGNIFICANT,"Network Engineers, OCONUS Support",W15QKN15C0049,MEDIUM
31,F-22 Raptor Sustainment,Lockheed Martin,$8.8B,$1-2B,Fort Worth TX,"TS/SCI",NOT WORKED,Aircraft,MAJOR,"Sustainment Engineers, Software, Avionics",FA861108C2897,MEDIUM
32,Minuteman III Support,Northrop Grumman,$10B,$1.5-2B,Roy UT,"TS/SCI, Q Clearance",PARTIAL (BOA),Nuclear,MAJOR,"Systems Engineers, Software, Nuclear",F4261098C0001,LOW
33,F-15EX/FMS,Boeing,$18B,$2-3B,St. Louis MO,Secret,NOT WORKED,Aircraft,MAJOR,"Avionics, Software, Flight Test","FA863412C2651, FA863418C2701",MEDIUM
34,T-AO Fleet Oiler,NASSCO,$5.8B,$800M-1.2B,San Diego CA,Secret,NOT WORKED,Naval,SIGNIFICANT,"Naval Systems, Electrical, Software",N0002416C2229,LOW
35,LPD-17 Amphibious,Huntington Ingalls,$10B,$1.5-2B,Pascagoula MS,Secret,NOT WORKED,Naval,MAJOR,"Naval Architects, Systems Engineers",N0002406C2222,LOW
36,CH-53K King Stallion,Sikorsky,$5.9B,$1-1.5B,Stratford CT,Secret,NOT WORKED,Aircraft,SIGNIFICANT,"Rotorcraft Engineers, Avionics, Test",FA862914C2403,LOW
37,C-130J Hercules,Lockheed Martin,$5.9B,$1-1.5B,Marietta GA,Secret,NOT WORKED,Aircraft,SIGNIFICANT,"Aircraft Systems, Avionics, Software",FA862514C6450,LOW
38,F-16 Block 70/72,Lockheed Martin,$5.3B,$800M-1.2B,Fort Worth TX,Secret,NOT WORKED,Aircraft,SIGNIFICANT,"Avionics, Software, Flight Test",FA861520F0001,LOW
39,SBIRS High,Lockheed Martin,$9.5B,$1.5-2B,Sunnyvale CA,"TS/SCI",NOT WORKED,Space,MAJOR,"Space Systems, Sensors, Software",F0470195C0017,MEDIUM
40,Milstar/AEHF,Lockheed Martin,$9B,$1-2B,Sunnyvale CA,"TS/SCI",NOT WORKED,Space,MAJOR,"Space Systems, SATCOM, Software",F0470102C0002,LOW
41,Boeing BMD Prime,Boeing,$18.7B,$3-5B,Huntsville AL,"TS/SCI",NOT WORKED,Missile Defense,MEGA,"BMD Systems, Software, Integration",HQ000601C0001,MEDIUM
42,AMRAAM Missile,Raytheon,$5.6B,$800M-1.2B,Tucson AZ,Secret,NOT WORKED,Missile,SIGNIFICANT,"Missile Engineers, Guidance, Test",W31P4Q15C0022,LOW
43,Standard Missile SM-3/6,Raytheon,$5.7B,$800M-1.2B,Tucson AZ,Secret,NOT WORKED,Missile,SIGNIFICANT,"Missile Engineers, Radar, Software",N0002405C5346,LOW
44,JLTV,Oshkosh,$6.1B,$1-1.5B,Oshkosh WI,Secret,NOT WORKED,Ground Vehicle,SIGNIFICANT,"Vehicle Systems, Electrical, Software",W56HZV15C0095,LOW
45,HMMWV,AM General,$14.6B,$2-3B,South Bend IN,Secret,NOT WORKED,Ground Vehicle,MEGA,"Vehicle Engineers, Production",DAAE0701CS001,LOW
46,FMTV Trucks,BAE Systems,$7B,$1-1.5B,Sealy TX,Secret,NOT WORKED,Ground Vehicle,SIGNIFICANT,"Vehicle Systems, Production",DAAE0703CS023,LOW
47,LOGCAP IV/V,Fluor/Amentum/KBR,$20B,$3-5B,OCONUS,Secret,NOT WORKED,Logistics,MEGA,"Logistics, Facilities, IT Support","W52P1J07D0007, 0005",MEDIUM
48,Aerospace Corp Engineering,Aerospace Corp,$7.6B,$500M-1B,"El Segundo CA, Colorado Springs CO","TS/SCI",NOT WORKED,Space,SIGNIFICANT,"Systems Engineers, Space Systems",FA880219C0001,LOW
49,JADC2/ABMS,Multiple,Multi-$B,TBD,"Eglin AFB FL, Hanscom AFB MA","Secret, TS",NOT WORKED,C2/Integration,EMERGING,"C2 Engineers, Software, Integration",Multiple,WATCH
50,Army NGC2 Prototype,Anduril,$100M+,$20-40M,"Fort Irwin CA, Costa Mesa CA",Secret,NOT WORKED,AI/Data,EMERGING,"AI/ML Engineers, Data Engineers",FA882024FB003,WATCH
