hts10,description_long,description_short,minyear,maxyear,mincid,maxcid,quantity_1,quantity_2,sitc,end_use_import,end_use_export,ag_code,sic,naics,hitech,flow
0102.21.0050,"CATTLE, PUREBRED BREEDING, FEMALE, LIVE, EXCEPT DAIRY","CATTLE, PUREBRED BREEDING FEMALE, LIVE, EXC DAIRY",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,12060,10140,0,NA,11211X,00,Both
0102.29.0000,"CATTLE, LIVE, OTHER THAN PUREBRED BREEDING ANIMALS","CATTLE, LIVE, OTHER THAN PUREBRED BREEDING ANIMALS",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00119,NA,00300,0,NA,11211X,00,Export
0102.29.2011,"COWS, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","COWS, DAIRY, LT 90 KG EA, LIVE, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,12060,NA,0,NA,11211X,00,Import
0102.29.2012,"COWS, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING","COWS, DAIRY, GT=90 KG EA, LIVE, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,12060,NA,0,NA,11211X,00,Import
0102.29.4024,"CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4028,"CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4034,"CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4038,"CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4054,"CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4058,"CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4062,"STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","STEERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4064,"BULLS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","BULLS, LIVE, IMMEDIATE SLAUGHTER, GT=320 KG NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4066,"COWS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","COWS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG EA NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4068,"HEIFERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","HEIFERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4072,"CATTLE, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, FOR BREEDING MALE GT=320 KG EA NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,12060,NA,0,NA,11211X,00,Import
0102.29.4074,"CATTLE, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, BREEDING, FEMALE, GT=320 KG EA NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,12060,NA,0,NA,11211X,00,Import
0102.29.4082,"CATTLE, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, MALE, WEIGHING GT=320 KG EACH, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.29.4084,"CATTLE, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, FEMALE, WEIGHING GT=320 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.31.0000,"BUFFALO, FOR PUREBRED BREEDING, LIVE","BUFFALO, FOR PUREBRED BREEDING, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,NA,10140,0,NA,11211X,00,Export
0102.31.0010,"BUFFALO, LIVE, PUREBRED BREEDING, MALE, OTHER THAN DAIRY","BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXC DAIRY",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,12060,NA,0,NA,11211X,00,Import
0102.31.0020,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE, OTHER THAN DAIRY","BUFFALO, LIVE, PUREBRED BREEDING, FEMALE EXC DAIRY",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,12060,NA,0,NA,11211X,00,Import
0102.39.0000,"BUFFALO, LIVE, NESOI","BUFFALO, LIVE, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00119,NA,00300,0,NA,11211X,00,Export
0102.39.0010,"BISON, LIVE","BISON, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,112990,00,Import
0102.39.0024,"BUFFALO, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0028,"BUFFALO, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0034,"BUFFALO, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0038,"BUFFALO, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0054,"BUFFALO, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0058,"BUFFALO, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0061,"BUFFALO, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",BUFFALO FOR IMMEDIATE SLAUGHTER GT=320 KG EA NESOI,2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0072,"BUFFALO, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","BUFFALO, LIVE FOR BREEDING MALE GT=320 KG EA NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,12060,NA,0,NA,11211X,00,Import
0102.39.0074,"BUFFALO, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","BUFFALO, LIVE, BREEDING, FEMALE GT=320 KG EA NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,12060,NA,0,NA,11211X,00,Import
0102.39.0082,"BUFFALO, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","BUFFALO, LIVE, MALE, WEIGHING GT=320 KG EACH NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.39.0084,"BUFFALO, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","BUFFALO, LIVE, FEMALE, WEIGHING GT=320 KG EA NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,KG,00119,00100,NA,0,NA,11211X,00,Import
0102.90.0000,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO","BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",1989,2019,1994-07-01,2019-03-01,Mixed,KG,00119,00100,00300,0,0211,11211X,00,Both
0102.90.0002,"BOVINES, LIVE, NESOI","BOVINES, LIVE, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00119,NA,00300,0,NA,11211X,00,Export
0102.90.2000,"COWS, LIVE, IMPORTED SPECIALLY FOR DAIRY PURPOSES","COWS, LIVE, IMPORTED SPECIALLY FOR DAIRY PURPOSES",1989,1989,1993-07-01,1993-07-01,Mixed,KG,00119,12060,NA,0,0241,NA,NA,Import
0102.90.2011,NA,NA,1990,2011,1994-07-01,2014-06-01,Mixed,KG,00119,12060,NA,0,0241,11211X,00,Import
0102.90.2012,NA,NA,1990,2011,1994-07-01,2014-06-01,Mixed,KG,00119,12060,NA,0,0241,11211X,00,Import
0102.90.4010,NA,NA,1996,2011,2000-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0279,112990,00,Import
0102.90.4020,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING LESS THAN 90 KG EACH",BOVINE ANIMALS LIVE NESOI LESS THAN 90 KG EACH,1989,1992,1993-07-01,1997-06-01,Mixed,KG,00119,00100,NA,0,0211,NA,NA,Import
0102.90.4024,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4028,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4030,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH","BOVINE ANIMALS, LIVE, NESOI, 90 KG TO 199 KG EACH",1990,1992,1994-07-01,1997-06-01,Mixed,KG,00119,00100,NA,0,0211,NA,NA,Import
0102.90.4034,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4038,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4040,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING 90 KG OR MORE BUT LESS THAN 320KG EACH","BOVINE ANIMALS, LIVE, NESOI, 90 KG TO 319 KG EACH",1989,1989,1993-07-01,1993-07-01,Mixed,KG,00119,00100,NA,0,0211,NA,NA,Import
0102.90.4050,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH","BOVINE ANIMALS, LIVE, NESOI, 200 KG TO 319 KG EACH",1990,1992,1994-07-01,1997-06-01,Mixed,KG,00119,00100,NA,0,0211,NA,NA,Import
0102.90.4054,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4058,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4060,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING 320 KG OR MORE EACH","BOVINE ANIMALS, LIVE, NESOI, 320 KG OR MORE EACH",1989,1991,1993-07-01,1996-06-01,Mixed,KG,00119,00100,NA,0,0211,NA,NA,Import
0102.90.4062,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4064,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4066,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4068,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4072,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,12060,NA,0,0211,11211X,00,Import
0102.90.4074,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,12060,NA,0,0211,11211X,00,Import
0102.90.4082,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0102.90.4084,NA,NA,1992,2011,1997-06-01,2014-06-01,Mixed,KG,00119,00100,NA,0,0211,11211X,00,Import
0103.10.0000,NA,NA,1989,2019,1993-07-01,2019-03-01,Mixed,NA,00131,12060,10140,0,0213,112210,00,Both
0103.91.0000,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 50 KG EACH","SWINE, LIVE, NESOI, WEIGHING LESS THAN 50 KG EACH",1989,2019,1993-07-01,2019-03-01,Mixed,KG,00139,00100,00300,0,0213,112210,00,Both
0103.91.0010,NA,NA,2003,2019,2004-02-01,2019-03-01,Mixed,KG,00139,00100,NA,0,NA,112210,00,Import
0103.91.0020,NA,NA,2003,2019,2004-02-01,2019-03-01,Mixed,KG,00139,00100,NA,0,NA,112210,00,Import
0103.91.0030,NA,NA,2003,2019,2004-02-01,2019-03-01,Mixed,KG,00139,00100,NA,0,NA,112210,00,Import
0103.92.0000,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH","SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH",1989,2019,1993-07-01,2019-03-01,Mixed,KG,00139,00100,00300,0,0213,112210,00,Both
0103.92.0010,NA,NA,2000,2019,2001-02-01,2019-03-01,Mixed,KG,00139,00100,NA,0,0213,112210,00,Import
0103.92.0020,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, BREEDING, EXCEPT PUREBRED, IMMEDIATE SLAUGHTER","SWINE, GT=50 KG EACH, LIVE, BREEDING, NESOI",2005,2019,2006-02-01,2019-03-01,Mixed,KG,00139,12060,NA,0,NA,112210,00,Import
0103.92.0090,NA,NA,2000,2004,2001-02-01,2005-02-01,Mixed,KG,00139,Mixed,NA,0,0213,112210,00,Import
0103.92.0091,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, EXCEPT IMMEDIATE SLAUGHTER, PUREBRED BREEDING, BREEDING","SWINE, GT=50 KG EACH, LIVE, NESOI",2005,2019,2006-02-01,2019-03-01,Mixed,KG,00139,12060,NA,0,NA,112210,00,Import
0104.10.0000,"SHEEP, LIVE","SHEEP, LIVE",1989,2019,1993-07-01,2019-03-01,Mixed,KG,00121,00100,00300,0,0214,112410,00,Both
0104.20.0000,"GOATS, LIVE","GOATS, LIVE",1989,2019,1993-07-01,2019-03-01,Mixed,NA,00122,00100,00300,0,0214,112420,00,Both
0105.11.0010,NA,NA,1989,2019,1993-07-01,2019-03-01,Mixed,NA,00141,12060,10140,0,0259,1123XX,00,Both
0105.11.0020,NA,NA,1989,2019,1993-07-01,2019-03-01,Mixed,NA,00141,12060,10140,0,0259,1123XX,00,Both
0105.11.0040,NA,NA,1989,2019,1993-07-01,2019-03-01,Mixed,NA,00141,00100,00300,0,0259,1123XX,00,Both
0105.12.0000,NA,NA,1996,2019,2000-06-01,2019-03-01,Mixed,NA,00141,00100,00300,0,0259,1123XX,00,Both
0105.13.0000,"DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE","DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00141,00100,00300,0,NA,1123XX,00,Both
0105.14.0000,"GEESE, WEIGHING NOT MORE THAN 185 G EACH, LIVE","GEESE, WEIGHTING NOT MORE THAN 185 G EACH, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00141,00100,00300,0,NA,1123XX,00,Both
