Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Apex Systems,3016779,Network Security Engineer,"Arlington, VA",,Contract,2026-01-07,Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,11,High,"Keywords: center, data, cloud; State: VA",https://www.apexsystems.com/job/3016779_usa/network-security-engineer
Apex Systems,3017458,Siemens OpsCenter Solutions Architect,"Norfolk, VA",,Contract,2026-01-16,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,9,Medium,"Keywords: system, security, defense; State: VA",https://www.apexsystems.com/job/3017458_usa/siemens-opscenter-solutions-architect
Apex Systems,3017552,Network Switching Design Engineer Sr-Camp Lejeune,"Jacksonville, NC",,Contract,2026-01-13,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,8,Medium,"Keywords: system, base, security",https://www.apexsystems.com/job/3017552_usa/network-switching-design-engineer-sr-camp-lejeune
Apex Systems,3018016,Microsoft Systems Engineer,"North Charleston, SC",,FullTime,2026-01-13,Defense Enterprise Office Solutions,DEOS,DISA,CSRA / Leidos (team),"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: solutions, defense, enterprise",https://www.apexsystems.com/job/3018016_usa/microsoft-systems-engineer
Apex Systems,3018220,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),"Fort George G Meade, MD",,Contract,2026-01-16,Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Peraton,"FORT GEORGE G MEADE, MARYLAND",47QFCA19F0033,12,High,"Keywords: information, enterprise; State: MD; City: FORT GEORGE G MEADE",https://www.apexsystems.com/job/3018220_usa/cyber-security-watch-officer-lcat-1-weekday-night-monday---thursday-9pm---7am
Apex Systems,3018245,Software Developer,"North Charleston, SC",,Contract,2026-01-14,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://www.apexsystems.com/job/3018245_usa/software-developer
Apex Systems,3018477,Tier 1 Network Monitor,"Hampton, VA",,Contract,2026-01-16,Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,"ROCKVILLE, MARYLAND",FA821413C0001,12,High,Acronym: DCGS; Keywords: system,https://www.apexsystems.com/job/3018477_usa/tier-1-network-monitor
Apex Systems,3018277,Software Developer,"North Charleston, SC",,Contract,2026-01-14,GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,"HERNDON, VIRGINIA",80GSFC19C0063,12,High,Acronym: GRASP; Keywords: grasp,https://www.apexsystems.com/job/3018277_usa/software-developer
Apex Systems,3018535,Structural Mechanical/Professional Engineer,"Orlando, FL",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL,Contract,2026-01-16,GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",FA880710C0001,8,Medium,"Keywords: next, control, system",https://www.apexsystems.com/job/3018535_usa/structural-mechanicalprofessional-engineer
Apex Systems,3018571,Senior Cyber Security Specialist,"Fort Belvoir, VA",,Contract,2026-01-16,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,9,Medium,"Keywords: army, enterprise, systems; State: VA",https://www.apexsystems.com/job/3018571_usa/senior-cyber-security-specialist
Apex Systems,3017439,Engineering Manager,"San Diego, CA",,Contract,2026-01-08,Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Northrop Grumman,"ROY, UTAH",FA821920C0006,8,Medium,"Keywords: infrastructure, tools, intelligence",https://www.apexsystems.com/job/3017439_usa/engineering-manager
Apex Systems,3017935,(VMS) Guidance Navigation &amp; Control Engineer,"Chandler, AZ",Top Secret clearance required,Contract,2026-01-14,MDA Tactical Embedded Systems,,MDA,Northrop Grumman,"CHANDLER, ARIZONA",HQ085621C0003,12,High,"Keywords: tactical, systems; State: AZ; City: CHANDLER",https://www.apexsystems.com/job/3017935_usa/vms-guidance-navigation--control-engineer
Apex Systems,2091698,Software Packager/Technician - Security Tools,"Hazelwood, MO",Must be eligible for a Secret Clearance or willing to be processed for one,Contract,2025-10-12,Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,"CHANDLER, ARIZONA",HQ085621C0003,4,Low,"Keywords: system, command",https://www.apexsystems.com/job/2091698_usa/software-packagertechnician---security-tools
Apex Systems,3009673,Install Specialist / IT Certified Professional,"Charlottesville, VA",TS/SCI Clearance level,Contract,2025-10-22,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,12,High,Acronym: PC; Keywords: project,https://www.apexsystems.com/job/3009673_usa/install-specialist--it-certified-professional
Apex Systems,3012636,Data Entry Specialist,"Tucson, AZ",,Contract,2025-11-18,Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),"CHANDLER, ARIZONA",HQ085621C0003,5,Medium,Keywords: defense; State: AZ,https://www.apexsystems.com/job/3012636_usa/data-entry-specialist
Apex Systems,3012964,Software Developer,"Bossier City, LA","secret clearance OR previously held secret clearance preferred, must have ability to obtain",Contract,2025-11-20,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,4,Low,"Keywords: enterprise, systems",https://www.apexsystems.com/job/3012964_usa/software-developer
Apex Systems,3013298,Oracle DBA,"Washington, VA",,Contract,2025-12-09,NASA SENSE (Space Comms & Tracking),SENSE,NASA,Peraton,"HERNDON, VIRGINIA",80GSFC19C0063,15,High,Acronym: SENSE; Keywords: sense; State: VA,https://www.apexsystems.com/job/3013298_usa/oracle-dba
Apex Systems,3015012,Microsoft Copilot Studio AI SME,"Milford Mill, MD",,Contract,2025-12-12,PRISM Support Services (Consolidated),PRISM,DoD,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)","WASHINGTON, DISTRICT OF COLUMBIA",47QFCA21F0018,14,High,"Acronym: PRISM; Keywords: prism, services",https://www.apexsystems.com/job/3015012_usa/microsoft-copilot-studio-ai-sme
Apex Systems,3016221,SQL Developer/Administrator,"Redstone Arsenal, AL",• Secret security clearance,FullTime,2026-01-07,"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Northrop Grumman,"CHANDLER, ARIZONA",HQ085621C0003,6,Medium,"Keywords: control, communications, management",https://www.apexsystems.com/job/3016221_usa/sql-developeradministrator
Apex Systems,3017651,Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,Contract,2026-01-12,BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",FA251822F0034,14,High,"Keywords: intelligence, defense, agency; State: CO; City: COLORADO SPRINGS",https://www.apexsystems.com/job/3017651_usa/sr-elastic-engineer-edrdefend-focus
Apex Systems,2049305,Software Engineer - ENG05 - Cleared On-Site,"Aurora, CO",,Contract,2025-10-12,GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",FA880710C0001,10,High,Keywords: system; State: CO; City: AURORA,https://www.apexsystems.com/job/2049305_usa/software-engineer---eng05---cleared-on-site
Apex Systems,2089337,Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP),Contract,2025-10-12,Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,6,Medium,"Keywords: center, data, cloud",https://www.apexsystems.com/job/2089337_usa/data-center-engineer---rtp-tssci-with-full-scope-poly
Apex Systems,2091444,Technicians &amp; Engineers,"Vandenberg Space Force Base, CA",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL,Contract,2025-10-12,GPS Operational Control System (sustainment),GPS OCX,Space Force,Raytheon,"AURORA, COLORADO",FA880710C0001,8,Medium,"Keywords: system, control, sustainment",https://www.apexsystems.com/job/2091444_usa/technicians--engineers
Apex Systems,2091995,VDI Systems Administrator,"Savannah, GA",TS/SCI,Contract,2025-10-13,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: system, advanced, management",https://www.apexsystems.com/job/2091995_usa/vdi-systems-administrator
Apex Systems,3009212,Systems Administrator,"Fort Belvoir, VA",TS/SCI with active POLY,Contract,2025-10-20,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,7,Medium,"Keywords: system, security; State: VA",https://www.apexsystems.com/job/3009212_usa/systems-administrator
Apex Systems,3010398,(VMS) NDT Test Examiner 2,"Emerado, ND",Secret Clearance Required,Contract,2026-01-07,CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,"PALO ALTO, CALIFORNIA",W911QX24F0053,4,Low,"Keywords: advanced, tools",https://www.apexsystems.com/job/3010398_usa/vms-ndt-test-examiner-2
Apex Systems,3010415,(VMS) Engineering Writer and Instructor,"Elkridge, MD",Secret Clearance Required,Contract,2026-01-07,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,9,Medium,"Keywords: engineering, information, systems; State: MD",https://www.apexsystems.com/job/3010415_usa/vms-engineering-writer-and-instructor
Apex Systems,3010789,Client Support / Sys Admin - Site D,"Fayetteville, NC","Secret (this position supports sponsorship for an upgraded security clearance, c",Contract,2026-01-14,Defense Enterprise Office Solutions,DEOS,DISA,CSRA / Leidos (team),"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: office, enterprise, solutions",https://www.apexsystems.com/job/3010789_usa/client-support--sys-admin---site-d
Apex Systems,3012188,IT Specialist Senior,"Quantico, VA",,Contract,2025-11-19,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,9,Medium,"Keywords: system, advanced, management; State: VA",https://www.apexsystems.com/job/3012188_usa/it-specialist-senior
Apex Systems,3012589,Secure Enterprise Engineer,"Carlsbad, CA",,FullTime,2025-11-19,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, network, enterprise",https://www.apexsystems.com/job/3012589_usa/secure-enterprise-engineer
Apex Systems,3012633,JAVA/REACT Developer,"Andover, MA",,Contract,2025-11-18,Integrated Air & Missile Defense,IAMD,Army,Raytheon,"ANDOVER, MASSACHUSETTS",W31P4Q15C0022,10,High,Keywords: defense; State: MA; City: ANDOVER,https://www.apexsystems.com/job/3012633_usa/javareact-developer
Apex Systems,3012821,Cloud Engineer,"Fayetteville, NC",active Secret Clearance eligible for upgrade.,Contract,2025-11-20,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,6,Medium,"Keywords: infrastructure, cloud, services",https://www.apexsystems.com/job/3012821_usa/cloud-engineer
Apex Systems,3012876,Sr ISSE,"Reston, VA",,Contract,2026-01-07,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,14,High,"Keywords: system, security, integrated; State: VA; City: RESTON",https://www.apexsystems.com/job/3012876_usa/sr-isse
Apex Systems,3013245,Deployed Support Specialist Mid- Pensacola,"Pensacola, FL",,Contract,2025-11-24,SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,"TAMPA, FLORIDA",47QFCA24F0002,7,Medium,"Keywords: operations, maintenance; State: FL",https://www.apexsystems.com/job/3013245_usa/deployed-support-specialist-mid--pensacola
Apex Systems,3013828,Sr Network Engineer,"Reston, VA",,Contract,2025-12-02,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,12,High,"Keywords: system, security; State: VA; City: RESTON",https://www.apexsystems.com/job/3013828_usa/sr-network-engineer
Apex Systems,3013253,IT System Engineer,"Fort Worth, TX",,Contract,2025-11-24,Navy Aegis Combat System Modernization,AEGIS,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,12,High,"Keywords: system, modernization; State: TX; City: FORT WORTH",https://www.apexsystems.com/job/3013253_usa/it-system-engineer
Insight Global,483185,PRICING ANALYST - SECRET CLEARANCE,"Colorado Springs, Colorado",Secret,Perm,"Jan 15, 2026",Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,14,High,"Keywords: system, advanced, management; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/pricing-analyst-secret-clearance/job-483185/
Insight Global,463944,DEVSECOPS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,"Nov 05, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/devsecops-engineer-secret-clearance/job-463944/
Insight Global,478353,MECHANICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,"Jan 05, 2026",Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),"CHANDLER, ARIZONA",HQ085621C0003,12,High,Acronym: GMD; Keywords: defense,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/mechanical-engineer-secret-clearance/job-478353/
Insight Global,461214,ELECTRICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,"Oct 29, 2025",Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,6,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/electrical-engineer-secret-clearance/job-461214/
Insight Global,479177,SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,"Niskayuna, New York",,Contract-to-perm,"Jan 06, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/sr-power-electric-engineer-clearance-required/job-479177/
Insight Global,460819,SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,"Oct 28, 2025",Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,6,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/senior-systems-engineer-secret-clearance/job-460819/
Insight Global,482039,FPGA DESIGN ENGINEER - SECRET CLEARANCE,"Plymouth, Minnesota",Secret,"Contract,Perm Possible","Jan 13, 2026","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: engineering, integration, development",https://insightglobal.com/jobs/find_a_job/minnesota/plymouth/fpga-design-engineer-secret-clearance/job-482039/
Insight Global,447166,SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE),"Tucson, Arizona",Secret,Contract,"Sep 22, 2025",GMD Weapon System (Ground C2),GWS (GMD),MDA,Northrop Grumman,"CHANDLER, ARIZONA",HQ085621C0003,7,Medium,"Keywords: system, weapon; State: AZ",https://insightglobal.com/jobs/find_a_job/arizona/tucson/senior-software-engineer-secret-clearance-/job-447166/
Insight Global,239418,HELP DESK SUPPORT SPEC I,"Detroit, Michigan",Secret,Contract,"Nov 10, 2022",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,4,Low,"Keywords: system, information",https://insightglobal.com/jobs/find_a_job/michigan/detroit/help-desk-support-spec-i/job-239418/
Insight Global,443211,SECRET/INTERIM CLEARED OUTSIDE MACHINIST,"Chesapeake, Virginia",Secret,"Contract,Perm Possible","Sep 11, 2025",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,5,Medium,Keywords: information; State: VA,https://insightglobal.com/jobs/find_a_job/virginia/chesapeake/secret-interim-cleared-outside-machinist/job-443211/
Insight Global,432633,CLEARED MARINE ELECTRICIAN,"Norfolk, Virginia",Secret,Contract-to-perm,"Mar 28, 2025",Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,5,Medium,Keywords: systems; State: VA,https://insightglobal.com/jobs/find_a_job/virginia/norfolk/cleared-marine-electrician/job-432633/
Insight Global,449881,SECRET VULNERABILITY PENETRATION TESTER,"Aberdeen Proving Ground, Maryland",TS/SCI,Contract-to-perm,"Sep 29, 2025",DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND",W91CRB20F0448,8,Medium,State: MD; City: ABERDEEN PROVING GROUND,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/secret-vulnerability-penetration-tester/job-449881/
Insight Global,468846,MODEL BASED DEFINITION ENGINEER,"Middletown, Connecticut",,Contract,"Nov 19, 2025",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,7,Medium,"Keywords: service, management; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/middletown/model-based-definition-engineer/job-468846/
Insight Global,482286,SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,"Aurora, Colorado",Secret,"Contract,Perm Possible","Jan 13, 2026",GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",FA880710C0001,8,Medium,State: CO; City: AURORA,https://insightglobal.com/jobs/find_a_job/colorado/aurora/secret-integration-and-test-engineer-level-4/job-482286/
Insight Global,450628,SYSTEMS ADMINISTRATOR,"San Diego, California",Secret,Contract-to-perm,"Oct 01, 2025",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/systems-administrator/job-450628/
Insight Global,480992,TOP SECRET SYSTEM ADMIN,"Niskayuna, New York",Top Secret,Contract-to-perm,"Jan 09, 2026",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,4,Low,"Keywords: system, information",https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/top-secret-system-admin/job-480992/
Insight Global,474313,SECRET DEPLOYED SUPPORT SPECIALIST,"Norfolk, Virginia",Secret,Contract,"Dec 08, 2025",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: system, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/norfolk/secret-deployed-support-specialist/job-474313/
Insight Global,480738,FIELD ENGINEER (CENTRAL US),"Salt Lake City, Utah",,Contract,"Jan 09, 2026",GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,"HERNDON, VIRGINIA",80GSFC19C0063,12,High,Acronym: GRASP; Keywords: grasp,https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/field-engineer-central-us-/job-480738/
Insight Global,451448,ESS HELPDESK TECHNICIAN,"Braddock, Virginia",Secret,Contract-to-perm,"Oct 02, 2025",Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,7,Medium,"Keywords: system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/braddock/ess-helpdesk-technician/job-451448/
Insight Global,482086,SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",Secret,Contract-to-perm,"Jan 13, 2026",CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,7,Medium,"Keywords: infrastructure, cloud; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-full-stack-developer/job-482086/
Insight Global,438003,INFORMATION SYSTEMS SECURITY OFFICER (ISSO),"Sterling Heights, Michigan",Secret,Contract-to-perm,"Aug 27, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-systems-security-officer-isso-/job-438003/
Insight Global,483609,BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",Secret,Perm,"Jan 16, 2026",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,12,High,"Keywords: service, management; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/buyers-technical-writer-secret/job-483609/
Insight Global,483170,SECRET SENIOR ELASTIC ENGINEER,"Colorado Springs, Colorado",Top Secret,Contract-to-perm,"Jan 15, 2026",Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,12,High,"Keywords: advanced, management; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-senior-elastic-engineer/job-483170/
Insight Global,458210,TS/SCI SR. NETWORK ENGINEER,"Mount Vernon, Virginia",TS/SCI,Contract,"Oct 24, 2025","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: next, generation, service",https://insightglobal.com/jobs/find_a_job/virginia/mount-vernon/ts-sci-sr-network-engineer/job-458210/
Insight Global,480691,SECRET MICROSOFT SYSTEMS ENGINEER,"Goose Creek, South Carolina",Secret,Perm,"Jan 09, 2026",CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,"PALO ALTO, CALIFORNIA",W911QX24F0053,7,Medium,"Keywords: advanced, tools; State: CA",https://insightglobal.com/jobs/find_a_job/south-carolina/goose-creek/secret-microsoft-systems-engineer/job-480691/
Insight Global,479729,SECRET NETWORK ADMINISTRATOR II (DAYS),"Montgomery, Alabama",Secret,Contract-to-perm,"Jan 07, 2026",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-days-/job-479729/
Insight Global,239366,SALES ENGINEER,"Colorado Springs, Colorado",,Perm,"Nov 10, 2022",Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,10,High,Keywords: system; State: CO; City: COLORADO SPRINGS,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/sales-engineer/job-239366/
Insight Global,480429,SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia",Secret,Contract-to-perm,"Jan 08, 2026",Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,9,Medium,"Keywords: system, advanced, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-windows-systems-administrator/job-480429/
