program,location,total_jobs,leadership_count,lead_count,senior_count,other_count,leadership_titles,lead_titles,primary_source,prime_contractor,inferred_team_size,hiring_activity_level
DIA Information Systems Engineering Office,"Hanover, Maryland",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DIA Information Systems Engineering Office,"Scott Air Force Base, Illinois",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DIA Information Systems Engineering Office,"Frederick, Maryland",1,0,1,0,0,,PRE-DEPLOYMENT MANAGER,Insight Global,Leidos,1,Low
DIA Information Systems Engineering Office,"Madison, Alabama",1,0,1,0,0,,PROJECT MANAGER,Insight Global,Leidos,1,Low
DIA Information Systems Engineering Office,"Wailuku, Hawaii",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DIA Information Systems Engineering Office,"Cleveland, Ohio",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DIA Information Systems Engineering Office,"Grand Forks, North Dakota",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DISA Global Service Mgmt – Ops II,"Muscatine, Iowa",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DISA Global Service Mgmt – Ops II,"Kings Bay, Georgia",1,0,0,0,1,,,Insight Global,Leidos,1,Low
DISA Global Service Mgmt – Ops II,"Meridianville, Alabama",1,0,0,1,0,,,Insight Global,Leidos,1,Low
Distributed Common Ground System (AF),"Hampton, VA",1,0,0,0,1,,,Apex Systems,BAE; multiple,1,Low
DTRA IAC-MAC Research & Analysis,"Bossier City, LA",1,0,0,0,1,,,Apex Systems,CACI,1,Low
"EDIS – Engineering, Development, Integration & Sustainment","Plymouth, Minnesota",1,0,0,0,1,,,Insight Global,SAIC,1,Low
"EDIS – Engineering, Development, Integration & Sustainment","El Segundo, California",1,0,0,0,1,,,Insight Global,SAIC,1,Low
"EDIS – Engineering, Development, Integration & Sustainment","New London, Connecticut",1,0,0,0,1,,,Insight Global,SAIC,1,Low
"EDIS – Engineering, Development, Integration & Sustainment","Broomfield, Colorado",1,0,0,0,1,,,Insight Global,SAIC,1,Low
"EDIS – Engineering, Development, Integration & Sustainment","Seattle, Washington",1,0,0,1,0,,,Insight Global,SAIC,1,Low
"EDIS – Engineering, Development, Integration & Sustainment","Manchester, New Hampshire",1,0,0,0,1,,,Insight Global,SAIC,1,Low
GBS (Global Broadcast Service),"Vista, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Palmdale, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Anaheim, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Beale AFB, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"El Segundo, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Santa Cruz, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Solana Beach, California",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Jacksonville, North Carolina",1,0,0,0,1,,,Insight Global,L3Harris (historical),1,Low
GBS (Global Broadcast Service),"Hanahan, South Carolina",1,0,0,1,0,,,Insight Global,L3Harris (historical),1,Low
Global Command and Control System – Joint,"Kings Bay, Georgia",1,0,0,0,1,,,Insight Global,Northrop Grumman,1,Low
Global Command and Control System – Joint,"Sunset, Utah",1,0,1,0,0,,SECRET LEAD F-16 SIMULATOR TECHNICIAN,Insight Global,Northrop Grumman,1,Low
Global Command and Control System – Joint (Variant),"Windsor Mill, Maryland",1,0,0,1,0,,,Insight Global,Leidos,1,Low
Global Command and Control System – Joint (Variant),"Cockeysville, Maryland",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Network Operations (DISA GSM-O II),"Montgomery, Alabama",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Network Operations (DISA GSM-O II),"Grand Forks, North Dakota",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Network Operations (DISA GSM-O II),"'Aiea, Hawaii",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Tarpon Springs, Florida",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Dayton, Ohio",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Wilmington, Delaware",1,0,0,1,0,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Albuquerque, New Mexico",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Suffolk, Virginia",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Woburn, Massachusetts",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Chambersburg, Pennsylvania",1,1,0,0,0,DEPUTY PROGRAM MANAGER,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"Sterling Heights, Michigan",1,0,1,0,0,,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN",Insight Global,Leidos,1,Low
Global Service Management – Operations II,"O'fallon, Illinois",1,0,0,1,0,,,Insight Global,Leidos,1,Low
Global Service Management – Operations II,"New York, New York",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Solutions Management – Operations II,"Saint Louis, Missouri",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Global Solutions Management – Operations II,"Fort Bliss, Texas",1,0,0,0,1,,,Insight Global,Leidos,1,Low
GMD Weapon System (Ground C2),"Tucson, Arizona",1,0,0,1,0,,,Insight Global,Northrop Grumman,1,Low
GPS Next-Gen Operational Control System,"Orlando, FL",1,0,0,0,1,,,Apex Systems,Raytheon Intelligence & Space,1,Low
GPS Next-Gen Operational Control System,"Aurora, CO",1,0,0,0,1,,,Apex Systems,Raytheon Intelligence & Space,1,Low
GPS Next-Gen Operational Control System,"Aurora, Colorado",1,0,0,0,1,,,Insight Global,Raytheon Intelligence & Space,1,Low
GPS Operational Control System (sustainment),"Vandenberg Space Force Base, CA",1,0,0,0,1,,,Apex Systems,Raytheon,1,Low
GRASP (Raytheon/Peraton),"North Charleston, SC",1,0,0,0,1,,,Apex Systems,Peraton,1,Low
GRASP (Raytheon/Peraton),"Salt Lake City, Utah",1,0,0,0,1,,,Insight Global,Peraton,1,Low
Ground-Based Midcourse Defense,"Tucson, AZ",1,0,0,0,1,,,Apex Systems,Boeing (prime); Northrop & Raytheon (NGI),1,Low
Ground-Based Midcourse Defense,"Huntsville, Alabama",1,0,0,0,1,,,Insight Global,Boeing (prime); Northrop & Raytheon (NGI),1,Low
HHS Advanced Secure Data Repository,"Washington, VA",1,0,0,0,1,,,Apex Systems,GDIT / SAIC (indicative),1,Low
Hypersonic & Ballistic Tracking Space Sensor,"Chandler, Arizona",1,0,0,1,0,,,Insight Global,Northrop & L3Harris (co-primes),1,Low
Integrated Air & Missile Defense,"Andover, MA",1,0,0,0,1,,,Apex Systems,Raytheon,1,Low
Integrated Base Defense Security System,"Washington, VA",1,0,0,0,1,,,Apex Systems,Leidos,1,Low
Integrated Base Defense Security System,"Jacksonville, NC",1,0,0,0,1,,,Apex Systems,Leidos,1,Low
Integrated Base Defense Security System,"Fort Belvoir, VA",1,0,0,0,1,,,Apex Systems,Leidos,1,Low
Integrated Digital Engineering Environment,"Tucson, Arizona",1,0,0,0,1,,,Insight Global,Northrop Grumman,1,Low
Intelligence Systems Enterprise Operations,"Jessup, Maryland",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Intelligence Systems Enterprise Operations,"San Francisco, California",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Intelligence Systems Infrastructure Tools & Enhancements,"San Diego, CA",1,0,1,0,0,,Engineering Manager,Apex Systems,Northrop Grumman,1,Low
MDA Tactical Embedded Systems,"Chandler, AZ",1,0,0,0,1,,,Apex Systems,Northrop Grumman,1,Low
Mission Partner Environment (Field Ops / MPCO),"Dhs, Virginia",1,0,0,0,1,,,Insight Global,GDIT,1,Low
MSS Smart Systems (Palantir contract),"Norfolk, Virginia",1,0,0,0,1,,,Insight Global,Palantir,1,Low
NARSIL – Advanced Research for System Intelligence & Learning,"O'fallon, Illinois",1,0,0,0,1,,,Insight Global,Peraton,1,Low
NARSIL – Advanced Research for System Intelligence & Learning,"Herndon, Virginia",1,0,0,0,1,,,Insight Global,Peraton,1,Low
NARSIL – Advanced Research for System Intelligence & Learning,"Suffolk, Virginia",1,0,0,0,1,,,Insight Global,Peraton,1,Low
NASA SENSE (Space Comms & Tracking),"Washington, VA",1,0,0,0,1,,,Apex Systems,Peraton,1,Low
Navy Aegis Combat System Modernization,"Fort Worth, TX",1,0,0,0,1,,,Apex Systems,Lockheed Martin,1,Low
Next-Gen OPIR (Ground + Payload),"Redondo Beach, California",1,0,0,0,1,,,Insight Global,Northrop Grumman,1,Low
Next-Generation Overhead Persistent Infrared,"El Segundo, California",1,0,0,0,1,,,Insight Global,Northrop Grumman,1,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","St. Louis, MO",1,0,0,0,1,,,Apex Systems,Leidos,1,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Carlsbad, CA",1,0,0,0,1,,,Apex Systems,Leidos,1,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Mount Vernon, Virginia",1,0,0,1,0,,,Insight Global,Leidos,1,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Greece, New York",1,0,0,0,1,,,Insight Global,Leidos,1,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Lincoln, Massachusetts",1,0,0,0,1,,,Insight Global,Leidos,1,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Fairfax, Virginia",1,0,0,0,1,,,Insight Global,Leidos,1,Low
Peraton ARCYBER Information Advantage Enterprise,"Fort George G Meade, MD",1,0,0,0,1,,,Apex Systems,Peraton,1,Low
PRISM Support Services (Consolidated),"Milford Mill, MD",1,0,0,1,0,,,Apex Systems,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",1,Low
Project Convergence (JADC2 Experiments),"Charlottesville, VA",1,0,0,0,1,,,Apex Systems,SAIC,1,Low
Project Convergence (JADC2 Experiments),"Monroeville, Pennsylvania",1,0,0,0,1,,,Insight Global,SAIC,1,Low
Project Convergence (JADC2 Experiments),"Huntsville, Alabama",1,0,0,0,1,,,Insight Global,SAIC,1,Low
SITEC III – Enterprise Operations & Maintenance,"Juno Beach, FL",1,0,0,1,0,,,Apex Systems,Peraton,1,Low
SITEC III – Enterprise Operations & Maintenance,"Pensacola, FL",1,0,0,0,1,,,Apex Systems,Peraton,1,Low
SITEC III – Enterprise Operations & Maintenance,"Tampa, Florida",1,0,0,0,1,,,Insight Global,Peraton,1,Low
