search_keyword,piid,recipient_name,award_amount,description,start_date,end_date,agency,sub_agency,pop_city,pop_state,internal_id
Global Broadcast Service,FA882319F0003,AQYR TECHNOLOGIES INC,5118691.9,"GLOBAL BROADCAST SERVICE - PURCHASE PORTABLE RECEIVE SUITES, SPARES, AND CYPHERCAST CLIENT SOFTWARE LICENSES",2019-03-28,2019-08-31,Department of Defense,Defense Contract Management Agency,,,CONT_AWD_FA882319F0003_9700_FA870515D0001_9700
Global Broadcast Service,47QFCA24F0050,"SI2 TECHNOLOGIES, INC",4866429.96,GLOBAL BROADCAST SERVICE SMALL BUSINESS INNOVATION RESEARCH PHASE III TASK ORDER 15 FOR EQUIPMENT AND SPARE PARTS.,2024-09-27,2025-09-30,General Services Administration,Federal Acquisition Service,,,CONT_AWD_47QFCA24F0050_4732_47QFCA20D0005_4732
Global Broadcast Service,FA882320F0004,AQYR TECHNOLOGIES INC,3594200.0,GLOBAL BROADCAST SERVICES - PORTABLE RECEIVE SUITES.,2020-07-30,2021-01-29,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882320F0004_9700_FA870515D0001_9700
Global Broadcast Service,FA882318F0001,AQYR TECHNOLOGIES INC,3386669.0,IGF::OT::IGF GLOBAL BROADCAST SERVICE SUITCASE PORTABLE RECEIVE SUITES FOR CLINS 0003 AND 0017,2018-03-23,2018-12-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882318F0001_9700_FA870515D0001_9700
Global Broadcast Service,0014,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",3258775.0,ACQUIRE GLOBAL BROADCAST SERVICES TRANSPORTABLE GROUND RECEIVE SUITE RETRO-FIT KITS,2014-10-30,2017-09-22,Department of Defense,Department of the Air Force,,,CONT_AWD_0014_9700_FA830711D0005_9700
Global Broadcast Service,FA882317F1002,AQYR TECHNOLOGIES INC,2356200.0,GLOBAL BROADCAST SERVICE - SUITCASE PORTABLE RECEIVE SUITES,2017-09-19,2018-08-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882317F1002_9700_FA870515D0001_9700
Global Broadcast Service,47QFCA25F0015,"SI2 TECHNOLOGIES, INC",2344330.98,GBS TO 18 USMC.  GLOBAL BROADCAST SERVICE (GBS) PORTABLE RECEIVE SUITE (PRS) SYSTEMS AND COMPUTER,2025-06-09,2026-04-05,General Services Administration,Federal Acquisition Service,,,CONT_AWD_47QFCA25F0015_4732_47QFCA20D0005_4732
Global Broadcast Service,FA882318F0007,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",2083217.8,GLOBAL BROADCAST SERVICE - TRANSPORTABLE GROUND RECEIVE SUITE PRODUCTION. DELIVERY ORDER FOR SPARES,2018-09-24,2019-05-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882318F0007_9700_FA830711D0005_9700
Global Broadcast Service,W9126009F0031,RAYTHEON COMPANY,1875162.0,GLOBAL BROADCAST SERVICE (GBS) RECEIVE SUITES,2009-09-18,2010-05-04,Department of Defense,Department of the Army,,,CONT_AWD_W9126009F0031_9700_GS35F4097G_4730
Global Broadcast Service,0024,RAYTHEON COMPANY,1735275.49,REPAIR FOR THE GLOBAL BROADCAST SERVICES,2010-07-01,2013-03-15,Department of Defense,Department of the Air Force,,,CONT_AWD_0024_9700_FA820706D0001_9700
Global Broadcast Service,FA882318F0003,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1582179.0,GLOBAL BROADCAST SERVICES,2018-07-05,2020-08-21,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882318F0003_9700_FA830711D0005_9700
Global Broadcast Service,FA882325FB026,"SI2 TECHNOLOGIES, INC",1542900.0,GLOBAL BROADCAST SERVICE SMALL BUSINESS INNOVATION RESEARCH PROCUREMENT OF 10 UNITS,2025-09-29,2026-07-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882325FB026_9700_FA882325DB001_9700
Global Broadcast Service,0018,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1520296.0,GLOBAL BROADCAST SERVICE TRANSPORTABLE GROUND RECEIVE SUITES,2015-05-29,2015-12-31,Department of Defense,Department of the Air Force,,,CONT_AWD_0018_9700_FA830711D0005_9700
Global Broadcast Service,FA882319F0008,AQYR TECHNOLOGIES INC,1341117.0,GLOBAL BROADCAST SERVICE - PORTABLE RECEIVE SUITES,2019-09-18,2020-08-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882319F0008_9700_FA870515D0001_9700
Global Broadcast Service,0096,NORTHROP GRUMMAN SYSTEMS CORPORATION,1319446.05,ENGINEERING & TECHNICAL SERVICES FOR GLOBAL BROADCAST SERVICE (GBS) THEATER INJECTION POINT(TIP),2008-05-08,2010-07-11,Department of Defense,Defense Contract Management Agency,,,CONT_AWD_0096_9700_DAAB0703DB008_9700
Global Broadcast Service,0015,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1278432.0,ACQUIRE GLOBAL BROADCAST SERVICES TRANSPORTABLE GROUND RECEIVE SUITES MODEMS,2015-04-06,2016-10-31,Department of Defense,Department of the Air Force,,,CONT_AWD_0015_9700_FA830711D0005_9700
Global Broadcast Service,FA882318F0006,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1047243.01,GLOBAL BROADCAST SERVICE - TRANSPORTABLE GROUND RECEIVE SUITE PRODUCTION. DELIVERY ORDER  TO IMPLEMENT CONTRACT LINE ITEM NUMBER 0052. 3020 FUNDING IS REPLACED BY 3023 IN ACCORDANCE WITH FISCAL YEAR 2016 NATIONAL DEFENSE AUTHORIZATION ACT.,2018-08-21,2021-08-21,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882318F0006_9700_FA830711D0005_9700
Global Broadcast Service,FA882319F0006,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1029922.0,GLOBAL BROADCAST SERVICE - TRANSPORTABLE GROUND RECEIVE SUITES,2019-08-21,2024-01-25,Department of Defense,Defense Contract Management Agency,,,CONT_AWD_FA882319F0006_9700_FA830711D0005_9700
Global Broadcast Service,N6600117F0752,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",1016828.03,"IGF::OT::IGF GLOBAL BROADCAST SERVICE (GBS) SYSTEMS ENGINEERING, INTEGRATION AND TEST&EVALUATION",2017-08-22,2018-08-23,Department of Defense,Department of the Navy,,,CONT_AWD_N6600117F0752_9700_N6600116D0070_9700
Global Broadcast Service,FA882325FB025,"SI2 TECHNOLOGIES, INC",956045.0,GLOBAL BROADCAST SERVICE SMALL BUSINESS INNOVATION RESEARCH,2025-09-23,2026-03-22,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882325FB025_9700_FA882325DB001_9700
GBS,FA821920C0006,NORTHROP GRUMMAN SYSTEMS CORP,10801259923.19,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),2020-09-08,2029-03-10,Department of Defense,Department of the Air Force,,,CONT_AWD_FA821920C0006_9700_-NONE-_-NONE-
GBS,HQ014719C0004,THE BOEING COMPANY,4438727467.75,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,2019-03-18,2025-12-31,Department of Defense,Missile Defense Agency,,,CONT_AWD_HQ014719C0004_9700_-NONE-_-NONE-
GBS,FA861717F6230,DELAWARE RESOURCE GROUP OF OKLAHOMA LLC,150648693.21,TSA III GBTS CLS - CONTINUED CONTRACT,2017-04-24,2024-12-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA861717F6230_9700_FA862115D6258_9700
GBS,FA872124FB001,TORCH TECHNOLOGIES INC,142036072.13,"PROCUREMENT OF ENGINEERING, PROFESSIONAL, AND ADMINISTRATIVE SUPPORT SERVICES FOR GB DIRECTORATE.",2024-04-01,2026-03-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA872124FB001_9700_GS00Q14OADS737_4732
GBS,W912PL23C0017,KORTE CONSTRUCTION COMPANY,123271586.86,GBSD CMF,2023-09-26,2026-12-11,Department of Defense,Department of the Army,,,CONT_AWD_W912PL23C0017_9700_-NONE-_-NONE-
GBS,W9123822C0006,M. A. MORTENSON COMPANY,110807226.53,"GROUND BASED STRATEGIC DEFENSE (GBSD) SOFTWARE SUSTAINMENT CENTER (SSC), HILL AFB",2022-07-15,2026-02-20,Department of Defense,Department of the Army,,,CONT_AWD_W9123822C0006_9700_-NONE-_-NONE-
GBS,W9128F24C0009,HENSEL PHELPS CONSTRUCTION CO,107261481.0,"CONSTRUCTION OF GBSD INTEGRATED COMMAND CENTER, F. E. WARREN AFB",2024-01-25,2026-09-01,Department of Defense,Department of the Army,,,CONT_AWD_W9128F24C0009_9700_-NONE-_-NONE-
GBS,W9123820C0012,HENSEL PHELPS CONSTRUCTION CO.,106381753.0,"D-B GBSD MISSION INTEGRATION FACILITY. NOTE: THIS REQUIREMENT IS INCREMENTALLY FUNDED FOR CLIN 0001. ONCE FULLY FUNDED CLIN 0001 WILL REFLECT $84,234,195.",2020-07-27,2024-08-12,Department of Defense,Department of the Army,,,CONT_AWD_W9123820C0012_9700_-NONE-_-NONE-
GBS,FA872609C0006,LOCKHEED MARTIN CORPORATION,92653851.06,GBS DECC ACQUISITION,2009-05-15,2017-09-30,Department of Defense,Department of the Air Force,,,CONT_AWD_FA872609C0006_9700_-NONE-_-NONE-
GBS,0003,FLIGHTSAFETY DEFENSE CORPORATION,88558801.48,IGF::CT::IGF  GBTS SERVICES,2013-12-27,2016-12-31,Department of Defense,Department of the Air Force,,,CONT_AWD_0003_9700_FA861707D6172_9700
GBS,0001,FLIGHTSAFETY DEFENSE CORPORATION,87337196.52,JPATS GROUND BASED TRAINING SYSTEM (GBTS) CONTRACTOR LOGISTICS SUPPORT (CLS) FOLLOW-ON,2007-06-06,2007-12-31,Department of Defense,Department of the Air Force,,,CONT_AWD_0001_9700_FA861707D6172_9700
GBS,0002,FLIGHTSAFETY DEFENSE CORPORATION,86452189.66,JPATS GROUND BASED TNG SYS (GBTS) CONTRACTOR LOGISTICS SUPPORT (CLS) FOLLOW-ON,2010-12-21,2017-08-16,Department of Defense,Defense Contract Management Agency,,,CONT_AWD_0002_9700_FA861707D6172_9700
GBS,FA868118F1201,RAYTHEON COMPANY,74969992.57,NIW TOTAL PACKAGE APPROACH IDIQ FOR THE PAVEWAY FAMILY OF WEAPONS: SDAF GBU-49 PROCUREMENT,2018-09-26,2020-11-30,Department of Defense,Department of the Air Force,,,CONT_AWD_FA868118F1201_9700_FA868118D0001_9700
GBS,FA880808F0003,BOOZ ALLEN HAMILTON INC,72703397.2,GBS/JTEO SE&I SERVICES,2007-10-22,2012-10-21,Department of Defense,Department of the Air Force,,,CONT_AWD_FA880808F0003_9700_GS00T99ALD0202_4735
GBS,FA868118C0010,RAYTHEON COMPANY,71995504.03,ENHANCED PAVEWAY II GBU-49,2017-11-13,2019-08-31,Department of Defense,Department of the Air Force,,,CONT_AWD_FA868118C0010_9700_-NONE-_-NONE-
GBS,0032,RAYTHEON COMPANY,60559845.28,"FY16 XBR/GBR-P O&S THIS EFFORT IS FOR DEPLOYMENT, OPERATIONS, AND SUPPORT OF MDA X-BAND RADARS AND OTHER SYSTEMS AT LOCATIONS DESIGNATED BY THE GOVERNMENT. THE ACTUAL EFFORT IS AUTHORIZED BY INDIVIDUAL TASK ORDERS. IGF::OT::IGF",2015-11-01,2018-10-31,Department of Defense,Missile Defense Agency,,,CONT_AWD_0032_9700_HQ000608D0003_9700
GBS,DAAH0103C0016,RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,57019009.36,"200307!002262!2100!AH01 !USA AVIATION AND MISSILE COMMAND!DAAH0103C0016 !A!N! !N!P00003 !20030318!20031231!050468326!050468326!275250553!N!THALES RAYTHEON SYSTEMS COMPAN!2000 EAST EL SEGUNDO BLVD !EL SEGUNDO !CA!90245!22412!037!06!EL SEGUNDO !LOS ANGELES !CALIFORNIA!+000000499999!N!N!000000000000!5840!RADAR EQUIPMENT, EXCEPT AIRBORNE !A2 !MISSILE AND SPACE SYSTEMS !1CNW!GBR -GROUND BASED RADAR !541330!E! !3! ! !H! ! !99990909!B! ! !A! !D!N!J!1!001!N!1G!A!Y!Z! ! !N!C!N! ! ! !A!A!A!A!000!A!C!N! ! ",2003-03-18,2003-12-31,Department of Defense,Defense Contract Management Agency,,,CONT_AWD_DAAH0103C0016_9700_-NONE-_-NONE-
GBS,FA820422F0001,ACCENTURE FEDERAL SERVICES LLC,55005114.59,DEVSECOPS SERVICES FOR GBSD FENCES ENVIRONMENT EO14042,2021-10-28,2026-10-27,Department of Defense,Department of the Air Force,,,CONT_AWD_FA820422F0001_9700_FA830720G0044_9700
GBS,MU61,"ALEXANDRIA INSIGHTS, INC.",53825586.07,"IGF::OT::IGF TO DELIVER SUPPORT SERVICES TO PM GBAD-G/ATOR AND PDM RS TO MEET THE SPECIFIC PERFORMANCE REQUIREMENT SPECIFIED IN THE PWS. THE CONTRACTOR SHALL COLLECT AND PROVIDE SPECIFIED INFORMATION, CONDUCT SPECIFIED TAILORED ANALYSES AND STRUCTURE REVIEW OF GOVERNMENT AND PRIME CONTRACTOR DATA, DEVELOP AND MAINTAIN SPECIFIED ACQUISITION DOCUMENTS, BRIEFINGS AND REPORTS. THE OUTCOME OF THIS EFFORT SHALL BE THE TIMELY DELIVERY OF QUALITY PRODUCTS TO SUPPORT THE MISSION OF THE PM GBAD-G/ATOR AND",2015-11-09,2020-08-22,Department of Defense,Department of the Navy,,,CONT_AWD_MU61_9700_N0017814D7157_9700
GBS,DAAH0103C0140,RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,46077215.0,200310!004079!2100!AH01  !USA AVIATION AND MISSILE COMMAND!DAAH0103C0140  !A!N! !N!                   !20030723!20060531!050468326!050468326!275250553!N!THALES RAYTHEON SYSTEMS COMPAN!2000 EAST EL SEGUNDO BLVD !EL SEGUNDO          !CA!90245!22412!037!06!EL SEGUNDO          !LOS ANGELES           !CALIFORNIA!+000013450000!N!N!000000000000!5895!MISCELLANEOUS COMMUNICATION EQUIPMENT             !A7 !ELECTRONICS AND COMMUNICATION !1CNW!GBR -GROUND BASED RADAR       !334290!E! !1! ! ! ! ! !99990909!B,2003-07-23,2009-04-30,Department of Defense,Department of the Army,,,CONT_AWD_DAAH0103C0140_9700_-NONE-_-NONE-
GBS,FA820422C0001,"DARK WOLF SOLUTIONS, LLC",38589043.54,ADVERSARY ASSESSMENT AND PENETRATION TESTING SERVICES FOR GBSD NETWORKS,2022-04-11,2026-04-10,Department of Defense,Department of the Air Force,,,CONT_AWD_FA820422C0001_9700_-NONE-_-NONE-
GBS,FA868118C0038,THE BOEING COMPANY,38323375.23,MASSIVE ORDNANCE PENETRATOR GBU-57 PRODUCTION BUY,2018-02-08,2023-12-29,Department of Defense,Department of the Air Force,,,CONT_AWD_FA868118C0038_9700_-NONE-_-NONE-
GBS,AIDEEMI030700005,DOMESTIC AWARDEES (UNDISCLOSED),32999724.63,EMPOWER PAKISTAN (TRADE) TASK ORDER UNDER THE SEGIR/GBTI II IQC.                       TAS::72 1037::TAS,2009-06-22,2014-08-31,Agency for International Development,Agency for International Development,,,CONT_AWD_AIDEEMI030700005_7200_AIDEEMI000700005_7200
GBS,47QFWA22F0009,BOOZ ALLEN HAMILTON INC,32985344.15,GROUND BASED STRATEGIC DETERRENT (GBSD) PROGRAM OFFICE LIFE CYCLE MANAGEMENT PROGRAM INTEGRATED DATA ENVIRONMENT (LCMP-IDE) SUPPORT SERVICES,2022-02-18,2024-08-17,General Services Administration,Federal Acquisition Service,,,CONT_AWD_47QFWA22F0009_4732_47QTCK18D0004_4732
GBS,N0003915C0002,RAYTHEON COMPANY,32839953.24,GBS CONTRACT AWARD,2014-12-18,2021-01-16,Department of Defense,Department of the Navy,,,CONT_AWD_N0003915C0002_9700_-NONE-_-NONE-
GBS,W9113M18FD004,RAYTHEON COMPANY,32747653.0,THE CONTRACTOR WILL PERFORM ALL TASKS RELATED TO THE GROUND BASED RADAR (GBR) UPGRADE SUPPORT TO TRANSFORM THE GBR TO AN INSTRUMENTATION RADAR.,2018-09-26,2025-01-31,Department of Defense,Department of the Army,,,CONT_AWD_W9113M18FD004_9700_W9113M17D0006_9700
GBS,0019,RAYTHEON COMPANY,31578058.0,"PAVEWAY II LASER GUIDED BOMB COMPUTER CONTROL GROUPS COMPATIBLE WITH GBU-10, -12, AND -16 CONFIGURATIONS AS WELL AS GBU-12 AIR FOIL GROUPS.",2008-05-21,2010-05-21,Department of Defense,Department of the Air Force,,,CONT_AWD_0019_9700_F4263003D0001_9700
military broadcast,W91QV110P0368,WORLD MEDIA NET & AFFILIATES LLC,17950.0,MILITARY BROADCAST 4U REMOTE BROADCASTER,2010-09-30,2010-11-01,Department of Defense,Department of the Army,,,CONT_AWD_W91QV110P0368_9700_-NONE-_-NONE-
satellite broadcast service,N6572625P0002,"DIRECTV, LLC",2330.97,SATELLITE TELEVISION (TV) SERVICES FOR 9 KIOSKS LOCATED IN NAVSEALOGCEN OFFICE SPACES. NSA MECHANICSBURG BUILDING 307 DIRECTV SATELLITE BROADCAST SERVICE = RENEW 8 INSTALLED KIOSKS AND 1 NEW INSTALL LOCATION,2025-04-18,2026-04-22,Department of Defense,Department of the Navy,,,CONT_AWD_N6572625P0002_9700_-NONE-_-NONE-
