program_name,full_name,agency,piid,recipient_name,award_amount,description,start_date,end_date,awarding_agency,awarding_sub_agency,source,urgency
STRATCOM,Strategic Command,DoD,28321325FR0630001,"STRATCOMM, INC.",3937067.68,"TASK ORDER TO FUND VHR SERVICES FOR HEARINGS CONDUCTED BY SSA OHO AT HOS, PRSS, AND COV SITES IN REGION 06, WHICH ENCOMPASSES TX, AR, NM, LA, AND OK.",2024-11-06,2026-01-31,Social Security Administration,Social Security Administration,USAspending,CRITICAL - 90 days
DIA,Defense Intelligence Agency,DoD,140D0422F0243,"TEAM CARNEY, INC.",3020766.17,"ADMINISTRATIVE AND BUSINESS OPERATIONS SUPPORT FOR DEFENSE INTELLIGENCE AGENCY (DIA), ACADEMY FOR DEFENSE INTELLIGENCE (ADI), OFFICER DEVELOPMENT TRAINING PROGRAM (ODTP)",2022-04-01,2026-01-31,Department of the Interior,Departmental Offices,USAspending,CRITICAL - 90 days
AFRICOM,Africa Command,DoD,HC108421FA597,ATT MOBILITY LLC,154115.45,DATT000242EBM THE PURPOSE OF THIS TASK ORDER IS TO PROCURE THIRTY AT&T NIGHTHAWK LTE HOTSPOT AND TWENTY FIVE SAMSUNG GALAXY S7 AND FIVE SAMSUNG GALAXY S20 WITH SERVICE PLANS FOR DEPARTMENT OF DEFENSE U.S. AFRICA COMMAND.,2021-09-03,2026-01-31,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
ECMO,Enterprise Cloud Management Office,DoD,36C24825N1061,"GETINGE USA SALES, LLC",105246.53,CARDIHELP ECMO PUMP,2025-09-04,2026-01-31,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,CRITICAL - 90 days
MQ-25,MQ-25 Stingray Tanker Drone,DoD,N0018922F0154,AVIATION SYSTEMS ENGINEERING COMPANY INC,1220077.48,MQ-25 TEST AND EVALUATION SERVICES,2022-02-03,2026-02-02,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
ABMS,Advanced Battle Management System,DoD,FA861224FB003,LOCKHEED MARTIN CORPORATION,9345187.62,ABMS CBC2 TRACKER FUSION,2024-02-05,2026-02-04,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
ABMS,Advanced Battle Management System,DoD,FA861224FB004,SCITEC INC,14034534.98,ABMS CBC2 TRACKER FUSION,2024-02-07,2026-02-06,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
JLTV,Joint Light Tactical Vehicle,DoD,47QFNA24F0089,GOVERNMENT SCIENTIFIC SOURCE INC,2105239.79,47QFNA19K00220569  JPEO CBRND NORTH MACEDONIA FY242 JLTV LCD40,2024-06-20,2026-02-06,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
SPACECOM,Space Command,DoD,N0001424FT113,THE CNA CORPORATION,800000.0,"PROJECT TITLE: ANALYTIC SUPPORT TO US SPACE COMMAND (SPACECOM) TIER 1 EXERCISE DESIGN, COORDINATION, AND EXECUTION PROJECT NO. 0007.5813.F226.01",2024-02-08,2026-02-07,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
OASIS,One Acquisition Solution for Integrated Services,GSA,70RSAT21FR0000157,SNA INTERNATIONAL LLC,3643165.38,S&T TO AWARD A NEW CONTRACT FOR THE ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) POOL 4 SMALL BUSINESS (SB) PROJECT.,2021-09-30,2026-02-10,Department of Homeland Security,Office of Procurement Operations,USAspending,CRITICAL - 90 days
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,75FCMC22F0024,A SQUARE GROUP LLC,163875230.64,NITAAC CIO-SP3 SMALL BUSINESS TASK ORDER OF RE-COMPETED WMS REQUIREMENT,2022-02-15,2026-02-14,Department of Health and Human Services,Centers for Medicare and Medicaid Services,USAspending,CRITICAL - 90 days
SOUTHCOM,Southern Command,DoD,FA489024F0158,OBERA LLC,4817459.52,"SOUTHCOM SMALL SCALE CONSTRUCTION  COUNTER-NARCOTICS AND GLOBAL THREATS OPERATIONS, LOGISTICS AND TRAINING SUPPORT. THIS CONTRACT WILL SUPPORT ALL ORGANIZATIONS TO MEET NATIONAL DEFENSE STRATEGIES AND OBJECTIVES.",2024-09-30,2026-02-14,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
DARPA,Defense Advanced Research Projects Agency,DoD,HR001125F0008,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,202144148.0,DARPA RESEARCH PROGRAM SUPPORT SERVICES,2025-01-16,2026-02-15,Department of Defense,Defense Advanced Research Projects Agency,USAspending,CRITICAL - 90 days
SOCOM,Special Operations Command,DoD,H9240420F0203,CIPHER TECH SOLUTIONS INC,35331354.48,TECHEX CUSTOMIZED COMMERCIAL IT SOLUTIONS FOR SOCOM,2020-08-17,2026-02-16,Department of Defense,U.S. Special Operations Command,USAspending,CRITICAL - 90 days
EIS,Enterprise Infrastructure Solutions,GSA,W912CH24F0085,OSHKOSH DEFENSE LLC,145605062.0,"FAMILY OF HEAVY TACTICAL VEHICLE (FHTV) IV IS AN EIGHT-YEAR, FIXED PRICE INCENTIVE FIRM (FPIF) (OY1-OY5) AND FIRM FIXED-PRICE (FFP) (OY6-OY8) SOLE SOURCE, REQUIREMENTS CONTRACT AWARDED TO OSHKOSH",2024-06-05,2026-02-17,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
SLS,Space Launch System,NASA,N6134022C0007,"PREVAILANCE, INC.",18618829.21,"FIRE FIGHTING, DAMAGE CONTROL, AND ENGINEERING CONTRACTOR INSTRUCTOR SERVICES (CIS) FOR SWSC, PMS 339, AND SLC AT THE FOLLOWING TRAINING LOCATIONS: SAN DIEGO, CA, GREAT LAKES, IL, PEARL HARBOR, HI, NEWPORT, RI, NORFOLK, VA AND GROTON, CT.",2022-01-20,2026-02-17,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
CYBERCOM,Cyber Command,DoD,W15P7T24F0004,BOOZ ALLEN HAMILTON INC,56216719.85,AWARD OF RS3-21-0033 PLANS AND POLICY STAFF SUPPORT IN SUPPORT OF THE UNITED STATES CYBER COMMAND.,2023-12-22,2026-02-18,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
GBSD,Ground Based Strategic Deterrent,DoD,W9123822C0006,M. A. MORTENSON COMPANY,110807226.53,"GROUND BASED STRATEGIC DEFENSE (GBSD) SOFTWARE SUSTAINMENT CENTER (SSC), HILL AFB",2022-07-15,2026-02-20,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
NSA,National Security Agency,DoD,FA703723F0015,"SIERRA NEVADA COMPANY, LLC",533265.57,"TACTICAL SYSTEM EMULATOR TASK ORDER 4, ONE (1) TACTICAL SYSTEM EMULATOR CLASSROOM SYSTEM TO NATIONAL SECURITY AGENCY EXPEDITIONARY MISSION CENTER/AIR TRADECRAFT & COMPLIANCE.",2023-02-21,2026-02-20,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,75N98025C00014,"DLH, LLC",8496725.76,"NATIONAL INSTITUTES OF HEALTH (NIH), OFFICE OF INFORMATION TECHNOLOGY (OIT), CIO-SP3 IT SERVICE",2025-08-27,2026-02-26,Department of Health and Human Services,National Institutes of Health,USAspending,CRITICAL - 90 days
DISA,Defense Information Systems Agency,DoD,19AQMM19F3103,"PHOENIX AIR GROUP, INC.",418325383.8,MULTI-MISSION AVIATION AND SUPPORT SERVICES,2019-09-01,2026-02-28,Department of State,Department of State,USAspending,CRITICAL - 90 days
CENTCOM,Central Command,DoD,FA481421F0191,THE RED GATE GROUP LTD,21818075.05,PKB - CCCI COMMUNICATIONS INTEGRATION SUPPORT  CENTCOM,2021-08-26,2026-02-28,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
Zero Trust,Zero Trust Architecture Initiative,DoD,1605TB24F00035,"FOUR POINTS TECHNOLOGY, L.L.C.",10168775.1,SOFTWARE: THE PURPOSE OF THIS REQUIREMENT IS TO PROCURE/RENEW ZSCALER LICENSES IN SUPPORT OF OCIO'S TRANSITION TO ZERO TRUST ARCHITECTURE IN ACCORDANCE WITH EXECUTIVE ORDER 14028.  THE PERIOD OF PERFORMANCE IS FOR ONE TWELVE (12) MONTH BASE PERI,2024-03-01,2026-02-28,Department of Labor,Office of the Assistant Secretary for Administration and Management,USAspending,CRITICAL - 90 days
CH-53K,CH-53K King Stallion,DoD,FA857621F0006,NORTHROP GRUMMAN SYSTEMS CORPORATION,3007920.64,EMBEDDED GLOBAL POSITIONING SYSTEM (GPS) / INERTIAL NAVIGATION SYSTEM (INS)-MODERNIZED (EGI-M) ENGINEERING TECHNICAL SERVICES TASK ORDER FOR CH-53K SOFTWARE DEVELOPMENT.,2021-09-30,2026-02-28,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
CENTCOM,Central Command,DoD,FA489024C0035,MICROTECHNOLOGIES LLC,51188836.57,"THIS AIR FORCE CENTRAL COMMAND (AFCENT) A6 CONTRACT IS THE COMBINED AIR OPERATION CENTER (CAOC) SUPPORT TO PERFORM OPERATIONS AND MAINTENANCE OF ALL AIR OPERATIONS CENTER COMMUNICATION SYSTEMS 24/7/365 AT AL UDEID AIR BASE, QATAR AND SHAW AFB, SC.",2024-09-03,2026-03-02,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
EUCOM,European Command,DoD,W52P1J19F0358,"KBR SERVICES, LLC",31370156.97,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM SETTING THE THEATER SERVICES.,2019-04-12,2026-03-02,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
DEOS,Defense Enterprise Office Solutions,DoD,47QFSA21F0023,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",90923781.67,DEFENSE ENTERPRISE OFFICE SOLUTIONS (DEOS),2021-03-05,2026-03-04,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
Zero Trust,Zero Trust Architecture Initiative,DoD,HQ003425CE074,"KONIAG IT SYSTEMS, LLC",8275290.18,SPECIALIZED SERVICES TO SUPPORT CYBERSECURITY AND THE ZERO TRUST PORTFOLIO MANAGEMENT OFFICE FOR THE DEPUTY CHIEF INFORMATION OFFICER.,2025-09-06,2026-03-05,Department of Defense,Washington Headquarters Services,USAspending,CRITICAL - 90 days
NGA,National Geospatial-Intelligence Agency,DoD,W912DQ17C7002,CARAHSOFT TECHNOLOGY CORP,2843443.0,IGF::OT::IGF COLLABORATIVE PROGRAM WORKSPACE (CLOUD) SOFTWARE AS A SERVICE FOR THE NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY'S NEXT NGA WEST PROGRAM.,2017-09-30,2026-03-07,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
DEOS,Defense Enterprise Office Solutions,DoD,47QFSA23F0020,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",21048583.89,DEOS DHA MED365 TENANT OPERATIONS AND MAINTENANCE,2023-03-10,2026-03-09,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
INSCOM,Intelligence and Security Command,DoD,W91RUS23F0250,"EMPOWER AI, INC.",21383340.15,"IT SERVICES FOR THE UNITED STATES ARMY INTELLIGENCE AND SECURITY COMMAND AND THE U.S. ARMY COUNTER INTELLIGENCE COMMAND IN BUILDINGS 4552, AND 4554 LOCATED AT PIKE PLACE, AND BUILDING 2600, FORT MEADE, MARYLAND.",2023-09-18,2026-03-10,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
SOUTHCOM,Southern Command,DoD,W9127824F0230,"MARTINEZ SERVICES, INC.",3351083.73,SOUTHCOM FIRST FLOOR RENOVATIONS,2024-09-16,2026-03-10,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
ABMS,Advanced Battle Management System,DoD,FA861222FB004,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,39505515.18,DIGITAL INFRASTRUCTURE CONSORTIUM FOR ADVANCED BATTLE MANAGEMENT SYSTEM,2022-06-10,2026-03-12,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
ABMS,Advanced Battle Management System,DoD,FA861222FB003,"LEIDOS, INC.",38912950.85,DIGITAL INFRASTRUCTURE CONSORTIUM FOR ADVANCED BATTLE MANAGEMENT SYSTEM,2022-06-09,2026-03-12,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
OASIS,One Acquisition Solution for Integrated Services,GSA,W58RGZ24F0003,"MODERN TECHNOLOGY SOLUTIONS, INC.",23709798.01,"GENERAL SUPPLY SCHEDULE, ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES, SMALL BUSINESS POOL 6 FOR FUTURE ATTACK RECONNAISSANCE AIRCRAFT PROGRAMMATIC SUPPORT SERVICES.",2023-10-31,2026-03-12,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
ECMA,Enterprise Cloud Management Agency,DoD,W519TC25FA006,"ORACLE AMERICA, INC",520150.0,"THE ENTERPRISE CLOUD MANAGEMENT AGENCY (ECMA) REQUIRES ORACLE AMERICA CLOUD COMPUTING CAPABILITIES AND SERVICES AT DOD IMPACT LEVEL (IL) 2, 4, 5, AND 6 (SECRET), WHERE THE UNIT PRICES ARE FIXED, BUT CONSUMPTION (SERVICE USAGE) MAY VARY.",2025-03-13,2026-03-12,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
DISA,Defense Information Systems Agency,DoD,HC104725F6220,INDRASOFT INC.,5982136.0,DEFENSE INFORMATION SYSTEMS AGENCY STOREFRONT. SUPPORT AND EXPERTISE FOR THE UNCLASSIFIED STOREFRONT PORTAL IN NON-SECURE INTERNET PROTOCOL ROUTER NETWORK HOSTED ENVIRONMENTS,2025-06-15,2026-03-14,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
EUCOM,European Command,DoD,FA489024F0170,OBERA LLC,4786525.51,EUROPEAN COMMAND AND AFRICA COMMAND SMALL SCALE CONSTRUCTION,2024-09-30,2026-03-15,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
AFRICOM,Africa Command,DoD,FA489024F0170,OBERA LLC,4786525.51,EUROPEAN COMMAND AND AFRICA COMMAND SMALL SCALE CONSTRUCTION,2024-09-30,2026-03-15,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
Orion,Orion Spacecraft,NASA,80HQTR17C0009,SIERRA SPACE CORP,27273827.87,"IGF::OT::IGF NASA BAA/NRA AWARD.  PROPOSAL TITLE ""NEXT SPACE TECHNOLOGIES FOR EXPLORATION PARTNERSHIP - NEXTSTEP-2.  THE NEXTSTEP-2 STUDY CONDUCTED BY SNC WILL EVALUATE MISSION ARCHITECTURE, SYSTEM INTERFACES, AND SUBSYSTEM COMPONENT DESIGN TO MEET THE OBJECTIVES OF THE THREE OPERATIONAL PHASES OUTLINED BY NASA.  NASA'S HEOMD/AES DIVISION SELECTED THE SIERRA NEVADA CORPORATION PROPOSAL IN RESPONSE TO THE NEXT SPACE TECHNOLOGIES FOR EXPLORATION PARTNERSHIPS -2 (NEXTSTEP-2) BAA SOLICITATION IN THE",2017-08-29,2026-03-20,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,CRITICAL - 90 days
JADC2,Joint All-Domain Command and Control,DoD,47QFLA23F0061,MILE TWO LLC,6415886.38,TO 01  JOINT ALL DOMAIN COMMAND AND CONTROL JADC2 - PHASE III MILE TWO,2023-03-21,2026-03-20,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
STRATCOM,Strategic Command,DoD,N0003924C7801,INK TO THINK LLC,4427513.05,STRATCOMM PRODUCTS,2024-05-28,2026-03-21,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
JWCC,Joint Warfighting Cloud Capability,DoD,HC105023F0009,"AMAZON WEB SERVICES, INC.",1307721.83,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) SANDBOX TASK ORDER,2023-03-23,2026-03-23,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
JWCC,Joint Warfighting Cloud Capability,DoD,HC105023F0006,GOOGLE PUBLIC SECTOR LLC,830216.69,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) SANDBOX TASK ORDER,2023-03-23,2026-03-23,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
JWCC,Joint Warfighting Cloud Capability,DoD,HC105023F0008,"ORACLE AMERICA, INC",761204.48,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) SANDBOX TASK ORDER,2023-03-23,2026-03-23,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
JWCC,Joint Warfighting Cloud Capability,DoD,HC105023F0007,MICROSOFT CORPORATION,705410.21,JOINT WARFIGHTING CAPABILITY CONTRACT(JWCC) SANDBOX TASK ORDER,2023-03-23,2026-03-23,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
CMMC,Cybersecurity Maturity Model Certification,DoD,HQ003425F0121,BOOZ ALLEN HAMILTON INC,4479849.0,"ADMINISTRATIVE AND PROGRAM SUPPORT SERVICES FOR THE CYBERSECURITY MATURITY MODEL CERTIFICATION, PROGRAM MANAGEMENT OFFICE, AND DEFENSE INDUSTRIAL BASE CYBERSECURITY OPERATIONS PROGRAM",2025-03-27,2026-03-26,Department of Defense,Washington Headquarters Services,USAspending,CRITICAL - 90 days
CMMC,Cybersecurity Maturity Model Certification,DoD,HC102825F0274,BOOZ ALLEN HAMILTON INC,1794411.03,ENTERPRISE MISSION ASSURANCE SUPPORT SERVICE FOR CYBERSECURITY MATURITY MODEL CERTIFICATION,2025-03-27,2026-03-26,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
OASIS,One Acquisition Solution for Integrated Services,GSA,FA811922F0018,NORTHROP GRUMMAN SYSTEMS CORPORATION,4147265.53,ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (GSA OASIS) API DATA CLEANSE ENGINEERING PROJECT FOR THE B-2 PROGRAM.,2022-03-28,2026-03-27,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
MQ-25,MQ-25 Stingray Tanker Drone,DoD,N6600125F0356,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,49972.84,TACTICAL NETWORKS IN-SERVICE ENGINEERING AGENT (ISEA) CONFIGURATION MANAGEMENT (CM) SUPPORT FOR MQ-25 AND ADVANCED NETWORKING TACTICAL SYSTEM (ANTS).,2025-03-28,2026-03-27,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
INDOPACOM,Indo-Pacific Command,DoD,W912DY23F0505,"POND-WOOLPERT, LLC",435216.07,INDOPACOM CONSTRUCTION CRITERIA MANUAL,2023-09-29,2026-03-28,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
EUCOM,European Command,DoD,W52P1J19F0394,"KBR SERVICES, LLC",2188230584.34,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM PERFORMANCE TASK ORDER.,2019-04-12,2026-03-29,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
EAGLE,Enterprise Acquisition Gateway for Leading Edge Solutions,DHS,15A00021FAQ000087,"EAGLE HARBOR, LLC",198926361.24,TECHNICAL AND OPERATION SUPPORT SERVICES,2021-03-30,2026-03-29,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",USAspending,CRITICAL - 90 days
F-35,Joint Strike Fighter Program,DoD,FA807521F0030,HII MISSION TECHNOLOGIES CORP,77154891.23,"AIRCRAFT AND WEAPONS SYSTEMS RESEARCH & DEVELOPMENT PROGRAM,  F-35 LIGHTNING II JOINT PROGRAM OFFICE",2021-03-31,2026-03-30,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
EUCOM,European Command,DoD,W9127823F0409,"HDR ENGINEERING, INC.",3557654.01,ENERGY STRATEGY IEP ANNEX AND PLANNING EUCOM SELECT BASES,2023-09-26,2026-03-30,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
NASA,National Aeronautics and Space Administration,NASA,80GSFC19C0063,PERATON INC.,1430090663.78,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,2019-10-01,2026-03-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,CRITICAL - 90 days
EIS,Enterprise Infrastructure Solutions,GSA,N3220521C3009,"PATRIOT CONTRACT SERVICES, LLC",865107741.77,"N105B/PM3 AND PM5/ CREATED BY PAVELCHAK ON BEHALF OF WOOD, JAMES/ CONTRACT AWARD FOR THE OPERATION AND MAINTENANCE OF EIGHT GOVERNMENT-OWNED LARGE, MEDIUM-SPEED, ROLL-ON, ROLL-OFF (LMSR) VESSELS.",2021-04-01,2026-03-31,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
EIS,Enterprise Infrastructure Solutions,GSA,140D0419F0326,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",199995488.92,DOI EIS DATA SERVICES,2019-09-20,2026-03-31,Department of the Interior,Departmental Offices,USAspending,CRITICAL - 90 days
CYBERCOM,Cyber Command,DoD,HC102821F1170,MICROSOFT CORPORATION,172503499.89,ARMY CYBER COMMANDS MICROSOFT CONSULTING SERVICES AND MICROSOFT PREMIER SUPPORT,2021-09-30,2026-03-31,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
SEWP,Solutions for Enterprise-Wide Procurement V,NASA,19AQMM25F0567,"V3GATE, LLC",53161313.92,PROVISIONING OF SALESFORCE PRODUCT LICENSES AND ASSOCIATED SUPPORT SERVICES SUBJECT TO ESTABLISHED NASA SEWP AGENCY CATALOGUE,2025-04-01,2026-03-31,Department of State,Department of State,USAspending,CRITICAL - 90 days
EIS,Enterprise Infrastructure Solutions,GSA,12314420F0769,"NOBLIS, INC.",22007545.6,NOBLIS ENTERPRISE INFRASTRUCTURE SOLUTIONS SUPPORT SERVICES,2020-09-29,2026-03-31,Department of Agriculture,Office of the Chief Financial Officer,USAspending,CRITICAL - 90 days
CYBERCOM,Cyber Command,DoD,FA830725CB009,ENLIGHTEN IT CONSULTING LLC,6224794.55,"THE INTEGRATED DEFENSIVE CYBER SYSTEMS DATA FABRIC (IDCS-DF) PROMOTES REAL-TIME INTEROPERABILITY ACROSS ENTERPRISE AND TACTICAL ENVIRONMENTS, SUPPORTING IMPROVED INTEGRATING WITH THE JOINT CYBER COMMAND AND CONTROL (JCC2) SYSTEMS.",2025-02-20,2026-03-31,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
B-21,B-21 Raider Bomber,DoD,W9128F22F0121,FSB - POND JOINT VENTURE,2965446.39,B-21 ADAL OPS 1 PCR,2022-06-10,2026-03-31,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
