program_name,bullhorn_mentions,contract_count,total_value,contractors,agencies,top_contract_piid,top_contract_value,top_contractor
AEGIS,76,50,18988856278.07,"THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC; ENGILITY SERVICES, LLC; HUNTINGTON INGALLS INCORPORATED; THE BOEING COMPANY; AEGIS AEROSPACE INC; LOCKHEED MARTIN OVERSEAS, LLC; NORTHROP GRUMMAN SYSTEMS CORPORATION; GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.; SYSTEMS ENGINEERING GROUP, INC.; BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.",National Aeronautics and Space Administration; Department of Defense; Department of State,HQ027610C0001,3096214936.03,LOCKHEED MARTIN CORPORATION
F-35,63,50,35965051463.98,"R.A. BURCH CONSTRUCTION CO., INC.; RTX CORPORATION; LOCKHEED MARTIN CORPORATION; HHI CORPORATION; BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.; DCS CORPORATION; WU & ASSOCIATES INC; AMERICAN SYSTEMS CORPORATION; MICROSOFT CORPORATION; AMERICAN ELECTRONICS, INC.",Department of Defense,N0001921C0020,7953264130.5,LOCKHEED MARTIN CORPORATION
NRO,63,50,203654964.41,VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA; THE REGENTS OF THE UNIVERSITY OF COLORADO; STANFORD LELAND JUNIOR UNIVERSITY; ASRC FEDERAL SYSTEM SOLUTIONS LLC; GEORGE WASHINGTON UNIVERSITY (THE); THE PENNSYLVANIA STATE UNIVERSITY; CMCS - T SIMONS JV; NORWICH UNIVERSITY; NAVAR INC.; JACKSONVILLE UNIVERSITY,Nuclear Regulatory Commission; Department of the Interior; Department of Defense; Department of Justice,FA881818F0004,45674550.0,ORBITAL SCIENCES LLC
TRANSCOM,54,50,138613953.29,"SIKICH CPA LLC; GRANT THORNTON PUBLIC SECTOR LLC; CPCS TRANSCOM LIMITED; RAYTHEON COMPANY; DELL MARKETING L.P.; ROLLS-ROYCE MARINE NORTH AMERICA INC.; CACI-ISS, LLC; MA-CHIS LOWER CREEK INDIAN TRIBE ENTERPRISES, INC.; INTEGRATED DATA SERVICES, LLC; MANAGEMENT SCIENCES, INC",Department of Defense; Millennium Challenge Corporation; Department of Energy; Department of Veterans Affairs; United States Trade and Development Agency,HQ042321F0004,26935574.64,SIKICH CPA LLC
JWCC,51,14,98032571.71000001,"GOOGLE PUBLIC SECTOR LLC; ORACLE AMERICA, INC; CHICKASAW STRATEGIC POINTE, LLC; SALIENT FEDERAL-SGIS INC; MICROSOFT CORPORATION; AMAZON WEB SERVICES, INC.",Department of Defense,W519TC25FA004,62681935.71,"AMAZON WEB SERVICES, INC."
DARPA,47,50,3968402035.58,"THE BOEING COMPANY; NORTHROP GRUMMAN SYSTEMS CORPORATION; APPLIED PHYSICAL SCIENCES CORP; ADVANCED RESOURCE TECHNOLOGIES, INC.; RAYTHEON COMPANY; LOCKHEED MARTIN CORPORATION; AEROVIRONMENT, INC.; SYSTEMS & TECHNOLOGY RESEARCH LLC; GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.; THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC",Department of the Interior; Department of Defense,HR001124C0304,407392312.16,LOCKHEED MARTIN CORPORATION
SLS,45,50,6980954405.53,"ALLIANT TECHSYSTEMS OPERATIONS LLC; THE BOEING COMPANY; NORTHSTAR FEDERAL SERVICES, INC.; NORTHROP GRUMMAN SYSTEMS CORPORATION; ENTERPRISE INTEGRATION, INC; VECTRUS SYSTEMS LLC; PREVAILANCE, INC.; ENVIRONMENTAL RAIL SOLUTIONS INC; S & L LANDSCAPING & EXCAVATION INC; TACTICAL LIGHTING SYSTEMS INC",National Aeronautics and Space Administration; Department of Defense; Department of Energy; Department of Homeland Security; Department of Transportation,80KSC019C0013,1474889354.01,"BECHTEL NATIONAL, INC."
GPS OCX,40,0,,,,,,
Alliant,31,50,11465898739.11,"LEIDOS, INC.; ALLIANT TECHSYSTEMS OPERATIONS LLC; ACCENTURE FEDERAL SERVICES LLC; ALLIANT INSURANCE SERVICES, INC.; NORTHROP GRUMMAN INNOVATION SYSTEMS LLC; ALLIANT TECHSYSTEMS INC; ALLIANT SOLUTIONS, LLC; SBD ALLIANT, LLC; ALLIANT SB CTA, LLC; ADVANCED ALLIANT SOLUTIONS TEAM, LIMITED PARTNERSHIP",Department of the Treasury; Department of Defense; Department of Transportation; Department of the Interior; General Services Administration,0018,668091298.47,ALLIANT TECHSYSTEMS OPERATIONS LLC
SOCOM,30,50,692264644.28,"MINBURN TECHNOLOGY GROUP, LLC; PARSONS GOVERNMENT SERVICES INC.; COAKLEY & WILLIAMS CONSTRUCTION, INC.; WICKR LLC; POLARIS SALES INC; TOOTLE CONSTRUCTION, LLC; TELEDYNE FLIR UNMANNED GROUND SYSTEMS, INC; RAYTHEON COMPANY; FOUR LLC; GM DEFENSE LLC",Department of Defense; General Services Administration,HC101318F0179,103191482.68,"GLOBAL ENTERPRISE SOLUTIONS, INC."
