search_keyword,award_id,recipient,amount,description,awarding_agency,start_date,end_date,state
cybersecurity,89233125FNA000176,ACCENTURE FEDERAL SERVICES LLC,67002281.51,"THE NNSA OCIO IS IN NEED OF IT OPERATIONS TO INCLUDE: SERVICE OPERATIONS AND MANAGEMENT SERVICES, PATCH MANAGEMENT, HOSTING AND CLOUD SERVICES, CYBERSECURITY SUPPORT SERVICES, UNIFIED COMMUNICATIONS AND MESSAGING SERVICES (UCMS) AND SOFTWARE DEVELOPM",Department of Energy,2025-01-23,2027-01-22,
cybersecurity,75FCMC24F0049,IRON VINE SECURITY LLC,64677005.4,CMS CYBERSECURITY INTEGRATION CENTER OPERATIONS (CCICOPS),Department of Health and Human Services,2024-03-15,2026-03-14,
artificial intelligence,W911QX20C0023,"ECS FEDERAL, LLC",118579059.35,RESEARCH AND DEVELOPMENT EFFORT TO DESIGN AND DEVELOP PROTOTYPES TO ARTIFICIAL INTELLIGENCE/MACHINE LEARNING ALGORITHMS.,Department of Defense,2020-04-23,2026-03-11,
artificial intelligence,140D0421C0002,TUKNIK GOVERNMENT SERVICES LLC,106725460.68,"INFORMATION TECHNOLOGY (IT), ARTIFICIAL INTELLIGENCE (AI), AND MACHINE LEARNING (ML) PROGRAMMATIC SUPPORT SERVICES FOR THE DEPARTMENT OF DEFENSE CHIEF INFORMATION OFFICER (DOD CIO) JOINT ARTIFICIAL INTELLIGENCE CENTER (JAIC)",Department of the Interior,2020-12-23,2025-03-10,
artificial intelligence,36C10B20F0417,SWISH DATA CORPORATION,47795668.04,SCIENCE LOGIC ARTIFICIAL INTELLIGENCE OPERATIONS (AIOPS) SOLUTION,Department of Veterans Affairs,2020-09-24,2025-09-23,
artificial intelligence,W911QX25C0002,"ECS FEDERAL, LLC",46636622.67,"CONTRACT TO RESEARCH, DEVELOP, MODIFY, DEPLOY, OPERATE, AND MAINTAIN ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) ALGORITHMS AND MODELS.",Department of Defense,2025-01-30,2026-09-24,
artificial intelligence,1333BJ20F00280017,ACCENTURE FEDERAL SERVICES LLC,44076744.6,IMPROVE PATENT SEARCH WITH ARTIFICIAL INTELLIGENCE CONTRACTOR SUPPORT FOR RFI PROTOTYPE POP&FPOP: 6 MONTHS FROM DOA. EPMS ID 102001,Department of Commerce,2019-10-31,2023-04-30,
artificial intelligence,W911QX22C0029,"MORSECORP, INC",41434075.13,ADVANCED TEST AND EVALUATION (T&E) FOR THE EXPONENTIAL PACE OF ARTIFICIAL INTELLIGENCE / MACHINE LEARNING (AI/ML) PROGRESS.,Department of Defense,2022-08-26,2026-03-31,
artificial intelligence,1333BJ24C00280005,ACCENTURE FEDERAL SERVICES LLC,18528267.83,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR. THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,Department of Commerce,2024-07-01,2026-03-31,
artificial intelligence,75FCMC23F0001,INDEX ANALYTICS LLC,15932044.68,ARTIFICIAL INTELLIGENCE THROUGH MACHINE LEARNED MODELING (AIMM),Department of Health and Human Services,2023-09-28,2026-09-27,
artificial intelligence,FA865021C6271,MILE TWO LLC,14788874.0,ARTIFICIAL INTELLIGENCE ENHANCED WORKFLOWS &PROCESSES -SBIR3,Department of Defense,2021-01-15,2026-01-15,
artificial intelligence,HR001124C0310,NORTHROP GRUMMAN SYSTEMS CORPORATION,13852711.0,ARTIFICIAL INTELLIGENCE REINFORCEMENTS (AIR),Department of Defense,2024-02-07,2028-02-06,
artificial intelligence,1333BJ23C00280006,ACCENTURE FEDERAL SERVICES LLC,13293563.31,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR.  THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,Department of Commerce,2023-05-01,2024-06-30,
artificial intelligence,2032H520F00810,"ASR ANALYTICS, LLC",12874960.1,"EMERGING COMPLIANCE ISSUES: DEMAND FOR DATA AND ANALYTICAL SERVICES CONTINUES TO INCREASE ACROSS ALL IRS BUSINESS UNITS, INCLUDING REQUESTS FOR NEW DATA SOURCES THAT ARE NEEDED FOR ANALYTICS AND ARTIFICIAL INTELLIGENCE.",Department of the Treasury,2020-09-30,2026-03-28,
artificial intelligence,W519TC25F0241,"BYTECUBED, LLC",12680126.0,"12MONTH BASE PERIOD 12MONTH OP. EST ACCELERATING DATA AND ARTIFICIAL INTELLIGENCE(ADA)INCIDENT RESPONSE(IR)TEAMS SUPPORT DATA DRIVEN DECISION MAKING TO SCALE DATA, ANALYTICS, AND AI AT THE CHIEF DIGITAL AND ARTIFICIAL INTELLIGENCE (AI) OFFICE (CDAO)",Department of Defense,2025-06-03,2027-06-02,
artificial intelligence,HQ003425CE012,"KONIAG IT SYSTEMS, LLC",12022390.38,"INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAMMATIC SUPPORT SERVICES",Department of Defense,2025-03-11,2025-09-10,
artificial intelligence,W15QKN24C0004,THE TRUSTEES OF THE STEVENS INSTITUTE OF TECHNOLOGY,10484496.0,QUANTUM & ARTIFICIAL INTELLIGENCE TECHNOLOGIES FOR NEXT GENERATION ARMAMENT SYSTEMS,Department of Defense,2023-10-23,2026-03-22,
artificial intelligence,W56KGU25C0004,CAMGIAN CORPORATION,10312575.0,DEVELOPMENT OF ADVANCED DATA-DRIVEN COGNITIVE DECISION AIDS AND THE ASSOCIATED TOOLS/INFRASTRUCTURE TO DEMONSTRATE THESE AIDS. ARTIFICIAL INTELLIGENCE BASED SYSTEM FRAMEWORK AND ENABLING TOOLS TO SUPPORT THE IMPLEMENTATION OF MACHINE LEARNING (ML).,Department of Defense,2025-02-14,2026-08-13,
artificial intelligence,FA865021F1152,NIMBIS SERVICES INC,9944132.0,ARTIFICIAL INTELLIGENCE & WORKFORCE DEVELOPMENT PLATFORM (AI-WFD),Department of Defense,2021-05-28,2025-04-15,
artificial intelligence,FA300224C0011,IPERFORMX LLC,9678852.0,"SOFTWARE LICENSES AND SUPPORT FOR THE USER PORTAL, SIMULATION ENVIRONMENT, ARTIFICIAL INTELLIGENCE FLIGHT INSTRUCTOR, LEARNING MANAGEMENT SYSTEM (LMS), AND ON-PREMISES NETWORK AND DATA ARCHITECTURE UTILIZING STATE OF THE ART COMMERCIAL SOLUTIONS.",Department of Defense,2024-08-01,2025-11-30,
artificial intelligence,FA865023C7318,"CACI, INC. - FEDERAL",9549246.0,FRAMEWORK FOR ARTIFICIAL INTELLIGENCE TRUSTWORTHINESS IN HUMAN-MACHINE DELEGATION (FAITH-MD),Department of Defense,2023-04-13,2026-12-14,
artificial intelligence,FA830725CB031,MIXMODE INC,9511740.0,"MIXMODE SBIR PHASE III - ARTIFICIAL INTELLIGENCE FOR NETWORK VISIBILITY AND REAL-TIME THREAT DETECTION FOR PROTECTION OF DATA, NETWORKS, NET-CENTRIC CAPABILITIES, AND OTHER DESIGNATED SYSTEMS RESPONDING TO ATTACKS AGAINST FRIENDLY NETWORKS.",Department of Defense,2025-09-26,2026-09-25,
artificial intelligence,HQ003424F0362,"LMI CONSULTING, LLC",9396447.05,CHIEF DIGITAL AND ARTIFICIAL INTELLIGENCE OFFICE SUPPLY CHAIN RISK EVALUATION ENVIRONMENT PLATFORM DEVELOPMENT SUPPORT.,Department of Defense,2024-07-29,2026-07-28,
artificial intelligence,FA875024CB040,INTERNATIONAL BUSINESS MACHINES CORPORATION,9266224.0,"NORTH POLE HUB - DESIGN, VERIFY AND VALIDATE AN ARTIFICIAL INTELLIGENCE (AI) AND MACHINE LEARNING (ML) NORTH POLE PLATFORM TECHNOLOGY THAT WILL BE MOUNTED ON TEST BOARDS",Department of Defense,2024-05-30,2027-07-28,
artificial intelligence,HQ003425CE092,"LEISNOI PROFESSIONAL SERVICES, LLC",8728231.32,"THIS IS A NON-PERSONAL SERVICES CONTRACT TO PROVIDE INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAM SUPPORT SERVICES.",Department of Defense,2025-09-11,2026-03-10,
artificial intelligence,FA239125CB010,UNIVERSITY OF DAYTON,8552215.4,HYBRID ARTIFICIAL INTELLIGENCE AND AUTONOMY RESEARCH AND DEVELOPMENT CONSIDERED OPERATIONALLY RELEVANT AND EXPLAINABLE (HAARDCORE),Department of Defense,2025-08-25,2028-02-24,
artificial intelligence,15F06725F0001855,ACCENTURE FEDERAL SERVICES LLC,8336751.47,ITSSS- 2 SCOR 49- ARTIFICIAL INTELLIGENCE (AI) EXPLOITATION PROOF OF CONCEPT (POC),Department of Justice,2025-09-22,2026-09-21,
cloud,NNG09HR00C,LOCKHEED MARTIN CORP,2032336134.57,"THE GOVERNMENT IS PROCURING THE NEXT-GENERATION GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES (GOES) SERIES TO CONTINUE ITS MISSION THROUGH NEW REQUIREMENTS SPECIFIED IN THE GOES-R LEVEL I REQUIREMENTS DOCUMENT AND MISSION REQUIREMENTS DOCUMENT (MRD). THE FIRST SATELLITE OF THIS NEW SERIES, DESIGNATED AS GOES-R, WILL PROVIDE THE FIRST MAJOR IMPROVEMENT IN INSTRUMENT TECHNOLOGY SINCE GOES-I LAUNCHED IN 1994. THE GOES-R SERIES WILL INTRODUCE OTHER NEW TECHNOLOGIES IN BOTH THE SPACE AND GROUND SEGMENTS. THESE ADVANCES WILL IMPROVE THE NATION'S ABILITY TO MONITOR AND FORECAST WEATHER AND ENVIRONMENTAL PHENOMENA WITH A SIGNIFICANT INCREASE IN THE NUMBER OF PRODUCTS.  ONE OF NOAA'S PRINCIPAL MISSIONS IS TO PROVIDE FORECASTS AND WARNINGS FOR THE UNITED STATES, ITS TERRITORIES, ADJACENT WATERS AND OCEAN AREA FOR THE PROTECTION OF LIFE AND PROPERTY AND ENHANCEMENT OF THE NATIONAL ECONOMY. THIS MISSION REQUIRES THE CAPABILITY TO ACQUIRE, PROCESS, AND DISSEMINATE ENVIRONMENTAL DATA ON AN EXTENSIVE SPATIAL RANGE (GLOBAL, REGIONAL AND LOCAL) ON A VARIETY OF TIME SCALES. THESE DATA INCLUDE, BUT ARE NOT LIMITED TO: GLOBAL IMAGERY; CLOUD AND PRECIPITATION PARAMETERS; ATMOSPHERIC PROFILES OF TEMPERATURE, MOISTURE, WINDS, AEROSOLS, AND OZONE; SURFACE CONDITIONS CONCERNING ICE, SNOW AND VEGETATION; OCEAN PARAMETERS AND SEA-SURFACE TEMPERATURE; AND SOLAR AND IN-SITU SPACE ENVIRONMENT CONDITIONS.  THE STATEMENT OF WORK (SOW) DEFINES THOSE TASKS TO DESIGN, ANALYZE, VALIDATE, DEVELOP, FABRICATE, ASSEMBLE, INTEGRATE, TEST, VERIFY, EVALUATE, DELIVER GOES-R SERIES SATELLITES AND SUPPORT LAUNCH AND POST LAUNCH, SUPPLY AND MAINTAIN THE GROUND SUPPORT EQUIPMENT (GSE), AND SUPPORT THE NOAA SATELLITE OPERATIONS CONTROL CENTER (SOCC).  THE CONTRACTOR SHALL PROVIDE THE PERSONNEL, MATERIALS, FACILITIES, AND OTHER RESOURCES TO DESIGN, VALIDATE, FABRICATE, ASSEMBLE, INTEGRATE, TEST, VERIFY, AND DELIVER GOES-R SERIES SATELLITES AND PROVIDE PRE-LAUNCH, LAUNCH, AND POST-LAUNCH SUPPORT AND TRAINING UNDER THE BASIC CONTRACT, AND OPTIONS WHEN EXERCISED BY THE GOVERNMENT.",National Aeronautics and Space Administration,2008-12-04,2039-04-30,
cloud,75FCMC20F0080,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",902031452.0,CLOUD PRODUCTS&TOOLS (CPT),Department of Health and Human Services,2020-09-01,2025-06-30,
cloud,SP470122F0180,"ADVANTAGED SOLUTIONS, LLC",445744154.93,ERP CLOUD HOSTING,Department of Defense,2022-09-29,2026-03-28,
cloud,36C10B22F0207,"FOUR POINTS TECHNOLOGY, L.L.C.",406186576.7,ENTERPRISE CLOUD CAPACITY - AMAZON WEB SERVICES,Department of Veterans Affairs,2022-08-03,2026-02-02,
cloud,12314418F0020,ACCENTURE FEDERAL SERVICES LLC,330420508.49,USDA ENTERPRISE-SCALE FEDRAMP CERTIFIED CLOUD HOSTING SERVICES.  IGF::OT::IGF,Department of Agriculture,2017-09-19,2027-05-31,
cloud,75FCMC25FJ022,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",251598270.0,"THE CLOUD PRODUCTS AND TOOLS (CPT) CONTRACT IS USED TO PROVIDE CLOUD-BASED INFRASTRUCTURE FROM COMMERCIAL CLOUD SERVICE PROVIDERS (CSP) SUCH AS MICROSOFT AZURE GOVERNMENT (MAG) AND AMAZON WEB SERVICES (AWS), AS WELL AS SOFTWARE, HARDWARE, TOOLS, PROF",Department of Health and Human Services,2025-02-20,2026-06-30,
cloud,FA872624F0001,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,250661519.25,CLOUDONE CONTINUATION CONTRACT - CLOUD SERVICES,Department of Defense,2019-09-10,2026-03-07,
cloud,GSFC0199609DNAS596090,"L3HARRIS TECHNOLOGIES, INC.",240731492.57,"THE CONTRACTOR SHALL PROVIDE THE PERSONNEL. MATERIALS, AND FACILITIES NECESSARY TO DESIGN. DEVELOP, INTEGRATE, TEST AND SUPPORT GOES IMAGER AND SOUNDER INSTRUMENTS; SUPPORT INSTRUMENT INTEGRATION INTO THE SPACECRAFT; TO CONDUCT SPACECRAFT-LEVEL INSTRUMENT TESTING; AND TO SUPPORT LAUNCH AND ON-ORBIT OPERATIONS FOR THE NOAA GEOSTATIONARY ENVIRONMENTAL SATELLITE PROGRAM. THE IMAGER SHALL BE A FIVE SPECTRAL CHANNEL TWO-AXIS SCANNING RADIOMETER, AND SHALL BE CAPABLE OF PROVIDING IMAGERY AND RADIOMETRIC INFORMATION OF THE EARTH S SURFACE AND CLOUD COVER.  CAPABILITY FOR STAR SENSING SHALL ALSO BE PROVIDED.  THE INSTRUMENT SHALL BE CAPABLE OF MEASURING EMITTED AND SOLAR REFLECTED RADIANCE SIMULTANEOUSLY FROM THE FIVE SPECTRAL CHANNELS.  RADIOMETRIC QUALITY, SIMULTANEOUS DATA COLLECTION WITH THE SOUNDER, AND SCAN FLEXIBILITY ARE PRIME REQUIREMENTS OF THE SYSTEM. THE SOUNDER SHALL BE A 19 SPECTRAL CHANNEL DISCRETE FILTER WHEEL RADIOMETER USING A TWO-AXIS SCANNING MIRROR CAPABLE OF PROVIDING VARIABLE AREA SOUNDING OF THE EARTH S ATMOSPHERE.  RADIOMETRIC QUALITY, SIMULTANEOUS DATA COLLECTION WITH THE IMAGER, AND SCAN FLEXIBILITY ARE PRIME REQUIREMENTS FOR THE SOUNDER.",National Aeronautics and Space Administration,1996-09-15,2020-09-30,
cloud,FA872624FB071,ACCENTURE FEDERAL SERVICES LLC,216032535.38,ENTERPRISE CLOUD SERVICE PROVIDER RESELLER AND SOFTWARE MANAGEMENT,Department of Defense,2024-09-11,2026-06-10,
cloud,TIRNO12Z000160002,SCIENCE APPLICATIONS INTERNATIONAL CORP,209799476.06,ENTERPRISE STORAGE ACQUISITION ADD FUNDS. IGF::CL::IGF,Department of the Treasury,2012-08-30,2022-12-28,
cloud,2032H522F00497,ACCENTURE FEDERAL SERVICES LLC,192290407.73,IRS ENTERPRISE CLOUD MANAGED SERVICE PROVIDER SERVICES,Department of the Treasury,2022-09-01,2025-09-30,
cloud,19AQMM20F2064,"AT&T ENTERPRISES, LLC",172070000.55,AWARD OF TASK ORDER ONE FOR DOMESTIC TELECOMMUNICATIONS FOR THE DOS.,Department of State,2020-08-12,2026-08-11,
cloud,140D0419F0357,CGI FEDERAL INC.,163795243.79,FOLLOW ON TASK ORDER TO D15PD00594 FOR AGENCIES THAT HAVE MATURED TO FULL PRODUCTION,Department of the Interior,2019-09-01,2025-02-28,
cloud,1333BJ21F00280055,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",158795915.73,CONTRACT TO ACQUIRE EFFICIENT AND COST EFFECTIVE ENTERPRISE CLOUD SUPPORT SERVICES UTILIZING AGILE/DEVOPS METHODOLOGIES,Department of Commerce,2021-09-27,2026-09-30,
cloud,70B04C20F00001314,UNISSANT INC.,152678316.49,VETTING SERVIVCES,Department of Homeland Security,2020-09-30,2026-09-27,
cloud,47QDCB22F0006,BOOZ ALLEN HAMILTON INC,141924086.23,FAS CLOUD SERVICES SUPPORT,General Services Administration,2022-04-01,2026-03-31,
