competitor,piid,description,obligated_amount,agency,naics,pop_state,pop_end_date
STAFFING AGENCY,75H70624F03009,"TASK ORDER, ER MIDLEVEL, POP: 05/01/2024 - 07/31/2024",0,,621111,,
STAFFING AGENCY,75H70624F03003,"TASK ORDER FOR HOSPITALIST, CRHC, POP 5/1/24 - 7/31/24",0,,621111,,
STAFFING AGENCY,75H71024P00467,NNMC PHARMACY - CONTRACT PHARMACIST - PCN: 7620-56,0,,561320,,
STAFFING AGENCY,75H71324P00089,LOCUM TENENS NURSE PRACTITIONER FOR WELLPINIT SERVICE UNIT,0,,621999,,
STAFFING AGENCY,75H71024P00753,CONTRACTOR SHALL PROVIDE HOSPITALIST PHYSICIAN SERVICES.,0,,621111,,
STAFFING AGENCY,75H71024P00754,CONTRACTOR SHALL PROVIDE HOSPITALIST PHYSICIAN SERVICES.,0,,621111,,
STAFFING AGENCY,W81K0424F0150,DENTAL SERVICES FOR REGION 1,0,,621210,,
STAFFING AGENCY,W81K0424F0152,DENTAL SERVICES R2,0,,621210,,
STAFFING AGENCY,FA481424F0081,PKB - PHYSICIAN ASSISTANT (1 FTE) - USSOCOM,0,,622110,,
STAFFING AGENCY,75H71024P00632,NNMC - PSYCHIATRIST PHYSICIAN PCN 7661-01,0,,561320,,
STAFFING AGENCY,75H70624F03004,"TASK ORDER, LAB TECHNICIAN SERVICES, CRCH, POP 5/1/24-7/24/24",0,,561320,,
STAFFING AGENCY,HT940624F0043,PHARMACIST,0,,622110,,
STAFFING AGENCY,75H70624F03009,"TASK ORDER, ER PHYSICIAN, POP: 4/1/2024 - 6/30/2024, CRHC",0,,621111,,
STAFFING AGENCY,HT940824F0003,LICENSED CLINICAL SOCIAL WORKER,0,,622110,,
STAFFING AGENCY,15B12124F00000040,FCC HAZ TEMP MID-LEVEL PROVIDERS SERVICES FY 24 FEB 8TH- JULY 30TH,0,,561320,,
STAFFING AGENCY,15JA7624F00000006,"ADMINISTRATIVE SERVICES ASSISTANT SERVICES US ATTORNEY'S OFFICE, WESTERN DISTRICT OF TENNESSEE   POP 2/2/24-2/1/25  BASE YEAR WITH FOUR ONE-YEAR OPTIONS",0,,561320,,
STAFFING AGENCY,15JA6624F00000007,"PROVIDE PERSONAL COMPUTER SUPPORT TECHNICIAN SERVICES FOR THE U.S. ATTORNEY S OFFICE, EASTERN DISTRICT OF PENNSYLVANIA, ADMINISTRATION SYSTEMS UNIT.  PERIOD OF PERFORMANCE: MARCH 1, 2024 - FEBRUARY 28",0,,541511,,
STAFFING AGENCY,75H70624F03003,"TASK ORDER, MEDICAL TECH/PHLEBOTOMIST, LAB, CRHC 5/1/24-4/30/25",0,,561320,,
STAFFING AGENCY,HT940624F0018,ANCILLARY SERVICES,0,,622110,,
STAFFING AGENCY,HT940624F0012,SUBSTANCE ABUSE COUNSELORS,0,,622110,,
STAFFING AGENCY,15B61024F00000035,"B1 - HUCKEYE HEALTH - LVN, RN FY 24",0,,561320,,
STAFFING AGENCY,75D30124C18340,ADMINISTRATIVE SUPPORT SERVICES,0,,561110,,
STAFFING AGENCY,75H70624F03002,"TWO LABORATORY TECHNOLOGIST/TECHNICIANS, LAB, CRHC, POP 1/1/24-3/24/24",0,,561320,,
STAFFING AGENCY,W81K0424F0014,DENTAL SERVICES FOR REGION 1,0,,621210,,
STAFFING AGENCY,W81K0424F0013,REGION 2 DENTAL SERVICES,0,,621210,,
STAFFING AGENCY,75H70624F03008,"TASK ORDER, ER MIDLEVELS, POP 11/1/23 - 1/31/24",0,,621111,,
STAFFING AGENCY,75H70624F03008,"TASK ORDER, ER PHYSICIANS, CRHC 12/1/23-3/31/24",0,,621111,,
STAFFING AGENCY,HT940624F0001,ORTHOPEDIC TECH,0,,622110,,
STAFFING AGENCY,75H71024P00052,MEDICAL TECHNOLOGIST SERVICES PCN 2551-14 OPTION YEAR ONE,0,,561320,,
STAFFING AGENCY,75H70624F03002,"TASK ORDER, HOSPITALIST SERVICES, CRHC, POP: 11/01/2023 - 1/31/24",0,,621111,,
STAFFING AGENCY,75H70423P00044,IHS BRAND MARKETING COMMUNICATIONS,0,,541810,,
STAFFING AGENCY,75H70423P00045,AN E-CIGARETTE CAMPAIGN AND TO EXPAND THE PHYSICAL ACTIVITY KIT (PAK,0,,541890,,
STAFFING AGENCY,90MC0023P0049,DATABASE ADMINISTRATOR (DBA) OPTION YEAR 1.,0,,541611,,
STAFFING AGENCY,75D30123C17903,LABORATY SERVICES FOR THE CORONAVIRUS AND OTHER RESPIRATORY VIRUSES DIVISION,0,,541990,,
STAFFING AGENCY,75H71023P01855,HOSPITALIST PHYSICIAN SERVICES,0,,621111,,
STAFFING AGENCY,75D30123P18023,SUPPORT SERVICES,0,,541690,,
STAFFING AGENCY,75D30123C17677,MOLECULAR BIOLOGIST SERVICE,0,,541990,,
STAFFING AGENCY,75H71023P01809,HOSPITALIST PHYSICIAN SERVICES,0,,621111,,
STAFFING AGENCY,15B61023F00000104,"B1 - HUCKEYE HEALTH - LVN, RN",0,,561320,,
STAFFING AGENCY,75D30123C17724,LABORATORY SUPPORT SERVICES,0,,541990,,
STAFFING AGENCY,75D30123P17758,"RESEARCH FELLOW -- BYRNE, OTHER FUNCTIONS",0,,541990,,
STAFFING AGENCY,1204H123K5132,"E65 E83, PETES LAKE, ORWIF230409, PILOT SERVICES;",0,,541990,,
STAFFING AGENCY,75D30123P17623,EPIDEMIOLOGIST-ANC-2023-24-OTHER FUNCTIONS,0,,541990,,
STAFFING AGENCY,75D30123P17514,ADMINISTRATIVE SUPPORT FOR SPOKANE MINING RESEARCH DIVISION,0,,541990,,
STAFFING AGENCY,75H70623F03007,"TASK ORDER, ER PHYS, CRHC, 9/1/23-11/30/23",0,,621111,,
STAFFING AGENCY,75H70723P00217,MIDLEVEL PROVIDER NON PERSONAL HEALTHCARE SERVICES AT MSU,0,,621399,,
STAFFING AGENCY,75D30123P17326,REPRESENTATION OF OCCUPATIONAL DATA FOR HEALTH,0,,541990,,
STAFFING AGENCY,75H70623F03001,"TO, HOSPITALIST, CRHC, 8/1/23 - 10/31/23",0,,621111,,
STAFFING AGENCY,75H70623F03007,"TASK ORDER, CRHC, 8/1/23-10/30/23",0,,621111,,
STAFFING AGENCY,FA468623F0029,SERVICE: CLINICAL PSYCHOLOGISTS,0,,622110,,
STAFFING AGENCY,75D30123P16813,AUDIOLOGIST SUPPORT SERVICES,0,,541990,,
STAFFING AGENCY,75P00123F37001,PERSONAL ASSISTANCE SERVICES,0,,561320,,
STAFFING AGENCY,75D30123P17047,RESEARCH ASSISTANT,0,,541990,,
STAFFING AGENCY,75H71223C00016,NON-PERSONAL SERVICES FOR PEDIATRIC SERVICES AT WRSU,0,,621111,,
STAFFING AGENCY,75H71023P01429,NON-PERSONAL SERVICES CONTRACT FOR A DIAGNOSTIC RADIOLOGIC TECHNOLOGIST CT,0,,561320,,
STAFFING AGENCY,75D30123P16745,PROGRAM ASSISTANT FOR NIOSH WESTERN STATES DIVISION (WSD-SPOKANE),0,,541990,,
STAFFING AGENCY,HT940623F0105,"LICENSED LACTATION CONSULTANT, DIAGNOSTIC MEDICAL SONOGRAPHER, CERTIFIED MEDICAL ASSISTANT, PHLEBOTOMY TECHNICIAN, AND CERTIFIED NURSE ASSISTANT",0,,622110,,
STAFFING AGENCY,75H71023P01346,"TO PROVIDE TEMPORARY NURSE PRACTITIONER SERVICES FOR THE CROWNPOINT HEALTHCARE FACILITY, ER FAST TRACK, AND OUTPATIENT DEPARTMENTS.",0,,561320,,
STAFFING AGENCY,HT940623F0098,OPTOMETRIST OPHTHALMOLOGY TECHNICIAN/TECHNOLOGIST MEDICAL LABORATORY TECHNICIAN PHLEBOTOMY TECHNICIAN,0,,622110,,
STAFFING AGENCY,75D30123P16710,EXPOSURE ASSESSMENT SCIENTIST SERVICES,0,,541690,,
STAFFING AGENCY,HT940623F0078,CERTIFIED NURSE ASSISTANT,0,,622110,,
STAFFING AGENCY,W81K0423F0189,DENTAL ASSISTANT - TASK ORDER TO FUND DENTAL FTE'S,0,,621210,,
STAFFING AGENCY,W81K0423F0186,DENTAL ASSISTANT - TASK ORDER FOR FUNDING FOR DENTAL POSITIONS,0,,621210,,
STAFFING AGENCY,75H71023P01169,FY23-GIMC SERVICE  RESPIRATORY THERAPY DEPT   VENDOR  SEQUOYAH STAFFING AGENT  PROVIDER  GALENA DAVIS  RT   PCN  MD5704,0,,621399,,
STAFFING AGENCY,75H70623F03002,TEMPORARY STAFFING - AEMT'S/PARAMEDICS,0,,561320,,
STAFFING AGENCY,75H70623F03001,"TASK ORDER, LAB, CRHC, 5/1/2023-8/31/2023",0,,561320,,
