program_name,piid,recipient_name,award_amount,description,agency,sub_agency,start_date,end_date
INSCOM,W9128Z17C0001,THE MASY GROUP LLC,814141.42,"IGF::CL,CT::IGF REQUIREMENTS TO PROVIDE SYSTEMS ENGINEERING TO THE U.S. ARMY INFORMATION SYSTEMS ENGINEERING COMMAND (USAISEC) NATIONAL CAPITAL REGION ENGINEERING DIRECTORATE (NCRED) IN SUPPORT OF U.S",Department of Defense,Department of the Army,2016-11-01,2017-05-01
INSCOM,W912DR22C0070,DOYON TECHNICAL SERVICES LLC,732056.57,"INSCOM DOOR UPGRADES @ FORT BELVOIR, VIRGINIA",Department of Defense,Department of the Army,2022-09-30,2024-08-15
INSCOM,W91B4N11C8232,MISCELLANEOUS FOREIGN AWARDEES,490987.5,[PIIN: W91B4N-11-C-8232] LOGISTICS WAREHOUSE INSCOM,Department of Defense,Department of the Army,2011-09-20,2013-09-17
INSCOM,W91B4L09C0132,MISCELLANEOUS FOREIGN AWARDEES,478852.05,[PIIN: W91B4L-09-C-0132] INSCOM SIGINT KSPAN,Department of Defense,Department of the Army,2009-09-21,2009-09-21
INSCOM,0158,MISCELLANEOUS FOREIGN AWARDEES,389433.79,"[PIIN: W91B4L-10-A-0019-0158] COMM EQUIP, INSCOMS",Department of Defense,Department of the Army,2011-06-27,2011-08-08
INSCOM,W912D224F3002,FUTURE SERVICES GENERAL TRADING & CONTRACTING CO.,367377.58,NTVX18 / INSCOM / KU,Department of Defense,Department of the Army,2024-09-27,2026-03-26
F-35,N0001921C0020,LOCKHEED MARTIN CORPORATION,7953264130.5,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,Department of Defense,Defense Contract Management Agency,2020-12-31,2027-12-30
F-35,N0001911C0083,LOCKHEED MARTIN CORPORATION,7185242552.16,F-35 LIGHTNING II JOINT STRIKE FIGHTER (JSF) LOW RATE INITIAL PRODUCTION (LRIP) LOT 6 ADVANCE ACQUISITION CONTRACT,Department of Defense,Defense Contract Management Agency,2011-08-08,2023-05-31
F-35,N0001913C0008,LOCKHEED MARTIN CORPORATION,6035358369.47,F-35 LRIP 8 AAC,Department of Defense,Department of the Navy,2013-02-28,2100-12-31
F-35,N0001904C0093,"GE ROLLS-ROYCE FIGHTER ENGINE TEAM, LLC",2260452544.7,200512!456119!1700!N00019!NAVAL AIR SYSTEMS COMMAND       !N0001904C0093  !A!N! !N!             !      !20050819!20130930!139434034!139434034!139434034!N!GE ROLLS-ROYCE FIGHTER ENGINE !1 NEUMANN WAY M,Department of Defense,Defense Contract Management Agency,2005-08-19,2014-03-31
F-35,N0001920C0032,LOCKHEED MARTIN CORPORATION,1824077667.02,"SUPPORT EQUIPMENT, AUTONOMIC LOGISTICS INFORMATION SYSTEM HARDWARE, TRAINING SYSTEMS, SITE ACTIVATIONS, INTEGRATED CONTRACTOR SUPPORT, AND THE RELIABILITY AND MAINTAINABILITY IMPROVEMENT PROGRAM FOR T",Department of Defense,Department of the Navy,2020-07-17,2029-12-30
F-35,N0001922C0041,LOCKHEED MARTIN CORPORATION,1548368728.9,"F-35 DEVELOPMENTAL FOUNDATION CONTRACT 3 - THIS CONTRACT PROVIDES A FOUNDATION, IN SUPPORT OF F-35 DEVELOPMENTAL FLIGHT TEST AT EDWARDS AIR FORCE BASE, NAVAL AIR STATION PATUXENT RIVER, AND F-35 DEVEL",Department of Defense,Department of the Navy,2022-05-17,2027-03-31
F-35,N0001917C0045,LOCKHEED MARTIN CORPORATION,1443726578.57,FY17A F-35 SUSTAINMENT - FMS,Department of Defense,Department of the Navy,2017-03-01,2021-04-30
F-35,N0001923C0058,LOCKHEED MARTIN CORPORATION,635797370.0,"INTEGRATION EFFORTS FOR AN F-35 FOREIGN MILITARY SALES (FMS) CUSTOMER INCLUDING PROGRAM MANAGEMENT, NON-RECURRING UNIQUE REQUIREMENTS, AND TRAINING.",Department of Defense,Department of the Navy,2023-08-17,2027-12-31
F-35,N0001923C0009,LOCKHEED MARTIN CORPORATION,521139663.19,"F-35 BLOCK FOUR DEVELOPMENT CONTRACT FOR THE CONTINUED DEVELOPMENT OF CRITICAL WARFIGHTING CAPABILITIES, AS WELL AS REQUIRED TRAINING AND COMBAT DATA SYSTEMS DEVELOPMENT.",Department of Defense,Department of the Navy,2023-04-01,2028-03-31
F-35,N0001919C0007,RTX CORPORATION,247614708.89,F-35 BLOCK 4 PROPULSION DEVELOPMENT FLIGHT TEST SUPPORT,Department of Defense,Department of the Navy,2018-10-16,2026-12-31
F-35,N0001921C0040,LOCKHEED MARTIN CORPORATION,202730695.0,F-35 LIGHTNING II FMS SUPPORT CONTRACT,Department of Defense,Department of the Navy,2021-08-02,2028-06-30
F-35,N6247318C4605,"HARPER CONSTRUCTION COMPANY, INC.",150471980.3,"IGF::OT::IGF FIRM-FIXED PRICE, DESIGN BID BUILD, P198&P203 CONSTRUCTION OF F-35 AIRCRAFT MAINTENANCE HANGAR AND FLIGHT LINE APRON EXPANSION, MARINE CORPS AIR STATION MIRAMAR, SAN DIEGO, CALIFORNIA",Department of Defense,Department of the Navy,2018-01-24,2020-06-26
F-35,N0001914C0040,LOCKHEED MARTIN CORPORATION,97286356.0,JOINT STRIKE FIGHTER (JSF) F-35,Department of Defense,Department of the Navy,2014-03-18,2023-06-30
F-35,N0001924C0057,GENERAL DYNAMICS ONE SOURCE LLC,70600856.85,THIS CONTRACT PROCURES TRANSITIONAL INFORMATION TECHNOLOGY (IT) AND INFORMATION ASSURANCE/CYBERSECURITY SERVICES IN SUPPORT OF VIRTUAL ENTERPRISE (JVE) NETWORK AND STANDALONE WORKSTATIONS FOR THE F-35,Department of Defense,Department of the Navy,2024-08-01,2026-01-31
F-35,W9127810C0075,"R. C. CONSTRUCTION CO., INC.",46154568.65,"FY-10 JSF AIRFIELD PAVEMENTS,F-35 PARALLEL TAXIWAY EXTENSION, AIRCRAFT PARKING APRON, LIVE ORDNANCE LOAD AREA, EGLIN AIR FORCE BASE, FLORIDA",Department of Defense,Department of the Army,2010-06-04,2012-12-31
F-35,FA865019C5077,EAGLEPICHER TECHNOLOGIES LLC,37204642.0,F-35 AGNOSTIC BATTERY SYSTEM,Department of Defense,Department of the Air Force,2019-06-24,2026-02-03
F-35,N0010425CK032,MARTIN-BAKER AIRCRAFT COMPANY LIMITED,29164867.02,F-35 EJECTION SEAT PARTS,Department of Defense,Department of the Navy,2025-09-18,2028-03-04
F-35,W50S9F22C0004,JH FINDORFF & SON INC,28397695.45,F-35 3-BAY HANGAR - THIS IS A CONSTRUCTION PROJECT THAT WILL INVOLVE DEMO OF AN EXISTING FUEL CELL HANGAR AND RECONSTRUCTION A 3-BAY SPECIALIZED HANGAR IN SUPPORT OF THE WING F-35 UNIT CONVERSION.,Department of Defense,Department of the Army,2022-10-01,2024-07-29
F-35,N0001925C0117,LOCKHEED MARTIN CORPORATION,28328039.0,JAPAN INTEGRATION CONTRACT INCREMENT 3 FOR CONTINUED SUPPORT OF THE THREE F-35 SITES AND THE STANDUP AND SUPPORT OF THE KOMAKI SITE,Department of Defense,Department of the Navy,2025-07-25,2028-04-30
F-35,W912PL25CA018,WU & ASSOCIATES INC,27932071.0,"ONE-PHASE DESIGN-BUILD TO REPAIR A 1950S HANGAR AT NELLIS AFB FOR AN F-35 SQUADRON. INCLUDES HANGAR, ADMIN UPGRADES, AND 4,062 GSF ADDITION. 100% SMALL BUSINESS SET-ASIDE. POP: 720 DAYS. MAGNITUDE: $2",Department of Defense,Department of the Army,2025-10-31,2027-10-21
AEGIS,HQ027610C0001,LOCKHEED MARTIN CORPORATION,3096214936.03,AEGIS BMD INTERNATIONAL SUPPORT,Department of Defense,Missile Defense Agency,2009-10-01,2022-12-31
AEGIS,N0002498C5197,LOCKHEED MARTIN CORPORATION,1883315467.25,199807!1700!2312!BZ005!NAVAL SEA SYSTEMS COMMAND       !N0002498C5197  !A!*!*                  !19980414!19980930!834951691!834951691!834951691!N!02769!LOCKHEED MARTIN CORPORATION   !6801 ROCKLEDGE DR,Department of Defense,Defense Contract Management Agency,1998-04-14,2009-09-30
AEGIS,N0002413C5116,LOCKHEED MARTIN CORPORATION,1812639590.37,"AEGIS COMBAT SYSTEM ENGINEERING AGENT (CSEA) ADVANCED CAPABILITY BUILD 16 (ACB 16), TECHNOLOGY INSERTION 16 (TI 16), FUTURE ACB/TI, BASELINE MAINTENANCE, TRAINING, AND STUDIES",Department of Defense,Department of the Navy,2013-03-04,2025-03-31
AEGIS,HQ085121C0002,LOCKHEED MARTIN CORPORATION,1392863801.29,AEGIS BASELINE 5.4.1 (BMD 4.2),Department of Defense,Missile Defense Agency,2020-11-01,2027-12-31
AEGIS,N0002414C5114,LOCKHEED MARTIN CORPORATION,1339010249.77,AEGIS WEAPON MK 7 MULTIYEAR PROCUREMENT,Department of Defense,Department of the Navy,2013-12-27,2024-12-31
AEGIS,N0002423C5123,LOCKHEED MARTIN CORPORATION,954155583.05,AEGIS F&S CONTRACT AWARD,Department of Defense,Department of the Navy,2023-01-01,2029-12-31
AEGIS,N0002416C5103,LOCKHEED MARTIN CORPORATION,540380878.7,AEGIS FOREIGN MILITARY SALES (FMS) LIFETIME SUPPORT (LTS),Department of Defense,Department of the Navy,2016-06-24,2024-08-02
AEGIS,N0002416C5144,RAYTHEON COMPANY,483202632.02,"FMS AND US AEGIS PRODUCTION (FCS AND SPY TRANSMITTER), PTC SUPPORT, AND ENGINEERING SUPPORT REQUIREMENTS.",Department of Defense,Department of the Navy,2016-05-27,2027-12-31
AEGIS,N0002420C5105,LOCKHEED MARTIN CORPORATION,430832700.0,INTERNATIONAL AEGIS FIRE CONTROL LOOP,Department of Defense,Department of the Navy,2019-12-20,2029-12-31
AEGIS,N0002418C5103,LOCKHEED MARTIN CORPORATION,425604311.78,AEGIS DEVELOPMENT AND TEST SITES OPERATION AND MAINTENANCE,Department of Defense,Department of the Navy,2018-06-20,2024-08-26
AEGIS,N0002419C5102,LOCKHEED MARTIN CORPORATION,418755522.38,"KOREA BATCH II AEGIS COMBAT SYSTEM K2 BASELINES ENGINEERING, TEST AND EVALUATION, INSTALLATION, STAGING, AND INTEGRATED LOGISTICS SUPPORT",Department of Defense,Department of the Navy,2018-10-30,2027-12-31
AEGIS,N0002416C5102,LOCKHEED MARTIN CORPORATION,406299034.77,AEGIS FOLLOW ON SUPPORT FOR DDGS 116-118 REPRESENTING COMPLETION OF THE DEVELOPMENT AND FIELDING OF THE AEGIS BASELINE 9,Department of Defense,Department of the Navy,2016-09-16,2025-12-31
AEGIS,N0002418C5105,LOCKHEED MARTIN CORPORATION,390089306.08,AEGIS WEAPON SYSTEM J7 BASELINE DEVELOPMENT AND INTEGRATION IN SUPPORT OF THE JAPAN MARITIME SELF DEFENSE FORCE (JMSDF),Department of Defense,Department of the Navy,2017-12-15,2024-08-02
AEGIS,N0002423C5101,LOCKHEED MARTIN CORPORATION,383167160.0,AEGIS FMS CANADIAN SURFACE COMBATANT LAND BASED TEST SITES ESTABLISHMENT,Department of Defense,Department of the Navy,2023-09-18,2027-12-31
AEGIS,NNG05CA97C,AEGIS AEROSPACE INC,378567568.45,ELECTRICAL SYSTEMS ENGINEERING SERVICES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,2004-12-22,2011-02-04
AEGIS,HQ027610C0003,LOCKHEED MARTIN CORPORATION,360584051.81,AEGIS ASHORE ENGINEERING AGENT,Department of Defense,Missile Defense Agency,2010-08-05,2016-08-03
AEGIS,N0002414C5104,LOCKHEED MARTIN CORPORATION,357951916.36,AEGIS SHIP INTEGRATION AND TEST,Department of Defense,Department of the Navy,2014-08-20,2025-11-30
AEGIS,N0002411C5106,LOCKHEED MARTIN CORPORATION,341043397.14,"AEGIS WEAPON SYSTEM (AWS) AND AEGIS COMBAT SYSTEM (ACS) COMBAT SYSTEMS ENGINEERING, ALTERATION INSTALLATION/REPAIR OVERHAUL (AI/ROH) EXECUTION, COMPUTER PROGRAM MAINTENANCE, IN-COUNTRY SUPPORT SERVICE",Department of Defense,Department of the Navy,2011-09-29,2016-06-30
AEGIS,HQ027619C0001,LOCKHEED MARTIN CORPORATION,332151650.85,AEGIS BMD 6.0 WS DEVELOPMENT,Department of Defense,Missile Defense Agency,2019-09-01,2024-12-31
AEGIS,N0002400C5139,LOCKHEED MARTIN CORPORATION,324887212.84,200009!1700!002724!BZ005 !NAVAL SEA SYSTEMS COMMAND       !N0002400C5139  !A!*!*                  !20000602!20020531!848028494!834951691!834951691!N!02769!LOCKHEED MARTIN CORPORATION   !199 BORTON LAN,Department of Defense,Defense Contract Management Agency,2000-06-02,2013-10-19
ABMS,W912HN23C3002,ACC CONSTRUCTION CO INC,102251644.0,ABMS FACILITY HANGAR,Department of Defense,Department of the Army,2023-02-01,2027-01-09
ABMS,FA865020C9310,RAYTHEON COMPANY,51805284.0,AIM-9X SIDEWINDER SUPPORT IN ADVANCED BATTLE MANAGEMENT SYSTEM (ABMS) COUNTER CRUISE MISSILE (C-CM) EXPERIMENTATION PROG,Department of Defense,Department of the Air Force,2020-03-09,2025-12-31
ABMS,FA861223CB007,"HYPERGIANT GALACTIC SYSTEMS, INC.",50328417.01,ABMS CBC2 USER INTERFACE/USER EXPERIENCE DEVELOPMENT,Department of Defense,Department of the Air Force,2023-03-29,2026-05-04
ABMS,FA861223CB002,LOCKHEED MARTIN CORPORATION,24142009.85,ADVANCED BATTLE MANAGEMENT SYSTEM (ABMS) - DISTRIBUTIVE BATTLE MANAGEMENT NODE (DBMN) PHASE 1A,Department of Defense,Department of the Air Force,2023-01-17,2027-01-16
ABMS,FA861223CB014,"SEED INNOVATIONS, LLC",17691881.12,ABMS CBC2 PLATFORM DEVELOPMENT SUPPORT SERVICES,Department of Defense,Department of the Air Force,2023-10-01,2026-09-30
ABMS,GS11P12YAC0017,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",16571487.62,IGF::OT::IGF ADMINISTRATIVE SERVICES,General Services Administration,Public Buildings Service,2012-08-24,2018-07-26
ABMS,FA861223CB010,LOCKHEED MARTIN CORPORATION,8985762.0,ABMS: SOFTWARE DEFINED WIDE AREA NETWORK,Department of Defense,Department of the Air Force,2023-06-30,2025-11-30
ABMS,FA861224CB007,DELOITTE CONSULTING LLP,6612833.6,"DELOITTE WILL PROVIDE DEVELOPMENT AND CONTINUED MAINTENANCE OF ABMS ROADMAPS, AND OTHER FUNCTIONAL LEVEL ACTIVITIES IN ACCORDANCE WITH THE INCLUDED SOW. THIS EFFORT IS AN EXTENSION OF THE CAPABILITY C",Department of Defense,Department of the Air Force,2024-07-23,2025-10-20
ABMS,FA481908C0008,"EMPOWER AI, INC.",6388732.82,UNDERGRADUATE ABM TRAINING SYSTEM,Department of Defense,Department of the Air Force,2008-03-03,2013-09-29
ABMS,W91WAW12C0079,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",4862238.0,"PENTAGON DOD SHUTTLE SERVICE - 14A, 14B AND CIRCULATOR",Department of Defense,Department of the Army,2012-07-31,2016-01-31
ABMS,W9128A18C0002,"R&I CONSTRUCTION, INC.",4203464.0,"FY17 AMERICAN BATTLE MONUMENTS COMMISSION (ABMC) COURTS OF THE MISSING STONE REPLACEMENT (PHASE 2), NATIONAL MEMORIAL CEMETERY OF THE PACIFIC (NMCP) HAWAII",Department of Defense,Department of the Army,2018-01-31,2019-02-14
ABMS,W9128A16C0009,R & I - MIRA LLC,4052674.0,"FY16 AMERICAN BATTLE MONUMENTS COMMISSION (ABMC) COURTS OF MISSING STONE REPLACEMENT (PHASE I), NATIONAL MEMORIAL CEMETERY OF THE PACIFIC (NMCP), HAWAII IGF::OT::IGF",Department of Defense,Department of the Army,2016-09-06,2017-11-24
ABMS,N0003918C0014,"HARMONIA HOLDINGS GROUP, LLC",2999000.0,MTC2 - ABMA - LABOR,Department of Defense,Defense Contract Management Agency,2018-09-10,2021-06-09
ABMS,EDOOM13C0051,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",2928582.96,"IGF::OT::IGF ""OTHER FUNCTION"" COPY CENTER SERVICES - THIS CONTRACT PROVIDES EQUIPMENT, SUPPLIES, AND PERSONNEL FOR FOUR (4) COPY CENTERS FOR THE DEPARTMENT OF EDUCATION AND ENABLES THE DEPARTMENT TO M",Department of Education,Department of Education,2013-07-01,2018-12-31
ABMS,W91WAW09C0061,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",2632993.4,DOD SHUTTLE BUS SERVICE,Department of Defense,Department of the Army,2009-03-31,2012-08-01
ABMS,W74V8H07C0001,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",2335934.0,SERVICE,Department of Defense,Department of the Army,2006-10-01,2009-09-30
ABMS,47PM0918C0010,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",2259199.08,IGF::OT::IGF,General Services Administration,Public Buildings Service,2018-02-23,2019-01-06
ABMS,1605TA21F00011,BOOZ ALLEN HAMILTON INC,2098330.49,"OCIO ADMINISTRATION, BUSINESS MANAGEMENT & GOVERNANCE (ABMG) DIRECTORATE SUPPORT",Department of Labor,Office of the Assistant Secretary for Administration and Management,2021-01-15,2021-12-15
ABMS,ED08CO0099,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",2046258.67,COPY SERVICES,Department of Education,Department of Education,2008-07-01,2013-06-30
ABMS,0001,"APPLIED BUSINESS MANAGEMENT SOLUTIONS,INC (ABMSI) LLC",1720331.45,ACQUISITION SUPPORT,Department of Defense,Department of the Army,2011-07-29,2014-12-31
GPS OCX,FA880708C0003,RAYTHEON COMPANY,201970621.53,GLOBAL POSITIONING SYSTEMS NEXT GENERATION GROUND CONTROL (GPS - OCX),Department of Defense,Defense Contract Management Agency,2007-11-21,2010-02-28
GPS OCX,FA880708C0001,NORTHROP GRUMMAN SYSTEMS CORPORATION,201113404.0,GLOBAL POSITIONING SYSTEMS NEXT GENERATION GROUND CONTROL (GPS - OCX),Department of Defense,Department of the Air Force,2007-11-21,2012-09-25
MDA,MDA90603C0010,HUMANA GOVERNMENT BUSINESS INC,23352182728.69,,Department of Defense,Defense Health Agency,2003-08-27,2012-03-31
MDA,MDA90603C0009,TRIWEST HEALTHCARE ALLIANCE CORP,21948019380.69,,Department of Defense,Department of the Navy,2003-09-09,2016-10-05
MDA,MDA90603C0011,"HEALTH NET FEDERAL SERVICES, LLC",16481316420.4,,Department of Defense,Defense Health Agency,2003-09-09,2016-11-22
MDA,HQ014712C0004,THE BOEING COMPANY,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; ",Department of Defense,Missile Defense Agency,2011-12-30,2025-12-31
MDA,MDA90697C0005,ANTHEM HEALTH OF INDIANA INC,3384754703.23,,Department of Defense,Tricare Management Activity,1999-12-01,2004-06-30
MDA,MDA90696C0002,HUMANA GOVERNMENT BUSINESS INC,2994634992.18,199712!9700!0134!ZD06 !TRICARE SUPPORT OFFICE          !MDA90696C0002  !A!*!P00065             !19970304!19971231!805349198!805349198!049944143!N!050S0!HUMANA MILITARY HEALTHCARE SER!500 W MAIN ST STE,Department of Defense,Tricare Management Activity,1996-01-23,2004-07-31
MDA,MDA90695C0007,"HEALTH NET, INC.",2895440017.46,200008!9700!001043!ZD06 !TRICARE SUPPORT OFFICE !MDA90695C0007 !A!*!001700171F !19991001!19991030!848003661!798330908!798330908!N!0RMH6!FOUNDATION HEALTH FEDERAL SERV!2025 AEROJET RD !RANCHO CORDOVA !,Department of Defense,Tricare Management Activity,1999-10-01,2008-12-31
MDA,MDA90697C0003,SIERRA MILITARY HEALTH SERVICES LLC,1901146467.04,,Department of Defense,Tricare Management Activity,1999-12-07,2009-02-05
MDA,MDA94701C2001,HENSEL PHELPS CONSTRUCTION CO,1629040561.35,200112!000146!9700!ZD47  !PENTAGON RENOVATION MANAGEMENT  !MDA94701C2001  !A!N!*!N!                   !20010918!20121129!791702194!791702194!063322085!N!HENSEL PHELPS CONSTRUCTION CO !4437 BROOKFIELD ,Department of Defense,Washington Headquarters Services,2001-09-18,2011-08-16
MDA,MDA94798C2002,"GENERAL DYNAMICS NETWORK SYSTEMS, INC.",874209512.0,,Department of Defense,Washington Headquarters Services,2002-06-27,2011-06-30
MDA,MDA90694C0003,"FOUNDATION HEALTH, A CALIFORNI",807594570.84,,Department of Defense,Tricare Management Activity,1999-10-01,2008-12-31
MDA,MDA90602C0013,EXPRESS SCRIPTS INC,639725068.65,"200212!020707!9700!ZD06  !TRICARE SUPPORT OFFICE          !MDA90602C0013  !A!N! !Y!                   !20020909!20070909!173490459!173490459!173490459!N!EXPRESS SCRIPTS, INC          !14000 RIVERPORT ",Department of Defense,Tricare Management Activity,2002-09-09,2009-11-03
MDA,MDA90603C0015,WISCONSIN PHYSICIANS SERVICE INSURANCE CORP.,511975642.11,,Department of Defense,Tricare Management Activity,2003-07-07,2008-06-30
MDA,MDA90603C0019,EXPRESS SCRIPTS INC,320138650.01,,Department of Defense,Tricare Management Activity,2003-09-09,2009-11-03
MDA,47QFCA21C0024,FRONTIER TECHNOLOGY INC,262645030.18,"THIS IS A SBIR III CONTRACT IN SUPPORT OF THE DOD, STEMMING FROM PREVIOUS SBIR PHASE I & II TOPICS INCLUDING AF06-016, MDA09-021, N05-039, N07-010, A06-035 AND OSD07-CR4. PSC CODE AC62 ENDED PER PSC M",General Services Administration,Federal Acquisition Service,2021-09-22,2026-09-21
MDA,HQ079618C0001,NETWORK MANAGEMENT RESOURCES INC.,235897599.63,"IGF::OT::IGF THE PURPOSE OF THIS CONTRACT IS TO PROVIDE THE MISSILE DEFENSE AGENCY (MDA) WITH GLOBAL CLASSIFIED AND UNCLASSIFIED VIDEO CONFERENCING SERVICES, COLLABORATION SERVICES, CUSTOMER FACING BU",Department of Defense,Missile Defense Agency,2018-03-21,2020-04-30
MDA,HQ000607C0001,PARSONS GOVERNMENT SERVICES INC,151179662.83,MDA/DEE SETA & MDSET SUPPORT,Department of Defense,Defense Contract Management Agency,2007-02-01,2008-01-31
MDA,MDA22001C0002,"LEIDOS GOVERNMENT SERVICES, INC.",141516728.26,,Department of Defense,Defense Finance and Accounting Service,2002-02-11,2007-01-31
MDA,HQ000607C0002,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,109899112.54,MDA/DEE SETA & MDSET SUPPORT,Department of Defense,Defense Contract Management Agency,2007-02-01,2012-07-31
MDA,W9132V04C0010,NORTHROP GRUMMAN SYSTEMS CORPORATION,107501161.53,200409!000013!2100!W9132V!*                               !W9132V04C0010  !A!N! !N!             !      !20031224!20081231!091808832!008255408!016435559!N!NORTHROP GRUMMAN SYSTEMS CORPO!ELECTRONIC SYST,Department of Defense,Department of the Army,2003-12-24,2009-06-30
DISA,75ACF121C00020,RAPID DEPLOYMENT INC,3516373311.63,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE THE FULL COMPLEMENT OF SERVICES NECESSARY TO CARE FOR UC IN ORR CUSTODY INCLUDING FACILITIES SET-UP, MAINTENANCE, AND SUPPORT INTERNAL AND PERIMETER (IF APPL",Department of Health and Human Services,Administration for Children and Families,2021-03-24,2025-09-30
DISA,HUDCCOPC22807,PERATON ENTERPRISE SOLUTIONS LLC,620273205.36,"TAS::86 4585::TAS AWARD OF PORTION OF HITS SOLICITATION UNDER RFP R-OPC-21970 PURSUANT TO SETTLEMENT AGREEMENT.  THE CONTRACTOR SHALL PROVIDE DATA CENTER, HELP DESK, AND DISASTER RECOVERY SERVICES.",Department of Housing and Urban Development,Department of Housing and Urban Development,2005-02-01,2016-09-20
DISA,47QMCH22C0001,"MVM, INC.",380124267.0,UNACCOMPANIED CHILDREN TRANSPORTATION AND LOGISTICS UCTL,General Services Administration,Federal Acquisition Service,2022-03-19,2023-03-18
