piid,description,obligated_amount,base_and_all_options,awarding_agency,recipient_name,naics,pop_end_date,pop_potential_end_date,pop_city,pop_state,extent_competed,estimated_recompete
19AQMM25F0271,"THIS INTERIM AWARD PROVIDES THE PRIMARY ENGINEERING, TIER II AND III OPERATIONS AND MAINTENANCE (O AND M) AND CYBER SECURITY SUPPORT FOR THE DEPARTMENTS CORE DATA NETWORKS AND SERVICES SUCH AS COMMAND-AND-CONTROL MESSAGING EMAIL MOBILE AND REMOTE.",0,0,,,541512,,,,,,
47QFCA25F0013,SPECIAL OPERATIONS FORCES SOF INFORMATION TECHNOLOGY IT ENTERPRISE CONTRACT SITEC-M ORIGINAL TASK ORDER AWARD,0,0,,,541512,,,,,,
M6785425F4200,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE IT SUPPORT SERVICES FOR BASE YEAR 5.,0,0,,,541512,,,,,,
75FCMC25FJ022,"THE CLOUD PRODUCTS AND TOOLS (CPT) CONTRACT IS USED TO PROVIDE CLOUD-BASED INFRASTRUCTURE FROM COMMERCIAL CLOUD SERVICE PROVIDERS (CSP) SUCH AS MICROSOFT AZURE GOVERNMENT (MAG) AND AMAZON WEB SERVICES (AWS), AS WELL AS SOFTWARE, HARDWARE, TOOLS, PROF",0,0,,,541512,,,,,,
91003125C0011,"THE PURPOSE OF DMCS IS TO MANAGE THE DEFAULT LOAN PORTFOLIO, AND STORE, MANAGE, PROTECT, AND PROVIDE STUDENT LOAN DEBTORS IN DEFAULT AVAILABLE INFORMATION UNDER THE HEA. DMCS ENABLES BORROWERS, WHO SO CHOSE, TO MAKE PAYMENTS ON THEIR ACCOUNTS AND SEN",0,0,,,541512,,,,,,
89233125FNA000176,"THE NNSA OCIO IS IN NEED OF IT OPERATIONS TO INCLUDE: SERVICE OPERATIONS AND MANAGEMENT SERVICES, PATCH MANAGEMENT, HOSTING AND CLOUD SERVICES, CYBERSECURITY SUPPORT SERVICES, UNIFIED COMMUNICATIONS AND MESSAGING SERVICES (UCMS) AND SOFTWARE DEVELOPM",0,0,,,541512,,,,,,
36C10B25N0064EHRM,"FORMALLY RECOGNIZE THE CONTRACTORS CORPORATE NAME CHANGE FROM CERNER GOVERNMENT SERVICES INC. TO ORACLE HEALTH GOVERNMENT SERVICES, INC. IAW FAR SUBPART 42.12.",0,0,,,541512,,,,,,
2032H525F00063,THIS IS A DELIVERY ORDER TO ACQUIRE LONG TERM INTEGRATION SUPPORT (LTIS) FROM A SUBJECT OF MATTER EXPERT FOR THE INDIVIDUAL MASTERFILE MODERNIZATION (IMF MOD) PROGRAM.,0,0,,,541512,,,,,,
FA800325F0008,THE PURPOSE OF THIS ORDER IS TO PROVIDE A SHORT-TERM SOLUTION FOR A SYSTEM INTEGRATOR AND SERVICE DESK TO SUPPORT THE ADVANA OPERATING SYSTEM ENVIRONMENT.,0,0,,,541512,,,,,,
140D0425F0041,TASK ORDER 6 - ENTERPRISE ENGAGEMENT,0,0,,,541512,,,,,,
FA714625F0006,US BICES / US BICES- X TO2,0,0,,,541512,,,,,,
19AQMM24F2319,CLOUD PROGRAM MANAGEMENT SERVICES - NEW AWARD,0,0,,,541512,,,,,,
70B04C24F00001129,BORDER ENFORCEMENT APPLICATIONS FOR GOVERNMENT LEADING-EDGE INFORMATION TECHNOLOGY,0,0,,,541512,,,,,,
36C10B24F0420,ENDPOINT SUPPORT AND OPERATIONS MONITORING (ESOM)-IT SUPPORT SERVICES TO ASSIST EUS IN ACHIEVING ITS MISSION OF SERVING VETERANS AND THE PUBLIC BY DELIVERING EFFECTIVE ENDPOINT SUPPORT AND OPERATIONS MONITORING.,0,0,,,541512,,,,,,
36C10B24N0063EHRM,OPTIMIZATION OF THE EHRM SYSTEM,0,0,,,541512,,,,,,
70B06C24F00000767,TASK ORDER FOR HR IT SERVICES OFF OF CIO SP3 SB,0,0,,,541512,,,,,,
FA872624FB071,ENTERPRISE CLOUD SERVICE PROVIDER RESELLER AND SOFTWARE MANAGEMENT,0,0,,,541512,,,,,,
75FCMC24F0195,MEDICARE SECONDARY PAYMENT SYSTEMS (MSPS),0,0,,,541512,,,,,,
36C10G24N0112,CCIN - ARCHITECTURE & APPLICATION DEVELOPMENT,0,0,,,541512,,,,,,
75FCMC24F0161,CONTRACTOR SUPPORT TO DELIVER AND CONTINUOUSLY IMPROVE THE SERVICES AND THE UNDERLYING TECHNOLOGY TO MAINTAIN CMS ORGANIZATIONAL ABILITY TO SEAMLESSLY COLLABORATE THROUGH ONLINE TOOLS.,0,0,,,541512,,,,,,
47QFRA24F0012,CONTINUOUS DIAGNOSTICS AND MITIGATION CDM DATA SERVICES,0,0,,,541512,,,,,,
47QFCA24F0039,ARMY GLOBAL UNIFIED NETWORK  INCREMENT 1,0,0,,,541512,,,,,,
19AQMM24F1317,CONSULAR SYSTEMS MODERNIZATION,0,0,,,541512,,,,,,
47QFCA24F0038,NORAD  USNORTHCOM INFORMATION TECHNOLOGY IT ENTERPRISE SERVICES (NITES) BASE AWARD.,0,0,,,541512,,,,,,
15M10424FA4700033,"THE U.S. MARSHALS SERVICE (USMS) INFORMATION TECHNOLOGY DIVISION (ITD), FUNCTIONAL OPERATIONS AND RESOURCES FOR CORE ENTERPRISE SERVICES (FORCE). ALL TERMS AND CONDITIONS OF NITAAC CIO-SP3 GWAC #HHSN316201200007W IDIQ APPLY. SAF 52.232-18.",0,0,,,541512,,,,,,
36C10B24F0237,"THIS REQUIREMENT SHALL PROVIDE SUPPORT WHICH SHALL INCLUDE: CAPABILITY DELIVERY LIFECYCLE MANAGEMENT, ENHANCEMENT/DEVELOPMENT DELIVERY, CONFIGURATION, ADDITIONAL ENHANCEMENT/DEVELOPMENT DELIVERY, PTEMS ENHANCEMENTS AND DEVELOPMENT",0,0,,,541512,,,,,,
N0001924C0057,THIS CONTRACT PROCURES TRANSITIONAL INFORMATION TECHNOLOGY (IT) AND INFORMATION ASSURANCE/CYBERSECURITY SERVICES IN SUPPORT OF VIRTUAL ENTERPRISE (JVE) NETWORK AND STANDALONE WORKSTATIONS FOR THE F-35 JOINT STRIKE FIGHTER AIRCRAFT.,0,0,,,541512,,,,,,
W900KK24F0120,ORDER TO BUILD NEW ENTERPRISE COMPUTE AND STORAGE SYSTEMS AND UPGRADE OF REGIONAL COMPUTE AND STORAGE SYSTEMS IN SUPPORT OF THE PERSISTENT CYBER TRAINING ENVIRONMENT.,0,0,,,541512,,,,,,
36C10B24F0226,TECHNOLOGY INCUBATION SERVICES 2.0,0,0,,,541512,,,,,,
47QFCA24F0032,ICON TASK ORDER AWARD,0,0,,,541512,,,,,,
W900KK24F0134,TASK ORDER AWARD FOR THE JOINT LAND COMPONENT CONSTRUCTIVE TRAINING CAPABILITY PROGRAM/CONTRACT.,0,0,,,541512,,,,,,
36C10B24F0201,FINANCIAL SERVICES CENTER IT OPERATIONS SUPPORT SERVICES,0,0,,,541512,,,,,,
36C10B24N10190019,IDENTITY AND ACCESS MANAGEMENT,0,0,,,541512,,,,,,
75FCMC24F0116,DEVELOPMENT AND OPERATIONS & MAINTENANCE OF ADVANCED PROVIDER SCREENING (APS),0,0,,,541512,,,,,,
75N94024F00001,CONTRACT TO PROCURE A WIDE RANGE OF AGILE SOFTWARE DEVELOPMENT AND DESIGN SERVICES TO SUPPORT THE OFFICE OF EXTRAMURAL RESEARCH (OER) INCLUDING THE ERA ENTERPRISE GRANTS MANAGEMENT SYSTEM.,0,0,,,541512,,,,,,
80TECH24CA002,NASA CONSOLIDATED APPLICATION AND PLATFORM SERVICES (NCAPS),0,0,,,541512,,,,,,
HC102824F0586,MICROSOFT CONSULTING SERVICES (MCS) AND UNIFIED SUPPORT FOR THE U.S. NAVY / PROGRAM EXECUTIVE OFFICE DIGITAL AND ENTERPRISE SERVICES (PEO) DIGITAL,0,0,,,541512,,,,,,
2032H524F00199,MODERNIZED E-FILE (MEF),0,0,,,541512,,,,,,
47QFMA24F0016,DEFENSE TRAVEL SYSTEM SUSTAINMENT BRIDGE,0,0,,,541512,,,,,,
89303024FIM000140,THE PURPOSE OF THIS ACTION IS TO ESTABLISH A NEW BLANKET PURCHASE AGREEMENT (BPA) ORDER UNDER BPA # 89303019AIM000005 FOR ORDER LEVEL MATERIALS (OLMS),0,0,,,541512,,,,,,
47QFRA24F0007,CDM DEFEND GROUP C  BRIDGE TASK ORDER,0,0,,,541512,,,,,,
47QFRA24F0008,CDM DEFEND GROUP E  BRIDGE TASK ORDER,0,0,,,541512,,,,,,
47QFRA24F0005,CDM DEFEND GROUP A  BRIDGE TASK ORDER,0,0,,,541512,,,,,,
47QFRA24F0006,CDM DEFEND GROUP BD  BRIDGE TASK ORDER,0,0,,,541512,,,,,,
47QFCA24F0020,"THE PURPOSE OF THIS MODIFICATION IS TO AWARD THE TASK ORDER MAVERICK, AND PROVIDE INCREMENTAL FUNDING.",0,0,,,541512,,,,,,
89303024FIM000144,"CBOSS BPA TASK ORDER FOR IM-30 CYBERSECURITY STRATEGY, POLICY, OPERATIONS, ENGINEERING, AND PROGRAM MANAGEMENT FOR THE U.S. DEPARTMENT OF ENERGY (DOE) OFFICE OF CHIEF INFORMATION OFFICER (OCIO/IM-30)",0,0,,,541512,,,,,,
HT001524F0070,ENTERPRISE IT SERVICES INTEGRATOR,0,0,,,541512,,,,,,
1333BJ24F00280007,THIS IS A RECOMPETE FOR THE PATENT PRODUCT PATENT ADMINISTRATIVE CENTER (PAC) AND OPERATIONS AND MAINTENANCE (O&M) SUPPORT SERVICES FOR APPLICATIONS.,0,0,,,541512,,,,,,
47QFCA24F0014,THE PURPOSE OF MOD 00 IS TO AWARD TASK ORDER 47QFCA24F0014 FOR THE ASSISTED SERVICE SHARED INFORMATION SYSTEM (ASSIST) MODERNIZATION AND MAINTENANCE SERVICES ACQUISITION.,0,0,,,541512,,,,,,
2032H524F00180,"TAX ACCOUNT PROCESSING, BUSINESS TAX ACCOUNT DATA STORE AND ACCOUNT DATA SERVICES",0,0,,,541512,,,,,,
FA872624F0001,CLOUDONE CONTINUATION CONTRACT - CLOUD SERVICES,0,0,,,541512,,,,,,
89303024FIM000137,ESTABLISH A BLANKET PURCHASE AGREEMENT (BPA) CALL ORDER 89303024FIM000137 AND PROVIDE INCREMENTAL FUNDING FOR .,0,0,,,541512,,,,,,
70B04C24F00000184,IT SERVICE AND SUPPORT,0,0,,,541512,,,,,,
HT942524F0015,TECHNICAL REFRESH TO LOGICOLE,0,0,,,541512,,,,,,
47QFMA24F0013,AWARD OF INFORMATION TECHNOLOGY GLOBAL ENTERPRISE MANAGEMENT SERVICES IT GEMS REQUIREMENT,0,0,,,541512,,,,,,
47QFSA24F0001,INFRASTRUCTURE INSTALL MOVE ADD CHANGE I2MAC,0,0,,,541512,,,,,,
47QFCA24F0009,THE PURPOSE OF THIS IS TO INCREMENTALLY FUND AND AWARD THE CITS TASK ORDER.,0,0,,,541512,,,,,,
FA805124F0013,AIR FORCE CIVIL ENGINEER CONTROL SYSTEMS CYBERSECURITY INITIATIVE,0,0,,,541512,,,,,,
70RDA124FR0000005,"OPERATE AND MAINTAIN THE OBIM INFRASTRUCTURE COMPONENTS AND ASSOCIATED APPLICATIONS AND OTHER FUNCTIONALITY OF THE PRODUCTION AND NON-PRODUCTION ENVIRONMENTS AND ASSOCIATED BUSINESS SYSTEMS CURRENTLY DEPLOYED WITH THE DHS DATA CENTER 1, GOVERNMENT AN",0,0,,,541512,,,,,,
36C10D24F0021,VBA DGIB SUPPORT SERVICES PURCHASE,0,0,,,541512,,,,,,
49100424F0001,INFORMATION TECHNOLOGY MISSION APPLICATION SUPPORT,0,0,,,541512,,,,,,
36C10B24F0038,VETERAN ENTERPRISE MODULE & SYSTEM INTEGRATION SERVICES,0,0,,,541512,,,,,,
89603024F0002,CORE IT SERVICES - CBOSS BPA,0,0,,,541512,,,,,,
FA873024FB003,COMMAND AND CONTROL INCIDENT MANAGEMENT EMERGENCY RESPONSE APPLICATION (C2IMERA) II,0,0,,,541512,,,,,,
47QFCA24F0002,"SITEC 3 EOM PROVIDES USSOCOM WITH O&M SERVICES TO MAINTAIN NETOPS, MAINTAIN SYSTEMS & NETWORK INFRASTRUCTURE, PROVIDE END USER & COMMON DEVICE SUPPORT, PROVIDE CONFIGURATION, CHANGE, LICENSE, & ASSET MGMT. CONDUCT TRAINING AND PERFORM IMACS SERVICES.",0,0,,,541512,,,,,,
2032H524F00003,ESUS TASK ORDER #6 - MIPS,0,0,,,541512,,,,,,
75FCMC23F0156,"HEALTHCARE INTEGRATED GENERAL LEDGER ACCOUNTING SYSTEM (HIGLAS) HOSTING, OPERATIONS & MAINTENANCE (HOM)",0,0,,,541512,,,,,,
19AQMM23F3430,INTEGRATED LOGISTICS MANAGEMENT SYSTEM (ILMS) SYSTEMS INTEGRATION SERVICES - POOL 14 - DIPLOMATIC SECURITY (DS),0,0,,,541512,,,,,,
36C10A23F0115,ENTERPRISE MEASUREMENT AND CONFIGURATION SERVICES (EMACS),0,0,,,541512,,,,,,
47QFCA23F0058,AWARD OF TASK ORDER 47QFCA23F0058 FOR DATA MODERNIZATION ACCELERATOR FOR CDC (DMAC).,0,0,,,541512,,,,,,
47QFMA23F0023,DCPDS SOFTWARE SUSTAINMENT SUPPORT SERVICES,0,0,,,541512,,,,,,
15F06723F0001532,BSAS - HR SOURCE IT DEVELOPMENT SUPPORT SERVICES,0,0,,,541512,,,,,,
75FCMC23F0002,CONTINUOUSLY AVAILABLE CMS HOSTING ENVIRONMENT _ INFRASTRUCTURE AS A SERVICE,0,0,,,541512,,,,,,
47HAA023F0119,THE PURPOSE OF THIS REQUIREMENT IS FOR SECURITY SUPPORT SERVICES FOR THE OFFICE OF THE CHIEF INFORMATION SECURITY OFFICER.,0,0,,,541512,,,,,,
FA872623FB093,ENTERPRISE AS A SERVICE ENTERPRISE SERVICE DESK-UNIFIED ENDPOINT MANAGEMENT,0,0,,,541512,,,,,,
140D0423F0882,"THE PURPOSE OF THIS REQUIREMENT FOR GRANTS PROGRAM SOLUTIONS AND IT SUPPORT SERVICES IS TO PROVIDE EFFICIENT AND EFFECTIVE GRANT, FINANCIAL, AND CONTRACT MANAGEMENT SERVICES, IT SOLUTIONS, AND SUPPORT TO THE GRANTSOLUTIONS AND ITS PARTNERS.",0,0,,,541512,,,,,,
70FA6023F00000039,CDS BRIDGE CONTRACT  POP 09/08/2023 - 09/07/2025,0,0,,,541512,,,,,,
HC104723F0033,"GLOBAL COMMAND AND CONTROL SYSTEM JOINT SOFTWARE SUSTAINMENT AND MODERNIZATION. MISSION CRITICAL ENGINEERING, SOFTWARE DEVELOPMENT, AND CYBER-SECURITY INFORMATION ASSURANCE SUPPORT.",0,0,,,541512,,,,,,
HC104723F0032,MISSION PARTNER ENVIRONMENT (MPE) NETWORK ENGINEERING SERVICES FOR UNITED STATES INDO-PACIFIC COMMAND (INDOPACOM),0,0,,,541512,,,,,,
FA872323F9010,GMASS,0,0,,,541512,,,,,,
36C10B23N0059EHRM,EHRM FORWARD DEPLOYED SOLUTION SET,0,0,,,541512,,,,,,
36C10B23N10010013,TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY PROGRAM (T4NG) - CLOUD OPERATIONS AND MIGRATION SERVICES,0,0,,,541512,,,,,,
70CTD023FR0000053,THIS AWARD IS FOR SECURITY ASSURANCE SUPPORT SERVICES (SASS) II,0,0,,,541512,,,,,,
HDTRA123F0021,MISSION INFORMATION TECHNOLOGY SERVICES,0,0,,,541512,,,,,,
FA877223C0002,AIR FORCE SYSTEMS NETWORKING (AFSN) NETWORK ENGINEERING INTEGRATION SERVICES (NEIS),0,0,,,541512,,,,,,
HC102823F0621,"COMMANDER, NAVY INSTALLATIONS COMMAND CODE N6 OFFICE OF THE CHIEF INFORMATION OFFICER, ENTERPRISE ASHORE ENCLAVE SUPPORT, INFORMATION TECHNOLOGY (IT) SOLUTIONS, AND SERVICES",0,0,,,541512,,,,,,
75FCMC23F0076,END - USER CENTRIC IT SUPPORT 2.0 (ECIS 2.0),0,0,,,541512,,,,,,
47QFCA23F0030,EPA INFORMATION TECHNOLOGY ENTERPRISE DEVELOPMENT (ITED) TASK ORDER (47QFCA23F0030) AWARD FROM TASK ORDER REQUEST (47QFCA23R0032) IN SUPPORT OF THE US EPA.,0,0,,,541512,,,,,,
FA873023FB038,"SYSTEMS INFRASTRUCTURE, APPLICATIONS, OPERATIONS AND MAINTENANCE SERVICES (SIAOMS)",0,0,,,541512,,,,,,
70T02023F7500N004,"OPERATIONS, TECHNOLOGY, INNOVATION, AND MANAGEMENT (OPTIMA) SUPPORT SERVICES OF ALL TRANSPORTATION SECURITY ADMINISTRATION / INFORMATION TECHNOLOGY / TECHNOLOGY SOLUTIONS DIVISION MISSION ESSENTIAL SYSTEMS IN VARIOUS LOCATIONS.",0,0,,,541512,,,,,,
W56JSR23F0062,"THIS ORDER IS FOR DEPUTY ASSISTANT SECRETARY OF THE ARMY DATA, ENGINEERING AND SOFTWARE TO PROVIDE HUMAN CENTERED DESIGN, DEVSECOPS, DATA MANAGEMENT, DATA MESH ARCHITECTURES, DATA SCIENCE, DIGITAL ENGINEERING, SYSTEMS ENGINEERING AND CYBERSECURITY.",0,0,,,541512,,,,,,
70SBUR23F00000104,RECORDS MANAGEMENT AND SUPPORT SERVICES,0,0,,,541512,,,,,,
36C10B23N10050020,EO14042 - TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) MODIFICATION P00011 - UPDATE CLAUSES AND DELIVERABLES,0,0,,,541512,,,,,,
75N97023F00002,PROFESSIONAL SUPPORT SERVICES,0,0,,,541512,,,,,,
HT003823C0004,"FURTHER SOFTWARE DEVELOPMENT, CAPABILITY RELEASE, DEPLOYMENT, AND TRAINING SUPPORT FOR THE MEDICAL COMMON OPERATING PICTURE (MEDCOP).",0,0,,,541512,,,,,,
47HAA023F0039,PEGASYS FINANCIAL OPERATIONS,0,0,,,541512,,,,,,
75FCMC23F0029,CMMI TECHNOLOGY SOLUTIONS (CTS),0,0,,,541512,,,,,,
47QFCA23F0017,DCSA ONE IT TASK ORDER,0,0,,,541512,,,,,,
47QFDA23F0016,MBSOA RECOMPETE FY23,0,0,,,541512,,,,,,
FA820423F0003,THE CONTRACTOR SHALL PROVIDE SOFTWARE AS A SERVICE IAW TERMS AND CONDITIONS SET FORTH IN BOA FA830720G0044 AND THIS ORDER.,0,0,,,541512,,,,,,
75FCMC23F0010,ELIGIBILITY SUPPORT,0,0,,,541512,,,,,,
70B04C23F00000074,CBP'S DATA CENTER SUPPORT SERVICES (DCSS).,0,0,,,541512,,,,,,
36C10B23N0046EHRM,TESTING SUPPORT SERVICES: THE CONTRACTOR SHALL PROVIDE ONGOING MANAGEMENT AND OVERSIGHT OF TESTING SERVICES.,0,0,,,541512,,,,,,
75N91023F00001,NATIONAL CANCER INSTITUTE (NCI) INFORMATION TECHNOLOGY (IT) BLANKET PURCHASE AGREEMENT (BPA) - SOFTWARE ENGINEERING AND SUPPORT,0,0,,,541512,,,,,,
W31P4Q23F0020,"ENTERPRISE INFORMATION TECHNOLOGY SUPPORT SERVICE FOR U.S. ARMY COMBAT CAPABILITIES DEVELOPMENT COMMAND, AVIATION AND MISSILE CENTER, AVIATION AND MISSILE CENTER OFFICE OF THE CHIEF INFORMATION OFFICE, GENERAL SERVICE ADMINISTRATIONS,",0,0,,,541512,,,,,,
70RDAD22FC0000107,TO PROVIDE PROGRAM MANAGEMENT SERVICES IN SUPPORT OF THE FINANCIAL MANAGEMENT OFFICE.,0,0,,,541512,,,,,,
36C10B22N10060040,MANAGEMENT CONSULTING SERVICES AND HEALTHCARE REVENUE WORKFLOW MANAGEMENT AND BUSINESS INFORMATION TECHNOLOGY TOOLS,0,0,,,541512,,,,,,
36C10B22N10280026,"THIS TO IS FOR HEALTH MIDDLEWARE AND DATA MANAGEMENT (HMDM) DEVELOPMENT, SECURITY, AND OPERATIONS (DEVSECOPS) SUPPORT",0,0,,,541512,,,,,,
36C10B22N0051EHRM,"EHRM WAVES K, L, M (VISN 23) AND N, O (VISN 15) DEPLOYMENTS",0,0,,,541512,,,,,,
W912DY22F0373,"MAINTENANCE & SERVICES (M&S) COMMAND CENTER HUMPHREYS CAMPUS, M&S, CAMP HUMPHREYS, SOUTH KOREA",0,0,,,541512,,,,,,
12314422F0720,NRCS PRODUCTION OPERATIONS (CYPRESS),0,0,,,541512,,,,,,
HC102822F0982,MICROSOFT CONSULTING SERVICES (MCS) AND MICROSOFT PREMIER SUPPORT (MPS) FOR THE UNITED STATES MARINE CORPS (USMC.,0,0,,,541512,,,,,,
HC108422F0258,AESS 2.0 - ENDPOINT PROTECTION,0,0,,,541512,,,,,,
36C10B22N10070022,CONNECTED CARE PLATFORM (CCP),0,0,,,541512,,,,,,
HC102822F1335,"MICROSOFT ENTERPRISE TECHNICAL SOLUTIONS SERVICES (METSS) MICROSOFT CONSULTING SERVICES (MCS) AND MICROSOFT UNIFIED SERVICES FOR PROGRAM EXECUTIVE OFFICE FOR COMMAND, CONTROL AND COMMUNICATIONS-TACTICAL, TACTICAL NETWORKS (PEO C3T TN)",0,0,,,541512,,,,,,
15JPSS22F00000690,BASE AND FOUR YEAR AWARD CONTRACT FOR SOFTWARE DEVELOPMENT AND ADMINISTRATION SUPPORT UNDER ITSS-5 FOR EOIR.,0,0,,,541512,,,,,,
75FCMC22F0123,"THE PURPOSE OF THIS REQUEST FOR CONTRACT IS TO RECOMPETE THE TRANSFORMED MEDICAID STATISTICAL INFORMATION SYSTEM (T-MSIS) CONTRACT. THE PURPOSE OF THIS CONTRACT IS TO SECURE COMPREHENSIVE SERVICES TO LEAD THE PRODUCT DEVELOPMENT, SECURITY, OPERATIONS",0,0,,,541512,,,,,,
70SBUR22F00000182,FRAUD INVESTIGATION NATIONAL SECURITY COORDINATED HEURISTICS (FINCH) OPERATIONS,0,0,,,541512,,,,,,
36C10B22N0056EHRM,EHRM INTERFACES,0,0,,,541512,,,,,,
70SBUR22F00000197,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,0,0,,,541512,,,,,,
89303022FIM000088,"BPA ORDER 34, CONSOLIDATED SUPPORT SERVICES/ITIL ALIGNMENT ISSUED UNDER MASTER BPA NUMBER 89303019AIM000005",0,0,,,541512,,,,,,
36C10B22N10010012,BASE AWARD,0,0,,,541512,,,,,,
36C10B22N0045EHRM,"AWARD FOR WAVES H, J, AND J DEPLOYMENTS.",0,0,,,541512,,,,,,
FA860422CB019,IT-FMO,0,0,,,541512,,,,,,
70SBUR22F00000112,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,0,0,,,541512,,,,,,
70SBUR22F00000113,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,0,0,,,541512,,,,,,
75FCMC22F0001,"THE QDAS WILL MEET THE FOLLOWING DATA AND ANALYTIC GOALS AND INITIATIVES BY ESTABLISHING A STREAMLINED AND COMMON SERVICE THAT: A) PROVIDES DATA MANAGEMENT, ANALYTICS, REPORTING AND AGILE DEVELOPMENT SERVICES B) USES AGILE DEVELOPMENT RAPID-CYCLE T",0,0,,,541512,,,,,,
47QFCA22F0038,GUARD ENTERPRISE CYBER OPERATIONS SUPPORT ORIGINAL AWARD.,0,0,,,541512,,,,,,
75N91022F00001,CANCER THERAPY EVALUATION PROGRAM INFORMATICS & COMPUTER SUPPORT,0,0,,,541512,,,,,,
47QFSA22F0101,C2MS III  COMMAND CONTROL MISSION SYSTEMS AFSOC,0,0,,,541512,,,,,,
36C10B22N10030034,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,0,0,,,541512,,,,,,
HQ051622C0007,CLIN 0002-TASKS 6.6-6.11 (CPFF),0,0,,,541512,,,,,,
W912DY22F0105,"HIGH PERFORMANCE COMPUTING (HPC) CENTERS PROGRAM OF THE DOD HPC MODERNIZATION PROGRAM OFFICE (HPCMPO), UNDER THE U.S. ARMY ENGINEER RESEARCH AND DEVELOPMENT CENTER (ERDC) OVERSEES 5 DOD SUPERCOMPUTING RESEARCH CENTERS (DSRCS).",0,0,,,541512,,,,,,
36C10B22N10030033,NEW T4NG TASK ORDER - VRE PRODUCTS SUSTAINMENT AND ENHANCEMENT SERVICES,0,0,,,541512,,,,,,
70B02C22F00000393,INDEPENDENT VERIFICATION AND VALIDATION SERVICES,0,0,,,541512,,,,,,
FA873022F0006,GLOBAL APPLICATION DELIVERY NETWORK,0,0,,,541512,,,,,,
47QFCA22F0026,ENTERPRISE SUPPORT SERVICES AND ENDPOINT TECHNOLOGY (ESSET) TASK ORDER (47QFCA22F0026) AWARD FROM TASK ORDER REQUEST (47QFCA21F0072) IN SUPPORT OF THE US EPA.,0,0,,,541512,,,,,,
36C10B22N0047EHRM,EHRM OPERATIONS,0,0,,,541512,,,,,,
47QFCA22F0025,DC3 TABO AWARD,0,0,,,541512,,,,,,
