idv_piid,idv_key,task_order_piid,recipient_name,recipient_uei,award_amount,description,awarding_agency,start_date,end_date
SEAPORT,CONT_IDV_N0017825D7936_9700,N0024425F3011,,,0,MOBILITY MANAGER SUPPORT SERVICES,,,
SEAPORT,CONT_IDV_N0017825D7936_9700,N0017825F7936,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
SEAPORT,CONT_IDV_N0017825D7593_9700,N0017825F7593,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
SEAPORT,CONT_IDV_N0017825D7641_9700,N0017825F7641,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
SEAPORT,CONT_IDV_N0017825D7794_9700,N0017825F7794,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
ALLIANT,CONT_IDV_W912QR25DA018_9700,W912QR25FA174,,,0,8(A) SOLE SOURCE IDIQ FOR FULL RANGE OF REMEDIATION AND RELATED ENVIRONMENTAL SERVICES WITH LILIUM-ALLIANT JV LLC FOR THE U.S. ARMY CORPS OF ENGINEERS (USACE) AND ITS CUSTOMERS - MINIMUM GUARANTEE TAS,,,
ALLIANT,CONT_IDV_N0018924GZ005_9700,N0622A25FA081,,,0,"CA, ALLIANT INTERNATIONAL SPR 1301232925 TUITION AND FEES",,,
ALLIANT,CONT_IDV_N0018924GZ005_9700,N0622A24F00TK,,,0,TUITION AND FEES,,,
ALLIANT,CONT_IDV_N0018924GZ005_9700,N0622A24F00TJ,,,0,TUITION AND FEES,,,
ALLIANT,CONT_IDV_75FCMC19D0005_7530,75FCMC21F0002,,,0,END STAGE RENAL DISEASE (ESRD) NETWORK 14,,,
ALLIANT,CONT_IDV_75FCMC19D0005_7530,75FCMC21F0001,,,0,END STAGE RENAL DISEASE (ESRD) NETWORK 8,,,
ALLIANT,CONT_IDV_75FCMC19D0005_7530,75FCMC20F0002,,,0,HOSPITAL QUALITY IMPROVEMENT CONTRACTOR (HQIC),,,
ALLIANT,CONT_IDV_75FCMC19D0005_7530,75FCMC20F0001,,,0,QUALITY INNOVATION NETWORK/QUALITY IMPROVEMENT ORGANIZATIONS (QIN-QIO) TASK ORDER,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038322F0BW4,,,0,MISSILE WARNING SYSTEM SENSOR,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038322F0BW3,,,0,OPTICAL SENSOR CONV,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038322F0BW2,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038322F0BW1,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW8,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW7,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW6,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW5,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW4,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW3,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW2,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038321F0BW1,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BWC,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BW9,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BWA,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BWB,,,0,SENSOR ELECTRO OPTI,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BW7,,,0,MISSILE WARNING SYSTEM,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BW8,,,0,OPTICAL SENSOR CONV,,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038320F0BW6,,,0,"SENSOR, ELECTO-OPTIC",,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038319F0BW5,,,0,"SENSOR, ELECTO-OPTIC",,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038319F0BW4,,,0,"SENSOR, ELECTO-OPTIC",,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038319F0BW3,,,0,"SENSOR, ELECTO-OPTIC",,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038319F0BW1,,,0,"SENSOR, ELECTO-OPTIC",,,
ALLIANT,CONT_IDV_N0038319GBW01_9700,N0038319F0BW2,,,0,OPTICAL SENSOR,,,
ALLIANT,CONT_IDV_SS001461030_2800,28321321FDS030040,,,0,"PURCHASE, INSTALLATION AND ONE YEAR MAINTENANCE FOR EDIT STATIONS FOR THE OFFICE OF STRATEGY, LEARNING AND WORKFORCE DEVELOPMENT.",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321320FDS030176,,,0,"PURCHASE OF VIDEO STORAGE SOLUTION HARDWARE, INSTALLATION, DE-INSTALLATION&1 YEAR MAINTENANCE FOR INTERACTIVE TELE-TRAINING BROADCAST STUDIOS",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321320FDS030145,,,0,"PLEASE TAKE THE NECESSARY ACTION TO PURCHASE 1157 MEDIA SIGNAGE PLAYERS CLIN 006-004-1748, OFF OF THE VIDEO BROADCASTING&MONITORING SERVICES TASK ORDER SS00-14-61030.  THE 1157 MEDIA SIGNAGE PLAYERS W",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321320FDS030135,,,0,"PLEASE TAKE THE NECESSARY ACTION TO PURCHASE, INSTALL, AND PROVIDE 1 YEAR MAINTENANCE FOR A VIDEO ROUTER FRAME FOR THE SEATTLE, WA IVT BROADCAST STUDIO (STUDIO 6)",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321320FDS030094,,,0,"PLEASE TAKE THE NECESSARY ACTION TO PROVIDE MAINTENANCE FUNDING FOR THE FOLLOWING: ALL SSA INTERACTIVE VIDEO TELE-TRAINING (IVT) BROADCAST STUDIOS, CLASSROOMS, VIDEO COMMUNICATIONS CONTROL CENTERS (VC",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321320FDS030078,,,0,"PLEASE TAKE THE NECESSARY ACTION TO PROVIDE MOVES, ADDS AND CHANGES (MAC'S) FOR THE VIDEO BROADCASTING&MONITORING SERVICES (VBMS) TASK ORDER SS00-14-61030",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321319FDS030143,,,0,"ACQUIRE AN AUDIO/VIDEO ROUTER FOR THE VIDEO COMMUNICATIONS CONTROL CENTER FOR THE INTERACTIVE VIDEO TELETRAINING HELP DESK, LOCATED AT THE PERIMETER EAST BUILDING (PEB).",,,
ALLIANT,CONT_IDV_SS001461030_2800,28321319FDS030094,,,0,DELIVERY ORDER FOR BROADCAST ROUTER AND ACCESSORIES.,,,
ALLIANT,CONT_IDV_SS001461030_2800,28321319FDS030089,,,0,DELIVERY ORDER - SSTV EQUIPMENT,,,
ALLIANT,CONT_IDV_SS001461030_2800,28321319FDS030095,,,0,MAINTENANCE&MANAGED SERVICES FOR THE VIDEO BROADCASTING&MONITORING SERVICES (VBMS) TASK ORDER SS00-14-61030.  THE MAINTENANCE&MANAGED SERVICES PROVIDES MAINTENANCE AND SUPPORT FOR THE SEVEN INTERACTIV,,,
ALLIANT,CONT_IDV_SS001461030_2800,28321319FDS030074,,,0,"DELIVERY ORDER MOD FOR MOVES, ADDS AND CHANGES (MAC) FUNDING",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,68HE0H18F1530,,,0,"ENGINES AND VEHICLES COMPLIANCE INFORMATION SYSTEM (EV-CIS), SUPPORT SERVICES FOR THE OFFICE OF AIR AND RADIATION",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,19AQMM18F2277,,,0,AWARD OF LOGICAL FOLLOW-ON TO SAQMMA17F2623.,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,47QFCA18F0002,,,0,IGF::CL::IGF TASK ORDER AWARD,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,SAQMMA17F2623,,,0,"AN ENDURING BIOMETRICALLY BASED IDENTITY MANAGEMENT SERVICES TO THE GOM AND ITS MISSION PARTNERS THAT WILL ENABLE INFORMED DECISION MAKING BY PRODUCING ACCURATE, TIMELY, AND HIGH ASSURANCE IDENTITY IN",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0317DS0036,,,0,IGF::OT::IGF - WORKFLOW LEARNING ASSET DEVELOPMENT AND SYSTEMS SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0317DS0021,,,0,KNOWLEDGE MANAGEMENT SYSTEM SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0017AJ0019,,,0,IGF::CT::IGF EPA HIGH END SCIENTIFIC COMPUTING SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0416DB0028,,,0,IGF::OT::IGF 406 FT BENNINGGA IT SERV AND SPT BRIDGE,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HC104716F0005,,,0,"IGF::CT::IGF  THE SCOPE OF THIS CONTRACT INCLUDES ALL OF THE PROGRAM MANAGEMENT, SYSTEMS ENGINEERING, SOFTWARE DEVELOPMENT, TEST, INTEGRATION, MAINTENANCE, TRAINING, AND DOCUMENTATION TO DEVELOP AND I",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,EPG16H01280,,,0,"IGF::CT::IGF NATIONAL VEHICLE FUEL EMISSIONS LABORATORY IN ANN ARBOR, MICHIGAN FOR THE OFFICE OF AIR AND RADIATION, OFFICE OF TRANSPORTATION AND AIR QUALITY FOR THE VERIFY PROGRAM.",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,EPG16H01272,,,0,"IGF::CT::IGF NATIONAL VEHICLE FUEL EMISSIONS LABORATORY IN ANN ARBOR, MICHIGAN FOR THE OFFICE OF AIR AND RADIATION, OFFICE OF TRANSPORTATION AND AIR QUALITY FOR THE VERIFY PROGRAM.",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HQ042316F0031,,,0,IGF::OT::IGF  CONTRACTOR PROVIDED MAINTENANCE OF THE STANDARD OPERATION AND MAINTENANCE ARMY RESEARCH AND DEVELOPMENT SYSTEM (SOMARDS).,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,W9133L16F2Y02,,,0,IGF::OT::IGF ARMMIS LABOR,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HQ042316F0021,,,0,IGF::OT::IGF  CONTRACTOR SUPPORT FOR SUSTAINMENT OF THE STANDARD OPERATION AND MAINTENANCE ARMY RESEARCH AND DEVELOPMENT SYSTEM (SOMARDS).,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HSHQDC15F00175,,,0,IGF::OT::IGF  THIS IS A HYBRID FIRM-FIXED-PRICE(FFP)/COST-PLUS-AWARD-FEE(CPAF)AND COST REIMBURSEMENT(CR)TASK ORDER FOR PTS.,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,N0060415F3096,,,0,IGF::CL::IGF  INFORMATION AND TECHNOLOGY SERVICES FOR EKM PROGRAM,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HDTRA115F0019,,,0,IGF::CT::IGF ACES IV&V,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HTC71115FD029,,,0,IGF::OT::IGF DEFENSE TRANSPORTATION REGULATION SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0015AJ0043,,,0,"''IGF::OT::IGF'' TASK ORDER (TO) GSQ0015AJ0043 IS HEREBY AWARDED TO COMPUTER SCIENCES CORPORATION (CSC) TO PROVIDE THE DEPARTMENT OF DEFENSE (DOD), DEFENSE CYBER CRIME CENTER (DC3), DEFENSE CYBER INVE",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HTC71115FD014,,,0,"IGF::OT::IGF AGILE TRANSPORTATION FOR THE 21ST CENTURY (AT21) ENTERPRISE CAPABILITY DEVELOPMENT, INTEGRATION AND SUSTAINMENT",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0014AJ0142,,,0,"OPTION EXERCISE.  NEW TOS INSTANCE IS CREATED, OLD ORDER NUMBER WAS GST0012AJ0003 IGF::OT::IGF",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0014AJ0109,,,0,"''IGF::OT::IGF'' TO GSQ0014AJ0109 IS AWARDED TO PROVIDE THE DEFENSE CYBER CRIME CENTER (DC3) DEFENSE CYBER INVESTIGATIONS TRAINING ACADEMY (DCITA) WITH SCHOOLHOUSE OPERATIONS, COURSEWARE AND TRAINING ",,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0314DS0041,,,0,IGF::OT::IGF OTHER FUNCTION - SETA SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,NNG13PB17D,,,0,IGF::CT::IGF MODIFICATION OF SOFTWARE FOR THE EXTREME ULTRAVIOLET NORMAL INCIDENCE SPECTROGRAPH (EUNIS) SOUNDING ROCKET INSTRUMENT.,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0412DB0117,,,0,OIG I2MS DEVELOPMENT AND SOFTWARE MAINTENANCE SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,HTC71112FD023,,,0,DEFENSE TRANSPORTATION REGULATION,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,FA877312F0013,,,0,AFTEAM BRIDGE,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0712BG0057,,,0,JIOWC VULNERABILITY ASSESSMENT BRANCH JVAB,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,FA877112F1003,,,0,DCAPES DEVELOPMENT ALLIANT BRIDGE,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,FA461012F0005,,,0,NETWORK ARCHITECTURE SUPPORT AND MAINTENANCE,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,FA877112F1002,,,0,DCAPES SUSTAINMENT TASK ORDER,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0311DS7080,,,0,KMS SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0012AJ0003,,,0,OPEN SYSTEMS HOSTING AWARD,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0311DS7010,,,0,DAU KNOWLEDGE MANAGEMENT SUPPORT BRIDGE ORDER,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0411DB0091,,,0,DOL SYSTEMS INTEGRATION ANALYSIS AND PROGRAMMING SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0711BG0043,,,0,IM/IT SUPPORT TO NCCC,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0411BF0005,,,0,DATABASE DESIGN AND PROGRAMMING SUPPORT FOR NCEH/DLS,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GSQ0910DF0228,,,0,C2 DATA SERVICES,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,NNS10AA14T,,,0,INFORMATION TECHNOLOGY SERVICES (ITS) TASK ORDER FOR SSC.  REFERENCE GSA TO # 4QCA80104819 AND GSA ALLIANT CONTRACT # GS00Q09BGD0025.,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,EECTO100004,,,0,PRINTERS,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,GST0710BG0023,,,0,HEALTHCARE CLAIMS PROCESSING SYSTEM,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,EECDO090137,,,0,MANAGED SERVICES,,,
ALLIANT,CONT_IDV_GS00Q09BGD0025_4735,N0040609F0759,,,0,"ENGINEER, TELECOMMUNICATIONS INTEGRATION",,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,HC102817F0115,,,0,IGF::OT::IGF - CORE LABOR SERVICES (XMGS),,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J17F0003,,,0,IGF::OT::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J17F0004,,,0,IGF::OT::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,HC102816F0439,,,0,IGF::OT::IGF - TRANSFER CONTRACT FROM W52P1J-15-F-4026,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GSQ0416DB0029,,,0,IGF::OT::IGF GETS IT SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J16F0012,,,0,IGF::OT::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J16F0002,,,0,IGF::OT::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J16F0001,,,0,IGF::CL::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J15F4026,,,0,FUNDING FOR CLIN 0001 IGF::OT::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,FA830715F0028,,,0,AIR FORCE KEY MANAGEMENT INFRASTRUCTURE CRPTOGRAPHIC CORE AND PORTABLE KEY LOADER,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GSQ0415DB0038,,,0,USAFCENT NETWORK OPERATIONS AND SECURITY CENTER IT SUPPORT IGF::OT::IGF,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GSQ0315DS0005,,,0,IGF::OT::IGF MC4 ENGINEERING AND LOGISTICS SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J14F4013,,,0,CLIN 0001 ITA CORE SERVICES,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J14F4010,,,0,CORE LABOR SERVICES (XMGS),,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0713BG0034,,,0,IGF::OT::IGF   WSR88D NEXRAD DUAL POLARIZATION UPGRADE TAIPEISHANGHAI,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0013AJ0065,,,0,"IGF::CL,CT::IGF THE PURPOSE OF THIS TO IS TO ACQUIRE PERFORMANCE-BASED INFORMATION TECHNOLOGY (IT) TECHNICAL SUPPORT SERVICES  ASSOCIATED WITH ARMY PROJECTS, PROGRAMS, APPLICATIONS, AND INFRASTRUCTURE",,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,HC102812F0211,,,0,IT SERVICES,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0512BM0010,,,0,SIMULATION AND ANALYSIS FACILITY O AND M AND EVENT SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0011AJ0048,,,0,"THE PURPOSE OF THIS ORDER IS TO PROVIDE INSTALLATION GEOBASE SUPPORT TO CONTINUE TO IMPROVE THE SAFETY AND EFFECTIVENESS OF THE WARFIGHTER BY EVOLVING THE GEOBASE GARRISON, GEOREACH AND EXPEDITIONARY ",,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0511BM0008,,,0,ASC/XRA SIMULATION AND ANALYSIS FACILITY O AND M AND EVENT SUPPORT,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0011AJ0010,,,0,IT MIGRATION OF PACAP AND USERS IGI&S GEOBASE LAGACY SYSTEMS WITH SPIRAL DEVELOPMENT METHODOLOGY FOR SYSTEMS EVOLUTION.  SUSTAINMENT SUPPORT SERVICES ARE PROVIDED ALONG WITH THE MIGRATION AND SPIRAL D,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0710BG0114,,,0,PROGRAM MANAGEMENT SUPPORT FOR PEO EIS(GCSS-ARMY),,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0710BG0113,,,0,PROGRAM MANAGEMENT AND ACQUISITION MANAGEMENT SUPPORT FOR SECLEE,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0310DS8032,,,0,GIS AND INTELLIGENCE ANALYSIS,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0710BG0085,,,0,"REGIONAL AUTOMATION SUPPORT CENTER (RASC), FT. LEE, VA",,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,GST0710BG0081,,,0,SECLEE SIL SOFTWARE INTEGRATION LABORATORY,,,
ALLIANT,CONT_IDV_GS00Q09BGD0037_4735,W52P1J10F0009,,,0,"REACH-BACK LABOR,TVL,OTH COST",,,
ALLIANT,CONT_IDV_GS00Q09BGD0052_4735,DOC44PAPT1102022,,,0,PATENT END-TO-END PROCESSING - CONTRACTOR SUPPORT POP:  16 WEEKS ARO,,,
ALLIANT,CONT_IDV_GS00Q09BGD0052_4735,GSQ0910DL0028,,,0,IT SUPPORT SERVICES,,,
ALLIANT,CONT_IDV_GS00Q09BGD0057_4735,W9133L14F0062,,,0,IGF::OT::IGF - NETWORK AND RELATED IT SUPPORT.,,,
