program_name,mention_count,prime_count,associated_primes
NRO,63,14,"Accenture Federal, Amazon Web Services, Boeing, Cisco, Deloitte, General Dynamics, Leidos, Microsoft, Northrop Grumman, Perspecta, Raytheon, Red Hat, SAIC, VMware"
TRANSCOM,54,5,"Accenture Federal, CACI, Leidos, Palantir, SAIC"
JWCC,51,16,"Accenture Federal, Amazon Web Services, Boeing, Deloitte, General Dynamics, Jacobs, L3Harris, Lockheed Martin, Microsoft, Oracle, Palantir, Palo Alto Networks, Parsons, Raytheon, Sierra Nevada, VMware"
DARPA,47,4,"General Dynamics, Leidos, Northrop Grumman, Perspecta"
SLS,45,5,"Boeing, General Dynamics, Jacobs, L3Harris, Lockheed Martin"
GPS OCX,40,4,"Booz Allen Hamilton, General Dynamics, Raytheon, SAIC"
Alliant,31,10,"Accenture Federal, Amazon Web Services, CACI, Deloitte, General Dynamics, IBM Federal, Jacobs, Lockheed Martin, Oracle, SAIC"
SOCOM,30,9,"Accenture Federal, CACI, Cisco, Deloitte, General Dynamics, Jacobs, Microsoft, Northrop Grumman, Palantir"
CENTCOM,29,8,"Amentum, CACI, Deloitte, General Dynamics, Jacobs, Microsoft, SAIC, ServiceNow"
SeaPort,29,6,"CACI, DXC Technology, Deloitte, Perspecta, SAIC, Vencore"
Zero Trust,25,9,"BAE Systems, Booz Allen Hamilton, Dell Technologies, General Dynamics, Leidos, Lockheed Martin, Microsoft, Okta, SAIC"
CYBERCOM,25,7,"Accenture Federal, Amazon Web Services, Deloitte, Palantir, Parsons, Perspecta, SAIC"
DTRA,24,6,"Deloitte, Engility, General Dynamics, Leidos, SAIC, VMware"
B-21,24,1,Northrop Grumman
ABMS,22,2,"General Dynamics, SAIC"
ECMA,21,7,"Accenture Federal, Amazon Web Services, Deloitte, Jacobs, Microsoft, Oracle, Perspecta"
VC-25B,18,1,Boeing
OASIS,18,6,"Amazon Web Services, CACI, Deloitte, General Dynamics, Leidos, SAIC"
SPACECOM,16,6,"General Dynamics, IBM Federal, Jacobs, Palantir, Perspecta, SAIC"
SOUTHCOM,16,7,"CACI, Dell Technologies, General Dynamics, Jacobs, ManTech, Microsoft, Perspecta"
STRATCOM,12,4,"Dell Technologies, General Dynamics, Leidos, Oracle"
INDOPACOM,10,1,Deloitte
JLTV,9,1,SAIC
JADC2,9,2,"L3Harris, SAIC"
EIS,7,2,"General Dynamics, Microsoft"
CMMC,6,0,
MQ-25,5,1,Boeing
E-7,5,1,Boeing
V-22,4,1,Microsoft
ECMO,4,2,"Deloitte, Perspecta"
GBSD,3,1,BAE Systems
NGAD,3,1,Lockheed Martin
EAGLE,2,6,"CACI, CSRA, General Dynamics, Leidos, Raytheon, SAIC"
SEWP,2,2,"General Dynamics, Microsoft"
CH-53K,2,1,Lockheed Martin
Orion,1,1,Lockheed Martin
EUCOM,1,0,
AFRICOM,1,0,
CIO-SP3,1,1,Perspecta
