program_name,prime_contractor,mention_count,tech_keywords,expertise_area
The extension will have a new contract number as it will be a new,Unknown,10,,General IT Services
USCG,Unknown,10,,General IT Services
The program is in a bad spot in terms of funding and they are reaching out to all subs on the,Unknown,10,,General IT Services
JLTV,Unknown,9,,General IT Services
DCRIOS,Unknown,9,,General IT Services
DEE-,Unknown,9,,General IT Services
Arcyber,Unknown,8,,Cybersecurity
ISEE,Unknown,8,,General IT Services
NAVI4,Unknown,8,,General IT Services
DHS programs,Unknown,8,,General IT Services
MISS,Unknown,8,,General IT Services
Engineering and,Unknown,8,,Systems Engineering
News letters will start being sent out to contractors and partners that will include,Unknown,8,,General IT Services
Army Digital Transformation,Unknown,8,,General IT Services
Army for the Unified Network,Unknown,8,,Network/Infrastructure
up call for us to learn more about how he supports the,Unknown,8,,Operations Support
EHRM,Unknown,7,,General IT Services
FIAR,Unknown,7,,General IT Services
IAC MAC,Unknown,7,,General IT Services
DOMINO,Tony Cucciardo,7,,General IT Services
VANGUARD,Unknown,7,,General IT Services
DASTO,Unknown,7,,General IT Services
IDIQ,Unknown,6,,General IT Services
NARSIL,Unknown,6,,General IT Services
enterprise,Unknown,6,,General IT Services
IBCS,Unknown,6,,General IT Services
logistics,Unknown,6,,General IT Services
GDIT,Unknown,6,,General IT Services
maintenance,Unknown,6,,AI/ML & Analytics
Modernization,Unknown,6,,General IT Services
CACI,Unknown,6,,General IT Services
CAIC,Unknown,6,,AI/ML & Analytics
HWIL,Unknown,6,,General IT Services
VMOD,Unknown,6,,General IT Services
NGEN,Unknown,6,,General IT Services
All contractors will now most likely be at risk until the I2TS4,Unknown,6,,General IT Services
GDIT has made us aware that the I2TS4 contract is an SCA,Unknown,6,,General IT Services
CAOS,Unknown,6,,General IT Services
FEDSIM,Unknown,6,,General IT Services
VA MARMC,Unknown,6,,General IT Services
FORSCOM IA,Unknown,6,,General IT Services
SOSI,Unknown,6,,General IT Services
There is an INSCOM newsletter going out this week to all contractors with,Unknown,6,,General IT Services
Army apps to the cloud,Unknown,6,,Cloud Services
army program in the next,Unknown,6,,General IT Services
SENSE,Melissa Diaz,6,,General IT Services
MQ-25,Unknown,5,,General IT Services
They Support Multiple,Unknown,5,,Operations Support
CITS,Unknown,5,,General IT Services
ADVANA,Unknown,5,,General IT Services
RITS,Unknown,5,,General IT Services
IRES,Unknown,5,,General IT Services
supporting,Unknown,5,,Operations Support
GDIT is performing certification audits for contractors to make sure every,Unknown,5,,General IT Services
DOD operations exp,Unknown,5,,Operations Support
BATDOK,Unknown,5,,General IT Services
This will effect a handful of our current contractors and we will need to confirm the,Unknown,5,,General IT Services
Liam to make sure our current contractors are moved under the new DD254 in ACCS to avoid having the,Unknown,5,,General IT Services
ITES-3S,Unknown,5,,General IT Services
s out to subs with new PO lines for contractors supporting the new I2TS4,Unknown,5,,Operations Support
infrastructure,Unknown,5,,Network/Infrastructure
cyber,Unknown,5,,Cybersecurity
SMORS,Unknown,5,,General IT Services
OUSD,Unknown,5,,General IT Services
ECMO,Unknown,5,,General IT Services
HIRT,Unknown,5,,General IT Services
NICS,Unknown,5,,General IT Services
DOD Programs and Similar Integration,Unknown,4,,Systems Engineering
Another Program they will need support is Airdominance,Unknown,4,,AI/ML & Analytics
DHS contract,Unknown,4,,General IT Services
DMAC,Unknown,4,,General IT Services
GSCCE,Unknown,4,,General IT Services
PTES,Unknown,4,,General IT Services
DISA Global Boundary,Unknown,4,,General IT Services
Robert is over DTRA and his two main,Unknown,4,,AI/ML & Analytics
Network Admin All IPTA a handful of,Unknown,4,,Network/Infrastructure
APEX,Unknown,4,,General IT Services
ALIS,Unknown,4,,General IT Services
SWDC,Unknown,4,,General IT Services
They are working on pinpointing a new contract vehicle for all their work as the STS,Jacobs,4,,General IT Services
ACES,Unknown,4,,General IT Services
They are still in the infancy stage of the program with minimal funding released so far for the,Unknown,4,,General IT Services
NHSM,Unknown,4,,General IT Services
ITEMSS,Lockheed Martin,4,,General IT Services
Alliant 2,Unknown,4,,General IT Services
Network,Unknown,4,,Network/Infrastructure
WARHAWK,Unknown,4,,General IT Services
ve done with MCEN since stepping in to support the,Unknown,4,,Operations Support
SWIB,Unknown,4,,General IT Services
USDA,Unknown,4,,General IT Services
GDIT is still running through cert and resumes for contractors with 3 of our,Unknown,4,,General IT Services
The GETS program is apart of TO3 and is still a CACI,Unknown,4,,General IT Services
ALTESS,Unknown,4,,General IT Services
MOSSAIC,Unknown,4,,AI/ML & Analytics
These positions are on the Sentinel,Unknown,4,,General IT Services
Contract ends September 30th where it will then be under Agile Defense as the SIMONS,Unknown,4,,Software Development
SIMONS,Unknown,4,,General IT Services
OBIM,Unknown,4,,General IT Services
Air Force programs in general are,Unknown,4,,AI/ML & Analytics
they have subcontractors on their,Unknown,4,,General IT Services
BOSS,Unknown,4,,General IT Services
SETA,Unknown,4,,General IT Services
Ground Task Force Training Systems Support,Unknown,4,,AI/ML & Analytics
but the contract award came in 2019 for a 245 million multiple award,Unknown,4,,General IT Services
as they operate the service line operations of the,Unknown,4,,Operations Support
Brian has been with SAIC since 2019 and provides financial support to multiple,Unknown,4,,AI/ML & Analytics
MITS,Unknown,4,,General IT Services
VA to begin supporting the,Unknown,4,,Operations Support
TADS,Unknown,4,,General IT Services
t matter what program but similar,Unknown,4,,General IT Services
Harry is from MacDill and previously support SAP,Unknown,4,,Operations Support
NAVAIR,Unknown,4,,AI/ML & Analytics
This change will require training for certain sites and,Unknown,4,,AI/ML & Analytics
of the INSCOM program and due to having this amount of the,Unknown,4,,General IT Services
Ryan is setting up Center of Exellences on the program so that,Unknown,4,,General IT Services
Ryan will work with us on getting to all the sites to meet managers and,Unknown,4,,General IT Services
FENS,Unknown,4,,General IT Services
The funding issues still remain for 5 sites due to incremental funding of the program and the,Unknown,4,,AI/ML & Analytics
Anthony and Manny work in a cross functional role where the support multiple,Unknown,4,,Operations Support
Air Force programs at Scott AFB,Unknown,4,,AI/ML & Analytics
Steve is the Program Director and Bobby is now the Deputy Program Director over the Air Force,Unknown,4,,AI/ML & Analytics
Mike and Kemoy Taylor to go over contracting onboarding and a couple updates on current,Unknown,4,,General IT Services
Sherisse was curious about how we support the MAINES,Unknown,4,,AI/ML & Analytics
No real updates as of right now for the program besides working through conversions with the 10,Unknown,4,,General IT Services
Air Force contract,Unknown,4,,AI/ML & Analytics
GECOS,Unknown,4,,General IT Services
Task orders have already started but their is the potential more,Unknown,4,,General IT Services
s will not be scheduled until the contractors CAC is revoked which typically comes on the,Unknown,4,,General IT Services
They prefer to go the contract house route as it is easier for them to onboard,Unknown,4,,General IT Services
NGA CAIC,Unknown,4,,AI/ML & Analytics
FBI to support them,Unknown,4,,Operations Support
they support a large,Unknown,4,,Operations Support
s been open for over a year supporting the Raytheon RNAV legacy,Unknown,4,,Operations Support
Initially the req was for CA or MD sites but she said the,Unknown,4,,AI/ML & Analytics
VA and supports the FAA,Unknown,4,,Operations Support
MEGA,Unknown,4,,General IT Services
ATIS,Unknown,4,,General IT Services
DHS FEMA,Unknown,4,,General IT Services
Enterprise Engineering,Unknown,4,,Systems Engineering
BICESX,Unknown,4,,General IT Services
They filled the Network Admin in Coronado and are putting the asset manager positions on hold until,Unknown,4,,Network/Infrastructure
they have over 450 people supporting the Space Company specifically the PLSS,Unknown,4,,Operations Support
PLSS,Unknown,4,,General IT Services
Starting next week he is going to move over to the NGC2 and 10 billion dollar enterprise,Unknown,3,,General IT Services
DARC,Unknown,3,,General IT Services
ve been getting smoked on this contract with no clear opportunities on the,Unknown,3,,General IT Services
DoD Triple Crown II program,Unknown,3,,General IT Services
Air Force Network,Unknown,3,,AI/ML & Analytics
FAACE,Unknown,3,,General IT Services
not looking for insights like I was when I first started supporting the,Unknown,3,,Operations Support
Not aware of any other Logistics needs around the,Unknown,3,,General IT Services
GBSD,Unknown,3,,General IT Services
USCIS,Unknown,3,,General IT Services
Army programs,Unknown,3,,General IT Services
Sustainment,Unknown,3,,AI/ML & Analytics
Army Cyber Command,Unknown,3,,Cybersecurity
AFNCR,Unknown,3,,General IT Services
AESD,Unknown,3,,General IT Services
EDIS,Unknown,3,,General IT Services
IMDC2,Unknown,3,,General IT Services
METS,Unknown,3,,General IT Services
CISA,Unknown,3,,General IT Services
connecting us with network team to dive into the Cisco 88XX,Unknown,3,,Network/Infrastructure
IVAS,Unknown,3,,General IT Services
SLCD,Unknown,3,,General IT Services
Meeting to discuss program and,Unknown,3,,General IT Services
They said the program is experiencing some changes and is operation on bridge,Unknown,3,,AI/ML & Analytics
We discussed how they will continue to have contractors do the duration of 6 month,Unknown,3,,General IT Services
XM30,Unknown,3,,General IT Services
Air Force Cloud One experience with,Unknown,3,,Cloud Services
Right now the program is fully staffed due to the ramp up of the initial start of the new,Unknown,3,,General IT Services
DTIC,Unknown,3,,General IT Services
Army contract,Unknown,3,,General IT Services
ECIF,Unknown,3,,General IT Services
Army Azure Infrastructure engineers in,Unknown,3,,Cloud Services
ARMY cloud missions,Unknown,3,,Cloud Services
REMOTE,Unknown,3,,General IT Services
DOD network,Unknown,3,,Network/Infrastructure
VA program,Unknown,3,,General IT Services
They will be supporting these,Unknown,2,,Operations Support
Ben introduced an idea of having Traveling Engineers that we can supply to help support the,Unknown,2,,Operations Support
15 program is going to be his biggest,Unknown,2,,General IT Services
50 Contractors with half of them being,Unknown,2,,General IT Services
Waiting on IDIQ,Unknown,2,,AI/ML & Analytics
All staffing is done internally by LMCO and the have no contractors on the,Unknown,2,,General IT Services
She supports several if not all LMCO,Unknown,2,,Operations Support
LMCO,Unknown,2,,General IT Services
Currently have 18 people on the program but theres a total of 30 subs on the,Unknown,2,,General IT Services
Colton is currently supporting the Pacific,Unknown,2,,Operations Support
Working on getting a single contract together over the entire Systems Engineering,Unknown,2,,Network/Infrastructure
FOCUS,Unknown,2,,General IT Services
Army Cyber is in Fortitude,Unknown,2,,Cybersecurity
Supporting Raytheon,Unknown,2,,Operations Support
he supports several Hii,Unknown,2,,Operations Support
and we do move them from program to,Lockheed Martin,2,,General IT Services
HEAT,Unknown,2,,General IT Services
s onboarding us to support BDS and their,Unknown,2,,Operations Support
He supports a large portfolio of work supporting several,Unknown,2,,Operations Support
SIGINT,Unknown,2,,General IT Services
supporting several,Unknown,2,,Operations Support
The Lead Systems Engineer position supporting the GSCCE,Unknown,2,,Network/Infrastructure
and also supports other,Unknown,2,,Operations Support
some supporting legacy,Unknown,2,,Operations Support
ROTC,Unknown,2,,General IT Services
OCONUS,Unknown,2,,General IT Services
ve moved folks around from programs to supports other,Unknown,2,,Operations Support
Program Manager to both,Unknown,2,,General IT Services
GCOS,Unknown,2,,General IT Services
consolidating the contract into one and layering other stuff on top of this,Unknown,2,,General IT Services
25 contractors for,Unknown,2,,General IT Services
re looking at combining programs or adding programs to,Unknown,2,,General IT Services
COBOL,Unknown,2,,General IT Services
army but also supports the,Unknown,2,,Operations Support
MK 54,Unknown,2,,General IT Services
On a different program now but would not share with me what,Unknown,2,,General IT Services
Fadi is an Engineering PM for Test Equipment on the Tomahawk,Unknown,2,,Systems Engineering
s own program manager and then the program manager obviously runs those,Unknown,2,,General IT Services
ADCS-5,Unknown,2,,General IT Services
ADCS-4,Unknown,2,,General IT Services
FBI programs,Unknown,2,,General IT Services
NAREW,Unknown,2,,General IT Services
and working on a proposal right now for a field engineering,Unknown,2,,Systems Engineering
DHS contract that he supports,Unknown,2,,Operations Support
DHS PM,Unknown,2,,General IT Services
Air Force disabled veteran,Unknown,2,,AI/ML & Analytics
It is a logistics,Unknown,2,,General IT Services
EITSS,Unknown,2,,General IT Services
SWFTS,Unknown,2,,General IT Services
PTS is not providing a widget or going after contracts as prime,Unknown,2,,General IT Services
233M,Unknown,2,,General IT Services
PAC-3,Unknown,2,,General IT Services
VH-92,Unknown,2,,General IT Services
NGG program is going through staffing reductions as a result of change to,Unknown,2,,General IT Services
P337,Unknown,2,,General IT Services
Follow up with Schmidt on active contracts that work for her,Unknown,2,,General IT Services
CUAS,Unknown,2,,General IT Services
SW and SE across display systems for AEGIS and CUAS,Unknown,2,,Network/Infrastructure
DSCM,Unknown,2,,General IT Services
Aegis guam is the current,Unknown,2,,General IT Services
COSS,Unknown,2,,General IT Services
DCSB,Unknown,2,,General IT Services
cia about current contractors and,Jevencia Barkwell,2,,General IT Services
Sys Admin III becoming available but is waiting to see if the current contractor is leaving the,Unknown,2,,AI/ML & Analytics
The cost workbook provides details regarding funding for contractors along with other,Unknown,2,,AI/ML & Analytics
on contracts after the PoP has ended which would allow him to convert our,Unknown,2,,General IT Services
Explained to Richard that the last account manager that supported the,Unknown,2,,AI/ML & Analytics
He asked if we can have another meeting to include the other subcontracts manager for the,Unknown,2,,General IT Services
s the Cloud Test Architect Supervisor for the,Unknown,2,,Cloud Services
The program started their 7th year of the,Unknown,2,,General IT Services
NEST program overseeing all Service Delivery Operations for the,Melodey Lawson,2,,Operations Support
NMCI,Unknown,2,,General IT Services
he let me know that AEGIS is on year 4 of a 10 year,Unknown,2,,General IT Services
s the Enterprise Operations Systems Manager for the,Unknown,2,,Network/Infrastructure
his team manages the integration between the different tool sets that the,Unknown,2,,Systems Engineering
SSEE,Unknown,2,,General IT Services
When that opens up and they make the decisions on what cloud,Unknown,2,,Cloud Services
Contract supporting the DOJ with all things computer system and computer,Unknown,2,,Operations Support
Follow up with Tyler Munn on subcontracts to make sure we are good to operate on,Unknown,2,,General IT Services
PM over CENTCOM,Unknown,2,,General IT Services
Will figure it out after 20 years supporting the,Unknown,2,,Operations Support
New requirements on the program to have DT for all,Unknown,2,,General IT Services
25 million plus on the SDA contract due to our,Unknown,2,,General IT Services
They just been granted at least a 6 month extension on the contract to keep our,Unknown,2,,General IT Services
Within that timeframe they are looking to position themselves to transfer the program to another,Unknown,2,,General IT Services
Met with Michelle to discuss the state of the program with CDETIII and,Unknown,2,,General IT Services
s been some lost task orders but it is still one of the biggest,Unknown,2,,General IT Services
He used to support the,Unknown,2,,Operations Support
s CAC activated to allow him to go through his INDOC next Monday and start supporting the,Unknown,2,,Operations Support
Army for the support he,Unknown,2,,Operations Support
t sure how many sub to Deloitte ratio on the contract since he literally just started on the,Unknown,2,,General IT Services
up with Carrie to discuss the status of our 3 contractors supporting the,Unknown,2,,Operations Support
leading them to releasing over 50 contractors on that part of the,Unknown,2,,General IT Services
They are working to sunset the program with additional work incoming on a new,Jacobs,2,,General IT Services
The expectation over the coming weeks is to ramp back up to hiring new folks to support the,Unknown,2,,Operations Support
related with cyber engineers and defensive cyber as the primarily role of Deloitte on the,Unknown,2,,Cybersecurity
SCIN,Unknown,2,,General IT Services
t have a contractor overseeing another,Unknown,2,,General IT Services
I program and how they have over 1000 people on the,Unknown,2,,General IT Services
Been busy and said she cant support any subs as of now on her SQQ89,Unknown,2,,AI/ML & Analytics
ARC-I,Unknown,2,,General IT Services
SQQ89,Unknown,2,,General IT Services
He also has someone on the team applying for a cyber position within the,Unknown,2,,Cybersecurity
DCSA,Unknown,2,,General IT Services
Java person that supported a different DCSA,Unknown,2,,Operations Support
va person that supported a,Unknown,2,,Operations Support
OSL Mission Assurance Support,Unknown,2,,Operations Support
She mentions that are starting to have issues backfilling Network Engineers due to the,Unknown,2,,Network/Infrastructure
SCITLS is broken down on 9 task orders this would be,Unknown,2,,General IT Services
Navy supported Navy Pier Chicago,Unknown,2,,Operations Support
GB300,Unknown,2,,General IT Services
Currently no other openings on the program as they are downsizing the,Unknown,2,,General IT Services
He is the program director over multiple DOC,Unknown,2,,General IT Services
GDIT-,Unknown,2,,General IT Services
Contract Labor Management Specialist for multiple,Unknown,2,,General IT Services
support end maintenance,Unknown,2,,AI/ML & Analytics
NHSN,Unknown,2,,General IT Services
KC-135,Unknown,2,,General IT Services
EMAPS,Unknown,2,,General IT Services
WICRD,Unknown,2,,General IT Services
AIMSS,Unknown,2,,AI/ML & Analytics
449M,Unknown,2,,General IT Services
VA EHRM,Unknown,2,,General IT Services
260 contractors on the,Unknown,2,,General IT Services
EAMM,Unknown,2,,General IT Services
s within the contract and management of the,Unknown,2,,General IT Services
nga IDIQ,Unknown,2,,General IT Services
CAMMO,Unknown,2,,General IT Services
ABMS,Unknown,2,,General IT Services
Current stop work is on all modernization aspects of the,Unknown,2,,General IT Services
He let me know that they won a contract called coconuts which is a large enterprise IT,Unknown,2,,General IT Services
They have 1 task order the are responding to on but it does not have a delivery portion of the,Unknown,2,,General IT Services
Asked again about being brought on to the Army Enterprise,Conner Loving  Microsoft Federal,2,,AI/ML & Analytics
Army Enterprise contract that Microsoft,Conner Loving  Microsoft Federal,2,,General IT Services
NET D365 CRM Developers to support their Navy,Unknown,2,,Operations Support
Navy contract at Camp Lejune,Unknown,2,,General IT Services
t aware of any issues with any of our current contractors on the,Unknown,2,,General IT Services
Navy ERP program,Unknown,2,,General IT Services
nga contract,Unknown,2,,General IT Services
DCPDS,Unknown,2,,General IT Services
HEITS,Unknown,2,,General IT Services
RAVEN,Unknown,2,,General IT Services
200 contractors on the,Unknown,2,,General IT Services
975 million dollar program that NGC is a prime on the,Unknown,2,,General IT Services
CDET,Unknown,2,,General IT Services
The role is a glorified HelpDesk role to support the,Unknown,2,,Operations Support
NAVY ISD,Unknown,2,,General IT Services
VA 100,Unknown,2,,General IT Services
VA Enterprise Help Desk would,Unknown,2,,General IT Services
22 current Task orders on the,Unknown,2,,General IT Services
Said LM  is on an external hiring freeze but will be looking to add on new contract labor for two,Unknown,2,,AI/ML & Analytics
ATC contract is one of the prime,Unknown,2,,General IT Services
Cyber based,Unknown,2,,Cybersecurity
Army Global Unified Network,Unknown,2,,Network/Infrastructure
VA and in sentinel,Unknown,2,,General IT Services
contractors that they,Unknown,2,,General IT Services
They are restructuring the contract end of january to 5,George Sewell,2,,General IT Services
DISC - IAC MAC Task Order,Unknown,2,,General IT Services
Call with Tom and Melissa to discuss laptops for current engineering,Unknown,2,,Systems Engineering
Both the contractors have not been supporting the,Unknown,2,,Operations Support
Belvoir being a slower site to onboard contractors as this site requires the,Unknown,2,,General IT Services
Was able to have a meet and greet with all PTS contractors on the,Unknown,2,,General IT Services
Integration,Unknown,2,,Systems Engineering
Army programs we currently work,Unknown,2,,General IT Services
Upcoming contract mod will likely include some LCAT changes that will effect our current,Unknown,2,,General IT Services
Army Program,Unknown,2,,General IT Services
CSTA,Unknown,2,,General IT Services
GRIZZLY,Unknown,2,,General IT Services
GBOSS,Unknown,2,,General IT Services
FORGE,Unknown,2,,General IT Services
ECIOSS,Unknown,2,,General IT Services
SAOC,Unknown,2,,General IT Services
Navy ERP Transformation,Unknown,2,,General IT Services
s other areas we can support Deloitte for,Unknown,2,,Operations Support
Operations,Unknown,2,,Operations Support
NGLD,Unknown,2,,General IT Services
DMDC,Unknown,2,,General IT Services
She is specifically focused with Rob on the support of the Lone Wolf,Unknown,2,,Operations Support
but she is leaving in the next two weeks to support AMD on a different SAIC,Unknown,2,,AI/ML & Analytics
NGA enterprise,Unknown,2,,General IT Services
CH-53K,Unknown,2,,General IT Services
AVDS,Unknown,2,,General IT Services
He said the last two subcontractors on the,Unknown,2,,AI/ML & Analytics
negotiating his contract so he may be leaving the,Unknown,2,,General IT Services
He said to reach out to Steven Kryer as he is the Program Manager for the entire,Unknown,2,,AI/ML & Analytics
I told him that due to us having 34 or so contractors on the,Unknown,2,,General IT Services
Told her we have current contractors on the,Unknown,2,,General IT Services
SSDS,Unknown,2,,General IT Services
We discussed the new OASIS OUSD,Unknown,2,,General IT Services
meeting to introduce the new Program Manager for the,Unknown,2,,General IT Services
contractors and was a,Unknown,2,,General IT Services
He is a program manager but he is not tied to any specific,Unknown,2,,General IT Services
Jason informed me he will no longer be supporting the BMC3,Unknown,2,,Operations Support
BMC3,Unknown,2,,General IT Services
She fills in for Program Managers when they are OOO on a need basis and oversees each army,Unknown,2,,General IT Services
army programs with their remote,Unknown,2,,General IT Services
army program in the funding,Unknown,2,,General IT Services
DCIP,Unknown,2,,General IT Services
but is still looking to land on a contract,Unknown,2,,General IT Services
contract,Unknown,2,,General IT Services
He is a Program Manager on the ITDM,Unknown,2,,General IT Services
ITDM,Unknown,2,,General IT Services
JSIL operations may fall under the HWIL,Unknown,2,,Operations Support
Kevin Smith would be the best POC as he is the program manager over the,Unknown,2,,General IT Services
Technician contracts are 1 year,Unknown,2,,General IT Services
1 SOW,Unknown,2,,General IT Services
They were doing a large scale transformation that required these,Unknown,2,,General IT Services
s contractors before the end of the year and also not being able to hire,Unknown,2,,General IT Services
NITE,Unknown,2,,General IT Services
systems and Cyber positions expected as,Unknown,2,,Cybersecurity
May need to just start people to fulfill contractual requirements on the FFP,Unknown,2,,General IT Services
She works out of the lab supporting all service and help desk needs for the,Unknown,2,,Operations Support
Discussed through any additional support requirements the,Unknown,2,,Operations Support
Andrew was just promoted into Director of Operations for the,Unknown,2,,Operations Support
Steve leads the engineering requirements on the,Unknown,2,,Systems Engineering
Intro call with Sean to discuss Avaya UC support for,Unknown,2,,Operations Support
the CSS team and support engineering managers are the ones that use,Unknown,2,,Operations Support
USARC,Unknown,2,,General IT Services
AFMS,Unknown,2,,General IT Services
Small 14 person program that falls on the AFMS,Unknown,2,,General IT Services
HHS Next Gen IT contract,Unknown,2,,General IT Services
Small Arms Contract and Expeditionary EW,Unknown,2,,General IT Services
IPPS-A,Unknown,2,,General IT Services
Andrew is no longer on the HWIL program but has joined the DIAMNDSS as the,Unknown,2,,General IT Services
DIAMNDSS,Unknown,2,,General IT Services
SLDC,Unknown,2,,General IT Services
he has 360 active contracts under him and 75,Unknown,2,,General IT Services
GATES,Unknown,2,,General IT Services
DoD Service desk programs such,Unknown,2,,General IT Services
Met with Wendy to discuss the AESD and AESMP programs to get some clarification on,Unknown,2,,General IT Services
AESMP,Unknown,2,,General IT Services
NIXIE,Unknown,2,,General IT Services
10 Air EW Support,Unknown,2,,AI/ML & Analytics
F30-10 Air EW Support Contract,Unknown,2,,AI/ML & Analytics
CACOC,Unknown,2,,General IT Services
lead logistics counter UAS,Unknown,2,,General IT Services
Heavy funding goes into his cloud capabilities portion of the,Unknown,2,,Cloud Services
said contracting officer for DCSA is not approving DD254s for,Unknown,2,,AI/ML & Analytics
most all of ther subcontractors on the,Unknown,2,,General IT Services
he oversees SDA mentor protege program and oversees joint venture,Unknown,2,,General IT Services
SESS,Unknown,2,,General IT Services
Army Acquisition Services Contract,Unknown,2,,General IT Services
he is now doing material acquisition program for SCIFS so not a manpower,Unknown,2,,General IT Services
just lost recompete on their Logistics,Unknown,2,,General IT Services
He is a task order lead for a couple,Unknown,2,,General IT Services
300 people on the contract and he manages other,Unknown,2,,General IT Services
JFH2,Unknown,2,,General IT Services
CCSS2,Unknown,2,,General IT Services
70 people and this will be the only subcontractor on,Unknown,2,,General IT Services
program falls on the OASIS,Unknown,2,,General IT Services
and then also a Logistics backfill spot and a Telecommunication engineer opening on the same,Unknown,2,,General IT Services
TICSI,Unknown,2,,General IT Services
s cloud,Unknown,2,,Cloud Services
Army RS3 Contract Office and,Unknown,2,,General IT Services
Insight Gobal has a DP agreement and a subcontract abnd do both direct hires and,Unknown,2,,General IT Services
They are only going to use 16 of the 34 IDIQ LCATS for this,Unknown,2,,General IT Services
Task Order 1 is moving to the decommissioning phase of all systems to prepare for the future,Unknown,2,,Network/Infrastructure
My folks at the wireless sites that are still on the new,Unknown,2,,General IT Services
Still no new open to alls on Task Order 1 and,Unknown,2,,General IT Services
He has companies reaching out that they will not support the,Unknown,2,,Operations Support
He is going to be the PM for MES when it is awarded so he will now have 2 task orders on the,Unknown,2,,General IT Services
SCITES recently absorbed the SOSI,Unknown,2,,General IT Services
There are multiple sites this,Curtis  Price,2,,General IT Services
Paula is currently working through the clearance issue with Sean but he could not support this,Unknown,2,,Operations Support
Ty mentioned some of the activites on the,Unknown,2,,General IT Services
HHS Program Support Center Contract,Unknown,2,,Operations Support
Support Center,Unknown,2,,Operations Support
About 30 people supporting the,Unknown,2,,Operations Support
Ty is the program manager who oversees the HHS Program Support Center Contract that has a sister,Unknown,2,,Operations Support
Thorsten supports the MAINES,Unknown,2,,AI/ML & Analytics
310 employees supporting the,Unknown,2,,Operations Support
disadvantage requirements on the,Unknown,2,,General IT Services
He currently supports the FTI,Unknown,2,,Operations Support
maintenance for the,Unknown,2,,AI/ML & Analytics
L3Harris has had this contract for 21 years now and the FENS,Unknown,2,,General IT Services
He is program specific and only works with the FTI,Unknown,2,,General IT Services
t support a specific program but works in cross functional setting across multiple,Unknown,2,,Operations Support
He works in more of program specific role within L3Harris as he supports the MOSIAC,Unknown,2,,Operations Support
MOSIAC,Unknown,2,,General IT Services
