program,piid,recipient,amount,description,agency,start_date,end_date
DIA,W58P0521C0002,PFIZER INC,4150835100.0,COVID-19 VACCINES FOR INTERNATIONAL DONATION,Agency for International Development,2021-07-30,2024-02-29
DIA,W911QY20C0119,ASTRAZENECA PHARMACEUTICALS LP,1107934203.08,SARS-COV-2 THERAPEUTIC AZD7442,Department of Defense,2020-09-30,2023-07-01
DIA,HHSO100200700034C,BAVARIAN NORDIC A/S,1010761647.0,ACQUISITION OF SMALLPOX MVA VACCINE FOR THE STRATEGIC NATIONAL STOCKPILE,Department of Health and Human Services,2007-06-04,2018-09-27
DIA,75A50119C00071,EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,804857151.46,"ACAM2000, SMALLPOX (VACCINIA) VACCINE, LIVE (ACAM)",Department of Health and Human Services,2019-08-30,2029-08-29
DIA,W58P0522C0011,SIEMENS HEALTHCARE DIAGNOSTICS INC.,595940000.0,0001 50M COVID-19 ANTIGEN TEST KITS,Department of Defense,2022-01-21,2022-06-25
DIA,W58P0522C0010,ROCHE DIAGNOSTICS CORPORATION,569500000.0,COVID-19 TEST KITS,Department of Defense,2022-01-13,2022-05-31
DIA,SPE2DS21F0101,ABBOTT RAPID DX NORTH AMERICA LLC,357000000.0,8508501022!BINAXNOWTEST KIT (EA),Department of Defense,2021-09-02,2022-01-31
DIA,W58RGZ16C0008,LOCKHEED MARTIN CORPORATION,356653858.49,"IGF::CL,CT::IGF CONTRACT W58RGZ-16-C-0008 IS HEREBY AWARDED AS AN UNDEFINITIZED CONTRACT FOR THE MODERNIZED TARGET ACQUISITION DESIGNATION SIGHT/PILOT NIGHT VISION SENSOR PERFORMANCE BASED LOGISTICS  ",Department of Defense,2016-01-01,2021-06-30
DIA,36C10G23K0035,FRESENIUS MEDICAL CARE HOLDINGS INC,350470804.56,EXPRESS REPORT: FY 23 NDSC,Department of Veterans Affairs,2022-10-01,2023-09-30
DIA,36C10G20K0074,DAVITA INC.,325344106.03,VA FSC EXPRESS REPORT FY20 COMBINED TOTALS,Department of Veterans Affairs,2019-10-01,2020-09-30
ITES,N0001917C0015,BELL BOEING JOINT PROJECT OFFICE,6568172820.67,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,Department of Defense,2016-12-28,2028-01-31
ITES,N0001922C0004,SIKORSKY AIRCRAFT CORPORATION,3422749298.96,CH-53K FRP LOT 7 LONG LEAD ITEMS,Department of Defense,2021-12-06,2027-12-31
ITES,N0001920C0047,SIKORSKY AIRCRAFT CORPORATION,2309393185.75,CH-53K LRIP LOT 5/6 LONG LEAD ITEMS,Department of Defense,2020-03-26,2027-08-31
ITES,W58RGZ14C0018,THE BOEING COMPANY,1491571063.47,ADVANCED PROCUREMENT FUNDING FOR LONG LEAD ITEMS,Department of Defense,2014-04-24,2023-07-15
ITES,W56HZV19F0116,GENERAL DYNAMICS LAND SYSTEMS INC.,696102140.57,AWARD DELIVERY ORDER W56HZV-19-F-0116 (0005) AGAINST THE ABRAMS REQUIREMENTS CONTRACT (ARC) TO PROCURE 174 ABRAMS VEHICLE UPGRADES TO THE LATEST M1A2 SYSTEM ENHANCEMENT PACKAGE VERSION 3 (SEPV3) CONFI,Department of Defense,2018-12-14,2022-04-22
ITES,NNG08HZ00C,LOCKHEED MARTIN CORPORATION,486224471.0,"TAS::80 0110::TAS GEOSTATIONARY LIGHTNING MAPPER (GLM) INSTRUMENT THE FOR GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES (GOES) R.  THE CONTRACTOR SHALL PROVIDE THE PERSONNEL, MATERIALS, FACILITIE",National Aeronautics and Space Administration,2007-12-13,2039-06-25
ITES,N0001911C0023,BELL TEXTRON INC,474464373.43,LOT 9 UH-1Y AND AH-1Z AAC CONTRACT FOR  LONG-LEAD ITEMS.,Department of Defense,2011-03-14,2016-04-30
ITES,W31P4Q15C0102,LOCKHEED MARTIN CORPORATION,456076316.5,IGF::OT::IGF  THIS REQUIREMENT IS FOR FULL AND OPEN COMPETITION FOR THE JOINT AIR-TO-GROUND MISSILE (JAGM) IN SUPPORT OF THE JAGM PRODUCT OFFICE OF THE JOINT ATTACK MUNITION SYSTEMS PROJECT OFFICE. JA,Department of Defense,2015-07-31,2023-11-21
ITES,0002,BAE SYSTEMS LAND & ARMAMENTS L.P.,361387763.0,BRADLEY ODS-SA LONG LEAD ITEMS,Department of Defense,2010-11-05,2014-10-30
ITES,0027,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",312443714.98,TO PROCURE CONFIGURATION ITEMS FOR THE WIN-T FULL RATE PRODUCTION.,Department of Defense,2012-09-28,2017-08-16
NGA,W912DQ19C7001,MCCARTHY HITT - NEXT NGA WEST JOINT VENTURE,767595245.98,N2W NGA FY18 DESIGN AND CONSTRUCTION (PHASE 1),Department of Defense,2019-03-19,2026-01-22
NGA,FA862623F0003,GENERAL ELECTRIC COMPANY,408498267.36,NEXT GENERATION ADAPTIVE PROPULSION (NGAP) PROTOTYPING,Department of Defense,2023-01-26,2028-01-11
NGA,FA862623F0004,RTX CORPORATION,373845353.65,PRATT & WHITNEY NGAP PROTOTYPING,Department of Defense,2023-01-26,2026-06-30
NGA,1305M219CNMAN0018,GULFSTREAM AEROSPACE CORPORATION,251531952.31,PROCUREMENT OF G550 AIRCRAFT FOR NOAA AOC,Department of Commerce,2019-07-16,2028-04-10
NGA,70Z02326C93100001,GULFSTREAM AEROSPACE CORPORATION,183376457.22,PURCHASE OF TWO (2) FIXED-WING AIRCRAFT.,Department of Homeland Security,2025-10-17,2026-12-31
NGA,FA813420F3100,GULFSTREAM AEROSPACE CORPORATION,127565560.0,C-37B FLEET EXPANSION,Department of Defense,2020-01-30,2023-01-31
NGA,N0001916C0028,GULFSTREAM AEROSPACE CORPORATION,91970087.45,GULFSTREAM G550 AEW AIRCRAFT,Department of Defense,2016-03-18,2020-01-31
NGA,FA810611C0001,GULFSTREAM AEROSPACE CORPORATION,77513581.19,ENGINEERING SERVICES,Department of Defense,2011-01-01,2018-04-30
NGA,70Z02321FLRC00100,GULFSTREAM AEROSPACE CORPORATION,66688100.0,"GULFSTREAM SHALL MANUFACTURE AND PROVIDE THE G550 AIRCRAFT IN THE C-37B CONFIGURATION WITH ADDITIONAL SPECIFICTIONS, SYSTEM, INTERIOR FURNISHINGS, CAPABOLITIES, AND PROVISIONS.",Department of Homeland Security,2020-10-06,2022-12-29
NGA,FA813425F3003,GULFSTREAM AEROSPACE CORPORATION,49968292.52,C-20/C-37 CONTRACTOR LOGISTICS SUPPORT (CLS),Department of Defense,2025-02-01,2026-01-31
NSA,HQ072716C0001,GLOBALFOUNDRIES U.S. 2 LLC,816516427.74,TRUSTED FOUNDRY ACCESS 2 - AWARD OF BASE TRANSITION CONTRACT WITH DMEA.  CONTRACT TRANSFERRED FROM NSA.,Department of Defense,2016-04-01,2023-08-14
NSA,W52P1J22F0361,GLOBAL MILITARY PRODUCTS INC,232357100.0,SAWS RFP 004 155MM NSA REQUIREMENTS,Department of Defense,2022-08-17,2024-12-31
NSA,W52P1J22F0362,NORTHROP GRUMMAN SYSTEMS CORPORATION,130839000.0,SAWS RFP 004 REQUIREMENT FOR 155MM NSA,Department of Defense,2022-08-17,2024-12-31
NSA,DEHS0000088,GET-NSA,68844369.81,IGF::CT::IGF TAS::89 0243::TAS  PROVIDE SPECIALIZED TECHNICAL ANALYTICAL AND ADMINISTRATIVE SUPPORT SERVICES IN THE AREAS OF CLASSIFICATION AND DECLASSIFICATION POLICY GUIDANCE DEVELOPMENT TRAINING AN,Department of Energy,2013-07-18,2019-07-17
NSA,IND14PC00038,"CARELON BEHAVIORAL HEALTH, INC.",65615248.22,"IGF::OT::IGF MILITARY ONESOURCE 1-800 CALL CENTER, WEBSITE, NON-MEDICAL COUNSELING, AND OTHER EAP SERVICES",Department of the Interior,2014-02-01,2017-04-30
NSA,0194,"SIERRA NEVADA COMPANY, LLC",62741247.69,IGF::OT::IGF ACAT III BIG SAFARI NSAV CLS 16,Department of Defense,2015-12-30,2016-12-31
NSA,N4008516C3037,DANIEL J KEATING CO,60706733.23,"IGF::OT::IGF P1501, DLA TROOP SUPPORT HEADQUARTERS FACILITY, NSA PHILADELPHIA",Department of Defense,2016-09-26,2020-09-21
NSA,0096,"SIERRA NEVADA COMPANY, LLC",59207916.7,IGF::CT::IGF ACAT III BIG SAFARI; NSAV MEDIUM CLS,Department of Defense,2013-05-01,2014-09-30
NSA,HC102119FA008,ARTEL LLC,57015000.0,"GNAR000008EBM - START 10GB LEASE BETWEEN NSA, BAHRAIN TO CAMP LEMONIER, DJIBO-UTI",Department of Defense,2019-04-25,2026-12-20
NSA,0007,BOOZ ALLEN HAMILTON INC,56078712.4,IGF::CT::IGF TECHNICAL AREA TASK (TAT) PERFORMANCE WORK STATEMENT (PWS) HT 15-1158 NATIONAL SECURITY AGENCY (NSA) LABORATORY FOR PHYSICAL SCIENCES (LPS) RESEARCH INITIATIVE (R3/NSA),Department of Defense,2016-04-01,2021-09-07
DISA,75ACF121C00020,RAPID DEPLOYMENT INC,3516373311.63,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE THE FULL COMPLEMENT OF SERVICES NECESSARY TO CARE FOR UC IN ORR CUSTODY INCLUDING FACILITIES SET-UP, MAINTENANCE, AND SUPPORT INTERNAL AND PERIMETER (IF APPL",Department of Health and Human Services,2021-03-24,2025-09-30
DISA,36C10X26N0032,QTC MEDICAL SERVICES INC,754312385.78,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,Department of Veterans Affairs,2026-01-01,2026-12-31
DISA,36C10X26N0040,LOYAL SOURCE GOVERNMENT SERVICES LLC,754312385.78,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,Department of Veterans Affairs,2026-01-01,2026-12-31
DISA,36C10X26N0044,"OPTUMSERVE HEALTH SERVICES, INC.",714081758.33,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,Department of Veterans Affairs,2026-01-01,2026-12-31
DISA,36C10X26N0036,"VETERANS EVALUATION SERVICES, INC",566164541.23,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,Department of Veterans Affairs,2026-01-01,2026-12-31
DISA,36C10X22N0183,QTC MEDICAL SERVICES INC,436626628.03,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 2 (SOUTHEAST) - MODIFICATION TO EXERCISED OPTION ",Department of Veterans Affairs,2022-10-01,2023-09-30
DISA,0004,GENERAL DYNAMICS LAND SYSTEMS INC.,423074532.07,"UNDER THE PROPOSED CLASS OF CONTRACTS, THE ARMY WILL BE INSTALLING AND INTEGRATING SEPV3  TECHNOLOGIES (HARDWARE AND SOFTWARE) AND RECLAIMED/REFURBISHED ABRAMS LEGACY COMPONENTS, RESULTING IN THE NEWL",Department of Defense,2018-05-25,2021-06-30
DISA,19AQMM19F3103,"PHOENIX AIR GROUP, INC.",418325383.8,MULTI-MISSION AVIATION AND SUPPORT SERVICES,Department of State,2019-09-01,2026-02-28
DISA,36C10X26N0033,QTC MEDICAL SERVICES INC,392676748.18,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,Department of Veterans Affairs,2026-01-01,2026-12-31
DISA,36C10X26N0041,LOYAL SOURCE GOVERNMENT SERVICES LLC,392676748.18,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,Department of Veterans Affairs,2026-01-01,2026-12-31
NASA,NNM07AB03C,THE BOEING COMPANY,10386478680.0,"PROVIDE DEVELOPMENTAL HARDWARE AND TEST ARTICLES, AND MANUFACTURE AND ASSEMBLE ARES I UPPER STAGES. THE UPPER STAGE (US) ELEMENT IS AN INTEGRAL PART OF THE ARES I LAUNCH VEHICLE AND PROVIDES THE SECON",National Aeronautics and Space Administration,2007-09-01,2028-12-31
NASA,NNK17MA01T,SPACE EXPLORATION TECHNOLOGIES CORP.,3029850123.69,"IGF::OT::IGF THE COMMERCIAL CREW PROGRAM (CCP) COMMERCIAL CREW TRANSPORTATION CAPABILITY (CCTCAP) CONTRACT WILL PROVIDE COMPLETION OF THE DESIGN, DEVELOPMENT, TEST, EVALUATION, AND CERTIFICATION OF AN",National Aeronautics and Space Administration,2016-12-30,2030-12-31
NASA,80NM0018F0615,CALIFORNIA INSTITUTE OF TECHNOLOGY,2924898288.98,"EUROPA CLIPPER PROJECT  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NASA AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY-CONTRACTOR, A PRIVATE NONPROF",National Aeronautics and Space Administration,2018-10-01,2028-09-30
NASA,80KSC019C0013,"BECHTEL NATIONAL, INC.",1474889354.01,DESIGN AND CONSTRUCTION OF THE NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).,National Aeronautics and Space Administration,2019-07-01,2026-06-05
NASA,NNH15CN76C,NORTHROP GRUMMAN SYSTEMS CORPORATION,1471196233.03,IGF::OT::IGF NEXTSTEP NRA AWARD.  THIS NEXTSTEP CONTRACT BUILDS UPON THE SUCCESS OF COMMERCIAL ORBITAL TRANSPORTATION SERVICES SPACE ACT AGREEMENT DEVELOPMENT PROGRAM AND AN EXISTING INTERNATIONAL SPA,National Aeronautics and Space Administration,2015-09-03,2029-05-31
NASA,80GSFC19C0063,PERATON INC.,1430090663.78,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVID,National Aeronautics and Space Administration,2019-10-01,2026-03-31
NASA,NNN13D496T,CALIFORNIA INSTITUTE OF TECHNOLOGY,1403381590.45,IGF::CL::IGF 2020 MARS SCIENCE ROVER PROJECT - PHASE A THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOL,National Aeronautics and Space Administration,2013-07-24,2020-09-27
NASA,80NM0018F0850,CALIFORNIA INSTITUTE OF TECHNOLOGY,1358971507.34,"DEEP SPACE NETWORK (DSN)  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY (CONTRACTOR), A PRIVATE N",National Aeronautics and Space Administration,2018-10-01,2028-09-30
NASA,NNJ09HD46C,LEIDOS INC,1306805321.14,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FAC",National Aeronautics and Space Administration,2008-11-07,2018-02-28
NASA,80NM0018F0616,CALIFORNIA INSTITUTE OF TECHNOLOGY,1259720994.01,M2020 MARS SCIENCE ROVER PROJECT-PHASE A-D 60-19107  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NASA AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY-,National Aeronautics and Space Administration,2018-10-01,2028-09-24
DEOS,80JSC024CA002,SPACE EXPLORATION TECHNOLOGIES CORP.,425568844.14,"DESIGN, DEVELOP, MANUFACTURE, TEST, INTEGRATE, ACHIEVE NASA ACCEPTANCE, DELIVER, AND SUSTAIN ITS UNITED STATES DEORBIT VEHICLE (USDV) SUCH THAT THE USDV CAN PERFORM THE FINAL DEORBIT OF THE INTERNATIO",National Aeronautics and Space Administration,2024-06-26,2031-03-31
DEOS,47QFSA21F0068,DELL MARKETING L.P.,261608400.0,DEFENSE ENTERPRISE OFFICE SOLUTION (DEOS) USAF O365 E3 BUSINESS SUBSCRIPTION LICENSES,General Services Administration,2021-06-22,2022-12-21
DEOS,47QFSA22F0075,DELL MARKETING L.P.,145898813.92,USCG DEOS O365 SUBSCRIPTION LICENSES DELL,General Services Administration,2022-04-01,2025-03-31
DEOS,47QFSA21F0023,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",90923781.67,DEFENSE ENTERPRISE OFFICE SOLUTIONS (DEOS),General Services Administration,2021-03-05,2026-03-04
DEOS,47QFSA21F0053,DELL MARKETING L.P.,53373600.0,DEFENSE ENTERPRISE OFFICE SOLUTION (DEOS) USAF AADP2 SUBSCRIPTION LICENSES,General Services Administration,2021-06-01,2023-02-28
DEOS,47QFSA21F0078,DELL MARKETING L.P.,43551893.48,DHA DEOS SUBSCRIPTION LICENSES,General Services Administration,2021-06-01,2023-05-31
DEOS,36C10G20F0003,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",31340591.88,COMMUNITY CARE NETWORK (CCN) ADMINISTRATIVE MODIFICATION FOR DEOBLIGATION AND OBLIGATION OF FUNDS,Department of Veterans Affairs,2019-10-01,2020-09-30
DEOS,47QFSA23F0029,"MINBURN TECHNOLOGY GROUP, LLC",30731637.6,DISA DEOS IL6 SUBSCRIPTION LICENSES,General Services Administration,2023-04-01,2024-03-31
DEOS,HC104720F2100,BOOZ ALLEN HAMILTON INC,26127524.88,"THIS REQUIREMENT IS FOR CONTINUED ENGINEERING/TECHNICAL SUPPORT SERVICES TO DEOS.  SUPPORT ENCOMPASSES THE ENTIRETY OF THE DOD USER BASE, ACROSS BOTH NIPRNET, SIPRNET AND DDIL OPERATIONS INCLUDING ALL",Department of Defense,2020-06-07,2023-06-06
DEOS,47QFSA23F0020,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",21048583.89,DEOS DHA MED365 TENANT OPERATIONS AND MAINTENANCE,General Services Administration,2023-03-10,2026-03-09
Sentinel,W31P4Q19C0058,LOCKHEED MARTIN CORPORATION,684666325.34,CRUISE MISSILE DEFENSE SYSTEMS SENTINEL A4 RADAR DEVELOPMENT COMPETITIVE REQUIREMENT,Department of Defense,2019-09-25,2027-09-13
Sentinel,W31P4Q11C0301,RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,232034670.78,"ACQUISITION OF 56 SENTINEL RADARS, SPARES, AND FIELDING SUPPORT.",Department of Defense,2011-09-08,2017-06-30
Sentinel,0001,"THE MISSION ESSENTIAL GROUP, LLC",229463553.1,IGF::OT::IGF  FORCE PROJECTION MISSION AREA - LINGUIST SERVICES IN SUPPORT OF OPERATION FREEDOM SENTINEL,Department of Defense,2017-03-06,2019-04-27
Sentinel,W31P4Q19C0044,RAYTHEON COMPANY,171910488.0,THE PURPOSE OF THIS ACTION IS TO AWARD SERVICE IN SUPPORT OF SENTINEL LIFE CYCLE CONTRACTOR SUPPORT.,Department of Defense,2018-12-28,2024-06-30
Sentinel,15F06718F0006688,THE KEYW CORPORATION,163093890.77,ITSSS STOR 176 - SOTERA - O&M SERVICE LABOR ONLY.  THIS MANPOWER IS NEEDED TO MAINTAIN SENTINEL IT INFRASTRUCTURE IN A 24X7 ENTERPRISE WORKING ENVIRONMENT.,Department of Justice,2018-08-16,2023-08-15
Sentinel,W31P4Q19C0021,RAYTHEON COMPANY,122292490.7,ACQUISITION OF A PRODUCTION CONTRACT FOR A QUANTITY OF 199 SENTINEL A3 RADAR SIGNAL DATA PROCESSOR KITS AND INSTALLATION.,Department of Defense,2018-12-19,2025-12-31
Sentinel,75F40119F19001,HARVARD PILGRIM HEALTH CARE INC,114012033.12,SENTINEL INITIATIVE-OPERATIONS CENTER,Department of Health and Human Services,2019-09-28,2024-12-31
Sentinel,80NM0018F0655,CALIFORNIA INSTITUTE OF TECHNOLOGY,91741086.16,"SENTINEL-6 MISSION-PHASE C/D  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY (CONTRACTOR), A PRIVA",National Aeronautics and Space Administration,2018-10-01,2026-04-30
Sentinel,W31P4Q10C0348,RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,86599175.44,UCA AWARD FOR SENTINEL ENGINEERING SERVICES FOLLOW ON CONTRACT FY10-14,Department of Defense,2010-09-09,2017-05-31
Sentinel,W31P4Q24C0015,RAYTHEON COMPANY,86211520.37,LIFE CYCLE CONTRACTOR SUPPORT OF A3 SENTINEL RADARS.,Department of Defense,2023-12-29,2025-12-31
MDA,MDA90603C0010,HUMANA GOVERNMENT BUSINESS INC,23352182728.69,,Department of Defense,2003-08-27,2012-03-31
MDA,MDA90603C0011,"HEALTH NET FEDERAL SERVICES, LLC",16481316420.4,,Department of Defense,2003-09-09,2016-11-22
MDA,HQ014712C0004,THE BOEING COMPANY,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; ",Department of Defense,2011-12-30,2025-12-31
MDA,HQ079618F8003,"AMENTUM TECHNOLOGY, INC.",616989217.89,"IGF::OT::IGF  THIS TASK ORDER WILL PROVIDE THE MDA WITH ENTERPRISE (AGENCY-WIDE) IT CAPABILITIES 1) SUPPORTING BALLISTIC MISSILE DEFENSE SYSTEM (BMDS) RESEARCH, DEVELOPMENT, TEST, AND EVALUATION (RDT&",Department of Defense,2018-03-05,2024-03-08
MDA,8402,NORTHROP GRUMMAN SYSTEMS CORPORATION,579217436.05,"IGF::OT::IGF  MDA INFORMATION TECHNOLOGY (IT) SERVICES PROVIDES DESIGN, IMPLEMENTATION AND MAINTENANCE SERVICES FOR MDAS CLASSIFIED AND UNCLASSIFIED WORKSTATIONS AND NETWORK INFRASTRUCTURE.  IN ADDITI",Department of Defense,2014-06-30,2018-05-04
MDA,HQ085722F8003,"AMENTUM TECHNOLOGY, INC.",525641138.18,"DELIVER INFORMATION MANAGEMENT AND IT SERVICES TO MDA FOR UNCLASSIFIED AND CLASSIFIED NETWORKS. UTILIZING THE CUSTOMER-FOCUSED SERVICE MODEL, ITIL METHOD. PERFORM BREAK-FIX, MAINTENANCE AND CYBERSECUR",Department of Defense,2022-09-05,2025-09-01
MDA,0008,LOCKHEED MARTIN CORP,432991574.81,200510!500546!9700!HQ0006!MISSILE DEFENSE AGENCY          !HQ000604D0006  !A!N! !N!0008         !      !20050706!20051230!926784042!834951691!834951691!N!LOCKHEED MARTIN CORPORATION   !12257 STATE HIG,Department of Defense,2005-07-06,2014-09-30
MDA,47QFCA21C0024,FRONTIER TECHNOLOGY INC,262645030.18,"THIS IS A SBIR III CONTRACT IN SUPPORT OF THE DOD, STEMMING FROM PREVIOUS SBIR PHASE I & II TOPICS INCLUDING AF06-016, MDA09-021, N05-039, N07-010, A06-035 AND OSD07-CR4. PSC CODE AC62 ENDED PER PSC M",General Services Administration,2021-09-22,2026-09-21
MDA,HQ079618C0001,NETWORK MANAGEMENT RESOURCES INC.,235897599.63,"IGF::OT::IGF THE PURPOSE OF THIS CONTRACT IS TO PROVIDE THE MISSILE DEFENSE AGENCY (MDA) WITH GLOBAL CLASSIFIED AND UNCLASSIFIED VIDEO CONFERENCING SERVICES, COLLABORATION SERVICES, CUSTOMER FACING BU",Department of Defense,2018-03-21,2020-04-30
MDA,0002,LOCKHEED MARTIN CORPORATION,192106878.72,"THE CONTRACTOR SHALL PROVIDE OPERATIONS, MAINTENANCE AND SUSTAINMENT TO THE COMMAND AND CONTROL, BATTLE MANAGEMENT AND COMMUNICATIONS (C2BMC) SYSTEMS, TO MEET THE GOVERNMENT S BALLISTIC MISSILE DEFENS",Department of Defense,2012-01-01,2013-12-31
AEGIS,HQ027610C0001,LOCKHEED MARTIN CORPORATION,3096214936.03,AEGIS BMD INTERNATIONAL SUPPORT,Department of Defense,2009-10-01,2022-12-31
AEGIS,N0002498C5197,LOCKHEED MARTIN CORPORATION,1883315467.25,199807!1700!2312!BZ005!NAVAL SEA SYSTEMS COMMAND       !N0002498C5197  !A!*!*                  !19980414!19980930!834951691!834951691!834951691!N!02769!LOCKHEED MARTIN CORPORATION   !6801 ROCKLEDGE DR,Department of Defense,1998-04-14,2009-09-30
AEGIS,N0002413C5116,LOCKHEED MARTIN CORPORATION,1812639590.37,"AEGIS COMBAT SYSTEM ENGINEERING AGENT (CSEA) ADVANCED CAPABILITY BUILD 16 (ACB 16), TECHNOLOGY INSERTION 16 (TI 16), FUTURE ACB/TI, BASELINE MAINTENANCE, TRAINING, AND STUDIES",Department of Defense,2013-03-04,2025-03-31
