Job Title,Job Location,Matched Programs,Target Titles (Bullhorn),LinkedIn Search,Match Score
SUPPORT COUNSELOR,"Santa Cruz, California",GBS (Global Broadcast Service); Global Broadcast Service; Defense Health Agency Desktop to Datacenter,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Santa Cruz)",7
UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Meridianville)",4
AEROMECHANICAL ENGINEER,"Solana Beach, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Solana Beach)",7
CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (Leidos) AND (Wailuku)",4
SHIPFITTER,"Kings Bay, Georgia",Global Service Management – Operations II; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6
"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)","San Francisco, California",Intelligence Systems Enterprise Operations; GBS (Global Broadcast Service); Global Broadcast Service,"Analytics Manager, Program Manager, Team Lead, Hiring Manager","""Analytics Manager"" AND (L3Harris (historical) OR Leidos) AND (San Francisco)",8
ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; Global Command and Control System – Joint,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
SECRET AMPHIBIOUS RAIDS INSTRUCTOR,"Jacksonville, North Carolina",GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Jacksonville)",7
TS/SCI SENIOR DEVSECOPS ENGINEER,"Hanahan, South Carolina",GBS (Global Broadcast Service); Global Broadcast Service; CMS Enterprise Cloud Infrastructure Services,"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Hanahan)",7
TS/SCI - GCCS SYSTEMS ENGINEER,"Colorado Springs, Colorado","EDIS – Engineering, Development, Integration & Sustainment; Protected Satcom & Tactical Waveform Communications; Protected Tactical SatCom / Waveform","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (L3Harris OR SAIC) AND (Colorado Springs)",12
CLEARED GNC SR. PRINCIPAL ENGINEER,"Chandler, Arizona",Hypersonic & Ballistic Tracking Space Sensor; Army Integrated Battle Command System; GMD Weapon System (Ground C2),"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (Northrop & L3Harris (co-primes) OR Northrop Grumman) AND (Chandler)",14
SECRET CLEARED TECHNICAL WRITER,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
