program_name,program_full_name,category,mention_count
Steve is the Program Director and Bobby is now the Deputy Program Director over the Air Force,Steve is the Program Director and Bobby is now the Deputy Program Director over the Air Force,General,4
Mike and Kemoy Taylor to go over contracting onboarding and a couple updates on current,Mike and Kemoy Taylor to go over contracting onboarding and a couple updates on current,General,4
No real updates as of right now for the program besides working through conversions with the 10,No real updates as of right now for the program besides working through conversions with the 10,General,4
Air Force contract,Air Force contract,General,4
GECOS,GECOS,General,4
Task orders have already started but their is the potential more,Task orders have already started but their is the potential more,General,4
s will not be scheduled until the contractors CAC is revoked which typically comes on the,s will not be scheduled until the contractors CAC is revoked which typically comes on the,General,4
They prefer to go the contract house route as it is easier for them to onboard,They prefer to go the contract house route as it is easier for them to onboard,General,4
NGA CAIC,NGA CAIC,General,4
Initially the req was for CA or MD sites but she said the,Initially the req was for CA or MD sites but she said the,General,4
MEGA,MEGA,General,4
ATIS,ATIS,General,4
BICESX,BICESX,General,4
nga about our candidates for,nga about our candidates for,General,4
PLSS,PLSS,General,4
DARC,DARC,General,3
ve been getting smoked on this contract with no clear opportunities on the,ve been getting smoked on this contract with no clear opportunities on the,General,3
DoD Triple Crown II program,DoD Triple Crown II program,General,3
FAACE,FAACE,General,3
GBSD,Ground Based Strategic Deterrent,Defense Program,3
USCIS,USCIS,General,3
Army programs,Army programs,General,3
AFNCR,AFNCR,General,3
AESD,AESD,General,3
EDIS,EDIS,General,3
IMDC2,IMDC2,General,3
METS,METS,General,3
CISA,CISA,General,3
NGA East Office in Springfield,NGA East Office in Springfield,General,3
IVAS,IVAS,General,3
SLCD,SLCD,General,3
They said the program is experiencing some changes and is operation on bridge,They said the program is experiencing some changes and is operation on bridge,General,3
We discussed how they will continue to have contractors do the duration of 6 month,We discussed how they will continue to have contractors do the duration of 6 month,General,3
XM30,XM30,General,3
Right now the program is fully staffed due to the ramp up of the initial start of the new,Right now the program is fully staffed due to the ramp up of the initial start of the new,General,3
DTIC,DTIC,General,3
Army contract,Army contract,General,3
ECIF,ECIF,General,3
VA for Army INSCOM client,VA for Army INSCOM client,General,3
REMOTE,REMOTE,General,3
VA program,VA program,General,3
NGAD,Next Generation Air Dominance,General,3
15 program is going to be his biggest,15 program is going to be his biggest,General,2
50 Contractors with half of them being,50 Contractors with half of them being,General,2
Waiting on IDIQ,Waiting on IDIQ,General,2
All staffing is done internally by LMCO and the have no contractors on the,All staffing is done internally by LMCO and the have no contractors on the,General,2
NSA certification,NSA certification,General,2
LMCO,LMCO,General,2
Currently have 18 people on the program but theres a total of 30 subs on the,Currently have 18 people on the program but theres a total of 30 subs on the,General,2
Working on getting a single contract together over the entire Systems Engineering,Working on getting a single contract together over the entire Systems Engineering,General,2
FOCUS,FOCUS,General,2
NSA are separated by a,NSA are separated by a,General,2
HEAT,HEAT,General,2
SIGINT,SIGINT,General,2
ROTC,ROTC,General,2
OCONUS,OCONUS,General,2
ve moved folks around from programs to supports other,ve moved folks around from programs to supports other,General,2
Program Manager to both,Program Manager to both,General,2
GCOS,GCOS,General,2
consolidating the contract into one and layering other stuff on top of this,consolidating the contract into one and layering other stuff on top of this,General,2
25 contractors for,25 contractors for,General,2
re looking at combining programs or adding programs to,re looking at combining programs or adding programs to,General,2
COBOL,COBOL,General,2
On a different program now but would not share with me what,On a different program now but would not share with me what,General,2
s own program manager and then the program manager obviously runs those,s own program manager and then the program manager obviously runs those,General,2
ADCS-5,ADCS-5,General,2
ADCS-4,ADCS-4,General,2
FBI programs,FBI programs,General,2
NAREW,NAREW,General,2
DHS contract that he supports,DHS contract that he supports,General,2
Air Force disabled veteran,Air Force disabled veteran,General,2
EITSS,EITSS,General,2
SWFTS,SWFTS,General,2
PTS is not providing a widget or going after contracts as prime,PTS is not providing a widget or going after contracts as prime,General,2
PAC-3,PAC-3,General,2
VH-92,VH-92,General,2
NGG program is going through staffing reductions as a result of change to,NGG program is going through staffing reductions as a result of change to,General,2
P337,P337,General,2
CUAS,CUAS,General,2
SW and SE across display systems for AEGIS and CUAS,SW and SE across display systems for AEGIS and CUAS,General,2
DSCM,DSCM,General,2
Aegis guam is the current,Aegis guam is the current,General,2
COSS,COSS,General,2
DCSB,DCSB,General,2
cia about current contractors and,cia about current contractors and,General,2
Sys Admin III becoming available but is waiting to see if the current contractor is leaving the,Sys Admin III becoming available but is waiting to see if the current contractor is leaving the,General,2
on contracts after the PoP has ended which would allow him to convert our,on contracts after the PoP has ended which would allow him to convert our,General,2
He asked if we can have another meeting to include the other subcontracts manager for the,He asked if we can have another meeting to include the other subcontracts manager for the,General,2
overseeing all NASA,overseeing all NASA,General,2
NEST program overseeing all Service Delivery Operations for the,NEST program overseeing all Service Delivery Operations for the,General,2
NMCI,NMCI,General,2
as well as other NASA,as well as other NASA,General,2
he let me know that AEGIS is on year 4 of a 10 year,he let me know that AEGIS is on year 4 of a 10 year,General,2
Gave her an overview on our NASA past performance and our relationship with NEST and that we had,Gave her an overview on our NASA past performance and our relationship with NEST and that we had,General,2
s still overseeing the kansas city team until the,s still overseeing the kansas city team until the,General,2
SSEE,SSEE,General,2
Contract supporting the DOJ with all things computer system and computer,Contract supporting the DOJ with all things computer system and computer,General,2
PM over CENTCOM,PM over CENTCOM,General,2
New requirements on the program to have DT for all,New requirements on the program to have DT for all,General,2
25 million plus on the SDA contract due to our,25 million plus on the SDA contract due to our,General,2
They just been granted at least a 6 month extension on the contract to keep our,They just been granted at least a 6 month extension on the contract to keep our,General,2
Within that timeframe they are looking to position themselves to transfer the program to another,Within that timeframe they are looking to position themselves to transfer the program to another,General,2
Met with Michelle to discuss the state of the program with CDETIII and,Met with Michelle to discuss the state of the program with CDETIII and,General,2
s been some lost task orders but it is still one of the biggest,s been some lost task orders but it is still one of the biggest,General,2
NGA which forward thinking and,NGA which forward thinking and,General,2
t sure how many sub to Deloitte ratio on the contract since he literally just started on the,t sure how many sub to Deloitte ratio on the contract since he literally just started on the,General,2
up with Carrie to discuss the status of our 3 contractors supporting the,up with Carrie to discuss the status of our 3 contractors supporting the,General,2
leading them to releasing over 50 contractors on that part of the,leading them to releasing over 50 contractors on that part of the,General,2
They are working to sunset the program with additional work incoming on a new,They are working to sunset the program with additional work incoming on a new,General,2
SCIN,SCIN,General,2
t have a contractor overseeing another,t have a contractor overseeing another,General,2
I program and how they have over 1000 people on the,I program and how they have over 1000 people on the,General,2
ARC-I,ARC-I,General,2
SQQ89,SQQ89,General,2
DCSA,DCSA,General,2
SCITLS is broken down on 9 task orders this would be,SCITLS is broken down on 9 task orders this would be,General,2
GB300,GB300,General,2
Currently no other openings on the program as they are downsizing the,Currently no other openings on the program as they are downsizing the,General,2
He is the program director over multiple DOC,He is the program director over multiple DOC,General,2
GDIT-,GDIT-,General,2
Contract Labor Management Specialist for multiple,Contract Labor Management Specialist for multiple,General,2
NHSN,NHSN,General,2
KC-135,KC-135,General,2
EMAPS,EMAPS,General,2
WICRD,WICRD,General,2
AIMSS,AIMSS,General,2
260 contractors on the,260 contractors on the,General,2
EAMM,EAMM,General,2
s within the contract and management of the,s within the contract and management of the,General,2
nga IDIQ,nga IDIQ,General,2
CAMMO,CAMMO,General,2
ABMS,Advanced Battle Management System,General,2
Amy and Tony Abney to discuss the removal of Ronald Eure from the INSCOM,Amy and Tony Abney to discuss the removal of Ronald Eure from the INSCOM,General,2
He let me know that they won a contract called coconuts which is a large enterprise IT,He let me know that they won a contract called coconuts which is a large enterprise IT,General,2
They have 1 task order the are responding to on but it does not have a delivery portion of the,They have 1 task order the are responding to on but it does not have a delivery portion of the,General,2
He also told me that more work this year has been moving under JWCC,He also told me that more work this year has been moving under JWCC,General,2
Army Enterprise contract that Microsoft,Army Enterprise contract that Microsoft,General,2
Navy contract at Camp Lejune,Navy contract at Camp Lejune,General,2
t aware of any issues with any of our current contractors on the,t aware of any issues with any of our current contractors on the,General,2
Navy ERP program,Navy ERP program,General,2
s Bazinga,s Bazinga,General,2
nga contract,nga contract,General,2
Bazinga,Bazinga,General,2
DCPDS,DCPDS,General,2
HEITS,HEITS,General,2
They just brought on an internal resource for data analyst so no immediate needs for the,They just brought on an internal resource for data analyst so no immediate needs for the,General,2
RAVEN,RAVEN,General,2
200 contractors on the,200 contractors on the,General,2
975 million dollar program that NGC is a prime on the,975 million dollar program that NGC is a prime on the,General,2
CDET,CDET,General,2
James is the decision maker on partner selection for the Cisco 88XX Remediation,James is the decision maker on partner selection for the Cisco 88XX Remediation,General,2
Remediation,Remediation,General,2
NSA John Dunk,NSA John Dunk,General,2
22 current Task orders on the,22 current Task orders on the,General,2
Said LM  is on an external hiring freeze but will be looking to add on new contract labor for two,Said LM  is on an external hiring freeze but will be looking to add on new contract labor for two,General,2
ATC contract is one of the prime,ATC contract is one of the prime,General,2
Engagement,Engagement,General,2
VA and in sentinel,VA and in sentinel,General,2
contractors that they,contractors that they,General,2
They are restructuring the contract end of january to 5,They are restructuring the contract end of january to 5,General,2
DISC - IAC MAC Task Order,DISC - IAC MAC Task Order,General,2
Army Intel Systems for NSA,Army Intel Systems for NSA,General,2
Both the contractors have not been supporting the,Both the contractors have not been supporting the,General,2
Belvoir being a slower site to onboard contractors as this site requires the,Belvoir being a slower site to onboard contractors as this site requires the,General,2
Was able to have a meet and greet with all PTS contractors on the,Was able to have a meet and greet with all PTS contractors on the,General,2
NGA and DIA accounts,NGA and DIA accounts,General,2
Army programs we currently work,Army programs we currently work,General,2
Upcoming contract mod will likely include some LCAT changes that will effect our current,Upcoming contract mod will likely include some LCAT changes that will effect our current,General,2
Army Program,Army Program,General,2
CSTA,CSTA,General,2
GRIZZLY,GRIZZLY,General,2
GBOSS,GBOSS,General,2
FORGE,FORGE,General,2
immediate,immediate,General,2
ECIOSS,ECIOSS,General,2
SAOC,SAOC,General,2
NGLD,NGLD,General,2
DMDC,DMDC,General,2
and Dianah wants to talk to us about teaming on a JSP,and Dianah wants to talk to us about teaming on a JSP,General,2
NGA West office and will,NGA West office and will,General,2
NGA West Office as they,NGA West Office as they,General,2
NGA mission,NGA mission,General,2
NGA Director,NGA Director,General,2
NGA creating,NGA creating,General,2
NGA newsletters and Weekly Activity,NGA newsletters and Weekly Activity,General,2
NGA workforce on the data,NGA workforce on the data,General,2
NGA enterprise,NGA enterprise,General,2
NGA Senior Leadership by developing,NGA Senior Leadership by developing,General,2
CH-53K,CH-53K King Stallion,General,2
AVDS,AVDS,General,2
He said the last two subcontractors on the,He said the last two subcontractors on the,General,2
negotiating his contract so he may be leaving the,negotiating his contract so he may be leaving the,General,2
He said to reach out to Steven Kryer as he is the Program Manager for the entire,He said to reach out to Steven Kryer as he is the Program Manager for the entire,General,2
I told him that due to us having 34 or so contractors on the,I told him that due to us having 34 or so contractors on the,General,2
Told her we have current contractors on the,Told her we have current contractors on the,General,2
SSDS,SSDS,General,2
We discussed the new OASIS OUSD,We discussed the new OASIS OUSD,General,2
contractors and was a,contractors and was a,General,2
He is a program manager but he is not tied to any specific,He is a program manager but he is not tied to any specific,General,2
NGA review,NGA review,General,2
NGA if he can find,NGA if he can find,General,2
NGA takes 4,NGA takes 4,General,2
BMC3,BMC3,General,2
She fills in for Program Managers when they are OOO on a need basis and oversees each army,She fills in for Program Managers when they are OOO on a need basis and oversees each army,General,2
army programs with their remote,army programs with their remote,General,2
army program in the funding,army program in the funding,General,2
DCIP,DCIP,General,2
but is still looking to land on a contract,but is still looking to land on a contract,General,2
contract,contract,General,2
He is a Program Manager on the ITDM,He is a Program Manager on the ITDM,General,2
ITDM,ITDM,General,2
Kevin Smith would be the best POC as he is the program manager over the,Kevin Smith would be the best POC as he is the program manager over the,General,2
NGA West Office,NGA West Office,General,2
Technician contracts are 1 year,Technician contracts are 1 year,General,2
s contractors before the end of the year and also not being able to hire,s contractors before the end of the year and also not being able to hire,General,2
NITE,NITE,General,2
May need to just start people to fulfill contractual requirements on the FFP,May need to just start people to fulfill contractual requirements on the FFP,General,2
cox automotive or cox media could be a different story as far as,cox automotive or cox media could be a different story as far as,General,2
USARC,USARC,General,2
AFMS,AFMS,General,2
Small 14 person program that falls on the AFMS,Small 14 person program that falls on the AFMS,General,2
HHS Next Gen IT contract,HHS Next Gen IT contract,General,2
Small Arms Contract and Expeditionary EW,Small Arms Contract and Expeditionary EW,General,2
IPPS-A,IPPS-A,General,2
Andrew is no longer on the HWIL program but has joined the DIAMNDSS as the,Andrew is no longer on the HWIL program but has joined the DIAMNDSS as the,General,2
DIAMNDSS,DIAMNDSS,General,2
Andrew now works on the D31 side with the DIAMNDSS,Andrew now works on the D31 side with the DIAMNDSS,General,2
SLDC,SLDC,General,2
he has 360 active contracts under him and 75,he has 360 active contracts under him and 75,General,2
GATES,GATES,General,2
DoD Service desk programs such,DoD Service desk programs such,General,2
Met with Wendy to discuss the AESD and AESMP programs to get some clarification on,Met with Wendy to discuss the AESD and AESMP programs to get some clarification on,General,2
AESMP,AESMP,General,2
NIXIE,NIXIE,General,2
F30-10 Air EW Support Contract,F30-10 Air EW Support Contract,General,2
CACOC,CACOC,General,2
but from where he left off he saw no immediate needs on his,but from where he left off he saw no immediate needs on his,General,2
said contracting officer for DCSA is not approving DD254s for,said contracting officer for DCSA is not approving DD254s for,General,2
most all of ther subcontractors on the,most all of ther subcontractors on the,General,2
he oversees SDA mentor protege program and oversees joint venture,he oversees SDA mentor protege program and oversees joint venture,General,2
SESS,SESS,General,2
Army Acquisition Services Contract,Army Acquisition Services Contract,General,2
he is now doing material acquisition program for SCIFS so not a manpower,he is now doing material acquisition program for SCIFS so not a manpower,General,2
He is a task order lead for a couple,He is a task order lead for a couple,General,2
300 people on the contract and he manages other,300 people on the contract and he manages other,General,2
JFH2,JFH2,General,2
CCSS2,CCSS2,General,2
70 people and this will be the only subcontractor on,70 people and this will be the only subcontractor on,General,2
program falls on the OASIS,program falls on the OASIS,General,2
TICSI,TICSI,General,2
Army RS3 Contract Office and,Army RS3 Contract Office and,General,2
NSA Clearance process creates long,NSA Clearance process creates long,General,2
Insight Gobal has a DP agreement and a subcontract abnd do both direct hires and,Insight Gobal has a DP agreement and a subcontract abnd do both direct hires and,General,2
NGA called NEE,NGA called NEE,General,2
They are only going to use 16 of the 34 IDIQ LCATS for this,They are only going to use 16 of the 34 IDIQ LCATS for this,General,2
Task Order 1 is moving to the decommissioning phase of all systems to prepare for the future,Task Order 1 is moving to the decommissioning phase of all systems to prepare for the future,General,2
My folks at the wireless sites that are still on the new,My folks at the wireless sites that are still on the new,General,2
Still no new open to alls on Task Order 1 and,Still no new open to alls on Task Order 1 and,General,2
He is going to be the PM for MES when it is awarded so he will now have 2 task orders on the,He is going to be the PM for MES when it is awarded so he will now have 2 task orders on the,General,2
SCITES recently absorbed the SOSI,SCITES recently absorbed the SOSI,General,2
There are multiple sites this,There are multiple sites this,General,2
He has been on INSCOM for 6 months and Brittany said he it was basically like a brand new,He has been on INSCOM for 6 months and Brittany said he it was basically like a brand new,General,2
Ty mentioned some of the activites on the,Ty mentioned some of the activites on the,General,2
HHS Program Support Center Contract,HHS Program Support Center Contract,General,2
Ty is the program manager who oversees the HHS Program Support Center Contract that has a sister,Ty is the program manager who oversees the HHS Program Support Center Contract that has a sister,General,2
the gov on the INSCOM,the gov on the INSCOM,General,2
disadvantage requirements on the,disadvantage requirements on the,General,2
L3Harris has had this contract for 21 years now and the FENS,L3Harris has had this contract for 21 years now and the FENS,General,2
He is program specific and only works with the FTI,He is program specific and only works with the FTI,General,2
t support a specific program but works in cross functional setting across multiple,t support a specific program but works in cross functional setting across multiple,General,2
He works in more of program specific role within L3Harris as he supports the MOSIAC,He works in more of program specific role within L3Harris as he supports the MOSIAC,General,2
MOSIAC,MOSIAC,General,2
DSMS,DSMS,General,2
SCNI will be an IDIQ,SCNI will be an IDIQ,General,2
FAA-SOC,FAA-SOC,General,2
Ryan reached out and informed us he will be converting 10 of our contractors specifically,Ryan reached out and informed us he will be converting 10 of our contractors specifically,General,2
Joel has been out of the office recently visiting other sites within the,Joel has been out of the office recently visiting other sites within the,General,2
He has been with GDIT for about 10 years now and has been supporting the INSCOM,He has been with GDIT for about 10 years now and has been supporting the INSCOM,General,2
NGA campus that has been,NGA campus that has been,General,2
Executive Support Team that will support the INSCOM customer directly as well as the,Executive Support Team that will support the INSCOM customer directly as well as the,General,2
DOD program protection support is,DOD program protection support is,General,2
GDLS,GDLS,General,2
and that he moved back over with SAIC to support the NASA,and that he moved back over with SAIC to support the NASA,General,2
He let me know that they would not need our services until the second task order of the,He let me know that they would not need our services until the second task order of the,General,2
He is a resource manager on LEidos AEGIS,He is a resource manager on LEidos AEGIS,General,2
He gave us an overview of how contractors are utilized on the,He gave us an overview of how contractors are utilized on the,General,2
EITS,EITS,General,2
Navy Yard and Indian Head,Navy Yard and Indian Head,General,2
NGA for TS,NGA for TS,General,2
NGA Intelligence work to support,NGA Intelligence work to support,General,2
NGA has 3 HR locations,NGA has 3 HR locations,General,2
DHS and the STEAM Program,DHS and the STEAM Program,General,2
STEAM,STEAM,General,2
TAPSS,TAPSS,General,2
NGA will be at 12,NGA will be at 12,General,2
NGA meeting for Monday,NGA meeting for Monday,General,2
NGA at the beginning of,NGA at the beginning of,General,2
Andre oversees the Cyber Task Order for the,Andre oversees the Cyber Task Order for the,General,2
ASAALT,ASAALT,General,2
ASA-ALT,ASA-ALT,General,2
Met with Doug to talk the logistics of the SIPET program and when he expects for the,Met with Doug to talk the logistics of the SIPET program and when he expects for the,General,2
Army Uno program probably not,Army Uno program probably not,General,2
TIME,TIME,General,2
Army Engineering contract,Army Engineering contract,General,2
William manages a team of 10 systems administrators out in PCB for the Seaport NxG,William manages a team of 10 systems administrators out in PCB for the Seaport NxG,General,2
He is not sure about subcontractors at the new,He is not sure about subcontractors at the new,General,2
HMSD,HMSD,General,2
HHS CMS contract and CCW,HHS CMS contract and CCW,General,2
Supports Fed Civ HHS CMS contract and CCW Chronic Condition Warehouse,Supports Fed Civ HHS CMS contract and CCW Chronic Condition Warehouse,General,2
Army and some Navy contracts,Army and some Navy contracts,General,2
Mentioned the XM30 contract with the Army and some Navy,Mentioned the XM30 contract with the Army and some Navy,General,2
DoD on the DEE contract,DoD on the DEE contract,General,2
Contractors are 6 month,Contractors are 6 month,General,2
EVOLVE,EVOLVE,General,2
There are 4 main sites for the,There are 4 main sites for the,General,2
LVC is the program which he called the Japan Modernization,LVC is the program which he called the Japan Modernization,General,2
Program supports DCGS which is an intel related Air Force,Program supports DCGS which is an intel related Air Force,General,2
Has the PATH program to get MSAs which is the Professional and temp hiring,Has the PATH program to get MSAs which is the Professional and temp hiring,General,2
PATH,PATH,General,2
they are also going to check with contracting relationship about current,they are also going to check with contracting relationship about current,General,2
multiple space programs,multiple space programs,General,2
No longer the program manager of security on the,No longer the program manager of security on the,General,2
we just resigned our subcontract on her NEST,we just resigned our subcontract on her NEST,General,2
DHMSM,DHMSM,General,2
Sometimes he brings people on contract or,Sometimes he brings people on contract or,General,2
direct placement fee and gave him our other options for contract and,direct placement fee and gave him our other options for contract and,General,2
GPS-OCX,GPS Next Generation Operational Control System,General,2
she sits over multiple programs based in TX Managing the HTI,she sits over multiple programs based in TX Managing the HTI,General,2
9B IDIQ takeaway,9B IDIQ takeaway,General,2
IRAD,IRAD,General,2
Previously was a PM over the IRAD program and several other smaller,Previously was a PM over the IRAD program and several other smaller,General,2
t hop contract to,t hop contract to,General,2
DOD programs that are public,DOD programs that are public,General,2
CATS,CATS,General,2
Army focused programs,Army focused programs,General,2
He has a current contractor of ours supporting a different,He has a current contractor of ours supporting a different,General,2
We have a contractor on his team that is jumping over to another,We have a contractor on his team that is jumping over to another,General,2
SGSS,SGSS,General,2
ETIS,ETIS,General,2
s no longer allowed to use staffing firms or subcontractors not currently approved for the,s no longer allowed to use staffing firms or subcontractors not currently approved for the,General,2
DHS CISA program and current,DHS CISA program and current,General,2
CASES,CASES,General,2
ITIL,ITIL,General,2
DHS FEMA program,DHS FEMA program,General,2
FEMA,FEMA,General,2
GRASP,GRASP,General,2
VA Suicide Prevention contract awarded,VA Suicide Prevention contract awarded,General,2
INSCOM descoped the,INSCOM descoped the,General,2
DoD program looking to get,DoD program looking to get,General,2
OPIR,OPIR,General,2
NGG-OPIR,NGG-OPIR,General,2
nga to discuss openings while,nga to discuss openings while,General,2
Very similar to Perspecta ECMO,Very similar to Perspecta ECMO,General,2
Army ECMA contract,Army ECMA contract,General,2
NISSC,NISSC,General,2
CIO-SP3,Chief Information Officer-Solutions and Partners 3,Contract Vehicle,2
AMCOM,AMCOM,General,2
FACE,FACE,General,2
ESSCA,ESSCA,General,2
NGA NEE,NGA NEE,General,2
He said the 5 newest contractors are the only,He said the 5 newest contractors are the only,General,2
They use contractors in his department and bring in about 5 every quarter on,They use contractors in his department and bring in about 5 every quarter on,General,2
NCEZID,NCEZID,General,2
STARS,STARS III 8(a) GWAC,General,2
V-22,V-22 Osprey,General,2
