budget_program_name,budget_amount,fiscal_year,budget_type
General Fund Enterprise Business System (GFEBS),17342000.0,2014,R-1
FCS Systems of Systems Engr & Program Mgmt,257512999.99999997,2014,R-1
MQ-9 UAV,128328000.0,2014,R-1
Light Mobility Aircraft (LiMA),100000.0,2014,R-1
Advanced Combat Systems Tech,1570000.0,2014,R-1
Space Tracking and Surveillance System,44947000.0,2014,R-1
National Polar-Orbiting Operational Environmental Satellite System (NPOESS),43000000.0,2014,R-1
Joint Robotics EMD,2705000.0,2014,R-1
Advanced Concepts and Simulation,24063000.0,2014,R-1
(U) MULTI-INTELLIGENCE SENSOR DEVELOPMENT,28851000.0,2014,R-1
Strategic Environmental Research and Development Program (SERDP),72324000.0,2014,R-1
Combat System Integration,36570000.0,2014,R-1
Surface Ship Torpedo Defense,88649000.0,2014,R-1
JAVELIN (AAWS-M),5002000.0,2014,R-1
Test and Evaluation/Science and Technology,92508000.0,2014,R-1
Logistics Support Activities (LSA),4659000.0,2014,R-1
Foreign Comparative Testing,12134000.0,2014,R-1
AC/MC-130J,19647000.0,2014,R-1
Air Control,13754000.0,2014,R-1
Support to Information Operations Capabilities,27778000.0,2014,R-1
DARPA AGENCY RELOCATION,1000000.0,2014,R-1
Ship Self Def (Detect & Cntrl),130360000.00000001,2014,R-1
Aerospace Technology Dev/Demo,77347000.0,2014,R-1
Operational Systems Development,1955000.0,2014,R-1
Historically Black Colleges and Universities and Minority Institutions,30895000.0,2014,R-1
AEGIS BMD,937056000.0,2014,R-1
Software Engineering Institute (SEI) Applied Research,11107000.0,2014,R-1
CYBER SECURITY INITIATIVE,1801000.0,2014,R-1
DTRA Basic Research Initiative,45837000.0,2014,R-1
Joint Integration & Interoperability,28935000.0,2014,R-1
RQ-4 UAV,375235000.0,2014,R-1
Joint High Speed Vessel (JHSV),35000.0,2014,R-1
CMMA,989000.0,2014,R-1
Human Social Culture Behavior (HSCB) Modeling Advanced Development,8234999.999999999,2014,R-1
MQ-9 Unmanned Aerial Vehicle,1314000.0,2014,R-1
MQ-8 UAV,48713000.0,2014,R-1
Environmental Security Technology Certification Program,71453000.0,2014,R-1
Navy Tactical Computer Resources,3689000.0,2014,R-1
Minimum Essential Emergency Communications Network (MEECN),36288000.0,2014,R-1
HUMAN FACTORS ENGINEERING TECHNOLOGY,21339000.0,2014,R-1
Directed Energy Research,46944000.0,2014,R-1
Cyber Intelligence,7624000.0,2014,R-1
Tactical Cryptologic Systems,9406000.0,2014,R-1
RQ-7 UAV,2900000.0,2014,R-1
Advanced Submarine System Development,852977000.0,2014,R-1
Seek Eagle,24342000.0,2014,R-1
Warfighter Technology,31546000.0,2014,R-1
Conventional Weapons Technology,33996000.0,2014,R-1
Financing for Cancelled Account Adjustments,90000.0,2014,R-1
Landmine Warfare/Barrier - Eng Dev,92285000.0,2014,R-1
C-27J Airlift Squadrons,24491000.0,2014,R-1
Dominant Information Sciences and Methods,138161000.0,2014,R-1
Facilities Operation - Administrative,654000.0,2014,R-1
Marine Corps Assault Vehicles,136967000.0,2014,R-1
Prompt Global Strike Capability Development,65440000.0,2014,R-1
Central Test and Evaluation Investment Program (CTEIP),240213000.0,2014,R-1
TECHNOLOGY MATURATION INITIATIVES,55605000.0,2014,R-1
Human Social Culture Behavior (HSCB) Modeling Research and Engineering,5131000.0,2014,R-1
Technology Transfer,2606000.0,2014,R-1
TACTICAL UNMANNED GROUND VEHICLE,13141000.0,2014,R-1
F-16 Squadrons,177298000.0,2014,R-1
Warfighter Sustainment Applied Res,49689000.0,2014,R-1
Ship Prel Design & Feasibility Studies,27052000.0,2014,R-1
Defense Research Sciences,373151000.0,2014,R-1
Microelectronics Technology Development and Support  (DMEA),82700000.0,2014,R-1
Information Systems Security Program,10673000.0,2014,R-1
Electromagnetic Systems Advanced Technology,56179000.0,2014,R-1
Aviation - Adv Dev,5018000.0,2014,R-1
Joint FIRES Integration and Interoperability Team,7506000.0,2014,R-1
Joint Mission Environment Test Capability (JMETC),31000000.0,2014,R-1
Navy Space & Electr Warfare Supt,3265000.0,2014,R-1
Intelligence Support to Information Warfare,13357000.0,2014,R-1
Defense Technical Information Center,56024000.0,2014,R-1
FIREFINDER,47221000.0,2014,R-1
Special Operations CV-22 Development,1822000.0,2014,R-1
Tactical Electronic Surveillance System - Adv Dev,6894000.0,2014,R-1
MILITARY HIV RESEARCH,6984000.0,2014,R-1
Tactical Data Links,197538000.0,2014,R-1
Life Support Systems,7273000.0,2014,R-1
Distributive Interactive Simulations (DIS) - Eng Dev,14575000.0,2014,R-1
Advanced Sensor Applications Program,17230000.0,2014,R-1
Strategic Technical Support,3221000.0,2014,R-1
Endurance Unmanned Aerial Vehicles,3000000.0,2014,R-1
"Command, Control, Communications Technology",34209000.0,2014,R-1
Army Technical Test Instrumentation and Targets,66061000.00000001,2014,R-1
Nav Integrated Fire Control-Counter Air Sys Eng,21413000.0,2014,R-1
Conventional Munitions,81521000.0,2014,R-1
"Command, Control, Communications Systems - Eng Dev",7379000.0,2014,R-1
University Research Initiatives,112617000.0,2014,R-1
Warfighter Protection Adv Tech,4760000.0,2014,R-1
Standard Missile Improvements,75592000.0,2014,R-1
MK-48 ADCAP,12806000.0,2014,R-1
SOF Tactical Vehicles,2206000.0,2014,R-1
Space Situation Awareness Operations,18807000.0,2014,R-1
Mine and Expeditionary Warfare Advanced Technology,2000000.0,2014,R-1
Meteorological Support to RDT&E Activities,7349000.0,2014,R-1
TRACTOR NAIL,3194000.0,2014,R-1
Defense Agency Initiatives (DAI) - Financial System,51689000.0,2014,R-1
Homeland Personnel Security Directive (HSPD-12) Initiative,386000.0,2014,R-1
CV-22,46705000.0,2014,R-1
Cyber Intelligence,1271000.0,2014,R-1
SMALL BUSINESS INNOVATIVE RESEARCH (SBIR),15675000.0,2014,R-1
Advanced EHF MILSATCOM (SPACE),229171000.0,2014,R-1
Management HQ - MDA,37712000.0,2014,R-1
Defense Rapid Innovation Fund,199233000.0,2014,R-1
Polar MILSATCOM (SPACE),120676000.0,2014,R-1
Marine Corps IT Dev/Mod,5564000.0,2014,R-1
Center For Naval Analyses,48345000.0,2014,R-1
Minimum Essential Emergency Communications Network (MEECN),13144000.0,2014,R-1
Joint Capability Technology Demonstration (JCTD),174428000.0,2014,R-1
Weapons and Munitions Technology,37798000.0,2014,R-1
(U)RETRACT JUNIPER,77108000.0,2014,R-1
Small (LEVEL 0) Tactical UAS (STUASL0),5013000.0,2014,R-1
RQ-7 UAV,710000.0,2014,R-1
USMC Intelligence/Electronics Warfare Sys,34394000.0,2014,R-1
Unmanned Combat Air Veh(UCAV) Adv Cp/Proto Dev,20961000.0,2014,R-1
Systems 2020 Applied Research,7898000.0,2014,R-1
Military Information Support Operations (MISO),59745000.0,2014,R-1
AF TENCAP,89816000.0,2014,R-1
Directed Energy Technology,112845000.0,2014,R-1
Joint Direct Attack Munition,2500000.0,2014,R-1
Sensors and Electronic Survivability,43170000.0,2014,R-1
Surface Support,2374000.0,2014,R-1
(U)RETRACT LARCH,9316000.0,2014,R-1
End Item Industrial Preparedness Activities,56136000.0,2014,R-1
Navy Meteorological and Ocean Sensors-Space(METOC),742000.0,2014,R-1
Defense Operations Security Initiative,5306000.0,2014,R-1
Combat Vehicle Improvement Programs,177532000.0,2014,R-1
AVIATION ADVANCED TECHNOLOGY,81080000.0,2014,R-1
Soldier Support and Survivability,6703000.0,2014,R-1
Other Missile Product Improvement Programs,62100000.0,2014,R-1
Defense Wide Manufacturing Science and Technology Program,34041000.0,2014,R-1
Programwide Activities,82035000.0,2014,R-1
SO Aviation Systems,156561000.0,2014,R-1
SMALL BUSINESS INNOVATIVE RESEARCH,59000.0,2014,R-1
Manpower/Personnel/Training Technology,17654000.0,2014,R-1
TRACTOR HIKE,9166000.0,2014,R-1
University Research Initiatives,79359000.0,2014,R-1
JT Non-Lethal Wpns Applied Res,6060000.0,2014,R-1
RQ-11 UAV,1500000.0,2014,R-1
Applied Research for the Advancement of S&T Priorities,45000000.0,2014,R-1
Precision Attack Systems Procurement,1075000.0,2014,R-1
ISR Innovations,16199000.000000002,2014,R-1
ELECTRONICS TECHNOLOGY,243469000.0,2014,R-1
DCMO Policy and Integration,22297000.0,2014,R-1
Financial Management Information Systems Development,135735000.0,2014,R-1
Joint Air-to-Surface Standoff Missile (JASSM),6373000.0,2014,R-1
Security and Investigative Activities,195000.0,2014,R-1
Ballistic Missile Defense Joint Warfighter Support,47419000.0,2014,R-1
Defense Spectrum Organization,7741000.0,2014,R-1
Special Programs - MDA,286613000.0,2014,R-1
JT Tact Radio Sys (JTRS),3302000.0,2014,R-1
Shared Early Warning (SEW),1079000.0,2014,R-1
WWMCCS/GLOBAL COMMAND AND CONTROL SYSTEM,500000.0,2014,R-1
Electromagnetic Systems Applied Research,97701000.0,2014,R-1
High Energy Laser Advanced Technology Program,1088000.0,2014,R-1
Joint Advanced Concepts,7100000.0,2014,R-1
WMD Defeat Capabilities,12901000.0,2014,R-1
Lincoln Laboratory,46875000.0,2014,R-1
Special Tactics / Combat Control,6213000.0,2014,R-1
Multi-mssn Maritime Aircraft (MMA) (P-8A),317358000.0,2014,R-1
Joint Air-to-Ground Missile (JAGM),15127000.0,2014,R-1
Radiological Control,762000.0,2014,R-1
Manned Reconnaissance Sys,30654000.0,2014,R-1
MATERIALS AND BIOLOGICAL TECHNOLOGY,166654000.0,2014,R-1
Submarine Tactical Warfare Sys,8764000.0,2014,R-1
MQ-1 Predator A UAV,641000.0,2014,R-1
Human Social Culture Behavior (HSCB) Modeling Applied Research,6771000.0,2014,R-1
C-130 Airlift Squadron,400000.0,2014,R-1
Surface ASW,2349000.0,2014,R-1
Ship Self Def (Engage: Soft Kill/EW),164799000.0,2014,R-1
AF Integrated Personnel and Pay System (AF-IPPS),90097000.0,2014,R-1
Joint Helmet Mounted Cueing System (JHMCS),1472000.0,2014,R-1
AV-8B Aircraft - Engine Dev,35825000.0,2014,R-1
CLASSIFIED DARPA PROGRAMS,3000000.0,2014,R-1
TARGET SYSTEMS DEVELOPMENT,13488000.0,2014,R-1
SMALL BUSINESS INNOVATION RESEARCH,74759000.0,2014,R-1
Rapid Technology Transition (RTT),13561000.0,2014,R-1
Support to Networks and Information Integration,6301000.0,2014,R-1
Joint Electromagnetic Technology (JET) Program,3169000.0,2014,R-1
Intercontinental Ballistic Missile - Dem/Val,86737000.0,2014,R-1
Combat Information Center Conv,918000.0,2014,R-1
TRACTOR EGGS,2367000.0,2014,R-1
RDT&E Science & Tech Mgmt,72725000.0,2014,R-1
Requirements Analysis and Maturation,16018000.0,2014,R-1
Target Systems Development,71872000.0,2014,R-1
Global Positioning System III - Operational Control Segment,383500000.0,2014,R-1
Human Effectiveness Advanced Technology Development,20967000.0,2014,R-1
Marine Corps Lndg Force Tech,47334000.0,2014,R-1
Cyber Security Initiative,946000.0,2014,R-1
Space Technology,104063000.0,2014,R-1
JT Precision Approach & Ldg Sys,205615000.0,2014,R-1
(U)Offensive Anti-Surface Warfare Weapon Dev,135985000.0,2014,R-1
DDG-1000,187910000.0,2014,R-1
Combat Training Ranges,33200000.000000004,2014,R-1
ARMY KWAJALEIN ATOLL,193658000.0,2014,R-1
Warfighter Advanced Technology,56056000.0,2014,R-1
DCAPES,15081000.0,2014,R-1
Airborne Warning and Control System (AWACS),186256000.0,2014,R-1
National Defense Education Program (NDEP),84271000.0,2014,R-1
Joint Tactical Radio,2594000.0,2014,R-1
Air & Space Operations Center (AOC),22820000.0,2014,R-1
Mission Training and Preparation Systems (MTPS),10131000.0,2014,R-1
(U)Precision Strike Weapons Development Program,2257000.0,2014,R-1
Electronic Warfare Technology,17585000.0,2014,R-1
Countering Weapons of Mass Destruction (CWMD) Systems,52053000.0,2014,R-1
Advanced Aerospace Sensors,30579000.0,2014,R-1
F-22 Modernization Increment 3.2B,131100000.0,2014,R-1
Ballistic Missile Defense Terminal Defense Segment,268990000.0,2014,R-1
Global Combat Support System,725000.0,2014,R-1
Global Air Traffic Management (GATM),4430000.0,2014,R-1
"Combat Feeding, Clothing, and Equipment",1939000.0,2014,R-1
Airborne Electronic Attack,4575000.0,2014,R-1
Tech Transition Program,13636000.0,2014,R-1
Special Programs,7424000.0,2014,R-1
Arms Control Implementation,1430000.0,2014,R-1
Threat Simulator Development,17690000.0,2014,R-1
Defense Military Deception Program Office,1246000.0,2014,R-1
Joint Staff Analytical Support (JSAS),2097000.0,2014,R-1
Space Based Infrared System (SBIRS) High EMD,352532000.0,2014,R-1
Integrated Broadcast Service - Dem/Val,19938000.0,2014,R-1
Cybersecurity Initiative,3658000.0,2014,R-1
(U)Future Naval Capabilities Advanced Tech Dev,247931000.0,2014,R-1
Information Systems Security Program,5248000.0,2014,R-1
Advanced Weapons Technology,19000000.0,2014,R-1
Logistics Support Activities,577000.0,2014,R-1
Compass Call,10782000.0,2014,R-1
MEDICAL TECHNOLOGY,93340000.0,2014,R-1
Night Fist - USSTRATCOM,10000.0,2014,R-1
Advanced Materials for Weapon Systems,39572000.0,2014,R-1
Satellite Communications (Space),66230999.99999999,2014,R-1
Industrial Preparedness Manufacturing Technology (IP ManTech),24691000.0,2014,R-1
RQ-11 Raven,2321000.0,2014,R-1
Manufacturing Technology Program,41353000.0,2014,R-1
Nuclear and Conventional Physical Security/Countering Nuclear Threats,63641000.0,2014,R-1
Nuclear Arms Control Monitoring Sensor Network,7922000.0,2014,R-1
Cobra Judy,17091000.0,2014,R-1
ELECTRONICS AND ELECTRONIC DEVICES,59021000.0,2014,R-1
Soldier Systems - Advanced Development,14159000.0,2014,R-1
Ocean Wrfghtg Env Applied Res,45685000.0,2014,R-1
SPACE PROGRAMS AND TECHNOLOGY,172546000.0,2014,R-1
Wide Area Surveillance,30000000.0,2014,R-1
Evolved Expendable Launch Vehicle Program (SPACE) - EMD,27963000.0,2014,R-1
Submarine Tactical Warfare System,49143000.0,2014,R-1
TRACTOR CARD,18778000.0,2014,R-1
Airborne Reconnaissance Systems,37828000.0,2014,R-1
Advanced Spacecraft Technology,68071000.0,2014,R-1
HC/MC-130 Recap RDT&E,6242000.0,2014,R-1
Space Application Advanced Technology,5866000.0,2014,R-1
General Support to OUSD(I),6504000.0,2014,R-1
Multi-Service Systems Engineering Initiative,13935000.0,2014,R-1
Adv Field Artillery Tactical Data System,30940000.0,2014,R-1
Support Systems Development,10925000.0,2014,R-1
Aerospace Sensors,127539000.0,2014,R-1
In-House Lab Independent Res,18230000.0,2014,R-1
Army Tactical Command & Control Hardware & Software,22958000.0,2014,R-1
Special Operations Advanced Technology Development,46809000.0,2014,R-1
Navy Warfighting Exp & Demo,51463000.0,2014,R-1
RQ-4 UAV,134406000.0,2014,R-1
NIGHT VISION TECHNOLOGY,43426000.0,2014,R-1
Joint Non-Lethal Weapons Testing,51178000.0,2014,R-1
Overseas Humanitarian Assistance Shared Information System (OHASIS),287000.0,2014,R-1
Operational Support Airlift,44553000.0,2014,R-1
Small Business Innovative Research,10634000.0,2014,R-1
International Activities,3785000.0,2014,R-1
Common Picture Applied Research,34163000.0,2014,R-1
Weather System Follow-on,2000000.0,2014,R-1
Defense Readiness Reporting System (DRRS),6393000.0,2014,R-1
DoD Enterprise Systems Development and Demonstration,27917000.0,2014,R-1
Global Combat Support System,12083000.0,2014,R-1
Satellite Control Network (SPACE),35698000.0,2014,R-1
Special Operations Intelligence Systems Development,7705000.0,2014,R-1
Logistics Information Technology (LOGIT),95238000.0,2014,R-1
Advanced Above Water Sensors,275871000.0,2014,R-1
Combat Rescue and Recovery,2582000.0,2014,R-1
Combating Terrorism Technology Support,77792000.0,2014,R-1
V-22A,43084000.0,2014,R-1
F-35 - EMD,816335000.0,2014,R-1
Nuclear Weapons Support,25713000.0,2014,R-1
SEW Architecture/Eng Support,38327000.0,2014,R-1
Joint Experimentation,28160000.0,2014,R-1
Nuclear Matters,5028000.0,2014,R-1
Major T&E Investment,46672000.0,2014,R-1
NUDET Detection System (SPACE),50547000.0,2014,R-1
Elect Warfare Readiness Supt,19563000.0,2014,R-1
Tactical Unmanned Aer Vehicles,8381000.0,2014,R-1
Infantry Support Weapons,79855000.0,2014,R-1
Concepts Experimentation Program,37158000.0,2014,R-1
C-5 Airlift Squadrons (IF),61492000.0,2014,R-1
Next Generation Jammer (NGJ),257796000.0,2014,R-1
Joint Standoff Weapon Systems,442000.0,2014,R-1
MC Ground Cmbt Spt Arms Sys,139594000.0,2014,R-1
Dragon U-2,18700000.0,2014,R-1
Technical Studies,24379000.0,2014,R-1
Digitization,6186000.0,2014,R-1
Ground Attack Weapons Fuze Development,21175000.0,2014,R-1
Ballistic Missile Defense Test,375866000.0,2014,R-1
(U)Navy Integrated Mil Human Res Sys(N-IMHRS),5767000.0,2014,R-1
Deployment and Distribution Enterprise Technology,30256000.0,2014,R-1
Aerospace Propulsion and Power Technology,149321000.0,2014,R-1
Marine Corps Comms Systems,178753000.0,2014,R-1
MC-12,19949000.0,2014,R-1
Navy Logistic Productivity,5797000.0,2014,R-1
C4I Interoperability,72726000.0,2014,R-1
Landmine Warfare and Barrier - Adv Dev,10625000.0,2014,R-1
Joint Integration & Interoperability,12652000.0,2014,R-1
Automatic Test Equipment Development,6701000.0,2014,R-1
Live Fire Test and Evaluation (LFT&E),48423000.0,2014,R-1
Battlespace Knowledge Development and Demonstration,49093000.0,2014,R-1
Common Vertical Lift Support Platform,5365000.0,2014,R-1
Small Business Innovative Research,325202000.0,2014,R-1
MATERIEL SYSTEMS ANALYSIS,19809000.0,2014,R-1
Command and Control (C2) Constellation,7329000.0,2014,R-1
Air/Ocean Tactical Applications,42246000.0,2014,R-1
(U)PILOT FISH,108713000.0,2014,R-1
Joint Air-to-ground Missile (JAGM),5500000.0,2014,R-1
JT Non-Lethal Wpns Tech Dev,11854000.0,2014,R-1
Manned Ground Vehicle,592201000.0,2014,R-1
Aerospace Propulsion,197546000.0,2014,R-1
Distributed Common Ground/Surface Systems,27622000.0,2014,R-1
Technical Information Activities,33853000.0,2014,R-1
Marine Corps Program Wide Supt,24082000.0,2014,R-1
Tactical Cryptologic Activities,497000.0,2014,R-1
JOINT SERVICE SMALL ARMS PROGRAM,7818000.0,2014,R-1
Small Diameter Bomb (SDB)  - EMD,115000000.0,2014,R-1
ADVANCED ELECTRONICS TECHNOLOGIES,117080000.0,2014,R-1
Joint Warfighting Program,8431000.0,2014,R-1
(U)Joint Theater Air and Missile Defense Org,1352000.0,2014,R-1
Harm Improvement,13586000.0,2014,R-1
Operational Nuclear Power Sys,116928000.0,2014,R-1
Marine Corps Cmbt Services Supt,42647000.0,2014,R-1
Joint Robotics Program/Autonomous Systems,9481000.0,2014,R-1
Tactical Airborne Control Systems,743000.0,2014,R-1
Enterprise Security System,7552000.0,2014,R-1
Ballistic Missile Defense Sensors,315183000.0,2014,R-1
Tactical Data Networks Enterprise,51456000.0,2014,R-1
Artillery Munitions - EMD,8209000.0,2014,R-1
Tactical Air Control Party-Mod,10250000.0,2014,R-1
KC-10s,24022000.0,2014,R-1
Power Projection Advanced Technology,48201000.0,2014,R-1
Space Protection Program (SPP),28764000.0,2014,R-1
(U)CHALK EAGLE,519140000.0,2014,R-1
Basic Research Initiatives,11171000.0,2014,R-1
Distributed Training and Exercises,3301000.0,2014,R-1
Armored Multi-Purpose Vehicle (AMPV),116298000.0,2014,R-1
Strategic Sub & Wpns Sys Supt,98057000.0,2014,R-1
AIRCRAFT CERTIFICATION,6025000.0,2014,R-1
Combat Vehicle and Automotive Technology,64589000.0,2014,R-1
KC-135s,6161000.0,2014,R-1
Conventional Munitions,8404000.0,2014,R-1
Information Systems Security Program,90231000.0,2014,R-1
Littoral Combat Ship (LCS),406389000.0,2014,R-1
Mid-tier Networking Vehicular Radio (MNVR),23341000.0,2014,R-1
Tact Air Dir Infrared CM (TADIRCM),37227000.0,2014,R-1
Operational Test & Eval Capability,16565000.000000002,2014,R-1
Aviation Safety Technologies,6877000.0,2014,R-1
Operational Test and Evaluation,75720000.0,2014,R-1
Network-Centric Collaborative Targeting,7413000.0,2014,R-1
Artillery Systems - EMD,80613000.0,2014,R-1
TRACTOR CAGE,11083000.0,2014,R-1
Test & Evaluation Support,331219000.0,2014,R-1
MANAGEMENT HQ - R&D,71659000.0,2014,R-1
Environmental Quality Technology Demonstrations,11745000.0,2014,R-1
Soldier Protection and Survival Systems,4263000.0,2014,R-1
Mission Planning Systems,62605000.0,2014,R-1
Electronic Warfare (EW) Dev,34964000.0,2014,R-1
Mine & Exp Warfare Applied Res,31326000.0,2014,R-1
Tactical AIM Missiles,15460000.0,2014,R-1
"COMMAND, CONTROL AND COMMUNICATIONS SYSTEMS",239078000.0,2014,R-1
Maritime Systems,18325000.0,2014,R-1
ASW Systems Development - MIP,8448000.0,2014,R-1
International Space Cooperative R&D,379000.0,2014,R-1
H-1 Upgrades,47123000.0,2014,R-1
SATCOM Ground Environment (SPACE),18197000.0,2014,R-1
Net Centricity,21602000.0,2014,R-1
Electronic Warfare Technology,25348000.0,2014,R-1
Space & Elec War Surv/Recon,7134000.0,2014,R-1
Information Sys Security Program,23531000.0,2014,R-1
Space and Missile Test and Evaluation Center,3696000.0,2014,R-1
Surface ASW Cmbt Sys Integr,31863000.0,2014,R-1
Warfare Support System,11725000.0,2014,R-1
Airborne SIGINT Enterprise,117110000.0,2014,R-1
"Management, Technical & Intl Supt",76585000.0,2014,R-1
Critical Infrastructure Protection (CIP),9752000.0,2014,R-1
F-22A Squadrons,328542000.0,2014,R-1
Indirect Fire Protection Capability Increment 2,79232000.0,2014,R-1
ASW Systems Development,7964000.0,2014,R-1
MILITARY ENGINEERING TECHNOLOGY,70064000.0,2014,R-1
BIOLOGICAL WARFARE DEFENSE,24537000.0,2014,R-1
Support of Operational Testing,55504000.0,2014,R-1
