bd_score,bd_reasons,recipient_name,recipient_uei,piid,award_amount,description,awarding_agency,sub_agency,naics_code,psc_code,lifecycle_phase,is_base_year,runway_years,start_date,end_date,pop_city,pop_state,is_it_services,matched_jobs,competitors_in_agency
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",THE BOEING COMPANY,SML4NN2CT556,,6466627868,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURIN",Department of Defense,Missile Defense Agency,,,Late Stage,FALSE,-0.1,12/30/2011,12/31/2025,,AL,TRUE,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,,6104259193,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATE",Department of Defense,Department of the Army,,,Late Stage,FALSE,-0.3,8/25/2015,9/25/2025,,WI,TRUE,8,BELCAN; Belcan
85,"DoD; 10.4yr Runway; $500M+; Competitors: BELCAN, Belcan; 21 Jobs",HUNTINGTON INGALLS INC,WMXDDH6HJNA5,,11067479371,CVN 80 ENGINEERING EFFORTS AND STEEL,Department of Defense,Department of the Navy,,,Late Stage,FALSE,10.4,5/23/2016,6/2/2036,,VA,FALSE,21,BELCAN; Belcan
85,"DoD; 10.4yr Runway; $500M+; Competitors: BELCAN, Belcan; 21 Jobs",HUNTINGTON INGALLS INC,WMXDDH6HJNA5,,11067479371,CVN 80 ENGINEERING EFFORTS AND STEEL,Department of Defense,Department of the Navy,,,Late Stage,FALSE,10.4,5/23/2016,6/2/2036,,VA,FALSE,21,BELCAN; Belcan
85,"DoD; 10.4yr Runway; $500M+; Competitors: BELCAN, Belcan; 21 Jobs",HUNTINGTON INGALLS INC,WMXDDH6HJNA5,,11067479371,CVN 80 ENGINEERING EFFORTS AND STEEL,Department of Defense,Department of the Navy,,,Late Stage,FALSE,10.4,5/23/2016,6/2/2036,,VA,FALSE,21,BELCAN; Belcan
83,"DoD; 7.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,10475203570,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),Department of Defense,Department of the Army,,,Late Stage,FALSE,7.7,4/30/2020,9/30/2033,,TX,FALSE,8,BELCAN; Belcan
83,"DoD; 4.0yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,,8447894781,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),Department of Defense,Department of the Navy,,,Late Stage,FALSE,4,2/15/2018,2/1/2030,,FL,FALSE,8,BELCAN; Belcan
83,"DoD; 4.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",RTX CORPORATION,QN1BCFY7JDJ5,,7498943172,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.7,3/23/2020,10/15/2030,,CT,FALSE,8,BELCAN; Belcan
83,"DoD; 7.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,10475203570,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),Department of Defense,Department of the Army,,,Late Stage,FALSE,7.7,4/30/2020,9/30/2033,,TX,FALSE,8,BELCAN; Belcan
83,"DoD; 4.0yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,,8447894781,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),Department of Defense,Department of the Navy,,,Late Stage,FALSE,4,2/15/2018,2/1/2030,,FL,FALSE,8,BELCAN; Belcan
83,"DoD; 4.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",RTX CORPORATION,QN1BCFY7JDJ5,,7498943172,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.7,3/23/2020,10/15/2030,,CT,FALSE,8,BELCAN; Belcan
83,"DoD; 7.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,10475203570,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),Department of Defense,Department of the Army,,,Late Stage,FALSE,7.7,4/30/2020,9/30/2033,,TX,FALSE,8,BELCAN; Belcan
83,"DoD; 4.0yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,,8447894781,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),Department of Defense,Department of the Navy,,,Late Stage,FALSE,4,2/15/2018,2/1/2030,,FL,FALSE,8,BELCAN; Belcan
83,"DoD; 4.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",RTX CORPORATION,QN1BCFY7JDJ5,,7498943172,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.7,3/23/2020,10/15/2030,,CT,FALSE,8,BELCAN; Belcan
80,"DoD; 4.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 5 Jobs",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,24499534829,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",Department of Defense,Department of the Navy,,,Option Year 3,FALSE,4.7,12/23/2022,9/30/2030,,TX,FALSE,5,BELCAN; Belcan
80,"DoD; 4.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 5 Jobs",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,24499534829,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",Department of Defense,Department of the Navy,,,Option Year 3,FALSE,4.7,12/23/2022,9/30/2030,,TX,FALSE,5,BELCAN; Belcan
76,"DoD; 3.1yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,10801259923,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),Department of Defense,Department of the Air Force,,,Late Stage,FALSE,3.1,9/8/2020,3/10/2029,,UT,FALSE,1,BELCAN; Belcan
76,"DoD; 3.5yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",LOCKHEED MARTIN CORP,CQWLW9XRQTH5,,7027481121,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,Department of Defense,Department of the Air Force,,,Late Stage,FALSE,3.5,8/14/2018,7/31/2029,,CA,FALSE,1,BELCAN; Belcan
76,"DoD; 3.1yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,10801259923,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),Department of Defense,Department of the Air Force,,,Late Stage,FALSE,3.1,9/8/2020,3/10/2029,,UT,FALSE,1,BELCAN; Belcan
76,"DoD; 3.5yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",LOCKHEED MARTIN CORP,CQWLW9XRQTH5,,7027481121,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,Department of Defense,Department of the Air Force,,,Late Stage,FALSE,3.5,8/14/2018,7/31/2029,,CA,FALSE,1,BELCAN; Belcan
76,"DoD; 3.1yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,10801259923,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),Department of Defense,Department of the Air Force,,,Late Stage,FALSE,3.1,9/8/2020,3/10/2029,,UT,FALSE,1,BELCAN; Belcan
76,"DoD; 3.5yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",LOCKHEED MARTIN CORP,CQWLW9XRQTH5,,7027481121,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,Department of Defense,Department of the Air Force,,,Late Stage,FALSE,3.5,8/14/2018,7/31/2029,,CA,FALSE,1,BELCAN; Belcan
75,"DoD; 5.2yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,35135514910,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.2,11/17/2017,3/31/2031,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 10.4yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,34650315216,SSN 802 AND 803 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,,,Late Stage,FALSE,10.4,2/14/2017,6/2/2036,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.9yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,24313811834,COLUMBIA CLASS DESIGN COMPLETION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.9,9/21/2017,12/31/2031,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.2yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,12269145508,LRIP 11 AAC,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.2,12/21/2015,3/31/2031,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 6.9yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,10550927664,LRIP 10 AAC,Department of Defense,Defense Contract Management Agency,,,Late Stage,FALSE,6.9,5/26/2015,12/31/2032,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 8.1yr Runway; $500M+; Competitors: BELCAN, Belcan",HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,,6959418742,CONSTRUCTION OF DDG 51 SHIPS FY23-27,Department of Defense,Department of the Navy,,,Option Year 2,FALSE,8.1,8/1/2023,2/28/2034,,MS,FALSE,0,BELCAN; Belcan
75,"DoD; 6.5yr Runway; $500M+; Competitors: BELCAN, Belcan",HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,,6703793714,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,6.5,9/27/2018,7/9/2032,,MS,FALSE,0,BELCAN; Belcan
75,"DoD; 75.0yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,6035358369,F-35 LRIP 8 AAC,Department of Defense,Department of the Navy,,,Late Stage,FALSE,75,2/28/2013,12/31/2100,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 5.7yr Runway; $500M+; Competitors: BELCAN, Belcan",THE BOEING COMPANY,WZWRLY4G3PL8,,5544117634,P-8A FRP LOT I LONG LEAD MATERIAL,Department of Defense,Defense Contract Management Agency,,,Late Stage,FALSE,5.7,8/31/2012,10/13/2031,,WA,FALSE,0,BELCAN; Belcan
75,"DoD; 4.9yr Runway; $500M+; Competitors: BELCAN, Belcan",BATH IRON WORKS CORPORATION,FREEMCLKFXE3,,5302697772,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.9,9/27/2018,12/20/2030,,ME,FALSE,0,BELCAN; Belcan
75,"DoD; 8.1yr Runway; $500M+; Competitors: BELCAN, Belcan",BATH IRON WORKS CORPORATION,FREEMCLKFXE3,,5023910450,CONSTRUCTION OF DDG 51 SHIPS FY23-27,Department of Defense,Department of the Navy,,,Option Year 2,FALSE,8.1,8/1/2023,2/28/2034,,ME,FALSE,0,BELCAN; Belcan
75,"DoD; 9.7yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,4960017500,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,,,Option Year 2,FALSE,9.7,10/13/2023,9/30/2035,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 4.1yr Runway; $500M+; Competitors: BELCAN, Belcan",RTX CORPORATION,QN1BCFY7JDJ5,,4865962076,FY21 PBL2,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.1,12/1/2020,2/28/2030,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.1yr Runway; $500M+; Competitors: BELCAN, Belcan",HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,,4627589105,LPD 30 LLTM,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.1,8/2/2018,3/1/2031,,MS,FALSE,0,BELCAN; Belcan
75,"DoD; 5.2yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,35135514910,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.2,11/17/2017,3/31/2031,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 10.4yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,34650315216,SSN 802 AND 803 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,,,Late Stage,FALSE,10.4,2/14/2017,6/2/2036,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.9yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,24313811834,COLUMBIA CLASS DESIGN COMPLETION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.9,9/21/2017,12/31/2031,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.2yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,12269145508,LRIP 11 AAC,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.2,12/21/2015,3/31/2031,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 6.9yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,10550927664,LRIP 10 AAC,Department of Defense,Defense Contract Management Agency,,,Late Stage,FALSE,6.9,5/26/2015,12/31/2032,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 8.1yr Runway; $500M+; Competitors: BELCAN, Belcan",HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,,6959418742,CONSTRUCTION OF DDG 51 SHIPS FY23-27,Department of Defense,Department of the Navy,,,Option Year 2,FALSE,8.1,8/1/2023,2/28/2034,,MS,FALSE,0,BELCAN; Belcan
75,"DoD; 6.5yr Runway; $500M+; Competitors: BELCAN, Belcan",HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,,6703793714,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,6.5,9/27/2018,7/9/2032,,MS,FALSE,0,BELCAN; Belcan
75,"DoD; 75.0yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,6035358369,F-35 LRIP 8 AAC,Department of Defense,Department of the Navy,,,Late Stage,FALSE,75,2/28/2013,12/31/2100,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 5.7yr Runway; $500M+; Competitors: BELCAN, Belcan",THE BOEING COMPANY,WZWRLY4G3PL8,,5544117634,P-8A FRP LOT I LONG LEAD MATERIAL,Department of Defense,Defense Contract Management Agency,,,Late Stage,FALSE,5.7,8/31/2012,10/13/2031,,WA,FALSE,0,BELCAN; Belcan
75,"DoD; 4.9yr Runway; $500M+; Competitors: BELCAN, Belcan",BATH IRON WORKS CORPORATION,FREEMCLKFXE3,,5302697772,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.9,9/27/2018,12/20/2030,,ME,FALSE,0,BELCAN; Belcan
75,"DoD; 8.1yr Runway; $500M+; Competitors: BELCAN, Belcan",BATH IRON WORKS CORPORATION,FREEMCLKFXE3,,5023910450,CONSTRUCTION OF DDG 51 SHIPS FY23-27,Department of Defense,Department of the Navy,,,Option Year 2,FALSE,8.1,8/1/2023,2/28/2034,,ME,FALSE,0,BELCAN; Belcan
75,"DoD; 4.1yr Runway; $500M+; Competitors: BELCAN, Belcan",RTX CORPORATION,QN1BCFY7JDJ5,,4865962076,FY21 PBL2,Department of Defense,Department of the Navy,,,Late Stage,FALSE,4.1,12/1/2020,2/28/2030,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.1yr Runway; $500M+; Competitors: BELCAN, Belcan",HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,,4627589105,LPD 30 LLTM,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.1,8/2/2018,3/1/2031,,MS,FALSE,0,BELCAN; Belcan
75,"DoD; 5.2yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,35135514910,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.2,11/17/2017,3/31/2031,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 10.4yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,34650315216,SSN 802 AND 803 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,,,Late Stage,FALSE,10.4,2/14/2017,6/2/2036,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.9yr Runway; $500M+; Competitors: BELCAN, Belcan",ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,,24313811834,COLUMBIA CLASS DESIGN COMPLETION,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.9,9/21/2017,12/31/2031,,CT,FALSE,0,BELCAN; Belcan
75,"DoD; 5.2yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,12269145508,LRIP 11 AAC,Department of Defense,Department of the Navy,,,Late Stage,FALSE,5.2,12/21/2015,3/31/2031,,TX,FALSE,0,BELCAN; Belcan
75,"DoD; 6.9yr Runway; $500M+; Competitors: BELCAN, Belcan",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,10550927664,LRIP 10 AAC,Department of Defense,Defense Contract Management Agency,,,Late Stage,FALSE,6.9,5/26/2015,12/31/2032,,TX,FALSE,0,BELCAN; Belcan
