source,keyword,notice_id,title,agency,recipient,amount,posted_date,response_deadline,type,url
USAspending,cybersecurity,140D0420F0335,"CYBERSECURITY SUPPORT SERVICES (CSS) FOR THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS), OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO)",Department of the Interior,CENTERPOINT LLC,126584047.73,2020-06-22,2025-12-21,Award,
USAspending,cybersecurity,W91QVN20F0157,"CYBERSECURITY, NETWORK OPERATIONS&MAINTENANCE (O&M) OF INFORMATION TECHNOLOGY SUPPORT FOR USACISA-P",Department of Defense,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,115155033.0,2020-01-24,2025-07-31,Award,
USAspending,cybersecurity,N6523623F3039,"DEFENSE HEALTH AGENCY, CYBERSECURITY ASSESSMENT AND AUTHORIZATION SUPPORT",Department of Defense,"KBR WYLE SERVICES, LLC",104768196.96,2023-09-28,2026-09-27,Award,
USAspending,cybersecurity,89303020FIM000051,"CBOSS BPA TASK ORDER FOR IM-30 CYBERSECURITY STRATEGY,POLICY, OPERATIONS, ENGINEERING, AND PROGRAM MANAGEMENT FOR THE U.S. DEPARTMENT OF ENERGY (DOE) OFFICE OF CHIEF INFORMATION OFFICER (OCIO/IM-30)",Department of Energy,ACCENTURE FEDERAL SERVICES LLC,98589403.81,2020-04-29,2024-04-28,Award,
USAspending,cybersecurity,N0003917F3010,"IGF::OT::IGF PROGRAM MANAGEMENT, COST ESTIMATING, CONTRACT MANAGEMENT, ACQUISITION SUPPORT, CYBERSECURITY AND ANALYSIS CAPABILITIES SUPPORT SERVICES FOR PMW/A 170 PROGRAM EXECUTIVE OFFICER (PEO) COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, AND INTELLIGENCE (C4I), SPAWAR AND FLEET READINESS DIRECTORATE (FRD).",Department of Defense,BOOZ ALLEN HAMILTON INC,90867615.18,2017-08-31,2022-08-30,Award,
USAspending,cybersecurity,1333LB21F00000320,ENTERPRISE CYBERSECURITY SUPPORT SERVICES,Department of Commerce,IRON VINE SECURITY LLC,89756387.8,2021-09-28,2026-03-27,Award,
USAspending,cybersecurity,N0017821F3010,"CYBERSECURITY, RISK MANAGEMENT, ASSESSMENT, AND AUTHORIZATION, IA OVERSIGHT, CONTINUOUS MONITORING, TECH. SUPPORT AND DOC. SUPPORT TO THE NAVY FOR RDT&E, ANALYSIS, SYS. ENG., INTEGRATION AND CERTIFICATION OF NAVAL WARFARE SYSTEMS AND FLEET SUPPORT.",Department of Defense,SIMVENTIONS INC,84592463.94,2021-07-01,2026-06-30,Award,
USAspending,cybersecurity,N0003919F3006,"THE PROGRAM EXECUTIVE OFFICER FOR COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, AND INTELLIGENCE (PEO C4I), PMW 790, SHORE AND EXPEDITIONARY INTEGRATION PROGRAM OFFICE IS ACQUIRING PROGRAM MANAGEMENT, ACQUISITION MANAGEMENT/CONTRACTS MANAGEMENT, SYSTEM ENGINEERING, CYBERSECURITY, AND FRONT OFFICE SUPPORT SERVICES FOR THE ACQUISITION, LIFE-CYCLE MANAGEMENT, PRODUCTION, ENGINEERING, DELIVERY AND INTEGRATION OF MULTIPLE SHORE AND EXPEDITIONARY C4I SYSTEMS.",Department of Defense,BOOZ ALLEN HAMILTON INC,83365341.0,2019-06-27,2024-06-30,Award,
USAspending,cybersecurity,N6600119F3503,CYBERSECURITY (CS) / TECHNICAL AUTHORITY (CSTA) TECHNICAL&ENGINEERING SERVICES,Department of Defense,BOOZ ALLEN HAMILTON INC,81916538.45,2019-06-19,2024-09-30,Award,
USAspending,cybersecurity,47QFPA21F0106,DOD DHRA DMDC CYBERSECURITY SUPPORT SERVICES,General Services Administration,"NETCENTRIC TECHNOLOGY, LLC",78029790.29,2021-09-27,2026-09-26,Award,
USAspending,cybersecurity,H9222217F0085,IGF::CT::IGF CYBERSECURITY ENTERPRISE LABOR,Department of Defense,"ALLIANTCORPS, LLC",77942304.13,2017-07-01,2023-12-31,Award,
USAspending,cybersecurity,FA807519FA022,"CYBERSECURITY SUPPORT FOR COMMAND AND CONTROL (C2) AND NETWORKED SYSTEMS COMMANDER, US PACIFIC FLEET (COMPACFLT) AND PACIFIC MISSILE RANGE FACILITY (PMRF)",Department of Defense,GEORGIA TECH APPLIED RESEARCH CORP,77095385.62,2019-05-09,2023-11-30,Award,
USAspending,cybersecurity,N0016422F3001,"REQUIREMENT FOR A FIVE (5) YEAR SOFTWARE DEVELOPMENT AND CYBER ENGINEERING SUPPORT FOR EXPEDITIONARY SYSTEMS AND PRODUCT LINES IN DIRECT SUPPORT OF THE COMMAND, CONTROL, COMMUNICATIONS, INTELLIGENCE, (C3I) AND CYBERSECURITY DIVISION (JXY).",Department of Defense,"TRISTAR, INC.",76976010.6,2021-11-30,2026-11-29,Award,
USAspending,cybersecurity,89303024FIM000144,"CBOSS BPA TASK ORDER FOR IM-30 CYBERSECURITY STRATEGY, POLICY, OPERATIONS, ENGINEERING, AND PROGRAM MANAGEMENT FOR THE U.S. DEPARTMENT OF ENERGY (DOE) OFFICE OF CHIEF INFORMATION OFFICER (OCIO/IM-30)",Department of Energy,ACCENTURE FEDERAL SERVICES LLC,72346182.36,2024-03-29,2026-04-28,Award,
USAspending,cybersecurity,HC102819F0429,CYBERSECURITY NETWORK OPERATIONS (CYBERNETOPS) DESIGN DEPLOY SUSTAIN (CNODDS),Department of Defense,"AMAR HEALTH IT, LLC",72169887.27,2019-05-15,2022-10-31,Award,
Tango,cybersecurity,,RFI -AMHE Enterprise Support & OT/Cybersecurity Serviceability,,,0.0,,2025-04-25T17:00:00+00:00,Opportunity,
Tango,cybersecurity,,Satellite Bus Request for Information,,,0.0,,2025-05-02T17:59:00+00:00,Opportunity,
Tango,cybersecurity,,"SOLE SOURCE - Guided Missile Frigate (FFG(X)) Program Office (PMS 515) Engineering, Cost Estimating, Cybersecurity, and Acquisition Support",,,0.0,,2025-04-18T18:00:00+00:00,Opportunity,
Tango,cybersecurity,,CBP Request for Information- HRM Relocation Resources Website/App Development,,,0.0,,2025-04-22T19:00:00+00:00,Opportunity,
Tango,cybersecurity,,"RFI SOURCES SOUGHT SYNOPSIS EUCOM FAAD C2 & AMDWS Field Service Representative (FSR), Engineering Support, Technical Support, and Maintenance Services for Eastern European NATO nations",,,0.0,,2025-04-25T16:00:00+00:00,Opportunity,
Tango,cybersecurity,,Foreign Military Sales – Cybersecurity Professionals Training Capability Assessment,,,0.0,,2026-02-27T19:00:00+00:00,Opportunity,
Tango,cybersecurity,,Aruba Federal maintenance and support,,,0.0,,2025-05-08T21:00:00+00:00,Opportunity,
Tango,cybersecurity,,"Contract Period of Performance (PoP) Extension and Options for Additional Modified Ballistic Re-Entry Vehicle (MBRV)-11 Development, Production, Delivery, and Launch Operations",,,0.0,,2025-04-28T21:00:00+00:00,Opportunity,
Tango,cybersecurity,,Deployable Communications Package (DCP),,,0.0,,2025-05-01T16:00:00+00:00,Opportunity,
Tango,cybersecurity,,Justification for Exception to Fair Opportunity (JEFO) - Cybersecurity Operations Support Services,,,0.0,,,Opportunity,
Tango,cybersecurity,,B-21 LRS FUELS ADMIN/LAB AND REFUELER TRUCK YARD,,,0.0,,2025-04-25T16:00:00+00:00,Opportunity,
Tango,cybersecurity,,Amendment 2 - Secure Video Teleconferencing,,,0.0,,2025-05-02T06:00:00+00:00,Opportunity,
Tango,cybersecurity,,"Design, Develop, Manufacture Advanced Secure Telemetry Units",,,0.0,,2025-03-22T00:00:00+00:00,Opportunity,
Tango,cybersecurity,,"Construction of Area Maintenance Support Activity (AMSA) and Vehicle Maintenance Shop (VMS) at Defense Logistics Center Richmond (DSCR), VA",,,0.0,,2025-04-18T03:59:00+00:00,Opportunity,
Tango,cybersecurity,,C3E Request for Information,,,0.0,,2025-04-18T21:00:00+00:00,Opportunity,
USAspending,artificial intelligence,W911QX20C0023,RESEARCH AND DEVELOPMENT EFFORT TO DESIGN AND DEVELOP PROTOTYPES TO ARTIFICIAL INTELLIGENCE/MACHINE LEARNING ALGORITHMS.,Department of Defense,"ECS FEDERAL, LLC",118579059.35,2020-04-23,2026-03-11,Award,
USAspending,artificial intelligence,140D0421C0002,"INFORMATION TECHNOLOGY (IT), ARTIFICIAL INTELLIGENCE (AI), AND MACHINE LEARNING (ML) PROGRAMMATIC SUPPORT SERVICES FOR THE DEPARTMENT OF DEFENSE CHIEF INFORMATION OFFICER (DOD CIO) JOINT ARTIFICIAL INTELLIGENCE CENTER (JAIC)",Department of the Interior,TUKNIK GOVERNMENT SERVICES LLC,106725460.68,2020-12-23,2025-03-10,Award,
USAspending,artificial intelligence,W911QX20C0041,PALANTIR SHALL PERFORM TESTING AN END-TO-END APPROACH TO ARTIFICIAL INTELLIGENCE FOR DEFENSE USE CASES.,Department of Defense,PALANTIR USG INC,91176843.61,2020-09-29,2022-11-30,Award,
USAspending,artificial intelligence,36C10B20F0417,SCIENCE LOGIC ARTIFICIAL INTELLIGENCE OPERATIONS (AIOPS) SOLUTION,Department of Veterans Affairs,SWISH DATA CORPORATION,47795668.04,2020-09-24,2025-09-23,Award,
USAspending,artificial intelligence,W911QX25C0002,"CONTRACT TO RESEARCH, DEVELOP, MODIFY, DEPLOY, OPERATE, AND MAINTAIN ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) ALGORITHMS AND MODELS.",Department of Defense,"ECS FEDERAL, LLC",46636622.67,2025-01-30,2026-09-24,Award,
USAspending,artificial intelligence,1333BJ20F00280017,IMPROVE PATENT SEARCH WITH ARTIFICIAL INTELLIGENCE CONTRACTOR SUPPORT FOR RFI PROTOTYPE POP&FPOP: 6 MONTHS FROM DOA. EPMS ID 102001,Department of Commerce,ACCENTURE FEDERAL SERVICES LLC,44076744.6,2019-10-31,2023-04-30,Award,
USAspending,artificial intelligence,W911QX22C0029,ADVANCED TEST AND EVALUATION (T&E) FOR THE EXPONENTIAL PACE OF ARTIFICIAL INTELLIGENCE / MACHINE LEARNING (AI/ML) PROGRESS.,Department of Defense,"MORSECORP, INC",41434075.13,2022-08-26,2026-03-31,Award,
USAspending,artificial intelligence,W911NF19C0101,NOVEL ARTIFICIAL INTELLIGENCE (AI)/MACHINE LEARNING (ML) TEST&EVALUATION(T&E) AND ENSEMBLING,Department of Defense,"MORSECORP, INC",29932547.63,2019-09-30,2022-09-30,Award,
USAspending,artificial intelligence,140D0419C0047,"INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAMMATIC SUPPORT SERVICES",Department of the Interior,TUKNIK GOVERNMENT SERVICES LLC,21596322.25,2019-03-22,2022-03-21,Award,
USAspending,artificial intelligence,1333BJ24C00280005,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR. THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,Department of Commerce,ACCENTURE FEDERAL SERVICES LLC,18528267.83,2024-07-01,2026-03-31,Award,
USAspending,artificial intelligence,75FCMC23F0001,ARTIFICIAL INTELLIGENCE THROUGH MACHINE LEARNED MODELING (AIMM),Department of Health and Human Services,INDEX ANALYTICS LLC,15932044.68,2023-09-28,2026-09-27,Award,
USAspending,artificial intelligence,FA865021C6271,ARTIFICIAL INTELLIGENCE ENHANCED WORKFLOWS &PROCESSES -SBIR3,Department of Defense,MILE TWO LLC,14788874.0,2021-01-15,2026-01-15,Award,
USAspending,artificial intelligence,HR001124C0310,ARTIFICIAL INTELLIGENCE REINFORCEMENTS (AIR),Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,13852711.0,2024-02-07,2028-02-06,Award,
USAspending,artificial intelligence,1333BJ23C00280006,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR.  THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,Department of Commerce,ACCENTURE FEDERAL SERVICES LLC,13293563.31,2023-05-01,2024-06-30,Award,
USAspending,artificial intelligence,2032H520F00810,"EMERGING COMPLIANCE ISSUES: DEMAND FOR DATA AND ANALYTICAL SERVICES CONTINUES TO INCREASE ACROSS ALL IRS BUSINESS UNITS, INCLUDING REQUESTS FOR NEW DATA SOURCES THAT ARE NEEDED FOR ANALYTICS AND ARTIFICIAL INTELLIGENCE.",Department of the Treasury,"ASR ANALYTICS, LLC",12874960.1,2020-09-30,2026-03-28,Award,
USAspending,artificial intelligence,W519TC25F0241,"12MONTH BASE PERIOD 12MONTH OP. EST ACCELERATING DATA AND ARTIFICIAL INTELLIGENCE(ADA)INCIDENT RESPONSE(IR)TEAMS SUPPORT DATA DRIVEN DECISION MAKING TO SCALE DATA, ANALYTICS, AND AI AT THE CHIEF DIGITAL AND ARTIFICIAL INTELLIGENCE (AI) OFFICE (CDAO)",Department of Defense,"BYTECUBED, LLC",12680126.0,2025-06-03,2027-06-02,Award,
USAspending,artificial intelligence,36C10X22C0043,ARTIFICIAL INTELLIGENCE MACHINES TO ASSIST IN THE DETECTION OF CANCER IN COLONOSCOPY PROCEDURES.,Department of Veterans Affairs,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",12379500.0,2022-09-19,2023-09-18,Award,
USAspending,artificial intelligence,HQ003425CE012,"INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAMMATIC SUPPORT SERVICES",Department of Defense,"KONIAG IT SYSTEMS, LLC",12022390.38,2025-03-11,2025-09-10,Award,
USAspending,artificial intelligence,W15QKN24C0004,QUANTUM & ARTIFICIAL INTELLIGENCE TECHNOLOGIES FOR NEXT GENERATION ARMAMENT SYSTEMS,Department of Defense,THE TRUSTEES OF THE STEVENS INSTITUTE OF TECHNOLOGY,10484496.0,2023-10-23,2026-03-22,Award,
USAspending,artificial intelligence,W56KGU25C0004,DEVELOPMENT OF ADVANCED DATA-DRIVEN COGNITIVE DECISION AIDS AND THE ASSOCIATED TOOLS/INFRASTRUCTURE TO DEMONSTRATE THESE AIDS. ARTIFICIAL INTELLIGENCE BASED SYSTEM FRAMEWORK AND ENABLING TOOLS TO SUPPORT THE IMPLEMENTATION OF MACHINE LEARNING (ML).,Department of Defense,CAMGIAN CORPORATION,10312575.0,2025-02-14,2026-08-13,Award,
USAspending,artificial intelligence,FA865021F1152,ARTIFICIAL INTELLIGENCE & WORKFORCE DEVELOPMENT PLATFORM (AI-WFD),Department of Defense,NIMBIS SERVICES INC,9944132.0,2021-05-28,2025-04-15,Award,
USAspending,artificial intelligence,FA300224C0011,"SOFTWARE LICENSES AND SUPPORT FOR THE USER PORTAL, SIMULATION ENVIRONMENT, ARTIFICIAL INTELLIGENCE FLIGHT INSTRUCTOR, LEARNING MANAGEMENT SYSTEM (LMS), AND ON-PREMISES NETWORK AND DATA ARCHITECTURE UTILIZING STATE OF THE ART COMMERCIAL SOLUTIONS.",Department of Defense,IPERFORMX LLC,9678852.0,2024-08-01,2025-11-30,Award,
USAspending,artificial intelligence,FA865023C7318,FRAMEWORK FOR ARTIFICIAL INTELLIGENCE TRUSTWORTHINESS IN HUMAN-MACHINE DELEGATION (FAITH-MD),Department of Defense,"CACI, INC. - FEDERAL",9549246.0,2023-04-13,2026-12-14,Award,
USAspending,artificial intelligence,FA830725CB031,"MIXMODE SBIR PHASE III - ARTIFICIAL INTELLIGENCE FOR NETWORK VISIBILITY AND REAL-TIME THREAT DETECTION FOR PROTECTION OF DATA, NETWORKS, NET-CENTRIC CAPABILITIES, AND OTHER DESIGNATED SYSTEMS RESPONDING TO ATTACKS AGAINST FRIENDLY NETWORKS.",Department of Defense,MIXMODE INC,9511740.0,2025-09-26,2026-09-25,Award,
USAspending,artificial intelligence,FA865019C6036,"A2I2: ARCHITECTURE, ALGORITHMS, AND INNOVATIVE INTERFACES FOR DO IT YOURSELF ARTIFICIAL INTELLIGENCE",Department of Defense,KITWARE INC,9495868.0,2019-01-04,2024-07-05,Award,
Tango,artificial intelligence,,Broad Agency Announcement (BAA) Naval Air Warfare Center Aircraft Division (NAWCAD) Webster Outlying Field (WOLF) Airborne Systems Integration (ASI) Division,,,0.0,,2026-04-09T20:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Securing Artificial Intelligence for Battlefield Effective Robustness (SABER),,,0.0,,2025-06-03T17:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Advancing Artificial Intelligence Multiple Award Contract (AAMAC),,,0.0,,2024-10-09T16:00:00+00:00,Opportunity,
Tango,artificial intelligence,,STELLER SEA LION ARTIFICIAL INTELLIGENCE IMAGE PROCESSING AND COUNTING,,,0.0,,2025-05-08T21:30:00+00:00,Opportunity,
Tango,artificial intelligence,,"PEO IEW&S, Project Linchpin, PEO STRI, & STE CFT - AI Modeling and Simulation (M&S) Capabilities - Request for Information (RFI)",,,0.0,,2024-11-09T04:59:00+00:00,Opportunity,
Tango,artificial intelligence,,"ICITAP PFE25M6 ARTIFICIAL INTELLIGENCE ROUND TABLE CONFERENCE & LODGING– June 2025 - Opatija, Croatia",,,0.0,,2025-04-25T10:00:00+00:00,Opportunity,
Tango,artificial intelligence,,"Circuit Card Assemblies, Data Converter Cabinets, and Single Board Computer components in support of the MK 99 Fire Control System",,,0.0,,2025-05-15T21:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Construction of WPAFB AIMR-2C Addition (Bldg. 653),,,0.0,,2025-01-10T18:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Artificial Intelligence Integration Center (AI2C) - Broad Agency Announcement (BAA),,,0.0,,2026-07-16T17:00:00+00:00,Opportunity,
Tango,artificial intelligence,,RFI - Advanced Light Source (ALS) - Lawrence Berkeley National Laboratory - Web Based Software Application Development,,,0.0,,2025-05-15T19:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Advanced Artificial Intelligence (AI) Training,,,0.0,,2025-10-17T21:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Agentic Artificial Intelligence (AI) for Healthcare,,,0.0,,2024-11-29T21:00:00+00:00,Opportunity,
Tango,artificial intelligence,,"Industry Day Announcement: Artificial Intelligence, Smart Databases & Emerging Technology",,,0.0,,2025-11-21T21:00:00+00:00,Opportunity,
Tango,artificial intelligence,,RFI - DOJ Microsoft EA Alternatives & M3/M5 License Replacements,,,0.0,,2025-04-25T16:00:00+00:00,Opportunity,
Tango,artificial intelligence,,Health Care Delivery IT Solutions (MHS GENESIS) Documentation,,,0.0,,2025-04-28T21:00:00+00:00,Opportunity,
USAspending,machine learning,W911QX20C0023,RESEARCH AND DEVELOPMENT EFFORT TO DESIGN AND DEVELOP PROTOTYPES TO ARTIFICIAL INTELLIGENCE/MACHINE LEARNING ALGORITHMS.,Department of Defense,"ECS FEDERAL, LLC",118579059.35,2020-04-23,2026-03-11,Award,
USAspending,machine learning,140D0421C0002,"INFORMATION TECHNOLOGY (IT), ARTIFICIAL INTELLIGENCE (AI), AND MACHINE LEARNING (ML) PROGRAMMATIC SUPPORT SERVICES FOR THE DEPARTMENT OF DEFENSE CHIEF INFORMATION OFFICER (DOD CIO) JOINT ARTIFICIAL INTELLIGENCE CENTER (JAIC)",Department of the Interior,TUKNIK GOVERNMENT SERVICES LLC,106725460.68,2020-12-23,2025-03-10,Award,
USAspending,machine learning,W911QX20C0051,"THE CONTRACTOR SHALL PERFORM RESEARCH, DEVELOPMENT, DESIGN, CONFIGURATION, IMPLEMENTATION, AND TESTING OF MACHINE LEARNING ALGORITHM IN ACCORDANCE WITH THE TASKS OUTLINED IN THEIR PROPOSAL.",Department of Defense,"SCALE AI, INC.",105550316.38,2020-09-29,2024-09-14,Award,
USAspending,machine learning,W911QX17C0045,"IGF::OT::IGF DEVELOPMENT, DESIGN, AND IMPLEMENTATION SERVICES FOR PROTOTYPE MACHINE LEARNING MODELS UNDER BROAD AGENGY ANNOUNCEMENT (BAA) SOLICITATION NUMBER W911NF-17-S-0003",Department of Defense,"ECS FEDERAL, LLC",89793874.87,2017-09-29,2020-03-27,Award,
USAspending,machine learning,75A50119C00033,PORTABLE WOUND HEALING POTENTIAL IN MASS CASUALTY AND CONVENTIONAL BURN INJURIES OPTICAL IMAGING DEVICE AND MACHINE LEARNING ALGORITHM TO CLASSIFY BURN,Department of Health and Human Services,"SPECTRAL MD, INC.",74984180.0,2019-07-01,2023-09-30,Award,
USAspending,machine learning,W911QX25C0002,"CONTRACT TO RESEARCH, DEVELOP, MODIFY, DEPLOY, OPERATE, AND MAINTAIN ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) ALGORITHMS AND MODELS.",Department of Defense,"ECS FEDERAL, LLC",46636622.67,2025-01-30,2026-09-24,Award,
USAspending,machine learning,W911QX22C0029,ADVANCED TEST AND EVALUATION (T&E) FOR THE EXPONENTIAL PACE OF ARTIFICIAL INTELLIGENCE / MACHINE LEARNING (AI/ML) PROGRESS.,Department of Defense,"MORSECORP, INC",41434075.13,2022-08-26,2026-03-31,Award,
USAspending,machine learning,W911NF19C0101,NOVEL ARTIFICIAL INTELLIGENCE (AI)/MACHINE LEARNING (ML) TEST&EVALUATION(T&E) AND ENSEMBLING,Department of Defense,"MORSECORP, INC",29932547.63,2019-09-30,2022-09-30,Award,
USAspending,machine learning,140D0419C0047,"INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAMMATIC SUPPORT SERVICES",Department of the Interior,TUKNIK GOVERNMENT SERVICES LLC,21596322.25,2019-03-22,2022-03-21,Award,
USAspending,machine learning,89243320FFE400258,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML)PROJECT,Department of Energy,"GOLDBELT OPERATIONS SUPPORT SERVICES, LLC",16822170.0,2020-09-17,2026-01-31,Award,
