acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
E-2D,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),N0001913C9999,NORTHROP GRUMMAN SYSTEMS CORPORATION,5377910787,5369740355,Department of the Navy,Department of Defense,,MELBOURNE,FLORIDA,,,,336411,,1510,5/13/2013,12/31/2026,84,HOT TARGET,DEEP,4968,,,S4_EXPIRING,DISCOVERY
TAIWAN,TAIWAN F-16 A/B BLOCK 20 RETROFIT PROGRAM,FA861512C6016,LOCKHEED MARTIN CORPORATION,2881255653,2882490112,Department of the Air Force,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,9/28/2012,12/31/2026,84,HOT TARGET,DEEP,1147,,,S4_EXPIRING,DISCOVERY
CH-53K,CH-53K LRIP LOT 1 LONG LEAD ITEMS,N0001916C0048,SIKORSKY AIRCRAFT CORPORATION,2664752025,2657312746,Department of the Navy,Department of Defense,,STRATFORD,CONNECTICUT,,,,336411,,1520,4/18/2016,12/31/2026,84,HOT TARGET,PRIME ONLY,2307,,,S4_EXPIRING,DISCOVERY
CONTRACT,"CONTRACT IS FOR THE PROCUREMENT OF TUBE-LAUNCHED OPTICALLYTRACKED WIRELESS-GUIDED MISSILES FOR THE UNITED STATES ARMY, UNITED STATES MARINE CORPS AND FOREIGN MILITARY SALES CUSTOMERS.",W31P4Q17C0194,RAYTHEON COMPANY,1953340704,1360500678,Department of the Army,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,9/30/2017,8/31/2026,84,HOT TARGET,PRIME ONLY,1491,,,S4_EXPIRING,DISCOVERY
THIS,"IGF: THIS REQUIREMENT IS FOR THE PROCUREMENT OF 65 MLRS HIMARS LAUNCHER IN SUPPORT OF THE US ARMY, USMC AND FMS CUSTOMERS.",W31P4Q19C0101,LOCKHEED MARTIN CORPORATION,1602584448,824834514.5,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,1425,7/15/2019,5/31/2026,84,HOT TARGET,DEEP,1944,,,S4_EXPIRING,DISCOVERY
FY20,FY20 TRIDENT PRODUCTION AND DEPLOYED SYSTEMS SUPPORT,N0003019C0100,Lockheed Martin Corporation,1285056862,1244181119,Department of the Navy,Department of Defense,,TITUSVILLE,FLORIDA,,,,336414,,1420,8/30/2019,9/30/2026,84,HOT TARGET,DEEP,1040,,,S4_EXPIRING,DISCOVERY
AWARD,AWARD FOR UNIFIED ENTERPRISE RESOURCE PLANNING CAPABILITY SUPPORT SERVICES,W52P1J20C0005,ACCENTURE FEDERAL SERVICES LLC,1196054663,820300745.7,Department of the Army,Department of Defense,,ARLINGTON,VIRGINIA,,,,541512,,D399,12/10/2019,4/30/2026,84,HOT TARGET,PRIME ONLY,574,,,S4_EXPIRING,"DISCOVERY,MASTER"
JOINT,JOINT AIR TO SURFACE STANDOFF MISSILE LOT 17 AND 18.,FA868220C0001,LOCKHEED MARTIN CORPORATION,827079566.9,878755915.8,Department of the Air Force,Department of Defense,,ORLANDO,FLORIDA,,,,336414,,1425,3/31/2020,4/30/2026,84,HOT TARGET,DEEP,1378,,,S4_EXPIRING,DISCOVERY
ARMY,ARMY - TRAINING ROUNDS,N0003022C1025,LOCKHEED MARTIN CORP,772572610,1937728114,Department of the Navy,Department of Defense,,LITTLETON,COLORADO,,,,541715,,AC22,11/10/2021,9/30/2026,84,HOT TARGET,DEEP,673,,,S4_EXPIRING,DISCOVERY
COMBAT,COMBAT MISSION SYSTEMS SUPPORT,FA881919C0002,"L3Harris Technologies, Inc.",476034682.5,633157267,Department of the Air Force,Department of Defense,,COLORADO SPRINGS,COLORADO,,,,541330,,J010,1/24/2019,6/30/2026,84,HOT TARGET,PRIME ONLY,532,,,S4_EXPIRING,DISCOVERY
AIM-9X,AIM-9X BLOCK II TACTICAL MISSILE PARTS,N0001915C0092,RAYTHEON COMPANY,218537765.4,869146265.4,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,3/26/2015,3/2/2026,84,HOT TARGET,PRIME ONLY,1106,,,S4_EXPIRING,DISCOVERY
ACAT,"ACAT I, C-130J FIVE YEAR ORDERING CONTRACT",FA862518F7028,LOCKHEED MARTIN CORP,21147631.66,1949541131,Department of the Air Force,Department of Defense,,MARIETTA,GEORGIA,,,,336411,,1510,7/18/2018,7/31/2026,84,HOT TARGET,DEEP,640,,,S4_EXPIRING,DISCOVERY
DCGS,"IGF::CL::IGF SYSTEMS ENGINEERING, INTEGRATION AND PROGRAM MANAGEMENT SUPPORT FOR THE ICBM SYSTEMS DIRECTORATE.",FA821413C0001,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,2562342705,2132399952,Department of the Air Force,Department of Defense,Secret,ROCKVILLE,MARYLAND,TS/SCI,“AF DCGS”,,541330,Engineering Services,L014,8/1/2013,7/31/2027,83,HOT TARGET,DEEP,1634,,,S4_EXPIRING,"DISCOVERY,MASTER,TANGO"
,IGF::OT::IGF,47QFCA19F0006,"CACI, INC. - FEDERAL",1283197752,921461749.1,Federal Acquisition Service,General Services Administration,,FORT BELVOIR,VIRGINIA,,,IT Services,541512,,D399,5/20/2019,5/19/2026,83,HOT TARGET,DEEP,1062,,WARM,S4_EXPIRING,"DISCOVERY,GREENFIELD"
ADVANCED,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOTS 34-36,FA867521C0034,RAYTHEON COMPANY,908891651.6,2177484016,Department of the Air Force,Department of Defense,,TUCSON,ARIZONA,,,,541330,,1410,3/26/2021,6/30/2027,83,HOT TARGET,PRIME ONLY,4287,,,S4_EXPIRING,DISCOVERY
ENGINEERING,ENGINEERING SERVICES (USN),N0002417C6259,LOCKHEED MARTIN CORPORATION,1525597640,1054196287,Department of the Navy,Department of Defense,,MANASSAS,VIRGINIA,,,,334511,,K019,6/22/2017,10/11/2028,82,HOT TARGET,DEEP,1604,ACTALENT; AEROTEK,,S2_STAFFING_FIRM,DISCOVERY
PRESIDENTIAL,IGF::OT::IGF PRESIDENTIAL HELICOPTER REPLACEMENT PROGRAM (VXX) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) PHASE OF THE PROGRAM. THE CONTRACT ALSO INCLUDES NOT-TO-EXCEED OPTION PRICES FOR LOW RATE INITIAL PRODUCTION (LRIP) AND FULL RATE PRODUCTION (FRP).,N0001914C0050,SIKORSKY AIRCRAFT CORPORATION,3017897050,3010046249,Department of the Navy,Department of Defense,,STRATFORD,CONNECTICUT,,,,336411,,AC14,5/7/2014,12/31/2026,81,HOT TARGET,PRIME ONLY,995,,,S4_EXPIRING,DISCOVERY
LOT,LOT 40 F/A-18E AND EA-18G AIRCRAFT WITH AEA KITS,N0001917C0003,THE BOEING COMPANY,2448777201,2444992704,Department of the Navy,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,1510,2/27/2017,7/31/2026,81,HOT TARGET,DEEP,324,,,S4_EXPIRING,DISCOVERY
KUWAIT,28 KUWAIT KAF-18E/F AIRCRAFT AND 56 COMMERCIAL PXMC CARDS,N0001918C1060,THE BOEING COMPANY,1518660771,1518660771,Department of the Navy,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,1510,6/27/2018,6/30/2026,81,HOT TARGET,DEEP,127,,,S4_EXPIRING,DISCOVERY
AIM-9X,AIM-9X LOT 21-23 PRODUCTION,N0001921C0723,RAYTHEON COMPANY,1420048677,1368878887,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,6/30/2021,8/31/2026,81,HOT TARGET,PRIME ONLY,580,,,S4_EXPIRING,DISCOVERY
FY21,FY21 TRIDENT PRODUCTION AND DEPLOYED SYSTEMS SUPPORT,N0003020C0100,Lockheed Martin Corporation,1364477509,1223741781,Department of the Navy,Department of Defense,,TITUSVILLE,FLORIDA,,,,336414,,1420,8/7/2020,9/30/2026,81,HOT TARGET,DEEP,751,,,S4_EXPIRING,DISCOVERY
IGFMSOC,IGF::CT::IGFMSOC FPDS-NG MISSION SYSTEMS OPERATIONS CONTRACT (MSOC),80JSC017C0006,"KBR WYLE SERVICES, LLC",1114264536,1039930238,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,HOUSTON,TEXAS,,,,541712,,R425,1/2/2018,3/31/2026,81,HOT TARGET,PRIME ONLY,1440,,,S4_EXPIRING,DISCOVERY
F15EX,F15EX LOT 2 LONG LEAD-ITEMS,FA863421F0023,THE BOEING COMPANY,1111687378,1111663124,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,1510,7/28/2021,7/31/2026,81,HOT TARGET,DEEP,337,,,S4_EXPIRING,DISCOVERY
POLAND,POLAND FMS THE INTEGRATED AIR AND MISSILE DEFENSE (IAMD) BATTLE COMMAND SYSTEM (IBCS).,W31P4Q19C0003,NORTHROP GRUMMAN SYSTEMS CORPORATION,881790266.6,879779236.4,Department of the Army,Department of Defense,,HUNTSVILLE,ALABAMA,,,,336414,,1338,3/13/2019,12/15/2026,81,HOT TARGET,DEEP,3780,,,S4_EXPIRING,DISCOVERY
INTEGRATED,INTEGRATED BATTLE COMMAND SYSTEM (IBCS) HARDWARE LOW RATE INITIAL PRODUCTION/FULL RATE PRODUCTION (LRIP/FRP).,W31P4Q22F0031,NORTHROP GRUMMAN SYSTEMS CORPORATION,870077115.6,756572269.3,Department of the Army,Department of Defense,,HUNTSVILLE,ALABAMA,,,,336414,,5840,12/23/2021,9/30/2026,81,HOT TARGET,DEEP,5082,,,S4_EXPIRING,DISCOVERY
SLOVAKIA,SLOVAKIA F-16 PRODUCTION BUY,FA861519C6053,LOCKHEED MARTIN CORPORATION,812854790,812596430,Department of the Air Force,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1680,1/31/2024,9/30/2026,81,HOT TARGET,DEEP,1122,,,S4_EXPIRING,DISCOVERY
PURPOSE,"THE PURPOSE OF THIS AWARD IS FOR THE C5ISR, EXERCISES, OPERATIONS, AND INFORMATION SERVICES (CEOIS) TASK ORDER IS TO PROVIDE NEAR REAL-TIME SITUATIONAL AWARENESS AND DECISION SUPPORT TO THE DOD COMBATANT COMMANDS (CCMDS)",47QFCA21F0042,PARSONS GOVERNMENT SERVICES INC.,618535428,507450578.9,Federal Acquisition Service,General Services Administration,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541330,,R499,4/21/2021,4/20/2026,81,HOT TARGET,PRIME ONLY,1648,,,S4_EXPIRING,DISCOVERY
FY17,FY17 SM-6 LONG LEAD MATERIAL,N0002417C5409,RAYTHEON COMPANY,582240830,563794399,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,3/31/2017,12/31/2026,81,HOT TARGET,PRIME ONLY,1003,,,S4_EXPIRING,DISCOVERY
SMALL,"SMALL DIAMETER BOMB II EMD, PRODUCTION AND SUSTAINMENT",FA867210C0002,RAYTHEON COMPANY,562481393.6,558521154,Department of the Air Force,Department of Defense,,TUCSON,ARIZONA,,,,332993,,1325,8/9/2010,10/30/2026,81,HOT TARGET,PRIME ONLY,1258,,,S4_EXPIRING,DISCOVERY
MOD,MK 41 MOD 36 VLS MODULE MECH,N0002420C5310,LOCKHEED MARTIN CORPORATION,550055006.3,550055006.3,Department of the Navy,Department of Defense,,MIDDLE RIVER,MARYLAND,,,,336415,,1440,2/13/2020,7/31/2026,81,HOT TARGET,DEEP,834,,,S4_EXPIRING,DISCOVERY
IFG,IFG::OT:IFG  CIWS DESIGN AGENT,N0002417C5405,RAYTHEON COMPANY,443795318,285773939,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,541330,,K010,1/3/2017,3/31/2026,81,HOT TARGET,PRIME ONLY,532,,,S4_EXPIRING,DISCOVERY
JOINT,JOINT AIR TO SURFACE STANDOFF MISSILE LOT 16,FA868219C0009,LOCKHEED MARTIN CORPORATION,401780367.3,397602887.6,Department of the Air Force,Department of Defense,,ORLANDO,FLORIDA,,,,336414,,1425,10/5/2018,4/30/2026,81,HOT TARGET,DEEP,1436,,,S4_EXPIRING,DISCOVERY
ENTERPRISE,ENTERPRISE TRANSPORT MANAGEMENT (ETM) - NEXT GENERATION - CORE SUPPORT,HC102819F0141,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",389466409.1,339111996,Defense Information Systems Agency,Department of Defense,Secret,ARLINGTON,VIRGINIA,,,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,541519,,D399,1/24/2019,8/8/2026,81,HOT TARGET,DEEP,738,,WARM,S1_BIG_FISH,"DISCOVERY,GREENFIELD"
HIMARS,IGF::OT:IGF HIMARS UAE,W31P4Q16C0036,LOCKHEED MARTIN CORPORATION,338767596.9,570297986.7,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,1425,12/30/2015,9/30/2026,81,HOT TARGET,DEEP,2148,,,S4_EXPIRING,DISCOVERY
PURPOSE,IGF::CT::IGF THE PURPOSE OF THIS CONTRACT IS TO PROVIDE ENGINEERING SERVICES FOR THE GUIDANCE SYSTEM OF THE MINUTEMAN III MISSILE.,FA821415C0001,THE BOEING COMPANY,241244107,620322030.5,Department of the Air Force,Department of Defense,,LAYTON,UTAH,,,,541330,,R425,1/14/2015,7/31/2026,81,HOT TARGET,DEEP,409,,,S4_EXPIRING,DISCOVERY
FMS,"IGF::OT::IGF. FMS RELATED WORK DIRECTIVES FOR THE COUNTRIES OF AUSTRALIA, KSA AND KUWAIT WILL BE AWARDED AS PART OF THE BASE STS/SSTS CONTRACT.",W56HZV17C0067,GENERAL DYNAMICS LAND SYSTEMS INC.,123583065.6,778787028.5,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,336992,,K010,2/23/2017,9/30/2026,81,HOT TARGET,DEEP,1018,,,S4_EXPIRING,DISCOVERY
SITE III,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM,NSFDACS1219442,Lockheed Martin Corporation,3147349028,3081207084,,,TS/SCI,,,Washington DC (Bolling); remote sites,IT support; help desk; desktop support,IT Operations; Network Administration,561210,Facilities Support Services,M1HA,12/23/2011,9/30/2026,80,HOT TARGET,DEEP,2094,,,S4_EXPIRING,"DISCOVERY,MASTER,TANGO"
KC-X,KC-X MODERNIZATION PROGRAM,FA862511C6600,THE BOEING COMPANY,2496557431,29485980901,Department of the Air Force,Department of Defense,,TUKWILA,WASHINGTON,,,,336411,,1510,2/24/2011,7/31/2027,80,HOT TARGET,DEEP,1126,,,S4_EXPIRING,DISCOVERY
W31P4Q-19-C-,"W31P4Q-19-C-0011 PAC-3 PRODUCTION CONTRACT FOR THE FY19/20 US/FMS REQUIREMENTS, WHICH INCLUDES: MSE&CRI MISSILES, LMKS AND OTHER GROUND SUPPORT FOR PATRIOT/PAC-3 WEAPON.",W31P4Q19C0011,LOCKHEED MARTIN CORPORATION,2287204596,4583057419,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336419,,1410,12/21/2018,3/31/2027,80,HOT TARGET,DEEP,4511,,,S4_EXPIRING,DISCOVERY
C-130J,C-130J ADD AIRCRAFTS FY22 CONGRESSIONAL,FA862522F3027,LOCKHEED MARTIN CORP,1865607013,1865607013,Department of the Air Force,Department of Defense,,MARIETTA,GEORGIA,,,,336411,,1510,9/30/2027,4/30/2027,80,HOT TARGET,DEEP,1771,,,S4_EXPIRING,DISCOVERY
ADVANCED,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE PRODUCTION LOT 33,FA867520C0033,RAYTHEON COMPANY,452745831,936153936.9,Department of the Air Force,Department of Defense,,TUCSON,ARIZONA,,,,541330,,1410,12/27/2019,6/30/2027,80,HOT TARGET,PRIME ONLY,1826,,,S4_EXPIRING,DISCOVERY
LRIP,LRIP 9 NON ANNUALIZED AWARD,N0001915C0114,LOCKHEED MARTIN CORPORATION,1722022319,1621042893,Department of the Navy,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,8/31/2015,12/31/2026,78,HOT TARGET,DEEP,267,,,S4_EXPIRING,DISCOVERY
FY22,FY22 TRIDENT PRODUCTION AND DEPLOYED SYSTEMS SUPPORT,N0003021C0100,Lockheed Martin Corporation,1194898848,1187691672,Department of the Navy,Department of Defense,,,,,,,336414,,1420,8/10/2021,9/30/2026,78,HOT TARGET,DEEP,457,,,S4_EXPIRING,DISCOVERY
ABRAMS,M1 ABRAMS FAMILY OF VEHICLES.,W56HZV22F0353,GENERAL DYNAMICS LAND SYSTEMS INC.,1168964145,1167042894,Department of the Army,Department of Defense,,DETROIT,MICHIGAN,,,,336992,,2350,7/28/2022,12/31/2026,78,HOT TARGET,DEEP,289,,,S4_EXPIRING,DISCOVERY
LOT,LOT 91 PRODUCTION LONG LEAD ITEMS,N0001919C0016,THE BOEING COMPANY,990630605.2,990677756.9,Department of the Navy,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336414,,1410,10/30/2018,6/30/2026,78,HOT TARGET,DEEP,303,,,S4_EXPIRING,DISCOVERY
SINGLE,"SINGLE AWARD TO AGAINST GSA OASIS UR (POOL 5A) FOR  HWIL AVIATION SYSTEMS ENGINEERING SERVICES TO PROVIDE FULL LIFE CYCLE SUPPORT FOR HIGH FIDELITY AVIATION SYSTEM SIMULATORS, HWIL CAPABILITIES, AND ASSOCIATED TEST TOOLS IN SUPPORT OF S3I.",W31P4Q21F0033,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,784595199.8,508476696.7,Department of the Army,Department of Defense,,RESTON,VIRGINIA,,,,541712,,AC14,1/6/2021,7/5/2026,78,HOT TARGET,PRIME ONLY,279,,,S4_EXPIRING,DISCOVERY
JOINT,JOINT AIR TO SURFACE STANDOFF MISSILE LOT 21,FA868223CB003,LOCKHEED MARTIN CORPORATION,768390068,765847312,Department of the Air Force,Department of Defense,,ORLANDO,FLORIDA,,,,336414,,1425,5/18/2023,3/9/2026,78,HOT TARGET,DEEP,498,,,S4_EXPIRING,DISCOVERY
APACHE,APACHE PERFORMANCE BASED  LOGISTICS(PBL) IV SERVICES OF AIRFRAME COMPONENTS FOR THE UNITED STATES GOVERNMENT'S AH-64 APACHE FLEET,W58RGZ19C0024,THE BOEING COMPANY,663401809.3,631704408.3,Department of the Army,Department of Defense,,MESA,ARIZONA,,,,336413,,R706,4/26/2019,12/31/2026,78,HOT TARGET,DEEP,700,,,S4_EXPIRING,DISCOVERY
FY22,FY22 US AURS,HQ085122C0001,RAYTHEON COMPANY,601976903,807517103,Missile Defense Agency,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,6/14/2022,12/31/2026,78,HOT TARGET,PRIME ONLY,507,,,S4_EXPIRING,DISCOVERY
FOREIGN,FOREIGN MILITARY SALES GERMANY,FA862519F8000,LOCKHEED MARTIN CORP,599648284.4,599532231.4,Department of the Air Force,Department of Defense,,MARIETTA,GEORGIA,,,,336411,,1510,12/21/2018,8/18/2026,78,HOT TARGET,DEEP,773,,,S4_EXPIRING,DISCOVERY
MH-60R,"MH-60R AIRCRAFT, STANDARD CONFIGURATION",N0001922F2291,LOCKHEED MARTIN CORPORATION,581427300,581427300,Department of the Navy,Department of Defense,,OWEGO,NEW YORK,,,,336411,,1520,8/23/2022,12/18/2026,78,HOT TARGET,DEEP,850,,,S4_EXPIRING,DISCOVERY
MH-60R,"MH-60R AIRCRAFT, STANDARD CONFIGURATION",N0001921F0841,LOCKHEED MARTIN CORPORATION,574897719,574897719,Department of the Navy,Department of Defense,,OWEGO,NEW YORK,,,,336411,,1520,4/12/2021,11/30/2026,78,HOT TARGET,DEEP,986,,,S4_EXPIRING,DISCOVERY
THREE-,THREE-DIMENSIONAL EXPEDITIONARY LONG-RANGE RADAR SYSTEM,FA873021C0022,Lockheed Martin Corporation,572759091.2,480504187.2,Department of the Air Force,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5840,3/26/2021,1/30/2028,78,HOT TARGET,DEEP,844,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
MISSION,MISSION COMMAND TRAINING PROGRAM (MCTP),W911S018C0004,NORTHROP GRUMMAN SYSTEMS CORPORATION,508505312.1,453700831.3,Department of the Army,Department of Defense,,FORT LEAVENWORTH,KANSAS,,,,541519,,R799,9/28/2018,4/14/2026,78,HOT TARGET,DEEP,204,,,S4_EXPIRING,DISCOVERY
XLUUV,IGF::OT::IGF XLUUV(ORCA)SYSTEM DESIGN&TECH DATA PKG,N0002417C6307,THE BOEING COMPANY,489247170.7,446044563,Department of the Navy,Department of Defense,,HUNTINGTON BEACH,CALIFORNIA,,,,334511,,AC33,9/28/2017,3/31/2026,78,HOT TARGET,DEEP,740,,,S4_EXPIRING,DISCOVERY
FY20,FY20 RAM GMRP MK 44 MOD 5 (BLK 2A),N0002420C5400,RAYTHEON COMPANY,400229395.1,399348119.9,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,3/27/2020,5/29/2026,78,HOT TARGET,PRIME ONLY,838,,,S4_EXPIRING,DISCOVERY
CONTRACT,"IGF::OT::IGF CONTRACT.  THE PRIMARY PURPOSE OF THIS TASK ORDER IS TO IDENTIFY AND OPERATIONALIZE OVERHEAD PERSISTENT INFRARED (OPIR) AND OTHER SENSOR EXPLOITATION CAPABILITIES WHICH PROVIDE EARLY INTERCEPT OPPORTUNITIES AND INCREASE RAID HANDLING OF THE BALLISTIC MISSILE DEFENSE SYSTEM (BMDS).  THE DEVELOPED CAPABILITIES WILL BE INTEGRATED WITH THE COMMAND AND CONTROL, BATTLE MANAGEMENT, AND COMMUNICATIONS (C2BMC) PROGRAM OF RECORD AS WELL AS TO PERFORM DISCRETE EXPERIMENTATION AND DEVELOPMENT O",HQ014718F0022,NORTHROP GRUMMAN SYSTEMS CORPORATION,392983624.5,372060768.2,Missile Defense Agency,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541511,,AC23,3/2/2018,3/4/2026,78,HOT TARGET,DEEP,224,,,S4_EXPIRING,DISCOVERY
LONG,LONG RANGE ANTI-SHIP MISSILE (LRASM) LOT 4/5,FA868221C0004,LOCKHEED MARTIN CORPORATION,364985931.3,576532133.4,Department of the Air Force,Department of Defense,,ORLANDO,FLORIDA,,,,336414,,1425,2/22/2021,9/30/2026,78,HOT TARGET,DEEP,586,,,S4_EXPIRING,DISCOVERY
PURPOSE,"HE PURPOSE OF THE SWDC DE TASK ORDER IS TO MAINTAIN, SUSTAIN, AND DEVELOP THE BALLISTIC MISSILE DEFENSE INTERNATIONAL SIMULATION (BMD I-SIM), MISSILE DEFENSE SPACE WARNING TOOL (MDST) AND THREAT MODELING CENTER (TMC) PRODUCTION SOFTWARE",HQ085421F0029,NORTHROP GRUMMAN SYSTEMS CORPORATION,306855757,236487821.5,Missile Defense Agency,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541511,,AC23,3/5/2021,3/4/2026,78,HOT TARGET,DEEP,417,,,S4_EXPIRING,DISCOVERY
GSMO-II,"GSMO-II JSP PENETRATION HANDLING, INTRUSION & SYSTEM HEALTH.",HC102821F0091,"LEIDOS, INC.",167342010.8,147446828.5,Defense Information Systems Agency,Department of Defense,,CHAMBERSBURG,PENNSYLVANIA,,,,541513,,R799,5/1/2021,4/30/2026,78,HOT TARGET,DEEP,146,,,S4_EXPIRING,DISCOVERY
