piid,program_name,program_description,acronym,prime_contractor,prime_uei,prime_legal_name,total_contract_value,obligated_amount,base_and_options,agency,department,agency_code,department_code,office_name,funding_office,award_date,pop_start,pop_current_end,pop_ultimate_end,recompete_date,city,state,performance_location,key_locations,task_order_locations,functional_locations,naics_code,naics_description,psc_code,psc_description,set_aside,is_dod,is_it_naics,clearance_requirements,functional_areas,typical_roles,job_titles,required_skills,tech_stack,keywords_signals,labor_rate_min,labor_rate_max,labor_rate_avg,education_requirement,experience_requirement,annual_salary_range,sub_count,sub_total_amount,staffing_firms_present,solicitation_id,parent_idv_piid,contract_vehicle,fiscal_year,discovery_strategy,prime_contact_count_crm,contact_files,key_contacts,contact_coverage,bd_score,bd_status,has_pts_jobs,pts_job_count,job_titles_matched,job_match_count,bd_priority,confidence_level,pts_involvement,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,data_sources_matched,enrichment_date,greenfield_type
GSQ0116BK0198,IGF::OT::IGF HIGH RESOLUTION 3D GEOSPATI,IGF::OT::IGF HIGH RESOLUTION 3D GEOSPATIAL INFORMATION,,"Leidos, Inc.",MDSWM6MB1BH7,,"$694,330,085",694330084.5099999,47621359.22,Federal Acquisition,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541330,Engineering Services,R405,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Engineering Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,97,38031984.86,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,59,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
FA701407C0009,SERVICES 01 JAN 09 TO 31 DEC 09,SERVICES 01 JAN 09 TO 31 DEC 09,,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$684,946,524",684946523.88,194167090.0,Department of the Ai,,,,,,,,,,,,,"ARLINGTON, VIRGINIA","ARLINGTON, VIRGINIA",,,541611,Administrative Management and General Management Consulting Services,R499,Other Professional Services,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Management Consulting; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,57,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFMA19F0013,COMMUNICATION AND INFORMATION TECHNOLOGY,COMMUNICATION AND INFORMATION TECHNOLOGY SERVICES III,,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,"$674,944,917",674944916.7999997,4903921.57,Federal Acquisition,,,,,,,,,,,,,"nan, nan","nan, nan",,,541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,,IT Services,,,,,,,,,,,,577,477839788.97,,,,,,S3_PRIME_DEEP_DIVE,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,65,WARM LEAD,True,13,Microsoft Copilot Studio AI SME,1,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
N6133904F1001,200411!000222!1700!A8304 !NAVAL AIR WARF,200411!000222!1700!A8304 !NAVAL AIR WARFARE CENTER TRAININ!GS09K99BHD0001 !C!N! !Y!N6133904F1001!P00003!20040804!2004080,,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$674,372,995",674372995.0,0.0,,,,,,,,,,,,,,"FAIRFAX, VIRGINIA","FAIRFAX, VIRGINIA",,,541512,Computer Systems Design Services,J069,,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Ship / Maritime; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,53,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
0142,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,,"$666,471,487",666471486.81,28412102.28,Department of the Ar,,,,,,,,,,,,,"HERNDON, VIRGINIA","HERNDON, VIRGINIA",,,541330,Engineering Services,R408,Program Management/Support Services,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,,,,,,,88,326758000.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,63,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
DTFA0101CA0065CALL0001,ADVANCED TECHNOLOGIES AND OCEANIC PROCED,ADVANCED TECHNOLOGIES AND OCEANIC PROCEDURES (ATOP),,"LEIDOS, INC.",QLNMVC12KWY3,,"$656,205,138",656205138.4700003,58058217.75,,,,,,,,,,,,,,"ROCKVILLE, MARYLAND","ROCKVILLE, MARYLAND",,,541519,Other Computer Related Services,R425,Engineering and Technical Services,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,53,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
28321318FDS030247,CONTRACTOR TO PROVIDE DEVELOPMENT&DATABA,CONTRACTOR TO PROVIDE DEVELOPMENT&DATABASE SUPPORT TO AGENCY'S OFFICE OF SOFTWARE ENGINEERING,,"LEIDOS, INC.",MYKLJHTX3MM7,,"$593,517,491",593517491.1,6434.94,Social Security Admi,,,,,,,,,,,,,"BALTIMORE, MARYLAND","BALTIMORE, MARYLAND",,,541519,Other Computer Related Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,34,37160875.57,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,56,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFMA21F0003,ENTERPRISE MISSION INFORMATION TECHNOLOG,ENTERPRISE MISSION INFORMATION TECHNOLOGY SERVICES (EMITS),,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$583,600,328",583600327.6599998,7687350.61,Federal Acquisition,,,,,,,,,,,,,"nan, nan","nan, nan",,,541512,Computer Systems Design Services,D302,IT Systems Development Services,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,,,,,,,,,,,,343,112730211.6,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,62,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
VA11810000004,DCAT4 TASK ORDER AWARDED,DCAT4 TASK ORDER AWARDED,,LEIDOS SMS INC,NPUZV84KPU17,,"$574,499,876",574499876.4299997,4735106.26,,,,,,,,,,,,,,"AUSTIN, TEXAS","AUSTIN, TEXAS",,,541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,53,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HT003818F0004,ENTERPRISE ACTIVITIES FOR MHS GENESIS-ST,"ENTERPRISE ACTIVITIES FOR MHS GENESIS STAGE 4, PROGRAM MANAGEMENT, SUSTAINMENT, REGIONAL TRAINERS, LICENSES, AND MAINTEN",,"LEIDOS, INC.",UE9QJD4KK1L6,,"$572,997,098",474899181.94,130295929.0,Defense Health Agenc,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541512,Computer Systems Design Services,7030,,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Medical / Health IT; Network Engineering; Program Management; Software Development,,,,,,,,,,,,41,345054434.97,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,63,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HT003825F0007,,"ENTERPRISE LEVEL SERVICES FOR MHS GENESIS INCLUDING OPERATIONAL  MANAGEMENT SERVICES, PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT,  AND LICENSE MAINTENANCE.",ENTERPRISE,"LEIDOS, INC.",UE9QJD4KK1L6,,"$563,523,216",241230999.35,304311237.16,Defense Health Agency,Department of Defense,97DH,97.0,DEFENSE HEALTH AGENCY,,2025-07-28,2025-07-29,2026-07-28,2026-07-28,,RESTON,VIRGINIA,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541512.0,Computer Systems Design Services,7A21,,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,0,0.0,,,N0003915D0044,,2025.0,S1_BIG_FISH,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,69,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HC102820F0500,MAINTENANCE AND REPAIR OF THE DODIN/DISN,MAINTENANCE AND REPAIR OF THE DODIN/DISN INFRASTRUCTURE,,"LEIDOS, INC.",UE9QJD4KK1L6,,"$561,840,855",561840855.3500003,0.0,Defense Information,,,,,,,,,,,,,"FORT GEORGE G MEADE, MARYLAND","FORT GEORGE G MEADE, MARYLAND",,,541513,Computer Facilities Management Services,D316,IT Network Management Services,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,1109,943136539.68,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,72,HOT TARGET,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
15A00020FAQA00189,ESA V MANAGED SERVICES (ATF AND FCS),ESA V MANAGED SERVICES (ATF AND FCS),,"Leidos, Inc.",MDSWM6MB1BH7,,"$555,756,832",555756832.2499999,291358170.51,"Bureau of Alcohol, T",,,,,,,,,,,,,"WASHINGTON, DISTRICT OF COLUMBIA","WASHINGTON, DISTRICT OF COLUMBIA",,,541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,1238,438940429.05,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,68,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
GSQ0017AJ0079,IGF::OT::IGF SENS3 AWARD,IGF::OT::IGF SENS3 AWARD,,"LEIDOS, INC.",X38JVP4R72E1,,"$550,391,323",550391322.5399998,256360583.0,Federal Acquisition,,,,,,,,,,,,,"WASHINGTON, DISTRICT OF COLUMBIA","WASHINGTON, DISTRICT OF COLUMBIA",,,541512,Computer Systems Design Services,D318,IT Integrated Enterprise Architecture Services,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,3237,559733336.71,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,68,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
0142,TAS::75 0511::TAS ENTERPRISE SYSTEMS DEV,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,,"$549,937,542",666471486.81,28412102.28,Department of the Army,,,,,,,,,,,,,"HERNDON, VIRGINIA","HERNDON, VIRGINIA",,,541330,Engineering Services,R408,Program Management/Support Services,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,,,,,,,16,326758000.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,63,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
W5J9CQ21F0015,HIGH-RESOLUTION THREE-DIMENSIONAL GEOSPA,HIGH-RESOLUTION THREE-DIMENSIONAL GEOSPATIAL INFORMATION (HR3DGI) OPERATIONS AND TECHNOLOGY INTEGRATION II (O&T II),,"Leidos, Inc.",MDSWM6MB1BH7,,"$507,729,666",507729665.5299999,151534776.52,Department of the Ar,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541330,Engineering Services,R405,,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Engineering Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,512,261528321.72,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,69,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
N0003016C0005,IGF::OT::IGF,IGF::OT::IGF,,GENERAL DYNAMICS MISSION,LKMMNBMPUNH7,,"$485,654,906",485654905.5499999,0.0,Department of the Na,,,,,,,,,,,,,"PITTSFIELD, MASSACHUSETTS","PITTSFIELD, MASSACHUSETTS",,,541330,Engineering Services,B599,,,True,True,,Engineering Services,,,,,,,,,,,,1342,327348934.32,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,69,WARM LEAD,True,1,,,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HT003818F0004,ENTERPRISE ACTIVITIES FOR MHS GENESIS ST,"ENTERPRISE ACTIVITIES FOR MHS GENESIS STAGE 4, PROGRAM MANAGEMENT, SUSTAINMENT, REGIONAL TRAINERS, LICENSES, AND MAINTEN",,"LEIDOS, INC.",UE9QJD4KK1L6,,"$474,899,182",474899181.94,130295929.0,Defense Health Agenc,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541512,Computer Systems Design Services,7030,,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Medical / Health IT; Network Engineering; Program Management; Software Development,,,,,,,,,,,,101,345054434.97,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,63,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
70B04C24F00001129,BORDER ENFORCEMENT APPLICATIONS FOR GOVE,BORDER ENFORCEMENT APPLICATIONS FOR GOVERNMENT LEADING-EDGE INFORMATION TECHNOLOGY,BORDER,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,"$467,866,225",467866224.57000005,175337101.48,U.S. Customs and Bor,Department of Homeland Security,7014,70.0,INFORMATION TECHNOLOGY CONTRACTING DIVISION,,2024-09-28,2024-09-30,2026-09-29,2026-09-29,,ASHBURN,VIRGINIA,"ASHBURN, VIRGINIA","ASHBURN, VIRGINIA",,,541512.0,Computer Systems Design Services,DA01,,,False,True,,IT Services,,,,,,,,,,,,53,200579716.25,,70B04C24R00000198,47QTCK18D0009,,2024.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,68,WARM LEAD,True,13,Microsoft Copilot Studio AI SME,1,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
75FCMC23F0156,ATLANTIC RANGES ENGINEERING AND TECHNICA,"HEALTHCARE INTEGRATED GENERAL LEDGER ACCOUNTING SYSTEM (HIGLAS) HOSTING, OPERATIONS & MAINTENANCE (HOM)",,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$455,702,635",144837550.65,1281439.03,Department of the Na,,,,,,,,,,,,,"WINDSOR MILL, MARYLAND","WINDSOR MILL, MARYLAND",,,541512,Computer Systems Design Services,DA01,,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,,,,,,,,,,,,0,333261524.74,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,59,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
