acronym,count,contexts,possible_meaning
ISC,50,"['SAIC - FAA - ISC Meeting with Michael. He is located just north of', 'SAIC - FAA - ISC Meeting with Michael. He is located just north of', 'BAE Systems, ISC Tickle, the program he was working on has been sh']",
CACI,46,"['ent, starting w/o CI Poly, onsite vs remote, etc. CACI is incumbent on Megatron at APG. Currently at 300', 'ent, starting w/o CI Poly, onsite vs remote, etc. CACI is incumbent on Megatron at APG. Currently at 300', 'Jennifer Terry - CACI - Deputy Program Manager supporting the ODNI Intr']",
SDVOSB,44,"['n Oasis+ contract vehicle and there is a specific SDVOSB requirement. Discussed being sole staff aug subco', 'n Oasis+ contract vehicle and there is a specific SDVOSB requirement. Discussed being sole staff aug subco', 'ed us. - we made our Intro (Liked that we were an SDVOSB ""PrimeTS"")']",
PTS,44,"[' ""Down the road"" - he requested an overview about PTS and our partnership with Leidos and the work we\'v', ""k Michelle Parker (Boeing VP; BDS) introduced us (PTS) at their leadership meeting and said she's onboa"", 'meeting to discuss her requirements and introduce PTS Next Action Steps: 1) F/U with her about sending ']",
SOW,43,"[""in engineering components of LMCO. Currently have SOW's with companies like ours so we asked him to fin"", 'ric Roden and they said we need proof of us doing SOW work in order for us to utilize subcontracts with', 'CACOI - VMOD 2 Getting an SOW for us to support front end install field service']",Statement of Work
MAINES,43,"['GDIT: MAINES Tag up with Tonya. has a need for a backfill for ', 'NGC: MAINES tag up with Tonya.waiting on lupin label. has to ', 'GDIT: MAINES Tag up with Diana. both candidares out. needing m']",
NCR,42,"['round, Supplier Initiative Request Background and NCR (Non Conformance Records) Background. Need Parts ', ""ervices for the Liaison Engineers. They have 1200 NCR's to disposition. They need 1 person with MRB aut"", 'GDIT - NCR Lead - JUSTIFIED - Meeting w/ Jon to discuss the ']",
EST,42,"["" I have a follow up meeting November 4th at 11:30 EST to go over the SRE's and to possibly meet with hi"", ' times for Wednesday january 21st from 1pm to 4pm EST', 'necting on Jan 23rd 8:30am (Pacific time) 11:30am EST said interviews get set up typically in two weeks']",
FTE,37,"[' non workshare. F/U Friday to get more details on FTE vs Sub requirement, starting w/o CI Poly, onsite ', ' non workshare. F/U Friday to get more details on FTE vs Sub requirement, starting w/o CI Poly, onsite ', ""3 people, about 18 are contractors and 24 Peraton FTE's - said NARSIL teams have been shrinking, but he""]",
WARHAWK,35,"['GDIT - Senior Project Manager - WARHAWK/SE&I - Meeting w/ Joel to discuss the following i', 'GDIT - Senior Project Manager - WARHAWK/SE&I - Meeting w/ Joel to discuss the following i', 'GDIT - Senior Project Manager - WARHAWK/SE&I - Meeting w/ Joel to discuss the following i']",
OCONUS,34,"['ts 4-5 different programs at once - has CONUS and OCONUS work = OCONUS work is in Hawaii, England, Austral', 'l to let him know if we do or do not source local OCONUS candidates (nationals) 2) Sent out F/U Mtg Invite', ' NATO opportunities (I shared with him our recent OCONUS work and he was happy to hear that we have those ']",
NDA,33,"['OD Starting interviews for key personnel for TO3. NDA coming for COMPMOD for post award add Going to DA', '5 bases but the rest will be distributed. COMPMOD NDA recieved. Ramp up in Q1 2026. Slow start (2-3 bas', 'start with the ability to obtain SCI. Next steps: NDA and meeting set forend of March']",
MOD,32,"[' things have slowed down a bit. Mainly doing some MOD projects. Test, network, systems, and sustainment', 'LMCO re: below ; just executed MOD for Nick Nelson and changed rates to FY26', 'LMCO re: below ; closeout MOD for CAOS and new funding']",
BIM,31,"['now. Setting up a meeting with her entire team on BIM TO4 RFP opportunity. Asked for a F/U tomorrow if ', 'CACI - BIM TO2 Recived screening questions for workshare and', 'CACI - BIM TO2 We will be screening our own candidates and o']",
LCAT,31,"['a trip - but going to be making the introduction. LCAT 2.', ""r Systems Network Engineer and that it's a higher LCAT - LCAT 63 - it's out of Fort Meade and they need "", 'ir ticketing system, Routing BGP and Configuring -LCAT 63 - Start Date: not an immediate need, have to b']",
HSV,30,"[' and assuming NG will counter. will need to be in HSV in a weeek or so and then in Korea for 2 years wi', ""LMCO re: below ; will be in HSV when I'm in NJ. Connected on upcoming spots and h"", 'nt partner providing Engineering & IT services in HSV. Stacey and hiring team (Patrick, Michelle, Bill)']",
CST,30,"['illets Note the clearance level in the billet All CST candidates must at least have an Interim Secret C', 'illets Note the clearance level in the billet All CST candidates must at least have an Interim Secret C', 'illets Note the clearance level in the billet All CST candidates must at least have an Interim Secret C']",
SME,28,"['apon Systems Lead and basically manages a team of SME""s asked if we were familiar with searchpros, but ', 'onal ALIS support center : A headquarters of just SME support from Sunday at midnight to Friday at Midn', 'and they have been struggling with a strong Cyber SME w/ CDS and RTP. They need strong accreditation wi']",
NTT,28,"['t if we have screened candidates it will be ours. NTT, Action Net and Tribal Co all have workshare. NTT', 'NTT: met with Kellie this afternoon, she spent the ho', 'NTT - Meeting with Mike, Rick, and Duncan. They have ']",
BDS,27,"['years of Design Exp Previous Boeing experience in BDS is a plus Stress Analysis Engineer: 5 years of St', 'n Antonio: There are two Divisions in San Antonio BDS (Boeing Defense, Space & Security) BGS (Boeing Gl', 'now. Typically works through beeline. On multiple BDS programs. They will start hiring beginning of Jan']",
AFB,27,"['nics - F-16 and A-10. Wants us to swing by Robins AFB to tour it and catch up in person. Wants us to he', 'eduled call to discuss ISSO opening in Vandenberg AFB - found req on Insight Global - thought he was th', ' of a Tanium SME (Engineer V) ideally at Lackland AFB. We have 2 candidates setup for interview this Fr']",
ASR,27,"['de w/ the one backfill above he mentioned for the ASR -IMDC2 is the growth work ----> COBRA is follow o', 'an ISSO or ISSM. Some SAP experience is required. ASR II backfill for Sabrina Trevino has been updated ', 'an ISSO or ISSM. Some SAP experience is required. ASR II backfill for Sabrina Trevino has been updated ']",
SEIT,26,"[""y're not opposed to former Boeing employees JOBS: SEIT - Alain Sanchez (HM for this role - representing "", ""y're not opposed to former Boeing employees JOBS: SEIT - Alain Sanchez (HM for this role - representing "", ""y're not opposed to former Boeing employees JOBS: SEIT - Alain Sanchez (HM for this role - representing ""]",
SSC,25,"['Interviewing 8/28 with SSC', 'SAIC - Horizon 2 - Program Management Manager for SSC/SYD 81/CoS -Met with Matt to coordinate details f', 'SSC - SDA - $25 million plus on the SDA contract due ']",
POC,25,"['CDC) *We used to support him - 2 placements - New POC/Intro Meeting - Monday, September 15th at 1pm EST', "" her about sending our Boeing - Purchase Services POC's - sent them over and see next steps 2) She ment"", 'onnected us with Emily Bosecker (Beeline Contract POC) to expedite our candidates getting the coding as']",
ASA,25,"['le other people. He encouraged us to reach out to ASA Wilke out of Hampton. Upcoming needs: They only u', 'Deloitte-ASA ALT- Monthly check in with James and Lauren. Sinc', 'Deloitte-ASA ALT- Monthly check in with James and Lauren. Sinc']",
QUINCY,25,"['Microsoft - Data Center - QUINCY - Sr. DCPM (EAT03) - Laura was out of office last', 'Microsoft Data Center - QUINCY - DC Site Operations Manager - meeting went reall', 'Microsoft Data Center - QUINCY - Sr. Vendor DCPM - met with Michael on site last']",
III,24,"['oles. He is in need of 2 Level II NDT and 1 Level III NDT. They would do a 6 month to hire contract for', 'Peraton SITEC III - Meeting with Rick, he is going to Europe for th', 'Peraton SITEC III Thanksgiving was low key, they stayed local. Goin']",
PST,24,"['nterviews for Tuesday - 10/28 A) Eileen Wu - 11am PST B) Asif Ghori - 11:30am PST 2) Connected us with ', 'iews Times for Monday and Tuesday (both after 3pm PST) - submit candidates! 2) Unable to find requireme', 'al panel teams interview on Tuesday, 11/11 at 2pm PST - - said he wants to see 2-3 more people - has in']",
RMS,24,"['LMCO- RMS new POC for BMD; meeting week of Sept 22', ""t over reqs we've worked with Cyrus and Vincent + RMS and LM performance FU: Oct 27th"", 'LMCO- RMS; Undersea Systems Chief Engineer for SWFTs heavy ']",
SCA,24,"['ar is some good candidates, some bad working with SCA on updated SOW', 'nt to Resource Management with Regional Director, SCA, and Justified Security Resource Management will ', 'nt to Resource Management with Regional Director, SCA, and Justified Security Resource Management will ']",
IBM,24,"['IBM, Army, ALTESS: met with Aaron this morning, he le', 'IBM, Army, ALTESS: met with Aaron this morning, quick', 'IBM, Army, ALTESS: Met with Aaron this morning, he le']",
MCCOG,24,"['auren and Roman yesterday, no new openings at the MCCOG at this time. Roman let me know that he and Laure', 'auren and Roman yesterday, no new openings at the MCCOG at this time. Roman let me know that he and Laure', 'and Roman tuesday morning, no new openings at the MCCOG this week. Roman is down at Norfolk this week for']",
ALT,24,"['Deloitte-ASA ALT- Monthly check in with James and Lauren. Since Ma', 'Deloitte-ASA ALT- Monthly check in with James and Lauren. Since Ma', 'Deloitte-ASA ALT- Stephen Holup is traveling again, need to get Co']",
NASA,23,"['lver Snoopy Award is a prestigious honor given by NASA astronauts to recognize outstanding contributions', 'r. Agencies that they support are the Army, Navy, NASA, Airforce. LEOS is the Center Mass Division for s', 'in Strong DOD Budget is coming in Strong For SLS ""NASA"" needs a more capapble upperstage Boeing has been']",National Aeronautics and Space Administration
RTX,23,"['Currently works under RTX as a Collins employee - technically. Supporting B', 'Director of Q&MA out of huntsville for RTX which is mostly Test & integration - over Sepctre', 'RTX - TARPIN Met with Jack Allen (Senior Systems Engi']",
DAF,23,"['lacked full-stack, but good cloud. cannot use for DAF CW becuase need SCI in Beavercreek and secret in ', 'NGC: DAF CW was in PI meetings all week. open availably fo', 'NGC: DAF CW tag up with lauree. only SCI in beavercreek fo']",
CAC,23,"['ter just started under Ron Hallebach. She got her CAC this morning and then Derek had to drive her back', ' -touched base with Karen cunningham on status of CAC Revoctaion', 'n hold but they are working on a solution for the CAC cards so hopefully we can get around it soon.']",
GSMOII,23,"['Leidos - GSMOII - Was in Scott AFB last week and going back next ', 'Leidos - GSMOII - David is back home this week - Will be and has ', 'Leidos - GSMOII - Test & Integration Manager - met with Dipa to g']",
ALTESS,23,"['IBM, Army, ALTESS: met with Aaron this morning, he let me know that', 'IBM, Army, ALTESS: met with Aaron this morning, quick conversation,', 'IBM, Army, ALTESS: Met with Aaron this morning, he let me know that']",
ESS,22,"['Boeing - BDS & ESS - Steven Apfel - BDS Manager Next Action Steps: S', 'ot share what programs he supports, said it\'s not ESS, the programs he supports are ""proprietary"" so he', 'llion business - BIGGEST STAFFING NEED = just won ESS (Evolved Strategic Satcom) Program in July, and w']",
JTAGS,22,"['NGC: JTAGS PTO issue covered for Brenden. has no clue where ', 'NGC: tup up with Rob. roles for JTAGS', 'NGC : JTAGS meeting with rob']",
PTO,22,"['NGC: JTAGS PTO issue covered for Brenden. has no clue where we a', ""reaching out because Matthew O'Hara had requested PTO from November 4th to the 15th. Did not return to "", 'at he is willing to help her out if there are any PTO days she wants to take rather than bumping her ra']",
MBSE,21,"[""Beckham) for the Navy. His entire career has been MBSE and that's all he does for RTX/Collins. Said ther"", 'gap analysis experience - a little architecture - MBSE mindset - how pieces work together - need to find', 'NGC: inSITE deciding if he can afford AFSIM MBSE after candidate came down 30k from offer?? paul B']",Model Based Systems Engineering
DOD,20,"['Experience Rout Cause Variance Analysis Worked on DOD Programs and Similar Integration Companies Someon', 'Experience Rout Cause Variance Analysis Worked on DOD Programs and Similar Integration Companies Someon', 'his family. RTB - Nasa Budget is coming in Strong DOD Budget is coming in Strong For SLS ""NASA"" needs a']",Department of Defense
ISSO,20,"['ll and email exchange - scheduled call to discuss ISSO opening in Vandenberg AFB - found req on Insight ', ' Sits in Orland - Originally reached out about an ISSO position (Lead from Insight Global) and he referr', 'NGC: inSITE MBSE/ISSO and Full stack need. daniel out for ISSO']",
CDC,20,"['Program Manager) and Co-Lead for DMAC Program (at CDC) *We used to support him - 2 placements - New POC', 'on HHS at ICF, they also do a lot of work for the CDC and the VA. They also support a lot of cyber work', 'Peraton CDC - Monthly reconnect with Matt. He went on a last ']",
DCPM,20,"['Microsoft - Data Center - QUINCY - Sr. DCPM (EAT03) - Laura was out of office last week when ', ""ctually Michael's boss and all of the Leased Site DCPM's (Wicks, Watkins, ect.) Going to link up next ti"", 'Microsoft Data Center - QUINCY - Sr. Vendor DCPM - met with Michael on site last week 8/12 Tuesday']",
SAP,19,"['ith the Hiring managers. The work that he does is SAP/SCI work. for each candidate they need Client app', 'e program This is a Sixth generation Fighter Jet (SAP Program) This program will need 1000 or more Engi', 'e program This is a Sixth generation Fighter Jet (SAP Program) This program will need 1000 or more Engi']",
ASAP,19,"[""rding has proven to take months in some cases, so ASAP - said we've shared great candidates thus far and"", 'ing for a Cloud Engineer/Architect. Need to start ASAP. Okay with 12 month contract to hire or long term', 'e will be doing the final round. Wants to do this ASAP so was wondering what the hold up was on getting ']",
CUP,19,"['eather, and Sole to discuss the following topics: CUP 25 Changes/1 Sept starts Teammates were receiving', 'eather, and Sole to discuss the following topics: CUP 25 Changes/1 Sept starts Teammates were receiving', 'eather, and Sole to discuss the following topics: CUP 25 Changes/1 Sept starts Teammates were receiving']",
BAH,18,"["" came back in Spring '23 - - great timing because BAH recently won the DMAC program ($1.7 bil, 9-year p"", 'BAH - Air Force/Space Force Met with Stephen. He just', 'BAH- Space Development Agency, Space Force Space Grou']",
FSE,18,"[""ay and BBblock experience. Also going to be decom FSE's needed similar to VMOD 1 with GDIT Have 11 subs"", ""ECOM starting early October. We will need several FSE's to support onsite activities and role into the "", ""VMOD2 Currently staffed but still will need DECOM FSE's. Trying to get our UC candidates and front end ""]",Field Service Engineer
MDA,18,"['ith Jacob. BOA is getting a ton of attention from MDA and GD. expects 6x of work for 2026.', ' and rainy - out of Scott AFB - His team supports MDA (missile defense agency) - They do white glove se', 'ect/ SME 15+ years of experience GMD, BMD, AEGIS, MDA experience provides recommendations for efficienc']",Missile Defense Agency
EPA,18,"['can only purchase non-refundable tickets when the EPA does not require. reminder to approve timecards o', 'can only purchase non-refundable tickets when the EPA does not require. reminder to approve timecards o', 'ng out to me regarding more opportunites with the EPA and mains task specifically wihin GLO. get the le']",
DCAA,18,"['Leidos - DES Met with Sean about upcoming DCAA network project', 'Leidos - DES Met with Len about upcoming DCAA network project', 'os - DES Met with Sheila to discuss scheduling of DCAA network interviews.']",
SLS,17,"['Boeing - SLS Program - Huntsville RTP - Casey was taking her k', 'Project Engineer - SLS - 9/12/2025 RTB - Spoke with Casey and her team. ', 'SLS - Huntsville, AL - 9/19 Me and Ben Spoke with Cas']",Space Launch System
IPT,17,"['/12/2025 RTB - Spoke with Casey and her team. The IPT Lead that the project engineers will be communica', 'llet – System Engineering Manager Jarrod Hargis – IPT Lead over Vendors Tyler Kirby – First Line Manage', 'e Services. They have needs for Project Managers, IPT Lead, and Technicians for Electro Optics Systems.']",
BOA,17,"['NGC: BOA tag up with clark to discuss new BOA Devops', 'NGC: BOA tag up with Clark. Devsecops needs in Boulder. ca', 'NGC: BOA tag up with Mikeal. converting justin next week. ']",Basic Ordering Agreement
GSCCE,16,"['s role - representing SEIT leader, Brad Hirasuna) GSCCE Lead Systems Engineer - El Segundo, CA Looking fo', 's role - representing SEIT leader, Brad Hirasuna) GSCCE Lead Systems Engineer - El Segundo, CA Looking fo', 's role - representing SEIT leader, Brad Hirasuna) GSCCE Lead Systems Engineer - El Segundo, CA Looking fo']",
MISS,16,"['SAIC: MISS tagu up jack. contract got extended. converted sh', 'NGC: MISS tag up with John. intro to julie', 'SAIC: MISS tag up with John to discuss royce request for a r']",
GWS,16,"['NGC: GWS intro to Amos. born in central Al. Been there his', 'interview 10/07/2025 #Principle System Engineer - GWS - STAFF 3620', 'LMCO- RMS MDCS + PTS (SDVOSB partner) Programs GWS- current partner providing Engineering & IT servi']",
DARPA,16,"['- Former Navy, Naval Academy grad. Came over from DARPA. Heather Herron - Has an intel background, comes ', '- Former Navy, Naval Academy grad. Came over from DARPA. Heather Herron - Has an intel background, comes ', '- Former Navy, Naval Academy grad. Came over from DARPA. Heather Herron - Has an intel background, comes ']",Defense Advanced Research Projects Agency
DCPDS,16,"['Leidos, DCPDS: met with Albert on Wednesday afternoon, gave him', ""Leidos, DMDC, DCPDS: met with Dean yesterday, he let us know that he'"", 'Leidos, DMDC, DCPDS: met with Dean this morning, he let me know that ']",
DMDC,15,"['Leidos, DMDC, DCPDS: met with Dean yesterday, he let us know t', 'Leidos, DMDC, DCPDS: met with Dean this morning, he let me kno', 'Leidos, DMDC, DCPDS: met with Dean yesterday morning, confirme']",
COLO,15,"['tober if I had to guess once Microsoft determines COLO ready status and will see that bid closer to then', ""that they are pulling in the timelines for the +3 COLO's at MWH23 turning over to Microsoft and the + 6 "", ""icularly mentioned the inbound turnover of 6 more COLO's at MWH24 once the county releases the power and""]",
LEOS,14,"['Boeing - LEOS - Laser & Electro Optics Systems (LEOS) Program Manager RTB - He is part of the Laser & ', 'LEOS Division - Controls Engineer/ EE Design Analysis ', 'Greg Strawder - LEOS - 1/13/2026 Met with Greg. He informed me that th']",
DBA,14,"[', springboot, full-stack is a plus. Req 2: Oracle DBA - must know exit-data/ AWS environment', "" said there's no longer an opening for the Oracle DBA (Dionne) but there's still a SWE position open in"", 'hing forward Dionne Whitaker-Moore for the Oracle DBA position with the customer (Leidos) and should re']",
AWS,14,"['ftware developer - working with a Java team in an AWS environment based out of State college PA, Denver', "" colocation facilities - he'll need Cloud folks - AWS or Azure - - AWS will be for more traditional - A"", 'e Cloud Engineering experience with any service - AWS, Google or Azure - need someone who knows cloud s']",
ARCYBER,14,"['Peraton - ARCYBER - Met at the salon at TechNet Michelle Clays - Se', 'Peraton - ARCYBER - Met at the salon at TechNet Thomas ""Tom"" Affert', 'Peraton - ARCYBER - Met at the salon at TechNet Dick Amott - Progra']",
VAR,14,"[' with John. sending nava to guam on 14th. needing VAR and LOI packet for his travel. will be converting', 'SAIC: ML710 tag up with Tyler. VAR submitted for Roger.', 'below ; 3 resources going in over next two weeks. VAR and NG form sent for the following: Matt Ramsey, ']",
HPE,14,"['HPE - Strategic Account Manager - Met with Joe Stephe', 'he wrong Joe Stevens, this note is from 9/23/2025 HPE - Principal Architect - Met with Joe Stevens and ', 'HPE - Principal Architect - spoke with Joe Stevens an']",
DARC,14,"['NGC - DARC - ILS Manager RTP: Just got back from PTO, but it', 'NGC - DARC - Deputy Manager RTP: Manny was in Bellview this ', ""NGC - DARC - ILS Manager Shanda wasn't able to join our meet""]",
SLATE,14,"['ansport call. They have submitted everything into SLATE for new codes so we should be all set.', 'ansport call. They have submitted everything into SLATE for new codes so we should be all set.', 'Leidos - NGEN Subcontracts call to discuss SLATE OY1 new charge codes.']",
JBAB,14,"['GDIT - JBAB Site Lead - JUSTIFIED - Meeting w/ Slava to discu', 'GDIT - JBAB Site Lead - JUSTIFIED - Meeting w/ Jon and Slava ', 'GDIT - JBAB Site Lead - JUSTIFIED - Meeting w/ Slava to discu']",
AFA,14,"[' Also, Eric and Drew are running the booth at the AFA conference and interested in meeting on the sidel', ' Also, Eric and Drew are running the booth at the AFA conference and interested in meeting on the sidel', 'its, nothing new to report. She is going to be at AFA in two weeks so planning on meeting with her on t']",
MMIII,14,"['BAE Systems, ISC, MMIII Meeting, Jon was in the AF for 20+ years before r', 'BAE Systems, ISC, MMIII Meeting, no updates on the openings he mentioned ', 'BAE Systems, ISC, MMIII Meeting/Intro, coming up on one-year at BAE, NG b']",
NNS,14,"['NTT - Site Manager - NNS - Meeting to discuss the following items:', 'NTT - Site Manager - NNS - Meeting to discuss the following items:', 'NTT - Site Manager - NNS - Meeting to discuss the following items: - Curre']",
RMF,13,"[' CDS and RTP. They need strong accreditation with RMF as well as someone who comes from an R&D backgrou', ' CDS and RTP. They need strong accreditation with RMF as well as someone who comes from an R&D backgrou', 'y team protect mission-critical systems by way of RMF and ensures DOD compliance - - he supports severa']",
POP,13,"['CACI - BIM TO2 POP started 9.1, start the JPN key personnel. Site ki', 'CACI - BIM TO3 TO3 awarded. POP starts 10.1, portest period ends 10.7 Inetersted ', 'GDIT: MAINES tag up Tonya. POP is october 1 so pushing starts back till then. th']",Period of Performance
NEST,13,"['Leidos, NASA, NEST: met with Melodey on Monday morning, introduced m', 'Leidos, NASA, NEST: met with Richard on monday for an intro call, he', 'Leidos, NASA, NEST/AEGIS: had a call with Ray to introduce myself, l']",
NGI,12,"[' all LMCO programs with Systems Safety Engineers. NGI, FBM? She is all staffed up in Utah and Californi', 'LMCO re: below ; NGI software manager hiring like crazy right now FTE ', 'ace Systems called me back and he is no longer on NGI, has moved on to BD for Golden Dome in Space BA r']",
ABQ,12,"[""Beeline numbers for call) Nick calls Albuquerque (ABQ) - LEOS - Mario Alleva is the lead there They're "", ""Beeline numbers for call) Nick calls Albuquerque (ABQ) - LEOS - Mario Alleva is the lead there They're "", ""Beeline numbers for call) Nick calls Albuquerque (ABQ) - LEOS - Mario Alleva is the lead there They're ""]",
ARMY,12,"[""ing (real time, gamified, etc.) - BRANER SAID THE ARMY & NAT'L GUARD WORK WE'RE SUPPORTING = AGUN (sp?) "", 'GDIT - ARMY DEVCOM - Project Manager - Meeting w/ Steve to di', 'GDIT - ARMY DEVCOM - Project Manager - Meeting w/ Steve to di']",
CSS,12,"['Palantir - Commercial/CSS/Swift Team Met with Chris, David, and Michael to ', 'Palantir - Commercial/CSS/Swift Team Met with Chris, David, and Michael to ', 'Palantir - Commercial/CSS/Swift Team Met with Chris, David, and Michael to ']",
ISSM,12,"['GDIT - ADCS - ISSM contract re-bid is in 2027, and the next contract', 'GDIT - ADCS - ISSM Mark got stuck in some meetings, trying to resche', ""GDIT - ADCS - ISSM RTP: chilled for the holidays, didn't do much RTB""]",
ESA,12,"['Leidos ESA-V RTP He use to live in Atlanta. Talked about sno', 'Leidos ESA V RTP Cliff is from Jersey, lives in Philly, and ', 'Leidos ESA V Cliff hopped on my scheduled Teams with Josina ']",
RFQ,12,"['tiple programs Works with subcontracts to compete RFQ to SOW opps and wants to connect me with he conta', ""urement needs to send us the formal offer and the RFQ. Said we'll have both of those before the end of "", ""umen, Federal Meeting, they'll have the JSP Model RFQ submitted to us by the end of the week and need q""]",
PSR,12,"["": Open billets in his region: ISSO III (Hanscom), PSR I (Hanscom) Rey Rosado potential issues, he can't"", 'owing items: Interview confirmations for ISSO and PSR candidates. Hanscom is experiencing network issue', 'by this week. Mentioned he expects an ISSM II and PSR I to be released to us by next week unless they f']",
ACC,12,"['so think OTA. There have been multiple events APG ACC has hosted to share how to submit white papers wi', 'Deloitte - ACC - tagged up with Eric to discuss the future poten', 'Deloitte - ACC - Eric scheduled the meeting to discuss the exten']",
MLS,12,"['l in the funding for this new low-orbit satellite MLS (Multi-Level Security Architecture). The program ', 'SSC - MLS Architecture - Tagged up with Barb and Tom to dis', 'SSC - MLS Architecture - Tagged up with Barb and Tom to dis']",
PRD,12,"[""other COLO's so going to be AT LEAST 2-3x as many PRD deployments without the larger power consuming GP"", 'od on the Measurements we laid out for all of the PRD, IB0, IB1, Callan Racks, and IDF rooms Add steps ', 'od on the Measurements we laid out for all of the PRD, IB0, IB1, Callan Racks, and IDF rooms Add steps ']",
APG,11,"[' vs remote, etc. CACI is incumbent on Megatron at APG. Currently at 300 people and recompete is about t', ' vs remote, etc. CACI is incumbent on Megatron at APG. Currently at 300 people and recompete is about t', 'have a big testing coming up in October onsite at APG...Adiel or Dan are the top choices from the comma']",
DHS,11,"['r career and wanted to manage a dedicated arm and DHS contract - hiring process = 1st - get approval, 2', 't with C-UAS. Expected RFP by Christmas. Supports DHS The Contractor shall provide, as applicable, the ', "" company. RTB: Most of his work is supporting the DHS, and right now his main contract they're working ""]",
GSA,11,"['g w/Braner Next Action Steps: RTB - Govt. (FEDSIM/GSA) put out an advanced notice last Friday - In supp', 'scussion regarding richard L cornerstone profile. GSA is moving very strict on all submissions. having ', 'S award IBM received earlier this year supporting GSA.']",
