piid,award_id,description,obligated_amount,base_and_all_options,awarding_agency,funding_agency,recipient_name,recipient_uei,naics,psc,pop_city,pop_state,pop_start_date,pop_end_date,subaward_count,subaward_total,discovery_date
47QFCA22F0051,,"THE PURPOSE OF THIS TO IS TO PROVIDE RESEARCH, DESIGN, DEVELOPMENT, INTEGRATION, T&E, INITIAL FIELDING AND OPERATION, LOGISTICS, MAINTENANCE, SUSTAINMENT, AND TRAINING FOR APPLICABLE C5ISR SYSTEMS.",0,0,,,,MDSWM6MB1BH7,541330,R499,,,,,537,0,2026-01-27
N6883622FJS0H,,NMCI SERVICES - SMIT 9/22- NEW ORDERS,0,0,,,,UE9QJD4KK1L6,541512,DA01,,,,,336,0,2026-01-27
28321322FDS030131,,ITSSC TASK ORDER FOR INFRASTRUCTURE,0,0,,,,MYKLJHTX3MM7,541519,DF01,,,,,33,0,2026-01-27
HT003822F0031,,"ENTERPRISE ACTIVITIES FOR THE MHS GENESIS ELECTRONIC HEALTH RECORD INCLUDING PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT, OPERATIONAL MANAGEMENT SOLUTIONS, AND LICENSE MAINTENANCE.",0,0,,,,UE9QJD4KK1L6,541512,7A21,,,,,37,0,2026-01-27
36C10X22N0045,,PRE-DISCHARGE MEDICAL DISABILITY EXAMINATIONS FOR DEPARTMENT OF VETERANS AFFAIRS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
M6785422F4205,,SMIT BASE YEAR 2 (BY2) ENTERPRISE SUPPORT SERVICES,0,0,,,,UE9QJD4KK1L6,541512,DA01,,,,,128,0,2026-01-27
36C10X21N0192,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 3 (MIDWEST)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X21N0188,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 2 (SOUTHEAST)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X21N0194,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 4 (PACIFIC)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X21N0183,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 1 (NORTHEAST)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
70B04C21F00000993,,TRAVELERS PROCESSING VETTING SOFTWARE (TPVS) ORDER 3,0,0,,,,JSTDGZNFP4A3,541519,DA01,,,,,83,0,2026-01-27
70T04021F7672N032,,THIS TASK ORDER IS FOR CPSS MID-SIZE DEPLOYMENT SERVICES RELATED TO THE DEPLOYMENT OF CHECKPOINT SCREENING EQUIPMENT.,0,0,,,,UE9QJD4KK1L6,541330,R706,,,,,33,0,2026-01-27
W5J9CQ21F0015,,HIGH-RESOLUTION THREE-DIMENSIONAL GEOSPATIAL INFORMATION (HR3DGI) OPERATIONS AND TECHNOLOGY INTEGRATION II (O&T II),0,0,,,,MDSWM6MB1BH7,541330,R405,,,,,512,0,2026-01-27
693KA721C00014,,"THE PURPOSE OF THIS CONTRACT IS TO ENHANCE AND MAINTAIN THE EN ROUTE AUTOMATION AND MODERNIZATION (ERAM), INCLUDING THE EN ROUTE INFORMATION DISPLAY SYSTEM (ERIDS), AND TO PRODUCE, IMPLEMENT, AND PROVIDE SUPPORT FOR A LIMITED NUMBER OF ERAM/ERIDS SYS",0,0,,,,UE9QJD4KK1L6,518210,K017,,,,,320,0,2026-01-27
HC102821F0135,,JFHQ DODIN,0,0,,,,UE9QJD4KK1L6,541513,DG01,,,,,42,0,2026-01-27
HC102821F0253,,DEPARTMENT OF DEFENSE (DOD) JOINT REGIONAL SECURITY STACK (JRSS) PORTFOLIO MANAGEMENT OFFICE (PMO) REQUIREMENTS,0,0,,,,UE9QJD4KK1L6,541513,DG01,,,,,74,0,2026-01-27
HC102821F0091,,"GSMO-II JSP PENETRATION HANDLING, INTRUSION & SYSTEM HEALTH.",0,0,,,,UE9QJD4KK1L6,541513,R799,,,,,146,0,2026-01-27
36C10X21N0054,,TASK ORDER FOR MEDICAL DISABILITY EXAMINATIONS DISTRICT 6/ NATIONAL MISSION- SERVICES,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
HT003821F0008,,"PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT, AND LICENSE MANAGEMENT FOR MHS GENESIS.",0,0,,,,UE9QJD4KK1L6,541512,7A21,,,,,78,0,2026-01-27
HC102821F0082,,GSMO-II NET ASSURANCE SUPPORT,0,0,,,,UE9QJD4KK1L6,541513,R799,,,,,65,0,2026-01-27
HC102821F0049,,DCCSS,0,0,,,,UE9QJD4KK1L6,541513,DG01,,,,,153,0,2026-01-27
75N91021F00001,,CENTER FOR SEROLOGICAL SCIENCES NETWORK (SERONET),0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,75,0,2026-01-27
N0003921F2014,,NMCI - TRANS SERV - PHASE-IN EXECUTION,0,0,,,,UE9QJD4KK1L6,541512,DA01,,,,,57,0,2026-01-27
HC102821F0002,,GSM-O II INTEGRATION SUPPORT,0,0,,,,UE9QJD4KK1L6,541513,DG01,,,,,179,0,2026-01-27
47QFDA21F0003,,HUD PHASE II CONTACT CENTER,0,0,,,,JSTDGZNFP4A3,541519,D325,,,,,0,0,2026-01-27
36C10X21N0013,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 3 (MIDWEST)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X21N0012,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 2 (SOUTHEAST)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X21N0014,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 4 (PACIFIC)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
70B04C20F00001348,,TRAVELER PROCESSING&VETTING SERVICES TASK ORDER 2,0,0,,,,JSTDGZNFP4A3,541519,D308,,,,,82,0,2026-01-27
47QFMA20F0031,,DMDC DCHRMS TASK ORDER,0,0,,,,JSTDGZNFP4A3,541519,D399,,,,,4,0,2026-01-27
HC102820F0500,,MAINTENANCE AND REPAIR OF THE DODIN/DISN INFRASTRUCTURE,0,0,,,,UE9QJD4KK1L6,541513,D316,,,,,1109,0,2026-01-27
75N91020F00039,,NIAID COVID-19 ACTIV3,0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,2,0,2026-01-27
75N91020F00003,,NCI OPERATIONAL TASK ORDER,0,0,,,,HV8BH9BPG8Y9,541715,M1HA,,,,,142,0,2026-01-27
75N91020F00004,,"NIAID DCR OPERATIONAL TASK ORDER COVID FUNDING IN THE AMOUNT OF $3,706,224 FOR COVID RELATED EFFORTS ON THIS TASK ORDER",0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,21,0,2026-01-27
75N91020F00006,,NIAID VRC,0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,42,0,2026-01-27
693KA720C00013,,ENTERPRISE INFORMATION DISPLAY SYSTEM (E-IDS),0,0,,,,WEFTSLL9UN87,518210,R408,,,,,211,0,2026-01-27
W56KGU20F0017,,THE PURPOSE OF THIS ACTION IS TO AWARD A FIVE (5) YEAR DEFINITIVE TASK ORDER UNDER THE GSA ALLIANT 2 GOVERNMENTWIDE ACQUISITION CONTRACT,0,0,,,,MDSWM6MB1BH7,541512,D304,,,,,263,0,2026-01-27
W56KGY20F0067,,THIS TASK ORDER IS CREATED FOR OPERATION AND SUSTAINMENT OF THE STAMP FOLLOW-ON REQUIREMENT.,0,0,,,,KTMAJCY6JXM3,541715,R425,,,,,376,0,2026-01-27
W58RGZ20C0024,,"CONTINUED SYSTEM OPERATIONS AND SUSTAINMENT SERVICES, AND TEST AND TRAINING SERVICES IN SUPPORT OF THE MULTI-SENSOR IMAGING SYSTEM KNOWN AS THE SATURN ARCH. FOLLOW-ON AWARD TO W911QX-16-C-0012.",0,0,,,,KTMAJCY6JXM3,488190,B538,,,,,71,0,2026-01-27
15A00020FAQA00189,,ESA V MANAGED SERVICES (ATF AND FCS),0,0,,,,MDSWM6MB1BH7,541512,D399,,,,,1233,0,2026-01-27
HT003820F0005,,"STAGE 6 ENTERPRISE SERVICES FOR MHS GENESIS, INCLUDING PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT, LICENSE MAINTENANCE, AND OPERATIONAL MANAGEMENT SERVICES.",0,0,,,,UE9QJD4KK1L6,541512,7030,,,,,49,0,2026-01-27
36C10X20N0065,,OPTION YEAR 4 TASK ORDER,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
693KA720F00004,,FUNDING FOR ASSOCIATED 693KA7-20-D-00001 CLINS,0,0,,,,UE9QJD4KK1L6,334511,5840,,,,,86,0,2026-01-27
HC102820F0001,,GSM-O TO39 MAINTENANCE AND REPAIR OF THE DISN INFRASTRUCTURE.,0,0,,,,MYKLJHTX3MM7,517110,D316,,,,,108,0,2026-01-27
HC102820F0032,,OPERATION AND SUSTAINMENT OF THE DODIN/DISN INFRASTRUCTURE,0,0,,,,UE9QJD4KK1L6,541513,D316,,,,,347,0,2026-01-27
N6523620F3902,,IGF:OT:IGF,0,0,,,,UE9QJD4KK1L6,541330,J058,,,,,71,0,2026-01-27
36C10X20N0032,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 2 (SOUTHEAST)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X20N0025,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 4 (PACIFIC)",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
693KA720C00002,,FUTURE FLIGHT SERVICES PROGRAM,0,0,,,,X38JVP4R72E1,488111,AD25,,,,,788,0,2026-01-27
W31P4Q25F0244,,SGT STOUT,0,0,,,,HAWKSQF848W7,336992,2355,,,,,0,0,2026-01-27
W912CH25C0055,,ABRAMS ENGINEERING PROGRAM IS A MODIFICATION TO THE EXISTING ABRAMS FLEET.,0,0,,,,HAWKSQF848W7,336992,AC13,,,,,0,0,2026-01-27
W912CH25F0119,,"STRYKER WHOLESALE SUPPLY IS A PERFORMANCE-BASED LOGISTICS CONTRACT THAT ALLOWS THE CONTRACTOR TO WAREHOUSE, INVENTORY, AND PURCHASE MATERIAL BASED ON A STRYKER VEHICLE DENSITY.",0,0,,,,HAWKSQF848W7,336992,R499,,,,,0,0,2026-01-27
W912CH25F0084,,"ABRAMS REQUIREMENTS CONTRACT, FIFTH DOMESTIC DELIVERY ORDER UPGRADING M1A1 TANKS TO SEPV3 VARIANT.",0,0,,,,HAWKSQF848W7,336992,2350,,,,,0,0,2026-01-27
N0002425C6401,,MK 54 MOD 1 LWT SONAR ASSEMBLY KITS,0,0,,,,MU3CM1145E44,334511,1355,,,,,0,0,2026-01-27
W15QKN24F0527,,"MANUFACTURE, ASSEMBLY, INSPECTION, PACKAGE, AND DELIVERY OF THE 155MM ARTILLERY M795 PROJECTILE BODY ASSEMBLY IN SUPPORT OF UKRAINE.",0,0,,,,V1TVADBWD4E9,332993,1320,,,,,4,0,2026-01-27
W31P4Q24F0183,,MANEUVER - SHORT RANGE AIR DEFENSE SYSTEM,0,0,,,,HAWKSQF848W7,336992,2355,,,,,33,0,2026-01-27
W56HZV24F0149,,SEPV3 ABRAM FAMILY OF VEHICLES,0,0,,,,HAWKSQF848W7,336992,2350,,,,,135,0,2026-01-27
W56HZV24F0155,,STRYKER WHOLESALE SUPPLY PBL- FUNDING OP1 TASK ORDER FOR FY24.,0,0,,,,HAWKSQF848W7,336992,R499,,,,,51,0,2026-01-27
W56HZV24F0030,,"ABRAMS REQUIREMENTS CONTRACT - FOURTH DOMESTIC DELIVERY ORDER UTILIZING YEAR THREE ORDERING PERIOD, (34) VEHICLES.",0,0,,,,HAWKSQF848W7,336992,2350,,,,,184,0,2026-01-27
W15QKN23F0612,,UKRAINE: PRODUCE AND DELIVER M1128 METAL PARTS.  THE GOVERNMENT COMPETED THE AWARD AND MADE A SINGLE AWARD TO AID AND SUPPORT THE CONFLICT IN UKRAINE.,0,0,,,,NGT4B82M4Q51,332993,1320,,,,,6,0,2026-01-27
W31P4Q23F0188,,MANEUVER - SHORT RANGE AIR DEFENSE SYSTEM,0,0,,,,HAWKSQF848W7,336992,2355,,,,,14,0,2026-01-27
W56HZV23C0025,,PHASE 3 AND 4 DEVELOPMENT WITH 7 PROTOTYPE DELIVERABLES OF THE OPTIONALLY MANNED FIGHTING VEHICLE.,0,0,,,,HAWKSQF848W7,336992,2350,,,,,91,0,2026-01-27
W56HZV23F0159,,300 STRYKER DVH NEW AND EXCHANGE VEHICLES IN SUPPORT OF STRYKER BRIGADE COMBAT TEAM (SBCT) 5TH BRIGADE PRODUCTION CONTRACT,0,0,,,,HAWKSQF848W7,336992,2355,,,,,230,0,2026-01-27
W519TC23F0243,,SCAAP PRODUCTION BASED SUPPORT FOR UNIVERSAL ARTILLERY PROJECTILE LINE C AWARDED AS A UCA,0,0,,,,V1TVADBWD4E9,561210,M1EA,,,,,0,0,2026-01-27
W519TC23F0171,,155MM CAPACITY EXPANSION PROJECT FOR M795 AND M1128 TO 65K/MONTH,0,0,,,,V1TVADBWD4E9,561210,M1EA,,,,,0,0,2026-01-27
W519TC23F0096,,PRODUCTION BASE SUPPORT PROJECT FOR UNIVERSAL ARTILLERY PROJECTILE LINE B AWARDED AS A UCA,0,0,,,,V1TVADBWD4E9,561210,M1EA,,,,,0,0,2026-01-27
W56HZV23F0110,,FUNDING TASK ORDER FOR THE FY23 WHOLESALE SUPPLY PBL ORDERING PERIOD,0,0,,,,HAWKSQF848W7,336992,2355,,,,,31,0,2026-01-27
W56HZV23F0005,,ABRAMS PRODUCTION NEW DELIVERY ORDER W56HZV-23-F-0005 TO INCORPORATE A QUANTITY OF 44 M1A2 ABRAMS SEPV3 VEHICLES FOR DOMESTIC.,0,0,,,,HAWKSQF848W7,336992,2350,,,,,50,0,2026-01-27
W519TC23F0033,,PRODUCTION BASE SUPPORT PROJECT FOR UNIVERSAL ARTILLERY PROJECTILE LINE AT SCAAP,0,0,,,,V1TVADBWD4E9,561210,M1EA,,,,,0,0,2026-01-27
W56HZV23F0072,,ESTABLISH AND FUND DELIVERY ORDER 1 FOR THE STRYKER NORTH MACEDONIA PRODUCTION CONTRACT.,0,0,,,,HAWKSQF848W7,336992,2355,,,,,1,0,2026-01-27
W15QKN22F0539,,"MANUFACTURE, PRODUCE, AND DELIVER 7,352 155MM M795 METAL PARTS IN SUPPORT OF PROJECT MANAGER, COMBAT AMMUNITION SYSTEMS.",0,0,,,,V1TVADBWD4E9,332993,1320,,,,,11,0,2026-01-27
W56HZV22F0353,,M1 ABRAMS FAMILY OF VEHICLES.,0,0,,,,HAWKSQF848W7,336992,2350,,,,,289,0,2026-01-27
W52P1J22F0208,,"THIS AWARD IS TO ISSUE REQUIREMENTS FOR THE MK80 SERIES GENERAL PURPOSE BOMB KITS - WHICH CONSISTS OF THE MK81-1 BOMB BODY, MK82-1 BOMB BODY, MK84-4 BOMB BODY, MK3-0 SUSPENSION LUG, MS3314 SUSPENSION LUGS, ALUMINUM POWDER AND TNT.",0,0,,,,H2TPPTLN7D18,332993,1325,,,,,28,0,2026-01-27
W56HZV22F0141,,M1 ABRAMS FAMILY OF VEHICLES.,0,0,,,,HAWKSQF848W7,336992,2350,,,,,60,0,2026-01-27
W56HZV22C0012,,"PURPOSE OF THIS AWARD IS A NEW OPTION CONTRACT TO GENERAL DYNAMICS LAND SYSTEMS (GDLS) FOR 5,940,169 HOURS OF SYSTEM TECHNICAL SUPPORT (STS)/SUSTAINMENT SYSTEM TECHNICAL SUPPORT (SSTS).",0,0,,,,HAWKSQF848W7,336992,K010,,,,,78,0,2026-01-27
W56HZV22F0140,,ABRAMS REQUIREMENT CONTRACT (ARC) II SECOND DELIVERY ORDER OF ABRAMS TANKS SEPV3 VEHICLES,0,0,,,,HAWKSQF848W7,336992,2350,,,,,21,0,2026-01-27
W31P4Q22F0013,,MANEUVER-SHORT RANGE AIR DEFENSE SYSTEM PRODUCTION.,0,0,,,,HAWKSQF848W7,336992,2355,,,,,16,0,2026-01-27
W56HZV22F0080,,FY22 WHOLESALE SUPPLY ORDERING PERIOD 4 CALL UP,0,0,,,,HAWKSQF848W7,336992,2355,,,,,0,0,2026-01-27
W56HZV22C0005,,EMD/M1A2T,0,0,,,,HAWKSQF848W7,336992,2350,,,,,50,0,2026-01-27
