piid,award_id,description,obligated_amount,base_and_all_options_value,awarding_agency,funding_agency,awarding_office,funding_office,recipient_name,recipient_uei,recipient_duns,naics_code,naics_description,psc_code,psc_description,contract_type,idv_type,pop_city,pop_state,pop_zip,pop_country,pop_start_date,pop_end_date,pop_potential_end_date,award_date,fiscal_year,set_aside,extent_competed,subaward_count,subaward_total
F1962802C0010,,"200204!000024!5700!GV59  !ESC/NDK                         !F1962802C0010  !A!N! !N!                   !20020130!20020930!052819732!052819732!001216845!N!ITT INDUSTRIES, INC , SYSTEMS !4410 E  FOUNTAIN BLVD     !COLORADO SPRIN      !CO!80916!16000!041!08!COLORADO SPRINGS    !EL PASO               !COLORADO  !+000003175920!N!N!000519009204!J099!MAINT & REPAIR OF EQ/MISCELLANEOUS EQUIPMENT      !A7 !ELECTRONICS AND COMMUNICATION !3GWQ!474L BMEWS                    !541512!E! !3! ! ! ! ! !99990909!B! ! !B! !A!N!R!2!002!B!  !Z!N!Z!  !  !N!C!N! ! ! !A!A!A!A!000!A!D!N! ! ! ! !    !      !0001!",0,0,,,,,,LHJPD6T16EV9,,334511,,J058,,,,,,,,,,,2002-01-30,2002,,,0,0
NSFDACS1219442,,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM,0,0,,,,,,NTWCWULE48A8,,561210,,M1HA,,,,,,,,,,,2011-12-23,2012,,,2094,0
36C10B21N10150056,,"PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES (PTEMS)WHICH INCLUDES PRODUCT DELIVERY AND LIFECYCLE MANAGEMENT TO TRANSFORM VA BY TAPPING INTO EMERGING TECHNOLOGIES, CONNECTING DEVELOPERS WITH VA DATA, AND MAKING HUMAN CENTERED DESIGN (HCD).",0,0,,,,,,GLGMWJ8EVMR9,,541512,,DA01,,,,,,,,,,,2021-01-07,2021,,,94,0
FA882316C0004,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",0,0,,,,,,L2TTR2QRV8H9,,517410,,R425,,,,,,,,,,,2016-06-13,2016,,,68,0
NNK13MA14C,,"IGF::OT::IGF THE TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) IS A COST-PLUS-AWARD-FEE CONTRACT WITH AN INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDERING PROVISION. TOSC PROVIDES A PROCESSING CONTRACT FOR THE KENNEDY SPACE CENTER (KSC) SUPPORTING MULTIPLE CUSTOMERS. THE SCOPE OF THIS CONTRACT INCLUDES PROGRAM MANAGEMENT AND CONTROL; SAFETY AND MISSION ASSURANCE; INFORMATION MANAGEMENT; PROCESSING SUPPORT SYSTEMS AND INTEGRATION; FLIGHT HARDWARE PROCESSING; GROUND SYSTEMS OPERATIONS, MAINTENANCE AND SUSTAINING ENGINEERING; LOGISTICS AND SPACEPORT SERVICES. TOSC PROVIDES OVERALL MANAGEMENT AND IMPLEMENTATION OF GROUND SYSTEMS CAPABILITIES, FLIGHT HARDWARE PROCESSING AND LAUNCH OPERATIONS AT KSC IN FLORIDA. THESE TASKS WILL SUPPORT THE INTERNATIONAL SPACE STATION, GROUND SYSTEMS DEVELOPMENT AND OPERATIONS, AND THE SPACE LAUNCH SYSTEM, ORION MULTI-PURPOSE CREW VEHICLE AND LAUNCH SERVICES PROGRAMS. TOSC ALSO PROVIDES GROUND PROCESSING FOR LAUNCH VEHICLES, SPACECRAFT AND PAYLOADS IN SUPPORT OF EMERGING PROGRAMS, COMMERCIAL ENTITIES AND OTHER GOVERNMENT AGENCIES AS DESIGNATED BY THE GOVERNMENT. SERVICES INCLUDE ADVANCED PLANNING AND SPECIAL STUDIES; DEVELOPMENT OF DESIGNATED GROUND SYSTEMS; OPERATIONAL SUPPORT FOR DESIGN AND DEVELOPMENT OF FLIGHT HARDWARE AND GROUND SYSTEMS; SPACECRAFT, PAYLOAD, AND LAUNCH VEHICLE SERVICING AND PROCESSING; GROUND SYSTEMS SERVICES; AND LOGISTICS AND OTHER PROCESSING SUPPORT SERVICES. FLIGHT HARDWARE PROCESSING AND SERVICING ACTIVITIES INCLUDE ASSEMBLY, INTEGRATION, CHECKOUT, AND DEPOT-LEVEL MAINTENANCE AND REPAIR. LAUNCH VEHICLE AND SPACECRAFT OPERATIONS INCLUDE ADVANCED PLANNING, ELEMENT PROCESSING, INTEGRATION, TEST, LAUNCH AND RECOVERY SERVICES. GROUND SYSTEMS SERVICES INCLUDE OPERATIONS, MAINTENANCE AND VALIDATION OF ASSOCIATED GROUND SYSTEMS AND SUPPORT EQUIPMENT NECESSARY FOR HUMAN SPACE FLIGHT AND EXPLORATION. CONTRACT ACTIVITIES WILL BE PERFORMED IN THE MOST COST-EFFECTIVE AND EFFICIENT MANNER SUPPORTING THE GOVERNMENT S PRIORITIES FOR SAFETY, MISSION SUCCESS, CUSTOMER SATISFACTION AND INNOVATION WHILE MAINTAINING FLEXIBILITY AND RESPONSIVENESS TO CHANGING REQUIREMENTS. WITH THE AWARD OF THIS CONTRACT, KSC IS POSITIONING ITSELF FOR THE NEXT ERA OF SPACE EXPLORATION. KSC IS TRANSITIONING TO A 21ST-CENTURY LAUNCH FACILITY WITH MULTIPLE USERS, BOTH PRIVATE AND GOVERNMENT. A DYNAMIC INFRASTRUCTURE IS TAKING SHAPE, DESIGNED TO HOST MANY KINDS OF SPACECRAFT AND ROCKETS SENDING PEOPLE ON AMERICA'S NEXT VOYAGES IN SPACE.",0,0,,,,,,H2RGSKWXKHQ5,,541712,,AR36,,,,,,,,,,,2012-12-17,2013,,,1368,0
FA821920C0006,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),0,0,,,,,,D8QQPFNYJD63,,336414,,AC24,,,,,,,,,,,2020-09-08,2020,,,4019,0
89243318CFE000003,,RESEARCH SUPPORT SERVICES (RSS),0,0,,,,,,MYKLJHTX3MM7,,541715,,R425,,,,,,,,,,,2018-06-25,2018,,,2244,0
SAQMMA12C0130,,"IGF::OT::IGF THE PURPOSE OF THIS ACTION IS TO ESTABLISH A NEW CONTRACT WITH GENERAL DYNAMICS INFORMATION TECHNOLOGY FOR GLOBAL SUPPLY CHAIN MANAGEMENT, LOGISTICS AND TECHNOLOGY DEVELOPMENT SERVICES TO SUPPORT THE DEPARTMENT OF STATE. THE INITIAL FUNDING ASSOCIATED WITH THIS CONTRACT IS $22,304,578.00. THE OVERALL CONTRACT VALUE IS $2,200,000,000.00",0,0,,,,,,SMNWM6HN79X5,,541614,,R706,,,,,,,,,,,2012-06-08,2012,,,0,0
19AQMM18C0185,,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,0,0,,,,,,SMNWM6HN79X5,,541614,,R706,,,,,,,,,,,2018-09-05,2018,,,5952,0
47QFRA19F0011,,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,0,0,,,,,,N3PBJAVNKF61,,541512,,7010,,,,,,,,,,,2019-05-03,2019,,,2,0
FA880710C0001,,ADVANCED CONTROL SEGMENT PHASE B BLOCKS 1 AND 2,0,0,,,,,,JLWLJXQ3M995,,541712,,AC27,,,,,,,,,,,2010-02-25,2010,,,0,0
28321322FDS030130,,ITSSC TASK ORDER FOR SYSTEMS,0,0,,,,,,MYKLJHTX3MM7,,541519,,DF01,,,,,,,,,,,2022-06-30,2022,,,85,0
70T04019C9DAP3006,,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,0,0,,,,,,UE9QJD4KK1L6,,811219,,J063,,,,,,,,,,,2019-09-11,2019,,,222,0
F4261098C0001,,199807!5700!0128!GE50 !OGDEN ALC/LMK                   !F4261098C0001  !A!*!*                  !19971222!20120930!621385392!004179453!004179453!N!11982!TRW INC                       !1 SPACE PARK BLVD         !REDONDO BEACH       !CA!90278!60018!037!06!REDONDO BEACH       !LOS ANGELES           !CALIFORNIA!0001!+000000881011!N!N!000000000000!L014!TECH REP SVCS/GUIDED MISSILES                     !A2 !MISSILE AND SPACE SYSTEMS     !3CMU!LGM-30 MINUTEMAN              !8711!3!*!*!*!B!B!*!A !N!R!2!002!B!* !Z!N!Z!* !* !N!C!*!A!A!A!A!A!*!*  !*!N!A!C!N!*!*!*!*!*!,0,0,,,,,,TDJLWKKV1GJ3,,541330,,L014,,,,,,,,,,,1997-12-22,1998,,,0,0
47QFCA22F0047,,TASK ORDER AWARD,0,0,,,,,,JCBMLGPE6Z71,,541330,,R499,,,,,,,,,,,2022-08-22,2022,,,4,0
W91CRB20F0448,,AWARD OF 11 MONTH TASK ORDER FOR GENERAL SERVICES THROUGH 31 JULY 2021.,0,0,,,,,,H2RGSKWXKHQ5,,541330,,R425,,,,,,,,,,,2020-08-31,2020,,,83,0
N0001918C1021,,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,0,0,,,,,,QN1BCFY7JDJ5,,336412,,2840,,,,,,,,,,,2018-03-23,2018,,,53,0
W56HZV19C0036,,MOBILE PROTECTED FIREPOWER ENGINEERING MANUFACTURING AND DEVELOPMENT / MIDDLE TIER ACQUISITION,0,0,,,,,,HAWKSQF848W7,,336992,,2350,,,,,,,,,,,2018-12-17,2019,,,471,0
W911QX24F0113,,TASK ORDER OFF A COMMERCIAL SOLUTIONS OPENING (CSO) FOR RESEARCH AND DEVELOPMENT FOR MAVEN SMART SYSTEM (MSS) PRODUCTION LICENSES.,0,0,,,,,,HNN4F9JZWDY8,,541715,,AC35,,,,,,,,,,,2024-09-26,2024,,,0,0
FA881018C0006,,NEXT GENERATION OVERHEAD PERSISTENT INFRARED POLAR SPACE VEHICLES 1 AND 2 STUDY.,0,0,,,,,,VSBAFMDKTWL4,,541715,,AR24,,,,,,,,,,,2018-06-25,2018,,,595,0
47QFRA24F0005,,CDM DEFEND GROUP A  BRIDGE TASK ORDER,0,0,,,,,,N3PBJAVNKF61,,541512,,DA01,,,,,,,,,,,2024-04-19,2024,,,752,0
47QFCA20F0015,,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.",0,0,,,,,,MBSRAWAQ9559,,541512,,D399,,,,,,,,,,,2019-12-18,2020,,,151,0
