prime_search,piid,award_date,description,obligated,base_and_exercised_options_value,total_contract_value,awarding_agency,funding_agency,recipient_name,recipient_uei,naics_code,psc_code,pop_city,pop_state,pop_start,pop_end,pop_ultimate,fiscal_year,idv_type,set_aside,award_type
Raytheon,FA821825FB032,2025-09-26,"RED SWITCH: THIS IS NOT A NEW START REQUIREMENT. DELIVERY ORDER INITIATED UNDER CONTRACT FA8218-20-D-0001 TO PROVIDE FOR SPARES FOR VARIOUS SITES. THIS IS A PRE-PRICED EFFORT. WORK LOCATION(S): RAYTHEON, LARGO, FL 33777",401374.0,401374.0,401374.0,Department of the Air Force,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,7E20,HILL AFB,UT,2025-09-26,2027-04-25,2027-04-25,2025,B,,Delivery Order
Raytheon,FA821825FB034,2025-09-26,"RED SWITCH: THIS IS NOT A NEW START REQUIREMENT.  DELIVERY ORDER INITIATED UNDER CONTRACT FA8218-20-D-0001 TO PROVIDE SPARES FOR HANSCOM PMO.  THIS IS A PRE-PRICED EFFORT.  WORK LOCATION(S): RAYTHEON, LARGO, FL 33777",7007920.0,7007920.0,7007920.0,Department of the Air Force,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,7E20,SEMINOLE,FL,2025-09-26,2028-06-25,2028-06-25,2025,B,,Delivery Order
Raytheon,N0001925F0298,2025-09-25,INTEGRATION OF THE RAYTHEON WEAPON SERVER AT DIFFERENT JSE LOCATIONS,941803.0,941803.0,941803.0,Department of the Navy,Department of Defense,RAYTHEON COMPANY,VTEWM5QSE598,336414,J014,TUCSON,AZ,2025-09-25,2026-09-30,2026-09-30,2025,B,,Delivery Order
Raytheon,FA821825FB038,2025-09-23,"THIS IS NOT A NEW START REQUIREMENT. DELIVERY ORDER INITIATED UNDER CONTRACT FA8218-20-D-0001 TO PROVIDE FOR REPAIRS FOR CACS CUSTOMER AT ALBUQUERQUE. THIS IS A PRE-PRICED EFFORT. WORK LOCATION(S): RAYTHEON, LARGO, FL 33777",2725.0,2725.0,2725.0,Department of the Air Force,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,DE01,SEMINOLE,FL,2025-09-23,2026-06-20,2026-06-20,2025,B,,Delivery Order
Raytheon,FA821825FB036,2025-09-19,"RED SWITCH: THIS IS NOT A NEW START REQUIREMENT.  DELIVERY ORDER INITIATED UNDER CONTRACT FA8218-20-D-0001 TO PROVIDE FOR REPAIRS FOR VIPSAM.  THIS IS A PRE-PAID EFFORT.  WORK LOCATION(S): RAYTHEON, LARGO, FL 33777.",51527.0,51527.0,51527.0,Department of the Air Force,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,DE01,SEMINOLE,FL,2025-09-19,2026-06-16,2026-06-16,2025,B,,Delivery Order
Raytheon,FA821825FB029,2025-09-19,RED SWITCH: INITIATE A TASK ORDER AGAINST CONTRACT FA8218-20-D-0001 TO PURCHASE REPAIRS FOR THE CCSS DEPOT . THIS WORK WILL BE ACCOMPLISHED AT RAYTHEON 33777.,178385.0,178385.0,178385.0,Department of the Navy,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,DE01,SEMINOLE,FL,2025-09-19,2026-06-16,2026-06-16,2025,B,,Delivery Order
Raytheon,FA821825FB035,2025-09-19,RED SWITCH: INITIATE A TASK ORDER AGAINST CONTRACT FA8218-20-D-0001 TO PURCHASE REPAIRS FOR PACOM. THIS WORK WILL BE ACCOMPLISHED AT RAYTHEON 33777.,21800.0,21800.0,21800.0,Department of the Navy,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,DE01,SEMINOLE,FL,2025-09-19,2026-06-16,2026-06-16,2025,B,,Delivery Order
Raytheon,FA821825FB030,2025-09-19,"RED SWITCH: THIS IS NOT A NEW START REQUIREMENT. DELIVERY ORDER INITIATED UNDER CONTRACT FA8218-20-D-0001 TO PROVIDE FOR REPAIRS FOR E-4B. THIS IS A PRE-PRICED EFFORT. WORK LOCATION(S): RAYTHEON, LARGO, FL 33777",26764.0,26764.0,26764.0,Department of the Air Force,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,DE01,SEMINOLE,FL,2025-09-19,2026-06-16,2026-06-16,2025,B,,Delivery Order
Raytheon,W9124P25F0704,2025-09-18,"RFP TRACKING:P1093 (202374-8), PROJECT TITLE: 7745 RAYTHEON IMPROVEMENTS",2051123.54,2051123.54,2051123.54,Department of the Army,Department of Defense,"CCI UTILITY AND CONSTRUCTION SERVICES, LLC",MC5NT1MDXNJ4,236220,C1QA,HUNTSVILLE,AL,2025-09-22,2026-09-21,2026-09-21,2025,B,,Delivery Order
Raytheon,FA821825FB028,2025-09-16,RED SWITCH: PURCHASE REPAIRS FOR PRESIDENTIAL AND NATIONAL VOICE PROCESSING (PNVC) SYSTEM .,77541.0,77541.0,77541.0,Department of the Air Force,Department of Defense,Raytheon Company,GMBYU6KAN9J3,811213,DE01,SEMINOLE,FL,2025-09-16,2026-06-13,2026-06-13,2025,B,,Delivery Order
Northrop,47QSSC26P08JB,2025-11-13,"WRENCH, RATCHET: STRAIGHT SINGLE HEAD RATCHETING (6-POINT) OVERALL LENGTH: 45-11/16 INCHES WRENCH OPENING: 3-7/8 INCHESMATERIAL: IRON FEATURES: WITH REVERSING MECHANISM NORTHROP GRUMMAN SYSTEMS PN 1808471 OR EQUAL (PARTIAL DESCRIPTION)",3170.98,3170.98,3170.98,Federal Acquisition Service,General Services Administration,"LYEV, LLC",VR8JLPT2L353,332216,5110,ROSEVILLE,MI,2025-11-13,2025-12-18,2025-12-18,2026,,NONE,Purchase Order
Northrop,47QSSC25P1Z9U,2025-09-09,"SPANNER ATTACHMENT,SOCKET WRENCH: NORTHROP GRUMMAN SYSTEMS CORP. PN 465-9483 (PARTIAL DESCRIPTION)",4961.32,4961.32,4961.32,Federal Acquisition Service,General Services Administration,OS 2 CORP,NEV7LBSKTH95,332216,5110,FORT LAUDERDALE,FL,2025-09-09,2026-09-09,2026-09-09,2025,,NONE,Purchase Order
Northrop,HC102825F1172,2025-09-09,NORTHROP GRUMMAN - TIGER SOFTWARE,88838.36,88838.36,88838.36,Defense Information Systems Agency,Department of Defense,"ADVANCED COMPUTER CONCEPTS, INC.",CGE8ABMZLZN9,541519,7E20,FORT HUACHUCA,AZ,2025-09-09,2026-09-14,2026-09-14,2025,A,,Delivery Order
Northrop,HC102825P0063,2025-09-03,NORTHROP GRUMMAN GATEWAY MANAGER SOFTWARE SUBSCRIPTION,15461.0,15461.0,15461.0,Defense Information Systems Agency,Department of Defense,Northrop Grumman Systems Corporation,LEMLXG994AU3,513210,7A21,FORT GEORGE G MEADE,MD,2025-09-03,2026-08-11,2026-08-11,2025,,NONE,Purchase Order
Northrop,N6449825FX090,2025-08-04,"THE LHD 1 ANALOG HELM WHEEL ASSEMBLY IS OBSOLETE. THE PURPOSE OF THIS EFFORT IS FOR NORTHROP GRUMMAN MISSION SYSTEMS (NGMS), REPLACE KNOWN DIMINISHING MANUFACTURING SOURCE (DMS) COMPONENTS ON THE HELM WHEEL ASSEMBLY.",383677.26,383677.26,383677.28,Department of the Navy,Department of Defense,Northrop Grumman Systems Corporation,PQGNEEY9W5M3,541512,R425,PHILADELPHIA,PA,2025-08-04,2026-07-31,2026-07-31,2025,B,,Delivery Order
Northrop,47QSSC25P1L8F,2025-07-25,"WRENCH, RATCHET: STRAIGHT SINGLE HEAD RATCHETING (6-POINT) OVERALL LENGTH: 45-11/16 INCHES WRENCH OPENING: 3-7/8 INCHESMATERIAL: IRON FEATURES: WITH REVERSING MECHANISM NORTHROP GRUMMAN SYSTEMS PN 1808471 OR EQUAL (PARTIAL DESCRIPTION)",2989.25,2989.25,2989.25,Federal Acquisition Service,General Services Administration,"LYEV, LLC",VR8JLPT2L353,332216,5110,ROSEVILLE,MI,2025-07-25,2025-08-29,2025-08-29,2025,,NONE,Purchase Order
Northrop,47QSSC25P0RQG,2025-02-28,"PILOT, INSTALLATION: COATING: PHOSPHATE IAW NORTHROP GRUMMAN SYSTEMS CORP. DRAWING NUMBER 123GT10116 (EXCEPTIONS APPLY) (PARTIAL DESCRIPTION)",63.0,63.0,63.0,Federal Acquisition Service,General Services Administration,TIMBER EDGE MACHINE INC.,DZGBK33GGGJ7,332216,5120,STEVENSVILLE,MT,2025-02-28,2025-03-21,2025-03-21,2025,,NONE,Purchase Order
Northrop,FA229125CB003,2024-12-20,NORTHROP GRUMMAN FOR SPOC MFP CSO,5230952.0,5230952.0,6927436.0,Department of the Air Force,Department of Defense,Northrop Grumman Systems Corporation,LEMLXG994AU3,541715,AC11,SAN DIEGO,CA,2024-12-21,2025-12-20,2025-12-20,2025,,NONE,Definitive Contract
Northrop,N6600125P6030,2024-12-18,NORTHROP GRUMMAN TACTICAL DATA LINK (TDL) SERVER AND INTERFACE LINK,91653.0,91653.0,91653.0,U.S. Coast Guard,Department of Homeland Security,Northrop Grumman Systems Corporation,LEMLXG994AU3,334220,7B22,SAN DIEGO,CA,2024-12-18,2025-07-18,2025-07-18,2025,,NONE,Purchase Order
Northrop,HC102825F0042,2024-11-18,NORTHROP GRUMMAN SW,1150942.08,1150942.08,3557444.49,Defense Information Systems Agency,Department of Defense,"NEW TECH SOLUTIONS, INC.",XK11LLUL61A7,541519,7A21,FREMONT,CA,2024-11-18,2025-11-17,2027-11-17,2025,A,,Delivery Order
Lockheed Martin Missiles & Fire Control,47QSWA23F3UGD,2023-05-10,"FILING CABINET, GRAY, CLASS-6, 1-DRAWER, SPECIAL SIZE, SINGLE LOCK, STYLE-1, KEY CHANGE COMBINATION LOCK  SEE CUSTOMER POC BELOW:  JASON PURIFOY SECURITY SENIOR MANAGER LOCKHEED MARTIN MISSILES AND FIRE CONTROL ARKANSAS HWY 274, CAMDEN, AR 71701 O 87",8094.93,8094.93,8094.93,Federal Acquisition Service,General Services Administration,"HAMILTON PRODUCTS GROUP, INC.",NC8CWJNZXMU5,337214,7110,CINCINNATI,OH,2023-05-10,2023-08-08,2023-08-08,2023,E,SBP,BPA Call
Lockheed Martin Missiles & Fire Control,W31P4Q22F0106,2022-09-22,"TASK ORDER AWARDED TO LOCKHEED MARTIN MISSILES & FIRE CONTROL FOR THE PERFORMANCE WORK STATEMENT (PWS) ENTITLED, ""PRSM INCREMENT 2 DEVELOPMENT AND DEMONSTRATION"".",158004675.89,13584000.0,212283795.0,Department of the Army,Department of Defense,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,541715,AC13,GRAND PRAIRIE,TX,2022-09-22,2027-02-27,2027-02-27,2022,B,,Delivery Order
Lockheed Martin Missiles & Fire Control,W31P4Q22F0004,2021-10-28,"TASK ORDER AWARDED TO LOCKHEED MARTIN MISSILES & FIRE CONTROL FOR THE PERFORMANCE WORK STATEMENT (PWS) ENTITLED, ""RECISION STRIKE MISSILE (PRSM) INCREMENT 2 (SPIRAL 1) LONG LEAD ACTIVITIES"".",18717821.0,17586164.0,18717821.0,Department of the Army,Department of Defense,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,541715,AC13,GRAND PRAIRIE,TX,2021-10-28,2026-12-30,2026-12-30,2022,B,,Delivery Order
Lockheed Martin Missiles & Fire Control,W31P4Q18C0033,2017-11-30,"THIS REQUIREMENT IS TO AWARD THE DEPOT-LEVEL DIAGNOSTICS, REPAIR AND RETURN OF PATRIOT ADVANCE CAPABILITY-3 (PAC-3) GROUND SUPPORT EQUIPMENT (GSE) SECONDARY ITEMS.  A SOLE SOURCE, COST-PLUS-FIXED-FEE (CPFF) TYPE CONTRACT WILL BE ISSUED.  THE RESULTANT CONTRACT ACTION WILL BE FUNDED WITH FMS CASE FUN",8325046.0,1942713.0,-1260639.99,Department of the Army,Department of Defense,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,541990,J014,GRAND PRAIRIE,TX,2017-12-01,2021-03-31,2021-03-31,2018,,NONE,Definitive Contract
Lockheed Martin Missiles & Fire Control,HR001117C0083,2017-05-12,IGF::OT::IGF COTS-X. LOCKHEED MARTIN MISSILES AND FIRE CONTROL (LMMFC) IS AWARE OF AND HAS ALTERED A NUMBER OF COMMERCIAL TECHNOLOGIES TO PERFORM A DISRUPTIVE MILITARY MISSION. LMMFC PROPOSES TO FINALIZE CONCEPTUAL DESIGNS PRODUCED ON PREVIOUS EFFORTS AND INTEGRATE MULTIPLE COMMERCIAL TECHNOLOGIES V,1165168.0,917237.0,1165168.0,Defense Advanced Research Projects Agency,Department of Defense,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,541712,AD92,ORLANDO,FL,2017-05-01,2018-01-31,2018-01-31,2017,,NONE,Definitive Contract
Lockheed Martin Missiles & Fire Control,DENR0000422,2012-05-30,LOCKHEED MARTIN MISSILES AND FIRE AND CONTROL MEETING,0.0,37035.0,37035.0,,,LOCKHEED MARTIN CORP,MAENKG4UJLK8,335311,6110,ARCHBALD,PA,2012-05-30,2012-07-01,2012-07-01,2012,,NONE,Definitive Contract
Lockheed Martin Missiles & Fire Control,0116,2006-02-28,200605!002224!2100!W58RGZ!USA AVIATION AND MISSILE COMMAND!DAAH2303G0009  !A!N! !N!0116         !      !20060228!20070131!196189385!196189385!834951691!N!LOCKHEED MARTIN CORPORATION   !5600 WEST SAND LAKE ROAD  !ORLANDO             !FL!32819!53000!095!12!ORLANDO             !ORANGE                !F,156595.0,0.0,0.0,Department of the Army,Department of Defense,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,,1270,,FL,2006-02-28,2007-01-31,,2006,B,NONE,Delivery Order
Lockheed Martin Missiles & Fire Control,0043,2006-01-26,200604!001657!2100!W58RGZ!USA AVIATION AND MISSILE COMMAND!DAAH2302D0321  !A!N! !N!0043         !      !20060126!20071231!196189385!196189385!834951691!N!LOCKHEED MARTIN CORPORATION   !5600 WEST SAND LAKE ROAD  !ORLANDO             !FL!32819!53000!095!12!ORLANDO             !ORANGE                !F,2394787.0,0.0,0.0,Department of the Army,Department of Defense,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,,1270,,FL,2006-01-26,2009-04-30,,2006,B,NONE,Delivery Order
Lockheed Martin Missiles & Fire Control,W31P4Q06P0131,2006-01-11,200604!001109!2100!W31P4Q!USA AVIATION AND MISSILE COMMAND!W31P4Q06P0131  !A!N! !N!             !      !20060111!20070228!158140041!158140041!834951691!N!LOCKHEED MARTIN CORPORATION   !497 ELECTRONICS PKWY # 5 #!LIVERPOOL           !NY!13088!73000!067!36!SYRACUSE            !ONONDAGA              !N,87118.0,0.0,0.0,Department of the Army,Department of Defense,Lockheed Martin Corporation,H11HD5VHGHN3,541690,1270,,NY,2006-01-11,2007-02-28,,2006,,NONE,Purchase Order
Lockheed Martin Missiles & Fire Control,0004,2005-12-22,200603!001282!2100!W58RGZ!USA AVIATION AND MISSILE COMMAND!W58RGZ04G0017  !A!N! !N!0004         !      !20051222!20061231!196189385!196189385!834951691!N!LOCKHEED MARTIN CORPORATION   !5600 WEST SAND LAKE ROAD  !ORLANDO             !FL!32819!53000!095!12!ORLANDO             !ORANGE                !F,12179977.33,0.0,0.0,Department of the Army,Department of Defense,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,,J012,,FL,2005-12-22,2007-06-30,2007-06-30,2006,B,NONE,Delivery Order
SAIC / Army,GSQ0014AJ0041,2014-02-06,"IGF::OT::IGF TASK ORDER (TO) GSQ0014AJ0041 IS HEREBY AWARDED TO SCIENCE APPLICATIONS INTERNATIONAL CORPORATION (SAIC) TO PROVIDE THE U.S ARMY HUMANS RESOURCE COMMAND (HRC) WITH MAINTENANCE, ENHANCEMENT, AND DEVELOPMENT SUPPORT FOR SYSTEMS, PROGRAMS, APPLICATIONS, AND DATABASES VITAL TO MANAGING THE ",192683220.89,15557645.33,221214371.0,Defense Finance and Accounting Service,Department of Defense,"LEIDOS, INC.",P1DHVE8PH2Q3,541512,R408,FORT KNOX,KY,2014-02-06,2017-02-05,2017-02-05,2014,A,NONE,Delivery Order
SAIC / Army,GS01T12BKC0004,2012-09-28,IGF::OT::IGF OTHER FUNCTIONS: REQUIREMENTS CONTRACT AND FIRST TASK ORDER FOR U.S. ARMY JPDM CM SOLE SOURCE SAIC VACIS NII SYSTEMS FOR OVER AND ABOVE REPAIRS,424450.0,316770.0,4917775.0,Department of the Army,Department of Defense,"LEIDOS, INC.",QLNMVC12KWY3,334519,J063,,,2012-09-28,2014-09-23,2014-09-23,2012,,NONE,Purchase Order
SAIC / Army,0002,2007-07-31,U.S. ARMY MENTOR PROTEGE PROGRAM - SAIC MENTOR SEA BERING ECCOTECH - BASE YEAR - TASK ORDER,209728.24,248676.55,686536.84,Department of the Army,Department of Defense,"LEIDOS, INC.",SHNFQPWCVAX1,562910,F108,OAK RIDGE,TN,2007-07-31,2008-10-31,2010-07-30,2007,B,NONE,Delivery Order
SAIC / Army,0005,2006-08-18,U.S. ARMY MENTOR PROTEGE PROGRAM - SAIC MENTOR/J.M. WALLER MENTEE,344050.0,195657.0,500111.0,Department of the Army,Department of Defense,"LEIDOS, INC.",SHNFQPWCVAX1,562910,F108,HARRISBURG,PA,2006-08-18,2009-08-10,2009-08-10,2006,B,NONE,Delivery Order
SAIC / Army,W81XWH05F0202,2005-01-26,200504!500371!2100!W81XWH!US ARMY MEDICAL RESEARCH ACQ ACT!GS23F8006H     !C!N! !N!W81XWH05F0202!      !20050126!20060130!159990456!159990456!054781240!N!SAIC FREDERICK INC            !MILLER DR BLDG 428        !FREDERICK           !MD!21702!29225!021!24!FORT DETRICK        !FREDERICK             !M,55330.35,0.0,0.0,Department of the Army,Department of Defense,"Leidos, Inc.",MDSWM6MB1BH7,541611,R499,,MD,2005-01-26,2006-04-28,2006-04-28,2005,C,NONE,Delivery Order
SAIC / Army,0027,2004-10-22,200506!500718!2100!W81XWH!US ARMY MEDICAL RESEARCH ACQ ACT!DAMD1798D0022  !A!N! !N!0027         !02    !20041022!20000930!175223783!175223783!054781240!N!SCIENCE APPLICATIONS INTERNATI!1710 SAIC DR              !MCLEAN              !VA!22102!30325!021!24!FREDERICK           !FREDERICK             !M,238.0,0.0,0.0,Department of the Army,Department of Defense,"LEIDOS, INC.",WEFTSLL9UN87,,R408,,MD,2004-10-22,2000-09-30,,2005,B,NONE,Delivery Order
SAIC / Army,W81XWH04F0068,2003-11-24,200409!002109!2100!W81XWH!US ARMY MEDICAL RESEARCH ACQ ACT!GS23F8006H     !C!N! !N!W81XWH04F0068!      !20031124!20041207!175223783!175223783!054781240!N!SCIENCE APPLICATIONS INTERNATI!1710 SAIC DR              !MCLEAN              !VA!22102!29225!021!24!FORT DETRICK        !FREDERICK             !M,533965.73,0.0,0.0,,,"Leidos, Inc.",MDSWM6MB1BH7,541611,R799,,MD,2003-11-24,2010-04-05,2010-04-05,2004,C,NONE,Delivery Order
SAIC / Army,W81XWH04F0024,2003-10-21,200407!000044!2100!W81XWH!US ARMY MEDICAL RESEARCH ACQ ACT!GS23F8006H     !C!N! !N!W81XWH04F0024!      !20031021!20041023!175223783!175223783!054781240!N!SCIENCE APPLICATIONS INTERNATI!1710 SAIC DR              !MCLEAN              !VA!22102!29225!021!24!FORT DETRICK        !FREDERICK             !M,463219.02,0.0,0.0,,,"Leidos, Inc.",MDSWM6MB1BH7,541611,R799,,MD,2003-10-21,2008-10-23,2008-10-23,2004,C,NONE,Delivery Order
SAIC / Army,DAMD1703F0690,2003-10-02,TAS::21 2020::TAS 200407!001307!2100!W81XWH!US ARMY MEDICAL RESEARCH ACQ ACT!GS23F8006H     !C!N! !N!DAMD1703F0690!      !20031002!20040929!175223783!175223783!054781240!N!SCIENCE APPLICATIONS INTERNATI!1710 SAIC DR              !MCLEAN              !VA!22102!30325!021!24!FREDERICK           !FREDER,34700381.94,0.0,43819171.21,Department of the Army,Department of Defense,"Leidos, Inc.",MDSWM6MB1BH7,541611,R799,FREDERICK,MD,2003-10-02,2008-09-30,2008-09-30,2004,C,NONE,Delivery Order
SAIC / Army,DAMD1703F0740,2003-09-27,200312!001596!2100!MD17  !US ARMY MEDICAL RESEARCH ACQ ACT!GS23F8006H     !C!N! !N!DAMD1703F0740      !20030927!20040930!175223783!175223783!054781240!N!SCIENCE APPLICATIONS INTERNATI!1710 SAIC DR              !MCLEAN              !VA!22102!29225!021!24!FORT DETRICK        !FREDERICK             !MA,535373.98,0.0,0.0,,,"Leidos, Inc.",MDSWM6MB1BH7,541611,R799,,MD,2003-09-27,2008-09-30,2008-09-30,2003,C,NONE,Delivery Order
Anduril,FA238525CB029,2025-08-20,10 USC 40223 - ANDURIL CAPABILITIES FOR ROCKET CARGO,725000.0,1000000.0,1000000.0,Department of the Air Force,Department of Defense,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,541715,AC13,COSTA MESA,CA,2025-08-21,2026-11-21,2026-11-21,2025,,NONE,Definitive Contract
Anduril,FA882025FB002,2025-05-14,SINGLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDER FOR ANDURIL INDUSTRIES TO PROVIDE NETWORK OPERATIONS AND REMOTE MONITORING FOR EXISTING AND FUTURE SPACE DOMAIN AWARENESS AND SPACE SURVEILLANCE NETWORK SENSORS.,3000000.0,3000000.0,9750000.0,Department of the Air Force,Department of Defense,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,541715,AC32,COSTA MESA,CA,2025-06-30,2026-06-29,2027-06-29,2025,B,,Delivery Order
Anduril,FA882024FB003,2024-09-27,SDANET SBIR III SINGLE AWARD IDIQ TASK ORDER FOR ANDURIL INDUSTRIES TO PERFORM ADDITIONAL FIELDING INTEGRATION OF LATTICED MESH NETWORK COMMUNICATIONS CAPABILITY TO SUPPORT WORLDWIDE SDANET CONNECTED SITES FOR DATA TO FLOW FROM INTEGRATED SENSORS.,19333902.53,25375000.0,25375000.0,Washington Headquarters Services,Department of Defense,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,541715,AC32,COSTA MESA,CA,2024-09-27,2026-03-26,2026-03-26,2024,B,,Delivery Order
Anduril,FA228023C0007,2023-04-19,ANDURIL SWARMING- SWARMING DEV AND INTEGRATION EVENTS,17911000.0,4975000.0,22871000.0,Department of the Air Force,Department of Defense,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,541715,AC22,COSTA MESA,CA,2023-04-20,2025-12-31,2026-07-10,2023,,SBA,Definitive Contract
Anduril,H9240222F0043,2022-09-01,ANDURIL PROFESSIONAL SERVICES:PHASE 1,789155.23,789155.23,789155.23,U.S. Special Operations Command,Department of Defense,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,334511,R425,IRVINE,CA,2022-09-15,2023-02-28,2023-02-28,2022,B,,Delivery Order
