piid,recipient,is_our_prime,matched_prime,bullhorn_mentions,obligated_amount,base_value,agency,sub_agency,pop_end_date,description,naics,pop_state
36C10X26N0021,,Yes,ACCENTURE FEDERAL,51,0,0,,,,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,621111,
36C10X26N0040,,Yes,ACCENTURE FEDERAL,51,0,0,,,,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,621111,
36C10X26N0041,,Yes,ACCENTURE FEDERAL,51,0,0,,,,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,621111,
123J1426C0421,,Yes,ACCENTURE FEDERAL,51,0,0,,,,COMMODITIES FOR USG FOOD DONATIONS: 2000011096/4100033497/CHEESE NAT AMER FBD BARREL-500 LB(40800),311513,
36C25026C0044,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROJECT: 552-19-102 CORRECT INFRASTRUCTURE DEFICIENCIES, B408 - DAYTON VAMC",236220,
70RFP426FRE500001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,ARMED PROTECTIVE SECURITY OFFICER SERVICES THROUGHOUT THE STATE OF OHIO,561612,
2033H626F00033,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PRIVATE COLLECTION AGENCY (PCA) SERVICES,561440,
70Z05026F43000004,,Yes,ACCENTURE FEDERAL,51,0,0,,,,DESIGN AND BUILD A NEW WATER SUPPLY LINE BETWEEN THE CITY OF PETALUMA WATER DISTRIBUTION SYSTEM AND USCG TRACENS WATER PUMP STATION AT KING ROAD AND BODEGA AVE.,236220,
2033H626F00034,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PRIVATE COLLECTION AGENCY (PCA) SERVICES,561440,
70T04026F7503N001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"THIS EFFORT INVOLVES THE DESIGN AND DEPLOYMENT OF BACK-END AND FRONT-END INFRASTRUCTURE TO SUPPORT A SECURE TSA-OWNED MOBILE APPLICATION, ENABLING BIOMETRIC AND BIOGRAPHIC MATCHING, CREDENTIAL MANAGEM",541611,
1305M226F0023,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PER EO 14285 UNLEASHING AMERICA'S OFFSHORE CRITICAL MINERALS AND RESOURCES & THE HYDROGRAPHIC SERVICES IMPROVEMENT ACT - NOS/OCS/HSD HYDROGRAPHIC SURVEY SERVICES FOR AMERICAN SAMOA - SURVEY.,541370,
2033H626F00030,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PRIVATE COLLECTION AGENCY (PCA) SERVICES,561440,
47QSWC26F0010,,Yes,ACCENTURE FEDERAL,51,0,0,,,,HEBPS BPA CALL ORDER,332999,
2033H626F00032,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PRIVATE COLLECTION AGENCY (PCA) SERVICES,561440,
2033H626F00031,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PRIVATE COLLECTION AGENCY (PCA) SERVICES,561440,
36C10B26C0017,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"SOLE SOURCE AWARD FOR RENEWAL OF SOLVENTUM HIS CRS+ ENCODER SOFTWARE LICENSES AND SUPPORT SERVICES FOR VA HICBA, PROVIDING ENTERPRISE MEDICAL CODING, BILLING, AUDITING, AND VIRR INTEGRATION ACROSS VA ",541512,
75FCMC26F0021,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PART A WEST QUALIFIED INDEPENDENT CONTRACTOR LOGICAL FOLLOW-ON TASK ORDER AWARD.,541611,
70B02C26F00000035,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PURCHASE OF TOWERS,541512,
70Z08526FLREP0018,,Yes,ACCENTURE FEDERAL,51,0,0,,,,TASK ORDER ONE AWARD UNDER BASE CONTRACT FOR HEALY DRY DOCK FISCAL YEAR 2026.,336611,
693C7326F00012N,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROJECT NC NP BLRI 2M31; NC NP BLRI 2N24; NC NP BLRI 2M26, 2N22:

THE PROJECT CONSISTS OF HURRICANE DAMAGE REPAIRS AT MP 344.3 TO 351.9. THE WORK INCLUDES SLIDE REPAIRS, CULVERT CLEANING, CULVERT INST",237310,
75FCMC26F0024,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"THE QUALIFIED INDEPENDENT CONTRACTOR (QIC) PERFORMS ALL OF THE TASKS ASSOCIATED WITH SUPPORT OF THE MEDICARE, MEDICAID, AND CHILDREN'S HEALTH INSURANCE PROGRAM BENEFITS IMPROVEMENT AND PROTECTION ACT ",541611,
86614526F00005,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FIELD SERVICE MANAGEMENT FOR AREA [3A/4A],531311,
86614526F00002,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FIELD SERVICE MANAGEMENT SERVICES FOR AREA [5A/8A],531311,
47QACA26F0037,,Yes,ACCENTURE FEDERAL,51,0,0,,,,SBA UNIFIED LENDING PLATFORM ULPDISASTER LENDING PLATFORM,541512,
123J1426C0340,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011089/4100033416/BEEF COARSE GROUND FRZ CTN-60 LB,BEEF BNLS SPECIAL TRM FRZ CTN-60 LB",311611,
140P2026F0029,,Yes,ACCENTURE FEDERAL,51,0,0,,,,NAMA 350892 - RAWLINS FOUNTAIN REHABILITATION,236220,
70Z03826FB0000003,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"SBH ENGINE SERVICES AND TECHNICAL REPRESENTATIVE SERVICES FOR THE H65 HELICOPTER.  CLASS DETERMINATION FOR NONAVAILABILITY ARTICLES IAW FAR 25.103(B)(1) APPLIES TO THIS ACTION, BAA EXCEPTION MTF IS IN",488190,
123J1426C0379,,Yes,ACCENTURE FEDERAL,51,0,0,,,,COMMODITIES FOR USG FOOD DONATIONS: 2000011083/4100033455/CHICKEN LARGE CHILLED -BULK,311615,
123J1426C0342,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011089/4100033418/BEEF SPP PTY 85/15 FRZ 2.0 MMA CTN-40 LB,BEEF 100% PTY 85/15 FRZ 2.0MMA CTN-40 LB,BEEF COARSE GROUND FRZ CTN-60 LB,BEEF FINE GROUND FRZ CTN-40",311611,
123J1426C0378,,Yes,ACCENTURE FEDERAL,51,0,0,,,,COMMODITIES FOR USG FOOD DONATIONS: 2000011083/4100033454/CHICKEN LARGE CHILLED -BULK,311615,
140P2026F0027,,Yes,ACCENTURE FEDERAL,51,0,0,,,,ROCR 338662 MERIDIAN HILL FOUNTAIN,236220,
205AE926F00012,,Yes,ACCENTURE FEDERAL,51,0,0,,,,INTEGRATED DATA RETRIEVAL SYSTEM MODERNIZATION (UNISYS RETIREMENT/REPLACEMENT INITIATIVE) 12-MONTH BASE + 6-MONTH OPTION,541512,
47QFDA26F0001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PROGRAMMATIC AND SCIENTIFIC LABOR SUPPORT SERVICES FOR CORONAVIRUS AND OTHER RESPIRATORY VIRUSES DIVISION (CORVD),336611,
12314426F0017,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"USDA,OCIO, DISC: SERVICENOW RENEWAL",541519,
69056726F00009N,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"FUNDS CONSTRUCTION PROJECT TX NP MULTI PMS(1) ), PAVEMENT PRESERVATION TEXAS. THIS WORK CONSISTS OF CRACK SEALING, PATCHING, APPLICATION OF CHIP SEAL AND MICRO SURFACE TREATMENTS AND PAVEMENT MARKING.",237310,
19AQMM26F0019,,Yes,ACCENTURE FEDERAL,51,0,0,,,,AM:MFT AMMUNITION FOR UKRAINIAN COUNTERPARTS,541614,
140P2026F0023,,Yes,ACCENTURE FEDERAL,51,0,0,,,,NAMA 350892 COLUMBUS CIRCLE FOUNTAIN REHABILITATION,236220,
75D30126F20733,,Yes,ACCENTURE FEDERAL,51,0,0,,,,ATLANTA OM,561210,
70Z02326F93140003,,Yes,ACCENTURE FEDERAL,51,0,0,,,,SPRINT 3.0 ORDER TO CONTINUE NON-RECURRING ENGINEERING SERVICES,336411,
36C77626C0008,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"THE GENERAL CONTRACTOR SHALL PROVIDE ALL LABOR, MATERIALS, EQUIPMENT, QUALIFIED SUPERVISION, AND OTHER ITEMS TO COMPLETE PROJECT EHRM INFRASTRUCTURE UPGRADES CONSTRUCTION AT ALVIN C. YORK VAMC.",236220,
70SBUR26F00000002,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"TASK ORDER AWARD FOR INFORMATION TECHNOLOGY USER AND FIELD OPERATIONS SUPPORT (NEON) II FOR U.S. CITIZENSHIP AND IMMIGRATION SERVICES (USCIS), INFORMATION TECHNOLOGY FIELD SUPPORT DIVISION (ITFSD)",541512,
70CMSW26FR0000001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,DUE DILIGENCE SERVICES AND CONCEPT DESIGN FOR PROCESSING CENTERS AND MEGA CENTERS THROUGHOUT THE UNITED STATES,531210,
693C7326F00007N,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROJECT NC NP BLRI 2M30:  THE PROJECT CONSISTS OF HURRICANE DAMAGE REPAIRS AT MP 342.7, 343.7 AND 343.8. THE WORK INCLUDES SLIDE REPAIRS, CULVERT REPLACEMENT AND CLEANING, STONE MASONRY HEADWALL INSTA",237310,
75D30126F00015,,Yes,ACCENTURE FEDERAL,51,0,0,,,,NATIONAL IMMUNIZATION SURVEY 2023-2029,541910,
36C77626C0020,,Yes,ACCENTURE FEDERAL,51,0,0,,,,CONSTRUCT AND RENOVATE NEW MRI AT PROVIDENCE VAMC,236220,
693C7326F00006N,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROJECT NC NP BLRI 2M28; NC NP BLRI 2M29: THE PROJECT CONSISTS OF HURRICANE DAMAGE REPAIRS AT MP 336.7, 336.75, 336.85, 336.95, 337.2, 338.2 AND MP 338.4. THE WORK INCLUDES SLIDE REPAIRS, CULVERT CLEA",237310,
75D30126F00016,,Yes,ACCENTURE FEDERAL,51,0,0,,,,NATIONAL IMMUNIZATION SURVEY 2023-2029,541910,
36C77026N0017,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PHARMACIST, PHARMACY TECHNICIAN, AND SHIPPER/PACKER STAFFING SERVICES.",561210,
75FCMC26F0022,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"CALM IS DESIGNED TO MODERNIZE COLLABORATION WITH INTERNAL AND EXTERNAL STAKEHOLDERS, IMPROVE PROCUREMENT DECISION MAKING, AND CENTRALIZE PREVIOUSLY SILOED SYSTEMS AND PROCESSES INTO ONE MODERN AND EFF",541511,
80KSC026F7005,,Yes,ACCENTURE FEDERAL,51,0,0,,,,KENNEDY PROPELLANT AND LIFE SUPPORT SERVICES (KPLSS) II FY26 CUSTOMER FUNDING.,541330,
1331L526F13350003,,Yes,ACCENTURE FEDERAL,51,0,0,,,,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,
89233126FNA400749,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROCURE THE BASE YEAR COSTS WITH BASE YEAR OPERATIONS AND SUSTAINMENT, AND 5-YEAR OPERATIONS AND SUSTAINMENT SUPPORT WITH OPTIONS. Y12 SITE. PROVIDING A COUNTER UNCREWED AIRCRAFT SYSTEM (CUAS) PLATFOR",334511,
89233126FNA400748,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROCURE THE BASE YEAR COSTS WITH BASE YEAR OPERATIONS AND SUSTAINMENT, AND 5-YEAR OPERATIONS AND SUSTAINMENT SUPPORT WITH OPTIONS. PANTEX SITE. PROVIDING A COUNTER UNCREWED AIRCRAFT SYSTEM (CUAS) PLAT",334511,
70CDCR26FR0000001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"ADMINISTRATIVE TRANSFER OF THE DEPARTMENT OF WAR TASK ORDER W9124J25FA075 TO THE US IMMIGRATION AND CUSTOMS ENFORCEMENT FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES AT CAMP EAST MONTANA TEMPORAR",541614,
86614526F00001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FIELD SERVICE MANAGEMENT SERVICES AREA [3S/5S] OPTION 2 TASK ORDER,531311,
89243526CCR000074,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PURCHASE OF APPROXIMATELY ONE MILLION BARRELS (1.0MMB) OF US PRODUCED SOUR CRUDE OIL FOR THE STRATEGIC PETROLEUM RESERVE,424720,
75R60226C00001,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"HSB115 C 7520 OPTN CLOUD MIGRATION AND HARDWARE: THE PURPOSE OF THIS CONTRACT IS TO PROVIDE ALL PERSONNEL, MANAGEMENT, MATERIALS, EQUIPMENT, AND SERVICES NECESSARY TO MIGRATE THE ORGAN PROCUREMENT AND",541511,
