rank,program,total_jobs,recent_jobs,recent_pct,agency,primes,sources,contracts,locations,clearances
11,Army IT Enterprise Mgmt Systems Solution,7,3,42.9,Army,CACI,Insight Global; Apex Systems,47QFRA19F0011,"Bossier City, LA; Fort Belvoir, VA; Norfolk, Virginia; Ashburn, Virginia; Arlington, VA","Top Secret; secret clearance OR previously held secret clearance preferred, must have ability to obtain; Secret; TS/SCI"
12,CMS Enterprise Cloud Infrastructure Services,7,4,57.1,DoD,Peraton / SAIC (indicative),Insight Global; Apex Systems,47QFCA20F0015,"Vienna, Virginia; Dahlgren, Virginia; Fayetteville, NC; Broad Run, Virginia; Suffolk, Virginia",Top Secret; Secret; Top Secret Poly; active Secret Clearance eligible for upgrade.; TS/SCI Poly
13,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",6,2,33.3,Navy,Leidos,Insight Global; Apex Systems,89243318CFE000003,"Greece, New York; St. Louis, MO; Lincoln, Massachusetts; Carlsbad, CA; Mount Vernon, Virginia",Top Secret; Secret; TS/SCI
14,Aegis Ballistic Missile Defense / Aegis Program,5,1,20.0,Navy,Lockheed Martin,Insight Global,N0001917C0001,"Huntsville, Alabama; Austin, Texas; Sunset, Utah",Top Secret; TS/SCI Poly; Secret; TS/SCI
15,Army AESD Enterprise Service Desk,5,5,100.0,Army,SAIC,Insight Global,FA877319FA023,"San Antonio, Texas",TS/SCI
16,DISA Global Service Mgmt – Ops II,5,3,60.0,DISA,Leidos,Insight Global,89243318CFE000003,"Huntsville, Alabama; Muscatine, Iowa; Kings Bay, Georgia; Meridianville, Alabama",Secret
17,Data Center & Cloud Optimization,4,1,25.0,DHS,Peraton / Leidos (indicative),Insight Global; Apex Systems,GST0011AJ0025,"Alexandria, Virginia; Arlington, VA; Manassas, Virginia; Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP); Secret; Top Secret
18,BICES Defense Intelligence Agency Variant,3,3,100.0,DIA,CACI + Leidos + Peraton + SAIC (various subs),Insight Global; Apex Systems,FA251822F0034,"Colorado Springs, CO; Washington, District Of Columbia",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS; TS/SCI Poly
19,Global Network Operations (DISA GSM-O II),3,1,33.3,DISA,Leidos,Insight Global,NNJ09HD46C,"Grand Forks, North Dakota; Montgomery, Alabama; 'Aiea, Hawaii",Secret; TS/SCI
20,GPS Next-Gen Operational Control System,3,2,66.7,Space Force,Raytheon Intelligence & Space,Insight Global; Apex Systems,FA880710C0001,"Aurora, Colorado; Orlando, FL; Aurora, CO",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL; Secret
21,NARSIL – Advanced Research for System Intelligence & Learning,3,2,66.7,IC,Peraton,Insight Global,80GSFC19C0063,"Suffolk, Virginia; O'fallon, Illinois; Herndon, Virginia",Secret
22,SITEC III – Enterprise Operations & Maintenance,3,1,33.3,SOCOM,Peraton,Insight Global; Apex Systems,47QFCA24F0002,"Tampa, Florida; Juno Beach, FL; Pensacola, FL",Secret
23,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,2,1,50.0,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Insight Global,FA882316C0004,"Washington, District Of Columbia; Colorado Springs, Colorado",Top Secret
24,Army Integrated Battle Command System Support,2,1,50.0,Army,Northrop Grumman (prime); CACI (support),Insight Global,W15QKN15C0049,"Rivanna, Virginia; Chantilly, Virginia",Top Secret
25,CDAO Advanced AI Tools (Scale AI OTA),2,2,100.0,DoD,Scale AI,Insight Global; Apex Systems,W911QX24F0053,"Emerado, ND; Goose Creek, South Carolina",Secret Clearance Required; Secret
