bd_score,bd_reasons,piid,recipient_name,lifecycle_phase,is_base_year,runway_years,competitor_present,competitors,job_activity,award_amount,description,naics_code,awarding_agency,sub_agency,pop_city,pop_state,start_date,end_date,source
68,DoD; 4.0yr Runway; $500M+; 8 Jobs,,NORTHROP GRUMMAN SYSTEMS CORPORATION,Late Stage,False,4.0,False,,8,8447894780.67,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),,Department of Defense,Department of the Navy,,FL,2018-02-15,2030-02-01,USAspending
68,DoD; 4.7yr Runway; $500M+; 8 Jobs,,RTX CORPORATION,Late Stage,False,4.7,False,,8,7498943172.37,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,,Department of Defense,Department of the Navy,,CT,2020-03-23,2030-10-15,USAspending
68,DoD; 7.7yr Runway; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,7.7,False,,8,10475203569.62,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,Department of Defense,Department of the Army,,TX,2020-04-30,2033-09-30,USAspending
68,DoD; 4.0yr Runway; $500M+; 8 Jobs,,NORTHROP GRUMMAN SYSTEMS CORPORATION,Late Stage,False,4.0,False,,8,8447894780.67,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),,Department of Defense,Department of the Navy,,FL,2018-02-15,2030-02-01,USAspending
68,DoD; 4.7yr Runway; $500M+; 8 Jobs,,RTX CORPORATION,Late Stage,False,4.7,False,,8,7498943172.37,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,,Department of Defense,Department of the Navy,,CT,2020-03-23,2030-10-15,USAspending
65,DoD; 4.7yr Runway; $500M+; 5 Jobs,,LOCKHEED MARTIN CORPORATION,Option Year 3,False,4.7,False,,5,24499534829.0,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",,Department of Defense,Department of the Navy,,TX,2022-12-23,2030-09-30,USAspending
65,DoD; 4.7yr Runway; $500M+; 5 Jobs,,LOCKHEED MARTIN CORPORATION,Option Year 3,False,4.7,False,,5,24499534829.0,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",,Department of Defense,Department of the Navy,,TX,2022-12-23,2030-09-30,USAspending
63,DoD; 2.2yr Runway; $500M+; 8 Jobs,,"BECHTEL NATIONAL, INC.",Late Stage,False,2.2,False,,8,4512659363.96,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATION THROUGH CLOSURE.  THIS IS SEEN AS AN ADMINISTRATIVE CHANGE TO DAAA09-02-D-0025,,Department of Defense,Department of the Army,,CO,2009-03-18,2028-04-03,USAspending
63,DoD; 2.2yr Runway; $500M+; 8 Jobs,,"BECHTEL NATIONAL, INC.",Late Stage,False,2.2,False,,8,4512659363.96,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATION THROUGH CLOSURE.  THIS IS SEEN AS AN ADMINISTRATIVE CHANGE TO DAAA09-02-D-0025,,Department of Defense,Department of the Army,,CO,2009-03-18,2028-04-03,USAspending
63,DoD; 2.2yr Runway; $500M+; 8 Jobs,,"BECHTEL NATIONAL, INC.",Late Stage,False,2.2,False,,8,4512659363.96,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATION THROUGH CLOSURE.  THIS IS SEEN AS AN ADMINISTRATIVE CHANGE TO DAAA09-02-D-0025,,Department of Defense,Department of the Army,,CO,2009-03-18,2028-04-03,USAspending
61,DoD; 3.1yr Runway; $500M+; 1 Jobs,,NORTHROP GRUMMAN SYSTEMS CORP,Late Stage,False,3.1,False,,1,10801259923.19,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,Department of Defense,Department of the Air Force,,UT,2020-09-08,2029-03-10,USAspending
61,DoD; 3.5yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORP,Late Stage,False,3.5,False,,1,7027481120.54,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,,Department of Defense,Department of the Air Force,,CA,2018-08-14,2029-07-31,USAspending
61,DoD; 3.1yr Runway; $500M+; 1 Jobs,,NORTHROP GRUMMAN SYSTEMS CORP,Late Stage,False,3.1,False,,1,10801259923.19,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,Department of Defense,Department of the Air Force,,UT,2020-09-08,2029-03-10,USAspending
61,DoD; 3.5yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORP,Late Stage,False,3.5,False,,1,7027481120.54,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,,Department of Defense,Department of the Air Force,,CA,2018-08-14,2029-07-31,USAspending
61,DoD; 3.1yr Runway; $500M+; 1 Jobs,,NORTHROP GRUMMAN SYSTEMS CORP,Late Stage,False,3.1,False,,1,10801259923.19,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,Department of Defense,Department of the Air Force,,UT,2020-09-08,2029-03-10,USAspending
61,DoD; 3.5yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORP,Late Stage,False,3.5,False,,1,7027481120.54,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,,Department of Defense,Department of the Air Force,,CA,2018-08-14,2029-07-31,USAspending
60,DoD; 5.2yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,5.2,False,,0,35135514910.2,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,Department of Defense,Department of the Navy,,TX,2017-11-17,2031-03-31,USAspending
60,DoD; 10.4yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Late Stage,False,10.4,False,,0,34650315216.0,SSN 802 AND 803 LONG LEAD TIME MATERIAL,,Department of Defense,Department of the Navy,,CT,2017-02-14,2036-06-02,USAspending
60,DoD; 5.9yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Late Stage,False,5.9,False,,0,24313811834.0,COLUMBIA CLASS DESIGN COMPLETION,,Department of Defense,Department of the Navy,,CT,2017-09-21,2031-12-31,USAspending
60,DoD; 5.2yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,5.2,False,,0,12269145508.23,LRIP 11 AAC,,Department of Defense,Department of the Navy,,TX,2015-12-21,2031-03-31,USAspending
60,DoD; 6.9yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,6.9,False,,0,10550927664.07,LRIP 10 AAC,,Department of Defense,Defense Contract Management Agency,,TX,2015-05-26,2032-12-31,USAspending
60,DoD; 8.1yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Option Year 2,False,8.1,False,,0,6959418742.2,CONSTRUCTION OF DDG 51 SHIPS FY23-27,,Department of Defense,Department of the Navy,,MS,2023-08-01,2034-02-28,USAspending
60,DoD; 6.5yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Late Stage,False,6.5,False,,0,6703793714.37,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,,Department of Defense,Department of the Navy,,MS,2018-09-27,2032-07-09,USAspending
60,DoD; 75.0yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,75.0,False,,0,6035358369.47,F-35 LRIP 8 AAC,,Department of Defense,Department of the Navy,,TX,2013-02-28,2100-12-31,USAspending
60,DoD; 5.7yr Runway; $500M+,,THE BOEING COMPANY,Late Stage,False,5.7,False,,0,5544117634.23,P-8A FRP LOT I LONG LEAD MATERIAL,,Department of Defense,Defense Contract Management Agency,,WA,2012-08-31,2031-10-13,USAspending
60,DoD; 4.9yr Runway; $500M+,,BATH IRON WORKS CORPORATION,Late Stage,False,4.9,False,,0,5302697771.86,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,,Department of Defense,Department of the Navy,,ME,2018-09-27,2030-12-20,USAspending
60,DoD; 8.1yr Runway; $500M+,,BATH IRON WORKS CORPORATION,Option Year 2,False,8.1,False,,0,5023910450.0,CONSTRUCTION OF DDG 51 SHIPS FY23-27,,Department of Defense,Department of the Navy,,ME,2023-08-01,2034-02-28,USAspending
60,DoD; 9.7yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Option Year 2,False,9.7,False,,0,4960017500.0,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,,Department of Defense,Department of the Navy,,CT,2023-10-13,2035-09-30,USAspending
60,DoD; 4.1yr Runway; $500M+,,RTX CORPORATION,Late Stage,False,4.1,False,,0,4865962075.84,FY21 PBL2,,Department of Defense,Department of the Navy,,CT,2020-12-01,2030-02-28,USAspending
60,DoD; 5.1yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Late Stage,False,5.1,False,,0,4627589105.0,LPD 30 LLTM,,Department of Defense,Department of the Navy,,MS,2018-08-02,2031-03-01,USAspending
60,DoD; 5.2yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,5.2,False,,0,35135514910.2,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,Department of Defense,Department of the Navy,,TX,2017-11-17,2031-03-31,USAspending
60,DoD; 10.4yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Late Stage,False,10.4,False,,0,34650315216.0,SSN 802 AND 803 LONG LEAD TIME MATERIAL,,Department of Defense,Department of the Navy,,CT,2017-02-14,2036-06-02,USAspending
60,DoD; 5.9yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Late Stage,False,5.9,False,,0,24313811834.0,COLUMBIA CLASS DESIGN COMPLETION,,Department of Defense,Department of the Navy,,CT,2017-09-21,2031-12-31,USAspending
60,DoD; 5.2yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,5.2,False,,0,12269145508.23,LRIP 11 AAC,,Department of Defense,Department of the Navy,,TX,2015-12-21,2031-03-31,USAspending
60,DoD; 6.9yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,6.9,False,,0,10550927664.07,LRIP 10 AAC,,Department of Defense,Defense Contract Management Agency,,TX,2015-05-26,2032-12-31,USAspending
60,DoD; 8.1yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Option Year 2,False,8.1,False,,0,6959418742.2,CONSTRUCTION OF DDG 51 SHIPS FY23-27,,Department of Defense,Department of the Navy,,MS,2023-08-01,2034-02-28,USAspending
60,DoD; 6.5yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Late Stage,False,6.5,False,,0,6703793714.37,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,,Department of Defense,Department of the Navy,,MS,2018-09-27,2032-07-09,USAspending
60,DoD; 75.0yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,75.0,False,,0,6035358369.47,F-35 LRIP 8 AAC,,Department of Defense,Department of the Navy,,TX,2013-02-28,2100-12-31,USAspending
60,DoD; 5.7yr Runway; $500M+,,THE BOEING COMPANY,Late Stage,False,5.7,False,,0,5544117634.23,P-8A FRP LOT I LONG LEAD MATERIAL,,Department of Defense,Defense Contract Management Agency,,WA,2012-08-31,2031-10-13,USAspending
60,DoD; 4.9yr Runway; $500M+,,BATH IRON WORKS CORPORATION,Late Stage,False,4.9,False,,0,5302697771.86,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,,Department of Defense,Department of the Navy,,ME,2018-09-27,2030-12-20,USAspending
60,DoD; 8.1yr Runway; $500M+,,BATH IRON WORKS CORPORATION,Option Year 2,False,8.1,False,,0,5023910450.0,CONSTRUCTION OF DDG 51 SHIPS FY23-27,,Department of Defense,Department of the Navy,,ME,2023-08-01,2034-02-28,USAspending
60,DoD; 4.1yr Runway; $500M+,,RTX CORPORATION,Late Stage,False,4.1,False,,0,4865962075.84,FY21 PBL2,,Department of Defense,Department of the Navy,,CT,2020-12-01,2030-02-28,USAspending
60,DoD; 5.1yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Late Stage,False,5.1,False,,0,4627589105.0,LPD 30 LLTM,,Department of Defense,Department of the Navy,,MS,2018-08-02,2031-03-01,USAspending
60,DoD; 5.2yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,5.2,False,,0,35135514910.2,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,Department of Defense,Department of the Navy,,TX,2017-11-17,2031-03-31,USAspending
60,DoD; 10.4yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Late Stage,False,10.4,False,,0,34650315216.0,SSN 802 AND 803 LONG LEAD TIME MATERIAL,,Department of Defense,Department of the Navy,,CT,2017-02-14,2036-06-02,USAspending
60,DoD; 5.9yr Runway; $500M+,,ELECTRIC BOAT CORPORATION,Late Stage,False,5.9,False,,0,24313811834.0,COLUMBIA CLASS DESIGN COMPLETION,,Department of Defense,Department of the Navy,,CT,2017-09-21,2031-12-31,USAspending
60,DoD; 5.2yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,5.2,False,,0,12269145508.23,LRIP 11 AAC,,Department of Defense,Department of the Navy,,TX,2015-12-21,2031-03-31,USAspending
60,DoD; 6.9yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,6.9,False,,0,10550927664.07,LRIP 10 AAC,,Department of Defense,Defense Contract Management Agency,,TX,2015-05-26,2032-12-31,USAspending
60,DoD; 6.5yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Late Stage,False,6.5,False,,0,6703793714.37,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,,Department of Defense,Department of the Navy,,MS,2018-09-27,2032-07-09,USAspending
60,DoD; 75.0yr Runway; $500M+,,LOCKHEED MARTIN CORPORATION,Late Stage,False,75.0,False,,0,6035358369.47,F-35 LRIP 8 AAC,,Department of Defense,Department of the Navy,,TX,2013-02-28,2100-12-31,USAspending
60,DoD; 5.7yr Runway; $500M+,,THE BOEING COMPANY,Late Stage,False,5.7,False,,0,5544117634.23,P-8A FRP LOT I LONG LEAD MATERIAL,,Department of Defense,Defense Contract Management Agency,,WA,2012-08-31,2031-10-13,USAspending
60,DoD; 4.9yr Runway; $500M+,,BATH IRON WORKS CORPORATION,Late Stage,False,4.9,False,,0,5302697771.86,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,,Department of Defense,Department of the Navy,,ME,2018-09-27,2030-12-20,USAspending
60,DoD; 4.1yr Runway; $500M+,,RTX CORPORATION,Late Stage,False,4.1,False,,0,4865962075.84,FY21 PBL2,,Department of Defense,Department of the Navy,,CT,2020-12-01,2030-02-28,USAspending
60,DoD; 5.1yr Runway; $500M+,,HUNTINGTON INGALLS INCORPORATED,Late Stage,False,5.1,False,,0,4627589105.0,LPD 30 LLTM,,Department of Defense,Department of the Navy,,MS,2018-08-02,2031-03-01,USAspending
56,DoD; 2.9yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,2.9,False,,1,8680225958.82,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,,Department of Defense,Missile Defense Agency,,TX,2017-03-27,2028-11-30,USAspending
56,DoD; 2.0yr Runway; $500M+; 1 Jobs,,BELL BOEING JOINT PROJECT OFFICE,Late Stage,False,2.0,False,,1,6568172820.67,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,,Department of Defense,Department of the Navy,,TX,2016-12-28,2028-01-31,USAspending
56,DoD; 2.9yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,2.9,False,,1,5286196424.87,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,,Department of Defense,Defense Contract Management Agency,,TX,2020-08-14,2028-12-31,USAspending
56,DoD; 2.2yr Runway; $500M+; 1 Jobs,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",Late Stage,False,2.2,False,,1,4980576178.6,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",,Department of Defense,Department of the Army,,KY,2009-03-19,2028-04-03,USAspending
56,DoD; 2.9yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,2.9,False,,1,8680225958.82,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,,Department of Defense,Missile Defense Agency,,TX,2017-03-27,2028-11-30,USAspending
56,DoD; 2.0yr Runway; $500M+; 1 Jobs,,BELL BOEING JOINT PROJECT OFFICE,Late Stage,False,2.0,False,,1,6568172820.67,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,,Department of Defense,Department of the Navy,,TX,2016-12-28,2028-01-31,USAspending
56,DoD; 2.9yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,2.9,False,,1,5286196424.87,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,,Department of Defense,Defense Contract Management Agency,,TX,2020-08-14,2028-12-31,USAspending
56,DoD; 2.2yr Runway; $500M+; 1 Jobs,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",Late Stage,False,2.2,False,,1,4980576178.6,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",,Department of Defense,Department of the Army,,KY,2009-03-19,2028-04-03,USAspending
56,DoD; 2.9yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,2.9,False,,1,8680225958.82,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,,Department of Defense,Missile Defense Agency,,TX,2017-03-27,2028-11-30,USAspending
56,DoD; 2.0yr Runway; $500M+; 1 Jobs,,BELL BOEING JOINT PROJECT OFFICE,Late Stage,False,2.0,False,,1,6568172820.67,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,,Department of Defense,Department of the Navy,,TX,2016-12-28,2028-01-31,USAspending
56,DoD; 2.9yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,2.9,False,,1,5286196424.87,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,,Department of Defense,Defense Contract Management Agency,,TX,2020-08-14,2028-12-31,USAspending
56,DoD; 2.2yr Runway; $500M+; 1 Jobs,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",Late Stage,False,2.2,False,,1,4980576178.6,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",,Department of Defense,Department of the Army,,KY,2009-03-19,2028-04-03,USAspending
55,DoD; 2.7yr Runway; $500M+,,"FLUOR MARINE PROPULSION, LLC",Late Stage,False,2.7,False,,0,12644083637.5,NAVAL NUCLEAR LABORATORY,,Department of Defense,Department of the Navy,,PA,2018-07-12,2028-09-30,USAspending
55,DoD; 2.2yr Runway; $500M+,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Late Stage,False,2.2,False,,0,5812593038.64,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,,Department of Defense,Department of the Navy,,CA,2016-06-30,2028-03-22,USAspending
55,DoD; 2.6yr Runway; $500M+,,THE BOEING COMPANY,Late Stage,False,2.6,False,,0,5496533530.53,F/A-18E AIRCRAFT,,Department of Defense,Department of the Navy,,MO,2018-05-08,2028-08-31,USAspending
55,DoD; 2.7yr Runway; $500M+,,"FLUOR MARINE PROPULSION, LLC",Late Stage,False,2.7,False,,0,12644083637.5,NAVAL NUCLEAR LABORATORY,,Department of Defense,Department of the Navy,,PA,2018-07-12,2028-09-30,USAspending
55,DoD; 2.2yr Runway; $500M+,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Late Stage,False,2.2,False,,0,5812593038.64,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,,Department of Defense,Department of the Navy,,CA,2016-06-30,2028-03-22,USAspending
55,DoD; 2.6yr Runway; $500M+,,THE BOEING COMPANY,Late Stage,False,2.6,False,,0,5496533530.53,F/A-18E AIRCRAFT,,Department of Defense,Department of the Navy,,MO,2018-05-08,2028-08-31,USAspending
55,DoD; 2.7yr Runway; $500M+,,"FLUOR MARINE PROPULSION, LLC",Late Stage,False,2.7,False,,0,12644083637.5,NAVAL NUCLEAR LABORATORY,,Department of Defense,Department of the Navy,,PA,2018-07-12,2028-09-30,USAspending
55,DoD; 2.2yr Runway; $500M+,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Late Stage,False,2.2,False,,0,5812593038.64,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,,Department of Defense,Department of the Navy,,CA,2016-06-30,2028-03-22,USAspending
55,DoD; 2.6yr Runway; $500M+,,THE BOEING COMPANY,Late Stage,False,2.6,False,,0,5496533530.53,F/A-18E AIRCRAFT,,Department of Defense,Department of the Navy,,MO,2018-05-08,2028-08-31,USAspending
