award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
932288457.45,CONT_AWD_FA805121F0058_9700_FA805120D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+,45,FA805121F0058,JBMDL - OPERATION ALLIES WELCOME (REFUGE) - O21R,2024-03-15,2026-01-21,False,,,,STANDARD,,"URS FEDERAL SERVICES INTERNATIONAL, INC",QKXCUBQF9NT9,LARGE ($500M-1B),2021-08-21,0,0,0,1
925547489.35,CONT_AWD_W9124Q07C0504_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W9124Q07C0504,WHITE SANDS MISSILE RANGE,2019-08-31,2026-01-21,False,,,,STANDARD,,"TRAX INTERNATIONAL, LLC",DJKNQ7AWDQL8,LARGE ($500M-1B),2006-11-06,0,0,0,2
920700000.0,CONT_AWD_HT940223C0007_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $500M+,45,HT940223C0007,MANAGED HEALTH CARE PLAN SERVICES FROM A DESIGNATED PROVIDER,2026-09-30,2026-01-21,False,,,,STANDARD,,MARTINS POINT HEALTH CARE INC,DJUHB4QNYAS6,LARGE ($500M-1B),2023-10-01,0,0,0,4
918256500.0,CONT_AWD_B001_9700_SP060008D0450_9700,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,B001,JP8,2010-01-30,2026-01-21,False,,,,STANDARD,,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION,JHUVPBEELVE6,LARGE ($500M-1B),2007-10-03,0,0,0,3
915714326.02,CONT_AWD_0005_9700_DAAA0902D0025_9700,Department of Defense,Department of the Army,DoD; $500M+,45,0005,"200412!001576!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0025  !A!N! !N!0005         !      !20040913!20101231!089176176!094878998!094878980!N!BECHTEL NATIONAL, INC         !50 BEALE STREET           !SAN FRANCISCO       !CA!94105!67000!075!06!SAN FRANCISCO       !SAN FRANCISCO         !C",2022-09-30,2026-01-21,False,,,,STANDARD,,"BECHTEL NATIONAL, INC.",HGF7H89MA3D9,LARGE ($500M-1B),2004-09-13,0,0,0,2
906021841.04,CONT_AWD_W15QKN05C1173_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,W15QKN05C1173,200509!500638!2100!W15QKN!TACOM - PICATINNY               !W15QKN05C1173  !A!N! !N!             !      !20050322!20090830!235310435!217304393!217304393!N!RO DEFENCE PROJECTS LTD       !APF BUILDING C10          !CUMBRIA             !UK!*    !00000!   !UK!*                   !*                     !U,2012-01-31,2026-01-21,False,,,,STANDARD,,RO DEFENCE PROJECTS LTD,P67XBXWXLVP4,LARGE ($500M-1B),2005-03-22,0,0,0,1
903994823.0,CONT_AWD_N0002424C2135_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+,45,N0002424C2135,US SIB SUB SUPPLIER DEVELOPMENT SUPPORT,2026-09-10,2026-01-21,False,,,,STANDARD,,BLUEFORGE ALLIANCE,F8PEZKXES8B1,LARGE ($500M-1B),2024-09-10,0,0,0,1
902866509.03,CONT_AWD_W31P4Q10CR190_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W31P4Q10CR190,TECHNICAL AND ENGINEERING EFFORT IN SUPPORT OF THE PIF.,2014-06-30,2026-01-21,False,,,,STANDARD,,JVYS,SH2QXKRSD8M8,LARGE ($500M-1B),2010-07-08,0,0,0,3
902579582.91,CONT_AWD_N6238715C3135_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+,45,N6238715C3135,IGF::CT::IGF AWARD OF BOBO CLASS/STOCKHAM CONTRACT,2022-09-30,2026-01-21,False,,,,STANDARD,,"CROWLEY GOVERNMENT SERVICES, INC.",VMEFT5X61JT9,LARGE ($500M-1B),2015-10-01,0,0,0,2
897511836.99,CONT_AWD_F0470195C0012_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,F0470195C0012,199707!5700!0047!GZ74 !SMC/PKV2                        !F0470195C0012  !A!*!P00040             !19970401!20030930!080372998!080372998!834951691!N!04236!LOCKHEED MARTIN CORPORATION   !12999 W DEER CREEK CANYON !LITTLETON           !CO!80127!20000!031!08!DENVER              !DENVER                !COL,2005-09-30,2026-01-21,False,,,,STANDARD,,"LOCKHEED MARTIN COMMERCIAL LAUNCH SERVICES, INC.",NZ7MZV9Q7YJ3,LARGE ($500M-1B),1997-04-01,0,0,0,2
895462282.39,CONT_AWD_DAAJ0991CA004_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,DAAJ0991CA004,199712!2100!6020!AJ09 !USA AVIATION AND TROOP COMMAND  !DAAJ0991CA004  !A!*!P00111             !19961231!20020930!963957972!963957972!963957972!N!0APX0!BOEING SIKORSKY COMANCHE TEAM !INTERNTONAL PLZ 2 STE 645 !PHILADELPHIA        !PA!19113!60000!101!42!PHILADELPHIA        !PHILADELPHIA          !PEN,2011-08-17,2026-01-21,False,,,,STANDARD,,BOEING SIKORSKY COMANCHE TEAM,SE9HBZC9MHN6,LARGE ($500M-1B),1996-12-31,0,0,0,1
892285778.48,CONT_AWD_H9400208C0004_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $500M+,45,H9400208C0004,AWARD OF CONTRACT,2014-07-31,2026-01-21,False,,,,STANDARD,,"UNITED CONCORDIA COMPANIES, INC.",EUEVXMR5L7A3,LARGE ($500M-1B),2008-09-26,0,0,0,2
889465526.89,CONT_AWD_B001_9700_SP060013D9514_9700,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,B001,SUPPLY OF FUEL TO VARIOUS LOCATIONS IN AFGHANISTAN.,2015-09-05,2026-01-21,False,,,,STANDARD,,FOREIGN AWARDEES (UNDISCLOSED),NN2NGPDNCK23,LARGE ($500M-1B),2013-09-06,0,0,0,2
881779731.82,CONT_AWD_W56HZV20C0124_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W56HZV20C0124,UCA HARDWARE THOR III HMPT XMS AND ANCILLARY HARDWARE,2025-12-11,2026-01-21,False,,,,STANDARD,,"L3 TECHNOLOGIES, INC.",CJSNYUAHYFH4,LARGE ($500M-1B),2020-06-12,0,0,0,2
877281533.32,CONT_AWD_M6785407C2072_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,M6785407C2072,GROUND/AIR TASK ORIENTED RADAR (G/ATOR) SYSTEM DEVELOPMENT,2017-08-23,2026-01-21,False,,,,STANDARD,,NORTHROP GRUMMAN SYSTEMS CORPORATION,DE6HN4VGM3R1,LARGE ($500M-1B),2007-03-30,0,0,0,3
876196089.35,CONT_AWD_W91CRB11C0053_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W91CRB11C0053,AFGHANISTAN MINISTRY OF INTERIOR/AFGHAN NATIONAL POLICE MENTORING&TRAINING WITH LIFE SUPPORT SERVICES.,2016-03-07,2026-01-21,False,,,,STANDARD,,DOMESTIC AWARDEES (UNDISCLOSED),KA5HQCLKUVW1,LARGE ($500M-1B),2010-12-20,0,0,0,3
874209512.0,CONT_AWD_MDA94798C2002_9700_-NONE-_-NONE-,Department of Defense,Washington Headquarters Services,DoD; $500M+,45,MDA94798C2002,,2011-06-30,2026-01-21,False,,,,STANDARD,,"GENERAL DYNAMICS NETWORK SYSTEMS, INC.",FMKUGNBPXQX3,LARGE ($500M-1B),2002-06-27,0,0,0,1
870918288.4,CONT_AWD_W58RGZ13C0040_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W58RGZ13C0040,TASM-O AVIATION FIELD MAINTENANCE IGF::OT::IGF,2019-12-31,2026-01-21,False,,,,STANDARD,,DOMESTIC AWARDEES (UNDISCLOSED),KA5HQCLKUVW1,LARGE ($500M-1B),2013-09-05,0,0,0,3
865107741.77,CONT_AWD_N3220521C3009_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+,45,N3220521C3009,"N105B/PM3 AND PM5/ CREATED BY PAVELCHAK ON BEHALF OF WOOD, JAMES/ CONTRACT AWARD FOR THE OPERATION AND MAINTENANCE OF EIGHT GOVERNMENT-OWNED LARGE, MEDIUM-SPEED, ROLL-ON, ROLL-OFF (LMSR) VESSELS.",2026-03-31,2026-01-21,False,,,,STANDARD,,"PATRIOT CONTRACT SERVICES, LLC",S9L9DZ8RBNL6,LARGE ($500M-1B),2021-04-01,0,0,0,3
859848390.87,CONT_AWD_B001_9700_SP060011D1013_9700,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,B001,"SUPPLY OF DIESEL FUEL, AUTOMOTIVE GASOLINE AND AVIATION GASOLINE THROUGHOUT AFGHANISTAN.",2013-12-30,2026-01-21,False,,,,STANDARD,,WORLD FUEL SERVICES (SINGAPORE) PTE LTD,KKSMJ8L9EUS4,LARGE ($500M-1B),2011-07-29,0,0,0,1
855642447.01,CONT_AWD_N6247320F5226_9700_N6247019D8025_9700,Department of Defense,Department of the Navy,DoD; $500M+,45,N6247320F5226,"DESIGN-BUILD SOUTH AIRFEILD MCON PROJECTS CHINA LAKE, CALIFORNIA",2025-03-01,2026-01-21,False,,,,STANDARD,,ENVIRONMENTAL CHEMICAL CORPORATION,LFH4SUCVA379,LARGE ($500M-1B),2020-09-10,0,0,0,2
853187052.0,CONT_AWD_B001_9700_SP060014D4005_9700,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,B001,OBLIGATION OF CONTINGENCY CONTRACT,2019-06-30,2026-01-21,False,,,,STANDARD,,"FOSTER FUELS, INC.",H37MEMNXPS23,LARGE ($500M-1B),2014-06-01,0,0,0,1
852873475.24,CONT_AWD_FA872608C0008_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,FA872608C0008,AMF JTRS SDD,2017-07-29,2026-01-21,False,,,,STANDARD,,LOCKHEED MARTIN CORPORATION,G5TLLN5B23K3,LARGE ($500M-1B),2008-03-28,0,0,0,1
851348161.42,CONT_AWD_SP060007C8263_9700_-NONE-_-NONE-,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,SP060007C8263,UTILITY SERVICE CONTRACT FOR UTILITY PRIVATIZATION,2058-08-14,2026-01-21,False,,,,STANDARD,,"DOYON UTILITIES, LLC",QSGWRGHUGDU8,LARGE ($500M-1B),2007-09-28,0,0,0,2
847098884.16,CONT_AWD_N0001907C0060_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+,45,N0001907C0060,THIS CONTRACT IS FOR THE PROCUREMENT OF AE1107C TURBOSHAFT ENGINES (INSTALLS AND SPARES).,2012-12-31,2026-01-21,False,,,,STANDARD,,ROLLS-ROYCE CORPORATION,KHK8QYLFGLU1,LARGE ($500M-1B),2007-09-25,0,0,0,4
842871031.46,CONT_AWD_B001_9700_SP060010D0453_9700,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,B001,"TURBINE FUEL, AVIATION JP8",2011-01-31,2026-01-21,False,,,,STANDARD,,BP SINGAPORE PTE. LIMITED,F5P6E5XRNXB4,LARGE ($500M-1B),2009-11-06,0,0,0,2
839534270.94,CONT_AWD_F0470100C0011_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,F0470100C0011,,2012-12-31,2026-01-21,False,,,,STANDARD,,THE BOEING COMPANY,M6BRZ1FHEZQ1,LARGE ($500M-1B),2001-01-02,0,0,0,4
833634568.54,CONT_AWD_W911S007C0007_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W911S007C0007,JRTC MISSION SUPPORT SERVICES-BASE YEAR,2017-06-30,2026-01-21,False,,,,STANDARD,,VALIANT GLOBAL DEFENSE SERVICES INC,FEJJGETNAP31,LARGE ($500M-1B),2007-09-29,0,0,0,1
828168500.02,CONT_AWD_0008_9700_M6785407D5028_9700,Department of Defense,Department of the Navy,DoD; $500M+,45,0008,FRSS FUEL TANK AND RELOCATION - MATERIAL,2014-01-28,2026-01-21,False,,,,STANDARD,,GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION,UKN6CJ49WB54,LARGE ($500M-1B),2010-06-29,0,0,0,3
820300745.72,CONT_AWD_W52P1J20C0005_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W52P1J20C0005,AWARD FOR UNIFIED ENTERPRISE RESOURCE PLANNING CAPABILITY SUPPORT SERVICES,2026-04-30,2026-01-21,False,,,,STANDARD,,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,LARGE ($500M-1B),2019-12-10,0,0,0,1
816817801.7,CONT_AWD_W56HZV08C0516_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,W56HZV08C0516,LOGISTICS' SERVICES,2011-12-30,2026-01-21,False,,,,STANDARD,,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",JY2BDT2K58Z6,LARGE ($500M-1B),2008-07-31,0,0,0,3
816815375.21,CONT_AWD_N0001909C0031_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+,45,N0001909C0031,"TAIWAN NAVY P-3C UPGRADE PROGRAM - PHASED DEPOT MAINTENANCE, STRUCTURAL SERVICE LIFE EXTENSION, AND AVIONICS MODIFICATION ON TWELVE (12) P-3C AIRCRAFT.  ADDITIONAL CONTRACT DELIVERABLES WILL INCLUDE  GROUND HANDLING AND SUPPORT EQUIPMENT, AND PUBLICATIONS.",2020-12-10,2026-01-21,False,,,,STANDARD,,LOCKHEED MARTIN CORP,CMCXD2QLGKF9,LARGE ($500M-1B),2009-03-13,0,0,0,1
816516427.74,CONT_AWD_HQ072716C0001_9700_-NONE-_-NONE-,Department of Defense,Defense Microelectronics Activity,DoD; $500M+,45,HQ072716C0001,TRUSTED FOUNDRY ACCESS 2 - AWARD OF BASE TRANSITION CONTRACT WITH DMEA.  CONTRACT TRANSFERRED FROM NSA.,2023-08-14,2026-01-21,False,,,,STANDARD,,GLOBALFOUNDRIES U.S. 2 LLC,RUSME6Z46ML6,LARGE ($500M-1B),2016-04-01,0,0,0,1
815735406.6,CONT_AWD_W31P4Q14C0154_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W31P4Q14C0154,"PROCUREMENT OF FY 14-18 HYDRA-70 ROCKET SYSTEM.  THIS REQUIREMENT INCLUDES ROCKETS, WARHEADS, MOTORS AND CONTAINERS, WHICH WILL BE PRODUCED IAW A GOVERNMENT-PROVIDED TDP.",2021-09-30,2026-01-21,False,,,,STANDARD,,"GENERAL DYNAMICS-OTS, INC.",Q9SBTF8ELUP4,LARGE ($500M-1B),2014-09-15,0,0,0,3
814275916.5,CONT_AWD_FA872110C0007_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,FA872110C0007,CONTINUED CONTRACT (LINCOLN LAB),2018-03-31,2026-01-21,False,,,,STANDARD,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,E2NYLCDML6V1,LARGE ($500M-1B),2010-03-30,0,0,0,2
811355349.31,CONT_AWD_B001_9700_SP060012D1009_9700,Department of Defense,Defense Logistics Agency,DoD; $500M+,45,B001,"DELIVER TS-1 JET FUEL TO BAGRAM AIR FIELD, AFGHANISTAN, AND MAINTAIN A TS-1 JET FUEL RESERVE.",2014-12-31,2026-01-21,False,,,,STANDARD,,RED STAR ENTERPRISES LIMITED,L2RWJBSNK4J4,LARGE ($500M-1B),2012-03-27,0,0,0,1
807594570.84,CONT_AWD_MDA90694C0003_9700_-NONE-_-NONE-,Department of Defense,Tricare Management Activity,DoD; $500M+,45,MDA90694C0003,,2008-12-31,2026-01-21,False,,,,STANDARD,,"FOUNDATION HEALTH, A CALIFORNI",UEYKBH5QYGC3,LARGE ($500M-1B),1999-10-01,0,0,0,1
806693944.8,CONT_AWD_W911WN24C8011_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W911WN24C8011,NEW RIVER CHAMBER AT MONTGOMERY LOCKS & DAM,2030-08-22,2026-01-21,False,,,,STANDARD,,"TRUMBULL CORPORATION AND BRAYMAN CONSTRUCTION CORPORATION, A JOINT VENTURE",K8T9HADURNM9,LARGE ($500M-1B),2024-09-26,0,0,0,1
803304537.54,CONT_AWD_DAMD1798C8024_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,DAMD1798C8024,199802!2100!1273!MD17 !US ARMY MEDICAL RESEARCH ACQ ACT!DAMD1798C8024  !A!*!*                  !19971106!19971130!958462681!927921627!003242013!N!03543!DYNTEL CORP                   !2000 EDMUND HALLEY DR     !RESTON              !VA!20191!66672!059!51!RESTON              !FAIRFAX               !VIR,2023-07-23,2026-01-21,False,,,,STANDARD,,DYNPORT VACCINE COMPANY LLC,LXNEGTYDR755,LARGE ($500M-1B),1997-11-06,0,0,0,1
803243805.2,CONT_AWD_HQ085022C0007_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,HQ085022C0007,SDA TRANCHE 1 OPERATIONS AND INTEGRATION,2029-09-30,2026-01-21,False,,,,STANDARD,,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",MWDRZJ2ZVPV7,LARGE ($500M-1B),2022-05-26,0,0,0,3
798717276.13,CONT_AWD_FA820807C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,FA820807C0001,NON-PERSONAL SERVICES - SECONDARY POWER LOGISTICS SOLUTION (SPLS),2021-12-31,2026-01-21,False,,,,STANDARD,,HONEYWELL INTERNATIONAL INC.,ZLHMCNLMEYK1,LARGE ($500M-1B),2007-12-01,0,0,0,1
797068317.33,CONT_AWD_W9128F23F0065_9700_W9128F20D0005_9700,Department of Defense,Department of the Army,DoD; $500M+,45,W9128F23F0065,!!PR-POWERFY23!! TEMPORARY POWER GENERATION AT THE PALO SECO POWER PLANT,2026-01-30,2026-01-21,False,,,,STANDARD,,WESTON SOLUTIONS INC,Z4XGALW7L9K6,LARGE ($500M-1B),2023-02-24,0,0,0,2
787360602.87,CONT_AWD_H9400209C0002_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $500M+,45,H9400209C0002,AWARD OF CONTRACT,2013-09-30,2026-01-21,False,,,,STANDARD,,CHRISTUS HEALTH,C4A1GH8YACH4,LARGE ($500M-1B),2008-10-01,0,0,0,3
779088045.85,CONT_AWD_N6426720F3001_9700_N0017819D7088_9700,Department of Defense,Department of the Navy,DoD; $500M+,45,N6426720F3001,AWARD OF NITE TASK ORDER,2026-08-11,2026-01-21,False,,,,STANDARD,,HII MISSION TECHNOLOGIES CORP,G5H7HWC4L2R5,LARGE ($500M-1B),2020-08-12,0,0,0,2
778301555.26,CONT_AWD_F0468403C0050_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,F0468403C0050,"200310!000264!5700!CA12  !30 CONS/LGC                     !F0468403C0050  !A!N! !Y!                   !20030711!20030930!161909049!161909049!161909049!N!INDYNE, INC                   !6862 ELM STREET           !MCLEAN              !VA!22101!48376!059!51!MCLEAN              !FAIRFAX               !VI",2017-07-16,2026-01-21,False,,,,STANDARD,,"INDYNE, INC.",K21BNJGB9US6,LARGE ($500M-1B),2003-07-11,0,0,0,2
775976291.98,CONT_AWD_HC102820F0032_9700_HC102820D0001_9700,Department of Defense,Defense Information Systems Agency,DoD; $500M+,45,HC102820F0032,OPERATION AND SUSTAINMENT OF THE DODIN/DISN INFRASTRUCTURE,2025-11-18,2026-01-21,False,,,,STANDARD,,"LEIDOS, INC.",UE9QJD4KK1L6,LARGE ($500M-1B),2020-11-19,0,0,0,4
771762830.64,CONT_AWD_W912PL25F0041_9700_W912EK23D0011_9700,Department of Defense,Department of the Army,DoD; $500M+,45,W912PL25F0041,CALIFORNIA WILDFIRES 2025 PPDR EATON,2026-01-07,2026-01-21,False,,,,STANDARD,,ECC CONSTRUCTORS LLC,LJPLMV3GCYE7,LARGE ($500M-1B),2025-02-10,0,0,0,3
771509663.31,CONT_AWD_QB0D_9700_N0002400D6000_9700,Department of Defense,Department of the Navy,DoD; $500M+,45,QB0D,OTHER ADP & TELECOMMUNICATIONS SERVICES,2008-09-30,2026-01-21,False,,,,STANDARD,,PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,LARGE ($500M-1B),2008-09-30,0,0,0,2
767595245.98,CONT_AWD_W912DQ19C7001_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W912DQ19C7001,N2W NGA FY18 DESIGN AND CONSTRUCTION (PHASE 1),2026-01-22,2026-01-21,False,,,,STANDARD,,MCCARTHY HITT - NEXT NGA WEST JOINT VENTURE,GAXVL2BNV329,LARGE ($500M-1B),2019-03-19,0,0,0,1
