award_amount,award_id,awarding_agency,bd_reasons,bd_score,competitor_present,competitors,description,end_date,fiscal_year,is_base_year,job_activity,lifecycle_phase,naics_code,piid,pop_city,pop_state,psc_code,recipient_name,recipient_uei,runway_years,source,start_date,sub_agency
6035358369.47,N0001913C0008,Department of Defense,DoD; 75.0yr Runway; $500M+,60,False,,F-35 LRIP 8 AAC,2100-12-31,2024,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,75.0,USAspending,2013-02-28,Department of the Navy
5544117634.23,N0001912C0112,Department of Defense,DoD; 5.7yr Runway; $500M+,60,False,,P-8A FRP LOT I LONG LEAD MATERIAL,2031-10-13,2024,False,0,Late Stage,,,,WA,,THE BOEING COMPANY,WZWRLY4G3PL8,5.7,USAspending,2012-08-31,Defense Contract Management Agency
5302697771.86,N0002418C2305,Department of Defense,DoD; 4.9yr Runway; $500M+,60,False,,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2030-12-20,2024,False,0,Late Stage,,,,ME,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,4.9,USAspending,2018-09-27,Department of the Navy
5023910450.0,N0002423C2305,Department of Defense,DoD; 8.1yr Runway; $500M+,60,False,,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2034-02-28,2024,False,0,Option Year 2,,,,ME,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,8.1,USAspending,2023-08-01,Department of the Navy
4960017500.0,N0002424C2110,Department of Defense,DoD; 9.7yr Runway; $500M+,60,False,,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,2035-09-30,2024,False,0,Option Year 2,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,9.7,USAspending,2023-10-13,Department of the Navy
4865962075.84,N0001921C0011,Department of Defense,DoD; 4.1yr Runway; $500M+,60,False,,FY21 PBL2,2030-02-28,2024,False,0,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,4.1,USAspending,2020-12-01,Department of the Navy
4627589105.0,N0002418C2406,Department of Defense,DoD; 5.1yr Runway; $500M+,60,False,,LPD 30 LLTM,2031-03-01,2024,False,0,Late Stage,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,5.1,USAspending,2018-08-02,Department of the Navy
35135514910.2,N0001917C0001,Department of Defense,DoD; 5.2yr Runway; $500M+,60,False,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,2031-03-31,2023,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5.2,USAspending,2017-11-17,Department of the Navy
34650315216.0,N0002417C2100,Department of Defense,DoD; 10.4yr Runway; $500M+,60,False,,SSN 802 AND 803 LONG LEAD TIME MATERIAL,2036-06-02,2023,False,0,Late Stage,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,10.4,USAspending,2017-02-14,Department of the Navy
24313811834.0,N0002417C2117,Department of Defense,DoD; 5.9yr Runway; $500M+,60,False,,COLUMBIA CLASS DESIGN COMPLETION,2031-12-31,2023,False,0,Late Stage,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,5.9,USAspending,2017-09-21,Department of the Navy
12269145508.23,N0001916C0033,Department of Defense,DoD; 5.2yr Runway; $500M+,60,False,,LRIP 11 AAC,2031-03-31,2023,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5.2,USAspending,2015-12-21,Department of the Navy
10550927664.07,N0001915C0003,Department of Defense,DoD; 6.9yr Runway; $500M+,60,False,,LRIP 10 AAC,2032-12-31,2023,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,6.9,USAspending,2015-05-26,Defense Contract Management Agency
6959418742.2,N0002423C2307,Department of Defense,DoD; 8.1yr Runway; $500M+,60,False,,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2034-02-28,2023,False,0,Option Year 2,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,8.1,USAspending,2023-08-01,Department of the Navy
6703793714.37,N0002418C2307,Department of Defense,DoD; 6.5yr Runway; $500M+,60,False,,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2032-07-09,2023,False,0,Late Stage,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,6.5,USAspending,2018-09-27,Department of the Navy
6035358369.47,N0001913C0008,Department of Defense,DoD; 75.0yr Runway; $500M+,60,False,,F-35 LRIP 8 AAC,2100-12-31,2023,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,75.0,USAspending,2013-02-28,Department of the Navy
5544117634.23,N0001912C0112,Department of Defense,DoD; 5.7yr Runway; $500M+,60,False,,P-8A FRP LOT I LONG LEAD MATERIAL,2031-10-13,2023,False,0,Late Stage,,,,WA,,THE BOEING COMPANY,WZWRLY4G3PL8,5.7,USAspending,2012-08-31,Defense Contract Management Agency
5302697771.86,N0002418C2305,Department of Defense,DoD; 4.9yr Runway; $500M+,60,False,,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2030-12-20,2023,False,0,Late Stage,,,,ME,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,4.9,USAspending,2018-09-27,Department of the Navy
5023910450.0,N0002423C2305,Department of Defense,DoD; 8.1yr Runway; $500M+,60,False,,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2034-02-28,2023,False,0,Option Year 2,,,,ME,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,8.1,USAspending,2023-08-01,Department of the Navy
4865962075.84,N0001921C0011,Department of Defense,DoD; 4.1yr Runway; $500M+,60,False,,FY21 PBL2,2030-02-28,2023,False,0,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,4.1,USAspending,2020-12-01,Department of the Navy
4627589105.0,N0002418C2406,Department of Defense,DoD; 5.1yr Runway; $500M+,60,False,,LPD 30 LLTM,2031-03-01,2023,False,0,Late Stage,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,5.1,USAspending,2018-08-02,Department of the Navy
35135514910.2,N0001917C0001,Department of Defense,DoD; 5.2yr Runway; $500M+,60,False,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,2031-03-31,2022,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5.2,USAspending,2017-11-17,Department of the Navy
34650315216.0,N0002417C2100,Department of Defense,DoD; 10.4yr Runway; $500M+,60,False,,SSN 802 AND 803 LONG LEAD TIME MATERIAL,2036-06-02,2022,False,0,Late Stage,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,10.4,USAspending,2017-02-14,Department of the Navy
24313811834.0,N0002417C2117,Department of Defense,DoD; 5.9yr Runway; $500M+,60,False,,COLUMBIA CLASS DESIGN COMPLETION,2031-12-31,2022,False,0,Late Stage,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,5.9,USAspending,2017-09-21,Department of the Navy
12269145508.23,N0001916C0033,Department of Defense,DoD; 5.2yr Runway; $500M+,60,False,,LRIP 11 AAC,2031-03-31,2022,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5.2,USAspending,2015-12-21,Department of the Navy
10550927664.07,N0001915C0003,Department of Defense,DoD; 6.9yr Runway; $500M+,60,False,,LRIP 10 AAC,2032-12-31,2022,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,6.9,USAspending,2015-05-26,Defense Contract Management Agency
6703793714.37,N0002418C2307,Department of Defense,DoD; 6.5yr Runway; $500M+,60,False,,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2032-07-09,2022,False,0,Late Stage,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,6.5,USAspending,2018-09-27,Department of the Navy
6035358369.47,N0001913C0008,Department of Defense,DoD; 75.0yr Runway; $500M+,60,False,,F-35 LRIP 8 AAC,2100-12-31,2022,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,75.0,USAspending,2013-02-28,Department of the Navy
5544117634.23,N0001912C0112,Department of Defense,DoD; 5.7yr Runway; $500M+,60,False,,P-8A FRP LOT I LONG LEAD MATERIAL,2031-10-13,2022,False,0,Late Stage,,,,WA,,THE BOEING COMPANY,WZWRLY4G3PL8,5.7,USAspending,2012-08-31,Defense Contract Management Agency
5302697771.86,N0002418C2305,Department of Defense,DoD; 4.9yr Runway; $500M+,60,False,,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2030-12-20,2022,False,0,Late Stage,,,,ME,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,4.9,USAspending,2018-09-27,Department of the Navy
4865962075.84,N0001921C0011,Department of Defense,DoD; 4.1yr Runway; $500M+,60,False,,FY21 PBL2,2030-02-28,2022,False,0,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,4.1,USAspending,2020-12-01,Department of the Navy
4627589105.0,N0002418C2406,Department of Defense,DoD; 5.1yr Runway; $500M+,60,False,,LPD 30 LLTM,2031-03-01,2022,False,0,Late Stage,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,5.1,USAspending,2018-08-02,Department of the Navy
8680225958.82,HQ014717C0032,Department of Defense,DoD; 2.9yr Runway; $500M+; 1 Jobs,56,False,,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,2028-11-30,2024,False,1,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,2.9,USAspending,2017-03-27,Missile Defense Agency
6568172820.67,N0001917C0015,Department of Defense,DoD; 2.0yr Runway; $500M+; 1 Jobs,56,False,,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,2028-01-31,2024,False,1,Late Stage,,,,TX,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,2.0,USAspending,2016-12-28,Department of the Navy
5286196424.87,FA861520F0001,Department of Defense,DoD; 2.9yr Runway; $500M+; 1 Jobs,56,False,,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,2028-12-31,2024,False,1,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,2.9,USAspending,2020-08-14,Defense Contract Management Agency
4980576178.6,W52P1J09C0013,Department of Defense,DoD; 2.2yr Runway; $500M+; 1 Jobs,56,False,,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",2028-04-03,2024,False,1,Late Stage,,,,KY,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",DS75LBB3UZJ6,2.2,USAspending,2009-03-19,Department of the Army
8680225958.82,HQ014717C0032,Department of Defense,DoD; 2.9yr Runway; $500M+; 1 Jobs,56,False,,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,2028-11-30,2023,False,1,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,2.9,USAspending,2017-03-27,Missile Defense Agency
6568172820.67,N0001917C0015,Department of Defense,DoD; 2.0yr Runway; $500M+; 1 Jobs,56,False,,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,2028-01-31,2023,False,1,Late Stage,,,,TX,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,2.0,USAspending,2016-12-28,Department of the Navy
5286196424.87,FA861520F0001,Department of Defense,DoD; 2.9yr Runway; $500M+; 1 Jobs,56,False,,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,2028-12-31,2023,False,1,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,2.9,USAspending,2020-08-14,Defense Contract Management Agency
4980576178.6,W52P1J09C0013,Department of Defense,DoD; 2.2yr Runway; $500M+; 1 Jobs,56,False,,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",2028-04-03,2023,False,1,Late Stage,,,,KY,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",DS75LBB3UZJ6,2.2,USAspending,2009-03-19,Department of the Army
8680225958.82,HQ014717C0032,Department of Defense,DoD; 2.9yr Runway; $500M+; 1 Jobs,56,False,,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,2028-11-30,2022,False,1,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,2.9,USAspending,2017-03-27,Missile Defense Agency
