piid,program_name,program_description,acronym,prime_contractor,prime_uei,prime_legal_name,total_contract_value,obligated_amount,base_and_options,agency,department,agency_code,department_code,office_name,funding_office,award_date,pop_start,pop_current_end,pop_ultimate_end,recompete_date,city,state,performance_location,key_locations,task_order_locations,functional_locations,naics_code,naics_description,psc_code,psc_description,set_aside,is_dod,is_it_naics,clearance_requirements,functional_areas,typical_roles,job_titles,required_skills,tech_stack,keywords_signals,labor_rate_min,labor_rate_max,labor_rate_avg,education_requirement,experience_requirement,annual_salary_range,sub_count,sub_total_amount,staffing_firms_present,solicitation_id,parent_idv_piid,contract_vehicle,fiscal_year,discovery_strategy,prime_contact_count_crm,contact_files,key_contacts,contact_coverage,bd_score,bd_status,has_pts_jobs,pts_job_count,job_titles_matched,job_match_count,bd_priority,confidence_level,pts_involvement,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,data_sources_matched,enrichment_date,greenfield_type
GSQ0116BK0198,IGF::OT::IGF HIGH RESOLUTION 3D GEOSPATI,IGF::OT::IGF HIGH RESOLUTION 3D GEOSPATIAL INFORMATION,HR3DGI,"Leidos, Inc.",MDSWM6MB1BH7,"Leidos, Inc.","$694,330,085",694330084.5099999,47621359.22,Federal Acquisition,General Services Administration,,47,,,,,,,,Reston,Virginia,"RESTON, VIRGINIA","RESTON, VIRGINIA",,"RESTON, VIRGINIA",541330,Engineering Services,R405,Engineering and Technical Support,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Engineering Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,geospatial/GEOINT; TS/SCI w/ Poly; mega-contract (>$500M); WARM LEAD,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",97,38031984.86,Likely (large sub base suggests staffing firm participation),,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,59,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,High,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
FA701407C0009,SERVICES 01 JAN 09 TO 31 DEC 09,SERVICES 01 JAN 09 TO 31 DEC 09,,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,GENERAL DYNAMICS INFORMAT,"$684,946,524",684946523.88,194167090.0,Department of the Ai,Department of Defense,,97,Department of the Air Force,,2007-01-01,2007-01-01,2016-07-31,2016-07-31,2016-07-31,Arlington,Virginia,"ARLINGTON, VIRGINIA","ARLINGTON, VIRGINIA",,"ARLINGTON, VIRGINIA",541611,Administrative Management and General Management Consulting Services,R499,Other Professional Services,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Management Consulting; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,Secret; mega-contract (>$500M); WARM LEAD,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",0,0.0,,,,,2007,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,57,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,Medium,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFMA19F0013,COMMUNICATION AND INFORMATION TECHNOLOGY,COMMUNICATION AND INFORMATION TECHNOLOGY SERVICES III,CITS III,"CACI, INC. - FEDERAL",N3PBJAVNKF61,"CACI, INC. - FEDERAL","$674,944,917",674944916.7999997,4903921.57,Federal Acquisition,General Services Administration,,47,,,,,,,,,,"nan, nan","nan, nan",,"nan, nan",541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,,IT Services,Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,BIM TO3 - DC Power Electrician - Secret - TRAVEL,"Active Directory; Windows Server; Linux; VMware; AWS/Azure; ITIL; ServiceNow; Networking (TCP/IP, DNS, DHCP)",Windows Server; Linux (RHEL/CentOS); VMware vSphere; AWS; Azure; ServiceNow; Splunk; Cisco; Palo Alto,mega-contract (>$500M); WARM LEAD,$95.00/hr,$125.00/hr,$111.67/hr,Bachelor's degree in relevant discipline (or equivalent experience),3-5+ years relevant experience,"$114,400 - $150,010",577,477839788.97,Likely (large sub base suggests staffing firm participation),,,,,S3_PRIME_DEEP_DIVE,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,65,WARM LEAD,True,13,Microsoft Copilot Studio AI SME,1,High,Medium,"Active (13 jobs, 1 title matches)",Chris Williams | Top CRM contacts: Teresa Boshears (264 mentions); Francisco Torres (220 mentions); Brian  Schone (132 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
N6133904F1001,200411!000222!1700!A8304 !NAVAL AIR WARF,200411!000222!1700!A8304 !NAVAL AIR WARFARE CENTER TRAININ!GS09K99BHD0001 !C!N! !Y!N6133904F1001!P00003!20040804!2004080,,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,GENERAL DYNAMICS INFORMAT,"$674,372,995",674372995.0,0.0,,,,,Department of the Navy,,2004-07-15,2004-07-15,2008-04-30,2008-04-30,2008-04-30,Fairfax,Virginia,"FAIRFAX, VIRGINIA","FAIRFAX, VIRGINIA",,"FAIRFAX, VIRGINIA",541512,Computer Systems Design Services,J069,Maintenance of Training Aids and Devices,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Ship / Maritime; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,Secret; mega-contract (>$500M); WARM LEAD,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",0,0.0,,,,,2004,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,53,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,Medium,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
0142,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,GENERAL DYNAMICS INFORMAT,"$666,471,487",666471486.81,28412102.28,Department of the Ar,Department of Defense,,97,Department of the Army,,2006-06-16,2006-06-16,2012-09-30,2012-09-30,2012-09-30,Herndon,Virginia,"HERNDON, VIRGINIA","HERNDON, VIRGINIA",,"HERNDON, VIRGINIA",541330,Engineering Services,R408,Program Management/Support Services,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,Secret; mega-contract (>$500M); WARM LEAD,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",88,326758000.0,Likely (large sub base suggests staffing firm participation),,,,2006,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,63,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,High,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
DTFA0101CA0065CALL0001,ADVANCED TECHNOLOGIES AND OCEANIC PROCED,ADVANCED TECHNOLOGIES AND OCEANIC PROCEDURES (ATOP),ATOP,"LEIDOS, INC.",QLNMVC12KWY3,"LEIDOS, INC.","$656,205,138",656205138.4700003,58058217.75,,,,,,,,,,,,Rockville,Maryland,"ROCKVILLE, MARYLAND","ROCKVILLE, MARYLAND",,"ROCKVILLE, MARYLAND",541519,Other Computer Related Services,R425,Engineering and Technical Services,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,TS/SCI w/ Poly; mega-contract (>$500M); WARM LEAD,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",0,0.0,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,53,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,Medium,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
28321318FDS030247,CONTRACTOR TO PROVIDE DEVELOPMENT&DATABA,CONTRACTOR TO PROVIDE DEVELOPMENT&DATABASE SUPPORT TO AGENCY'S OFFICE OF SOFTWARE ENGINEERING,,"LEIDOS, INC.",MYKLJHTX3MM7,"LEIDOS, INC.","$593,517,491",593517491.1,6434.94,Social Security Admi,Social Security Administration,,28,,,,,,,,Baltimore,Maryland,"BALTIMORE, MARYLAND","BALTIMORE, MARYLAND",,"BALTIMORE, MARYLAND",541519,Other Computer Related Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,TS/SCI w/ Poly; mega-contract (>$500M); WARM LEAD,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",34,37160875.57,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,56,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,High,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFMA21F0003,ENTERPRISE MISSION INFORMATION TECHNOLOG,ENTERPRISE MISSION INFORMATION TECHNOLOGY SERVICES (EMITS),EMITS,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,GENERAL DYNAMICS INFORMAT,"$583,600,328",583600327.6599998,7687350.61,Federal Acquisition,General Services Administration,,47,,,,,,,,,,"nan, nan","nan, nan",,"nan, nan",541512,Computer Systems Design Services,D302,IT Systems Development Services,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,enterprise IT; Secret; mega-contract (>$500M); WARM LEAD,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",343,112730211.6,Likely (large sub base suggests staffing firm participation),,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,62,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,High,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
VA11810000004,DCAT4 TASK ORDER AWARDED,DCAT4 TASK ORDER AWARDED,DCAT,LEIDOS SMS INC,NPUZV84KPU17,LEIDOS SMS INC,"$574,499,876",574499876.4299997,4735106.26,,,,,,,,,,,,Austin,Texas,"AUSTIN, TEXAS","AUSTIN, TEXAS",,"AUSTIN, TEXAS",541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,TS/SCI w/ Poly; mega-contract (>$500M); WARM LEAD,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",0,0.0,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,53,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,Medium,"Active (91 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HT003818F0004,ENTERPRISE ACTIVITIES FOR MHS GENESIS-ST,"ENTERPRISE ACTIVITIES FOR MHS GENESIS STAGE 4, PROGRAM MANAGEMENT, SUSTAINMENT, REGIONAL TRAINERS, LICENSES, AND MAINTEN",MHS GENESIS,"LEIDOS, INC.",UE9QJD4KK1L6,"LEIDOS, INC.","$572,997,098",474899181.94,130295929.0,Defense Health Agenc,Department of Defense,,97,Defense Health Agency,,2018-06-25,2018-06-25,2022-07-28,2022-07-28,2022-07-28,Reston,Virginia,"RESTON, VIRGINIA","RESTON, VIRGINIA",,"RESTON, VIRGINIA",541512,Computer Systems Design Services,7030,ADP Software,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Medical / Health IT; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,enterprise IT; sustainment; health IT; TS/SCI w/ Poly; mega-contract (>$500M); WARM LEAD,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",41,345054434.97,,,,,2018,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,63,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,High,High,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
