search_keyword,piid,recipient_name,award_amount,description,start_date,end_date,agency,pop_city,pop_state,internal_id
SATCOM,FA862017F4856,L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,76384223.0,ACAT III BIG SAFARI VIPSAM PROTECTED SATCOM,2016-12-21,2022-01-31,Department of Defense,,,CONT_AWD_FA862017F4856_9700_FA862016G3027_9700
SATCOM,4Y01,THE MIL CORPORATION,75002646.29,"TECHNICAL ENGINEERING SERVICES IN SUPPORT OF SATCOM, RF, VIDEO, AND NETWORKING TECHNOLOGIES.",2014-10-15,2021-04-15,Department of Defense,,,CONT_AWD_4Y01_9700_N0017814D7835_9700
SATCOM,0002,CPI SATCOM & ANTENNA TECHNOLOGIES INC.,74152740.56,SWAN WWSS WIN-T 0002,2006-12-21,2011-05-31,Department of Defense,,,CONT_AWD_0002_9700_W15P7T06DL219_9700
SATCOM,0050,NORTHROP GRUMMAN SYSTEMS CORP,74025464.99,"EHF SATCOM, INC 2, PHASE 2 CORE",2009-10-29,2011-09-30,Department of Defense,,,CONT_AWD_0050_9700_F3365799D0028_9700
SATCOM,FA811916F0057,NORTHROP GRUMMAN SYSTEMS CORPORATION,70504672.78,IGF::OT::IGF    B-2 ULTRA HIGH FREQUENCY SATCOM ECEIVER/TRANSMITTER ANALYSIS,2016-09-30,2023-09-24,Department of Defense,,,CONT_AWD_FA811916F0057_9700_GS00Q14OADU325_4732
SATCOM,0004,RAYTHEON COMPANY,67876725.0,"THE PURPOSE OF THIS DELIVERY ORDER IS TO PROCURE 1,365 SOTM 1.4 MRAP (ITEM 5) PART NUMBER 902841-804 AT A UNIT PRICE OF $25,250, 1,365 RT-1672D RADIO (ITEM 8) PART NUMBER 726639-801 AT A UNIT PRICE OF $20,992.00, 1,365 HANDSET (ITEM 17) PART NUMBER H-250/U AT A UNIT PRICE OF $83.00, 1,365 AN/PSC-5D TECH MANUAL (ITEM 116) PART NUMBER MX-64-352 AT A UNIT PRICE OF $50.00, 1,365 AN/PSC-5D TECH BULLETIN (ITEM 117) PART NUMBER MX-64-356 AT A UNIT PRICE OF $50.00, 1,400 LOS WHIP ANTENNA (ITEM 41) PART ",2010-04-14,2010-11-15,Department of Defense,,,CONT_AWD_0004_9700_W15P7T09DK001_9700
SATCOM,FA229325FB002,RAYTHEON COMPANY,55433472.65,COMMAND POST TERMINAL EVOLVED STRATEGIC SATCOM PHASE 1.,2025-03-26,2027-11-23,Department of Defense,,,CONT_AWD_FA229325FB002_9700_FA873521D0001_9700
SATCOM,FA868923F2003,"L3 TECHNOLOGIES, INC.",52334582.0,MQ-9 REAPER: COMMMUNICATION REAPER INTEGRATED UPGRADE SOLUTIONS - SATELLITE COMMUNICATION (SATCOM) DIMINISHED MANUFACTURING SOURCE UPGRADES,2023-03-31,2026-03-30,Department of Defense,,,CONT_AWD_FA868923F2003_9700_FA868923D2012_9700
SATCOM,99ZZ,"SATCOM DIRECT GOVERNMENT, INC.",50758561.35,IGF::OT::IGF FY13 ANNUAL OBLIGATIONS-USAGE,2013-09-30,2016-11-14,Department of Defense,,,CONT_AWD_99ZZ_9700_HC101313A0003_9700
SATCOM,FA872619F0018,AMERICAN SYSTEMS CORPORATION,49812643.0,IGF::OT::IGF THEATER DEPLOYABLE COMMUNICATIONS (TDC) MEDIUM SATELLITE COMMUNICATIONS (SATCOM),2018-10-31,2022-03-31,Department of Defense,,,CONT_AWD_FA872619F0018_9700_FA873214D0019_9700
SATCOM,HC102820F6102,BOOZ ALLEN HAMILTON INC,49740390.68,GATEWAY DEFENSE INFORMATION SERVICE NETWORK (DISN) / INTERNET PROTOCOL SATELLITE COMMUNICATION (IP SATCOM) INTEGRATION AND ENGINEERING SUPPORT,2019-12-20,2026-01-20,Department of Defense,,,CONT_AWD_HC102820F6102_9700_HC102818D0006_9700
SATCOM,0019,CPI SATCOM & ANTENNA TECHNOLOGIES INC.,46535439.0,"AN/TSC 185, AND OPTION FOR PARTS AND SERVICES.  ALSO, PROCUREMENT OF SPARES AND SERVICES IN SUPPORT OF SUPPORT WIDE AREA NETWORK.",2011-08-26,2014-05-01,Department of Defense,,,CONT_AWD_0019_9700_W15P7T06DL219_9700
SATCOM,0013,HII MISSION TECHNOLOGIES CORP,46253898.87,"IGF::OT::IGF LABOR AND MATERIAL ODCS  ADVANCED TECHNOLOGY REFRESH AND INSERTION PROCESSES (ATRIP) US AIR FORCE WARFARE CENTER, AF TACTICAL EXPLOITATION OF NATIONAL CAPABILITIES (AF TENCAP)THE OBJECTIVE OF THIS TASK ORDER IS TO RAPIDLY REFRESH AND UPGRADE SYSTEMS ALREADY FIELDED (E.G., SPACE AND SATELLITE COMMUNICATIONS (SATCOM) SYSTEMS, AIRCRAFT COMMUNICATIONS SYSTEMS, SPACE AND MISSILE WARNING SYSTEMS,  UNMANNED AERIAL SYSTEMS (UAS), AND AIR AND SPACE SITUATIONAL AWARENESS COMPONENTS) WITH NEW ",2016-06-29,2022-03-31,Department of Defense,,,CONT_AWD_0013_9700_FA807514D0014_9700
SATCOM,FA882315C0002,THE BOEING COMPANY,45728484.95,IGF::OT::IGF AWARD OF WIDEBAND GLOBAL SATCOM ON-ORBIT OPERATIONS AND LOGISITCS SUSTAINMENT SUPPORT CONTRACT,2014-12-31,2019-12-31,Department of Defense,,,CONT_AWD_FA882315C0002_9700_-NONE-_-NONE-
SATCOM,W91QUZ12C0013,"L3HARRIS TECHNOLOGIES, INC.",45503670.99,SUSTAINMENT AND SUPPORT SERVICES FOR THE AN/GSC-52 MODERNIZATION (52 MOD) PROGRAM'S FAMILY OF SATELLITE COMMUNICATIONS (SATCOM) EARTH TERMINALS AND ASSOCIATED EQUIPMENT,2012-06-06,2014-06-04,Department of Defense,,,CONT_AWD_W91QUZ12C0013_9700_-NONE-_-NONE-
SATCOM,0028,"L3HARRIS TECHNOLOGIES, INC.",43433797.0,"MULTI-BAND RADIO (MBR) PRC-117G RADIOS, ANCILLARY KITS, SATCOM ANTENNAS, AND CONUS AND OCONUS OPERATOR TRAINING.",2012-02-27,2012-09-24,Department of Defense,,,CONT_AWD_0028_9700_M6785408D7009_9700
SATCOM,0067,THE BOEING COMPANY,42190162.24,SATCOM RADIO PROGRAM,2007-11-01,2013-03-29,Department of Defense,,,CONT_AWD_0067_9700_F3365701D0026_9700
SATCOM,N0001923F0458,THE BOEING COMPANY,39239086.0,P-8A MUOS SATCOM INCORPORATION.,2023-09-28,2027-03-31,Department of Defense,,,CONT_AWD_N0001923F0458_9700_N0001921G0006_9700
SATCOM,HC102822F5001,NORTHROP GRUMMAN SYSTEMS CORPORATION,38113266.61,WIDEBAND REMOTE MONITORING SENSOR (WRMS) FOR WIDEBAND GLOBAL SATELLITE COMMUNICATIONS (SATCOM) 11 (WGS-11) SUPPORT,2022-06-06,2026-06-05,Department of Defense,,,CONT_AWD_HC102822F5001_9700_HC104718D2012_9700
SATCOM,FA238524CB037,RAYTHEON COMPANY,37000000.0,"SPECIFICALLY CONSTRAINED LOW-VOLUME AIRCRAFT MULTI-BAND, DIRECTIONAL SATCOM ANTENNAS",2024-08-29,2027-05-29,Department of Defense,,,CONT_AWD_FA238524CB037_9700_-NONE-_-NONE-
satellite communications,693KA821F00222,HARRIS CORPORATION,1721330765.15,THE PURPOSE OF THIS DELIVERY ORDER AWARD IS TO ADD FUNDING FOR FTI TELECOMMUNICATIONS SERVICES.,2021-07-01,2024-09-30,Department of Transportation,,,CONT_AWD_693KA821F00222_6920_DTFA0102D03006_6920
satellite communications,FA880819C0006,LINQUEST CORPORATION,618802607.47,"PROCURING SYSTEMS ENGINEERING, INTEGRATION,AND TEST SUPPORT FOR MILITARY SATELLITE COMMUNICATION.",2019-06-21,2026-02-26,Department of Defense,,,CONT_AWD_FA880819C0006_9700_-NONE-_-NONE-
satellite communications,HC104714C4000,IRIDIUM SATELLITE LLC,484593998.74,SATELLITE COMMUNICATION SERVICES,2013-10-22,2019-08-21,Department of Defense,,,CONT_AWD_HC104714C4000_9700_-NONE-_-NONE-
satellite communications,FA880820C0047,THE BOEING COMPANY,424039286.85,EVOLVED STRATEGIC SATELLITE COMMUNICATION PROTOTYPE,2020-10-01,2025-08-31,Department of Defense,,,CONT_AWD_FA880820C0047_9700_-NONE-_-NONE-
satellite communications,FA880725CB006,THE BOEING COMPANY,350000000.0,EVOLVED STRATEGIC SATELLITE COMMUNICATION (ESS) SPACE DEVELOPMENT AND PRODUCTION,2025-07-07,2033-12-31,Department of Defense,,,CONT_AWD_FA880725CB006_9700_-NONE-_-NONE-
satellite communications,DAAB0798CA515,"L3HARRIS TECHNOLOGIES, INC.",337935500.21,199810!2100!2573!AB07 !USA COMM-ELECTRONICS COMMAND    !DAAB0798CA515  !A!*!*                  !19980529!20081230!883465783!004203337!004203337!N!66948!HARRIS CORPORATION            !P.O. BOX 91000            !MELBOURNE           !FL!32906!54000!009!12!PALM BAY            !BREVARD               !FLORIDA   !0001!+000022850000!N!N!000000000000!5895!MISCELLANEOUS COMMUNICATION EQUIPMENT             !A7 !ELECTRONICS AND COMMUNICATION !1GVE!SATELLITE COMMUNICATIONS      !3669!3!*!*!*!B!A!*!A !N!J!2!0,1998-05-29,2012-07-16,Department of Defense,,,CONT_AWD_DAAB0798CA515_9700_-NONE-_-NONE-
satellite communications,1332KP23CNEEJ0001,PERATON INC.,275592105.97,LOW-EARTH ORBIT (LEO) GROUND SUSTAINMENT SERVICES (LGSS),2023-03-01,2028-02-16,Department of Commerce,,,CONT_AWD_1332KP23CNEEJ0001_1330_-NONE-_-NONE-
satellite communications,0008,"DATAPATH, INC.",250349308.8,IGF::OT::IGF TASK ORDER AWARD SATELLITE COMMUNICATIONS SUPPORT SERVICES.,2016-06-03,2021-01-25,Department of Defense,,,CONT_AWD_0008_9700_W15P7T13D0015_9700
satellite communications,FA251718C8000,"INDYNE, INC.",214583693.41,"IGF::OT::IGF  SOLID STATE PHASED ARRAY RADAR SYSTEM (SSPARS) PROGRAM IS COMPRISED OF FIVE RADAR SITES AT THE FOLLOWING 21ST SPACE WING (21 SW) GEOGRAPHICALLY-SEPARATED UNITS (GSUS) IN THE NORTHERN HEMISPHERE: 7TH SPACE WARNING SQUADRON (7 SWS) AT BEALE AIR FORCE BASE (AFB) CALIFORNIA (CA); 6 SWS AT CAPE COD AIR FORCE STATION (AFS) MASSACHUSETTS (MA); 13/213 SWS AT CLEAR AFS ALASKA (AK); ROYAL AIR FORCE (RAF) FYLINGDALES, UNITED KINGDOM (UK); AND 12 SWS AT THULE AIR BASE (AB) GREENLAND (GL). PROV",2018-03-05,2022-04-30,Department of Defense,,,CONT_AWD_FA251718C8000_9700_-NONE-_-NONE-
satellite communications,FA882325FB001,LOCKHEED MARTIN CORP,193762292.58,"CORE OPERATIONS AND SUSTAINMENT PROVIDES INTEGRATED SYSTEMS ENGINEERING SUSTAINMENT SUPPORT FOR PROTECTED EXTREMELY HIGH FREQUENCY SATELLITE COMMUNICATIONS SATELLITES, MILSTAR BLOCK I AND II AS WELL AS THE DEFENSE SATELLITE COMMUNICATIONS SYSTEM III",2025-01-01,2026-07-31,Department of Defense,,,CONT_AWD_FA882325FB001_9700_FA882320D0001_9700
satellite communications,FA865023C9313,NORTHROP GRUMMAN SYSTEMS CORPORATION,145128651.75,"DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET CALL 003 MULTI-BAND, MULTI-ORBIT SATELLITE COMMUNICATIONS EXPERIMENTS",2023-06-02,2027-02-25,Department of Defense,,,CONT_AWD_FA865023C9313_9700_-NONE-_-NONE-
satellite communications,HC101321C0003,THE BOEING COMPANY,139866513.58,SERVICES,2021-03-31,2026-03-31,Department of Defense,,,CONT_AWD_HC101321C0003_9700_-NONE-_-NONE-
satellite communications,FA865023C9311,"L3 TECHNOLOGIES, INC.",137177990.95,"DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET CALL 003 - MULTI-BAND, MULTI-ORBIT SATELLITE COMMUNICATIONS EXPERIMENTS",2023-05-17,2027-02-17,Department of Defense,,,CONT_AWD_FA865023C9311_9700_-NONE-_-NONE-
satellite communications,693KA823F00118,VERIZON BUSINESS NETWORK SERVICES LLC,136092147.97,CREATE DELIVERY ORDER 0001 SUPPORT SERVICES.,2023-04-04,2025-05-31,Department of Transportation,,,CONT_AWD_693KA823F00118_6920_693KA823D00010_6920
satellite communications,0014,"CACI TECHNOLOGIES, LLC",133616406.43,"FIELD SUPPORT SERVICES (FSRS) TO PERFORM FOR PROGRAM MANAGER (PM) WARFIGHTER INFORMATION NETWORK TACTICAL (WIN-T) SATELLITE COMMUNICATIONS (SATOM). THESE EFFORTS ARE PRIMARILY FOR THE DEPLOYABLE KU EARTH TERMINAL (DKET), UNITED STATES MARINE CORPS (USMC) SUPPORT WIDE AREA NETWORK (SWAN) AND COMMERCIALIZATION EFFORTS BUT ARE NOT LIMITED TO ONLY THESE TERMINALS. THESE SERVICES MAYBE RENDERED FOR USE ON OTHER SATELLITE COMMUNICATIONS SYSTEMS AND/OR ASSOCIATED NETWORKS AS REQUIRED TO MEET OPERATIONS",2013-08-01,2018-02-28,Department of Defense,,,CONT_AWD_0014_9700_W15P7T10DD413_9700
satellite communications,HC101321F0110,ARTEL LLC,114786474.0,SPACE SEGMENT- 250 MHZ (KU),2021-08-10,2026-08-09,Department of Defense,,,CONT_AWD_HC101321F0110_9700_GS35F557GA_4732
satellite communications,W9128F23C0015,WALSH FEDERAL LLC,107747003.0,MILSTAR SATELLITE COMMUNICATIONS STATION/ DESIGN/BID/BUILD CAMPUS FACILITIES.,2023-07-01,2026-07-14,Department of Defense,,,CONT_AWD_W9128F23C0015_9700_-NONE-_-NONE-
satellite communications,36C10B23C0015,CELLCO PARTNERSHIP,88273770.79,"WIRELESS TELECOMMUNICATIONS SERVICES TO INCLUDE DATA (EMAIL), TELEPHONE/VOICE (INCLUDING VOICEMAIL) AND/OR WIRELESS INTERNET FOR THE VA ENTERPRISE",2023-03-07,2026-09-30,Department of Veterans Affairs,,,CONT_AWD_36C10B23C0015_3600_-NONE-_-NONE-
satellite communications,N0001919F2963,THE BOEING COMPANY,86914017.15,"WIDEBAND SATELLITE COMMUNICATIONS AIRWORTHINESS CERTIFICATION, A-KITS, AND INSTALLS.",2019-04-11,2023-12-04,Department of Defense,,,CONT_AWD_N0001919F2963_9700_N0001916G0001_9700
satellite communications,86615321F00007,"AT&T ENTERPRISES, LLC",85343855.52,EIS IT: TASK ORDER 1 (TO1): DATA SUPPORT SERVICES IN SUPPORT OF HUD/OCIO,2021-09-16,2026-09-30,Department of Housing and Urban Development,,,CONT_AWD_86615321F00007_8600_GS00Q17NSD3000_4732
satellite communications,HC101321F0178,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",83892371.15,OPERATIONS AND MAINTENANCE,2021-10-01,2026-09-30,Department of Defense,,,CONT_AWD_HC101321F0178_9700_HC101321D0010_9700
satellite communications,FA880821C0015,LOCKHEED MARTIN CORP,71541155.72,EVOLVED STRATEGIC SATELLITE COMMUNICATION PROTOTYPE,2020-11-09,2022-12-15,Department of Defense,,,CONT_AWD_FA880821C0015_9700_-NONE-_-NONE-
satellite communications,FA862122F6268,HII MISSION TECHNOLOGIES CORP,65326241.56,MATERIAL AIR FORCE DISTRIBUTED MISSION OPERATIONS - MAF DMO PROGRAM,2022-07-01,2026-02-28,Department of Defense,,,CONT_AWD_FA862122F6268_9700_FA862115D6268_9700
satellite communications,15F06722F0000818,VERIZON BUSINESS NETWORK SERVICES LLC,63979004.14,FBI EIS TASK #1 AWARD UNDER GSA EIS CONTRACT,2022-05-19,2026-05-19,Department of Justice,,,CONT_AWD_15F06722F0000818_1549_GS00Q17NSD3009_4732
satellite communications,HC101321C0006,"AT&T ENTERPRISES, LLC",63421160.76,NORTHSTAR EXECUTIVE AIRCRAFT COMMUNICATION NETWORK.,2021-06-30,2026-06-30,Department of Defense,,,CONT_AWD_HC101321C0006_9700_-NONE-_-NONE-
RF engineering,N6523623F3036,SCIENTIFIC RESEARCH CORPORATION,19063669.19,SYSTEMS ENGINEERING AND ACQUISITION SERVICES SOFTWARE DEFINED NETWORKING RADIO FREQUENCY (RF) ENGINEERING SOFTWARE DEFINED RADIO (SDR),2023-09-27,2026-09-26,Department of Defense,,,CONT_AWD_N6523623F3036_9700_N0017819D8474_9700
tactical radio,GST0209CJ0511,"L3HARRIS TECHNOLOGIES, INC.",163116743.16,"A REQUIREMENT FOR THE ACQUISITION OF THE AN/PRC-117G TACTICAL RADIO SYSTEM, INSTALLATION KITS (VEHICULAR & FIXED), SPARE PARTS & PERFORMANCE-BASED SERVICES",2009-09-29,2014-09-30,General Services Administration,,,CONT_AWD_GST0209CJ0511_4735_GS35F0163N_4730
tactical radio,W15P7T19F0001,"SEV1TECH, LLC",102879673.83,SYSTEM ENGINEERING TECHNICAL ASSISTANCE SERVICES FOR PM TACTICAL RADIOS AND ASSOCIATED CUSTOMERS.,2018-10-15,2024-03-15,Department of Defense,,,CONT_AWD_W15P7T19F0001_9700_W15P7T17D0147_9700
tactical radio,W15P7T25F0067,"L3HARRIS TECHNOLOGIES, INC.",88971341.0,"GENERATION 2 MANPACK RADIO RECEIVER/TRANSMITTERS FULL RATE PRODUCTION (FRP) - 5 IN SUPPORT OF PROJECT MANAGER TACTICAL RADIOS/PRODUCT MANAGER HANDHELD, MANPACK AND SMALL FORM FIT.",2025-06-25,2026-09-30,Department of Defense,,,CONT_AWD_W15P7T25F0067_9700_W15P7T16D0002_9700
tactical radio,W15P7T25F0068,"ROCKWELL COLLINS, INC.",84819857.0,"GENERATION 2 MANPACK RADIO RECEIVER/TRANSMITTERS FULL RATE PRODUCTION (FRP) - 5 IN SUPPORT OF PROJECT MANAGER TACTICAL RADIOS/PRODUCT MANAGER HANDHELD, MANPACK AND SMALL FORM FIT.",2025-06-25,2026-12-31,Department of Defense,,,CONT_AWD_W15P7T25F0068_9700_W15P7T16D0003_9700
tactical radio,W15P7T23F0163,THALES DEFENSE & SECURITY INC,64001002.39,PEO-C3T TACTICAL RADIOS LEADER RADIO FULL RATE PRODUCTION LEADER RADIO ORDER #3,2023-07-20,2029-03-10,Department of Defense,,,CONT_AWD_W15P7T23F0163_9700_W15P7T15D0015_9700
tactical radio,FA863420F0017,THE BOEING COMPANY,53831585.04,"MULTI-FUNCTIONAL INFORMATION DISTRIBUTION SYSTEM JOINT TACTICAL RADIO SYSTEM, LOW RATE INITAL PRODUCTION 3 AND 4, FULL RATE PRODUCTION 1 AND 2",2020-05-27,2026-12-31,Department of Defense,,,CONT_AWD_FA863420F0017_9700_FA863417D2696_9700
tactical radio,0007,VIASAT INC,47275194.0,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM (MIDS) JOINT TACTICAL RADIO SYSTEM (JTRS) LOT 4A PRODUCTION TERMINAL PROCUREMENT.,2016-03-30,2017-11-30,Department of Defense,,,CONT_AWD_0007_9700_N0003915D0008_9700
tactical radio,W15P7T24F0023,SIGMATECH INC,42801843.81,"AWARD OF RS3-20-0051 FOR THE UNITED STATES ARMY PROGRAM EXECUTIVE OFFICE, COMMAND, CONTROL AND COMMUNICATIONS TACTICAL, PROJECT MANAGER TACTICAL RADIOS SYSTEMS ENGINEERING TECHNICAL ASSISTANCE AND PROGRAM MANAGEMENT SUPPORT SERVICES",2024-02-15,2026-03-10,Department of Defense,,,CONT_AWD_W15P7T24F0023_9700_W15P7T17D0133_9700
tactical radio,SPE8EL25F129Y,"ATLANTIC DIVING SUPPLY, INC.",35334979.25,4567136705!ACCESSORIES FOR TACTICAL RADIOS,2025-01-31,2026-02-20,Department of Defense,,,CONT_AWD_SPE8EL25F129Y_9700_SPE8EJ21D1020_9700
tactical radio,FA873023F0045,GEORGIA TECH APPLIED RESEARCH CORP,32643201.8,MULTI-FUNCTIONAL INFORMATION DISTRIBUTION SYSTEM. (MIDS) JOINT TACTICAL RADIO SYSTEM (JTRS) UPGRADE,2023-02-07,2025-12-31,Department of Defense,,,CONT_AWD_FA873023F0045_9700_FA873021D0001_9700
tactical radio,W15P7T25F0197,"L3HARRIS TECHNOLOGIES, INC.",31085659.0,"COMBAT NETWORKING RADIO, A MODERNIZED RADIO USED ON THE GROUND AND IN VEHICLES, IN SUPPORT OF PROJECT MANAGER TACTICAL RADIOS/PRODUCT MANAGER WAVEFORMS.",2025-07-29,2027-12-30,Department of Defense,,,CONT_AWD_W15P7T25F0197_9700_W15P7T22D0001_9700
tactical radio,W15P7T25F0198,THALES DEFENSE & SECURITY INC,30252210.03,"COMBAT NETWORKING RADIO, A MODERNIZED RADIO USED ON THE GROUND AND IN VEHICLES, IN SUPPORT OF PROJECT MANAGER TACTICAL RADIOS/PRODUCT MANAGER WAVEFORMS",2025-08-07,2027-12-30,Department of Defense,,,CONT_AWD_W15P7T25F0198_9700_W15P7T22D0002_9700
tactical radio,0185,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",26249391.59,"CR-1870, ""PROGRAM MANAGER TACTICAL RADIO COMMUNICATION SYSTEMS JOINT NETWORK NODE-NETWORK CONTRACTOR FIELD SERVICE SUPPORT""",2007-09-17,2008-08-29,Department of Defense,,,CONT_AWD_0185_9700_DAAB0703DB007_9700
tactical radio,FA236325CB003,THE BOEING COMPANY,18916071.0,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM (MIDS) - JOINT TACTICAL RADIO SYSTEM (JTRS) UPGRADE (MJU) - BOEING SUPPORT,2025-08-22,2027-05-22,Department of Defense,,,CONT_AWD_FA236325CB003_9700_-NONE-_-NONE-
tactical radio,GST0207CJ0502,"L3HARRIS TECHNOLOGIES, INC.",17966424.0,TACTICAL RADIOS AND ANCILLARY ITEMS,2007-06-06,2009-06-05,General Services Administration,,,CONT_AWD_GST0207CJ0502_4735_GS35F0163N_4730
tactical radio,GST0208CJ0500,"L3HARRIS TECHNOLOGIES, INC.",17776752.0,AN/PRC-117F TACTICAL RADIO SYSTEM AND ANCILLARIES INCLUDING SERVICES.,2008-03-06,2010-08-31,General Services Administration,,,CONT_AWD_GST0208CJ0500_4735_GS35F0163N_4730
tactical radio,0428,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",16576632.0,HARDWARE TO SATISFY CUSTOMER ORDER 3084 FOR TACTICAL RADIOS,2014-09-19,2015-09-14,Department of Defense,,,CONT_AWD_0428_9700_W15P7T11DG402_9700
tactical radio,N6247307F4009,"L3HARRIS TECHNOLOGIES, INC.",16232966.5,JERRV TACTICAL RADIO SYSTEMS AND COMPONENTS,2006-12-22,2007-08-31,Department of Defense,,,CONT_AWD_N6247307F4009_9700_GS35F0163N_4730
tactical radio,FA825121F0142,"LEIDOS, INC.",16049302.65,F-16 AIS/PSI ENGINEERING SUPPORT MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM JOINT TACTICAL RADIO SYSTEM (MIDS JTRS),2021-08-17,2025-06-30,Department of Defense,,,CONT_AWD_FA825121F0142_9700_FA825118D0017_9700
tactical radio,0043,VIASAT INC,15224000.0,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM JOINT TACTICAL RADIO SYSTEM (MIDS JTRS) LOT 3.,2014-08-07,2016-08-01,Department of Defense,,,CONT_AWD_0043_9700_N0003910D0032_9700
tactical radio,FA664323F0026,"L3HARRIS TECHNOLOGIES, INC.",11172404.0,C2 TACTICAL RADIOS,2023-05-10,2026-04-30,Department of Defense,,,CONT_AWD_FA664323F0026_9700_70B04C19D00000012_7014
